Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
2,0:16,2,4,LAR 11,17,21,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by Aidan Hutchinson and Kindle Vildor),-0.340,0.040
Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,17,21,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,17,21,Matthew Stafford pass complete short middle to Demarcus Robinson for 14 yards (tackle by Derrick Barnes),0.610,1.530
3,14:23,1,10,LAR 39,17,21,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,1.530,0.990
3,14:16,2,10,LAR 39,17,21,Matthew Stafford sacked by Aidan Hutchinson for -1 yards,0.990,0.170
3,13:30,,,,,,Timeout #1 by Los Angeles Rams,,
3,13:30,3,11,LAR 38,17,21,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson,0.170,-0.850
3,13:24,4,11,LAR 38,17,21,"Ethan Evans punts 62 yards, touchback.",-0.850,-0.280
3,13:17,1,10,DET 20,17,21,David Montgomery up the middle for 4 yards (tackle by Michael Hoecht),0.280,0.270
3,12:46,2,6,DET 24,17,21,Jared Goff pass incomplete short left intended for Josh Reynolds,0.270,-0.430
3,12:39,3,6,DET 24,17,21,Jared Goff pass complete short right to Amon-Ra St. Brown for 30 yards (tackle by John Johnson),-0.430,2.520
3,11:57,1,10,LAR 46,17,21,Jahmyr Gibbs right end for no gain (tackle by Jonah Williams),2.520,1.980
3,11:25,2,10,LAR 46,17,21,Jared Goff pass complete short middle to Amon-Ra St. Brown for 17 yards (tackle by Cobie Durant),1.980,3.640
3,10:45,1,10,LAR 29,17,21,Jahmyr Gibbs right end for -5 yards (tackle by Christian Rozeboom),3.640,2.420
3,10:05,2,15,LAR 34,17,21,Jared Goff sacked by Ernest Jones for -6 yards,2.420,0.960
3,9:24,3,21,LAR 40,17,21,Jared Goff pass complete short right to Sam LaPorta for 4 yards (tackle by Jason Taylor),0.960,0.880
3,8:45,4,17,LAR 36,17,24,Michael Badgley 54 yard field goal good,0.880,3.000
3,8:41,,,DET 35,17,24,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,8:41,1,10,LAR 25,17,24,Kyren Williams up the middle for 5 yards (tackle by Alex Anzalone),0.610,0.740
3,8:03,2,5,LAR 30,17,24,Matthew Stafford pass complete short left to Ronnie Rivers for 17 yards (tackle by Jack Campbell),0.740,2.060
3,7:13,1,10,LAR 47,17,24,Matthew Stafford pass complete short middle to Puka Nacua for 9 yards (tackle by Kerby Joseph),2.060,2.730
3,6:32,2,1,DET 44,17,24,Ronnie Rivers up the middle for 7 yards (tackle by Brian Branch and C.J. Gardner-Johnson),2.730,3.120
3,5:48,1,10,DET 37,17,24,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Kerby Joseph),3.120,3.110
3,5:06,2,6,DET 33,17,24,Matthew Stafford pass complete short right to Davis Allen for 22 yards (tackle by Alex Anzalone and C.J. Gardner-Johnson),3.110,4.840
3,4:23,1,10,DET 11,17,24,Matthew Stafford pass incomplete short right,4.840,4.140
3,4:17,2,10,DET 11,17,24,Puka Nacua right end for -2 yards. Puka Nacua fumbles (forced by Jalen Reeves-Maybin) (tackle by Kindle Vildor). Puka Nacua fumbles out of bounds,4.140,3.080
3,3:34,3,12,DET 13,17,24,Matthew Stafford pass complete short middle to Cooper Kupp for 4 yards (tackle by Brian Branch),3.080,2.830
3,2:36,4,8,DET 9,20,24,Brett Maher 27 yard field goal good,2.830,3.000
3,2:33,,,LAR 35,20,24,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
3,2:33,1,10,DET 25,20,24,Jared Goff pass complete short right to Amon-Ra St. Brown for 10 yards (tackle by Ahkello Witherspoon and Michael Hoecht),0.610,1.270
3,2:01,1,10,DET 35,20,24,Jahmyr Gibbs up the middle for 2 yards (tackle by Bobby Brown and Jonah Williams),1.270,0.990
3,1:20,2,8,DET 37,20,24,Jahmyr Gibbs right tackle for 2 yards (tackle by Byron Young),0.990,0.560
3,0:43,3,6,DET 39,20,24,Jared Goff sacked by and Michael Hoecht for -1 yards and Kobie Turner for -1 yards,0.560,-0.850
Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,7,DET 38,20,24,"Jack Fox punts 52 yards, fair catch by Austin Trammell at LA-10",-0.850,0.380
4,14:53,1,10,LAR 10,20,24,Kyren Williams right tackle for 15 yards (tackle by Kindle Vildor and Brian Branch),-0.380,0.610
4,14:18,1,10,LAR 25,20,24,Kyren Williams up the middle for 2 yards (tackle by Ifeatu Melifonwu and Alim McNeill),0.610,0.330
4,13:52,2,8,LAR 27,20,24,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,0.330,-0.360
4,13:47,,,,,,Timeout #2 by Los Angeles Rams,,
4,13:47,3,8,LAR 27,20,24,Matthew Stafford pass complete short right to Puka Nacua for 9 yards (tackle by C.J. Gardner-Johnson),-0.360,1.330
4,13:09,1,10,LAR 36,20,24,Kyren Williams left end for 1 yard (tackle by John Cominsky and Levi Onwuzurike),1.330,0.930
4,12:26,2,9,LAR 37,20,24,Matthew Stafford pass complete short right to Demarcus Robinson for 11 yards (tackle by C.J. Gardner-Johnson),0.930,2.130
4,11:44,1,10,LAR 48,20,24,Kyren Williams left tackle for 5 yards (tackle by Derrick Barnes and John Cominsky),2.130,2.260
4,10:58,2,5,DET 47,20,24,Kyren Williams left end for 12 yards (tackle by Cameron Sutton),2.260,3.250
4,10:16,1,10,DET 35,20,24,Matthew Stafford pass complete deep middle to Puka Nacua for 22 yards (tackle by Jack Campbell),3.250,4.710
4,9:32,1,10,DET 13,20,24,Kyren Williams up the middle for -1 yards (tackle by Alex Anzalone),4.710,3.900
4,8:40,2,11,DET 14,20,24,Matthew Stafford pass complete short left to Ronnie Rivers for 3 yards (tackle by Jalen Reeves-Maybin),3.900,3.450
4,8:17,3,8,DET 11,20,24,Matthew Stafford pass incomplete short left intended for Cooper Kupp,3.450,2.700
4,8:13,4,8,DET 11,23,24,Brett Maher 29 yard field goal good,2.700,3.000
4,8:10,,,LAR 35,23,24,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
4,8:10,1,10,DET 25,23,24,Jared Goff pass incomplete short middle,0.610,0.060
4,8:05,2,10,DET 25,23,24,David Montgomery right end for 6 yards (tackle by Russ Yeast),0.060,0.170
4,7:30,3,4,DET 31,23,24,Jared Goff pass incomplete short right intended for Josh Reynolds,0.170,-1.310
4,7:26,4,4,DET 31,23,24,"Jack Fox punts 61 yards, fair catch by Austin Trammell at LA-8",-1.310,0.380
4,7:18,1,10,LAR 8,23,24,Ronnie Rivers up the middle for 2 yards (tackle by Aidan Hutchinson),-0.380,-0.630
4,6:37,2,8,LAR 10,23,24,Matthew Stafford pass complete short middle to Puka Nacua for 35 yards (tackle by Ifeatu Melifonwu),-0.630,1.930
4,5:53,1,10,LAR 45,23,24,Matthew Stafford pass complete short right to Ronnie Rivers for 15 yards (tackle by Brian Branch),1.930,2.920
4,5:10,1,10,DET 40,23,24,Matthew Stafford pass incomplete short middle intended for Tyler Higbee (defended by Kerby Joseph),2.920,2.370
4,5:05,2,10,DET 40,23,24,Matthew Stafford pass complete short middle to Cooper Kupp for 6 yards (tackle by Aidan Hutchinson),2.370,2.480
4,4:25,3,4,DET 34,23,24,"Matthew Stafford pass complete short right to Ronnie Rivers for no gain (tackle by Kindle Vildor). Penalty on Rob Havenstein: Offensive Holding, 10 yards (accepted) (no play)",2.480,1.160
4,4:20,3,14,DET 44,23,24,Matthew Stafford pass incomplete deep right intended for Puka Nacua (defended by Cameron Sutton),1.160,0.330
4,4:15,4,14,DET 44,23,24,"Ethan Evans punts 31 yards, returned by Donovan Peoples-Jones for 4 yards (tackle by Duke Shelley)",0.330,0.060
4,4:07,1,10,DET 17,23,24,David Montgomery right tackle for 3 yards (tackle by Aaron Donald),-0.060,-0.060
4,3:26,2,7,DET 20,23,24,Jared Goff pass complete short right to David Montgomery for 11 yards (tackle by Russ Yeast),-0.060,1.000
4,2:40,1,10,DET 31,23,24,David Montgomery right tackle for 1 yard (tackle by Ernest Jones and Christian Rozeboom),1.000,0.600
4,2:00,2,9,DET 32,23,24,Jared Goff pass complete short left to Amon-Ra St. Brown for 11 yards (tackle by Quentin Lake),0.600,1.800
4,1:54,,,,,,Timeout #3 by Los Angeles Rams,,
4,1:54,1,10,DET 43,23,24,Jared Goff kneels for -1 yards,1.800,1.120
4,1:12,2,11,DET 42,23,24,Jared Goff kneels for -1 yards,1.120,0.300
4,0:41,3,12,DET 41,23,24,Jared Goff kneels for -1 yards,0.300,-0.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
