Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
2,5:11,1,10,MIN 21,7,7,Adrian L. Peterson right tackle for 1 yard (tackle by DeMarcus Ware),0.340,-0.070
2,4:29,2,9,MIN 22,7,7,Adrian L. Peterson up the middle for 1 yard (tackle by Ken Hamlin and Jay Ratliff),-0.070,-0.630
2,3:49,3,8,MIN 23,7,7,Tarvaris Jackson pass incomplete,-0.630,-1.830
,,,,,,,"DAL challenged the pass completion ruling, and the original play was overturned.",,
2,3:44,4,8,MIN 23,7,7,"Chris Kluwe punts 46 yards, returned by Terence Newman for -8 yards (tackle by Charles Gordon). Penalty on Keith Davis: Illegal Block Above the Waist, 10 yards",-1.830,0.380
2,3:26,1,10,DAL 10,7,7,Julius Jones up the middle for 8 yards (tackle by E.J. Henderson),-0.380,0.070
2,2:52,2,2,DAL 18,7,7,Tony Romo pass complete short right to Terrell Owens for 14 yards (tackle by Kenechi Udeze),0.070,1.070
2,2:31,1,10,DAL 32,7,7,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Antoine Winfield and Chad Greenway),1.070,1.740
2,2:01,2,1,DAL 41,7,7,Tony Romo pass complete short right to Julius Jones for 9 yards (tackle by Marcus McCauley and Spencer Johnson),1.740,2.260
2,1:54,1,10,MIN 50,13,7,"Tony Romo pass complete short middle to Patrick Crayton for 7 yards (tackle by Antoine Winfield). Patrick Crayton fumbles (forced by Antoine Winfield), recovered by Ben Leber at MIN-40, touchdown, lateral to Cedric Griffin for no gain. Cedric Griffin fumbles, recovered by Cedric Griffin at DAL-28",2.260,-7.000
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,1:39,,,DAL 2,14,7,Ryan Longwell kicks extra point good,0.000,0.000
2,1:39,,,MIN 30,14,7,"Ryan Longwell kicks off 68 yards, returned by Tyson Thompson for 17 yards (tackle by Cedric Griffin)",0.000,0.150
2,1:29,1,10,DAL 19,14,7,Tony Romo pass complete short middle to Jason Witten for 12 yards (tackle by E.J. Henderson),0.150,1.000
2,1:07,1,10,DAL 31,14,7,Tony Romo pass incomplete short right intended for Jason Witten,1.000,0.460
2,1:03,2,10,DAL 31,14,7,Tony Romo pass complete short right to Jason Witten for 6 yards (tackle by Darren Sharper),0.460,0.560
2,0:40,3,4,DAL 37,14,7,Tony Romo pass complete short right to Marion Barber for 6 yards,0.560,1.800
2,0:33,1,10,DAL 43,14,7,Tony Romo pass complete deep right to Terrell Owens for 18 yards,1.800,2.980
2,0:28,1,10,MIN 39,14,7,Tony Romo pass complete short right to Marion Barber for no gain,2.980,2.440
2,0:20,1,10,MIN 39,14,7,Timeout #2 by Dallas Cowboys,2.980,2.440
2,0:20,2,10,MIN 39,14,7,Tony Romo pass complete short right to Marion Barber for -1 yards (tackle by Ben Leber),2.440,1.620
2,0:13,2,10,MIN 39,14,7,Timeout #3 by Dallas Cowboys,2.440,1.620
2,0:13,3,11,MIN 40,14,7,Tony Romo pass complete short right to Jason Witten for 8 yards,1.620,1.290
2,0:07,4,3,MIN 32,14,7,Nick Folk 50 yard field goal no good,1.290,-1.600
2,0:02,1,10,MIN 40,14,7,Tarvaris Jackson kneels for -1 yards,1.600,0.920
Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,14,7,"Nick Folk kicks off no gain, returned by Troy Williamson for 13 yards (tackle by Sam Hurd)",0.000,-0.140
3,14:53,1,10,MIN 16,14,7,Chester Taylor right guard for 3 yards (tackle by Jay Ratliff and Roy Williams),-0.140,-0.180
3,14:08,2,7,MIN 19,14,7,Adrian L. Peterson right end for 4 yards (tackle by Greg Ellis),-0.180,-0.450
3,13:26,3,3,MIN 23,14,7,Tarvaris Jackson pass incomplete short left intended for Troy Williamson (defended by Terence Newman),-0.450,-1.830
3,13:22,4,3,MIN 23,14,7,"Chris Kluwe punts 42 yards, out of bounds",-1.830,-1.270
3,13:16,1,10,DAL 35,14,7,Julius Jones right tackle for 5 yards (tackle by Pat Williams and Chad Greenway),1.270,1.400
3,12:39,2,5,DAL 40,14,7,Julius Jones left tackle for no gain (tackle by Tank Williams),1.400,0.700
3,11:57,3,5,DAL 40,14,7,Tony Romo up the middle for 4 yards (tackle by Antoine Winfield),0.700,-0.460
3,11:18,4,1,DAL 44,14,7,"Mat McBriar punts 49 yards, fair catch by Bobby Wade",-0.460,0.380
3,11:09,1,10,MIN 7,14,7,"Tarvaris Jackson pass incomplete. Penalty on Tarvaris Jackson: Intentional Grounding, 6 yards",-0.380,-1.220
3,11:03,2,16,MIN 1,14,7,Adrian L. Peterson right guard for 1 yard (tackle by Bradie James),-1.220,-2.010
3,10:23,3,15,MIN 2,14,7,Chester Taylor left tackle for no gain (tackle by Akin Ayodele),-2.010,-2.490
3,9:47,4,15,MIN 2,14,7,"Chris Kluwe punts 58 yards, returned by Patrick Crayton for 9 yards. Penalty on Ronyell Whitaker: Unsportsmanlike Conduct, 15 yards",-2.490,-3.180
3,9:36,1,10,MIN 36,14,7,Marion Barber left guard for 9 yards (tackle by Spencer Johnson),3.180,3.850
3,8:54,2,1,MIN 27,14,7,Marion Barber left tackle for 2 yards (tackle by Ben Leber and E.J. Henderson),3.850,3.910
3,8:14,1,10,MIN 25,14,7,Tony Romo pass complete deep right to Terrell Owens for 22 yards. Penalty on Charles Gordon: Illegal Contact (Declined),3.910,6.510
3,7:45,1,3,MIN 3,14,7,Marion Barber left tackle for 2 yards (tackle by Chad Greenway),6.510,5.910
3,7:00,2,1,MIN 1,14,13,"Marion Barber right guard for 1 yard, touchdown",5.910,7.000
,,,,,,,"MIN challenged the runner broke the plane ruling, and the play was upheld.",,
3,7:00,,,MIN 2,14,14,Nick Folk kicks extra point good,0.000,0.000
3,7:00,,,DAL 30,14,14,"Nick Folk kicks off 65 yards, returned by Adrian L. Peterson for 19 yards (tackle by Sam Hurd)",0.000,0.540
3,6:49,1,10,MIN 24,14,14,Tarvaris Jackson pass incomplete short right intended for Visanthe Shiancoe (defended by DeMarcus Ware),0.540,0.000
3,6:45,2,10,MIN 24,14,14,Adrian L. Peterson right end for 2 yards (tackle by Bradie James),0.000,-0.430
3,6:00,3,8,MIN 26,14,14,Tarvaris Jackson pass complete short middle to Bobby Wade for 16 yards (tackle by Pat Watkins),-0.430,1.730
3,5:20,1,10,MIN 42,14,14,Tarvaris Jackson up the middle for 12 yards (tackle by Bradie James),1.730,2.520
3,4:40,1,10,DAL 46,14,14,Adrian L. Peterson left end for 15 yards (tackle by Ken Hamlin),2.520,3.510
3,4:00,1,10,DAL 31,14,14,Chester Taylor up the middle for no gain (tackle by Remi Ayodele),3.510,2.970
3,3:17,2,10,DAL 31,14,14,Tarvaris Jackson pass incomplete deep left intended for Bobby Wade (defended by Roy Williams),2.970,2.280
3,3:10,3,10,DAL 31,14,14,Tarvaris Jackson pass incomplete short right intended for Troy Williamson,2.280,1.320
3,3:05,3,10,DAL 31,14,14,Timeout #2 by Minnesota Vikings,2.280,1.320
3,3:05,4,10,DAL 31,14,20,"Ryan Longwell 48 yard field goal no good, blocked by Chris L. Canty, recovered by Pat Watkins and returned for 68 yards, touchdown",1.320,-7.000
3,2:52,,,MIN 2,14,21,Nick Folk kicks extra point good,0.000,0.000
3,2:52,,,DAL 30,14,21,"Nick Folk kicks off 78 yards, touchback",0.000,0.280
3,2:51,1,10,MIN 20,14,21,Adrian L. Peterson left guard for 12 yards (tackle by Evan Oglesby),0.280,1.070
3,2:18,1,10,MIN 32,14,21,Chester Taylor right tackle for 16 yards (tackle by Evan Oglesby and Bradie James),1.070,2.130
3,1:42,1,10,MIN 48,14,21,Tarvaris Jackson right end for 3 yards (tackle by Bradie James),2.130,1.990
3,1:01,2,7,DAL 49,14,21,"Penalty on Ryan Cook: False Start, 5 yards (no play)",1.990,1.310
3,0:37,2,12,MIN 46,14,21,Tarvaris Jackson pass incomplete deep left intended for Adrian L. Peterson,1.310,0.630
3,0:31,3,12,MIN 46,14,21,Tarvaris Jackson pass complete short middle to Chester Taylor for 7 yards (tackle by Kevin Burnett and Roy Williams),0.630,0.130
Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,DAL 47,14,21,"Chris Kluwe punts 35 yards, fair catch by Patrick Crayton",0.130,0.350
4,14:53,1,10,DAL 12,14,21,Julius Jones up the middle for no gain (tackle by Chad Greenway),-0.350,-0.780
4,14:20,2,10,DAL 12,14,21,Tony Romo pass complete short middle to Jason Witten for 13 yards (tackle by E.J. Henderson),-0.780,0.610
4,13:33,1,10,DAL 25,14,21,"Penalty on Marc Colombo: False Start, 5 yards (no play)",0.610,0.280
4,13:11,1,15,DAL 20,14,21,Tony Romo pass complete short middle to Julius Jones for 11 yards (tackle by Antoine Winfield),0.280,0.870
4,12:31,2,4,DAL 31,14,21,Tony Romo pass incomplete short middle intended for Jason Witten,0.870,0.170
4,12:23,3,4,DAL 31,14,21,Tony Romo pass incomplete short middle intended for Jason Witten,0.170,-1.310
4,12:15,4,4,DAL 31,14,21,Mat McBriar punts 60 yards,-1.310,0.380
4,11:58,1,10,MIN 9,14,21,"Adrian L. Peterson right tackle for no gain (tackle by Jason Hatcher). Adrian L. Peterson fumbles (forced by Jason Hatcher), recovered by Bradie James at MIN-22 (tackle by Matt Birk)",-0.380,-4.110
4,11:51,1,10,MIN 22,14,21,Tony Romo pass incomplete (defended by Ray Edwards),4.110,3.560
4,11:46,2,10,MIN 22,14,21,Julius Jones up the middle for 2 yards (tackle by Pat Williams),3.560,3.140
4,11:01,3,8,MIN 20,14,21,"Tony Romo sacked by Ray Edwards and Brian Robison for -6 yards. Tony Romo fumbles (forced by Ray Edwards), recovered by Tony Romo at MIN-28",3.140,1.670
4,10:38,4,15,MIN 27,14,24,Nick Folk 45 yard field goal good,1.670,3.000
4,10:38,,,DAL 30,14,24,"Nick Folk kicks off 67 yards, returned by Adrian L. Peterson for 19 yards (tackle by Deon Anderson)",0.000,0.410
4,10:29,1,10,MIN 22,14,24,Chester Taylor left end for 3 yards (tackle by Chris L. Canty),0.410,0.270
4,9:54,2,7,MIN 25,14,24,Tarvaris Jackson pass complete short right to Troy Williamson for 21 yards (tackle by Roy Williams),0.270,1.990
4,9:28,1,10,MIN 46,14,24,Chester Taylor up the middle for -1 yards (tackle by DeMarcus Ware),1.990,1.320
4,8:49,2,11,MIN 45,14,24,Tarvaris Jackson sacked by Bradie James for 0 yards,1.320,0.630
4,8:17,3,11,MIN 45,14,24,Tarvaris Jackson pass incomplete short left intended for Chester Taylor,0.630,-0.390
4,8:12,4,11,MIN 45,14,24,"Chris Kluwe punts 54 yards, out of bounds",-0.390,0.380
4,8:03,1,10,DAL 1,14,24,Marion Barber up the middle for 2 yards (tackle by Antoine Winfield),-0.380,-0.630
4,7:23,2,8,DAL 3,14,24,Marion Barber left end for 1 yard (tackle by Cedric Griffin),-0.630,-1.070
4,6:37,3,7,DAL 4,14,24,Tony Romo pass incomplete short middle intended for Marion Barber,-1.070,-2.490
4,6:32,4,7,DAL 4,14,24,"Penalty on Mat McBriar: Delay of Game, 2 yards (no play)",-2.490,-2.490
4,6:32,4,9,DAL 2,14,24,"Mat McBriar punts 54 yards, returned by Bobby Wade for 11 yards (tackle by Bobby Carpenter)",-2.490,-2.590
4,6:21,1,10,DAL 45,14,24,Tarvaris Jackson pass incomplete deep middle intended for Sidney Rice (defended by Jacques Reeves). Penalty on Ryan Cook: Illegal Formation (Declined),2.590,2.040
4,6:13,2,10,DAL 45,14,24,Tarvaris Jackson pass incomplete short right intended for Bobby Wade,2.040,1.360
4,6:09,3,10,DAL 45,14,24,Tarvaris Jackson sacked by Greg Ellis for -2 yards,1.360,0.130
4,5:40,4,12,DAL 47,14,24,"Chris Kluwe punts 28 yards, fair catch by Patrick Crayton",0.130,-0.150
4,5:36,1,10,DAL 19,14,24,Marion Barber right tackle for 4 yards (tackle by E.J. Henderson),0.150,0.210
4,4:50,2,6,DAL 23,14,24,Marion Barber up the middle for 4 yards (tackle by Chad Greenway),0.210,-0.030
4,4:04,3,2,DAL 27,14,24,Marion Barber right end for 21 yards (tackle by Tank Williams and Marcus McCauley),-0.030,2.130
4,3:14,1,10,DAL 48,14,24,Marion Barber right tackle for 4 yards (tackle by E.J. Henderson),2.130,2.120
4,2:30,2,6,MIN 48,14,24,Marion Barber left tackle for 24 yards (tackle by Brian Robison),2.120,3.970
4,2:09,2,6,MIN 48,14,24,Timeout #3 by Minnesota Vikings,2.120,3.970
4,2:09,1,10,MIN 24,14,24,Marion Barber left tackle for 2 yards (tackle by Darren Sharper),3.970,3.700
4,2:00,2,8,MIN 22,14,24,Marion Barber left end for 1 yard (tackle by Ben Leber),3.700,3.140
4,1:14,3,7,MIN 21,14,24,Marion Barber right guard for 2 yards (tackle by E.J. Henderson),3.140,2.240
4,0:28,3,7,MIN 21,14,24,Timeout #1 by Dallas Cowboys,3.140,2.240
4,0:28,4,5,MIN 19,14,24,Marion Barber up the middle for 2 yards (tackle by Pat Williams),2.240,0.060
4,0:23,1,10,MIN 17,14,24,Tarvaris Jackson sacked by Greg Ellis for -5 yards,-0.060,-1.150
4,0:06,2,15,MIN 12,14,24,Tarvaris Jackson spiked the ball,-1.150,-2.010
4,0:04,3,15,MIN 12,14,24,"Tarvaris Jackson pass complete short middle to Chester Taylor for 9 yards, lateral to Troy Williamson for 4 yards (tackle by Kevin Burnett)",-2.010,-1.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
