Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA
2,10:35,2,10,TEN 23,10,7,Vince Young pass incomplete short left intended for Ahmard Hall,-0.070,-0.760
2,10:28,3,10,TEN 23,10,7,Vince Young pass incomplete short middle intended for Roydell Williams (defended by DeAngelo Hall),-0.760,-1.830
2,10:20,4,10,TEN 23,10,7,"Craig Hentrich punts 48 yards, returned by Adam Jennings for no gain",-1.830,-0.870
2,10:10,1,10,ATL 29,10,7,Joey Harrington pass complete short middle to Joe Horn for 5 yards (tackle by Keith Bulluck),0.870,1.000
2,9:36,2,5,ATL 34,10,7,Joey Harrington pass complete short left to Roddy White for 3 yards (tackle by Cortland Finnegan),1.000,0.700
2,9:00,3,2,ATL 37,10,7,Joey Harrington pass incomplete short right intended for Jerious Norwood,0.700,-0.910
2,8:54,4,2,ATL 37,10,7,Michael Koenen punts 45 yards,-0.910,-0.040
2,8:44,1,10,TEN 18,10,7,Chris Brown left guard for 6 yards (tackle by Trey Lewis),0.040,0.410
2,8:07,2,4,TEN 24,10,7,Chris Brown up the middle for -2 yards (tackle by Grady Jackson),0.410,-0.660
2,7:27,3,6,TEN 22,10,7,Vince Young left end for 4 yards (tackle by Michael Boley),-0.660,-1.630
2,6:48,4,2,TEN 26,10,7,"Craig Hentrich punts 49 yards, fair catch by Adam Jennings",-1.630,-0.610
2,6:40,1,10,ATL 25,10,7,Joey Harrington pass complete short left to Laurent Robinson for 9 yards (tackle by Cortland Finnegan),0.610,1.280
2,6:02,2,1,ATL 34,10,7,"Penalty on Kynan Forney: False Start, 5 yards (no play)",1.280,0.600
2,5:36,2,6,ATL 29,10,7,Joey Harrington pass complete short right to Alge Crumpler for 6 yards (tackle by Ryan Fowler),0.600,1.270
2,4:55,1,10,ATL 35,10,7,Joey Harrington pass complete deep left to Roddy White for 34 yards (tackle by Cortland Finnegan),1.270,3.510
2,4:24,1,10,TEN 31,10,7,Jerious Norwood right end for 2 yards (tackle by Chris Hope),3.510,3.240
2,3:42,2,8,TEN 29,10,7,Joey Harrington pass complete short left to Jerious Norwood for -6 yards (tackle by Travis LaBoy),3.240,1.750
2,3:01,3,14,TEN 35,10,7,Joey Harrington pass incomplete short right intended for Joe Horn (defended by Albert Haynesworth),1.750,0.970
2,2:58,4,14,TEN 35,10,7,Michael Koenen 53 yard field goal no good,0.970,-1.800
2,2:53,1,10,TEN 43,10,7,Vince Young pass complete short left to Justin Gage for 3 yards (tackle by Chris Crocker),1.800,1.660
2,2:17,2,7,TEN 46,10,7,Vince Young pass incomplete short right intended for Chris Brown,1.660,0.960
2,2:13,3,7,TEN 46,10,7,Vince Young pass complete short middle to Ahmard Hall for 6 yards (tackle by Montavious Stanley),0.960,0.070
2,2:00,4,1,ATL 48,10,7,Vince Young pass incomplete short right intended for Bo Scaife,0.070,-2.130
2,1:57,1,10,ATL 48,10,7,Joey Harrington pass incomplete,2.130,1.580
2,1:50,2,10,ATL 48,10,7,Joey Harrington pass complete short right to Warrick Dunn for 3 yards (tackle by Chris Hope). Penalty on Roddy White: Illegal Formation (Declined),1.580,1.290
2,1:46,3,7,TEN 49,10,7,Joey Harrington pass incomplete short left intended for Roddy White (defended by Cortland Finnegan),1.290,0.000
2,1:41,4,7,TEN 49,10,7,"Michael Koenen punts 32 yards, returned by Chris Davis for 28 yards (tackle by Mike Schneck)",0.000,-1.930
2,1:31,1,10,TEN 45,10,7,Vince Young pass complete short left to Brandon Jones for 9 yards (tackle by Lewis Sanders),1.930,2.600
2,1:09,2,1,ATL 46,10,7,Vince Young pass complete short middle to Chris Brown for 3 yards (tackle by Keith Brooking),2.600,2.720
2,0:47,1,10,ATL 43,10,7,Vince Young pass complete short middle to Eric Moulds for 10 yards (tackle by Michael Boley),2.720,3.380
2,0:26,1,10,ATL 33,10,7,Vince Young pass complete short right to Eric Moulds for 8 yards,3.380,3.920
2,0:22,2,2,ATL 25,10,7,Vince Young up the middle for 1 yard (tackle by Trey Lewis and Jamaal Anderson),3.920,3.340
2,0:16,,,,10,7,Timeout #2 by Tennessee Titans,0.000,3.340
2,0:16,3,1,ATL 24,10,7,Vince Young pass complete short left to Eric Moulds for 8 yards,3.340,4.510
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:09,1,10,ATL 16,10,7,Vince Young for 4 yards (tackle by Michael Boley),4.510,4.570
2,0:04,2,6,ATL 12,10,10,Rob Bironas 30 yard field goal good,4.570,3.000
Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,10,10,"Michael Koenen kicks off 78 yards, touchback",0.000,0.280
3,15:00,1,10,TEN 20,10,10,Vince Young pass complete short right to Ahmard Hall for 11 yards (tackle by Stephen Nicholas),0.280,1.000
3,14:21,1,10,TEN 31,10,10,LenDale White left guard for no gain (tackle by Grady Jackson),1.000,0.460
3,13:44,2,10,TEN 31,10,10,Vince Young pass incomplete short middle intended for LenDale White is intercepted by Trey Lewis at TEN-26 and returned for 4 yards (tackle by Michael Roos),0.460,-4.110
3,13:37,1,10,TEN 22,10,10,Warrick Dunn left guard for no gain (tackle by Antwan Odom),4.110,3.560
3,12:57,2,10,TEN 22,10,10,Joey Harrington pass complete short right to Martrez Milner for 3 yards (tackle by Nick Harper),3.560,3.260
3,12:18,3,7,TEN 19,10,10,Joey Harrington pass complete short right to Laurent Robinson for 8 yards (tackle by Calvin Lowry),3.260,4.840
3,11:43,1,10,TEN 11,10,10,Warrick Dunn right tackle for -1 yards (tackle by Tony Brown),4.840,3.980
3,11:04,2,11,TEN 12,10,10,Joey Harrington pass complete short right to Michael Jenkins for 2 yards (tackle by Nick Harper),3.980,3.300
3,10:15,3,9,TEN 10,10,10,Joey Harrington pass incomplete short right intended for Roddy White,3.300,2.760
3,10:13,4,9,TEN 10,13,10,Morten Andersen 28 yard field goal good,2.760,3.000
3,,,,ATL 30,13,10,"Michael Koenen kicks off 72 yards, returned by Michael Griffin for 23 yards (tackle by Adam Jennings)",0.000,0.340
3,10:04,1,10,TEN 21,13,10,"Penalty on Bo Scaife: False Start, 5 yards (no play)",0.340,-0.220
3,10:04,1,15,TEN 16,13,10,"Vince Young pass complete short left to Brandon Jones for 11 yards. Penalty on Keith Brooking: Roughing the Passer, 15 yards",-0.220,1.730
3,9:40,1,10,TEN 42,13,10,Chris Davis left end for 14 yards (tackle by Michael Boley and Keith Brooking),1.730,2.650
3,8:58,1,10,ATL 44,13,10,Vince Young right end for 20 yards (tackle by Stephen Nicholas),2.650,3.970
3,8:21,1,10,ATL 24,13,10,LenDale White right end for 2 yards (tackle by Montavious Stanley and Stephen Nicholas),3.970,3.700
3,7:49,2,8,ATL 22,13,10,LenDale White up the middle for no gain (tackle by Michael Boley and Chauncey Davis),3.700,3.010
3,7:05,3,8,ATL 22,13,10,Vince Young pass incomplete short right intended for Bo Scaife,3.010,1.990
3,7:00,4,8,ATL 22,13,13,Rob Bironas 40 yard field goal good,1.990,3.000
3,,,,TEN 30,13,13,"Rob Bironas kicks off 71 yards, returned by Jerious Norwood for 76 yards (tackle by Reynaldo Hill)",0.000,3.910
3,6:45,1,10,TEN 25,13,13,Joey Harrington pass incomplete short middle intended for Alge Crumpler,3.910,3.360
3,6:42,2,10,TEN 25,13,13,"Joey Harrington pass complete short left to Roddy White for 5 yards (tackle by Cortland Finnegan). Penalty on Todd Weiner: Offensive Holding, 10 yards (no play)",3.360,2.010
3,6:18,2,20,TEN 35,13,13,"Joey Harrington pass incomplete intended for Alge Crumpler is intercepted by Chris Hope at TEN-17 and returned for 26 yards. Penalty on Tony Brown: Defensive Offside, 5 yards, Penalty on Albert Haynesworth: Illegal Block Above the Waist (Declined) (no play)",2.010,2.690
3,6:04,2,15,TEN 30,13,13,Joey Harrington pass incomplete short right intended for Warrick Dunn (defended by David Thornton),2.690,2.010
3,5:59,3,15,TEN 30,13,13,Joey Harrington pass incomplete deep middle intended for Roddy White (defended by Calvin Lowry),2.010,1.410
3,5:53,4,15,TEN 30,13,13,Morten Andersen 48 yard field goal no good,1.410,-1.530
3,5:49,1,10,TEN 39,13,13,Chris Brown right tackle for 1 yard (tackle by Grady Jackson and Montavious Stanley),1.530,1.120
3,5:21,2,9,TEN 40,13,13,Vince Young pass complete short middle to Roydell Williams for 15 yards (tackle by Chris Houston),1.120,2.590
3,4:38,1,10,ATL 45,13,13,Vince Young pass incomplete short left intended for Brandon Jones,2.590,2.040
3,4:34,2,10,ATL 45,13,13,Vince Young pass incomplete short right intended for Eric Moulds,2.040,1.360
3,4:28,3,10,ATL 45,13,13,Vince Young pass incomplete deep middle intended for Justin Gage,1.360,0.270
3,4:22,4,10,ATL 45,13,13,"Craig Hentrich punts 35 yards, fair catch by Adam Jennings",0.270,0.380
3,4:15,1,10,ATL 10,13,13,Jerious Norwood right end for 8 yards (tackle by Chris Hope),-0.380,0.070
3,3:40,2,2,ATL 18,13,13,Jerious Norwood right tackle for no gain (tackle by Tony Brown and Ryan Fowler),0.070,-0.480
3,2:58,3,2,ATL 18,13,13,Joey Harrington pass complete short left to Joe Horn for -2 yards (tackle by Cortland Finnegan),-0.480,-2.390
3,2:24,4,4,ATL 16,13,13,"Michael Koenen punts 39 yards, returned by Chris Davis for 1 yard (tackle by Antoine Harris). Chris Davis fumbles, recovered by Corey McIntyre at TEN-42",-2.390,2.790
3,2:10,1,10,TEN 42,13,13,Jerious Norwood up the middle for 9 yards (tackle by Vincent Fuller). Penalty on Tony Brown: Defensive Offside (Declined),2.790,3.460
3,1:50,2,1,TEN 33,13,13,Joey Harrington pass incomplete short left intended for Laurent Robinson (defended by Calvin Lowry),3.460,2.740
3,1:46,3,1,TEN 33,13,13,Ovie Mughelli right guard for 1 yard (tackle by David Thornton and Nick Harper),2.740,3.450
3,1:17,1,10,TEN 32,13,13,Joey Harrington pass incomplete short middle intended for Michael Jenkins (defended by Antwan Odom),3.450,2.900
3,1:12,2,10,TEN 32,13,19,"Joey Harrington pass incomplete short left intended for Michael Jenkins is intercepted by Vincent Fuller at TEN-24 and returned for 76 yards, touchdown",2.900,-7.000
3,,,,ATL 2,13,20,Rob Bironas kicks extra point good,0.000,0.000
3,,,,TEN 30,13,20,"Rob Bironas kicks off 60 yards, returned by Jerious Norwood for 45 yards (tackle by Rob Bironas)",0.000,2.590
3,0:53,1,10,TEN 45,13,20,Joey Harrington pass incomplete short left intended for Joe Horn,2.590,2.040
3,0:50,2,10,TEN 45,13,20,Joey Harrington pass complete short right to Laurent Robinson for 5 yards (tackle by David Thornton),2.040,2.010
3,0:17,3,5,TEN 40,13,20,Warrick Dunn up the middle for 9 yards (tackle by Calvin Lowry and Nick Harper),2.010,3.510
Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 31,13,20,Warrick Dunn left guard for 1 yard (tackle by Cortland Finnegan and Albert Haynesworth),3.510,3.100
4,14:27,2,9,TEN 30,13,20,Joey Harrington pass complete short right to Alge Crumpler for -2 yards (tackle by David Thornton),3.100,2.150
4,13:47,3,11,TEN 32,13,20,Joey Harrington pass incomplete short right intended for Laurent Robinson,2.150,1.240
4,13:44,4,11,TEN 32,13,20,Michael Koenen 50 yard field goal no good,1.240,-1.600
4,13:39,1,10,TEN 40,13,20,Vince Young pass incomplete deep right intended for Eric Moulds,1.600,1.050
4,13:32,2,10,TEN 40,13,20,LenDale White right tackle for 7 yards (tackle by Keith Brooking and Lawyer Milloy),1.050,1.290
4,12:49,3,3,TEN 47,13,20,"Vince Young pass complete short right to Ben Hartsock for 7 yards (tackle by Demorrio Williams). Penalty on Jamaal Anderson: Unnecessary Roughness, 15 yards",1.290,3.510
4,12:20,1,10,ATL 31,13,20,Vince Young pass complete short left to Justin Gage for 4 yards (tackle by Chris Houston),3.510,3.510
4,11:38,2,6,ATL 27,13,20,Vince Young pass incomplete deep left intended for Brandon Jones (defended by Chris Crocker),3.510,2.810
4,11:33,3,6,ATL 27,13,20,"Penalty on Vince Young: Delay of Game, 5 yards (no play)",2.810,2.150
4,11:33,3,11,ATL 32,13,20,Vince Young pass complete short right to Bo Scaife for 3 yards (tackle by Michael Boley),2.150,1.500
4,10:48,4,8,ATL 29,13,20,Rob Bironas 47 yard field goal no good,1.500,-1.400
4,10:43,1,10,ATL 37,13,20,Byron Leftwich pass complete deep left to Roddy White for 18 yards (tackle by Calvin Lowry),1.400,2.590
4,10:09,1,10,TEN 45,13,20,"Penalty on Kynan Forney: False Start, 5 yards (no play)",2.590,2.260
4,9:53,1,15,,13,20,Byron Leftwich pass complete short middle to Jerious Norwood for 10 yards (tackle by Keith Bulluck),2.260,2.720
4,9:17,2,5,TEN 40,13,20,Jerious Norwood up the middle for 4 yards (tackle by Tony Brown and Ryan Fowler),2.720,2.540
4,8:41,3,1,TEN 36,13,20,Byron Leftwich up the middle for 1 yard (tackle by Travis LaBoy and Corey Simon),2.540,3.250
4,8:05,1,10,TEN 35,13,20,Byron Leftwich pass incomplete short right intended for Joe Horn,3.250,2.700
4,7:59,2,10,TEN 35,13,20,Byron Leftwich up the middle for no gain (tackle by Kyle Vanden Bosch),2.700,2.010
4,7:05,3,10,TEN 35,13,20,Byron Leftwich pass incomplete short left intended for Michael Jenkins,2.010,0.970
4,6:56,4,10,TEN 35,13,20,"Michael Koenen punts 23 yards, fair catch by Chris Davis",0.970,0.350
4,6:50,1,10,TEN 12,13,20,Chris Brown left end for 3 yards (tackle by Michael Boley),-0.350,-0.500
4,6:17,2,7,TEN 15,13,20,Chris Brown right guard for 3 yards (tackle by Demorrio Williams and Montavious Stanley),-0.500,-0.720
4,5:36,3,4,TEN 18,13,20,Vince Young pass complete short right to Chris Brown for 4 yards (tackle by Demorrio Williams),-0.720,0.410
4,4:51,1,10,TEN 22,13,20,Chris Brown left guard for no gain (tackle by Demorrio Williams and Chris Houston),0.410,-0.130
4,4:22,2,10,TEN 22,13,20,Vince Young pass incomplete short middle intended for Justin Gage is intercepted by Demorrio Williams at TEN-29 and returned for 8 yards (tackle by Justin Gage),-0.130,-4.170
4,4:15,1,10,TEN 21,13,20,Warrick Dunn left end for -1 yards (tackle by Cortland Finnegan and Keith Bulluck),4.170,3.490
4,3:33,,,,13,20,Timeout #1 by Atlanta Falcons,0.000,3.490
4,3:32,2,11,TEN 22,13,20,Byron Leftwich pass incomplete deep left intended for Laurent Robinson,3.490,2.810
4,3:28,3,11,TEN 22,13,20,Byron Leftwich pass incomplete short left intended for Roddy White is intercepted by David Thornton at TEN-14 and returned for 5 yards,2.810,-0.150
4,3:20,1,10,TEN 19,13,20,LenDale White right guard for 4 yards (tackle by John Abraham),0.150,0.210
4,3:15,,,,13,20,Timeout #2 by Atlanta Falcons,0.000,0.210
4,3:14,2,6,TEN 23,13,20,LenDale White right tackle for no gain (tackle by Lawyer Milloy and Michael Boley),0.210,-0.550
4,2:33,3,6,TEN 23,13,20,LenDale White up the middle for 4 yards (tackle by Keith Brooking),-0.550,-1.570
4,2:27,,,,13,20,Timeout #3 by Atlanta Falcons,0.000,-1.570
4,2:26,4,2,TEN 27,13,20,Craig Hentrich up the middle for -8 yards (tackle by Demorrio Williams),-1.570,-4.310
4,2:24,1,10,TEN 19,13,20,Warrick Dunn up the middle for 18 yards (tackle by Kyle Vanden Bosch),4.310,6.970
4,2:00,1,1,TEN 1,13,20,"Byron Leftwich for no gain. Byron Leftwich fumbles, recovered by Warrick Dunn at TEN-9",6.970,4.380
4,1:19,2,9,TEN 9,13,20,Byron Leftwich pass incomplete short right intended for Joe Horn,4.380,3.360
4,1:14,3,9,TEN 9,13,20,"Byron Leftwich pass incomplete short middle intended for Alge Crumpler. Penalty on Antwan Odom: Defensive Offside, 5 yards (no play)",3.360,4.490
4,1:10,3,4,TEN 4,13,20,Byron Leftwich pass incomplete short right intended for Alge Crumpler (defended by David Thornton),4.490,3.030
4,1:05,4,4,TEN 4,13,20,Byron Leftwich sacked by Kyle Vanden Bosch for -8 yards. Penalty on Renardo Foster: Offensive Holding (Declined),3.030,0.350
4,1:00,1,10,TEN 12,13,20,Vince Young kneels for -2 yards,-0.350,-0.930
4,0:34,2,12,TEN 10,13,20,Vince Young kneels for -1 yards,-0.930,-1.770
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
