Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
1,1:29,1,10,MIN 48,21,0,Adrian Peterson right tackle for 8 yards (tackle by Karlos Dansby),2.130,2.660
1,0:58,2,2,ARI 44,21,0,Adrian Peterson right tackle for no gain (tackle by Antrel Rolle and Gabe Watson),2.660,1.950
1,0:18,3,2,ARI 44,21,0,Adrian Peterson right tackle for 25 yards (tackle by Antrel Rolle),1.950,4.310
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 19,21,0,"Tarvaris Jackson pass complete short left to Chester Taylor for 10 yards (tackle by Gerald Hayes). Chester Taylor fumbles (forced by Gerald Hayes), recovered by Gerald Hayes at ARI-9 (tackle by Jeff Dugan)",4.310,0.380
,,,,,,,"MIN challenged the fumble ruling, and the play was upheld.",,
2,14:48,1,10,ARI 9,21,0,Tim Hightower left tackle for 4 yards (tackle by Ellis Wyms),-0.380,-0.480
2,14:07,2,6,ARI 13,21,0,J.J. Arrington left tackle for 16 yards (tackle by Benny Sapp),-0.480,0.870
2,13:28,1,10,ARI 29,21,0,Tim Hightower right tackle for 1 yard (tackle by Kevin Williams and Antoine Winfield),0.870,0.460
2,12:43,2,9,ARI 30,21,0,Kurt Warner pass complete short left to J.J. Arrington for 7 yards (tackle by Cedric Griffin),0.460,0.700
2,12:10,3,2,ARI 37,21,0,Kurt Warner pass complete short right to Anquan Boldin for 2 yards (tackle by Chad Greenway),0.700,1.530
2,11:29,1,10,ARI 39,21,0,Kurt Warner pass incomplete short middle intended for Larry Fitzgerald,1.530,0.990
2,11:24,2,10,ARI 39,21,0,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald (defended by Cedric Griffin),0.990,0.300
2,11:17,3,10,ARI 39,21,0,Kurt Warner pass complete deep right to Jerheme Urban for 23 yards (tackle by Madieu Williams),0.300,3.050
2,10:40,1,10,MIN 38,21,0,Kurt Warner pass incomplete short right intended for Steve Breaston,3.050,2.510
2,10:36,,,,21,0,Timeout #3 by Arizona Cardinals,0.000,2.510
2,10:36,2,10,MIN 38,21,0,Kurt Warner pass complete short right to Tim Hightower for 3 yards (tackle by Antoine Winfield),2.510,2.210
2,9:53,3,7,MIN 35,21,0,"Kurt Warner sacked by Brian Robison for -8 yards. Kurt Warner fumbles (forced by Brian Robison), recovered by Levi Brown at MIN-45",2.210,0.270
2,9:18,4,17,MIN 45,21,0,"Ben Graham punts 36 yards, fair catch by Bernard Berrian",0.270,0.380
2,9:14,1,10,MIN 9,21,0,"Penalty on Bryant McKinnie: False Start, 4 yards (no play)",-0.380,-0.530
2,9:14,1,14,MIN 5,21,0,Adrian Peterson up the middle for 9 yards (tackle by Gerald Hayes),-0.530,-0.390
2,8:36,2,5,MIN 14,21,0,Adrian Peterson right tackle for 5 yards (tackle by Bryan Robinson and Travis LaBoy),-0.390,0.150
2,7:57,1,10,MIN 19,21,0,"Penalty on Ryan Cook: False Start, 5 yards (no play)",0.150,-0.390
2,7:37,1,15,MIN 14,21,0,Tarvaris Jackson pass incomplete deep left intended for Bernard Berrian,-0.390,-1.110
2,7:32,2,15,MIN 14,21,0,"Penalty on Jim Kleinsasser: False Start, 5 yards (no play)",-1.110,-1.510
2,7:32,2,20,MIN 9,21,0,Adrian Peterson up the middle for 32 yards (tackle by Roderick Hood),-1.510,1.660
2,7:00,1,10,MIN 41,21,0,Chester Taylor left tackle for 20 yards (tackle by Adrian Wilson),1.660,2.980
2,6:18,1,10,ARI 39,21,0,Chester Taylor up the middle for 3 yards (tackle by Aaron Francisco),2.980,2.850
2,5:41,2,7,ARI 36,21,0,Adrian Peterson right tackle for 4 yards (tackle by Gerald Hayes and Adrian Wilson),2.850,2.680
2,4:59,3,3,ARI 32,21,0,Chester Taylor left end for 10 yards (tackle by Karlos Dansby and Antrel Rolle),2.680,4.110
2,4:15,1,10,ARI 22,21,0,Chester Taylor left tackle for 10 yards (tackle by Chike Okeafor and Antrel Rolle),4.110,4.780
2,3:33,1,10,ARI 12,21,0,Adrian Peterson right tackle for no gain (tackle by Karlos Dansby and Gerald Hayes),4.780,4.100
2,2:53,2,10,ARI 12,21,0,Chester Taylor left end for 1 yard (tackle by Antonio Smith and Aaron Francisco),4.100,3.290
2,2:13,3,9,ARI 11,27,0,"Tarvaris Jackson pass complete short middle to Chester Taylor for 11 yards, touchdown",3.290,7.000
2,,,,ARI 2,28,0,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,MIN 30,28,0,"Ryan Longwell kicks off 62 yards, returned by J.J. Arrington for 23 yards (tackle by Maurice Hicks)",0.000,1.000
2,2:01,1,10,ARI 31,28,0,Kurt Warner pass complete short right to J.J. Arrington for 9 yards (tackle by Antoine Winfield),1.000,1.680
2,1:54,2,1,ARI 40,28,0,Kurt Warner pass complete short middle to J.J. Arrington for no gain,1.680,0.960
2,1:25,3,1,ARI 40,28,0,Kurt Warner pass incomplete short right intended for Steve Breaston (defended by Cedric Griffin),0.960,-0.720
2,1:20,4,1,ARI 40,28,0,Ben Graham punts 59 yards,-0.720,0.380
2,1:12,1,10,MIN 1,28,0,Tarvaris Jackson up the middle for 1 yard (tackle by Antonio Smith),-0.380,-0.710
2,0:30,2,9,MIN 2,28,0,Tarvaris Jackson up the middle for 1 yard (tackle by Antonio Smith),-0.710,-1.190
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,28,0,"Ryan Longwell kicks off 72 yards, returned by J.J. Arrington for 29 yards (tackle by Erin Henderson)",0.000,0.740
3,14:53,1,10,ARI 27,28,0,Kurt Warner pass complete short right to Steve Breaston for 4 yards (tackle by Madieu Williams),0.740,0.740
3,14:26,2,6,ARI 31,28,0,Kurt Warner pass complete deep right to Steve Breaston for 19 yards (tackle by Darren Sharper),0.740,2.260
3,13:55,1,10,MIN 50,28,6,"Kurt Warner pass complete short right to Jerheme Urban for 50 yards, touchdown",2.260,7.000
3,,,,MIN 2,28,7,Neil Rackers kicks extra point good,0.000,0.000
3,,,,ARI 30,28,7,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
3,13:43,1,10,MIN 20,28,7,Adrian Peterson up the middle for 2 yards (tackle by Karlos Dansby),0.280,0.000
3,13:05,2,8,MIN 22,28,7,Adrian Peterson left end for 14 yards (tackle by Gerald Hayes),0.000,1.330
3,12:43,1,10,MIN 36,28,7,Tarvaris Jackson pass incomplete short right intended for Bobby Wade (defended by Roderick Hood),1.330,0.790
3,12:38,2,10,MIN 36,28,7,Tarvaris Jackson pass complete short right to Naufahu Tahi for no gain,0.790,0.100
3,11:53,3,10,MIN 36,28,7,Tarvaris Jackson pass complete short right to Chester Taylor for 9 yards (tackle by Roderick Hood),0.100,-0.390
3,11:13,4,1,MIN 45,28,7,"Chris Kluwe punts 55 yards, touchback",-0.390,-0.280
3,11:05,1,10,ARI 20,28,7,Kurt Warner pass complete short right to Ben Patrick for 5 yards (tackle by Chad Greenway),0.280,0.410
3,10:34,2,5,ARI 25,28,7,Kurt Warner pass incomplete deep right intended for Steve Breaston (defended by Antoine Winfield),0.410,-0.300
3,10:28,3,5,ARI 25,28,7,Kurt Warner pass complete short left to Ben Patrick for 11 yards (tackle by Chad Greenway),-0.300,1.330
3,10:05,1,10,ARI 36,28,7,Kurt Warner pass incomplete deep left intended for Anquan Boldin,1.330,0.790
3,10:00,2,10,ARI 36,28,7,Kurt Warner pass incomplete short right intended for Larry Fitzgerald,0.790,0.100
3,9:56,3,10,ARI 36,28,7,Kurt Warner pass incomplete,0.100,-0.980
3,9:48,4,10,ARI 36,28,7,"Ben Graham punts 52 yards, returned by Bobby Wade for 8 yards (tackle by Monty Beisel)",-0.980,-0.280
3,9:37,1,10,MIN 20,28,7,"Tarvaris Jackson sacked by Darnell Dockett for -1 yards. Penalty on Darnell Dockett: Unnecessary Roughness, 15 yards",0.280,1.200
3,9:12,1,10,MIN 34,28,7,Adrian Peterson left end for 17 yards (tackle by Antrel Rolle),1.200,2.320
3,8:41,1,10,ARI 49,28,7,Chester Taylor up the middle for 8 yards (tackle by Bertrand Berry),2.320,2.860
3,8:03,2,2,ARI 41,28,7,Adrian Peterson left tackle for 1 yard (tackle by Gerald Hayes),2.860,2.280
3,7:20,3,1,ARI 40,28,7,Tarvaris Jackson pass complete short right to Bobby Wade for 8 yards (tackle by Chike Okeafor),2.280,3.450
3,6:57,1,10,ARI 32,28,7,Adrian Peterson left tackle for 2 yards (tackle by Darnell Dockett and Antrel Rolle),3.450,3.170
3,6:20,2,8,ARI 30,28,7,Adrian Peterson up the middle for 13 yards (tackle by Antrel Rolle),3.170,4.440
,,,,,,,"MIN challenged the fumble ruling, and the original play was overturned.",,
3,5:49,1,10,ARI 17,28,7,Adrian Peterson left end for -3 yards (tackle by Adrian Wilson),4.440,3.490
3,5:23,2,13,ARI 20,28,7,Tarvaris Jackson pass incomplete short left intended for Chester Taylor,3.490,2.810
3,5:19,3,13,ARI 20,28,7,Chester Taylor left guard for 4 yards (tackle by Darnell Dockett),2.810,2.380
3,4:41,4,9,ARI 16,28,13,"Ryan Longwell 34 yard field goal no good, blocked by Dominique Rodgers-Cromartie, recovered by Roderick Hood and returned for 68 yards, touchdown",2.380,-7.000
3,,,,MIN 2,28,14,,0.000,0.000
3,,,,ARI 30,28,14,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
3,4:27,1,10,MIN 20,28,14,Adrian Peterson right tackle for 5 yards (tackle by Adrian Wilson),0.280,0.410
3,3:52,2,5,MIN 25,28,14,Tarvaris Jackson pass complete short right to Naufahu Tahi for 4 yards (tackle by Chike Okeafor),0.410,0.230
3,3:08,3,1,MIN 29,28,14,Tarvaris Jackson up the middle for 1 yard (tackle by Antonio Smith),0.230,0.940
3,2:26,1,10,MIN 30,28,14,Adrian Peterson left tackle for 9 yards (tackle by Adrian Wilson),0.940,1.610
3,1:47,2,1,MIN 39,28,14,Adrian Peterson right tackle for 3 yards (tackle by Calais Campbell),1.610,1.730
3,1:06,1,10,MIN 42,28,14,Adrian Peterson up the middle for -1 yards (tackle by Adrian Wilson and Bryan Robinson),1.730,1.050
3,0:27,2,11,MIN 41,34,14,"Tarvaris Jackson pass complete deep right to Bobby Wade for 59 yards, touchdown",1.050,7.000
3,,,,ARI 2,35,14,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,MIN 30,35,14,"Ryan Longwell kicks off 60 yards, returned by J.J. Arrington for 14 yards (tackle by Husain Abdullah)",0.000,0.540
3,0:10,1,10,ARI 24,35,14,Tim Hightower up the middle for 5 yards (tackle by Ben Leber),0.540,0.670
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,ARI 29,35,14,Kurt Warner pass complete short middle to Larry Fitzgerald for 23 yards (tackle by Darren Sharper),0.670,2.390
4,14:26,1,10,MIN 48,35,14,Kurt Warner pass complete short left to Steve Breaston for 6 yards (tackle by Cedric Griffin),2.390,2.660
4,13:59,2,4,MIN 42,35,14,Kurt Warner pass incomplete short left intended for Larry Fitzgerald (defended by Chad Greenway),2.660,1.950
4,13:55,3,4,MIN 42,35,14,Kurt Warner pass complete short right to Anquan Boldin for 2 yards (tackle by Marcus McCauley),1.950,0.590
4,13:05,,,,35,14,Timeout #1 by Arizona Cardinals,0.000,0.590
4,13:05,4,2,MIN 40,35,14,Kurt Warner pass complete short left to Anquan Boldin for 7 yards (tackle by Antoine Winfield),0.590,3.380
4,12:36,1,10,MIN 33,35,14,"Kurt Warner pass complete short left to J.J. Arrington for 3 yards (tackle by Ben Leber). Penalty on Levi Brown: Offensive Holding, 10 yards (no play)",3.380,2.720
4,11:58,,,,35,14,Timeout #2 by Arizona Cardinals,0.000,2.720
4,11:58,1,20,MIN 43,35,14,Kurt Warner pass complete short left to J.J. Arrington for 8 yards (tackle by Madieu Williams),2.720,2.570
4,11:22,2,12,MIN 35,35,14,Kurt Warner pass complete short left to Larry Fitzgerald for 3 yards (tackle by Cedric Griffin),2.570,2.280
4,10:48,3,9,MIN 32,35,14,Kurt Warner pass complete deep right to Steve Breaston for 17 yards (tackle by Ben Leber),2.280,4.580
4,10:19,1,10,MIN 15,35,14,"Kurt Warner pass incomplete short right intended for J.J. Arrington. Penalty on Reggie Wells: Offensive Holding, 10 yards (no play)",4.580,3.910
4,10:12,1,20,MIN 25,35,14,"Kurt Warner pass complete short right to J.J. Arrington for 6 yards (tackle by Benny Sapp). Penalty on Kevin Williams: Roughing the Passer, 10 yards",3.910,5.140
4,9:48,1,9,MIN 9,35,14,Kurt Warner pass complete short left to Tim Hightower for no gain,5.140,4.380
4,9:05,2,9,MIN 9,35,14,Kurt Warner sacked by Jared Allen for -7 yards,4.380,2.850
4,8:30,3,16,MIN 16,35,14,Kurt Warner pass complete short right to Tim Hightower for 1 yard (tackle by Ben Leber),2.850,2.440
4,7:49,4,15,MIN 15,35,14,Kurt Warner pass incomplete short left intended for Larry Fitzgerald (defended by Cedric Griffin),2.440,0.220
4,7:43,1,10,MIN 15,35,14,Adrian Peterson right tackle for -2 yards (tackle by Chike Okeafor and Darnell Dockett),-0.220,-0.920
4,6:59,2,12,MIN 13,35,14,Adrian Peterson right tackle for 1 yard (tackle by Darnell Dockett and Gabe Watson),-0.920,-1.510
4,6:12,3,11,MIN 14,35,14,Tarvaris Jackson pass incomplete short left intended for Chester Taylor,-1.510,-2.470
4,6:07,4,11,MIN 14,35,14,"Chris Kluwe punts 51 yards, returned by Steve Breaston for no gain",-2.470,-1.270
4,5:53,1,10,ARI 35,35,14,Kurt Warner pass complete short right to Larry Fitzgerald for 5 yards (tackle by Benny Sapp),1.270,1.400
4,5:30,2,5,ARI 40,35,14,Kurt Warner pass complete short right to Jerheme Urban for 9 yards (tackle by Marcus McCauley),1.400,2.190
4,5:03,1,10,ARI 49,35,14,"Kurt Warner pass incomplete short right intended for Steve Breaston. Penalty on Marcus McCauley: Defensive Holding, 5 yards (no play)",2.190,2.520
4,4:57,1,10,MIN 46,35,14,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald,2.520,1.980
4,4:52,2,10,MIN 46,35,14,"Kurt Warner sacked by Jared Allen for -3 yards. Penalty on Deuce Lutui: Unnecessary Roughness, 15 yards",1.980,-1.090
4,4:47,3,28,ARI 36,35,14,Kurt Warner pass complete short right to J.J. Arrington for -4 yards (tackle by Antoine Winfield),-1.090,-1.240
4,4:12,4,32,ARI 32,35,14,"Ben Graham punts 44 yards, fair catch by Bernard Berrian",-1.240,-0.540
4,4:06,1,10,MIN 24,35,14,Chester Taylor right tackle for 1 yard (tackle by Adrian Wilson),0.540,0.130
4,3:25,2,9,MIN 25,35,14,Bernard Berrian for 1 yard (tackle by Antrel Rolle),0.130,-0.430
4,3:18,3,8,MIN 26,35,14,Chester Taylor up the middle for 7 yards (tackle by Gabe Watson),-0.430,-1.180
4,2:33,4,1,MIN 33,35,14,"Chris Kluwe punts 37 yards, returned by Steve Breaston for 25 yards (tackle by Erin Henderson)",-1.180,-2.590
4,2:20,1,10,MIN 45,35,14,Tim Hightower left tackle for 2 yards (tackle by Erin Henderson),2.590,2.310
4,2:00,2,8,MIN 43,35,14,Matt Leinart pass complete short left to Tim Hightower for 8 yards (tackle by Ellis Wyms),2.310,3.250
4,1:24,1,10,MIN 35,35,14,Tim Hightower up the middle for 8 yards (tackle by Marcus McCauley),3.250,3.780
4,0:39,2,2,MIN 27,35,14,Matt Leinart pass incomplete deep right intended for Anquan Boldin,3.780,3.070
4,0:32,3,2,MIN 27,35,14,Matt Leinart pass incomplete short left intended for Stephen Spach,3.070,1.800
4,0:27,4,2,MIN 27,35,14,Matt Leinart pass complete short left to Tim Hightower for 8 yards (tackle by Erin Henderson),1.800,4.310
4,0:01,1,10,MIN 19,35,14,Matt Leinart pass complete short left to Larry Fitzgerald for 12 yards (tackle by Erin Henderson),4.310,3.510
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
