Quarter,Time,Down,ToGo,Location,CHI,CIN,Detail,EPB,EPA
1,9:47,1,10,CHI 18,6,0,Mitch Trubisky pass complete short middle to Kendall Wright for 6 yards (tackle by Vincent Rey),0.040,0.410
1,9:09,2,4,CHI 24,6,0,Mitch Trubisky pass complete short right to Kendall Wright for 3 yards (tackle by George Iloka),0.410,-0.020
1,8:26,3,1,CHI 27,6,0,Jordan Howard right tackle for 5 yards (tackle by Vincent Rey),-0.020,1.070
1,7:49,1,10,CHI 32,6,0,Jordan Howard right end for -2 yards (tackle by Jordan Evans),1.070,0.260
1,7:13,2,12,CHI 30,6,0,"Mitch Trubisky left tackle for 1 yard (tackle by William Jackson). Penalty on Mitch Trubisky: Illegal Forward Pass, 5 yards",0.260,-0.960
,,,,,,,"CHI challenged the illegal forward pass ruling, and the play was upheld.",,
1,6:48,3,16,CHI 26,6,0,Mitch Trubisky pass complete short left to Daniel Brown for 3 yards,-0.960,-1.440
1,6:23,4,13,CHI 29,6,0,"Pat O'Donnell punts 50 yards, returned by Alex Erickson for 7 yards (tackle by Christian Jones)",-1.440,-0.810
1,6:14,1,10,CIN 28,6,0,Giovani Bernard left tackle for 7 yards (tackle by Danny Trevathan and Sam Acho),0.810,1.210
1,5:37,2,3,CIN 35,6,0,Giovani Bernard left tackle for 4 yards (tackle by John Jenkins and Danny Trevathan),1.210,1.530
1,5:02,1,10,CIN 39,6,0,Giovani Bernard right tackle for 21 yards (tackle by Danny Trevathan),1.530,2.920
1,4:31,1,10,CHI 40,6,0,Andy Dalton pass complete short left to A.J. Green for 13 yards (tackle by Eddie Jackson),2.920,3.780
1,3:51,1,10,CHI 27,6,0,Brian Hill middle for 4 yards (tackle by John Jenkins),3.780,3.770
1,3:06,2,6,CHI 23,6,0,Andy Dalton pass complete short middle to A.J. Green for 9 yards (tackle by Sam Acho),3.770,4.650
1,2:22,1,10,CHI 14,6,6,"Andy Dalton pass complete short left to Brandon LaFell for 14 yards, touchdown",4.650,7.000
1,2:15,,,CHI 15,6,7,Randy Bullock kicks extra point good,0.000,0.000
1,2:15,,,CIN 35,6,7,"Randy Bullock kicks off 60 yards, returned by Tarik Cohen for 22 yards (tackle by C.J. Uzomah). Penalty on John Timu: Offensive Holding, 10 yards",0.000,0.350
1,2:10,1,10,CHI 12,6,7,Jordan Howard left guard for 10 yards (tackle by George Iloka),-0.350,0.410
1,1:30,1,10,CHI 22,6,7,Jordan Howard left end for 1 yard (tackle by Ryan Glasgow and Michael Johnson),0.410,0.000
1,0:44,2,9,CHI 23,6,7,Mitch Trubisky pass complete short left to Dion Sims for 13 yards (tackle by Vincent Rey),0.000,1.330
1,0:05,1,10,CHI 36,6,7,Jordan Howard left end for 16 yards (tackle by Clayton Fejedelem),1.330,2.390
Quarter,Time,Down,ToGo,Location,CHI,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 48,6,7,Mitch Trubisky pass complete short right to Josh Bellamy for 36 yards (tackle by George Iloka),2.390,4.780
2,14:14,1,10,CIN 12,6,7,Jordan Howard right guard for 2 yards (tackle by Jordan Willis),4.780,4.450
2,13:36,2,8,CIN 10,6,7,"Mitch Trubisky pass incomplete short left intended for Michael Burton. Penalty on Charles Leno: Ineligible Downfield Pass, 5 yards (no play)",4.450,3.660
2,13:30,2,13,CIN 15,6,7,"Mitch Trubisky pass complete short right to Tarik Cohen for 3 yards. Penalty on Tom Compton: Illegal Block Above the Waist, 10 yards",3.660,2.870
2,13:24,2,20,CIN 22,6,7,Mitch Trubisky pass incomplete short right intended for Kendall Wright (defended by Carlos Dunlap),2.870,2.210
2,13:20,3,20,CIN 22,6,7,Mitch Trubisky pass complete short right to Kendall Wright for 7 yards (tackle by Jordan Evans),2.210,2.440
2,12:42,4,13,CIN 15,9,7,Mike Nugent 34 yard field goal good,2.440,3.000
2,12:38,,,CHI 35,9,7,"Mike Nugent kicks off 68 yards, returned by Alex Erickson for 32 yards (tackle by Eddie Jackson)",0.000,-0.870
2,12:33,1,10,CIN 29,9,7,Giovani Bernard left tackle for 4 yards (tackle by Danny Trevathan),0.870,0.870
2,11:50,2,6,CIN 33,9,7,Andy Dalton pass incomplete,0.870,0.170
2,11:43,3,6,CIN 33,9,7,Giovani Bernard middle for 10 yards (tackle by Danny Trevathan),0.170,1.800
2,10:59,1,10,CIN 43,9,7,Giovani Bernard right guard for 3 yards (tackle by Danny Trevathan and Eddie Jackson),1.800,1.660
2,10:13,2,7,CIN 46,9,7,Andy Dalton pass incomplete short right intended for Brandon LaFell,1.660,0.960
2,10:08,3,7,CIN 46,9,7,Andy Dalton pass incomplete deep right intended for A.J. Green,0.960,-0.320
2,10:04,4,7,CIN 46,9,7,"Kevin Huber punts 45 yards, fair catch by Tarik Cohen. Penalty on Marcus Cooper: Offensive Holding, 4 yards",-0.320,0.380
2,9:57,1,10,CHI 5,9,7,Jordan Howard left tackle for -2 yards (tackle by Clayton Fejedelem and Andrew Billings),-0.380,-0.930
2,9:21,2,12,CHI 3,9,7,Mitch Trubisky pass complete short right to Adam Shaheen for 18 yards (tackle by George Iloka),-0.930,0.340
2,8:40,1,10,CHI 21,9,7,Jordan Howard right guard for 5 yards (tackle by Kevin Minter and Clayton Fejedelem),0.340,0.480
2,8:07,2,5,CHI 26,9,7,"Penalty on Cody Whitehair: False Start, 5 yards (no play)",0.480,-0.200
2,7:50,2,10,CHI 21,9,7,Mitch Trubisky pass complete short left to Tarik Cohen for 2 yards (tackle by William Jackson),-0.200,-0.630
2,7:05,3,8,CHI 23,9,7,Mitch Trubisky pass complete short right to Kendall Wright for 10 yards (tackle by KeiVarae Russell),-0.630,1.140
2,6:27,1,10,CHI 33,9,7,Jordan Howard middle for 7 yards (tackle by Jordan Evans and Clayton Fejedelem),1.140,1.540
2,5:49,2,3,CHI 40,9,7,Tarik Cohen left end for 19 yards (tackle by Clayton Fejedelem and George Iloka),1.540,2.850
2,5:05,1,10,CIN 41,9,7,"Mitch Trubisky pass complete deep right to Kendall Wright for 22 yards (tackle by Clayton Fejedelem). Penalty on Josh Sitton: Offensive Holding, 10 yards (no play)",2.850,2.190
2,4:35,1,20,CHI 49,9,7,Mitch Trubisky pass incomplete short left intended for Dion Sims,2.190,0.960
2,4:30,2,20,CHI 49,9,7,Mitch Trubisky pass complete short right to Jordan Howard for 8 yards (tackle by Darqueze Dennard),0.960,1.350
2,3:47,3,12,CIN 43,9,7,Mitch Trubisky pass complete short right to Benny Cunningham for 9 yards (tackle by Jordan Evans),1.350,0.000
2,3:01,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-1.090
2,3:01,4,3,CIN 34,9,7,Mitch Trubisky pass complete short right to Adam Shaheen for 16 yards (tackle by George Iloka),1.090,4.370
2,2:23,1,10,CIN 18,9,7,Mitch Trubisky pass complete short middle to Adam Shaheen for 9 yards (tackle by Kevin Minter),4.370,5.420
2,2:00,2,1,CIN 9,9,7,Jordan Howard right end for no gain (tackle by Jordan Evans),5.420,4.740
2,1:56,3,1,CIN 9,9,7,Mitch Trubisky pass incomplete short right intended for Adam Shaheen (defended by William Jackson),4.740,2.980
2,1:50,4,1,CIN 9,12,7,Mike Nugent 27 yard field goal good,2.980,3.000
2,1:46,,,CHI 35,12,7,"Mike Nugent kicks off 62 yards, returned by Alex Erickson for 15 yards (tackle by Marcus Cooper). Penalty on Ryan Glasgow: Offensive Holding, 7 yards",0.000,0.380
2,1:40,1,10,CIN 7,12,7,Andy Dalton pass incomplete short left intended for Giovani Bernard,-0.380,-0.780
2,1:35,2,10,CIN 7,12,7,Andy Dalton sacked by Roy Robertson-Harris for -5 yards,-0.780,-2.010
2,0:49,3,15,CIN 2,12,7,Giovani Bernard left guard for 7 yards (tackle by Chris Prosinski and Sam Acho),-2.010,0.000
2,0:44,,,,,,Timeout #3 by Chicago Bears,0.000,2.490
2,0:44,4,8,CIN 9,12,7,"Kevin Huber punts 49 yards, returned by Tarik Cohen for 6 yards (tackle by Clayton Fejedelem)",-2.490,-2.130
2,0:32,1,10,CHI 48,12,7,Mitch Trubisky pass complete short right to Benny Cunningham for 5 yards (tackle by KeiVarae Russell),2.130,2.260
2,0:26,2,5,CIN 47,12,7,Mitch Trubisky pass complete short right to Daniel Brown for 6 yards (tackle by Jordan Evans). Penalty on Carlos Dunlap: Defensive Offside (Declined),2.260,2.850
2,0:22,1,10,CIN 41,12,7,Mitch Trubisky sacked by Michael Johnson for -11 yards,2.850,0.820
2,0:02,2,21,CHI 48,12,7,Mitch Trubisky spiked the ball,0.820,0.170
2,0:01,3,21,CHI 48,12,7,"Mitch Trubisky pass incomplete deep right intended for Dion Sims. Penalty on Chris Smith: Roughing the Passer, 15 yards (no play)",0.170,3.120
2,0:00,1,10,CIN 37,12,7,Mitch Trubisky pass incomplete deep middle intended for Josh Bellamy (defended by A.J. Green),3.120,2.570
Quarter,Time,Down,ToGo,Location,CHI,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,12,7,"Randy Bullock kicks off 62 yards, returned by Tarik Cohen for 22 yards (tackle by Cody Core)",0.000,-0.610
3,14:55,1,10,CHI 25,12,7,Jordan Howard right guard for 16 yards (tackle by George Iloka),0.610,1.660
3,14:16,1,10,CHI 41,12,7,Jordan Howard right tackle for 3 yards (tackle by Vincent Rey),1.660,1.530
3,13:47,2,7,CHI 44,12,7,"Penalty on CHI: Offensive 12 On-field, 5 yards (no play)",1.530,0.850
3,13:29,2,12,CHI 39,12,7,Mitch Trubisky sacked by Michael Johnson for -10 yards,0.850,-1.150
3,12:43,3,22,CHI 29,12,7,Mitch Trubisky pass complete short right to Kendall Wright for 10 yards (tackle by Carlos Dunlap),-1.150,-0.780
3,11:58,4,12,CHI 39,12,7,Pat O'Donnell punts 46 yards,-0.780,0.220
3,11:48,1,10,CIN 15,12,7,Giovani Bernard right guard for 1 yard (tackle by Danny Trevathan and Sam Acho),-0.220,-0.580
3,11:08,2,9,CIN 16,12,7,Andy Dalton pass complete short right to A.J. Green for 4 yards (tackle by Kyle Fuller),-0.580,-0.760
3,10:30,3,5,CIN 20,12,7,Andy Dalton pass incomplete short right intended for Tyler Kroft (defended by Danny Trevathan),-0.760,-2.030
3,10:22,4,5,CIN 20,12,7,"Kevin Huber punts 57 yards, returned by Tarik Cohen for 1 yard (tackle by C.J. Uzomah)",-2.030,-0.540
3,10:09,1,10,CHI 24,12,7,Mitch Trubisky pass complete short middle to Kendall Wright for 11 yards (tackle by Vincent Rey),0.540,1.270
3,9:35,1,10,CHI 35,12,7,Jordan Howard right guard for no gain (tackle by Jordan Evans),1.270,0.720
3,8:57,2,10,CHI 35,12,7,Mitch Trubisky pass complete short middle to Kendall Wright for 18 yards (tackle by Jordan Evans),0.720,2.460
3,8:20,1,10,CIN 47,12,7,Jordan Howard middle for 5 yards (tackle by Jordan Evans),2.460,2.590
3,7:39,2,5,CIN 42,12,7,Tarik Cohen left tackle for no gain (tackle by Michael Johnson),2.590,1.880
3,6:55,3,5,CIN 42,12,7,Mitch Trubisky pass complete short middle to Kendall Wright for 9 yards (tackle by Darqueze Dennard),1.880,3.380
3,6:21,1,10,CIN 33,12,7,Mitch Trubisky pass complete short left to Dion Sims for 19 yards (tackle by Clayton Fejedelem),3.380,4.650
3,5:40,1,10,CIN 14,12,7,Jordan Howard middle for 10 yards (tackle by Clayton Fejedelem),4.650,6.280
3,4:59,1,4,CIN 4,18,7,"Mitch Trubisky right end for 4 yards, touchdown",6.280,7.000
3,4:54,,,CIN 15,19,7,Mike Nugent kicks extra point good,0.000,0.000
3,4:54,,,CHI 35,19,7,"Mike Nugent kicks off 59 yards, returned by Alex Erickson for 27 yards (tackle by Sherrick McManis)",0.000,-1.140
3,4:47,1,10,CIN 33,19,7,Andy Dalton pass complete short left to Giovani Bernard for 2 yards (tackle by Prince Amukamara),1.140,0.860
3,4:05,2,8,CIN 35,19,7,Giovani Bernard right end for 1 yard (tackle by Nick Kwiatkoski),0.860,0.300
3,3:22,3,7,CIN 36,19,7,Andy Dalton pass incomplete short middle intended for A.J. Green is intercepted by Eddie Jackson at CIN-49 and returned for 6 yards,0.300,-2.720
3,3:15,1,10,CIN 43,19,7,Mitch Trubisky pass incomplete deep right intended for Josh Bellamy,2.720,2.180
3,3:09,2,10,CIN 43,19,7,Jordan Howard left guard for 14 yards (tackle by Josh Shaw),2.180,3.640
3,2:25,1,10,CIN 29,19,7,Jordan Howard left end for 4 yards (tackle by Clayton Fejedelem),3.640,3.640
3,1:45,2,6,CIN 25,19,7,Jordan Howard right end for 14 yards (tackle by Vincent Rey and Clayton Fejedelem),3.640,4.840
3,0:59,1,10,CIN 11,19,7,Tarik Cohen middle for 9 yards (tackle by Clayton Fejedelem),4.840,5.850
3,0:16,2,1,CIN 2,19,7,Michael Burton middle for no gain (tackle by Andrew Billings),5.850,5.120
Quarter,Time,Down,ToGo,Location,CHI,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CIN 2,19,7,"Mitch Trubisky pass incomplete short right intended for Adam Shaheen. Penalty on Kevin Minter: Defensive Pass Interference, 1 yards (no play)",5.120,6.970
4,14:57,1,1,CIN 1,25,7,"Mitch Trubisky pass complete short right to Adam Shaheen for 1 yard, touchdown",6.970,7.000
4,14:52,,,CIN 15,26,7,"Mike Nugent kicks extra point good. Penalty on KeiVarae Russell: Defensive Offside, 5 yards",0.000,0.000
4,14:52,,,CHI 40,26,7,"Mike Nugent kicks off 60 yards, touchback",0.000,-0.610
4,14:52,1,10,CIN 25,26,7,"Andy Dalton pass complete deep middle to A.J. Green for 18 yards (tackle by Nick Kwiatkoski). Penalty on Nick Kwiatkoski: Unnecessary Roughness, 15 yards",0.610,2.790
4,14:29,1,10,CHI 42,26,7,Andy Dalton pass complete short left to Giovani Bernard for no gain,2.790,2.240
4,13:44,2,10,CHI 42,26,7,Andy Dalton pass incomplete deep middle intended for Josh Malone,2.240,1.550
4,13:37,3,10,CHI 42,26,7,"Andy Dalton pass complete deep left to A.J. Green for 20 yards (tackle by Eddie Jackson). A.J. Green fumbles (forced by Eddie Jackson), recovered by Eddie Jackson at CHI-20",1.550,-0.280
,,,,,,,"CHI challenged the pass completion ruling, and the original play was overturned.",,
4,13:31,1,10,CHI 20,26,7,Mitch Trubisky pass complete short middle to Kendall Wright for 15 yards (tackle by Josh Shaw),0.280,1.270
4,12:55,1,10,CHI 35,26,7,Jordan Howard right guard for -1 yards (tackle by Andrew Billings and Josh Shaw),1.270,0.590
4,12:16,2,11,CHI 34,26,7,Jordan Howard left tackle for 3 yards (tackle by Ryan Glasgow and Michael Johnson),0.590,0.300
4,11:33,3,8,CHI 37,26,7,Mitch Trubisky pass complete deep right to Kendall Wright for 18 yards (tackle by KeiVarae Russell),0.300,2.590
4,10:47,1,10,CIN 45,26,7,Tarik Cohen right end for 29 yards (tackle by Darqueze Dennard),2.590,4.510
4,10:11,1,10,CIN 16,26,7,Jordan Howard left end for 8 yards (tackle by George Iloka),4.510,5.350
4,9:25,2,2,CIN 8,32,7,"Jordan Howard middle for 8 yards, touchdown",5.350,7.000
4,9:18,,,CIN 15,33,7,Mike Nugent kicks extra point good,0.000,0.000
4,9:18,,,CHI 35,33,7,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
4,9:18,1,10,CIN 25,33,7,Andy Dalton pass incomplete short middle intended for A.J. Green (defended by Nick Kwiatkoski),0.610,0.060
4,9:13,2,10,CIN 25,33,7,Andy Dalton pass complete short right to Giovani Bernard for 17 yards (tackle by Nick Kwiatkoski and Danny Trevathan),0.060,1.730
4,8:45,1,10,CIN 42,33,7,Andy Dalton pass complete short left to Giovani Bernard for 8 yards (tackle by Prince Amukamara),1.730,2.270
4,8:17,2,2,,33,7,Andy Dalton pass complete short middle to Tyler Boyd for 15 yards (tackle by Bryce Callahan),2.270,3.250
4,7:44,1,10,CHI 35,33,7,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Prince Amukamara),3.250,2.700
4,7:38,2,10,CHI 35,33,7,"Andy Dalton sacked by Howard Jones and Jonathan Bullard for -4 yards. Penalty on Danny Trevathan: Defensive Holding, 5 yards (no play)",2.700,3.580
4,7:32,1,10,CHI 30,33,7,Brian Hill left end for 4 yards (tackle by Prince Amukamara),3.580,3.570
4,6:59,2,6,CHI 26,33,7,Andy Dalton sacked by Lamarr Houston for -10 yards,3.570,1.550
4,6:31,3,16,CHI 36,33,7,Andy Dalton pass incomplete short right intended for Tyler Boyd,1.550,0.880
4,6:25,4,16,CHI 36,33,7,Andy Dalton pass incomplete short middle intended for Tyler Boyd (defended by Nick Kwiatkoski),0.880,-1.330
4,6:19,1,10,CHI 36,33,7,Tarik Cohen left end for -5 yards (tackle by Michael Johnson),1.330,0.120
4,5:35,2,15,CHI 31,33,7,Tarik Cohen right end for -1 yards (tackle by Jordan Willis),0.120,-0.690
4,4:50,3,16,CHI 30,33,7,Tarik Cohen middle for 11 yards (tackle by William Jackson),-0.690,0.000
4,4:41,,,,,,Timeout #1 by Cincinnati Bengals,0.000,0.650
4,4:41,4,5,CHI 41,33,7,"Pat O'Donnell punts 46 yards, returned by Alex Erickson for 5 yards (tackle by Sam Acho)",-0.650,-0.040
4,4:30,1,10,CIN 18,33,7,A.J. McCarron pass complete short right to Giovani Bernard for 27 yards (tackle by Chris Prosinski and Danny Trevathan),0.040,1.930
4,3:55,1,10,CIN 45,33,7,A.J. McCarron pass incomplete short left intended for Brandon LaFell,1.930,1.380
4,3:50,2,10,CIN 45,33,7,A.J. McCarron pass complete short right to Brandon LaFell for 4 yards (tackle by Kyle Fuller),1.380,1.220
4,3:41,3,6,CIN 49,33,7,A.J. McCarron pass complete short middle to Giovani Bernard for 14 yards (tackle by Prince Amukamara),1.220,3.120
4,3:07,1,10,CHI 37,33,7,A.J. McCarron pass incomplete short right intended for Brandon LaFell (defended by Kyle Fuller),3.120,2.570
4,3:03,2,10,CHI 37,33,7,A.J. McCarron sacked by Howard Jones for -9 yards,2.570,0.000
4,2:53,,,,,,Timeout #2 by Cincinnati Bengals,0.000,-0.700
4,2:53,3,19,CHI 46,33,7,A.J. McCarron pass incomplete short right intended for Giovani Bernard,0.700,0.200
4,2:48,4,19,CHI 46,33,7,A.J. McCarron pass incomplete deep left intended for C.J. Uzomah,0.200,-1.990
4,2:41,1,10,CHI 46,33,7,Tarik Cohen right end for 5 yards (tackle by Tony McRae),1.990,2.130
4,2:00,2,5,CIN 49,33,7,Tarik Cohen right end for 3 yards (tackle by Ryan Glasgow),2.130,1.820
4,1:14,3,2,CIN 46,33,7,Tarik Cohen right guard for -1 yards (tackle by Jordan Evans),1.820,0.000
4,0:27,,,,,,Timeout #1 by Chicago Bears,0.000,-0.130
4,0:27,4,3,CIN 47,33,7,Tarik Cohen left end for -3 yards (tackle by Andrew Billings),0.130,-2.260
4,0:23,1,10,,33,7,A.J. McCarron pass complete short right to Brian Hill for 2 yards (tackle by John Timu),2.260,1.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
