Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
2,7:42,1,10,DET 29,13,3,"Penalty on Kelly Butler: False Start, 5 yards (no play)",0.870,0.540
2,7:42,1,15,DET 24,13,3,Kevin Jones left guard for 2 yards (tackle by Brady Poppinga),0.540,-0.080
2,7:04,2,13,DET 26,13,3,Jeff Garcia pass complete to Marcus Pollard for 8 yards (tackle by Nick Barnett),-0.080,0.300
2,6:32,3,5,DET 34,13,3,Jeff Garcia pass incomplete intended for Mike Williams,0.300,-1.110
2,6:28,4,5,DET 34,13,3,"Nick Harris punts 41 yards, returned by Antonio Chatman for -2 yards (tackle by Andre' Goodman)",-1.110,-0.480
2,6:20,1,10,GNB 23,13,3,Samkon Gado left tackle for no gain (tackle by Dan Wilkinson and Kalimba Edwards),0.480,-0.070
2,5:44,2,10,GNB 23,13,3,Brett Favre pass complete to Donald Lee for 13 yards (tackle by James Davis and Earl Holmes),-0.070,1.330
2,5:08,1,10,GNB 36,13,9,"Samkon Gado right end for 64 yards, touchdown",1.330,7.000
2,,,,DET 2,13,10,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,GNB 30,13,10,"Ryan Longwell kicks off 50 yards, returned by Shawn Bryson for 18 yards (tackle by Nick Collins)",0.000,1.470
2,4:52,1,10,DET 38,13,10,Kevin Jones left end for 5 yards (tackle by Roy Manning and Kabeer Gbaja-Biamila),1.470,1.600
2,4:11,2,5,DET 43,13,10,Shawn Bryson right guard for 3 yards (tackle by Corey Williams),1.600,1.290
2,3:32,3,2,DET 46,13,10,Jeff Garcia pass incomplete intended for Scottie Vines,1.290,-0.320
2,3:28,4,2,DET 46,13,10,Nick Harris punts 51 yards,-0.320,0.380
2,3:16,1,10,GNB 3,13,10,Samkon Gado up the middle for 1 yard (tackle by Cory Redding),-0.380,-0.710
2,2:35,2,9,GNB 4,13,10,Brett Favre pass complete to Donald Lee for 5 yards (tackle by Wali Rainer and James Davis),-0.710,-0.720
2,2:00,3,4,GNB 9,13,10,Brett Favre pass complete to Donald Driver for 5 yards (tackle by Bracy Walker),-0.720,-0.280
2,1:25,1,10,GNB 14,13,10,Brett Favre pass complete to Tony Fisher for -4 yards (tackle by Earl Holmes and Marcus Bell),-0.280,-1.070
2,0:40,2,14,GNB 10,13,10,Tony Fisher right guard for 1 yard (tackle by James Hall),-1.070,-1.770
2,0:34,,,,13,10,Timeout #2 by Detroit Lions,0.000,-1.770
2,0:34,3,13,GNB 11,13,10,Tony Fisher left end for -5 yards (tackle by James Hall),-1.770,-2.490
2,0:27,,,,13,10,Timeout #3 by Detroit Lions,0.000,-2.490
2,0:27,4,18,GNB 6,13,10,B.J. Sander punts 30 yards,-2.490,-3.180
2,0:15,1,10,GNB 36,13,10,Jeff Garcia pass incomplete intended for Mike Williams,3.180,2.640
2,0:11,2,10,GNB 36,13,10,Jeff Garcia pass incomplete intended for Roy Williams (defended by Al Harris),2.640,1.950
2,0:06,3,10,GNB 36,13,10,Jeff Garcia pass complete to Roy Williams for 6 yards (tackle by Al Harris),1.950,1.460
Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,13,10,"Jason Hanson kicks off 35 yards, returned by Kenny Peterson for 5 yards (tackle by Stanley Wilson)",0.000,1.600
3,14:57,1,10,GNB 40,13,10,Brett Favre pass complete to Donald Driver for 2 yards (tackle by Dre' Bly),1.600,1.320
3,14:20,2,8,GNB 42,13,10,Brett Favre pass incomplete intended for Robert Ferguson,1.320,0.630
3,14:14,3,8,GNB 42,13,10,Brett Favre pass incomplete intended for Donald Driver (defended by R.W. McQuarters),0.630,-0.590
3,14:10,4,8,GNB 42,13,10,"B.J. Sander punts 31 yards, muffed catch by R.W. McQuarters, recovered by R.W. McQuarters and returned for no gain",-0.590,-0.740
3,14:03,1,10,DET 27,13,10,Jeff Garcia pass complete to Kevin Jones for 9 yards (tackle by Mark Roman),0.740,1.410
3,13:24,2,1,DET 36,13,10,Artose Pinner right end for 2 yards (tackle by Brady Poppinga and Aaron Kampman),1.410,1.470
3,12:39,1,10,DET 38,13,10,Jeff Garcia pass incomplete intended for Scottie Vines,1.470,0.920
3,12:35,2,10,DET 38,13,10,Artose Pinner left tackle for 2 yards (tackle by Nick Collins),0.920,0.500
3,11:48,3,8,DET 40,13,10,Jeff Garcia left end for 9 yards (tackle by Ahmad Carroll),0.500,2.190
3,11:02,1,10,DET 49,13,10,Jeff Garcia up the middle for 2 yards (tackle by Kabeer Gbaja-Biamila and Grady Jackson),2.190,1.920
3,10:22,2,8,GNB 49,13,10,Kevin Jones left end for 3 yards (tackle by Colin Cole and Nick Barnett),1.920,1.620
3,9:36,3,5,GNB 46,13,10,Jeff Garcia pass complete to Roy Williams for 3 yards (tackle by Marviel Underwood),1.620,0.400
3,9:04,4,2,GNB 43,13,10,Nick Harris punts 40 yards,0.400,0.380
3,8:53,1,10,GNB 3,13,10,Samkon Gado right end for 14 yards (tackle by James Hall),-0.380,-0.060
3,8:17,1,10,GNB 17,13,10,Brett Favre pass incomplete intended for Robert Ferguson,-0.060,-0.580
3,8:13,2,10,GNB 17,13,10,Samkon Gado right guard for 8 yards (tackle by R.W. McQuarters),-0.580,-0.240
3,7:31,3,2,GNB 25,13,10,Brett Favre pass complete to David Martin for 6 yards (tackle by Andre' Goodman and Earl Holmes),-0.240,1.000
3,6:54,1,10,GNB 31,13,10,Samkon Gado right tackle for -1 yards (tackle by Cory Redding),1.000,0.320
3,6:18,2,11,GNB 30,13,10,Samkon Gado left tackle for 4 yards (tackle by James Hall and Kenoy Kennedy),0.320,0.170
3,5:34,3,7,GNB 34,13,10,Brett Favre pass complete to Donald Driver for 6 yards (tackle by Earl Holmes and Kenoy Kennedy),0.170,-0.720
3,5:04,4,1,GNB 40,13,10,"B.J. Sander punts 25 yards, fair catch by R.W. McQuarters",-0.720,-1.270
3,4:58,1,10,DET 35,13,10,Kevin Jones left end for -1 yards (tackle by Aaron Kampman and Nick Barnett),1.270,0.590
3,4:17,2,11,DET 34,13,10,Kevin Jones right tackle for 4 yards (tackle by Aaron Kampman),0.590,0.430
3,3:31,3,7,DET 38,13,10,Jeff Garcia pass complete to Shawn Bryson for 1 yard (tackle by Mark Roman),0.430,-0.780
3,2:55,4,6,DET 39,13,10,"Nick Harris punts 40 yards, fair catch by Antonio Chatman",-0.780,-0.340
3,2:49,1,10,GNB 21,13,10,Brett Favre pass complete to Donald Driver for 19 yards (tackle by Dre' Bly),0.340,1.600
3,2:23,1,10,GNB 40,13,10,Samkon Gado left end for -1 yards (tackle by James Hall),1.600,0.920
3,1:49,2,11,GNB 39,13,10,"Brett Favre pass complete to William Henderson for 15 yards (tackle by Wali Rainer). Penalty on Wali Rainer: Face Mask (15 Yards), 15 yards",0.920,3.510
3,1:21,1,10,DET 31,13,10,Samkon Gado right end for 17 yards (tackle by Bracy Walker),3.510,4.650
3,0:39,1,10,DET 14,13,10,Samkon Gado left end for -3 yards (tackle by Kenoy Kennedy),4.650,3.590
Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,DET 17,13,10,Brett Favre pass incomplete intended for Robert Ferguson (defended by R.W. McQuarters),3.590,2.930
4,14:57,3,13,DET 17,13,10,Brett Favre sacked by James Hall for -4 yards,2.930,2.060
4,14:26,4,17,DET 21,13,13,Ryan Longwell 39 yard field goal good,2.060,3.000
4,,,,GNB 30,13,13,"Ryan Longwell kicks off 57 yards, returned by R.W. McQuarters for 20 yards (tackle by William Henderson)",0.000,1.140
4,14:16,1,10,DET 33,13,13,Jeff Garcia pass complete to Artose Pinner for -1 yards (tackle by Corey Williams and Mike Montgomery),1.140,0.460
4,13:28,2,11,DET 32,13,13,Jeff Garcia for 14 yards (tackle by Kabeer Gbaja-Biamila),0.460,1.990
4,13:01,1,10,DET 46,13,13,Artose Pinner left end for -2 yards (tackle by Grady Jackson),1.990,1.180
4,12:20,2,12,DET 44,13,13,Jeff Garcia pass complete to Roy Williams for 40 yards (tackle by Al Harris),1.180,4.510
4,11:31,1,10,GNB 16,13,13,Jeff Garcia pass complete to Artose Pinner for 1 yard (tackle by Nick Barnett),4.510,4.050
4,10:46,2,9,GNB 15,13,13,Jeff Garcia pass complete to Mike Williams for 6 yards (tackle by Mark Roman and Colin Cole),4.050,4.390
4,10:01,3,3,GNB 9,13,13,Jeff Garcia pass complete to Marcus Pollard for 5 yards (tackle by Mark Roman),4.390,6.280
4,9:21,1,4,GNB 4,13,13,Artose Pinner left end for 3 yards (tackle by Nick Collins and Al Harris),6.280,5.910
4,8:39,2,1,GNB 1,13,13,Artose Pinner left guard for no gain (tackle by Mike Montgomery and Nick Collins),5.910,5.170
4,7:57,3,1,GNB 1,13,13,Artose Pinner right guard for no gain (tackle by Grady Jackson and Nick Barnett),5.170,3.550
4,7:11,,,,13,13,Timeout #1 by Detroit Lions,0.000,3.550
4,7:11,4,1,GNB 1,13,13,Jeff Garcia up the middle for no gain (tackle by Na'il Diggs),3.550,0.380
4,7:07,1,10,GNB 1,13,13,Penalty on Will Whitticker: False Start (no play),-0.380,-0.380
4,7:07,1,10,GNB 1,13,13,Samkon Gado pass incomplete. Penalty on Mark Tauscher: Offensive Holding (Declined),-0.380,-0.780
4,6:59,2,10,GNB 1,13,13,Samkon Gado left guard for 2 yards (tackle by R.W. McQuarters),-0.780,-1.190
4,6:19,3,8,GNB 3,13,13,Brett Favre pass complete to David Martin for 16 yards (tackle by Kalimba Edwards),-1.190,0.150
4,5:35,1,10,GNB 19,13,13,Samkon Gado left end for 10 yards (tackle by Wali Rainer),0.150,0.870
4,4:48,1,10,GNB 29,13,13,Samkon Gado right end for no gain (tackle by James Hall and Earl Holmes),0.870,0.330
4,4:10,2,10,GNB 29,13,13,Samkon Gado right guard for 2 yards (tackle by James Hall and Kenoy Kennedy),0.330,-0.100
4,4:10,3,8,GNB 31,13,13,"Penalty on Will Whitticker: False Start, 5 yards (no play)",-0.100,-0.760
4,3:28,3,13,GNB 26,13,13,Brett Favre pass incomplete intended for Robert Ferguson,-0.760,-1.630
4,3:20,4,13,GNB 26,13,13,"B.J. Sander punts 50 yards, returned by R.W. McQuarters for 9 yards (tackle by Na'il Diggs)",-1.630,-1.140
4,3:07,1,10,DET 33,13,13,Jeff Garcia pass incomplete intended for Roy Williams,1.140,0.590
4,3:04,2,10,DET 33,13,13,Shawn Bryson right end for 4 yards (tackle by Michael Hawkins and Nick Barnett),0.590,0.430
4,2:24,3,6,DET 37,13,13,Jeff Garcia pass incomplete intended for Charles Rogers,0.430,-0.910
4,2:18,4,6,DET 37,13,13,"Nick Harris punts 35 yards, returned by Antonio Chatman for 9 yards (tackle by Donte Curry)",-0.910,-1.400
4,2:10,1,10,GNB 37,13,13,Brett Favre pass incomplete intended for Antonio Chatman,1.400,0.860
4,2:04,2,10,GNB 37,13,13,Brett Favre sacked by Shaun Rogers for -6 yards,0.860,-0.620
4,1:59,3,16,GNB 31,13,13,Brett Favre right end for 7 yards (tackle by James Hall),-0.620,-0.850
4,1:13,4,9,GNB 38,13,13,"B.J. Sander punts 36 yards, returned by R.W. McQuarters for 4 yards (tackle by Marviel Underwood). Penalty on Sean McHugh: Illegal Block Above the , 10 yards",-0.850,-0.280
4,1:02,1,10,DET 20,13,13,Artose Pinner right end for 4 yards (tackle by Nick Barnett),0.280,0.270
4,0:58,2,6,DET 24,13,13,Artose Pinner right guard for 7 yards (tackle by Kabeer Gbaja-Biamila),0.270,1.000
4,0:45,,,,13,13,Timeout #2 by Detroit Lions,0.000,1.000
4,0:45,1,10,DET 31,13,13,Jeff Garcia pass incomplete intended for Scottie Vines,1.000,0.460
4,0:40,2,10,DET 31,13,13,Jeff Garcia pass incomplete intended for Roy Williams (defended by Ahmad Carroll),0.460,-0.230
4,0:37,3,10,DET 31,13,13,Shawn Bryson right tackle for 6 yards (tackle by Mark Roman),-0.230,-0.910
4,0:32,4,4,DET 37,13,13,"Nick Harris punts 37 yards, fair catch by Antonio Chatman",-0.910,-0.670
4,0:25,1,10,GNB 26,13,13,"Brett Favre pass incomplete intended for David Martin. Penalty on David Martin: Illegal Shift, 5 yards (no play)",0.670,0.340
4,0:20,1,15,GNB 21,13,13,Brett Favre pass complete to David Martin for 3 yards (tackle by Earl Holmes),0.340,-0.140
4,0:10,,,,13,13,Timeout #1 by Green Bay Packers,0.000,-0.140
4,0:10,2,12,GNB 24,13,13,"Brett Favre pass incomplete intended for Donald Driver is intercepted by Dre' Bly at DET-23 and returned for 28 yards. Dre' Bly fumbles, recovered by Andre' Goodman at GNB-49",-0.140,0.260
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
,,,,,,,"Packers won the coin toss, Packers to receive the overtime kickoff.",,
OT,15:00,2,12,DET 30,13,13,"Jason Hanson kicks off 68 yards, returned by Antonio Chatman for 33 yards (tackle by Donte Curry)",0.260,1.270
OT,14:54,1,10,GNB 35,13,13,Brett Favre pass incomplete intended for Donald Driver,1.270,0.720
OT,14:47,2,10,GNB 35,13,13,Samkon Gado right end for 3 yards (tackle by Marcus Bell),0.720,0.430
OT,14:05,3,7,GNB 38,13,13,Brett Favre pass complete to William Henderson for 8 yards (tackle by Dre' Bly),0.430,1.990
OT,13:23,1,10,GNB 46,13,13,"Samkon Gado right end for 4 yards (tackle by Shaun Rogers). Penalty on Shaun Rogers: Unnecessary Roughness, 15 yards",1.990,3.250
OT,13:02,1,10,DET 35,13,13,Samkon Gado left tackle for no gain (tackle by Marcus Bell),3.250,2.700
OT,12:20,2,10,DET 35,13,13,Brett Favre pass complete to Robert Ferguson for 17 yards (tackle by Kenoy Kennedy),2.700,4.370
OT,11:53,1,10,DET 18,13,13,Samkon Gado right end for 6 yards (tackle by Dre' Bly and Donte Curry),4.370,4.810
OT,11:08,2,4,DET 12,13,13,Samkon Gado left tackle for 2 yards (tackle by Wali Rainer),4.810,4.510
OT,10:24,3,2,DET 10,13,13,Samkon Gado right tackle for 1 yard (tackle by Earl Holmes),4.510,2.980
OT,9:47,3,2,DET 10,13,13,Timeout #1 by Detroit Lions,4.510,2.980
OT,9:47,4,1,DET 9,13,16,Ryan Longwell 28 yard field goal good,2.980,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
