Quarter,Time,Down,ToGo,Location,CHI,DAL,Detail,EPB,EPA
2,9:40,4,9,DAL 15,0,7,"Mat McBriar punts 52 yards, returned by R.W. McQuarters for 1 yard (tackle by Keith O'Neil). Penalty on Todd McMillon: Illegal Block Above the Waist, 10 yards",-2.440,-0.540
2,9:27,1,10,CHI 24,0,7,Craig Krenzel pass complete to Anthony Thomas for 9 yards (tackle by Dexter Coakley),0.540,1.210
2,8:49,2,1,CHI 33,0,7,Anthony Thomas right end for no gain (tackle by Leonardo Carson),1.210,0.500
2,8:18,3,1,CHI 33,0,7,Anthony Thomas up the middle for no gain (tackle by Leonardo Carson and DeVone Claybrooks),0.500,-1.180
2,7:59,4,1,CHI 33,0,7,"Brad Maynard punts 42 yards, fair catch by Lance Frazier",-1.180,-0.610
2,7:50,1,10,DAL 25,0,7,Julius Jones up the middle for 7 yards (tackle by Ian Scott),0.610,1.010
2,7:16,2,3,DAL 32,0,7,Julius Jones right tackle for 6 yards (tackle by Michael Green and R.W. McQuarters),1.010,1.470
2,6:36,1,10,DAL 38,0,7,Julius Jones left tackle for 8 yards (tackle by Michael Green). Penalty on Tank Johnson: Defensive Offside (Declined),1.470,2.000
2,6:07,2,2,DAL 46,0,7,Drew Henson pass incomplete intended for Keyshawn Johnson (defended by R.W. McQuarters),2.000,1.290
2,6:07,3,2,DAL 46,6,7,"Drew Henson pass incomplete intended for Quincy Morgan is intercepted by R.W. McQuarters at DAL-45 and returned for 45 yards, touchdown",1.290,-7.000
2,,,,DAL 2,7,7,Paul Edinger kicks extra point good,0.000,0.000
2,,,,CHI 30,7,7,"Paul Edinger kicks off 62 yards, returned by Terrance Copper for 22 yards (tackle by John Gilmore)",0.000,0.940
2,5:51,1,10,DAL 30,7,7,Drew Henson pass incomplete intended for Quincy Morgan,0.940,0.390
2,5:46,2,10,DAL 30,7,7,Drew Henson pass complete to Terrance Copper for 9 yards (tackle by Nathan Vasher),0.390,0.890
2,5:04,3,1,DAL 39,7,7,Julius Jones right guard for no gain (tackle by Alex Brown),0.890,-0.780
2,4:25,4,1,DAL 39,7,7,"Mat McBriar punts 54 yards, returned by R.W. McQuarters for 11 yards (tackle by Jeff Robinson)",-0.780,-0.040
2,4:11,1,10,CHI 18,7,7,Thomas Jones up the middle for 3 yards (tackle by Leonardo Carson),0.040,0.010
2,3:39,2,7,CHI 21,7,7,Jonathan Quinn pass incomplete intended for Bobby Wade (defended by Terence Newman),0.010,-0.790
2,3:34,3,7,CHI 21,7,7,Jonathan Quinn pass incomplete intended for David Terrell,-0.790,-1.960
2,3:22,4,7,CHI 21,7,7,"Brad Maynard punts 36 yards, returned by Lance Frazier for 2 yards",-1.960,-1.930
2,3:22,1,10,DAL 45,7,7,Julius Jones up the middle for -1 yards (tackle by Tommie Harris and Michael Haynes),1.930,1.250
2,2:40,2,11,DAL 44,7,7,Terrance Copper left end for -1 yards (tackle by Michael Green),1.250,0.430
2,1:59,3,12,DAL 43,7,7,Drew Henson pass incomplete intended for Julius Jones,0.430,-0.520
2,1:55,4,12,DAL 43,7,7,"Mat McBriar punts 50 yards, returned by R.W. McQuarters for 24 yards (tackle by Keith O'Neil)",-0.520,-1.000
2,1:41,1,10,CHI 31,7,7,Jonathan Quinn pass complete to Thomas Jones for 17 yards (tackle by Lynn Scott),1.000,2.130
2,1:14,1,10,CHI 48,7,7,Jonathan Quinn pass incomplete intended for Bobby Wade,2.130,1.580
2,1:14,2,10,CHI 48,7,7,Thomas Jones up the middle for 6 yards (tackle by Greg Ellis),1.580,1.680
2,1:08,,,,7,7,Timeout #1 by Chicago Bears,0.000,1.680
2,1:07,3,4,DAL 46,7,7,"Jonathan Quinn sacked by La'Roi Glover for 0 yards. Penalty on David Terrell: False Start, 5 yards (no play)",1.680,1.020
2,1:07,3,9,CHI 49,7,7,Jonathan Quinn pass complete to David Terrell for 11 yards (tackle by Lance Frazier),1.020,2.920
2,0:49,1,10,DAL 40,7,7,Jonathan Quinn sacked by Greg Ellis for -6 yards,2.920,1.560
2,0:45,,,,7,7,Timeout #2 by Chicago Bears,0.000,1.560
2,0:45,2,16,DAL 46,7,7,"Jonathan Quinn pass incomplete intended for David Terrell (defended by Lance Frazier). Penalty on Lance Frazier: Illegal Contact, 5 yards (no play)",1.560,2.850
2,0:41,1,10,DAL 41,7,7,"Jonathan Quinn sacked by Eric Ogbogu and Greg Ellis for -7 yards. Jonathan Quinn fumbles (forced by Eric Ogbogu), recovered by Marc Colombo at CHI-38",2.850,-0.530
2,0:22,2,31,CHI 38,7,7,"Penalty on Marc Colombo: False Start, 5 yards (no play)",-0.530,-1.200
2,0:16,2,36,CHI 33,7,7,Jonathan Quinn pass incomplete intended for Thomas Jones (defended by Dexter Coakley),-1.200,-1.810
2,0:15,3,36,CHI 33,7,7,Thomas Jones up the middle for 2 yards (tackle by Dat Nguyen),-1.810,-1.040
2,0:11,,,,7,7,Timeout #1 by Dallas Cowboys,0.000,-1.040
2,0:11,4,34,CHI 35,7,7,Brad Maynard punts 58 yards,-1.040,1.270
Quarter,Time,Down,ToGo,Location,CHI,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,7,7,Paul Edinger kicks off 30 yards,0.000,1.600
3,15:00,1,10,DAL 40,7,7,Julius Jones right tackle for no gain (tackle by Todd Johnson),1.600,1.050
3,14:26,2,10,DAL 40,7,7,Vinny Testaverde pass complete to Keyshawn Johnson for 7 yards (tackle by R.W. McQuarters),1.050,1.290
3,13:47,3,3,DAL 47,7,7,Julius Jones left tackle for no gain (tackle by Lance Briggs),1.290,-0.260
3,13:12,4,3,DAL 47,7,7,Mat McBriar punts 26 yards,-0.260,-0.740
3,13:04,1,10,CHI 27,7,7,Thomas Jones left end for 5 yards (tackle by Marcellus Wiley),0.740,0.870
3,12:31,2,5,CHI 32,7,7,Thomas Jones for 4 yards,0.870,0.700
3,11:59,3,1,CHI 36,7,7,Thomas Jones left tackle for no gain (tackle by Greg Ellis and La'Roi Glover),0.700,-0.980
3,11:21,4,1,CHI 36,7,7,"Brad Maynard punts 45 yards, fair catch by Lance Frazier",-0.980,-0.150
3,11:13,1,10,DAL 19,7,7,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,0.150,-0.390
3,11:09,2,10,DAL 19,7,7,Julius Jones left tackle for -1 yards (tackle by Michael Green),-0.390,-1.250
3,10:30,3,11,DAL 18,7,7,Vinny Testaverde pass complete to Keyshawn Johnson for 12 yards (tackle by R.W. McQuarters),-1.250,0.940
3,10:04,1,10,DAL 30,7,7,Julius Jones right tackle for 3 yards (tackle by Tommie Harris),0.940,0.800
3,9:29,2,7,DAL 33,7,7,Vinny Testaverde pass complete to Keyshawn Johnson for 7 yards (tackle by Nathan Vasher),0.800,1.600
3,8:55,1,10,DAL 40,7,7,"Vinny Testaverde pass incomplete intended for Terrance Copper is intercepted by R.W. McQuarters at CHI-31 and returned for 40 yards. R.W. McQuarters fumbles, recovered by Flozell Adams at DAL-24",1.600,0.540
3,8:31,1,10,DAL 24,7,7,Julius Jones right tackle for no gain (tackle by Tank Johnson),0.540,0.000
3,7:52,2,10,DAL 24,7,7,"Penalty on Torrin Tucker: False Start, 5 yards (no play)",0.000,-0.740
3,7:31,2,15,DAL 19,7,7,Julius Jones up the middle for no gain (tackle by Hunter Hillenmeyer),-0.740,-1.430
3,6:54,3,15,DAL 19,7,7,Vinny Testaverde pass incomplete intended for Terrance Copper,-1.430,-2.140
3,6:50,4,15,DAL 19,7,7,"Mat McBriar punts 54 yards, returned by R.W. McQuarters for 14 yards (tackle by Dexter Coakley)",-2.140,-1.660
3,6:35,1,10,CHI 41,7,7,Jonathan Quinn pass complete to David Terrell for 23 yards (tackle by Lynn Scott),1.660,3.180
3,5:57,1,10,DAL 36,7,7,Jonathan Quinn pass incomplete intended for Thomas Jones,3.180,2.640
3,5:51,2,10,DAL 36,7,7,Jonathan Quinn pass incomplete intended for David Terrell,2.640,1.950
3,5:46,3,10,DAL 36,7,7,Thomas Jones left tackle for 6 yards (tackle by Dexter Coakley),1.950,1.460
3,5:03,,,,7,7,Timeout #1 by Chicago Bears,0.000,1.460
3,5:03,4,4,DAL 30,7,7,Paul Edinger 48 yard field goal no good,1.460,-1.470
3,4:58,1,10,DAL 38,7,7,Vinny Testaverde pass complete to Jason Witten for 17 yards (tackle by Todd Johnson),1.470,2.590
3,4:18,1,10,CHI 45,7,7,Vinny Testaverde pass incomplete intended for Jason Witten,2.590,2.040
3,4:14,2,10,CHI 45,7,7,Julius Jones left tackle for no gain (tackle by Tommie Harris),2.040,1.360
3,3:35,3,10,CHI 45,7,7,Vinny Testaverde sacked by Michael Haynes for -5 yards,1.360,-0.060
3,3:08,4,15,DAL 50,7,7,"Mat McBriar punts 33 yards, returned by R.W. McQuarters for 3 yards (tackle by Lynn Scott)",-0.060,-0.280
3,2:57,1,10,CHI 20,7,7,Thomas Jones left tackle for 3 yards (tackle by Leonardo Carson),0.280,0.140
3,2:22,,,,7,7,Timeout #2 by Chicago Bears,0.000,0.140
3,2:22,2,7,CHI 23,7,7,Jonathan Quinn pass complete to Bryan Johnson for -2 yards (tackle by Alshermond Singleton),0.140,-0.820
3,1:43,3,9,CHI 21,7,7,"Penalty on Steve Edwards: False Start, 5 yards (no play)",-0.820,-1.690
3,1:28,3,14,CHI 16,7,7,Jonathan Quinn pass complete to Desmond Clark for 6 yards (tackle by Dexter Coakley),-1.690,-1.900
3,0:53,4,8,CHI 22,7,7,Brad Maynard punts 39 yards,-1.900,-1.530
3,0:45,1,10,DAL 39,7,7,Julius Jones up the middle for 4 yards (tackle by Todd Johnson),1.530,1.530
Quarter,Time,Down,ToGo,Location,CHI,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,DAL 43,7,7,Vinny Testaverde pass complete to Keyshawn Johnson for 10 yards (tackle by R.W. McQuarters),1.530,2.460
4,14:13,1,10,CHI 47,7,7,Julius Jones left end for 18 yards (tackle by R.W. McQuarters),2.460,3.640
4,13:44,1,10,CHI 29,7,7,Julius Jones up the middle for 6 yards (tackle by Michael Green),3.640,3.910
4,13:06,2,4,CHI 23,7,7,Julius Jones left tackle for 5 yards (tackle by Hunter Hillenmeyer),3.910,4.370
4,12:35,1,10,CHI 18,7,7,Vinny Testaverde pass complete to Keyshawn Johnson for 11 yards (tackle by R.W. McQuarters),4.370,5.600
4,11:55,1,7,CHI 7,7,7,Julius Jones left tackle for 2 yards (tackle by Hunter Hillenmeyer),5.600,5.150
4,11:15,2,5,CHI 5,7,13,"Vinny Testaverde pass complete to Darian Barnes for 5 yards, touchdown",5.150,7.000
4,,,,CHI 2,7,14,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,DAL 30,7,14,"Billy Cundiff kicks off 48 yards, returned by Bryan Johnson for 18 yards (tackle by Kalen Thornton)",0.000,1.600
4,11:00,1,10,CHI 40,7,14,Jonathan Quinn pass incomplete intended for David Terrell is intercepted by Terence Newman at DAL-47 and returned for 11 yards,1.600,-2.790
4,10:47,1,10,CHI 42,7,14,Vinny Testaverde pass incomplete,2.790,2.240
4,10:40,2,10,CHI 42,7,14,Vinny Testaverde pass complete to Terrance Copper for 13 yards (tackle by Lance Briggs),2.240,3.640
4,9:57,1,10,CHI 29,7,14,Julius Jones left tackle for 13 yards (tackle by Todd Johnson and Hunter Hillenmeyer),3.640,4.510
4,9:14,1,10,CHI 16,7,14,Julius Jones up the middle for 2 yards (tackle by Michael Haynes),4.510,4.210
4,8:33,2,8,CHI 14,7,14,Vinny Testaverde pass complete to Quincy Morgan for 10 yards (tackle by Todd Johnson),4.210,6.280
4,7:45,1,4,CHI 4,7,14,Julius Jones right end for no gain (tackle by R.W. McQuarters),6.280,5.340
4,7:05,2,4,CHI 4,7,20,"Julius Jones up the middle for 4 yards, touchdown",5.340,7.000
4,,,,CHI 2,7,21,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,DAL 30,7,21,"Billy Cundiff kicks off 60 yards, returned by Jerry Azumah for 11 yards (tackle by Keith O'Neil)",0.000,0.340
4,6:55,1,10,CHI 21,7,21,"Jonathan Quinn sacked by Marcellus Wiley for -4 yards. Jonathan Quinn fumbles (forced by Marcellus Wiley), recovered by Olin Kreutz at CHI-17",0.340,-0.860
4,6:28,2,14,CHI 17,7,21,"Penalty on Terrence Metcalf: False Start, 5 yards (no play)",-0.860,-1.440
4,6:13,2,19,CHI 12,7,21,Jonathan Quinn pass complete to Bobby Wade for 10 yards (tackle by Nate Jones),-1.440,-0.760
4,5:43,3,9,CHI 22,7,21,Jonathan Quinn sacked by Eric Ogbogu for -4 yards,-0.760,-2.240
4,5:11,4,13,CHI 18,7,21,"Brad Maynard punts 40 yards, returned by Lance Frazier for 4 yards (tackle by Cameron Worrell)",-2.240,-1.990
4,5:02,1,10,DAL 46,7,21,"Eddie George left end for 8 yards (tackle by Nathan Vasher). Penalty on Quincy Morgan: Offensive Holding, 10 yards (no play)",1.990,1.330
4,4:57,1,20,DAL 36,7,21,Eddie George up the middle for -1 yards (tackle by Joe Odom and Hunter Hillenmeyer),1.330,-0.040
4,4:12,2,21,DAL 35,7,21,Eddie George up the middle for 2 yards (tackle by Todd Johnson),-0.040,-0.430
4,3:26,,,,7,21,Timeout #1 by Dallas Cowboys,0.000,-0.430
4,3:26,3,19,DAL 37,7,21,Eddie George left tackle for 7 yards (tackle by Joe Odom),-0.430,-0.460
4,3:19,,,,7,21,Timeout #3 by Chicago Bears,0.000,-0.460
4,3:19,4,12,DAL 44,7,21,Mat McBriar punts 26 yards,-0.460,-0.940
4,3:11,1,10,CHI 30,7,21,"Penalty on La'Roi Glover: Encroachment, 5 yards (no play)",0.940,1.670
4,3:11,1,5,CHI 35,7,21,Jonathan Quinn pass incomplete intended for Bernard Berrian,1.670,1.070
4,3:06,2,5,CHI 35,7,21,Jonathan Quinn pass complete to Thomas Jones for 6 yards (tackle by Nate Jones),1.070,1.660
4,2:46,1,10,CHI 41,7,21,Jonathan Quinn pass complete to Thomas Jones for 3 yards (tackle by Nate Jones),1.660,1.530
4,2:30,2,7,CHI 44,7,21,Jonathan Quinn pass complete to Thomas Jones for 9 yards (tackle by Terence Newman),1.530,2.460
4,2:12,1,10,DAL 47,7,21,Jonathan Quinn pass incomplete intended for David Terrell,2.460,1.910
4,2:08,2,10,DAL 47,7,21,"Jonathan Quinn pass complete to Bernard Berrian for 5 yards (tackle by Dexter Coakley). Penalty on Qasim Mitchell: Illegal Formation, 5 yards (no play)",1.910,1.240
4,2:01,2,15,CHI 48,7,21,Jonathan Quinn pass complete to Bernard Berrian for 3 yards (tackle by Dexter Coakley),1.240,0.960
4,1:52,3,12,DAL 49,7,21,Jonathan Quinn pass incomplete intended for David Terrell,0.960,0.000
4,1:47,4,12,DAL 49,7,21,Jonathan Quinn pass incomplete intended for Desmond Clark is intercepted by Dat Nguyen at DAL-27 and returned for 2 yards (tackle by Desmond Clark),0.000,-0.870
4,1:40,1,10,DAL 29,7,21,Vinny Testaverde for -1 yards,0.870,0.190
4,1:12,2,11,DAL 28,7,21,Vinny Testaverde for -1 yards,0.190,-0.630
4,0:44,3,12,DAL 27,7,21,Vinny Testaverde for -1 yards,-0.630,-1.630
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
