Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
2,13:58,2,9,CHI 33,10,0,Thomas Jones left tackle for 4 yards (tackle by Justin Smith),0.660,0.500
2,13:17,3,5,CHI 37,10,0,Kyle Orton pass incomplete intended for Mark Bradley is intercepted by Tory James at CIN-37,0.500,-1.400
2,13:03,1,10,CIN 37,10,0,Rudi Johnson left guard for 3 yards (tackle by Mike Brown and Adewale Ogunleye),1.400,1.260
2,12:29,2,7,CIN 40,10,0,Carson Palmer sacked by Adewale Ogunleye for -8 yards,1.260,-0.490
2,12:00,,,,10,0,Timeout #2 by Cincinnati Bengals,0.000,-0.490
2,12:00,3,15,CIN 32,10,0,Carson Palmer pass complete to Chris Perry for 7 yards (tackle by Adewale Ogunleye). Penalty on Eric Steinbach: Offensive Holding (Declined),-0.490,-0.780
2,11:35,4,8,CIN 39,10,0,"Penalty on Reggie Myles: False Start, 5 yards (no play)",-0.780,-1.110
2,11:21,4,13,CIN 34,10,0,"Kyle Larson punts 46 yards, returned by Bobby Wade for 4 yards (tackle by Reggie Myles). Penalty on Leon Joe: Illegal Block Above the , 10 yards",-1.110,0.320
2,11:09,1,10,CHI 13,10,0,Thomas Jones left tackle for 2 yards (tackle by Landon Johnson),-0.320,-0.570
2,10:34,2,8,CHI 15,10,0,Kyle Orton pass incomplete intended for Mark Bradley,-0.570,-1.180
2,10:29,3,8,CHI 15,10,0,Thomas Jones right guard for 7 yards (tackle by Madieu Williams),-1.180,-1.900
2,10:01,4,1,CHI 22,10,0,"Brad Maynard punts 39 yards, fair catch by Keiwan Ratliff",-1.900,-1.530
2,9:54,1,10,CIN 39,10,0,Rudi Johnson right tackle for no gain (tackle by Tommie Harris and Brian Urlacher),1.530,0.990
2,9:20,2,10,CIN 39,10,0,Rudi Johnson right tackle for 7 yards (tackle by Alex Brown and Hunter Hillenmeyer),0.990,1.220
2,8:38,3,3,CIN 46,10,0,Carson Palmer pass complete to Chris Henry for 7 yards (tackle by Brian Urlacher),1.220,2.460
2,8:00,1,10,CHI 47,10,0,Rudi Johnson right guard for -1 yards (tackle by Michael Haynes),2.460,1.780
2,7:22,2,11,CHI 48,10,0,Carson Palmer pass complete to Tony Stewart for 6 yards (tackle by Charles Tillman and Mike Brown),1.780,1.880
2,6:41,3,5,CHI 42,10,0,Carson Palmer pass complete to Chris Henry for 3 yards (tackle by Charles Tillman),1.880,0.660
2,5:59,4,2,CHI 39,10,0,"Kyle Larson punts 26 yards, fair catch by Bobby Wade",0.660,0.320
2,5:52,1,10,CHI 13,10,0,Kyle Orton pass incomplete intended for Muhsin Muhammad is intercepted by Madieu Williams at CIN-44 and returned for 2 yards,-0.320,-1.990
2,5:42,1,10,CIN 46,10,0,Chris Perry right end for 2 yards (tackle by Alex Brown),1.990,1.720
2,5:09,2,8,CIN 48,10,0,Chad Johnson left end for -1 yards (tackle by Alex Brown),1.720,0.890
2,4:32,3,9,CIN 47,10,0,"Carson Palmer pass complete to T.J. Houshmandzadeh for 10 yards (tackle by Nathan Vasher). Penalty on CIN: Illegal Formation, 5 yards (no play)",0.890,0.230
2,4:01,3,14,CIN 42,10,0,"Carson Palmer pass complete to Chris Perry for 10 yards (tackle by Brian Urlacher). Chris Perry fumbles (forced by Brian Urlacher), recovered by Lance Briggs at CHI-47 (tackle by Matt Schobel)",0.230,-2.060
,,,,,,,"CIN challenged the ruling, and the play was upheld.",,
2,3:53,1,10,CHI 47,10,0,Thomas Jones left tackle for 17 yards (tackle by Madieu Williams),2.060,3.180
2,3:23,1,10,CIN 36,10,0,Thomas Jones left end for 16 yards (tackle by Madieu Williams),3.180,4.240
2,2:48,1,10,CIN 20,10,0,"Thomas Jones left guard for 3 yards (tackle by Landon Johnson and Odell Thurman). Penalty on Mark Bradley: Personal Foul, 15 yards",4.240,2.070
2,2:25,2,22,CIN 32,10,0,Thomas Jones left tackle for 7 yards (tackle by Odell Thurman),2.070,2.340
2,2:00,3,15,CIN 25,10,0,Kyle Orton pass complete to Thomas Jones for 4 yards (tackle by Ifeanyi Ohalete and Brian Simmons),2.340,2.060
2,1:12,,,,10,0,Timeout #2 by Chicago Bears,0.000,2.060
2,1:12,4,11,CIN 21,10,0,Doug Brien 39 yard field goal no good,2.060,-0.870
2,1:07,1,10,CIN 29,10,0,Carson Palmer kneels for -1 yards,0.870,0.190
2,0:26,2,11,CIN 28,10,0,Carson Palmer kneels for -1 yards,0.190,-0.630
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 30,10,0,--,0.000,0.540
3,14:55,,,,10,0,Timeout #1 by Cincinnati Bengals,0.000,0.540
3,14:55,1,10,CHI 24,10,0,Thomas Jones right guard for 5 yards (tackle by John Thornton),0.540,0.670
3,14:24,2,5,CHI 29,10,0,Thomas Jones right guard for 2 yards (tackle by Justin Smith and John Thornton),0.670,0.230
3,13:45,3,3,CHI 31,10,0,Kyle Orton pass incomplete intended for Justin Gage,0.230,-1.310
3,13:40,4,3,CHI 31,10,0,"Brad Maynard punts 40 yards, fair catch by Keiwan Ratliff",-1.310,-0.870
3,13:33,1,10,CIN 29,10,0,Rudi Johnson left end for 2 yards (tackle by Ian Scott),0.870,0.600
3,12:52,2,8,CIN 31,10,0,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh,0.600,-0.100
3,12:46,3,8,CIN 31,10,0,"Penalty on Chris Henry: False Start, 5 yards (no play)",-0.100,-0.760
3,12:46,3,13,CIN 26,10,0,Carson Palmer left tackle for 2 yards (tackle by Alex Brown),-0.760,-1.500
3,12:09,4,11,CIN 28,10,0,Kyle Larson punts 40 yards,-1.500,-1.070
3,12:05,1,10,CHI 32,10,0,"Kyle Orton pass incomplete intended for Mark Bradley. Penalty on Deltha O'Neal: Defensive Pass Interfere, 19 yards (no play)",1.070,2.320
3,11:59,1,10,CIN 49,10,0,"Penalty on John Gilmore: False Start, 5 yards (no play)",2.320,1.990
3,11:59,1,15,CHI 46,10,0,Thomas Jones right tackle for 7 yards (tackle by Madieu Williams),1.990,2.050
3,11:23,2,8,CIN 47,10,0,Kyle Orton pass complete to Muhsin Muhammad for 11 yards (tackle by Deltha O'Neal),2.050,3.180
3,10:47,1,10,CIN 36,10,0,Thomas Jones right end for -3 yards (tackle by Madieu Williams),3.180,2.230
3,10:08,2,13,CIN 39,10,0,Kyle Orton pass incomplete intended for Muhsin Muhammad is intercepted by Deltha O'Neal at CIN-30,2.230,-0.940
3,10:01,1,10,CIN 30,10,0,Carson Palmer pass complete to T.J. Houshmandzadeh for 12 yards (tackle by Charles Tillman),0.940,1.730
3,9:32,1,10,CIN 42,10,0,Rudi Johnson right tackle for 9 yards (tackle by Chris Harris),1.730,2.400
3,8:59,2,1,CHI 49,10,0,Rudi Johnson left guard for 2 yards (tackle by Alex Brown),2.400,2.460
3,8:20,1,10,CHI 47,10,0,Rudi Johnson right guard for 8 yards (tackle by Mike Brown and Hunter Hillenmeyer),2.460,2.990
3,7:50,2,2,CHI 39,10,0,Rudi Johnson right guard for 3 yards (tackle by Tommie Harris),2.990,3.180
3,7:15,1,10,CHI 36,10,0,Carson Palmer pass incomplete intended for Chad Johnson (defended by Lance Briggs),3.180,2.640
3,7:11,2,10,CHI 36,16,0,"Carson Palmer pass complete to Chris Henry for 36 yards, touchdown",2.640,7.000
3,,,,CHI 2,17,0,Shayne Graham kicks extra point good,0.000,0.000
3,,,,CIN 30,17,0,"Shayne Graham kicks off 64 yards, returned by Jerry Azumah for 14 yards (tackle by Kevin Walter)",0.000,0.280
3,6:58,1,10,CHI 20,17,0,Thomas Jones right tackle for 3 yards (tackle by Brian Simmons),0.280,0.140
3,6:22,2,7,CHI 23,17,0,Kyle Orton pass incomplete intended for Muhsin Muhammad,0.140,-0.560
3,6:15,3,7,CHI 23,17,0,Kyle Orton pass incomplete intended for Bobby Wade,-0.560,-1.830
3,6:12,4,7,CHI 23,17,0,"Brad Maynard punts 38 yards, returned by Keiwan Ratliff for 4 yards (tackle by Hunter Hillenmeyer). Penalty on Marcus Wilkins: Illegal Block Above the , 10 yards",-1.830,-1.140
3,6:02,1,10,CIN 33,17,0,Carson Palmer pass complete to T.J. Houshmandzadeh for 1 yard (tackle by Mike Brown),1.140,0.730
3,5:29,2,9,CIN 34,17,0,Rudi Johnson left guard for 3 yards (tackle by Brian Urlacher),0.730,0.430
3,4:47,3,6,CIN 37,17,0,Carson Palmer pass complete to Chris Perry for 3 yards (tackle by Brian Urlacher),0.430,-0.720
3,4:10,4,3,CIN 40,17,0,"Kyle Larson punts 34 yards, muffed catch by Bobby Wade, recovered by Bobby Wade and returned for no gain",-0.720,-0.940
3,4:01,1,10,CHI 30,17,0,Thomas Jones left end for 3 yards (tackle by Madieu Williams),0.940,0.800
3,3:28,2,7,CHI 33,17,0,Thomas Jones right guard for 2 yards (tackle by John Thornton),0.800,0.370
3,2:43,3,5,CHI 35,17,0,Kyle Orton pass complete to Mark Bradley for 11 yards (tackle by Keiwan Ratliff),0.370,1.990
3,2:19,1,10,CHI 46,17,0,Kyle Orton pass complete to Thomas Jones for 5 yards (tackle by Brian Simmons and Tory James),1.990,2.130
3,1:39,2,5,CIN 49,17,0,Kyle Orton pass incomplete intended for John Gilmore (defended by Kevin Kaesviharn),2.130,1.420
3,1:36,3,5,CIN 49,17,0,Kyle Orton pass complete to Bobby Wade for 13 yards (tackle by Keiwan Ratliff),1.420,3.180
3,1:12,1,10,CIN 36,17,0,Thomas Jones right tackle for no gain (tackle by Shaun Smith),3.180,2.640
3,0:36,2,10,CIN 36,17,0,Kyle Orton pass incomplete intended for Marc Edwards,2.640,1.950
3,0:30,,,,17,0,Timeout #1 by Chicago Bears,0.000,1.950
3,0:30,3,10,CIN 36,17,0,Thomas Jones right tackle for no gain (tackle by Justin Smith),1.950,0.880
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,10,CIN 36,17,0,Kyle Orton pass complete to Mark Bradley for 15 yards (tackle by Tory James),0.880,4.170
4,14:40,1,10,CIN 21,17,0,"Thomas Jones right end for -2 yards (tackle by Landon Johnson). Penalty on Bryan Robinson: Personal Foul, 12 yards",4.170,4.840
4,14:17,1,10,CIN 11,17,0,Thomas Jones right guard for 4 yards (tackle by Justin Smith),4.840,4.890
4,13:43,2,6,CIN 7,17,0,Kyle Orton pass incomplete intended for Marc Edwards,4.890,3.980
4,13:38,3,6,CIN 7,17,0,"Kyle Orton pass incomplete intended for Muhsin Muhammad. Penalty on Odell Thurman: Defensive Pass Interfere, 5 yards (no play)",3.980,6.740
4,13:34,1,2,CIN 2,17,6,"Thomas Jones left guard for 2 yards, touchdown",6.740,7.000
4,,,,CIN 2,17,7,Doug Brien kicks extra point good,0.000,0.000
4,,,,CHI 30,17,7,"Doug Brien kicks off 68 yards, returned by Tab Perry for 36 yards (tackle by Leon Joe)",0.000,1.470
4,13:21,1,10,CIN 38,17,7,Carson Palmer pass complete to Chad Johnson for 19 yards (tackle by Nathan Vasher),1.470,2.720
4,12:42,1,10,CHI 43,17,7,Rudi Johnson right guard for 3 yards (tackle by Lance Briggs and Brian Urlacher),2.720,2.580
4,12:03,2,7,CHI 40,23,7,"Carson Palmer pass complete to Chad Johnson for 40 yards, touchdown",2.580,7.000
4,,,,CHI 2,24,7,Shayne Graham kicks extra point good,0.000,0.000
4,,,,CIN 30,24,7,"Shayne Graham kicks off 54 yards, returned by Jerry Azumah for 21 yards (tackle by Kevin Walter)",0.000,1.400
4,11:51,1,10,CHI 37,24,7,Kyle Orton pass complete to Muhsin Muhammad for 14 yards (tackle by Deltha O'Neal),1.400,2.320
4,11:29,1,10,CIN 49,24,7,Kyle Orton pass complete to Marc Edwards for 3 yards (tackle by Tory James and Landon Johnson),2.320,2.190
4,10:52,2,7,CIN 46,24,7,Kyle Orton pass incomplete intended for Muhsin Muhammad,2.190,1.490
4,10:47,3,7,CIN 46,24,7,Kyle Orton pass incomplete intended for Muhsin Muhammad,1.490,0.200
4,10:44,4,7,CIN 46,24,7,Kyle Orton pass complete to Muhsin Muhammad for 10 yards (tackle by Odell Thurman),0.200,3.180
4,10:09,1,10,CIN 36,24,7,Kyle Orton pass complete to Bobby Wade for 10 yards (tackle by Odell Thurman),3.180,3.840
4,9:34,1,10,CIN 26,24,7,"Kyle Orton pass complete to Bobby Wade for no gain. Penalty on Gabe Reid: Offensive Holding, 10 yards (no play)",3.840,3.180
4,9:09,1,20,CIN 36,24,7,"Kyle Orton pass complete to Bobby Wade for 7 yards (tackle by Keiwan Ratliff). Bobby Wade fumbles (forced by Keiwan Ratliff), recovered by Deltha O'Neal at CIN-29 and returned for 26 yards (tackle by Muhsin Muhammad)",3.180,-2.590
4,8:57,1,10,CHI 45,24,7,Rudi Johnson right tackle for no gain (tackle by Alex Brown),2.590,2.040
4,8:13,2,10,CHI 45,24,7,Rudi Johnson right tackle for 2 yards (tackle by Hunter Hillenmeyer and Brian Urlacher),2.040,1.620
4,7:35,3,8,CHI 43,24,7,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh,1.620,0.400
4,7:28,4,8,CHI 43,24,7,"Kyle Larson punts 43 yards, touchback",0.400,-0.280
4,7:19,1,10,CHI 20,24,7,Thomas Jones left tackle for 4 yards (tackle by Madieu Williams),0.280,0.270
4,6:51,2,6,CHI 24,24,7,Kyle Orton pass incomplete intended for Mark Bradley,0.270,-0.430
4,6:46,3,6,CHI 24,24,7,Kyle Orton pass complete to Bobby Wade for 17 yards (tackle by Kevin Kaesviharn),-0.430,1.660
4,6:06,1,10,CHI 41,24,7,Kyle Orton pass incomplete intended for Muhsin Muhammad,1.660,1.120
4,6:02,2,10,CHI 41,24,7,Kyle Orton pass complete to Thomas Jones for -5 yards (tackle by Carl Powell and Robert Geathers),1.120,-0.230
4,5:14,3,15,CHI 36,24,7,Kyle Orton pass incomplete intended for Bobby Wade,-0.230,-0.980
4,5:07,4,15,CHI 36,24,7,"Brad Maynard punts 51 yards, returned by Keiwan Ratliff for 13 yards (tackle by Patrick Mannelly)",-0.980,-0.670
4,4:55,1,10,CIN 26,24,7,Rudi Johnson right guard for 2 yards (tackle by Mike Brown),0.670,0.400
4,4:20,2,8,CIN 28,24,7,Rudi Johnson right guard for no gain (tackle by Mike Brown and Todd Johnson),0.400,-0.300
4,4:14,,,,24,7,Timeout #2 by Chicago Bears,0.000,-0.300
4,4:14,3,8,CIN 28,24,7,Rudi Johnson right tackle for 2 yards (tackle by Alex Brown and Charles Tillman),-0.300,-1.370
4,3:32,4,6,CIN 30,24,7,"Kyle Larson punts 49 yards, returned by Bobby Wade for 15 yards (tackle by Hannibal Navies). Penalty on Todd Johnson: Illegal Block Above the (Offsetting), Penalty on Hannibal Navies: Face Mask (5 Yards) (Offsetting)",-1.370,-0.410
4,3:16,1,10,CHI 22,24,7,Kyle Orton pass incomplete intended for Muhsin Muhammad (defended by Deltha O'Neal),0.410,-0.130
4,3:07,2,10,CHI 22,24,7,Kyle Orton pass incomplete intended for Mark Bradley,-0.130,-0.820
4,3:03,3,10,CHI 22,24,7,Kyle Orton pass complete to Adrian Peterson for 7 yards (tackle by Tory James),-0.820,-1.440
4,2:21,4,3,CHI 29,24,7,Kyle Orton pass incomplete intended for Muhsin Muhammad,-1.440,-3.640
4,2:17,1,10,CHI 29,24,7,Rudi Johnson right tackle for 1 yard (tackle by Ian Scott),3.640,3.240
4,2:00,2,9,CHI 28,24,7,Rudi Johnson right guard for 25 yards (tackle by Mike Brown),3.240,6.510
4,1:51,1,3,CHI 3,24,7,Carson Palmer kneels for -1 yards,6.510,5.340
4,1:11,2,4,CHI 4,24,7,Carson Palmer kneels for -2 yards,5.340,4.040
4,0:29,3,6,CHI 6,24,7,Carson Palmer kneels for no gain,4.040,2.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
