Quarter,Time,Down,ToGo,Location,NWE,LAC,Detail,EPB,EPA
1,1:32,1,10,NWE 42,7,7,Mac Jones pass incomplete short middle intended for Rhamondre Stevenson,,
1,1:26,2,10,NWE 42,7,7,Damien Harris left guard for 5 yards (tackle by Kyler Fackrell),,
1,0:39,3,5,NWE 47,7,7,Mac Jones sacked by Jerry Tillery for -7 yards,,
Quarter,Time,Down,ToGo,Location,NWE,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,12,NWE 40,7,7,"Jake Bailey punts 46 yards, fair catch by Andre Roberts at LAC-14",,
2,14:51,1,10,LAC 14,7,7,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Kyle Van Noy),,
2,14:49,2,10,LAC 14,7,7,Justin Jackson left end for 75 yards (tackle by J.C. Jackson),,
2,13:58,1,10,NWE 11,7,7,Austin Ekeler left guard for 3 yards (tackle by Ja'Whaun Bentley),,
2,13:20,2,7,NWE 8,7,7,Austin Ekeler right guard for 3 yards (tackle by Matt Judon and Jalen Mills),,
2,12:40,3,4,NWE 5,7,13,"Justin Herbert pass complete short middle to Keenan Allen for 5 yards, touchdown",,
2,12:35,,,NWE 15,7,14,Dustin Hopkins kicks extra point good,,
2,12:35,,,LAC 35,7,14,"Dustin Hopkins kicks off 65 yards, touchback.",,
2,12:35,1,10,NWE 25,7,14,Mac Jones pass complete short left to Jonnu Smith for 11 yards (tackle by Nasir Adderley),,
2,11:57,1,10,NWE 36,7,14,Damien Harris up the middle for 6 yards (tackle by Christian Covington),,
2,11:21,2,4,NWE 42,7,14,"Penalty on Jonnu Smith: False Start, 5 yards (accepted) (no play)",,
2,11:08,2,9,NWE 37,7,14,Damien Harris left guard for 5 yards (tackle by Uchenna Nwosu and Derwin James),,
2,10:24,3,4,NWE 42,7,14,"Mac Jones scrambles up the middle for 6 yards (tackle by Chris Harris). Penalty on Alohi Gilman: Unnecessary Roughness / Defense, 15 yards (accepted)",,
2,10:07,1,10,LAC 37,7,14,Mac Jones pass complete deep left to Hunter Henry for 33 yards (tackle by Asante Samuel),,
2,9:29,1,4,LAC 4,7,14,Mac Jones pass incomplete intended for Kendrick Bourne,,
2,9:23,2,4,LAC 4,7,14,Damien Harris up the middle for 3 yards (tackle by Kyzir White and Jerry Tillery),,
2,8:43,3,1,LAC 1,7,14,Mac Jones pass incomplete short left intended for Hunter Henry,,
2,8:39,,,,,,Timeout #2 by Los Angeles Chargers,,
2,8:39,4,1,LAC 1,7,14,Mac Jones pass incomplete short left intended for Jakobi Meyers,,
2,8:36,1,10,LAC 2,7,14,Justin Jackson up the middle for 1 yard (tackle by Deatrich Wise),,
2,7:56,2,9,LAC 3,7,14,Justin Herbert pass complete short right to Mike Williams for 5 yards (tackle by Joejuan Williams),,
2,7:13,3,4,LAC 8,7,14,Justin Herbert pass incomplete short right,,
2,7:04,4,4,LAC 8,7,14,"Ty Long punts 50 yards, returned by Gunner Olszewski for 22 yards (tackle by Nick Niemann)",,
2,6:51,1,10,LAC 36,7,14,Mac Jones pass incomplete deep right intended for Kendrick Bourne,,
2,6:46,2,10,LAC 36,7,14,Mac Jones pass complete short right to Kendrick Bourne for 7 yards (tackle by Kyzir White),,
2,6:12,3,3,LAC 29,7,14,Brandon Bolden right guard for 7 yards (tackle by Derwin James and Drue Tranquill),,
2,5:34,1,10,LAC 22,7,14,Damien Harris left guard for 4 yards (tackle by Chris Harris),,
2,5:00,2,6,LAC 18,7,14,Damien Harris up the middle for 7 yards (tackle by Nasir Adderley),,
2,4:27,1,10,LAC 11,7,14,Damien Harris right tackle for 5 yards (tackle by Linval Joseph and Kyzir White),,
2,3:43,2,5,LAC 6,7,14,Mac Jones pass incomplete short right,,
2,3:37,3,5,LAC 6,7,14,Mac Jones pass incomplete short right intended for Hunter Henry,,
2,3:33,4,5,LAC 6,10,14,Nick Folk 24 yard field goal good,,
2,3:29,,,NWE 35,10,14,"Jake Bailey kicks off 65 yards, touchback.",,
2,3:29,1,10,LAC 25,10,14,Austin Ekeler right end for 9 yards (tackle by Ja'Whaun Bentley and Joejuan Williams),,
2,3:07,2,1,LAC 34,10,14,Justin Herbert sacked by Lawrence Guy for -5 yards,,
2,2:33,3,6,LAC 29,10,14,Justin Herbert pass incomplete short middle intended for Mike Williams (defended by Devin McCourty),,
2,2:26,4,6,LAC 29,10,14,"Ty Long punts 49 yards, returned by Gunner Olszewski for 10 yards (tackle by Matt Overton)",,
2,2:13,1,10,NWE 32,10,14,Damien Harris left guard for 2 yards (tackle by Joey Bosa),,
2,2:00,2,8,NWE 34,10,14,Mac Jones pass incomplete short left intended for Nelson Agholor,,
2,1:56,3,8,NWE 34,10,14,Mac Jones pass incomplete deep left intended for Jakobi Meyers,,
2,1:50,4,8,NWE 34,10,14,Jake Bailey punts 38 yards out of bounds,,
2,1:44,1,10,LAC 28,10,14,Justin Herbert pass complete short middle to Keenan Allen for 9 yards (tackle by Myles Bryant),,
2,1:37,2,1,LAC 37,10,14,Austin Ekeler up the middle for 3 yards (tackle by Kyle Dugger),,
2,1:11,1,10,LAC 40,10,14,Justin Herbert pass incomplete deep left intended for Mike Williams,,
2,1:06,2,10,LAC 40,10,14,Justin Herbert pass short middle intended for Austin Ekeler is intercepted by Adrian Phillips at NE-48 and returned for 12 yards (tackle by Corey Linsley),,
2,0:57,1,10,LAC 40,10,14,Mac Jones pass complete short left to Kendrick Bourne for 10 yards (tackle by Asante Samuel),,
2,0:29,1,10,LAC 30,10,14,Mac Jones pass incomplete deep left intended for Nelson Agholor,,
2,0:23,2,10,LAC 30,10,14,Mac Jones pass incomplete short right intended for Jakobi Meyers,,
2,0:19,3,10,LAC 30,10,14,Mac Jones pass incomplete short right intended for Kendrick Bourne,,
2,0:15,4,10,LAC 30,13,14,Nick Folk 48 yard field goal good,,
2,0:10,,,NWE 35,13,14,"Jake Bailey kicks off 65 yards, touchback.",,
2,0:10,1,10,LAC 25,13,14,Justin Herbert kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,NWE,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,13,14,"Dustin Hopkins kicks off 69 yards, returned by Gunner Olszewski for 26 yards (tackle by Trey Marshall)",,
3,14:55,1,10,NWE 22,13,14,Damien Harris up the middle for 6 yards (tackle by Jerry Tillery),,
3,14:18,2,4,NWE 28,13,14,Damien Harris up the middle for 10 yards (tackle by Linval Joseph and Derwin James),,
3,13:42,1,10,NWE 38,13,14,Rhamondre Stevenson up the middle for 4 yards (tackle by Nasir Adderley),,
3,13:03,2,6,NWE 42,13,14,Mac Jones pass complete short middle to Jakobi Meyers for 4 yards (tackle by Derwin James),,
3,12:26,3,2,NWE 46,13,14,Brandon Bolden up the middle for 6 yards (tackle by Chris Harris),,
3,11:43,1,10,LAC 48,13,14,Mac Jones pass complete short middle to N'Keal Harry for 15 yards (tackle by Asante Samuel),,
3,11:23,1,10,LAC 33,13,14,Damien Harris right guard for 5 yards (tackle by Kyzir White and Christian Covington),,
3,10:52,2,5,LAC 28,13,14,"Damien Harris up the middle for 1 yard, touchdown. Penalty on Justin Herron: Offensive Holding, 10 yards (accepted)",,
3,10:45,2,15,LAC 38,13,14,Mac Jones pass incomplete deep left intended for Nelson Agholor,,
3,10:39,3,15,LAC 37,13,14,"Mac Jones pass complete short right to Kendrick Bourne for 7 yards. Kendrick Bourne fumbles (forced by Derwin James), recovered by Nasir Adderley at LAC-25 (tackle by Brandon Bolden)",,
3,10:31,1,10,LAC 25,13,14,Justin Herbert pass complete short right to Austin Ekeler for 11 yards (tackle by Dont'a Hightower),,
3,10:06,1,10,LAC 36,13,14,Austin Ekeler left tackle for 2 yards (tackle by Adrian Phillips),,
3,9:26,2,8,LAC 38,13,14,Justin Herbert pass incomplete deep left intended for Keenan Allen (defended by Devin McCourty),,
3,9:17,3,8,LAC 38,13,14,Justin Herbert pass incomplete short left intended for Jared Cook,,
3,9:10,4,8,LAC 38,13,14,"Ty Long punts 42 yards out of bounds. Penalty on Matt Judon: Running Into the Kicker, 5 yards (offset) . Penalty on Kemon Hall: Kick Catch Interference, 15 yards (offset) (no play)",,
3,9:01,4,8,LAC 38,13,14,"Ty Long punts 50 yards, returned by Gunner Olszewski for 27 yards (tackle by Drue Tranquill)",,
3,8:48,1,10,NWE 39,13,14,Damien Harris right tackle for 4 yards (tackle by Kyler Fackrell),,
3,8:13,2,6,NWE 43,13,14,Damien Harris up the middle for -2 yards (tackle by Justin Jones),,
3,7:30,3,8,NWE 41,13,14,Mac Jones pass complete short middle to Jakobi Meyers for 14 yards (tackle by Alohi Gilman),,
3,6:51,1,10,LAC 45,13,14,Rhamondre Stevenson up the middle for 6 yards (tackle by Christian Covington),,
3,6:13,2,4,LAC 39,13,14,Rhamondre Stevenson up the middle for 3 yards (tackle by Kyzir White and Christian Covington),,
3,5:30,3,1,LAC 36,13,14,Rhamondre Stevenson up the middle for 2 yards (tackle by Derwin James and Nasir Adderley),,
3,4:52,1,10,LAC 34,13,14,"Damien Harris left end for no gain (tackle by Ryan Smith). Penalty on Isaiah Wynn: Offensive Holding, 10 yards (accepted) (no play)",,
3,4:31,1,20,LAC 44,13,14,Mac Jones pass incomplete short right intended for Jakobi Meyers (defended by Nasir Adderley),,
3,4:26,2,20,LAC 44,13,14,Brandon Bolden left end for 14 yards (tackle by Chris Harris),,
3,3:48,3,6,LAC 30,13,14,Mac Jones pass incomplete short left intended for Jakobi Meyers,,
3,3:44,4,6,LAC 30,16,14,Nick Folk 48 yard field goal good,,
3,3:39,,,NWE 35,16,14,"Jake Bailey kicks off 65 yards, touchback.",,
3,3:39,1,10,LAC 25,16,14,Austin Ekeler left tackle for 28 yards (tackle by J.C. Jackson and Devin McCourty),,
3,2:57,1,10,NWE 47,16,14,Justin Herbert pass complete short right to Austin Ekeler for 11 yards (tackle by Kyle Dugger),,
3,2:11,1,10,NWE 36,16,14,Larry Rountree left tackle for 4 yards (tackle by Deatrich Wise),,
3,1:24,2,6,NWE 32,16,14,Larry Rountree left tackle for 2 yards (tackle by J.C. Jackson),,
3,0:47,3,4,NWE 30,16,14,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Myles Bryant),,
3,0:44,4,4,NWE 30,16,17,Dustin Hopkins 48 yard field goal good,,
3,0:39,,,LAC 35,16,17,"Dustin Hopkins kicks off 65 yards, touchback.",,
3,0:39,1,10,NWE 25,16,17,Mac Jones pass complete short right to Jonnu Smith for 2 yards (tackle by Drue Tranquill),,
Quarter,Time,Down,ToGo,Location,NWE,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,NWE 27,16,17,Mac Jones pass complete short left to Nelson Agholor for 7 yards (tackle by Tevaughn Campbell),,
4,14:18,3,2,NWE 34,16,17,Brandon Bolden up the middle for -1 yards (tackle by Derwin James),,
4,13:39,4,2,NWE 33,16,17,"Jake Bailey punts 62 yards, returned by Andre Roberts for 7 yards (tackle by Calvin Munson). Penalty on Trey Marshall: Offensive Illegal Block Above the Waist, 6 yards (accepted)",,
4,13:26,1,10,LAC 6,16,17,Larry Rountree left tackle for 2 yards (tackle by Matt Judon),,
4,12:47,2,8,LAC 8,16,17,"Justin Herbert pass complete short right to Stephen Anderson for 14 yards (tackle by Ja'Whaun Bentley). Penalty on Matt Feiler: Offensive Holding, 4 yards (accepted) (no play)",,
4,12:25,2,12,LAC 4,16,17,Larry Rountree up the middle for 3 yards (tackle by Christian Barmore and Myles Bryant),,
4,11:42,3,9,LAC 7,16,17,Justin Herbert pass complete short middle to Keenan Allen for 15 yards (tackle by Ja'Whaun Bentley),,
4,11:03,1,10,LAC 22,16,17,Austin Ekeler left tackle for no gain (tackle by Christian Barmore and Dont'a Hightower),,
4,10:24,2,10,LAC 22,16,17,Justin Herbert pass incomplete short left intended for Austin Ekeler,,
4,10:20,3,10,LAC 22,22,17,"Justin Herbert pass short right intended for Jared Cook is intercepted by Adrian Phillips at LAC-26 and returned for 26 yards, touchdown",,
4,10:11,,,LAC 2,24,17,Two Point Attempt: Mac Jones pass complete to to Jakobi Meyers for no gain,,
4,10:11,,,NWE 35,24,17,"Jake Bailey kicks off 67 yards, returned by Andre Roberts for 25 yards (tackle by Calvin Munson)",,
4,10:04,,,,,,Timeout #2 by New England Patriots,,
4,10:04,1,10,LAC 23,24,17,Justin Herbert pass incomplete deep right intended for Austin Ekeler,,
4,10:00,2,10,LAC 23,24,17,"Austin Ekeler right guard for no gain (tackle by Adrian Phillips and Daniel Ekuale). Penalty on Donald Parham: Offensive Holding, 10 yards (accepted) (no play)",,
4,9:41,2,20,LAC 13,24,17,Justin Herbert pass complete short right to Mike Williams for 14 yards (tackle by Jalen Mills),,
4,9:24,3,6,LAC 27,24,17,Justin Herbert pass incomplete short middle intended for Keenan Allen,,
4,9:22,4,6,LAC 27,24,17,Ty Long punts 39 yards out of bounds,,
4,9:15,1,10,NWE 34,24,17,Damien Harris up the middle for 6 yards (tackle by Joey Bosa),,
4,8:43,2,4,NWE 40,24,17,Rhamondre Stevenson up the middle for 3 yards (tackle by Christian Covington and Derwin James),,
4,8:06,3,1,NWE 43,24,17,Mac Jones up the middle for 2 yards (tackle by Linval Joseph),,
4,7:24,1,10,NWE 45,24,17,Rhamondre Stevenson left guard for 1 yard (tackle by Derwin James and Nasir Adderley),,
4,6:38,,,,,,Timeout #3 by New England Patriots,,
4,6:38,2,10,NWE 46,24,17,Mac Jones pass complete short left to Jakobi Meyers for 16 yards (tackle by Alohi Gilman),,
4,5:58,1,10,LAC 38,24,17,Damien Harris left end for 1 yard (tackle by Chris Harris),,
4,5:21,2,8,LAC 37,24,17,Mac Jones pass complete short left to N'Keal Harry for 15 yards (tackle by Chris Harris),,
4,4:40,1,10,LAC 22,24,17,Damien Harris up the middle for no gain (tackle by Derwin James),,
4,4:06,2,10,LAC 22,24,17,Mac Jones pass complete short left to Nelson Agholor for 9 yards (tackle by Derwin James),,
4,3:25,3,1,LAC 13,24,17,Mac Jones pass complete short right to Jakobi Meyers for 2 yards (tackle by Nasir Adderley),,
4,3:19,,,,,,Timeout #1 by Los Angeles Chargers,,
4,3:19,1,10,LAC 11,24,17,Damien Harris up the middle for 1 yard (tackle by Drue Tranquill and Linval Joseph),,
4,3:14,,,,,,Timeout #2 by Los Angeles Chargers,,
4,3:14,2,9,LAC 10,24,17,Damien Harris up the middle for 1 yard (tackle by Derwin James),,
4,3:10,,,,,,Timeout #3 by Los Angeles Chargers,,
4,3:10,3,8,LAC 9,24,17,Damien Harris up the middle for 2 yards (tackle by Drue Tranquill),,
4,2:23,4,6,LAC 7,24,17,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",,
4,2:23,4,11,LAC 12,27,17,Nick Folk 30 yard field goal good,,
4,2:19,,,NWE 35,27,17,"Jake Bailey kicks off 66 yards, returned by Andre Roberts for 29 yards (tackle by Jahlani Tavai and Matthew Slater)",,
4,2:12,1,10,LAC 28,27,17,Justin Herbert pass complete short middle to Austin Ekeler for 7 yards (tackle by Kyle Van Noy),,
4,2:00,2,3,LAC 35,27,17,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Myles Bryant),,
4,1:39,1,10,LAC 41,27,17,Justin Herbert pass incomplete deep right intended for Jalen Guyton,,
4,1:32,2,10,LAC 41,27,17,"Justin Herbert sacked by and Christian Barmore for -8 yards and Matt Judon for -8 yards. Penalty on Storm Norton: Offensive Holding, 10 yards (declined)",,
4,1:28,3,18,LAC 33,27,17,Justin Herbert pass complete deep right to Jalen Guyton for 18 yards (tackle by Jalen Mills),,
4,1:22,1,10,NWE 49,27,17,Justin Herbert pass incomplete short right intended for Jared Cook,,
4,1:17,2,10,NWE 49,27,17,Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by J.C. Jackson),,
4,1:11,1,10,NWE 38,27,17,Justin Herbert pass complete short right to Austin Ekeler for 14 yards (tackle by Devin McCourty),,
4,0:53,1,10,NWE 23,27,17,Justin Herbert pass incomplete short middle intended for Austin Ekeler,,
4,0:47,2,10,NWE 24,27,23,"Justin Herbert pass complete deep right to Josh Palmer for 24 yards, touchdown",,
4,0:40,,,NWE 15,27,24,Dustin Hopkins kicks extra point good,,
4,0:40,,,LAC 35,27,24,"Dustin Hopkins kicks onside 11 yards, returned by Hunter Henry for no gain",,
4,0:39,1,10,LAC 46,27,24,Mac Jones kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
