Quarter,Time,Down,ToGo,Location,NOR,BUF,Detail,EPB,EPA
2,7:45,3,1,BUF 26,14,3,Tyrod Taylor pass complete short left to Charles Clay for 4 yards (tackle by Vonn Bell),-0.120,0.940
2,7:06,1,10,BUF 30,14,3,Tyrod Taylor pass complete short left to LeSean McCoy for 1 yard (tackle by Craig Robertson),0.940,0.530
2,6:27,2,9,BUF 31,14,3,Tyrod Taylor right end for 7 yards (tackle by Vonn Bell),0.530,0.760
2,5:59,3,2,BUF 38,14,3,Tyrod Taylor pass incomplete deep left intended for Deonte Thompson (defended by P.J. Williams),0.760,-0.850
2,5:51,4,2,BUF 38,14,3,"Colton Schmidt punts 42 yards, fair catch by Ted Ginn",-0.850,-0.280
2,5:43,1,10,NOR 20,14,3,Drew Brees pass complete deep right to Michael Thomas for 22 yards (tackle by Micah Hyde),0.280,1.730
2,5:01,1,10,NOR 42,14,3,Drew Brees pass complete short left to Michael Hoomanawanui for 4 yards (tackle by Shareece Wright and Ramon Humber),1.730,1.730
2,4:23,2,6,NOR 46,14,3,Drew Brees pass complete short right to Michael Thomas for 10 yards (tackle by Preston Brown),1.730,2.650
2,3:40,1,10,BUF 44,14,3,Mark Ingram left tackle for 2 yards (tackle by Adolphus Washington and Lorenzo Alexander),2.650,2.380
2,3:01,2,8,BUF 42,14,3,Drew Brees pass complete short middle to Alvin Kamara for 4 yards (tackle by Lorenzo Alexander and Jerel Worthy),2.380,2.210
2,2:18,3,4,BUF 38,14,3,Drew Brees pass complete deep right to Michael Thomas for 28 yards (tackle by Jordan Poyer),2.210,4.910
2,2:00,1,10,BUF 10,14,3,Drew Brees pass incomplete short left intended for Brandon Coleman,4.910,4.190
2,1:55,2,10,BUF 10,14,3,Alvin Kamara left tackle for -1 yards (tackle by Lorenzo Alexander and Ramon Humber),4.190,0.000
2,1:49,,,,,,Timeout #1 by Buffalo Bills,0.000,0.000
2,1:49,,,,,,Timeout #2 by New Orleans Saints,0.000,-3.120
2,1:49,3,11,BUF 11,14,3,Drew Brees pass complete short left to Alvin Kamara for 6 yards (tackle by Shaq Lawson),3.120,0.000
2,1:42,,,,,,Timeout #2 by Buffalo Bills,0.000,-3.010
2,1:42,4,5,BUF 5,17,3,Wil Lutz 23 yard field goal good,3.010,3.000
2,1:39,,,NOR 35,17,3,"Wil Lutz kicks off 63 yards, returned by Brandon Tate for 16 yards (tackle by Vonn Bell)",0.000,-0.040
2,1:33,1,10,BUF 18,17,3,Tyrod Taylor pass incomplete,0.040,-0.490
2,1:24,2,10,BUF 18,17,3,Tyrod Taylor pass complete short left to Charles Clay for 9 yards (tackle by Marshon Lattimore),-0.490,0.000
2,1:17,,,,,,Timeout #3 by New Orleans Saints,0.000,0.020
2,1:17,3,1,BUF 27,17,3,Mike Tolbert left end for no gain (tackle by Manti Te'o and Vonn Bell),-0.020,-1.570
2,0:35,4,1,BUF 27,17,3,"Colton Schmidt punts 45 yards, returned by Ted Ginn for no gain",-1.570,-0.810
2,0:24,1,10,NOR 28,17,3,Drew Brees kneels for -1 yards,0.810,0.130
Quarter,Time,Down,ToGo,Location,NOR,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,17,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NOR 25,17,3,Drew Brees pass incomplete short right intended for Michael Thomas (defended by TreDavious White),0.610,0.060
3,14:53,2,10,NOR 25,17,3,Mark Ingram right guard for 5 yards (tackle by TreDavious White and Kyle Williams),0.060,0.040
3,14:10,3,5,NOR 30,17,3,Drew Brees pass complete short left to Alvin Kamara for 12 yards (tackle by Micah Hyde and Lorenzo Alexander),0.040,1.730
3,13:30,1,10,NOR 42,17,3,Drew Brees pass incomplete short middle intended for Brandon Coleman,1.730,1.190
3,13:25,2,10,NOR 42,17,3,"Drew Brees pass complete short right to Alvin Kamara for 15 yards (tackle by TreDavious White). Penalty on Michael Hoomanawanui: Offensive Pass Interference, 10 yards (no play)",1.190,-0.160
3,12:51,2,20,NOR 32,17,3,"Drew Brees pass complete short right to Ted Ginn for -1 yards (tackle by Ramon Humber). Penalty on Jerel Worthy: Defensive Offside, 5 yards (no play)",-0.160,0.510
3,12:25,2,15,NOR 37,17,3,Drew Brees pass complete deep left to Michael Thomas for 21 yards (tackle by Jordan Poyer),0.510,2.790
3,11:43,1,10,BUF 42,17,3,Mark Ingram middle for 2 yards (tackle by Cedric Thornton),2.790,2.510
3,11:05,2,8,BUF 40,17,3,Mark Ingram right guard for 16 yards (tackle by TreDavious White),2.510,3.970
3,10:21,1,10,BUF 24,17,3,Alvin Kamara right end for 19 yards (tackle by Micah Hyde),3.970,6.060
3,9:45,1,5,BUF 5,23,3,"Alvin Kamara right end for 5 yards, touchdown",6.060,7.000
3,9:40,,,BUF 15,24,3,Wil Lutz kicks extra point good,0.000,0.000
3,9:40,,,NOR 35,24,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
3,9:40,1,10,BUF 25,24,3,LeSean McCoy left end for -2 yards (tackle by Sheldon Rankins),0.610,-0.210
3,9:10,2,12,BUF 23,24,3,"Tyrod Taylor pass complete short right to Charles Clay for 25 yards (tackle by Ken Crawley). Penalty on Deonte Thompson: Offensive Holding (Offsetting), Penalty on Alex Okafor: Roughing the Passer (Offsetting) (no play)",-0.210,-0.210
3,8:48,2,12,BUF 23,24,3,Tyrod Taylor pass incomplete deep right intended for LeSean McCoy,-0.210,-0.890
3,8:40,3,12,BUF 23,24,3,Tyrod Taylor pass incomplete short middle intended for Charles Clay is intercepted by Sheldon Rankins at BUF-30 and returned for 27 yards,-0.890,-6.510
3,8:29,1,3,BUF 3,30,3,"Mark Ingram middle for 3 yards, touchdown. Penalty on Jordan Poyer: Illegal Use of Hands (Declined)",6.510,7.000
3,8:24,,,BUF 15,30,3,Wil Lutz kicks extra point no good,0.000,-1.000
3,8:24,,,NOR 35,30,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
3,8:24,1,10,BUF 25,30,3,"Tyrod Taylor pass complete short right to Charles Clay for -2 yards (tackle by Vonn Bell). Penalty on Jordan Mills: Ineligible Downfield Pass (Declined), Penalty on Richie Incognito: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,8:12,1,20,BUF 15,30,3,Tyrod Taylor pass incomplete short middle intended for Jordan Matthews (defended by David Onyemata),-0.410,-1.430
3,8:07,2,20,BUF 15,30,3,Tyrod Taylor left end for 7 yards (tackle by Marshon Lattimore),-1.430,-1.020
3,7:39,3,13,BUF 22,30,3,Tyrod Taylor pass complete short middle to Mike Tolbert for 8 yards (tackle by Manti Te'o and Craig Robertson),-1.020,-1.370
3,7:07,4,5,BUF 30,30,3,"Colton Schmidt punts 58 yards, returned by Ted Ginn for 10 yards (tackle by Deon Lacey). Penalty on De'Vante Harris: Unnecessary Roughness, 6 yards",-1.370,0.380
3,6:55,1,10,NOR 6,30,3,Mark Ingram right guard for 11 yards (tackle by Lorenzo Alexander),-0.380,-0.060
3,6:10,1,10,NOR 17,30,3,Alvin Kamara middle for 10 yards (tackle by TreDavious White),-0.060,0.740
3,5:33,1,10,NOR 27,30,3,Zach Line middle for 9 yards (tackle by Jordan Poyer),0.740,1.410
3,4:49,2,1,NOR 36,30,3,Mark Ingram left tackle for 9 yards (tackle by Preston Brown),1.410,1.930
3,4:01,1,10,NOR 45,30,3,Alvin Kamara middle for 15 yards (tackle by Micah Hyde),1.930,2.920
3,3:18,1,10,BUF 40,30,3,Alvin Kamara right tackle for 11 yards (tackle by Ramon Humber and Jordan Poyer),2.920,3.640
3,2:38,1,10,BUF 29,30,3,Alvin Kamara left guard for 11 yards (tackle by Jordan Poyer),3.640,4.370
3,1:57,1,10,BUF 18,30,3,Mark Ingram right guard for 5 yards (tackle by Lorenzo Alexander),4.370,4.610
3,1:16,2,5,BUF 13,30,3,Alvin Kamara right guard for 6 yards (tackle by Kyle Williams and Eddie Yarbrough),4.610,5.600
3,0:33,1,7,BUF 7,36,3,"Drew Brees left end for 7 yards, touchdown",5.600,7.000
3,0:22,,,BUF 15,37,3,Wil Lutz kicks extra point good,0.000,0.000
3,0:22,,,NOR 35,37,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
3,0:22,1,10,BUF 25,37,3,Tyrod Taylor pass incomplete deep right intended for Deonte Thompson,0.610,0.060
3,0:16,2,10,BUF 25,37,3,Tyrod Taylor sacked by Alex Okafor for -1 yards,0.060,-0.760
Quarter,Time,Down,ToGo,Location,NOR,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,11,BUF 24,37,3,Tyrod Taylor sacked by Sheldon Rankins for -5 yards,-0.760,-2.140
4,14:30,4,16,BUF 19,37,3,"Colton Schmidt punts 54 yards, returned by Ted Ginn for no gain",-2.140,-0.740
4,14:18,1,10,NOR 27,37,3,Mark Ingram right guard for 4 yards (tackle by Preston Brown and Ramon Humber),0.740,0.740
4,13:33,2,6,NOR 31,37,3,Mark Ingram left tackle for 5 yards (tackle by Preston Brown and Shareece Wright),0.740,0.700
4,12:49,3,1,NOR 36,37,3,Mark Ingram left guard for 3 yards (tackle by Shareece Wright),0.700,1.530
4,12:06,1,10,NOR 39,37,3,Alvin Kamara left guard for 3 yards (tackle by Shaq Lawson),1.530,1.390
4,11:20,2,7,NOR 42,37,3,"Penalty on Adolphus Washington: Neutral Zone Infraction, 5 yards (no play)",1.390,2.070
4,11:06,2,2,NOR 47,37,3,Trey Edmunds left guard for -1 yards (tackle by Shaq Lawson and Jerel Worthy),2.070,1.220
4,10:23,3,3,NOR 46,37,3,Alvin Kamara left end for 9 yards (tackle by Shareece Wright),1.220,2.590
4,9:42,1,10,BUF 45,37,3,Trey Edmunds right guard for 1 yard (tackle by Matt Milano),2.590,2.180
4,8:59,2,9,BUF 44,37,3,Trey Edmunds left end for 6 yards (tackle by Ryan Davis and Cedric Thornton),2.180,2.280
4,8:14,3,3,BUF 38,37,3,Trey Edmunds middle for no gain (tackle by Jordan Poyer and Eddie Yarbrough),2.280,0.000
4,7:29,,,,,,Timeout #1 by New Orleans Saints,0.000,-0.720
4,7:29,4,3,BUF 38,37,3,Drew Brees pass complete short left to Michael Thomas for 5 yards (tackle by Shareece Wright),0.720,3.380
4,6:45,1,10,BUF 33,37,3,Trey Edmunds middle for -3 yards (tackle by Cedric Thornton),3.380,2.430
4,6:00,2,13,BUF 36,37,3,Trey Edmunds right tackle for 2 yards (tackle by Cedric Thornton),2.430,2.010
4,5:17,3,11,BUF 34,37,3,Trey Edmunds left tackle for -1 yards (tackle by Eddie Yarbrough). Penalty on Andrus Peat: Offensive Holding (Declined),2.010,0.970
4,4:58,4,12,BUF 35,40,3,Wil Lutz 53 yard field goal good,0.970,3.000
4,4:53,,,NOR 35,40,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
4,4:53,1,10,BUF 25,40,3,Nathan Peterman pass complete short right to Deonte Thompson for 10 yards (tackle by Ken Crawley),0.610,1.270
4,4:28,1,10,BUF 35,40,3,Nathan Peterman pass complete short middle to Patrick DiMarco for 9 yards (tackle by De'Vante Harris),1.270,1.940
4,4:08,2,1,BUF 44,40,3,Nathan Peterman pass incomplete short middle intended for Nick O'Leary,1.940,1.220
4,4:04,3,1,BUF 44,40,3,Nathan Peterman pass incomplete short left intended for Kelvin Benjamin (defended by De'Vante Harris),1.220,-0.460
4,3:59,4,1,BUF 44,40,3,Patrick DiMarco right tackle for no gain (tackle by Alex Okafor and Rafael Bush),-0.460,-2.650
4,3:55,1,10,BUF 44,40,3,Trey Edmunds middle for 3 yards (tackle by Eddie Yarbrough and Kyle Williams),2.650,2.520
4,3:12,2,7,BUF 41,46,3,"Trey Edmunds left end for 41 yards, touchdown",2.520,7.000
4,3:04,,,BUF 15,47,3,Wil Lutz kicks extra point good,0.000,0.000
4,3:04,,,NOR 35,47,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
4,3:04,1,10,BUF 25,47,3,"Nathan Peterman pass complete short middle to Patrick DiMarco for 6 yards (tackle by De'Vante Harris). Penalty on Rafael Bush: Unnecessary Roughness, 15 yards",0.610,1.990
4,2:53,1,10,BUF 46,47,3,Nathan Peterman pass complete deep left to Kelvin Benjamin for 21 yards (tackle by Chris Banjo),1.990,3.380
4,2:32,1,10,NOR 33,47,3,Nathan Peterman pass complete short left to Kelvin Benjamin for 12 yards (tackle by P.J. Williams),3.380,4.170
4,2:13,1,10,NOR 21,47,3,Nathan Peterman pass incomplete deep right intended for Deonte Thompson,4.170,3.630
4,2:08,2,10,NOR 21,47,3,Nathan Peterman pass complete short right to Jordan Matthews for 14 yards (tackle by Chris Banjo),3.630,5.600
4,2:00,1,7,NOR 7,47,9,"Nathan Peterman pass complete short right to Nick O'Leary for 7 yards, touchdown",5.600,7.000
4,1:54,,,NOR 15,47,10,Steven Hauschka kicks extra point good,0.000,0.000
4,1:54,,,BUF 35,47,10,"Steven Hauschka kicks onside 14 yards, recovered by Alvin Kamara. Penalty on Lorenzo Alexander: Offside on Free Kick, 5 yards",0.000,-2.650
4,1:53,1,10,BUF 44,47,10,Chase Daniel kneels for no gain,2.650,2.110
4,1:11,2,10,BUF 44,47,10,Chase Daniel kneels for -1 yards,2.110,1.290
4,0:38,3,11,BUF 45,47,10,Chase Daniel kneels for -1 yards,1.290,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
