Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
1,5:08,2,7,CLE 9,3,0,Isaiah Crowell right guard for 5 yards (tackle by Logan Ryan and Jurrell Casey),-0.560,-0.480
1,4:03,3,2,CLE 14,3,0,DeShone Kizer pass complete short right to Duke Johnson for 4 yards (tackle by Derrick Morgan),-0.480,0.040
1,3:38,1,10,CLE 18,3,0,DeShone Kizer pass complete short right to Dan Vitale for 11 yards (tackle by DaQuan Jones and Avery Williamson),0.040,0.870
1,2:59,1,10,CLE 29,3,0,DeShone Kizer pass complete short left to Duke Johnson for 14 yards (tackle by Avery Williamson),0.870,1.800
1,2:19,1,10,CLE 43,3,0,Duke Johnson left guard for 1 yard (tackle by Karl Klug and Jayon Brown),1.800,1.390
1,1:46,2,9,CLE 44,3,0,DeShone Kizer pass complete short left to Kenny Britt for 2 yards (tackle by LeShaun Sims),1.390,0.960
1,1:10,3,7,CLE 46,3,0,DeShone Kizer pass complete short middle to Seth Devalve for 10 yards (tackle by Wesley Woodyard),0.960,2.650
1,0:27,1,10,TEN 44,3,0,Isaiah Crowell right guard for 2 yards (tackle by Karl Klug and Da'Norris Searcy),2.650,2.380
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,TEN 42,3,0,"DeShone Kizer pass complete short left to Duke Johnson for no gain. Penalty on Seth Devalve: Offensive Holding, 10 yards (no play)",2.380,1.030
2,14:25,2,18,CLE 48,3,0,"DeShone Kizer left end for 13 yards (tackle by Wesley Woodyard). Penalty on Isaiah Crowell: Illegal Use of Hands, 10 yards (no play)",1.030,-0.320
2,14:02,2,28,CLE 38,3,0,Isaiah Crowell right guard for 4 yards (tackle by Brian Orakpo and DaQuan Jones),-0.320,-0.430
2,13:25,3,24,CLE 42,3,0,DeShone Kizer pass incomplete short right intended for Kenny Britt,-0.430,-0.590
2,13:19,4,24,CLE 42,3,0,Britton Colquitt punts 34 yards,-0.590,-0.540
2,13:08,1,10,TEN 24,3,0,Marcus Mariota pass incomplete deep middle intended for Delanie Walker (defended by Jamar Taylor),0.540,0.000
2,13:02,2,10,TEN 24,3,0,Derrick Henry left guard for 4 yards (tackle by Caleb Brantley),0.000,-0.160
2,12:17,3,6,TEN 28,3,0,Marcus Mariota pass complete short left to Delanie Walker for 12 yards (tackle by Christian Kirksey and Mike Jordan). Delanie Walker fumbles (forced by Christian Kirksey),-0.160,-2.920
,,,,,,,"CLE challenged the pass completion ruling, and the original play was overturned.",,
2,12:11,1,10,TEN 40,3,0,DeShone Kizer pass complete short middle to Isaiah Crowell for 15 yards (tackle by Wesley Woodyard),2.920,3.910
2,11:34,1,10,TEN 25,3,0,Isaiah Crowell right tackle for 3 yards (tackle by Kevin Byard and Avery Williamson),3.910,3.770
2,10:49,2,7,TEN 22,3,0,DeShone Kizer pass complete short right to Isaiah Crowell for 11 yards (tackle by DaQuan Jones and Avery Williamson),3.770,4.840
2,10:08,1,10,TEN 11,3,0,Isaiah Crowell right guard for 1 yard (tackle by DaQuan Jones and Avery Williamson),4.840,4.320
2,9:24,2,9,TEN 10,3,0,DeShone Kizer pass complete short right to Duke Johnson for -3 yards (tackle by Kevin Byard),4.320,3.080
2,8:38,3,12,TEN 13,3,0,DeShone Kizer pass incomplete short right intended for David Njoku,3.080,2.570
2,8:31,4,12,TEN 13,3,3,Zane Gonzalez 31 yard field goal good,2.570,3.000
2,8:31,,,CLE 35,3,3,"Zane Gonzalez kicks off 65 yards, touchback",0.000,-0.610
2,8:31,1,10,TEN 25,3,3,DeMarco Murray right tackle for -1 yards (tackle by Derrick Kindred),0.610,-0.070
2,7:54,2,11,TEN 24,3,3,DeMarco Murray right tackle for 6 yards (tackle by Joe Schobert),-0.070,0.040
2,7:12,3,5,TEN 30,3,3,Marcus Mariota pass complete short left to Delanie Walker for 7 yards (tackle by Christian Kirksey),0.040,1.400
2,6:36,1,10,TEN 37,3,3,DeMarco Murray right tackle for -3 yards (tackle by Emmanuel Ogbah and Jamie Collins),1.400,0.450
2,5:55,2,13,TEN 34,3,3,Marcus Mariota pass complete short left to Delanie Walker for 6 yards (tackle by Christian Kirksey),0.450,0.560
2,5:13,3,7,TEN 40,3,3,Marcus Mariota for 8 yards (tackle by Derrick Kindred),0.560,2.130
2,4:37,1,10,TEN 48,3,3,DeMarco Murray right tackle for 16 yards (tackle by Christian Kirksey and Ibraheim Campbell),2.130,3.180
2,3:51,1,10,CLE 36,3,3,Marcus Mariota pass complete short right to DeMarco Murray for 9 yards (tackle by Christian Kirksey),3.180,3.850
2,3:13,2,1,CLE 27,3,3,"Marcus Mariota pass complete short left to Rishard Matthews for 1 yard (tackle by Briean Boddy-Calhoun). Penalty on Caleb Brantley: Defensive Offside, 5 yards (no play)",3.850,4.110
2,3:01,1,10,CLE 22,3,3,Marcus Mariota pass complete short right to Eric Weems for 5 yards (tackle by Jamar Taylor),4.110,4.290
2,2:24,2,5,CLE 17,3,3,Marcus Mariota pass complete short left to Derrick Henry for 3 yards (tackle by Briean Boddy-Calhoun),4.290,4.150
2,2:00,3,2,CLE 14,3,3,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (no play)",4.150,5.140
2,2:00,1,9,CLE 9,3,3,DeMarco Murray right tackle for -2 yards (tackle by Christian Kirksey and Trevon Coley),5.140,0.000
2,1:55,,,,,,Timeout #1 by Cleveland Browns,0.000,-4.020
2,1:55,2,11,CLE 11,3,3,Marcus Mariota pass incomplete short left intended for Taywan Taylor (defended by Briean Boddy-Calhoun),4.020,3.120
2,1:49,3,11,CLE 11,3,3,Marcus Mariota pass complete short left to DeMarco Murray for 6 yards (tackle by Ibraheim Campbell and Christian Kirksey),3.120,0.000
2,1:40,,,,,,Timeout #2 by Cleveland Browns,0.000,-3.010
2,1:40,4,5,CLE 5,6,3,Ryan Succop 23 yard field goal good,3.010,3.000
2,1:37,,,TEN 35,6,3,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,1:37,1,10,CLE 25,6,3,DeShone Kizer pass incomplete short left intended for Duke Johnson,0.610,0.060
2,1:33,2,10,CLE 25,6,3,DeShone Kizer pass incomplete short right intended for Rashard Higgins,0.060,-0.620
2,1:26,3,10,CLE 25,6,3,DeShone Kizer pass complete deep left to Bryce Treggs for 19 yards (tackle by LeShaun Sims),-0.620,0.000
2,1:15,,,,,,Timeout #1 by Tennessee Titans,0.000,-1.860
2,1:15,1,10,CLE 44,6,3,DeShone Kizer pass complete short left to Duke Johnson for 11 yards (tackle by Logan Ryan),1.860,2.590
2,0:53,1,10,TEN 45,6,3,DeShone Kizer pass incomplete short right intended for Ricardo Louis,2.590,2.040
2,0:49,2,10,TEN 45,6,3,"Penalty on David Njoku: False Start, 5 yards (no play)",2.040,1.370
2,0:49,2,15,,6,3,DeShone Kizer pass complete short left to Seth Devalve for 17 yards (tackle by Wesley Woodyard),1.370,0.000
2,0:40,,,,,,Timeout #3 by Cleveland Browns,0.000,-3.380
2,0:40,1,10,TEN 33,6,3,DeShone Kizer pass incomplete short middle intended for Isaiah Crowell,3.380,2.840
2,0:37,2,10,TEN 33,6,3,"DeShone Kizer pass incomplete deep right intended for Rashard Higgins. Penalty on Adoree' Jackson: Defensive Holding, 5 yards (no play)",2.840,3.710
2,0:30,1,10,TEN 28,6,3,DeShone Kizer pass incomplete deep right intended for Rashard Higgins is intercepted by Kevin Byard at TEN-7 and returned for 28 yards,3.710,-1.270
2,0:19,1,10,TEN 35,6,3,Marcus Mariota pass incomplete short left intended for DeMarco Murray,1.270,0.720
2,0:16,2,10,TEN 35,6,3,Marcus Mariota sacked by Jamie Collins for -7 yards,0.720,-0.890
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,6,3,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CLE 25,6,3,Isaiah Crowell left end for 1 yard (tackle by DaQuan Jones),0.610,0.200
3,14:28,2,9,CLE 26,6,3,Isaiah Crowell left guard for 1 yard (tackle by Jurrell Casey and Avery Williamson),0.200,-0.360
3,13:46,3,8,CLE 27,6,3,"DeShone Kizer pass incomplete short right intended for Rashard Higgins. Penalty on Logan Ryan: Illegal Contact, 5 yards (no play)",-0.360,1.070
3,13:41,1,10,CLE 32,6,3,DeShone Kizer pass incomplete short right intended for Bryce Treggs is intercepted by Kevin Byard at CLE-41 and returned for 9 yards,1.070,-3.450
3,13:28,1,10,CLE 32,6,3,"DeMarco Murray left guard for 2 yards (tackle by Danny Shelton). Penalty on Myles Garrett: Defensive Offside, 5 yards (no play)",3.450,4.180
3,13:03,1,5,CLE 27,6,3,DeMarco Murray left tackle for 9 yards (tackle by Trevon Coley),4.180,4.370
3,12:24,1,10,CLE 18,6,3,DeMarco Murray left guard for 3 yards (tackle by Joe Schobert and Danny Shelton),4.370,4.250
3,11:43,2,7,CLE 15,6,3,Marcus Mariota pass complete short right to Rishard Matthews for 14 yards (tackle by Briean Boddy-Calhoun),4.250,6.970
3,11:05,1,1,CLE 1,6,3,DeMarco Murray right guard for no gain (tackle by Christian Kirksey and Emmanuel Ogbah),6.970,5.910
3,10:25,2,1,CLE 1,6,3,Marcus Mariota pass incomplete short right intended for Delanie Walker,5.910,5.170
3,10:21,3,1,CLE 1,6,3,DeMarco Murray left guard for no gain (tackle by Joe Schobert and Trevon Coley),5.170,3.550
3,9:39,4,1,CLE 1,6,3,Derrick Henry right guard for no gain (tackle by Joe Schobert),3.550,0.380
3,9:32,1,10,CLE 1,6,3,"Cody Kessler right guard for 1 yard. Penalty on Karl Klug: Defensive Offside, 5 yards (no play)",-0.380,-0.190
3,9:10,1,5,CLE 6,6,3,Isaiah Crowell right guard for 7 yards (tackle by Avery Williamson),-0.190,-0.320
3,8:34,1,10,CLE 13,6,3,Cody Kessler pass complete short right to Kenny Britt for 5 yards (tackle by Adoree' Jackson),-0.320,-0.140
3,7:57,2,5,CLE 18,6,3,Cody Kessler pass complete short right to Ricardo Louis for 6 yards (tackle by Wesley Woodyard),-0.140,0.540
3,7:11,1,10,CLE 24,6,3,Cody Kessler pass complete short right to Ricardo Louis for 12 yards (tackle by Adoree' Jackson),0.540,1.330
3,6:39,1,10,CLE 36,6,3,Duke Johnson right tackle for 6 yards (tackle by Adoree' Jackson and Avery Williamson),1.330,1.600
3,6:39,2,4,CLE 42,6,3,Cody Kessler pass complete deep right to David Njoku for 31 yards (tackle by Kevin Byard),1.600,3.780
3,5:44,1,10,TEN 27,6,3,Duke Johnson left guard for 3 yards (tackle by Avery Williamson),3.780,3.640
3,5:21,2,7,TEN 24,6,3,Isaiah Crowell right tackle for -5 yards (tackle by Avery Williamson),3.640,2.280
3,4:36,3,12,TEN 29,6,3,Cody Kessler pass incomplete short right intended for David Njoku,2.280,1.500
3,4:30,4,12,TEN 29,6,6,Zane Gonzalez 47 yard field goal good,1.500,3.000
3,4:25,,,CLE 35,6,6,"Zane Gonzalez kicks off 65 yards, touchback",0.000,-0.610
3,4:25,1,10,TEN 25,6,6,Marcus Mariota pass complete short middle to Delanie Walker for 13 yards (tackle by Derrick Kindred),0.610,1.470
3,3:51,1,10,TEN 38,6,6,Derrick Henry right guard for 9 yards (tackle by Joe Schobert),1.470,2.140
3,3:21,2,1,TEN 47,6,6,Derrick Henry left guard for 4 yards (tackle by Jamie Meder),2.140,2.320
3,2:43,1,10,CLE 49,6,6,Derrick Henry right guard for 1 yard (tackle by Joe Schobert),2.320,1.920
3,2:04,2,9,CLE 48,6,6,Marcus Mariota pass complete deep left to Taywan Taylor for 17 yards (tackle by Briean Boddy-Calhoun),1.920,3.510
3,1:18,1,10,CLE 31,6,6,Derrick Henry right guard for -5 yards (tackle by Derrick Kindred and Emmanuel Ogbah),3.510,2.290
3,0:36,2,15,CLE 36,6,6,Marcus Mariota pass complete short left to Derrick Henry for 8 yards (tackle by Joe Schobert and Christian Kirksey),2.290,2.680
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,CLE 28,6,6,Marcus Mariota pass incomplete deep right intended for Delanie Walker (defended by Christian Kirksey),2.680,1.590
4,14:55,4,7,CLE 28,9,6,Ryan Succop 46 yard field goal good,1.590,3.000
4,14:50,,,TEN 35,9,6,"Ryan Succop kicks off 70 yards, returned by Matthew Dayes for 30 yards (tackle by LeShaun Sims)",0.000,-0.610
4,14:45,1,10,CLE 25,9,6,Duke Johnson right guard for 4 yards (tackle by Jurrell Casey),0.610,0.600
4,14:05,2,6,CLE 29,9,6,Cody Kessler pass complete deep left to David Njoku for 27 yards (tackle by Wesley Woodyard),0.600,2.650
4,13:34,1,10,TEN 44,9,6,Isaiah Crowell left guard for 2 yards (tackle by Avery Williamson and Karl Klug),2.650,2.380
4,12:59,2,8,TEN 42,9,6,Cody Kessler pass incomplete short left intended for Seth Devalve,2.380,1.690
4,12:53,3,8,TEN 42,9,6,Cody Kessler pass complete short left to Duke Johnson for 5 yards (tackle by Da'Norris Searcy),1.690,0.790
4,12:22,4,3,TEN 37,9,6,Cody Kessler pass incomplete deep left intended for Kenny Britt,0.790,-1.470
4,12:17,1,10,TEN 38,9,6,Derrick Henry left guard for -4 yards (tackle by Caleb Brantley),1.470,0.380
4,11:35,2,14,TEN 34,9,6,Marcus Mariota pass incomplete short right intended for Jonnu Smith (defended by Jamie Collins),0.380,-0.290
4,11:32,3,14,TEN 34,9,6,Marcus Mariota pass complete deep right to Taywan Taylor for 23 yards (tackle by Derrick Kindred),-0.290,2.720
4,10:48,1,10,CLE 43,9,6,Derrick Henry right guard for 6 yards (tackle by Joe Schobert and Christian Kirksey),2.720,2.990
4,10:18,2,4,CLE 37,9,6,Derrick Henry right guard for no gain (tackle by Myles Garrett),2.990,2.280
4,9:34,3,4,CLE 37,9,6,Marcus Mariota pass complete short right to DeMarco Murray for 2 yards (tackle by Joe Schobert),2.280,0.990
4,8:49,4,2,CLE 35,9,6,Ryan Succop 53 yard field goal no good,0.990,-1.800
4,8:44,1,10,CLE 43,9,6,Isaiah Crowell right guard for 2 yards (tackle by Jayon Brown),1.800,1.520
4,8:08,2,8,CLE 45,9,6,Cody Kessler pass complete short right to Rashard Higgins for 11 yards (tackle by Wesley Woodyard),1.520,2.650
4,7:30,1,10,TEN 44,9,6,Bryce Treggs right end for 6 yards (tackle by Avery Williamson),2.650,2.920
4,7:03,2,4,TEN 38,9,6,Isaiah Crowell left tackle for 1 yard (tackle by Avery Williamson and Brian Orakpo),2.920,2.350
4,6:35,3,3,TEN 37,9,6,"Cody Kessler pass complete short right to Duke Johnson for 10 yards (tackle by Wesley Woodyard). Penalty on Ricardo Louis: Offensive Pass Interference, 10 yards (no play)",2.350,1.030
4,6:05,3,13,TEN 47,9,6,"Cody Kessler pass incomplete deep middle intended for David Njoku is intercepted by Kevin Byard at TEN-8 and returned for 23 yards. Penalty on Adoree' Jackson: Illegal Block Above the Waist, 10 yards, Penalty on Shon Coleman: Offensive Holding (Declined)",1.030,-0.340
4,5:33,1,10,TEN 21,9,6,DeMarco Murray right guard for 1 yard (tackle by Jamie Collins),0.340,-0.070
4,5:12,2,9,TEN 22,9,6,Marcus Mariota sacked by Myles Garrett for -7 yards,-0.070,-1.960
4,4:31,3,16,TEN 15,9,6,Marcus Mariota pass incomplete deep left intended for Rishard Matthews,-1.960,-2.440
4,4:26,4,16,TEN 15,9,6,"Brett Kern punts 51 yards, returned by Bryce Treggs for 13 yards (tackle by Nate Palmer). Penalty on Briean Boddy-Calhoun: Illegal Block Above the Waist, 10 yards",-2.440,-1.140
4,4:17,1,10,CLE 33,9,6,Duke Johnson left guard for 2 yards (tackle by DaQuan Jones),1.140,0.860
4,3:43,2,8,CLE 35,9,6,Duke Johnson left guard for 10 yards (tackle by Wesley Woodyard),0.860,1.930
4,3:09,1,10,CLE 45,9,6,Cody Kessler sacked by Derrick Morgan for -5 yards,1.930,0.710
4,2:33,2,15,CLE 40,9,6,Cody Kessler pass complete short left to Isaiah Crowell for 8 yards (tackle by Jayon Brown),0.710,1.090
4,2:00,3,7,CLE 48,9,6,Cody Kessler pass incomplete short right intended for Seth Devalve,1.090,-0.190
4,1:54,4,7,CLE 48,9,6,Cody Kessler pass complete short middle to Duke Johnson for 14 yards (tackle by Wesley Woodyard),-0.190,3.050
4,1:25,1,10,TEN 38,9,6,Duke Johnson left guard for no gain (tackle by Jayon Brown and Karl Klug),3.050,0.000
4,1:20,,,,,,Timeout #1 by Cleveland Browns,0.000,-2.510
4,1:20,2,10,TEN 38,9,6,Cody Kessler pass complete short right to Isaiah Crowell for 2 yards (tackle by Adoree' Jackson),2.510,2.080
4,0:55,3,8,TEN 36,9,6,Cody Kessler pass incomplete short right intended for Isaiah Crowell,2.080,0.880
4,0:51,4,8,TEN 36,9,9,Zane Gonzalez 54 yard field goal good,0.880,3.000
4,0:47,,,CLE 35,9,9,"Zane Gonzalez kicks off 65 yards, touchback",0.000,-0.610
4,0:47,1,10,TEN 25,9,9,Marcus Mariota pass incomplete deep left intended for Eric Decker,0.610,0.060
4,0:37,2,10,TEN 25,9,9,Marcus Mariota pass complete short middle to Delanie Walker for 8 yards (tackle by Christian Kirksey and Briean Boddy-Calhoun),0.060,0.430
4,0:30,3,2,TEN 33,9,9,Marcus Mariota pass incomplete short left intended for Rishard Matthews,0.430,0.000
4,0:30,,,,,,Timeout #1 by Tennessee Titans,0.000,1.180
4,0:25,4,2,TEN 33,9,9,"Brett Kern punts 58 yards, returned by Bryce Treggs for 4 yards (tackle by David Fluellen)",-1.180,0.320
4,0:17,1,10,CLE 13,9,9,Cody Kessler kneels for -1 yards,-0.320,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
,,,,,,,"Browns won the coin toss, Browns to receive the overtime kickoff.",,
OT,10:00,,,TEN 35,9,9,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
OT,10:00,1,10,CLE 25,9,9,Isaiah Crowell right guard for no gain (tackle by Da'Norris Searcy),0.610,0.060
OT,9:25,2,10,CLE 25,9,9,Cody Kessler pass incomplete deep right intended for Kenny Britt,0.060,-0.620
OT,9:20,3,10,CLE 25,9,9,Cody Kessler pass incomplete short right intended for Kasen Williams,-0.620,-1.700
OT,9:14,4,10,CLE 25,9,9,"Britton Colquitt punts 38 yards, returned by Adoree' Jackson for -1 yards (tackle by Matthew Dayes)",-1.700,-1.330
OT,9:05,1,10,TEN 36,9,9,Marcus Mariota pass complete short right to Delanie Walker for 16 yards (tackle by Christian Kirksey),1.330,2.390
OT,8:43,1,10,CLE 48,9,9,"Derrick Henry right tackle for 3 yards (tackle by Christian Kirksey). Penalty on Jonnu Smith: Offensive Holding, 10 yards (no play)",2.390,1.730
OT,8:16,1,20,TEN 42,9,9,Marcus Mariota pass incomplete short right intended for Derrick Henry,1.730,0.500
OT,8:11,2,20,TEN 42,9,9,Marcus Mariota pass complete short middle to Jonnu Smith for 14 yards (tackle by Mike Jordan),0.500,0.000
OT,7:42,,,,,,Timeout #1 by Tennessee Titans,0.000,-1.690
OT,7:42,3,6,CLE 44,9,9,Marcus Mariota pass incomplete short left intended for Eric Decker (defended by Mike Jordan),1.690,0.330
OT,7:37,4,6,CLE 44,9,9,"Brett Kern punts 44 yards, touchback",0.330,-0.280
OT,7:30,1,10,CLE 20,9,9,Isaiah Crowell right guard for 2 yards (tackle by Jurrell Casey and Kevin Byard),0.280,0.000
OT,6:54,2,8,CLE 22,9,9,Cody Kessler pass incomplete,0.000,-0.690
OT,6:48,3,8,CLE 22,9,9,Cody Kessler sacked by Brian Orakpo and Derrick Morgan for -12 yards,-0.690,-2.490
OT,6:09,4,20,CLE 10,9,9,"Britton Colquitt punts 53 yards, returned by Adoree' Jackson for 9 yards (tackle by Dan Vitale). Penalty on Briean Boddy-Calhoun: Player Out of Bounds on Punt, 5 yards",-2.490,-2.320
OT,5:57,1,10,CLE 49,9,9,DeMarco Murray left guard for 7 yards (tackle by Danny Shelton),2.320,2.730
OT,5:24,2,3,CLE 42,9,9,DeMarco Murray right guard for no gain (tackle by Jamie Collins),2.730,2.020
OT,4:40,3,3,CLE 42,9,9,Marcus Mariota pass complete short right to Rishard Matthews for 8 yards (tackle by Jamar Taylor),2.020,3.310
OT,4:05,1,10,CLE 34,9,9,DeMarco Murray right guard for 3 yards (tackle by Christian Kirksey),3.310,3.180
OT,3:27,2,7,CLE 31,9,9,Derrick Henry right tackle for 1 yard (tackle by Ibraheim Campbell),3.180,2.610
OT,2:49,3,6,CLE 30,9,9,DeMarco Murray left guard for 1 yard (tackle by Derrick Kindred),2.610,1.540
OT,2:00,4,5,CLE 29,12,9,Ryan Succop 47 yard field goal good,1.540,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
