Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
3,1:44,1,10,BAL 45,24,17,Alex Collins middle for 2 yards (tackle by Khalil Mack and Tyrell Adams),1.930,1.650
3,1:02,2,8,BAL 47,24,17,Joe Flacco pass incomplete short middle intended for Ben Watson,1.650,0.960
3,0:58,3,8,BAL 47,24,17,Joe Flacco pass complete deep right to Mike Wallace for 27 yards (tackle by T.J. Carrie),0.960,3.840
3,0:35,1,10,OAK 26,24,17,Javorius Allen left guard for 7 yards (tackle by Tyrell Adams),3.840,4.270
Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,OAK 19,24,17,Javorius Allen left guard for 9 yards (tackle by Marquel Lee),4.270,4.910
4,14:37,1,10,OAK 10,24,17,Javorius Allen left tackle for 4 yards (tackle by Khalil Mack),4.910,4.950
4,14:01,2,6,OAK 6,24,17,Javorius Allen left guard for 3 yards (tackle by Khalil Mack and Bruce Irvin),4.950,4.720
4,13:17,3,3,OAK 3,24,17,Joe Flacco pass incomplete short middle intended for Jeremy Maclin,4.720,3.040
4,13:13,4,3,OAK 3,27,17,Justin Tucker 21 yard field goal good,3.040,3.000
4,13:10,,,BAL 35,27,17,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,13:10,1,10,OAK 25,27,17,EJ Manuel sacked by Terrell Suggs for -6 yards,0.610,-0.810
4,12:35,2,16,OAK 19,27,17,EJ Manuel pass complete short right to Amari Cooper for 8 yards (tackle by Lardarius Webb),-0.810,-0.360
4,11:57,3,8,OAK 27,27,17,EJ Manuel pass complete short left to Seth Roberts for 12 yards (tackle by Lardarius Webb),-0.360,1.530
4,11:30,1,10,OAK 39,27,17,Marshawn Lynch right tackle for 9 yards (tackle by Brandon Carr and Matt Judon),1.530,2.200
4,10:58,2,1,OAK 48,27,17,Marshawn Lynch right tackle for 1 yard (tackle by Matt Judon),2.200,2.190
4,10:14,1,10,OAK 49,27,17,Jalen Richard left tackle for 2 yards (tackle by Terrell Suggs),2.190,1.920
4,9:39,2,8,BAL 49,27,17,EJ Manuel pass complete short right to Michael Crabtree for 5 yards (tackle by Brandon Carr),1.920,1.880
4,9:03,3,3,BAL 44,27,17,EJ Manuel pass incomplete short left intended for Jared Cook,1.880,0.330
4,8:58,4,3,BAL 44,27,17,"Marquette King punts 44 yards, touchback",0.330,-0.280
4,8:50,1,10,BAL 20,27,17,Alex Collins middle for 2 yards (tackle by Karl Joseph),0.280,0.000
4,8:17,2,8,BAL 22,27,17,"Joe Flacco pass complete short right to Ben Watson for 4 yards (tackle by James Cowser). Ben Watson fumbles (forced by James Cowser), ball out of bounds at BAL-26",0.000,-0.160
4,7:43,3,4,BAL 26,27,17,Joe Flacco pass complete short left to Jeremy Maclin for 8 yards (tackle by Sean Smith),-0.160,1.200
4,7:08,1,10,BAL 34,27,17,Javorius Allen left guard for 1 yard (tackle by Khalil Mack and Darius Latham),1.200,0.790
4,6:27,2,9,BAL 35,27,17,Javorius Allen middle for 9 yards (tackle by T.J. Carrie),0.790,1.860
4,5:43,1,10,BAL 44,27,17,Javorius Allen middle for 4 yards (tackle by Eddie Vanderdoes),1.860,1.860
4,5:00,2,6,BAL 48,27,17,Alex Collins middle for 7 yards (tackle by Sean Smith),1.860,2.590
4,4:15,1,10,OAK 45,27,17,Javorius Allen middle for 5 yards (tackle by Justin Ellis),2.590,2.720
4,3:32,2,5,OAK 40,27,17,Javorius Allen left tackle for 8 yards (tackle by Karl Joseph),2.720,3.450
4,2:47,1,10,OAK 32,27,17,Javorius Allen right guard for 2 yards (tackle by Khalil Mack),3.450,0.000
4,2:39,,,,,,Timeout #1 by Oakland Raiders,0.000,-3.170
4,2:39,2,8,OAK 30,27,17,Alex Collins left end for 2 yards (tackle by Karl Joseph and Nicholas Morrow),3.170,0.000
4,2:34,,,,,,Timeout #2 by Oakland Raiders,0.000,-2.740
4,2:34,3,6,OAK 28,27,17,Javorius Allen middle for 2 yards (tackle by Nicholas Morrow and Tyrell Adams),2.740,0.000
4,2:29,,,,,,Timeout #3 by Oakland Raiders,0.000,-1.810
4,2:29,4,4,OAK 26,30,17,Justin Tucker 44 yard field goal good,1.810,3.000
4,2:24,,,BAL 35,30,17,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,2:24,1,10,OAK 25,30,17,EJ Manuel pass incomplete short middle intended for Jalen Richard,0.610,0.060
4,2:21,2,10,OAK 25,30,17,EJ Manuel pass incomplete short middle intended for Jalen Richard (defended by Willie Henry),0.060,-0.620
4,2:17,3,10,OAK 25,30,17,"EJ Manuel pass complete deep left to Seth Roberts for 18 yards (tackle by Marlon Humphrey). Penalty on Kelechi Osemele: Offensive Holding, 10 yards (no play)",-0.620,-2.350
4,2:10,3,20,OAK 15,30,17,EJ Manuel pass incomplete deep left intended for Seth Roberts (defended by Eric Weddle),-2.350,-2.440
4,2:05,4,20,OAK 15,30,17,EJ Manuel pass incomplete short left intended for Cordarrelle Patterson,-2.440,-4.580
4,1:57,1,10,OAK 15,30,17,Joe Flacco kneels for -1 yards,4.580,3.810
4,1:17,2,11,OAK 16,30,17,Joe Flacco kneels for -2 yards,3.810,2.890
4,0:40,3,13,OAK 18,30,17,Joe Flacco kneels for -1 yards,2.890,2.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
