Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
2,14:17,2,1,PHI 26,14,7,"Penalty on Paul Grasmanis: Encroachment, 5 yards (no play)",3.920,4.170
2,13:08,1,10,PHI 21,14,7,Steve McNair pass incomplete intended for Derrick Mason,4.170,3.630
2,13:03,2,10,PHI 21,14,7,"Steve McNair for no gain. Steve McNair fumbles, recovered by Eddie George at PHI-27",3.630,2.150
2,12:13,3,16,PHI 27,14,7,"Penalty on Drew Bennett: False Start, 5 yards (no play)",2.150,1.490
2,11:47,3,21,PHI 32,14,7,Steve McNair right end for 17 yards (tackle by Sheldon Brown),1.490,2.520
2,11:04,4,4,PHI 15,14,10,Joe Nedney 33 yard field goal good,2.520,3.000
2,11:04,,,TEN 30,14,10,"Joe Nedney kicks off 70 yards, touchback",0.000,0.280
2,11:00,1,10,PHI 20,14,10,Donovan McNabb pass complete to Antonio Freeman for 9 yards (tackle by Donald Mitchell and Randall Godfrey),0.280,0.950
2,10:23,2,1,PHI 29,14,10,Duce Staley middle for 6 yards (tackle by Lance Schulters and Tank Williams),0.950,1.270
2,9:48,1,10,PHI 35,14,10,Donovan McNabb pass complete to Duce Staley for 8 yards (tackle by Samari Rolle and Robaire Smith),1.270,1.800
2,9:05,2,2,PHI 43,14,10,Brian Westbrook right end for 1 yard (tackle by Randall Godfrey),1.800,1.220
2,8:24,3,1,PHI 44,14,10,Donovan McNabb pass complete to Chad Lewis for 18 yards (tackle by Tank Williams),1.220,3.050
2,7:44,1,10,TEN 38,14,10,Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Andre Dyson),3.050,2.510
2,7:40,1,10,TEN 38,,,Timeout #1 by Philadelphia Eagles,3.050,2.510
2,7:40,2,10,TEN 38,14,10,Donovan McNabb sacked by Carlos Hall for -6 yards,2.510,1.030
2,7:08,3,16,TEN 44,14,10,Donovan McNabb pass complete to Antonio Freeman for 31 yards (tackle by Tank Williams),1.030,4.710
2,6:20,1,10,TEN 13,14,10,Donovan McNabb sacked by Kevin Carter for -8 yards,4.710,3.080
2,5:53,2,18,TEN 21,14,10,Donovan McNabb pass complete to Antonio Freeman for 14 yards (tackle by Randall Godfrey),3.080,4.330
2,5:10,3,4,TEN 7,20,10,"Donovan McNabb pass complete to Chad Lewis for 7 yards, touchdown",4.330,7.000
2,5:10,,,TEN 7,21,10,David Akers kicks extra point good,0.000,0.000
2,5:10,,,PHI 30,21,10,"David Akers kicks off 63 yards, returned by John Simon for 18 yards (tackle by Brian Westbrook)",0.000,0.610
2,5:05,1,10,TEN 25,21,10,"Steve McNair pass complete to Eddie George for 17 yards (tackle by Carlos Emmons). Penalty on Brad Hopkins: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,4:33,1,20,TEN 15,21,10,Eddie George middle for no gain (tackle by Barry Gardner and Brandon Whiting),-0.410,-1.430
2,4:33,2,20,TEN 15,21,10,"Penalty on Zach Piller: False Start, 5 yards (no play)",-1.430,-1.880
2,3:26,2,25,TEN 10,21,10,Steve McNair pass complete to Kevin Dyson for 6 yards (tackle by Shawn Barber),-1.880,-2.140
2,2:44,3,19,TEN 16,21,10,"Penalty on Fred Miller: False Start, 5 yards (no play)",-2.140,-3.060
2,2:43,3,19,TEN 16,,,Timeout #2 by Tennessee Titans,-2.140,-3.060
2,2:43,3,24,TEN 11,21,10,Steve McNair pass incomplete intended for Drew Bennett,-3.060,-2.490
2,2:37,4,24,TEN 11,21,10,"Craig Hentrich punts 56 yards, returned by Brian Mitchell for 8 yards (tackle by Peter Sirmon). Penalty on Rashard Cook: Illegal Block Above the Waist, 10 yards",-2.490,-1.000
2,2:23,1,10,PHI 31,21,10,Donovan McNabb pass incomplete intended for Duce Staley,1.000,0.460
2,2:20,2,10,PHI 31,21,10,Donovan McNabb pass incomplete intended for James Thrash,0.460,-0.230
2,2:15,3,10,PHI 31,21,10,Donovan McNabb pass incomplete intended for Duce Staley (defended by Carlos Hall),-0.230,-1.310
2,2:11,4,10,PHI 31,21,10,Sean Landeta punts 41 yards,-1.310,-0.810
2,1:58,1,10,TEN 28,21,10,"Steve McNair pass complete to Robert Holcombe for no gain (tackle by Hugh Douglas). Robert Holcombe fumbles (forced by Hugh Douglas), recovered by Shawn Barber at TEN-30 (tackle by Fred Miller)",0.810,-3.580
2,1:58,1,10,TEN 28,,,Timeout #3 by Tennessee Titans,0.810,-3.580
2,1:48,1,10,TEN 30,21,10,"Donovan McNabb pass incomplete intended for James Thrash. Penalty on John Thornton: Roughing the Passer, 15 yards (no play)",3.580,4.580
2,1:40,1,10,TEN 15,21,10,Duce Staley right tackle for 3 yards (tackle by Keith Bulluck and Carlos Hall),4.580,4.450
2,1:03,2,7,TEN 12,21,10,Donovan McNabb pass incomplete intended for Chad Lewis,4.450,3.580
2,0:58,3,7,TEN 12,21,10,Donovan McNabb pass incomplete intended for Chad Lewis (defended by Tank Williams),3.580,2.630
2,0:52,4,7,TEN 12,24,10,David Akers 30 yard field goal good,2.630,3.000
2,0:52,,,PHI 30,24,10,"David Akers kicks off 65 yards, returned by John Simon for 20 yards (tackle by Dameane Douglas)",0.000,0.610
2,0:48,1,10,TEN 25,24,10,Steve McNair pass incomplete intended for Kevin Dyson,0.610,0.060
2,0:36,2,10,TEN 25,24,10,Eddie George left end for 5 yards (tackle by Derrick Burgess),0.060,0.040
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,24,10,"David Akers kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,TEN 20,24,10,Eddie George left tackle for 2 yards (tackle by Hugh Douglas and Barry Gardner),0.280,0.000
3,14:12,2,8,TEN 22,24,10,Steve McNair pass complete to Eddie George for 6 yards (tackle by Carlos Emmons),0.000,0.100
3,13:30,3,2,TEN 28,24,10,Steve McNair pass complete to Derrick Mason for 14 yards (tackle by Al Harris),0.100,1.730
3,13:01,1,10,TEN 42,24,10,"Steve McNair pass complete to Frank Wycheck for 16 yards (tackle by Barry Gardner and Brian Dawkins). Penalty on Al Harris: Unnecessary Roughness, 15 yards, Penalty on Al Harris: Illegal Contact (Declined)",1.730,3.780
3,12:32,1,10,PHI 27,24,10,Steve McNair sacked by Hugh Douglas for -2 yards,3.780,2.960
3,12:01,2,12,PHI 29,24,10,Eddie George right tackle for no gain (tackle by Shawn Barber and Paul Grasmanis),2.960,2.280
3,11:16,3,12,PHI 29,24,10,Steve McNair pass incomplete intended for Kevin Dyson,2.280,1.500
3,11:16,4,12,PHI 29,24,13,Joe Nedney 47 yard field goal good,1.500,3.000
3,11:16,,,TEN 30,24,13,"Joe Nedney kicks off 66 yards, returned by Brian Mitchell for 46 yards (tackle by Joe Nedney). Penalty on Ike Reese: Offensive Holding, 10 yards",0.000,0.480
3,11:06,1,10,PHI 23,24,13,Donovan McNabb pass incomplete intended for Chad Lewis is intercepted by Lance Schulters at PHI-30 and returned for 8 yards,0.480,-4.110
3,10:45,1,10,PHI 22,24,13,"Steve McNair pass complete to Greg Comella for 2 yards (tackle by Blaine Bishop). Greg Comella fumbles (forced by Blaine Bishop), recovered by Shawn Barber at PHI-19 (tackle by Greg Comella)",4.110,-0.150
3,10:39,1,10,PHI 19,24,13,Duce Staley right tackle for no gain (tackle by Albert Haynesworth),0.150,-0.390
3,9:56,2,10,PHI 19,24,13,Donovan McNabb pass incomplete intended for James Thrash,-0.390,-1.070
3,9:52,3,10,PHI 19,24,13,Donovan McNabb pass complete to Todd Pinkston for 11 yards (tackle by Andre Dyson),-1.070,0.940
3,9:13,1,10,PHI 30,24,13,Duce Staley right guard for 3 yards (tackle by Lance Schulters and Carlos Hall),0.940,0.800
3,8:38,2,7,PHI 33,24,13,Brian Westbrook for 6 yards (tackle by Samari Rolle),0.800,0.890
3,8:13,3,1,PHI 39,24,13,Donovan McNabb middle for 3 yards (tackle by Henry Ford and Keith Bulluck),0.890,1.730
3,7:36,1,10,PHI 42,24,13,Brian Westbrook middle for 4 yards (tackle by Donald Mitchell),1.730,1.730
3,6:56,2,6,PHI 46,24,13,Brian Westbrook middle for 12 yards (tackle by Aric Morris),1.730,2.790
3,6:19,1,10,TEN 42,24,13,Dorsey Levens right end for 3 yards (tackle by Keith Bulluck),2.790,2.650
3,5:53,2,7,TEN 39,24,13,Duce Staley middle for 3 yards (tackle by Kevin Carter),2.650,2.340
3,5:17,3,4,TEN 36,24,13,Donovan McNabb pass complete to Chad Lewis for 3 yards (tackle by Tank Williams),2.340,1.210
3,4:28,4,1,TEN 33,24,13,Donovan McNabb middle for 2 yards (tackle by Frank Chamberlin and Peter Sirmon),1.210,3.510
3,4:02,1,10,TEN 31,24,13,Dorsey Levens right tackle for 6 yards (tackle by Donald Mitchell),3.510,3.780
3,4:02,2,4,TEN 25,24,13,"Penalty on Doug Brzezinski: False Start, 6 yards (no play)",3.780,2.970
3,3:00,2,10,TEN 31,24,13,Cecil Martin right tackle for -4 yards (tackle by Robaire Smith),2.970,1.750
3,2:19,3,14,TEN 35,24,13,Donovan McNabb sacked by Lance Schulters for -6 yards,1.750,0.530
3,1:55,4,20,TEN 41,24,13,"Sean Landeta punts 27 yards, fair catch by Derrick Mason",0.530,0.280
3,1:48,1,10,TEN 14,24,13,Eddie George middle for 1 yard (tackle by Hugh Douglas),-0.280,-0.640
3,1:05,2,9,TEN 15,24,13,Steve McNair pass complete to Eddie George for 11 yards (tackle by Shawn Barber),-0.640,0.670
3,0:25,1,10,TEN 26,24,13,Steve McNair pass incomplete intended for Derrick Mason,0.670,0.130
3,0:21,2,10,TEN 26,24,13,Steve McNair pass incomplete intended for Frank Wycheck is intercepted by Shawn Barber at TEN-36 and returned for 1 yard,0.130,-3.250
3,0:15,1,10,TEN 35,24,13,Donovan McNabb pass incomplete intended for James Thrash is intercepted by Andre Dyson at TEN-31 and returned for 2 yards,3.250,-1.140
3,0:10,1,10,TEN 33,24,13,Eddie George right tackle for 4 yards (tackle by Shawn Barber),1.140,1.130
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,TEN 37,24,13,"Steve McNair pass incomplete intended for Kevin Dyson is intercepted by Al Harris at PHI-15 and returned for 35 yards. Penalty on Blaine Bishop: Defensive Pass Interference, 40 yards (no play)",1.130,4.040
4,14:45,1,10,PHI 23,24,13,Steve McNair pass complete to Derrick Mason for 3 yards (tackle by Al Harris),4.040,3.900
4,14:10,2,7,PHI 20,24,13,Steve McNair pass complete to Derrick Mason for 17 yards (tackle by Darwin Walker),3.900,6.510
4,13:41,1,3,PHI 3,24,13,Eddie George right tackle for 1 yard (tackle by Brian Dawkins),6.510,5.720
4,12:55,2,2,PHI 2,24,13,Steve McNair pass incomplete intended for Greg Comella,5.720,4.950
4,12:52,2,2,PHI 2,,,Timeout #1 by Tennessee Titans,5.720,4.950
4,12:52,3,2,PHI 2,24,19,"Steve McNair pass complete to Justin McCareins for 2 yards, touchdown. Penalty on Bobby Taylor: Defensive Pass Interference (Declined)",4.950,7.000
4,12:52,3,,PHI 2,24,19,"Two Point Attempt: Steve McNair middle, conversion fails",1.000,-1.000
4,12:52,,,TEN 30,24,19,"Joe Nedney kicks off 70 yards, touchback. Penalty on Rashard Cook: Unnecessary Roughness, 10 yards",0.000,-0.380
4,12:49,1,10,PHI 10,24,19,Donovan McNabb pass complete to Todd Pinkston for 9 yards (tackle by Mike Echols),-0.380,0.240
4,12:23,2,1,PHI 19,24,19,Brian Westbrook left tackle for no gain (tackle by Carlos Hall),0.240,-0.370
4,11:43,3,1,PHI 19,24,19,Donovan McNabb pass complete to Duce Staley for 9 yards (tackle by Keith Bulluck),-0.370,0.810
4,11:02,1,10,PHI 28,24,19,Donovan McNabb pass incomplete intended for Todd Pinkston,0.810,0.260
4,10:56,2,10,PHI 28,24,19,Brian Westbrook middle for 6 yards (tackle by John Thornton),0.260,0.370
4,10:14,3,4,PHI 34,24,19,Brian Westbrook right end for 6 yards (tackle by Tank Williams and Mike Echols),0.370,1.600
4,9:32,1,10,PHI 40,24,19,Duce Staley middle for no gain (tackle by Albert Haynesworth and Carlos Hall),1.600,1.050
4,9:05,2,10,PHI 40,24,19,Donovan McNabb pass incomplete intended for James Thrash,1.050,0.370
4,9:00,3,10,PHI 40,24,19,Donovan McNabb pass incomplete intended for Todd Pinkston,0.370,-0.720
4,8:57,4,10,PHI 40,24,19,"Sean Landeta punts 44 yards, fair catch by Derrick Mason",-0.720,0.140
4,8:50,1,10,TEN 16,24,19,Eddie George middle for -1 yards (tackle by Ike Reese),-0.140,-0.780
4,8:11,2,11,TEN 15,24,19,Steve McNair pass complete to Eddie George for 7 yards (tackle by Brandon Whiting and Barry Gardner),-0.780,-0.570
4,7:25,3,4,TEN 22,24,19,Steve McNair pass complete to Drew Bennett for 8 yards (tackle by Ike Reese),-0.570,0.940
4,6:43,1,10,TEN 30,24,19,Steve McNair pass incomplete intended for Frank Wycheck,0.940,0.390
4,6:38,2,10,TEN 30,24,19,Eddie George right end for 6 yards (tackle by Rashard Cook and Barry Gardner),0.390,0.500
4,5:51,3,4,TEN 36,24,19,Steve McNair pass complete to Kevin Dyson for 4 yards (tackle by Al Harris),0.500,1.600
4,5:03,1,10,TEN 40,24,19,Kevin Dyson left end for -9 yards (tackle by Hugh Douglas),1.600,-0.160
4,4:20,2,19,TEN 31,24,19,Steve McNair pass incomplete intended for Drew Bennett (defended by Shawn Barber),-0.160,-0.820
4,4:16,3,19,TEN 31,24,19,Steve McNair pass complete to Derrick Mason for 39 yards (tackle by Brian Dawkins),-0.820,3.580
4,4:07,1,10,PHI 30,24,19,Eddie George right tackle for 3 yards (tackle by Paul Grasmanis and Barry Gardner),3.580,3.440
4,3:28,2,7,PHI 27,24,19,Steve McNair pass complete to Frank Wycheck for 18 yards (tackle by Barry Gardner),3.440,5.140
4,3:21,1,9,PHI 9,24,19,Steve McNair pass incomplete intended for Derrick Mason,5.140,4.380
4,3:17,2,9,PHI 9,24,19,"Steve McNair pass complete to Drew Bennett for 5 yards (tackle by Al Harris). Penalty on Al Harris: Face Mask (15 Yards), 2 yards",4.380,6.740
4,3:12,1,2,PHI 2,24,25,"Eddie George right end for 2 yards, touchdown",6.740,7.000
4,3:12,1,,PHI 2,24,27,"Two Point Attempt: Eddie George left end, conversion succeeds",1.000,1.000
4,3:12,,,TEN 30,24,27,"Joe Nedney kicks off 70 yards, returned by Brian Mitchell for 23 yards (tackle by Rocky Calmus)",0.000,0.480
4,3:09,1,10,PHI 23,24,27,Donovan McNabb sacked by Carlos Hall for -8 yards,0.480,-1.280
4,2:35,2,18,PHI 15,24,27,Donovan McNabb middle for 10 yards (tackle by Tank Williams),-1.280,-0.490
4,2:00,3,8,PHI 25,24,27,Donovan McNabb pass incomplete intended for Antonio Freeman (defended by Donald Mitchell),-0.490,-1.700
4,1:56,4,8,PHI 25,24,27,"Sean Landeta punts 48 yards, fair catch by Derrick Mason",-1.700,-0.740
4,1:49,4,8,PHI 25,,,Timeout #2 by Tennessee Titans,-1.700,-0.740
4,1:49,1,10,TEN 27,24,27,Eddie George left tackle for 2 yards (tackle by Brandon Whiting),0.740,0.470
4,1:44,1,10,TEN 27,,,Timeout #1 by Philadelphia Eagles,0.740,0.470
4,1:44,2,8,TEN 29,24,27,Eddie George right tackle for -2 yards (tackle by N.D. Kalu),0.470,-0.490
4,1:38,2,8,TEN 29,,,Timeout #2 by Philadelphia Eagles,0.470,-0.490
4,1:38,3,10,TEN 27,24,27,Eddie George right guard for 4 yards (tackle by Levon Kirkland),-0.490,-1.310
4,1:34,3,10,TEN 27,,,Timeout #3 by Philadelphia Eagles,-0.490,-1.310
4,1:34,4,6,TEN 31,24,27,"Craig Hentrich punts 44 yards, returned by Brian Mitchell for 9 yards (tackle by Donald Mitchell)",-1.310,-1.200
4,1:23,1,10,PHI 34,24,27,Donovan McNabb pass incomplete intended for James Thrash,1.200,0.660
4,1:19,2,10,PHI 34,24,27,"Donovan McNabb sacked by Carlos Hall for -3 yards. Donovan McNabb fumbles (forced by Carlos Hall), recovered by Kevin Carter at PHI-35",0.660,-3.250
4,1:12,1,10,PHI 35,24,27,Steve McNair kneels for -1 yards,3.250,2.570
4,0:40,2,11,PHI 36,24,27,Steve McNair kneels for -1 yards,2.570,1.750
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
