Quarter,Time,Down,ToGo,Location,MIA,BAL,Detail,EPB,EPA
2,0:38,3,9,BAL 30,0,20,Javorius Allen right guard for 1 yard (tackle by Charles Harris),-0.230,0.000
2,0:34,,,,,,Timeout #3 by Miami Dolphins,0.000,1.310
2,0:34,4,8,BAL 31,0,20,"Sam Koch punts 36 yards, out of bounds",-1.310,-1.140
2,0:26,1,10,MIA 33,0,20,Matt Moore sacked by C.J. Mosley and Za'Darius Smith for -12 yards,1.140,-1.030
Quarter,Time,Down,ToGo,Location,MIA,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,0,20,"Cody Parkey kicks off 68 yards, returned by Bobby Rainey for 26 yards (tackle by Mike Hull)",0.000,-0.480
3,14:54,1,10,BAL 23,0,20,Alex Collins left guard for 12 yards (tackle by Rey Maualuga),0.480,1.270
3,14:18,1,10,BAL 35,0,20,Alex Collins right guard for 5 yards (tackle by Lawrence Timmons),1.270,1.400
3,13:46,2,5,BAL 40,0,20,Javorius Allen left tackle for 7 yards (tackle by Rey Maualuga),1.400,2.060
3,13:05,1,10,BAL 47,0,20,Javorius Allen right guard for 1 yard (tackle by Michael Thomas),2.060,1.650
3,12:34,2,9,BAL 48,0,20,Ryan Mallett pass incomplete deep left intended for Breshad Perriman,1.650,0.960
3,12:27,3,9,BAL 48,0,20,Ryan Mallett pass incomplete short middle intended for Breshad Perriman,0.960,-0.190
3,12:23,4,9,BAL 48,0,20,Sam Koch punts 43 yards,-0.190,0.380
3,12:11,1,10,MIA 9,0,20,Jay Ajayi right guard for 1 yard (tackle by Brandon Williams),-0.380,-0.710
3,11:34,2,9,MIA 10,0,20,Matt Moore pass complete short right to Jay Ajayi for 4 yards (tackle by Tony Jefferson),-0.710,-0.840
3,10:54,3,5,MIA 14,0,20,Matt Moore pass incomplete short left intended for Julius Thomas,-0.840,-2.470
3,10:49,4,5,MIA 14,0,20,"Matt Haack punts 49 yards, fair catch by Lardarius Webb",-2.470,-1.400
3,10:41,1,10,BAL 37,0,20,Ryan Mallett pass complete short right to Nick Boyle for 12 yards (tackle by Reshad Jones),1.400,2.190
3,10:08,1,10,BAL 49,0,20,Alex Collins left tackle for no gain (tackle by Kiko Alonso),2.190,0.000
3,9:29,,,,,,Timeout #1 by Baltimore Ravens,0.000,-1.650
3,9:29,2,10,BAL 49,0,20,"Alex Collins right guard for no gain (tackle by Lawrence Timmons and Reshad Jones). Penalty on Ndamukong Suh: Unnecessary Roughness, 15 yards",1.650,3.180
3,9:05,1,10,MIA 36,0,20,Javorius Allen left guard for 2 yards (tackle by Lawrence Timmons),3.180,2.910
3,8:29,2,8,MIA 34,0,20,Ryan Mallett pass incomplete short middle intended for Jeremy Maclin,2.910,2.210
3,8:20,3,8,MIA 34,0,20,Javorius Allen left guard for 6 yards (tackle by Ndamukong Suh),2.210,1.700
3,7:43,4,2,MIA 28,0,20,"Justin Tucker 46 yard field goal no good, blocked by Vincent Taylor",1.700,-1.330
3,7:37,1,10,MIA 36,0,20,Matt Moore pass incomplete short right intended for Kenny Stills (defended by Tyus Bowser),1.330,0.790
3,7:33,2,10,MIA 36,0,20,Jay Ajayi left tackle for -3 yards (tackle by Brandon Williams),0.790,-0.300
3,6:57,3,13,MIA 33,0,20,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",-0.300,-0.960
3,6:35,3,18,MIA 28,0,20,Matt Moore pass complete short right to Jarvis Landry for 3 yards (tackle by Marlon Humphrey),-0.960,-1.310
3,6:27,4,15,MIA 31,0,20,"Matt Haack punts 50 yards, returned by Lardarius Webb for 7 yards (tackle by Chase Allen). Penalty on Tyus Bowser: Illegal Block Above the Waist, 10 yards",-1.310,0.140
3,6:17,1,10,BAL 16,0,20,Alex Collins left tackle for 19 yards (tackle by Kiko Alonso),-0.140,1.270
3,5:36,1,10,BAL 35,0,20,Alex Collins right guard for 3 yards (tackle by Lawrence Timmons),1.270,1.130
3,4:57,2,7,BAL 38,0,20,Javorius Allen right tackle for -1 yards (tackle by Ndamukong Suh),1.130,0.300
3,4:14,3,8,BAL 37,0,20,Ryan Mallett pass complete short left to Nick Boyle for 6 yards (tackle by Kiko Alonso),0.300,-0.520
3,3:33,4,2,BAL 43,0,20,"Penalty on Tyus Bowser: False Start, 5 yards (no play)",-0.520,-0.850
3,3:19,4,7,BAL 38,0,20,"Penalty on Walt Aikens: Neutral Zone Infraction, 5 yards (no play)",-0.850,-0.520
3,3:08,4,2,BAL 43,0,20,"Sam Koch punts 44 yards, returned by Jarvis Landry for 4 yards (tackle by Javorius Allen)",-0.520,0.060
3,2:59,1,10,MIA 17,0,20,Matt Moore pass complete short middle to Jay Ajayi for 6 yards (tackle by Patrick Onwuasor),-0.060,0.350
3,2:30,2,4,MIA 23,0,20,Matt Moore pass complete short right to Jay Ajayi for 6 yards (tackle by C.J. Mosley),0.350,0.870
3,1:59,1,10,MIA 29,0,20,Matt Moore pass complete short right to Kenny Stills for 6 yards (tackle by Brandon Carr),0.870,1.140
3,1:40,2,4,MIA 35,0,20,Matt Moore pass complete short middle to Kenny Stills for 3 yards (tackle by Lardarius Webb),1.140,0.830
3,1:13,3,1,MIA 38,0,20,Jay Ajayi middle for 1 yard (tackle by C.J. Mosley),0.830,1.530
3,0:26,1,10,MIA 39,0,20,Matt Moore pass complete short middle to Leonte Carroo for 5 yards (tackle by Patrick Onwuasor),1.530,1.660
3,0:03,2,5,MIA 44,0,20,Matt Moore pass complete short left to Leonte Carroo for 8 yards (tackle by Jimmy Smith),1.660,2.390
Quarter,Time,Down,ToGo,Location,MIA,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 48,0,20,Matt Moore pass complete short middle to Jarvis Landry for 14 yards (tackle by Brandon Carr),2.390,3.310
4,14:34,1,10,BAL 34,0,20,Matt Moore pass incomplete deep left intended for Kenny Stills,3.310,2.770
4,14:29,2,10,BAL 34,0,26,"Matt Moore pass incomplete short right intended for Jarvis Landry is intercepted by C.J. Mosley at BAL-37 and returned for 63 yards, touchdown",2.770,-7.000
4,,,,,0,26,"Two Point Attempt: Ryan Mallett pass incomplete intended for Ben Watson, conversion fails",,
4,14:15,,,BAL 35,0,26,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,14:15,1,10,MIA 25,0,26,Matt Moore pass complete short middle to Jay Ajayi for 2 yards (tackle by Anthony Levine),0.610,0.330
4,13:51,2,8,MIA 27,0,26,Matt Moore pass complete short left to Anthony Fasano for 4 yards (tackle by Eric Weddle),0.330,0.170
4,13:17,3,4,MIA 31,0,26,Matt Moore pass complete short right to Kenny Stills for 8 yards (tackle by Jimmy Smith),0.170,1.530
4,12:52,1,10,MIA 39,0,26,Matt Moore pass incomplete short middle intended for Jarvis Landry,1.530,0.990
4,12:48,2,10,MIA 39,0,26,Matt Moore pass incomplete deep right intended for Jakeem Grant,0.990,0.300
4,12:42,3,10,MIA 39,0,26,Matt Moore pass complete short middle to Leonte Carroo for 4 yards (tackle by Jimmy Smith),0.300,-0.520
4,11:59,4,6,MIA 43,0,26,Matt Moore sacked by Tyus Bowser for -5 yards,-0.520,-3.050
4,11:23,1,10,MIA 38,0,26,Alex Collins left guard for 4 yards (tackle by Chase Allen),3.050,3.050
4,11:15,2,6,MIA 34,0,26,Ryan Mallett pass incomplete deep middle intended for Ben Watson,3.050,2.340
4,11:06,3,6,MIA 34,0,26,Alex Collins left end for 10 yards (tackle by Michael Thomas),2.340,3.970
4,10:20,1,10,MIA 24,0,26,Javorius Allen right guard for 3 yards (tackle by Vincent Taylor and Lawrence Timmons),3.970,3.840
4,9:37,2,7,MIA 21,0,26,Javorius Allen right guard for 9 yards (tackle by Michael Thomas and Reshad Jones),3.840,4.780
4,8:51,1,10,MIA 12,0,26,Javorius Allen right guard for 2 yards (tackle by Lawrence Timmons),4.780,4.450
4,8:09,2,8,MIA 10,0,26,"Alex Collins left end for 6 yards (tackle by Michael Thomas). Penalty on Davon Godchaux: Defensive Offside, 5 yards (no play)",4.450,5.410
4,7:42,2,3,MIA 5,0,26,Javorius Allen middle for 2 yards (tackle by Davon Godchaux),5.410,5.060
4,7:00,3,1,MIA 3,0,26,"Penalty on Ndamukong Suh: Defensive Offside (Declined), Penalty on Ndamukong Suh: Unnecessary Roughness (Declined), Penalty on William Hayes: Unnecessary Roughness, 2 yards (no play)",5.060,6.970
4,6:45,1,1,MIA 1,0,32,"Ryan Mallett for no gain. Ryan Mallett fumbles, recovered by Chris Moore at MIA-00, touchdown",6.970,7.000
4,6:39,,,MIA 15,0,33,Justin Tucker kicks extra point good,0.000,0.000
4,6:39,,,BAL 35,0,33,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,6:39,1,10,MIA 25,0,33,Kenyan Drake right guard for 1 yard (tackle by Brandon Carr),0.610,0.200
4,5:58,2,9,MIA 26,0,33,Matt Moore pass complete short middle to Jarvis Landry for 6 yards (tackle by Marlon Humphrey),0.200,0.300
4,5:17,3,3,MIA 32,0,33,Matt Moore pass complete short middle to Jarvis Landry for 14 yards (tackle by Brandon Carr),0.300,1.990
4,4:38,1,10,MIA 46,0,39,"Matt Moore pass incomplete short left intended for Kenny Stills is intercepted by Jimmy Smith at 50 and returned for 50 yards, touchdown",1.990,-7.000
4,,,,MIA 15,0,40,Justin Tucker kicks extra point good,,
4,4:28,,,BAL 35,0,40,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,4:28,1,10,MIA 25,0,40,"Kenyan Drake right tackle for 2 yards (tackle by Brandon Carr). Penalty on Matt Judon: Horse Collar Tackle, 15 yards",0.610,1.730
4,4:22,1,10,MIA 42,0,40,Kenyan Drake right guard for 6 yards (tackle by Tony Jefferson),1.730,2.000
4,3:43,2,4,MIA 48,0,40,Kenyan Drake left guard for 12 yards (tackle by Eric Weddle),2.000,2.920
4,3:00,1,10,BAL 40,0,40,Kenyan Drake left guard for 4 yards (tackle by Michael Pierce),2.920,2.910
4,2:12,2,6,BAL 36,0,40,Kenyan Drake right guard for -3 yards (tackle by Brandon Williams),2.910,1.820
4,2:00,3,9,BAL 39,0,40,Matt Moore pass incomplete short left intended for Leonte Carroo (defended by Marlon Humphrey),1.820,0.660
4,1:56,4,9,BAL 39,0,40,Matt Moore pass incomplete short right intended for Kenyan Drake,0.660,-1.530
4,1:50,1,10,BAL 39,0,40,Ryan Mallett kneels for -1 yards,1.530,0.850
4,1:11,2,11,BAL 38,0,40,Ryan Mallett kneels for -1 yards,0.850,0.040
4,0:25,3,12,BAL 37,0,40,Ryan Mallett kneels for -1 yards,0.040,-0.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
