Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,7,21,"Martin Gramatica kicks off 55 yards, muffed catch by James Mungro, recovered by James Mungro at IND-22, and returned for 5 yards",0.000,0.740
3,14:52,1,10,IND 27,7,21,Peyton Manning pass complete to Marvin Harrison for 9 yards (tackle by Tim Wansley),0.740,1.410
3,14:27,2,1,IND 36,7,21,Ricky Williams for 19 yards (tackle by Ronde Barber and Nate Webster),1.410,2.590
3,14:05,1,10,TAM 45,7,21,Peyton Manning pass incomplete intended for Ricky Williams,2.590,2.040
3,13:47,2,10,TAM 45,7,21,Ricky Williams up the middle for 8 yards (tackle by Simeon Rice),2.040,2.410
3,13:12,3,2,TAM 37,7,27,"Peyton Manning pass complete to Marvin Harrison for 37 yards, touchdown",2.410,-7.000
3,,,,TAM 2,7,28,Mike Vanderjagt kicks extra point good,0.000,0.000
3,,,,IND 30,7,28,"Mike Vanderjagt kicks off 66 yards, returned by Aaron Stecker for 16 yards (tackle by Cory Bird)",0.000,0.280
3,12:57,1,10,TAM 20,7,28,Michael Pittman up the middle for 10 yards (tackle by Marcus Washington and Rob Morris),0.280,0.940
3,12:19,1,10,TAM 30,7,28,Michael Pittman left guard for 3 yards (tackle by David Thornton),0.940,0.800
3,11:42,2,7,TAM 33,7,28,"Brad Johnson right end for 6 yards (tackle by Marcus Washington). Penalty on TAM: Illegal Shift, 5 yards (no play)",0.800,0.120
3,11:11,2,12,TAM 28,7,28,Brad Johnson pass incomplete intended for Keyshawn Johnson,0.120,-0.560
3,11:05,3,12,TAM 28,7,28,Brad Johnson pass incomplete intended for Karl Williams (defended by Nick Harper),-0.560,-1.500
3,11:00,4,12,TAM 28,7,28,"Tom Tupa punts 44 yards, returned by Brad Pyatt for 9 yards (tackle by Todd Yoder). Penalty on Detron Smith: Illegal Block Above the Waist, 10 yards",-1.500,-0.740
3,10:45,1,10,IND 27,7,28,Peyton Manning pass complete to Dallas Clark for 6 yards (tackle by Nate Webster),0.740,1.010
3,10:13,2,4,IND 33,7,28,Ricky Williams up the middle for no gain (tackle by Simeon Rice and Derrick Brooks),1.010,0.300
3,9:56,3,4,IND 33,7,28,"Peyton Manning pass complete to Marvin Harrison for 10 yards (tackle by Tim Wansley). Penalty on Tarik Glenn: False Start, 5 yards (no play)",0.300,-0.360
3,9:33,3,9,IND 28,7,28,Peyton Manning pass complete to Ricky Williams for 2 yards (tackle by Anthony McFarland),-0.360,-1.370
3,8:56,4,7,IND 30,7,28,Hunter Smith punts 55 yards,-1.370,0.220
3,8:42,1,10,TAM 15,7,28,Michael Pittman up the middle for -1 yards (tackle by Marcus Washington and Larry Tripplett),-0.220,-0.820
3,8:07,2,11,TAM 14,7,28,Brad Johnson pass complete to Michael Pittman for 20 yards (tackle by Rob Morris),-0.820,1.200
3,7:27,1,10,TAM 34,7,28,Brad Johnson pass complete to Keyshawn Johnson for 14 yards (tackle by Rob Morris),1.200,2.130
3,6:33,1,10,TAM 48,7,28,"Penalty on TAM: Delay of Game, 5 yards (no play)",2.130,1.800
3,6:17,1,15,TAM 43,7,28,Michael Pittman up the middle for 8 yards (tackle by Mike Doss),1.800,1.990
3,5:42,2,7,IND 49,7,28,Brad Johnson pass incomplete intended for Ken Dilger (defended by Marcus Washington),1.990,1.290
3,5:36,3,7,IND 49,7,28,Brad Johnson pass complete to Thomas Jones for 7 yards (tackle by Walt Harris and David Thornton),1.290,2.790
3,4:51,,,,7,21,Timeout #1 by Indianapolis Colts,0.000,2.790
3,4:51,1,10,IND 42,7,28,"Brad Johnson pass complete to Mike Alstott for 17 yards (tackle by Mike Doss and Larry Tripplett). Penalty on Roman Oben: Unnecessary Roughness, 15 yards",2.790,2.920
3,4:00,1,10,IND 40,7,28,Michael Pittman for 8 yards (tackle by David Thornton),2.920,3.450
3,3:37,2,2,IND 32,7,28,Michael Pittman for 17 yards (tackle by Nick Harper),3.450,4.580
3,2:40,1,10,IND 15,7,28,Aaron Stecker for -1 yards (tackle by Marcus Washington),4.580,3.810
3,2:14,2,11,IND 16,7,28,"Brad Johnson pass incomplete intended for Todd Yoder. Penalty on Todd Yoder: Offensive Pass Interference, 10 yards (no play)",3.810,2.540
3,2:05,2,21,IND 26,7,28,Brad Johnson pass complete to Reggie Barlow for 11 yards (tackle by Mike Doss and Walt Harris),2.540,3.100
3,1:20,,,,7,21,Timeout #2 by Indianapolis Colts,0.000,3.100
3,1:20,3,10,IND 15,13,28,"Brad Johnson pass complete to Keenan McCardell for 15 yards, touchdown",3.100,-7.000
3,,,,IND 2,14,28,Martin Gramatica kicks extra point good,0.000,0.000
3,,,,TAM 30,14,28,"Martin Gramatica kicks off 69 yards, returned by Brad Pyatt for 24 yards (tackle by Corey Ivy)",0.000,0.610
3,1:06,1,10,IND 25,14,28,Peyton Manning pass complete to Marcus Pollard for 31 yards (tackle by Ronde Barber and Ryan Nece),0.610,2.650
3,0:32,1,10,TAM 44,14,28,Dominic Rhodes up the middle for -5 yards (tackle by Greg Spires),2.650,1.440
Quarter,Time,Down,ToGo,Location,IND,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,15,TAM 49,14,28,Peyton Manning pass complete to Marvin Harrison for 12 yards (tackle by Tim Wansley). Penalty on Greg Spires: Defensive Offside (Declined),1.440,2.350
4,14:32,3,3,TAM 37,14,28,Peyton Manning pass complete to Dallas Clark for 11 yards (tackle by Anthony McFarland and John Lynch),2.350,3.840
4,13:57,1,10,TAM 26,14,28,Peyton Manning pass complete to Ricky Williams for 11 yards (tackle by Ryan Nece),3.840,4.580
4,13:22,1,10,TAM 15,14,28,Peyton Manning pass complete to Reggie Wayne for 12 yards (tackle by Ronde Barber and Derrick Brooks),4.580,6.510
4,12:39,1,3,TAM 3,14,28,Ricky Williams up the middle for 2 yards (tackle by Jermaine Phillips and Nate Webster),6.510,5.910
4,12:05,2,1,TAM 1,14,34,"Ricky Williams up the middle for 1 yard, touchdown. Penalty on TAM: Defensive Offside (Declined)",5.910,-7.000
4,,,,TAM 2,14,35,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,14,35,"Mike Vanderjagt kicks off 61 yards, returned by Karl Williams for 15 yards (tackle by David Macklin)",,
