Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
2,6:21,2,2,DAL 45,0,14,Alfred Morris left tackle for 3 yards (tackle by Michael Johnson),1.940,2.130
2,5:42,1,10,DAL 48,0,14,Dak Prescott pass incomplete short right intended for Alfred Morris,2.130,1.580
2,5:36,2,10,DAL 48,0,14,Dak Prescott pass complete short left to Brice Butler for 7 yards,1.580,1.820
2,5:04,3,3,CIN 45,0,14,Dak Prescott pass complete deep middle to Jason Witten for 31 yards (tackle by Adam Jones),1.820,4.650
2,4:17,1,10,CIN 14,0,20,"Dak Prescott pass complete short right to Cole Beasley for 14 yards, touchdown",4.650,7.000
2,4:17,,,CIN 14,0,21,Dan Bailey kicks extra point good,0.000,0.000
2,4:17,,,DAL 35,0,21,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
2,4:09,1,10,CIN 25,0,21,Jeremy Hill right tackle for 1 yard (tackle by Cedric Thornton and Maliek Collins),0.610,0.200
2,3:34,2,9,CIN 26,0,21,Andy Dalton sacked by Cedric Thornton for -6 yards,0.200,-1.290
2,2:51,3,15,CIN 20,0,21,Andy Dalton pass complete short middle to C.J. Uzomah for 14 yards (tackle by Barry Church),-1.290,-1.110
2,2:09,4,1,CIN 34,0,21,"Kevin Huber punts 43 yards, muffed catch by Lucky Whitehead, recovered by Lucky Whitehead and returned for no gain",-1.110,-0.410
2,2:01,1,10,DAL 22,0,21,Ezekiel Elliott left tackle for 4 yards (tackle by Adam Jones),0.410,0.410
2,1:56,2,6,DAL 26,0,21,Dak Prescott pass complete short right to Cole Beasley for 18 yards (tackle by Darqueze Dennard),0.410,1.860
2,1:50,1,10,DAL 44,0,21,Dak Prescott pass incomplete short left intended for Ezekiel Elliott,1.860,1.320
2,1:43,2,10,DAL 44,0,21,Dak Prescott pass complete short right to Ezekiel Elliott for 5 yards (tackle by Karlos Dansby),1.320,1.290
2,1:37,3,5,DAL 49,0,21,Dak Prescott pass incomplete short right intended for Jason Witten,1.290,-0.130
2,1:32,4,5,DAL 49,0,21,"Chris Jones punts 36 yards, fair catch by Alex Erickson",-0.130,0.220
2,1:24,1,10,CIN 15,0,21,Andy Dalton pass complete deep middle to Tyler Boyd for 20 yards (tackle by Sean Lee),-0.220,1.270
2,1:02,1,10,CIN 35,0,21,Andy Dalton pass complete short middle to C.J. Uzomah for 7 yards (tackle by Barry Church),1.270,1.670
2,0:44,2,3,CIN 42,0,21,Andy Dalton pass complete short left to Tyler Boyd for 7 yards (tackle by Sean Lee and Anthony Brown),1.670,1.670
2,0:38,2,3,CIN 42,0,21,Timeout #1 by Cincinnati Bengals,1.670,2.190
2,0:38,1,10,CIN 49,0,21,Andy Dalton pass incomplete deep right intended for Tyler Boyd,2.190,1.650
2,0:32,2,10,CIN 49,0,21,Andy Dalton pass incomplete short right intended for Brandon LaFell,1.650,0.960
2,0:25,3,10,CIN 49,0,21,Andy Dalton pass incomplete short left intended for Brandon LaFell,0.960,-0.130
2,0:11,4,10,CIN 49,0,21,Kevin Huber punts 38 yards,-0.130,0.320
2,0:03,1,10,DAL 13,0,21,Dak Prescott kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,0,21,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CIN 25,0,21,Giovani Bernard right tackle for 12 yards (tackle by Byron Jones),0.610,1.400
3,14:27,1,10,CIN 37,0,21,"Giovani Bernard right guard for 3 yards (tackle by Tyrone Crawford). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",1.400,0.740
3,14:06,1,20,CIN 27,0,21,"Andy Dalton pass complete short left to Giovani Bernard for 5 yards (tackle by Anthony Hitchens). Penalty on Morris Claiborne: Defensive Holding, 5 yards (no play)",0.740,1.070
3,13:39,1,10,CIN 32,0,21,Andy Dalton pass complete deep middle to A.J. Green for 22 yards (tackle by Anthony Hitchens),1.070,2.520
3,13:03,1,10,DAL 46,0,21,Andy Dalton pass incomplete short left intended for A.J. Green,2.520,1.980
3,12:57,2,10,DAL 46,0,21,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Brandon Carr),1.980,1.290
3,12:51,3,10,DAL 46,0,21,"Andy Dalton pass incomplete short right intended for A.J. Green. Penalty on Morris Claiborne: Defensive Pass Interference, 13 yards (no play)",1.290,3.380
3,12:44,1,10,DAL 33,0,21,Andy Dalton middle for 1 yard (tackle by Terrell McClain),3.380,2.970
3,12:05,2,9,DAL 32,0,21,Andy Dalton pass incomplete short left intended for Tyler Boyd,2.970,2.280
3,12:00,3,9,DAL 32,0,21,Andy Dalton pass incomplete deep right intended for A.J. Green (defended by Morris Claiborne),2.280,1.240
3,11:52,4,9,DAL 32,0,21,Mike Nugent 50 yard field goal no good,1.240,-1.600
3,11:47,1,10,DAL 40,0,27,"Ezekiel Elliott right guard for 60 yards, touchdown",1.600,7.000
3,11:47,,,CIN 40,0,28,Dan Bailey kicks extra point good,0.000,0.000
3,11:47,,,DAL 35,0,28,"Dan Bailey kicks off 69 yards, returned by Alex Erickson for 24 yards (tackle by Anthony Brown)",0.000,-0.280
3,11:32,1,10,CIN 20,0,28,Andy Dalton pass incomplete,0.280,-0.270
3,11:26,2,10,CIN 20,0,28,Andy Dalton pass complete short left to Brandon LaFell for 11 yards (tackle by Barry Church),-0.270,1.000
3,10:50,1,10,CIN 31,0,28,"Andy Dalton pass incomplete short left intended for A.J. Green. Penalty on Brandon Carr: Defensive Pass Interference, 7 yards (no play)",1.000,1.470
3,10:46,1,10,CIN 38,0,28,Andy Dalton pass incomplete deep left intended for A.J. Green (defended by Byron Jones),1.470,0.920
3,10:37,2,10,CIN 38,0,28,Jeremy Hill left end for -1 yards (tackle by Ryan Davis),0.920,0.100
3,10:20,3,11,CIN 37,0,28,Andy Dalton left tackle for 13 yards (tackle by Justin Durant),0.100,2.260
3,9:41,1,10,DAL 50,0,28,Andy Dalton sacked by Terrell McClain for -7 yards,2.260,0.770
3,9:04,2,17,CIN 43,0,28,"Andy Dalton pass incomplete. Penalty on Andy Dalton: Intentional Grounding, 10 yards",0.770,-1.220
3,8:59,3,27,CIN 33,0,28,Andy Dalton pass complete short left to Tyler Kroft for 13 yards (tackle by Justin Durant and Sean Lee),-1.220,-0.320
3,8:20,4,14,CIN 46,0,28,"Kevin Huber punts 44 yards, returned by Lucky Whitehead for 10 yards (tackle by Marquis Flowers)",-0.320,-0.280
3,8:08,1,10,DAL 20,0,28,Ezekiel Elliott left tackle for 4 yards (tackle by Pat Sims and Vontaze Burfict),0.280,0.270
3,7:26,2,6,DAL 24,0,28,Dak Prescott pass complete short middle to Cole Beasley for 10 yards (tackle by Shawn Williams),0.270,1.200
3,6:40,1,10,DAL 34,0,28,Ezekiel Elliott right tackle for 2 yards (tackle by Michael Johnson),1.200,0.930
3,5:58,2,8,DAL 36,0,28,Dak Prescott pass complete short left to Terrance Williams for 10 yards (tackle by Vontaze Burfict),0.930,1.990
3,5:18,1,10,DAL 46,0,28,Ezekiel Elliott right end for -6 yards (tackle by Pat Sims),1.990,1.990
3,4:28,1,10,DAL 46,0,28,Timeout #1 by Dallas Cowboys,1.990,0.640
3,4:28,2,16,DAL 40,0,28,Dak Prescott pass complete short middle to Jason Witten for 7 yards (tackle by Vincent Rey),0.640,0.890
3,3:52,3,9,DAL 47,0,28,Dak Prescott pass complete short right to Cole Beasley for 11 yards (tackle by Michael Johnson),0.890,2.790
3,3:52,1,10,CIN 42,0,28,"Penalty on Ronald Leary: False Start, 5 yards (no play)",2.790,2.460
3,2:51,1,15,CIN 47,0,28,Ezekiel Elliott left end for 5 yards (tackle by Michael Johnson),2.460,2.240
3,2:08,2,10,CIN 42,0,28,Dak Prescott pass complete short right to Ezekiel Elliott for 22 yards (tackle by Carlos Dunlap),2.240,4.240
3,1:21,1,10,CIN 20,0,28,Alfred Morris right guard for 2 yards (tackle by Vontaze Burfict),4.240,3.960
3,0:45,2,8,CIN 18,0,28,Dak Prescott pass incomplete deep middle intended for Jason Witten (defended by Dre Kirkpatrick),3.960,3.220
3,0:39,3,8,CIN 18,0,28,"Dak Prescott sacked by Carlos Dunlap for -8 yards. Dak Prescott fumbles (forced by Carlos Dunlap), recovered by Vincent Rey at CIN-31 and returned for 10 yards (tackle by Travis Frederick)",3.220,-1.660
3,0:23,1,10,CIN 41,0,28,Giovani Bernard middle for 3 yards (tackle by Byron Jones),1.660,1.530
Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,CIN 44,0,28,Andy Dalton pass complete short middle to Tyler Boyd for 6 yards (tackle by Anthony Brown and Benson Mayowa),1.530,1.620
4,14:30,3,1,DAL 50,0,28,Giovani Bernard left tackle for 1 yard (tackle by Benson Mayowa and Anthony Hitchens),1.620,2.320
4,13:56,1,10,DAL 49,0,28,Giovani Bernard left tackle for 4 yards (tackle by Anthony Brown and Anthony Hitchens),2.320,2.320
4,13:21,2,6,DAL 45,0,28,Andy Dalton pass complete short right to C.J. Uzomah for 6 yards (tackle by Anthony Brown),2.320,2.980
4,12:44,1,10,DAL 39,0,28,Andy Dalton sacked by Terrell McClain and Jack Crawford for -3 yards,2.980,2.040
4,12:07,2,13,DAL 42,0,28,Andy Dalton pass complete short right to Brandon LaFell for 8 yards (tackle by Morris Claiborne),2.040,2.410
4,11:25,3,5,DAL 34,0,28,Andy Dalton pass complete short middle to Brandon LaFell for 13 yards (tackle by Barry Church),2.410,4.170
4,10:47,1,10,DAL 21,0,28,Andy Dalton pass complete short middle to A.J. Green for 14 yards (tackle by J.J. Wilcox),4.170,5.600
4,10:14,1,7,DAL 7,6,28,"Andy Dalton pass complete short middle to Brandon LaFell for 7 yards, touchdown",5.600,7.000
4,10:14,,,DAL 7,7,28,Mike Nugent kicks extra point good,0.000,0.000
4,10:14,,,CIN 35,7,28,"Mike Nugent kicks off 60 yards, returned by Lucky Whitehead for 15 yards (tackle by George Iloka)",0.000,-0.280
4,10:05,1,10,DAL 20,7,28,Alfred Morris left tackle for -3 yards (tackle by Carlos Dunlap and Pat Sims),0.280,-0.790
4,9:29,2,13,DAL 17,7,28,Dak Prescott pass complete short right to Jason Witten for 5 yards (tackle by Rey Maualuga),-0.790,-0.690
4,8:39,3,8,DAL 22,7,28,Dak Prescott pass complete short right to Rod Smith for 4 yards (tackle by Karlos Dansby and Vincent Rey),-0.690,-1.630
4,7:51,4,4,DAL 26,7,28,"Chris Jones punts 51 yards, returned by Adam Jones for no gain",-1.630,-0.480
4,7:42,1,10,CIN 23,7,28,Andy Dalton pass complete short middle to Giovani Bernard for 11 yards (tackle by Justin Durant),0.480,1.200
4,7:17,1,10,CIN 34,7,28,"Andy Dalton sacked by Ryan Davis for -9 yards. Penalty on Justin Durant: Defensive Holding, 5 yards (no play)",1.200,1.530
4,6:58,1,10,CIN 39,7,28,Andy Dalton pass complete short right to Giovani Bernard for 5 yards (tackle by Barry Church),1.530,1.660
4,6:28,2,5,CIN 44,7,28,Andy Dalton sacked by Benson Mayowa for -4 yards,1.660,1.660
4,5:49,2,5,CIN 44,7,28,Timeout #1 by Cincinnati Bengals,1.660,0.430
4,5:49,3,9,CIN 40,7,28,Andy Dalton pass complete short right to Giovani Bernard for 6 yards (tackle by J.J. Wilcox),0.430,-0.320
4,5:20,4,3,CIN 46,7,28,Andy Dalton pass complete short right to A.J. Green for 5 yards (tackle by Morris Claiborne and Barry Church),-0.320,2.320
4,4:46,1,10,DAL 49,7,28,Andy Dalton pass complete short right to Giovani Bernard for 7 yards (tackle by Sean Lee),2.320,2.730
4,4:21,2,3,DAL 42,7,28,Andy Dalton pass complete short middle to C.J. Uzomah for 8 yards (tackle by Sean Lee and Anthony Hitchens),2.730,3.310
4,3:54,1,10,DAL 34,7,28,Andy Dalton pass complete short right to Brandon LaFell for 13 yards (tackle by Morris Claiborne),3.310,4.170
4,3:47,1,10,DAL 21,7,28,Andy Dalton pass incomplete deep right intended for Brandon LaFell (defended by Morris Claiborne),4.170,3.630
4,3:41,2,10,DAL 21,7,28,Andy Dalton pass complete short right to Tyler Kroft for 9 yards (tackle by Sean Lee),3.630,4.490
4,3:15,3,1,DAL 12,7,28,Andy Dalton pass complete short right to Tyler Kroft for 7 yards (tackle by Barry Church),4.490,6.060
4,2:44,1,5,DAL 5,13,28,"Andy Dalton pass complete short left to Brandon LaFell for 5 yards, touchdown",6.060,7.000
4,2:44,,,DAL 5,14,28,Mike Nugent kicks extra point good,0.000,0.000
4,2:44,,,CIN 35,14,28,"Mike Nugent kicks onside 11 yards, recovered by Ezekiel Elliott",0.000,-2.520
4,2:39,1,10,CIN 46,14,28,Ezekiel Elliott left tackle for 1 yard (tackle by Shawn Williams and Karlos Dansby),2.520,2.520
4,2:33,1,10,CIN 46,14,28,Timeout #2 by Cincinnati Bengals,2.520,2.110
4,2:33,2,9,CIN 45,14,28,Dak Prescott right end for 2 yards (tackle by Vontaze Burfict),2.110,2.110
4,2:25,2,9,CIN 45,14,28,Timeout #3 by Cincinnati Bengals,2.110,1.680
4,2:25,3,7,CIN 43,14,28,Dak Prescott pass complete short left to Terrance Williams for 11 yards (tackle by Shawn Williams),1.680,3.450
4,2:00,1,10,CIN 32,14,28,Dak Prescott kneels for -2 yards,3.450,2.630
4,1:17,2,12,CIN 34,14,28,Dak Prescott kneels for -1 yards,2.630,1.820
4,0:33,3,13,CIN 35,14,28,Dak Prescott kneels for -1 yards,1.820,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
