Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
2,2:35,1,10,JAX 31,3,14,Blaine Gabbert pass complete short left to Rashad Jennings for 24 yards (tackle by Brad Jones and M.D. Jennings),1.000,0.000
2,2:18,,,,3,14,Timeout #1 by Jacksonville Jaguars,0.000,2.590
2,2:18,1,10,GNB 45,3,14,Blaine Gabbert pass incomplete short right intended for Cecil Shorts,2.590,2.040
2,2:14,2,10,GNB 45,3,14,Blaine Gabbert pass complete deep middle to Cecil Shorts for 35 yards (tackle by Morgan Burnett),2.040,4.910
2,2:00,1,10,GNB 10,3,14,Blaine Gabbert pass incomplete short middle intended for Micheal Spurlock,4.910,4.190
2,1:57,2,10,GNB 10,3,14,Rashad Jennings left tackle for 3 yards (tackle by A.J. Hawk and Morgan Burnett),4.190,3.810
2,1:14,3,7,GNB 7,3,14,"Blaine Gabbert pass incomplete short left intended for Rashad Jennings. Penalty on Erik Walden: Defensive Offside, 3 yards (no play)",3.810,4.490
2,1:10,3,4,GNB 4,3,14,Blaine Gabbert pass incomplete short middle intended for Marcedes Lewis,4.490,3.030
2,1:07,4,4,GNB 4,6,14,Josh Scobee 22 yard field goal good,3.030,3.000
2,1:03,,,JAX 35,6,14,"Josh Scobee kicks off 73 yards, touchback",0.000,0.280
2,1:03,1,10,GNB 20,6,14,"Aaron Rodgers sacked by Andre Branch for -7 yards. Aaron Rodgers fumbles (forced by Andre Branch), recovered by Andre Branch at GNB-13 (tackle by Marshall Newhouse)",0.280,-4.710
2,0:52,1,10,GNB 13,6,14,Blaine Gabbert pass complete short right to Marcedes Lewis for 5 yards (tackle by Brad Jones),4.710,4.960
2,0:48,2,5,GNB 8,6,14,Blaine Gabbert pass incomplete short left intended for Mike Thomas,4.960,4.100
2,0:43,3,5,GNB 8,6,14,Blaine Gabbert pass complete short middle to Micheal Spurlock for 7 yards (tackle by Brad Jones),4.100,0.000
2,0:30,,,,6,14,Timeout #2 by Jacksonville Jaguars,0.000,6.970
2,0:30,1,1,GNB 1,6,14,Blaine Gabbert up the middle for no gain (tackle by A.J. Hawk),6.970,0.000
2,0:21,,,,6,14,Timeout #3 by Jacksonville Jaguars,0.000,5.910
2,0:21,2,1,GNB 1,12,14,"Blaine Gabbert pass complete short middle to Guy Whimper for 1 yard, touchdown",5.910,7.000
2,0:21,,,,12,14,"Two Point Attempt: Blaine Gabbert pass incomplete intended for Justin Blackmon, conversion fails",0.000,-1.000
2,0:17,,,JAX 35,12,14,"Josh Scobee kicks off 74 yards, touchback",0.000,0.280
2,0:17,1,10,GNB 20,12,14,Alex Green left tackle for 3 yards (tackle by Terrance Knighton and Russell Allen),0.280,0.140
Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,12,14,"Josh Scobee kicks off 63 yards, returned by Randall Cobb for 28 yards (tackle by Kyle Bosworth)",0.000,0.940
3,14:53,1,10,GNB 30,12,14,Alex Green left guard for 2 yards (tackle by Jeremy Mincey and Austen Lane),0.940,0.660
3,14:28,2,8,GNB 32,12,14,Aaron Rodgers pass complete short right to Donald Driver for 6 yards (tackle by Mike Harris),0.660,0.760
3,13:54,3,2,GNB 38,12,14,"Aaron Rodgers up the middle for 5 yards (tackle by Russell Allen). Aaron Rodgers fumbles (forced by Russell Allen), recovered by Jeremy Mincey at GNB-45 and returned for 7 yards (tackle by Bryan Bulaga). Penalty on John Chick: Illegal Use of Hands (no play)",0.760,1.470
3,13:43,1,10,GNB 38,12,14,Alex Green right guard for 4 yards (tackle by Kyle Bosworth),1.470,1.460
3,13:02,2,6,GNB 42,12,14,Aaron Rodgers pass incomplete deep left intended for Randall Cobb,1.460,0.760
3,12:56,3,6,GNB 42,12,14,Aaron Rodgers pass incomplete deep left intended for James Jones,0.760,-0.590
3,12:51,4,6,GNB 42,12,14,"Tim Masthay punts 33 yards, fair catch by Micheal Spurlock",-0.590,-0.610
3,12:43,1,10,JAX 25,12,14,Blaine Gabbert pass incomplete deep right intended for Cecil Shorts,0.610,0.060
3,12:38,2,10,JAX 25,12,14,"Blaine Gabbert sacked by Morgan Burnett for -15 yards. Blaine Gabbert fumbles (forced by Morgan Burnett), recovered by Blaine Gabbert at JAX-9",0.060,-3.290
3,12:01,3,26,JAX 9,12,14,Blaine Gabbert pass complete short middle to Cecil Shorts for 6 yards (tackle by Casey Hayward and Brad Jones),-3.290,-2.440
3,11:22,4,20,JAX 15,12,14,"Bryan Anger punts 45 yards, returned by Randall Cobb for no gain",-2.440,-1.600
3,11:15,1,10,GNB 40,12,14,Alex Green right tackle for 2 yards (tackle by C.J. Mosley),1.600,1.320
3,10:38,2,8,GNB 42,12,14,Aaron Rodgers pass complete short left to Alex Green for 3 yards (tackle by Terrance Knighton),1.320,1.030
3,9:57,3,5,GNB 45,12,14,Aaron Rodgers pass complete short right to Randall Cobb for 14 yards (tackle by Chris Harris),1.030,2.850
3,9:26,1,10,JAX 41,12,14,Aaron Rodgers pass incomplete short right intended for D.J. Williams,2.850,2.310
3,9:21,2,10,JAX 41,12,14,Aaron Rodgers pass incomplete short middle intended for Jermichael Finley,2.310,1.620
3,9:17,3,10,JAX 41,12,14,Aaron Rodgers pass complete short middle to James Jones for 4 yards (tackle by Russell Allen and Paul Posluszny),1.620,0.790
3,8:37,4,6,JAX 37,12,14,Tim Masthay pass incomplete deep right intended for D.J. Williams,0.790,-1.400
3,8:31,1,10,JAX 37,12,14,Rashad Jennings up the middle for 1 yard (tackle by Ryan Pickett and Brad Jones),1.400,0.990
3,7:49,2,9,JAX 38,12,14,Rashad Jennings right tackle for 2 yards (tackle by Brad Jones and Ryan Pickett),0.990,0.560
3,7:09,3,7,JAX 40,12,14,Blaine Gabbert pass complete short left to Mike Thomas for 3 yards (tackle by Casey Hayward),0.560,-0.520
3,6:40,4,4,JAX 43,12,14,"Bryan Anger punts 57 yards, touchback",-0.520,-0.280
3,6:31,1,10,GNB 20,12,14,Alex Green left guard for 2 yards (tackle by Austen Lane and Terrance Knighton),0.280,0.000
3,6:01,2,8,GNB 22,12,14,"Aaron Rodgers pass complete short left to James Jones for 11 yards (tackle by William Middleton). Penalty on William Middleton: Unnecessary Roughness, 15 yards",0.000,2.130
3,5:33,1,10,GNB 48,12,14,Aaron Rodgers pass complete short right to James Starks for 9 yards (tackle by Dawan Landry),2.130,2.800
3,5:09,2,1,JAX 43,12,14,Aaron Rodgers pass incomplete short middle intended for James Starks,2.800,2.080
3,5:04,3,1,JAX 43,12,14,Alex Green right tackle for 6 yards (tackle by Dawan Landry),2.080,3.120
3,4:30,1,10,JAX 37,12,14,Aaron Rodgers pass complete short right to James Jones for 6 yards (tackle by Mike Harris and Dawan Landry),3.120,3.380
3,3:52,2,4,JAX 31,12,14,James Starks up the middle for 8 yards (tackle by Chris Prosinski and Paul Posluszny),3.380,4.040
3,3:15,1,10,JAX 23,12,14,Aaron Rodgers pass complete short left to James Jones for 9 yards (tackle by Mike Harris),4.040,4.950
3,2:42,2,1,JAX 14,12,14,Aaron Rodgers pass complete short right to Randall Cobb for no gain,4.950,4.280
3,2:01,3,1,JAX 14,12,14,Alex Green right tackle for no gain (tackle by Russell Allen),4.280,2.660
3,1:25,4,1,JAX 14,12,14,Mason Crosby 32 yard field goal no good,2.660,-0.410
3,1:21,1,10,JAX 22,12,14,Blaine Gabbert pass incomplete short right intended for Justin Blackmon,0.410,-0.130
3,1:17,2,10,JAX 22,12,14,Rashad Jennings up the middle for 3 yards (tackle by Brad Jones and Erik Walden),-0.130,-0.430
3,0:36,3,7,JAX 25,12,14,Blaine Gabbert pass incomplete,-0.430,-1.700
3,0:29,4,7,JAX 25,12,14,Bryan Anger punts 27 yards,-1.700,-2.130
3,0:18,1,10,GNB 48,12,14,Aaron Rodgers pass complete short left to Jermichael Finley for 4 yards (tackle by William Middleton),2.130,2.120
Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,JAX 48,12,14,Aaron Rodgers pass complete short middle to James Jones for 5 yards (tackle by Dawan Landry),2.120,2.080
4,14:22,3,1,JAX 43,12,14,Alex Green up the middle for 1 yard (tackle by Jeremy Mincey),2.080,2.790
4,13:44,1,10,JAX 42,12,14,Aaron Rodgers pass complete deep middle to James Jones for 31 yards (tackle by Chris Prosinski),2.790,4.840
4,13:16,1,10,JAX 11,12,14,"Aaron Rodgers pass complete short left to Randall Cobb for 3 yards (tackle by William Middleton). Penalty on William Middleton: Tripping, 4 yards",4.840,6.280
4,12:43,1,4,JAX 4,12,14,Aaron Rodgers pass incomplete short left intended for James Jones,6.280,5.340
4,12:39,2,4,JAX 4,12,20,"Aaron Rodgers pass complete short left to Donald Driver for 4 yards, touchdown",5.340,7.000
4,12:39,,,JAX 2,12,21,Mason Crosby kicks extra point good,0.000,0.000
4,12:36,,,GNB 35,12,21,"Mason Crosby kicks off 70 yards, returned by Keith Toston for 25 yards (tackle by Robert Francois)",0.000,0.280
4,12:31,1,10,JAX 20,12,21,Blaine Gabbert pass complete short right to Rashad Jennings for 1 yard (tackle by Erik Walden),0.280,-0.130
4,11:59,2,9,JAX 21,12,21,Blaine Gabbert pass complete short left to Mike Thomas for 3 yards (tackle by Casey Hayward),-0.130,-0.430
4,11:19,3,6,JAX 24,12,21,Blaine Gabbert pass complete short middle to Jalen Parmele for 16 yards (tackle by Davon House and M.D. Jennings),-0.430,1.600
4,10:40,1,10,JAX 40,12,21,Blaine Gabbert pass complete short right to Mike Thomas for 1 yard (tackle by Morgan Burnett),1.600,1.190
4,10:05,2,9,JAX 41,12,21,Blaine Gabbert pass complete short right to Cecil Shorts for 8 yards (tackle by Tramon Williams),1.190,0.000
4,9:28,,,,12,21,Timeout #1 by Jacksonville Jaguars,0.000,1.550
4,9:28,3,1,JAX 49,12,21,"Blaine Gabbert pass incomplete deep right intended for Justin Blackmon. Penalty on Ryan Pickett: Defensive Offside, 5 yards (no play)",1.550,2.520
,,,,,,,"GNB challenged the pass completion ruling, and the original play was overturned.",,
4,9:23,1,10,GNB 46,12,21,Rashad Jennings right end for 5 yards (tackle by Casey Hayward and Morgan Burnett),2.520,2.650
4,8:46,2,5,GNB 41,12,21,Blaine Gabbert pass complete deep left to Cecil Shorts for 24 yards (tackle by Morgan Burnett),2.650,4.440
4,8:17,1,10,GNB 17,12,21,Rashad Jennings right guard for 5 yards (tackle by Clay Matthews),4.440,4.690
4,7:38,2,5,GNB 12,12,21,Blaine Gabbert pass incomplete short right intended for Marcedes Lewis,4.690,3.880
4,7:34,3,5,GNB 12,12,21,Blaine Gabbert pass complete short left to Rashad Jennings for -2 yards (tackle by Jerron McMillian),3.880,2.510
4,6:55,4,7,GNB 14,15,21,Josh Scobee 32 yard field goal good,2.510,3.000
4,6:50,,,JAX 35,15,21,"Josh Scobee kicks off 64 yards, out of bounds",0.000,1.600
4,6:50,1,10,GNB 40,15,21,Alex Green left guard for 3 yards (tackle by Austen Lane),1.600,1.460
4,6:11,2,7,GNB 43,15,21,Aaron Rodgers pass incomplete short right intended for Randall Cobb,1.460,0.760
4,6:05,3,7,GNB 43,15,21,Aaron Rodgers pass incomplete short left intended for Jermichael Finley,0.760,-0.520
4,6:00,4,7,GNB 43,15,21,"Tim Masthay punts 49 yards, fair catch by Micheal Spurlock",-0.520,0.380
4,5:52,1,10,JAX 8,15,21,Blaine Gabbert pass complete short left to Rashad Jennings for 15 yards (tackle by M.D. Jennings and A.J. Hawk),-0.380,0.480
4,5:12,1,10,JAX 23,15,21,Blaine Gabbert pass complete short left to Cecil Shorts for 9 yards (tackle by Clay Matthews),0.480,1.150
4,4:33,2,1,JAX 32,15,21,Blaine Gabbert pass complete short left to Rashad Jennings for 18 yards (tackle by M.D. Jennings and Davon House),1.150,2.260
4,3:53,1,10,,15,21,Blaine Gabbert pass incomplete deep right intended for Justin Blackmon,2.260,1.710
4,3:47,2,10,,15,21,Blaine Gabbert pass incomplete short middle intended for Justin Blackmon,1.710,1.030
4,3:44,3,10,,15,21,Blaine Gabbert pass complete short right to Justin Blackmon for 6 yards (tackle by Casey Hayward),1.030,0.330
4,2:59,4,4,GNB 44,15,21,Blaine Gabbert pass incomplete short right intended for Justin Blackmon,0.330,-1.860
4,2:55,1,10,GNB 44,15,21,Alex Green right end for 3 yards (tackle by Russell Allen),1.860,0.000
4,2:49,,,,15,21,Timeout #2 by Jacksonville Jaguars,0.000,1.720
4,2:49,2,7,GNB 47,15,21,Alex Green right tackle for no gain (tackle by George Selvie),1.720,0.000
4,2:44,,,,15,21,Timeout #3 by Jacksonville Jaguars,0.000,1.030
4,2:44,3,7,GNB 47,15,21,"Aaron Rodgers pass incomplete deep right intended for James Jones. Penalty on William Middleton: Defensive Pass Interference, 38 yards (no play)",1.030,4.580
4,2:38,1,10,JAX 15,15,21,Alex Green left tackle for 4 yards (tackle by Jeremy Mincey),4.580,4.640
4,2:00,2,6,JAX 11,15,21,Alex Green left end for 2 yards (tackle by Paul Posluszny and Dawan Landry),4.640,4.220
4,1:17,3,4,JAX 9,15,21,Aaron Rodgers pass complete short right to Alex Green for 2 yards (tackle by Julian Stanford),4.220,0.000
4,0:31,,,,15,21,Timeout #1 by Green Bay Packers,0.000,3.000
4,0:31,4,2,JAX 7,15,24,Mason Crosby 25 yard field goal good,3.000,3.000
4,0:28,,,GNB 35,15,24,"Mason Crosby kicks off 70 yards, touchback",0.000,0.280
4,0:27,1,10,JAX 20,15,24,Blaine Gabbert pass incomplete short right intended for Mike Thomas,0.280,-0.270
4,0:22,2,10,JAX 20,15,24,Blaine Gabbert pass incomplete deep middle intended for Kevin Elliott,-0.270,-0.960
4,0:17,3,10,JAX 20,15,24,Blaine Gabbert pass incomplete short right intended for Rashad Jennings,-0.960,-2.030
4,0:12,4,10,JAX 20,15,24,Blaine Gabbert pass incomplete short middle intended for Rashad Jennings,-2.030,-4.240
4,0:07,1,10,JAX 20,15,24,Aaron Rodgers kneels for -1 yards,4.240,3.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
