Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
1,1:37,3,14,NYG 50,3,7,Eli Manning pass complete short right to Sterling Shepard for 11 yards (tackle by James Bradberry and Captain Munnerlyn),0.760,0.660
1,0:50,,,,,,Timeout #2 by New York Giants,,
1,0:50,4,3,CAR 39,3,7,Eli Manning pass incomplete short right intended for Odell Beckham,0.660,-1.530
1,0:45,1,10,CAR 39,3,7,C.J. Anderson right tackle for 4 yards (tackle by B.J. Hill and Ray-Ray Armstrong),1.530,1.530
1,0:25,2,6,CAR 43,3,7,C.J. Anderson right guard for 5 yards (tackle by B.J. Hill and Ray-Ray Armstrong),1.530,1.490
Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,CAR 48,3,7,Christian McCaffrey up the middle for -1 yards (tackle by Kerry Wynn and Dalvin Tomlinson),1.490,-0.260
2,14:21,4,2,CAR 47,3,13,"Michael Palardy punts 50 yards, muffed catch by Odell Beckham, recovered by Colin Jones at NYG-0, touchdown",-0.260,7.000
2,14:06,,,NYG 15,9,7,Graham Gano kicks extra point good,0.000,0.000
2,14:06,,,CAR 35,3,14,"Graham Gano kicks off 66 yards, returned by Jawill Davis for no gain (tackle by Ben Jacobs)",0.000,0.810
2,14:00,1,10,NYG 28,3,14,Eli Manning pass incomplete short right intended for Sterling Shepard,0.810,0.260
2,13:55,2,10,NYG 28,3,14,Eli Manning pass complete short left to Russell Shepard for 4 yards (tackle by Donte Jackson and Rashaan Gaulden),0.260,0.100
2,13:21,3,6,NYG 32,3,14,Eli Manning pass incomplete short middle intended for Rhett Ellison,0.100,-1.240
2,13:16,4,6,NYG 32,3,14,"Riley Dixon punts 48 yards, fair catch by Damiere Byrd at CAR-20",-1.240,-0.280
2,13:08,1,10,CAR 20,3,14,Christian McCaffrey right guard for 8 yards (tackle by Landon Collins),0.280,0.810
2,12:26,2,2,CAR 28,3,14,Cam Newton pass complete deep right to Ian Thomas for 27 yards (tackle by Eli Apple),0.810,2.590
2,11:36,,,,,,Timeout #2 by Carolina Panthers,,
2,11:36,1,10,NYG 45,3,14,Cam Newton pass complete short right to Curtis Samuel for 12 yards,2.590,3.380
2,11:05,1,10,NYG 33,3,14,Cam Newton right end for -1 yards (tackle by Lorenzo Carter),3.380,2.700
2,10:18,2,11,NYG 34,3,14,Cam Newton pass complete short right to D.J. Moore for 4 yards (tackle by Damon Harrison and Landon Collins),2.700,2.540
2,9:30,3,7,NYG 30,3,14,Cam Newton pass complete short left to Jarius Wright for 1 yard (tackle by B.W. Webb),2.540,1.520
2,8:50,4,6,NYG 29,3,17,Graham Gano 47 yard field goal good,1.520,3.000
2,8:44,,,CAR 35,3,17,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,8:44,1,10,NYG 25,3,17,Saquon Barkley left guard for 6 yards (tackle by Mike Adams and Efe Obada),0.610,0.870
2,8:10,2,4,NYG 31,3,17,Saquon Barkley right end for 20 yards (tackle by Mike Adams),0.870,2.320
2,7:33,1,10,CAR 49,3,17,"Eli Manning pass incomplete short left intended for Odell Beckham. Penalty on Sterling Shepard: Illegal Formation, 5 yards (no play)",2.320,1.990
2,7:28,1,15,NYG 46,3,17,Saquon Barkley right guard for -3 yards (tackle by Rashaan Gaulden),1.990,0.700
2,6:48,2,18,NYG 43,9,17,"Odell Beckham pass complete deep right to Saquon Barkley for 57 yards, touchdown",0.700,7.000
2,6:37,,,CAR 15,10,17,Aldrick Rosas kicks extra point good,0.000,0.000
2,6:37,,,NYG 35,10,17,"Aldrick Rosas kicks off 25 yards, out of bounds",0.000,1.600
2,6:37,1,10,CAR 40,10,17,Christian McCaffrey up the middle for 14 yards (tackle by Alec Ogletree and Landon Collins),1.600,2.520
2,5:57,1,10,NYG 46,10,17,Christian McCaffrey right end for -1 yards (tackle by Damon Harrison and Kareem Martin),2.520,1.840
2,5:15,2,11,NYG 47,10,17,Christian McCaffrey right guard for 6 yards (tackle by Ray-Ray Armstrong and Alec Ogletree),1.840,1.950
2,4:31,3,5,NYG 41,10,17,"Cam Newton right end for 5 yards (tackle by Eli Apple). Cam Newton fumbles, ball out of bounds at NYG-36 (forced by Eli Apple)",1.950,3.180
2,4:23,1,10,NYG 36,10,17,Christian McCaffrey up the middle for 3 yards (tackle by Landon Collins),3.180,3.040
2,3:37,2,7,NYG 33,10,17,Christian McCaffrey right tackle for no gain (tackle by Alec Ogletree),3.040,2.350
2,2:51,3,7,NYG 33,10,17,Cam Newton pass complete short left to Ian Thomas for 4 yards (tackle by Alec Ogletree),2.350,1.580
2,2:41,,,,,,Timeout #3 by New York Giants,,
2,2:41,4,3,NYG 29,10,20,Graham Gano 47 yard field goal good,1.580,3.000
2,2:36,,,CAR 35,10,20,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,2:36,1,10,NYG 25,10,20,Eli Manning pass complete short right to Rhett Ellison for 5 yards (tackle by Captain Munnerlyn),0.610,0.740
2,2:12,2,5,NYG 30,10,20,Eli Manning pass complete short left to Odell Beckham for 8 yards (tackle by James Bradberry),0.740,1.470
2,2:00,1,10,NYG 38,10,20,Eli Manning pass complete deep left to Jawill Davis for 22 yards (tackle by Eric Reid),1.470,2.920
2,1:33,1,10,CAR 40,10,20,Eli Manning pass complete short left to Jawill Davis for 5 yards (tackle by Donte Jackson),2.920,3.050
2,1:13,2,5,CAR 35,10,20,Eli Manning pass incomplete short left intended for Jawill Davis (defended by Kyle Love),3.050,2.340
2,1:09,3,5,CAR 35,10,20,Eli Manning pass complete short left to Saquon Barkley for no gain (tackle by Jermaine Carter),2.340,0.980
2,0:25,,,,,,Timeout #3 by Carolina Panthers,,
2,0:25,4,5,CAR 35,13,20,Aldrick Rosas 53 yard field goal good,0.980,3.000
2,0:20,,,NYG 35,13,20,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
2,0:20,1,10,CAR 25,13,20,Cam Newton kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,13,20,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CAR 25,13,20,Christian McCaffrey left end for 7 yards (tackle by Janoris Jenkins and Lorenzo Carter),0.610,1.010
3,14:16,2,3,CAR 32,13,20,C.J. Anderson left tackle for -1 yards (tackle by Ray-Ray Armstrong),1.010,0.170
3,13:35,3,4,CAR 31,13,20,Cam Newton pass incomplete deep left intended for Ian Thomas,0.170,-1.310
3,13:23,4,4,CAR 31,13,20,"Michael Palardy punts 55 yards, returned by Odell Beckham for no gain (tackle by David Mayo). Penalty on Tae Davis: Offensive Holding, 7 yards",-1.310,0.380
3,13:10,1,10,NYG 7,13,20,Saquon Barkley up the middle for 2 yards (tackle by Mike Adams and Kawann Short),-0.380,-0.630
3,12:33,2,8,NYG 9,13,20,Eli Manning pass complete short left to Odell Beckham for 19 yards (tackle by Mike Adams),-0.630,0.810
3,11:53,1,10,NYG 28,13,20,Saquon Barkley left tackle for 30 yards (tackle by Eric Reid),0.810,2.790
3,11:01,1,10,CAR 42,13,20,Eli Manning pass incomplete deep right intended for Odell Beckham (defended by James Bradberry),2.790,2.240
3,10:54,2,10,CAR 42,13,20,Eli Manning pass complete deep left to Odell Beckham for 17 yards (tackle by James Bradberry),2.240,3.910
3,10:15,1,10,CAR 25,13,20,Eli Manning pass incomplete short right intended for Scott Simonson,3.910,3.360
3,10:10,2,10,CAR 25,13,20,Saquon Barkley up the middle for no gain (tackle by Mike Adams),3.360,2.680
3,9:32,3,10,CAR 25,13,20,Eli Manning pass complete short right to Odell Beckham for 9 yards (tackle by James Bradberry),2.680,2.530
3,8:49,4,1,CAR 16,13,20,Eli Manning up the middle for 2 yards (tackle by Kyle Love),2.530,4.650
3,8:14,1,10,CAR 14,13,20,Saquon Barkley right guard for -4 yards (tackle by Julius Peppers),4.650,3.480
3,7:52,2,14,CAR 18,13,20,Eli Manning pass incomplete deep left intended for Odell Beckham,3.480,2.840
3,7:46,3,14,CAR 18,13,20,Eli Manning pass incomplete deep left intended for Odell Beckham (defended by James Bradberry),2.840,2.250
3,7:39,4,14,CAR 18,16,20,Aldrick Rosas 36 yard field goal good,2.250,3.000
3,7:34,,,NYG 35,16,20,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
3,7:34,1,10,CAR 25,16,20,Cam Newton pass complete short left to Devin Funchess for 21 yards (tackle by Eli Apple),0.610,1.990
3,7:01,1,10,CAR 46,16,20,Cam Newton pass incomplete short left intended for Jarius Wright,1.990,1.450
3,6:55,,,,,,Timeout #2 by Carolina Panthers,,
3,6:55,2,10,CAR 46,16,20,Christian McCaffrey right guard for 3 yards (tackle by B.J. Hill),1.450,1.160
3,6:11,3,7,CAR 49,16,20,Cam Newton right end for 8 yards (tackle by Mario Edwards),1.160,2.720
3,5:23,1,10,NYG 43,16,20,Cam Newton up the middle for 2 yards (tackle by Dalvin Tomlinson),2.720,2.450
3,4:34,2,8,NYG 41,16,20,Cam Newton pass incomplete short right intended for Devin Funchess,2.450,1.750
3,4:28,3,8,NYG 41,16,20,Cam Newton pass incomplete deep left intended for Torrey Smith,1.750,0.530
3,4:22,4,8,NYG 41,16,20,"Penalty on Kareem Martin: Neutral Zone Infraction, 5 yards (no play)",0.530,0.890
3,4:22,4,3,NYG 36,16,20,"Cam Newton pass incomplete deep left intended for Torrey Smith (defended by Janoris Jenkins). Penalty on B.W. Webb: Defensive Holding, 5 yards. Penalty on B.W. Webb: Unsportsmanlike Conduct, 15 yards (no play)",0.890,4.510
3,4:16,1,10,NYG 16,16,20,"Christian McCaffrey left end for no gain (tackle by Kerry Wynn). Penalty on Ryan Kalil: Illegal Block Above the Waist, 10 yards (no play)",4.510,3.840
3,3:49,1,20,NYG 26,16,20,Cam Newton pass incomplete deep left intended for Curtis Samuel,3.840,2.610
3,3:44,2,20,NYG 26,16,20,Cam Newton pass deep middle intended for Ian Thomas is intercepted by Curtis Riley at NYG-10 and returned for 12 yards,2.610,-0.410
3,3:34,1,10,NYG 22,16,20,Eli Manning pass complete short middle to Sterling Shepard for 28 yards (tackle by Donte Jackson),0.410,2.260
3,2:53,1,10,NYG 50,16,20,Saquon Barkley left guard for -1 yards (tackle by Kawann Short),2.260,1.580
3,2:12,2,11,NYG 49,16,20,Eli Manning pass complete deep right to Sterling Shepard for 26 yards (tackle by Captain Munnerlyn),1.580,3.910
3,1:38,1,10,CAR 25,16,20,Eli Manning pass short right intended for Odell Beckham is intercepted by Mike Adams at CAR-14 and returned for 18 yards,3.910,-1.070
3,1:30,1,10,CAR 32,16,20,Christian McCaffrey left tackle for -2 yards (tackle by Damon Harrison),1.070,0.260
3,0:52,2,12,CAR 30,16,20,"Penalty on B.J. Hill: Encroachment, 5 yards (no play)",0.260,0.930
3,0:32,2,7,CAR 35,16,20,"Penalty on Jarius Wright: False Start, 5 yards (no play)",0.930,0.260
3,0:13,2,12,CAR 30,16,20,Cam Newton pass complete short middle to Devin Funchess for 14 yards (tackle by Eli Apple),0.260,1.860
Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 44,16,20,Cam Newton pass complete short left to Jarius Wright for -3 yards (tackle by B.W. Webb),1.860,0.910
4,14:19,2,13,CAR 41,16,20,Cam Newton pass incomplete short left intended for Christian McCaffrey (defended by Landon Collins),0.910,0.230
4,14:15,3,13,CAR 41,16,20,"Cam Newton pass incomplete short left intended for Devin Funchess (defended by Landon Collins). Penalty on Landon Collins: Unnecessary Roughness, 15 yards (no play)",0.230,2.650
4,14:09,1,10,NYG 44,16,20,Christian McCaffrey left guard for no gain (tackle by Kareem Martin),2.650,2.110
4,13:30,2,10,NYG 44,16,20,Cam Newton pass complete short left to D.J. Moore for 20 yards (tackle by Landon Collins),2.110,3.970
4,12:46,1,10,NYG 24,16,20,Christian McCaffrey right guard for no gain (tackle by B.J. Hill),3.970,3.430
4,12:05,2,10,NYG 24,16,20,Cam Newton pass complete short middle to Christian McCaffrey for 6 yards (tackle by Janoris Jenkins),3.430,3.570
4,11:28,3,4,NYG 18,16,26,"Cam Newton pass complete short left to Christian McCaffrey for 18 yards, touchdown",3.570,7.000
4,11:21,,,NYG 15,16,27,Graham Gano kicks extra point good,0.000,0.000
4,11:21,,,CAR 35,16,27,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,11:21,1,10,NYG 25,16,27,Saquon Barkley left tackle for 1 yard (tackle by Mario Addison and Dontari Poe),0.610,0.200
4,10:41,2,9,NYG 26,16,27,Eli Manning pass deep left intended for Sterling Shepard is intercepted by Mike Adams at NYG-45 and returned for no gain,0.200,-2.590
4,10:37,1,10,NYG 45,16,27,Christian McCaffrey left guard for 2 yards (tackle by B.J. Goodson),2.590,2.310
4,9:56,2,8,NYG 43,16,27,Cam Newton pass complete short left to Christian McCaffrey for no gain (tackle by B.J. Goodson),2.310,1.620
4,9:08,3,8,NYG 43,16,27,Cam Newton pass short left intended for Ian Thomas is intercepted by Janoris Jenkins at NYG-37 and returned for 29 yards,1.620,-3.310
4,8:53,1,10,CAR 34,16,27,Saquon Barkley up the middle for 1 yard (tackle by Dontari Poe and Mario Addison),3.310,2.910
4,8:16,2,9,CAR 33,22,27,"Eli Manning pass complete deep right to Odell Beckham for 33 yards, touchdown. Penalty on Luke Kuechly: Illegal Contact (Declined)",2.910,7.000
4,8:08,,,CAR 2,24,27,"Two Point Attempt: Eli Manning pass complete to Rhett Ellison, conversion succeeds",0.000,1.000
4,8:08,,,NYG 35,24,27,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
4,8:08,1,10,CAR 25,24,27,Cam Newton pass incomplete short right. Penalty on Chris Clark: Offensive Holding (Offsetting) (no play),0.610,0.610
4,8:00,1,10,CAR 25,24,27,Cam Newton pass complete short right to D.J. Moore for 5 yards (tackle by Kerry Wynn),0.610,0.740
4,7:18,2,5,CAR 30,24,27,Cam Newton pass complete short right to Devin Funchess for 6 yards (tackle by Eli Apple),0.740,1.330
4,6:34,1,10,CAR 36,24,27,Cam Newton right end for 9 yards (tackle by Josh Mauro),1.330,2.010
4,5:47,2,1,CAR 45,24,27,Cam Newton pass complete short middle to Christian McCaffrey for 2 yards (tackle by Curtis Riley),2.010,2.060
4,5:11,1,10,CAR 47,24,27,Cam Newton left end for 7 yards (tackle by Janoris Jenkins),2.060,2.460
4,4:26,2,3,NYG 46,24,27,Christian McCaffrey right end for 2 yards (tackle by B.J. Goodson),2.460,2.020
4,3:40,3,1,NYG 44,24,27,Cam Newton up the middle for no gain (tackle by Dalvin Tomlinson and B.J. Hill),2.020,0.330
4,3:27,,,,,,Timeout #1 by New York Giants,,
4,3:27,4,1,NYG 44,24,27,Cam Newton pass complete short right to Jarius Wright for 27 yards (tackle by Curtis Riley),0.330,4.440
4,2:37,1,10,NYG 17,24,27,C.J. Anderson up the middle for 1 yard (tackle by Alec Ogletree),4.440,4.000
4,2:37,,,,,,Timeout #2 by New York Giants,,
4,2:32,2,9,NYG 16,24,27,Cam Newton sacked by Connor Barwin for -5 yards,4.000,2.680
4,2:27,,,,,,Timeout #3 by New York Giants,,
4,2:27,3,14,NYG 21,24,27,Cam Newton pass incomplete deep middle intended for Jarius Wright,2.680,2.060
4,2:21,4,14,NYG 21,24,30,Graham Gano 39 yard field goal good,2.060,3.000
4,2:16,,,CAR 35,24,30,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,2:16,1,10,NYG 25,24,30,Eli Manning pass complete short left to Russell Shepard for 8 yards (tackle by Donte Jackson),0.610,1.140
4,2:00,2,2,NYG 33,24,30,Eli Manning pass complete short right to Rhett Ellison for 12 yards (tackle by Luke Kuechly),1.140,1.930
4,1:39,1,10,NYG 45,24,30,Eli Manning pass complete deep right to Russell Shepard for 40 yards (tackle by Donte Jackson),1.930,4.580
4,1:15,1,10,CAR 15,30,30,"Eli Manning pass complete short right to Saquon Barkley for 15 yards, touchdown",4.580,7.000
4,1:08,,,CAR 15,31,30,Aldrick Rosas kicks extra point good,0.000,0.000
4,1:08,,,NYG 35,31,30,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
4,1:08,1,10,CAR 25,31,30,Cam Newton pass incomplete deep left intended for Curtis Samuel (defended by Michael Thomas),0.610,0.060
4,1:01,2,10,CAR 25,31,30,Cam Newton pass complete deep left to D.J. Moore for 20 yards (tackle by Janoris Jenkins),0.060,1.930
4,0:40,1,10,CAR 45,31,30,Cam Newton pass incomplete short right intended for Devin Funchess,1.930,1.380
4,0:35,2,10,CAR 45,31,30,Cam Newton pass complete short middle to Christian McCaffrey for 9 yards (tackle by Landon Collins),1.380,1.880
4,0:30,,,,,,Timeout #3 by Carolina Panthers,,
4,0:30,3,1,NYG 46,31,30,Christian McCaffrey up the middle for 1 yard (tackle by Alec Ogletree),1.880,2.590
4,0:12,1,10,NYG 45,31,30,Cam Newton spiked the ball,2.590,2.040
4,0:11,2,10,NYG 45,31,30,Cam Newton pass incomplete deep left intended for Jarius Wright,2.040,1.360
4,0:06,3,10,NYG 45,31,33,Graham Gano 63 yard field goal good,1.360,3.000
4,0:01,,,CAR 35,31,33,"Graham Gano kicks off 74 yards, returned by Odell Beckham for no gain, lateral to Elijhaa Penny for -3 yards, lateral to Sterling Shepard for 27 yards. Sterling Shepard fumbles out of bounds",0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
