Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
2,1:54,3,11,TEN 46,0,13,Matt Ryan pass complete short middle to Roddy White for 9 yards (tackle by Colin McCarthy),1.220,0.790
2,1:08,,,,0,13,Timeout #1 by Atlanta Falcons,0.000,0.790
2,1:08,4,2,TEN 37,0,13,"Matt Bosher punts 27 yards, fair catch by Marc Mariani",0.790,0.380
2,1:01,1,10,TEN 10,0,13,Matt Hasselbeck pass complete short right to Jared Cook for 20 yards (tackle by Curtis Lofton and James Sanders),-0.380,0.940
2,0:40,1,10,TEN 30,0,13,Matt Hasselbeck pass complete short left to Javon Ringer for 11 yards (tackle by Christopher Owens),0.940,1.660
2,0:33,1,10,TEN 41,0,13,Matt Hasselbeck pass incomplete deep right intended for Damian Williams,1.660,1.120
2,0:26,2,10,TEN 41,0,13,Matt Hasselbeck pass complete short left to Javon Ringer for 15 yards (tackle by Thomas DeCoud and Christopher Owens). Penalty on John Abraham: Defensive Offside (Declined),1.120,2.650
2,0:18,1,10,ATL 44,0,13,Matt Hasselbeck pass complete short left to Damian Williams for 16 yards (tackle by Christopher Owens),2.650,3.710
2,0:12,,,,0,13,Timeout #2 by Tennessee Titans,0.000,3.710
2,0:12,1,10,ATL 28,0,13,Matt Hasselbeck pass incomplete deep left intended for Damian Williams,3.710,3.170
2,0:07,2,10,ATL 28,3,13,Rob Bironas 46 yard field goal good,3.170,3.000
2,,,,TEN 35,3,13,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
2,0:02,1,10,ATL 20,3,13,Matt Ryan kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,3,13,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,ATL 20,3,13,Matt Ryan pass complete short right to Harry Douglas for 4 yards (tackle by Cortland Finnegan),0.280,0.270
3,14:42,2,6,ATL 24,3,13,Matt Ryan pass complete short right to Tony Gonzalez for 16 yards (tackle by Colin McCarthy),0.270,1.600
3,13:58,1,10,ATL 40,3,13,Matt Ryan pass incomplete short right intended for Roddy White,1.600,1.050
3,13:54,2,10,ATL 40,3,13,Matt Ryan pass incomplete deep right intended for Roddy White,1.050,0.370
3,13:50,3,10,ATL 40,3,13,"Matt Ryan pass complete short middle to Tony Gonzalez for 7 yards (tackle by Alterraun Verner and Chris Hope). Penalty on Cortland Finnegan: Illegal Contact, 5 yards (no play)",0.370,1.930
3,13:40,1,10,ATL 45,3,13,Matt Ryan pass complete deep right to Roddy White for 43 yards (tackle by Jordan Babineaux),1.930,4.780
3,12:45,1,10,TEN 12,3,13,"Matt Ryan pass incomplete short middle intended for Tony Gonzalez. Penalty on Colin McCarthy: Defensive Pass Interference, 5 yards (no play)",4.780,5.600
3,12:40,1,7,TEN 7,3,13,Michael Turner up the middle for 3 yards (tackle by Colin McCarthy),5.600,5.340
3,12:01,2,4,TEN 4,3,19,"Michael Turner left tackle for 4 yards, touchdown",5.340,7.000
3,,,,TEN 2,3,20,Matt Bryant kicks extra point good,0.000,0.000
3,,,,ATL 35,3,20,"Matt Bosher kicks off 66 yards, returned by Marc Mariani for 26 yards (tackle by Akeem Dent)",0.000,0.610
3,11:49,1,10,TEN 25,3,20,Matt Hasselbeck pass complete short right to Nate Washington for 9 yards (tackle by John Abraham),0.610,1.280
3,11:22,2,1,TEN 34,3,20,Chris Johnson right guard for 2 yards (tackle by John Abraham),1.280,1.330
3,10:50,1,10,TEN 36,3,20,Matt Hasselbeck pass incomplete short right intended for Jared Cook (defended by Jonathan Babineaux),1.330,0.790
3,10:47,2,10,TEN 36,3,20,Matt Hasselbeck pass incomplete short left intended for Lavelle Hawkins,0.790,0.100
3,10:40,3,10,TEN 36,3,20,Matt Hasselbeck pass complete short right to Nate Washington for 4 yards (tackle by Brent Grimes),0.100,-0.720
3,10:04,4,6,TEN 40,3,20,"Brett Kern punts 39 yards, fair catch by Eric Weems",-0.720,-0.340
3,9:56,1,10,ATL 21,3,20,Michael Turner left end for -1 yards (tackle by Colin McCarthy),0.340,-0.340
3,9:19,2,11,ATL 20,3,20,"Matt Ryan pass complete short left to Harry Douglas for 20 yards (tackle by Jordan Babineaux). Penalty on Cortland Finnegan: Personal Foul, 15 yards",-0.340,2.590
3,8:44,1,10,TEN 45,3,20,Matt Ryan pass complete short right to Michael Turner for 9 yards (tackle by Shaun Smith and Jason McCourty),2.590,3.260
3,8:07,2,1,TEN 36,3,20,Jason Snelling right guard for no gain (tackle by Karl Klug),3.260,2.540
3,7:20,3,1,TEN 36,3,20,Jason Snelling right guard for no gain (tackle by Michael Griffin),2.540,0.890
3,6:44,4,1,TEN 36,3,20,Matt Ryan right guard for 2 yards (tackle by Jurrell Casey),0.890,3.310
3,6:00,1,10,TEN 34,3,20,"Michael Turner right end for 4 yards (tackle by Colin McCarthy). Penalty on Roddy White: Offensive Holding, 10 yards",3.310,2.920
3,5:31,1,16,TEN 40,3,20,Matt Ryan pass complete short right to Roddy White for 32 yards (tackle by Jordan Babineaux),2.920,5.370
3,4:42,1,8,TEN 8,3,20,Jacquizz Rodgers left guard for 3 yards (tackle by Colin McCarthy),5.370,5.150
3,3:56,2,5,TEN 5,3,20,Jacquizz Rodgers right end for -1 yards (tackle by Akeem Ayers),5.150,4.040
3,3:16,3,6,TEN 6,3,20,Matt Ryan pass incomplete short middle intended for Jason Snelling,4.040,2.990
3,3:11,4,6,TEN 6,3,23,Matt Bryant 24 yard field goal good,2.990,3.000
3,,,,ATL 35,3,23,"Matt Bosher kicks off 62 yards, returned by Marc Mariani for 49 yards (tackle by Jacquizz Rodgers)",0.000,2.390
3,2:57,1,10,ATL 48,3,23,Jake Locker pass incomplete deep right intended for Damian Williams (defended by Brent Grimes),2.390,1.850
3,2:49,2,10,ATL 48,3,23,Jake Locker pass complete short left to Jared Cook for 8 yards (tackle by Sean Weatherspoon),1.850,2.210
3,2:11,3,2,ATL 40,9,23,"Jake Locker pass complete short right to Nate Washington for 40 yards, touchdown. Penalty on Curtis Lofton: Roughing the Passer, 15 yards",2.210,7.000
3,,,,ATL 2,10,23,Rob Bironas kicks extra point good,0.000,0.000
3,,,,,10,23,"Rob Bironas kicks off 50 yards, touchback",0.000,0.280
3,2:00,1,10,ATL 20,10,23,Michael Turner right end for -1 yards (tackle by Alterraun Verner),0.280,-0.460
3,1:15,2,11,ATL 19,10,23,Matt Ryan pass incomplete deep right intended for Roddy White,-0.460,-1.140
3,1:09,3,11,ATL 19,10,23,Matt Ryan pass complete deep middle to Roddy White for 23 yards (tackle by Chris Hope),-1.140,1.730
3,0:33,1,10,ATL 42,10,23,Jason Snelling right guard for 2 yards (tackle by Malcolm Sheppard),1.730,1.460
Quarter,Time,Down,ToGo,Location,TEN,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,ATL 44,10,23,Michael Turner right guard for -1 yards (tackle by Colin McCarthy). Penalty on ATL: Illegal Shift (Declined),1.460,0.630
4,14:36,3,9,ATL 43,10,23,Matt Ryan pass incomplete short right intended for Roddy White,0.630,-0.520
4,14:32,4,9,ATL 43,10,23,"Matt Bosher punts 39 yards, returned by Marc Mariani for -1 yards (tackle by Eric Weems)",-0.520,0.060
4,14:24,1,10,TEN 17,10,23,Chris Johnson right tackle for -1 yards (tackle by Kroy Biermann),-0.060,-0.730
4,14:01,2,11,TEN 16,10,23,Jake Locker pass complete short middle to Chris Johnson for 5 yards (tackle by Christopher Owens),-0.730,-0.750
4,13:34,3,6,TEN 21,10,23,Jake Locker pass complete short left to Nate Washington for 7 yards (tackle by Christopher Owens),-0.750,0.810
4,13:05,1,10,TEN 28,10,23,Chris Johnson left end for no gain (tackle by Christopher Owens and Kroy Biermann),0.810,0.260
4,12:28,2,10,TEN 28,10,23,Jake Locker pass incomplete short middle intended for Marc Mariani,0.260,-0.430
4,12:23,3,10,TEN 28,10,23,Jake Locker pass incomplete short left intended for Damian Williams,-0.430,-1.500
4,12:18,4,10,TEN 28,10,23,"Brett Kern punts 52 yards, returned by Eric Weems for 16 yards (tackle by Craig Stevens)",-1.500,-1.330
4,12:05,1,10,ATL 36,10,23,Michael Turner left tackle for no gain (tackle by Michael Griffin),1.330,0.790
4,11:16,2,10,ATL 36,10,23,Matt Ryan pass complete deep left to Roddy White for 24 yards (tackle by Colin McCarthy),0.790,2.920
4,10:33,1,10,TEN 40,10,23,Michael Turner right end for -1 yards (tackle by Colin McCarthy),2.920,2.240
4,9:59,2,11,TEN 41,10,23,Matt Ryan pass complete short left to Tony Gonzalez for 19 yards (tackle by Will Witherspoon),2.240,4.110
4,9:14,1,10,TEN 22,10,23,Michael Turner right guard for no gain (tackle by William Hayes),4.110,3.560
4,8:33,2,10,TEN 22,10,23,"Matt Ryan pass incomplete deep left intended for Roddy White. Penalty on Michael Turner: Offensive Holding, 10 yards (no play)",3.560,2.210
4,8:26,2,20,TEN 32,10,23,Matt Ryan pass complete short left to Michael Palmer for 11 yards (tackle by Cortland Finnegan),2.210,3.010
4,7:57,3,9,TEN 21,10,23,Matt Ryan pass complete short middle to Eric Weems for 8 yards (tackle by Alterraun Verner),3.010,2.720
4,7:11,4,1,TEN 13,10,23,"Matt Ryan right guard for no gain (tackle by Shaun Smith). Penalty on William Hayes: Defensive Offside, 6 yards (no play)",2.720,5.600
4,6:48,1,7,TEN 7,10,23,Matt Ryan pass incomplete short right intended for Roddy White,5.600,4.760
4,6:43,2,7,TEN 7,10,23,"Michael Turner left tackle for -7 yards (tackle by Colin McCarthy). Michael Turner fumbles (forced by Colin McCarthy), recovered by Will Witherspoon at TEN-14 and returned for 2 yards (tackle by Matt Ryan)",4.760,0.140
4,6:36,1,10,TEN 16,10,23,Jake Locker pass complete short middle to Jared Cook for 5 yards (tackle by Christopher Owens),-0.140,0.150
4,6:05,2,5,TEN 21,10,23,Jake Locker pass complete short left to Nate Washington for 17 yards,0.150,1.470
4,5:41,1,10,TEN 38,10,23,Jake Locker pass incomplete short right intended for Javon Ringer,1.470,0.920
4,5:37,2,10,TEN 38,10,23,Jake Locker pass incomplete short left intended for Jared Cook (defended by Curtis Lofton),0.920,0.230
4,5:33,3,10,TEN 38,10,23,Jake Locker for 11 yards (tackle by Dunta Robinson),0.230,2.190
4,5:10,1,10,TEN 49,10,23,Jake Locker sacked by John Abraham for -7 yards,2.190,0.700
4,4:51,2,17,TEN 42,10,23,Jake Locker pass incomplete deep left intended for Jared Cook,0.700,0.040
4,4:46,3,17,TEN 42,10,23,Jake Locker pass incomplete deep left intended for Damian Williams (defended by Dunta Robinson),0.040,-0.590
4,4:40,4,17,TEN 42,10,23,Jake Locker pass complete short left to Jared Cook for 22 yards (tackle by Thomas DeCoud),-0.590,3.180
4,4:09,1,10,ATL 36,10,23,Jake Locker pass incomplete short left intended for Damian Williams,3.180,2.640
4,4:04,2,10,ATL 36,10,23,Jake Locker pass complete deep left to Lavelle Hawkins for 32 yards (tackle by Dunta Robinson),2.640,6.280
4,3:18,1,4,ATL 4,10,23,Jake Locker pass incomplete short left intended for Damian Williams,6.280,5.340
4,3:14,2,4,ATL 4,10,23,Jake Locker pass incomplete short left intended for Damian Williams,5.340,4.490
4,3:09,3,4,ATL 4,16,23,"Jake Locker pass complete short right to Nate Washington for 4 yards, touchdown",4.490,7.000
4,,,,ATL 2,17,23,Rob Bironas kicks extra point good,0.000,0.000
4,,,,TEN 35,17,23,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
4,3:06,1,10,ATL 20,17,23,Michael Turner right tackle for 27 yards (tackle by Jason McCourty),0.280,2.060
4,2:47,,,,17,23,Timeout #1 by Tennessee Titans,0.000,2.060
4,2:47,1,10,ATL 47,17,23,Jason Snelling left tackle for 2 yards (tackle by SenDerrick Marks),2.060,1.790
4,2:41,,,,17,23,Timeout #2 by Tennessee Titans,0.000,1.790
4,2:41,2,8,ATL 49,17,23,Jason Snelling right guard for 2 yards (tackle by Will Witherspoon),1.790,1.360
4,2:36,,,,17,23,Timeout #3 by Tennessee Titans,0.000,1.360
4,2:36,3,6,TEN 49,17,23,Matt Ryan pass complete short middle to Harry Douglas for 6 yards (tackle by Jason McCourty),1.360,2.720
4,2:00,1,10,TEN 43,17,23,Matt Ryan kneels for -3 yards,2.720,1.770
4,1:16,2,13,TEN 46,17,23,Matt Ryan kneels for -1 yards,1.770,0.960
4,0:33,3,14,TEN 47,17,23,Matt Ryan kneels for -1 yards,0.960,0.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
