Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
3,10:23,4,3,ATL 12,10,10,Bradley Pinion punts 48 yards out of bounds,-2.490,-1.600
3,10:16,1,10,WAS 40,10,10,Brian Robinson left end for 5 yards (tackle by Adetokunbo Ogundeji),1.600,1.730
3,9:34,2,5,WAS 45,10,10,Brian Robinson left end for 6 yards (tackle by Jaylinn Hawkins and Mykal Walker),1.730,2.320
3,8:52,1,10,ATL 49,10,10,Brian Robinson right guard for 7 yards (tackle by Richie Grant and Mykal Walker),2.320,2.730
3,8:10,2,3,ATL 42,10,10,Brian Robinson right tackle for 2 yards (tackle by Timmy Horne and Mykal Walker),2.730,2.280
3,7:28,3,1,ATL 40,10,10,Taylor Heinicke pass incomplete short right intended for Cole Turner,2.280,0.590
3,7:18,,,,,,Timeout #1 by Washington Commanders,,
3,7:18,4,1,ATL 40,10,10,Brian Robinson left guard for 3 yards (tackle by Grady Jarrett and Mykal Walker),0.590,3.120
3,6:33,1,10,ATL 37,10,10,Terry McLaurin right end for 5 yards (tackle by Darren Hall and Jaylinn Hawkins),3.120,3.250
3,6:02,2,5,ATL 32,10,10,Brian Robinson right tackle for 6 yards (tackle by DeAngelo Malone and Jaylinn Hawkins),3.250,3.840
3,5:20,1,10,ATL 26,10,10,Jonathan Williams right tackle for 9 yards (tackle by Darren Hall and Richie Grant),3.840,4.640
3,4:52,2,1,ATL 17,10,10,Jonathan Williams left tackle for 1 yard (tackle by Jaleel Johnson),4.640,4.510
3,4:09,1,10,ATL 16,10,16,"Taylor Heinicke pass complete deep right to John Bates for 16 yards, touchdown",4.510,7.000
3,4:03,,,ATL 15,10,16,Joey Slye kicks extra point no good,0.000,-1.000
3,4:03,,,WAS 35,10,16,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,4:03,1,10,ATL 25,10,16,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 6 yards (tackle by Bobby McCain),0.610,0.870
3,3:31,2,4,ATL 31,10,16,Marcus Mariota right end for 14 yards (tackle by Kamren Curl),0.870,1.930
3,2:48,1,10,ATL 45,10,16,"Marcus Mariota sacked by Jonathan Allen for no gain. Marcus Mariota fumbles, recovered by Jonathan Allen at ATL-45 Replay Assistant challenged the fumble ruling, and the original play was overturned. Marcus Mariota pass incomplete short middle intended for Drake London",1.930,1.380
3,2:44,2,10,ATL 45,10,16,Cordarrelle Patterson left end for 21 yards (tackle by Darrick Forrest),1.380,3.310
3,2:03,1,10,WAS 34,10,16,Tyler Allgeier left end for 4 yards (tackle by Kamren Curl),3.310,3.310
3,1:37,2,6,WAS 30,10,16,Marcus Mariota pass incomplete short right intended for Olamide Zaccheaus,3.310,2.610
3,1:26,3,6,WAS 30,10,16,Marcus Mariota pass incomplete short middle intended for Olamide Zaccheaus,2.610,1.430
3,1:22,4,6,WAS 30,13,16,Younghoe Koo 48 yard field goal good,1.430,3.000
3,1:17,,,ATL 35,13,16,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,1:17,1,10,WAS 25,13,16,Brian Robinson left end for 12 yards (tackle by Jaylinn Hawkins),0.610,1.400
3,0:41,1,10,WAS 37,13,16,Taylor Heinicke pass complete short right to John Bates for 1 yard (tackle by Lorenzo Carter),1.400,0.990
Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,WAS 38,13,16,Taylor Heinicke pass complete short middle to John Bates for 7 yards (tackle by Rashaan Evans and Mykal Walker),0.990,1.220
4,14:22,3,2,WAS 45,13,16,Taylor Heinicke pass complete short right to Terry McLaurin for 3 yards (tackle by AJ Terrell),1.220,2.130
4,13:38,1,10,WAS 48,13,16,Brian Robinson left tackle for 11 yards (tackle by Darren Hall),2.130,2.850
4,12:47,1,10,ATL 41,13,16,Jonathan Williams right guard for 9 yards (tackle by Darren Hall and Jaylinn Hawkins),2.850,3.520
4,11:53,2,1,ATL 32,13,16,Jonathan Williams left guard for 3 yards (tackle by Rashaan Evans and DeAngelo Malone),3.520,3.640
4,11:04,1,10,ATL 29,13,16,Taylor Heinicke pass incomplete short left intended for Brian Robinson,3.640,3.100
4,10:57,2,10,ATL 29,13,16,Antonio Gibson right guard for 2 yards (tackle by Grady Jarrett and Lorenzo Carter),3.100,2.680
4,10:16,3,8,ATL 27,13,16,"Taylor Heinicke pass complete short right to Logan Thomas for no gain (tackle by Darren Hall). Penalty on Curtis Samuel: Offensive Pass Interference, 10 yards (accepted) (no play)",2.680,1.360
4,9:54,3,18,ATL 37,13,16,Antonio Gibson up the middle for 10 yards (tackle by DeAundre Alford),1.360,1.670
4,9:10,4,8,ATL 27,13,19,"Joey Slye 45 yard field goal good Penalty on ATL: Defensive Offside, 5 yards (declined)",1.670,3.000
4,9:05,,,WAS 35,13,19,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,9:05,1,10,ATL 25,13,19,Cordarrelle Patterson for -2 yards (tackle by Daron Payne),0.610,-0.210
4,8:29,2,12,ATL 23,13,19,Marcus Mariota sacked by Montez Sweat for -9 yards,-0.210,-2.550
4,7:50,3,21,ATL 14,13,19,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 10 yards (tackle by Kamren Curl),-2.550,-1.770
4,7:16,4,11,ATL 24,13,19,"Bradley Pinion punts 36 yards, fair catch by Alex Erickson at WAS-40",-1.770,-1.600
4,7:08,1,10,WAS 40,13,19,Antonio Gibson left end for -2 yards (tackle by Troy Andersen and Darren Hall),1.600,0.780
4,6:39,2,12,WAS 38,13,19,Brian Robinson left end for 1 yard (tackle by Adetokunbo Ogundeji and Abdullah Anderson),0.780,0.230
4,5:52,3,11,WAS 39,13,19,Taylor Heinicke pass complete short left to Antonio Gibson for 7 yards (tackle by Richie Grant),0.230,-0.320
4,5:08,4,4,WAS 46,13,19,"Tress Way punts 38 yards, fair catch by Avery Williams at ATL-16",-0.320,0.140
4,5:03,1,10,ATL 16,13,19,Marcus Mariota pass complete short right to Parker Hesse for 9 yards (tackle by Jamin Davis),-0.140,0.690
4,4:26,2,1,ATL 25,13,19,Cordarrelle Patterson right tackle for 5 yards (tackle by James Smith-Williams and Jamin Davis),0.690,0.940
4,3:44,1,10,ATL 30,13,19,Marcus Mariota pass complete short right to Olamide Zaccheaus for 45 yards (tackle by Darrick Forrest),0.940,3.910
4,3:09,1,10,WAS 25,13,19,Cordarrelle Patterson left end for no gain (tackle by Casey Toohill),3.910,3.360
4,2:38,2,10,WAS 25,13,19,Tyler Allgeier left end for 6 yards (tackle by Kamren Curl and John Ridgeway),3.360,3.490
4,2:00,3,4,WAS 19,13,19,Tyler Allgeier right end for 5 yards (tackle by Casey Toohill and Darrick Forrest),3.490,4.650
4,1:26,1,10,WAS 14,13,19,Cordarrelle Patterson right end for 6 yards (tackle by Daron Payne),4.650,5.090
4,1:21,2,4,WAS 8,13,19,Cordarrelle Patterson up the middle for 3 yards (tackle by John Ridgeway and Daron Payne),5.090,4.960
4,1:15,,,,,,Timeout #2 by Washington Commanders,,
4,1:15,3,1,WAS 5,13,19,"Tyler Allgeier right tackle for no gain (tackle by Jonathan Allen and Jonathan Bostic). Penalty on Montez Sweat: Defensive Offside, 3 yards (accepted) (no play)",4.960,6.740
4,1:10,1,2,WAS 2,13,19,Marcus Mariota left end for -2 yards (tackle by Montez Sweat),6.740,5.340
4,1:03,,,,,,Timeout #3 by Washington Commanders,,
4,1:03,2,4,WAS 4,13,19,Marcus Mariota pass short middle (defended by Daron Payne) intended for Cordarrelle Patterson is intercepted by Kendall Fuller in end zone and returned for no gain,5.340,-0.280
4,0:58,1,10,WAS 20,13,19,Brian Robinson left guard for 4 yards (tackle by Timmy Horne and Mykal Walker),0.280,0.270
4,0:55,,,,,,Timeout #1 by Atlanta Falcons,,
4,0:55,2,6,WAS 24,13,19,Brian Robinson left end for 1 yard (tackle by Lorenzo Carter),0.270,-0.300
4,0:51,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:51,3,5,WAS 25,13,19,Curtis Samuel left end for 3 yards (tackle by Rashaan Evans and Adetokunbo Ogundeji),-0.300,-1.500
4,0:44,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:44,4,2,WAS 28,13,19,"Tress Way punts, returned by Avery Williams for no gain (tackle by David Mayo). Penalty on Adetokunbo Ogundeji: Running Into the Kicker, 5 yards (accepted) (no play)",-1.500,1.140
4,0:32,1,10,WAS 33,13,19,Taylor Heinicke kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
