Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
1,9:17,1,10,SFO 2,0,0,Kyle Juszczyk up the middle for 5 yards (tackle by A.J. Klein and Jordan Poyer),-0.380,-0.420
1,8:36,2,5,SFO 7,0,0,Raheem Mostert up the middle for -2 yards (tackle by Taron Johnson and Ed Oliver),-0.420,-1.070
1,7:57,3,7,SFO 5,0,0,"Nick Mullens pass incomplete deep right intended for Brandon Aiyuk (defended by Levi Wallace). Penalty on Levi Wallace: Defensive Pass Interference, 25 yards (no play)",-1.070,0.940
1,7:51,1,10,SFO 30,0,0,Raheem Mostert up the middle for 16 yards (tackle by Micah Hyde and Taron Johnson),0.940,1.990
1,7:11,1,10,SFO 46,0,0,Raheem Mostert up the middle for 8 yards (tackle by Levi Wallace),1.990,2.530
1,6:31,2,2,BUF 46,0,0,Jeff Wilson up the middle for 4 yards (tackle by A.J. Klein and Micah Hyde),2.530,2.790
1,5:47,1,10,BUF 42,0,0,Nick Mullens pass complete short middle to Jordan Reed for 17 yards (tackle by Taron Johnson),2.790,3.910
1,5:03,1,10,BUF 25,0,0,Jeff Wilson up the middle for 4 yards (tackle by Tre'Davious White and Micah Hyde),3.910,3.900
1,4:17,2,6,BUF 21,0,0,Nick Mullens pass incomplete short right intended for Deebo Samuel,3.900,3.200
1,4:13,3,6,BUF 21,0,0,Nick Mullens pass complete short middle to Brandon Aiyuk for 11 yards (tackle by Micah Hyde),3.200,4.910
1,3:29,1,10,BUF 10,0,0,Jeff Wilson up the middle for 8 yards (tackle by Micah Hyde and Tre'Davious White),4.910,5.720
1,2:45,2,2,BUF 2,0,0,Jeff Wilson up the middle for 1 yard (tackle by Micah Hyde and Jordan Poyer),5.720,5.170
1,2:08,3,1,BUF 1,0,0,Kyle Juszczyk up the middle for no gain (tackle by Quinton Jefferson),5.170,3.550
1,1:38,4,1,BUF 1,0,0,Jeff Wilson up the middle for no gain (tackle by Tremaine Edmunds and Vernon Butler),3.550,0.380
1,1:34,1,10,BUF 1,0,0,"Josh Allen aborted snap, recovered by Fred Warner at BUF-3",-0.380,-6.510
1,1:24,1,3,BUF 3,0,0,Raheem Mostert up the middle for no gain (tackle by Tremaine Edmunds and Harrison Phillips),6.510,5.530
1,1:04,2,3,BUF 3,0,0,Raheem Mostert up the middle for 1 yard (tackle by Jordan Poyer and Micah Hyde),5.530,4.950
1,0:48,3,2,BUF 2,0,6,"Nick Mullens pass complete short middle to Brandon Aiyuk for 2 yards, touchdown",4.950,7.000
1,0:44,,,BUF 15,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,0:44,,,SFO 35,0,7,"Mitch Wishnowsky kicks off 67 yards, returned by Andre Roberts for 25 yards (tackle by Joe Walker and Marcell Harris)",0.000,0.480
1,0:39,1,10,BUF 23,0,7,Josh Allen pass complete short right to Stefon Diggs for 12 yards (tackle by Richard Sherman),0.480,1.270
1,0:22,1,10,BUF 35,0,7,Josh Allen pass complete deep right to Cole Beasley for 35 yards (tackle by Tarvarius Moore),1.270,3.580
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 30,0,7,Devin Singletary up the middle for -2 yards (tackle by Kevin Givens),3.580,2.760
2,14:21,2,12,SFO 32,0,7,Josh Allen pass complete deep middle to Gabriel Davis for 22 yards (tackle by Jason Verrett and Jimmie Ward),2.760,4.910
2,13:37,1,10,SFO 10,0,7,"Josh Allen pass complete short middle to Lee Smith for 7 yards (tackle by Dontae Johnson). Penalty on Arik Armstead: Defensive Holding, 5 yards (no play)",4.910,6.060
2,13:06,1,5,SFO 5,6,7,"Josh Allen pass complete short right to Cole Beasley for 5 yards, touchdown",6.060,7.000
2,13:02,,,SFO 15,7,7,Tyler Bass kicks extra point good,0.000,0.000
2,13:02,,,BUF 35,7,7,"Tyler Bass kicks off 59 yards, returned by Richie James for 13 yards (tackle by Darryl Johnson)",0.000,0.150
2,12:57,1,10,SFO 19,7,7,Nick Mullens pass complete short left to Brandon Aiyuk for 13 yards (tackle by Micah Hyde),0.150,1.070
2,12:15,1,10,SFO 32,7,7,Deebo Samuel left end for 3 yards (tackle by Taron Johnson and A.J. Klein),1.070,0.930
2,11:29,2,7,SFO 35,7,7,Raheem Mostert left end for 2 yards (tackle by Tremaine Edmunds),0.930,0.500
2,10:48,3,5,SFO 37,7,7,Nick Mullens pass incomplete short middle intended for Kendrick Bourne,0.500,-0.910
2,10:43,4,5,SFO 37,7,7,"Mitch Wishnowsky punts 54 yards, returned by Andre Roberts for 22 yards (tackle by Dontae Johnson)",-0.910,-1.000
2,10:30,1,10,BUF 31,7,7,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Jimmie Ward),1.000,1.540
2,9:45,2,2,BUF 39,7,7,Devin Singletary up the middle for 4 yards (tackle by Arik Armstead and Javon Kinlaw),1.540,1.800
2,8:59,1,10,BUF 43,7,7,Josh Allen pass incomplete short right,1.800,1.250
2,8:54,2,10,BUF 43,7,7,"Josh Allen pass short right is intercepted by Fred Warner at 50 and returned for no gain. Penalty on Richard Sherman: Illegal Contact, 4 yards (no play)",1.250,2.060
2,8:46,1,10,BUF 47,7,7,Josh Allen pass complete short left to Devin Singletary for 9 yards (tackle by Jason Verrett),2.060,2.730
2,8:11,2,1,SFO 44,7,7,Devin Singletary up the middle for no gain (tackle by Dontae Johnson),2.730,2.020
2,7:35,3,1,SFO 44,7,7,Josh Allen up the middle for 2 yards (tackle by Fred Warner),2.020,2.790
2,6:54,1,10,SFO 42,7,7,Josh Allen pass complete short middle to Dawson Knox for 8 yards (tackle by Jason Verrett),2.790,3.320
2,6:14,2,2,SFO 34,7,7,Josh Allen pass complete short middle to Isaiah McKenzie for 8 yards (tackle by Jason Verrett),3.320,3.840
2,5:31,1,10,SFO 26,7,7,Josh Allen pass complete short right to Cole Beasley for 12 yards (tackle by Dontae Johnson),3.840,4.650
2,4:54,1,10,SFO 14,7,7,Devin Singletary up the middle for 5 yards (tackle by Dion Jordan and Fred Warner),4.650,4.900
2,4:17,2,5,SFO 9,7,7,Josh Allen up the middle for 4 yards (tackle by Richard Sherman),4.900,4.960
2,3:48,3,1,SFO 5,7,7,Josh Allen up the middle for no gain (tackle by Kerry Hyder),4.960,3.030
2,3:16,4,1,SFO 5,7,7,Devin Singletary left end for 1 yard (tackle by Tarvarius Moore and Jimmie Ward),3.030,6.280
2,2:47,1,4,SFO 4,13,7,"Josh Allen pass complete short right to Dawson Knox for 4 yards, touchdown",6.280,7.000
2,2:41,,,SFO 15,14,7,Tyler Bass kicks extra point good,0.000,0.000
2,2:41,,,BUF 35,14,7,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,2:41,1,10,SFO 25,14,7,Jeff Wilson right tackle for 12 yards (tackle by Levi Wallace),0.610,1.400
2,2:04,1,10,SFO 37,14,7,Nick Mullens pass complete short right to Kendrick Bourne for 13 yards (tackle by Tre'Davious White),1.400,2.260
2,1:58,1,10,SFO 50,14,7,Raheem Mostert up the middle for 3 yards (tackle by Tre'Davious White),2.260,2.120
2,1:23,2,7,BUF 47,14,7,Nick Mullens pass complete short right to Raheem Mostert for 1 yard (tackle by Micah Hyde),2.120,1.550
2,1:18,3,6,BUF 46,14,7,Nick Mullens pass incomplete short middle intended for Brandon Aiyuk,1.550,0.200
2,1:12,4,6,BUF 46,14,7,"Mitch Wishnowsky punts 36 yards, fair catch by Andre Roberts at BUF-10",0.200,0.380
2,1:05,1,10,BUF 10,14,7,Devin Singletary up the middle for 8 yards (tackle by Kevin Givens),-0.380,0.070
2,0:40,2,2,BUF 18,14,7,Josh Allen pass complete short middle to Cole Beasley for 7 yards (tackle by Dontae Johnson),0.070,0.610
2,0:32,,,,,,Timeout #1 by Buffalo Bills,,
2,0:32,1,10,BUF 25,14,7,Josh Allen pass incomplete short right,0.610,0.060
2,0:26,2,10,BUF 25,14,7,Josh Allen pass complete deep left to Stefon Diggs for 18 yards (tackle by Jimmie Ward),0.060,1.800
2,0:19,,,,,,Timeout #2 by Buffalo Bills,,
2,0:19,1,10,BUF 43,14,7,Josh Allen pass complete deep right to Cole Beasley for 20 yards,1.800,3.120
2,0:11,1,10,SFO 37,14,7,Josh Allen pass complete short middle to Gabriel Davis for 18 yards (tackle by Richard Sherman),3.120,4.310
2,0:04,1,10,SFO 19,17,7,Tyler Bass 37 yard field goal good,4.310,3.000
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,17,7,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,17,7,Nick Mullens pass incomplete short middle intended for Deebo Samuel (defended by A.J. Klein),0.610,0.060
3,14:56,2,10,SFO 25,17,7,Nick Mullens pass complete deep right to Ross Dwelley for 17 yards (tackle by Jordan Poyer),0.060,1.730
3,14:14,1,10,SFO 42,17,7,"Penalty on Ross Dwelley: False Start, 5 yards (no play)",1.730,1.400
3,13:54,1,15,SFO 37,17,7,Jeff Wilson up the middle for 18 yards (tackle by Jordan Poyer),1.400,2.590
3,13:19,1,10,BUF 45,17,7,Nick Mullens pass complete short left to Brandon Aiyuk for 20 yards (tackle by Levi Wallace),2.590,3.910
3,12:44,1,10,BUF 25,17,7,Tevin Coleman right end for -9 yards (tackle by Darryl Johnson),3.910,2.150
3,12:03,2,19,BUF 34,17,7,Nick Mullens pass complete short left to Jeff Wilson for 7 yards (tackle by A.J. Epenesa),2.150,2.410
3,11:22,3,12,BUF 27,17,7,Nick Mullens pass incomplete short right intended for Jordan Reed,2.410,1.670
3,11:18,4,12,BUF 27,17,10,Robbie Gould 45 yard field goal good,1.670,3.000
3,11:14,,,SFO 35,17,10,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,11:14,1,10,BUF 25,17,10,Josh Allen pass complete short left to Devin Singletary for 9 yards (tackle by Fred Warner),0.610,1.280
3,10:49,2,1,BUF 34,17,10,Devin Singletary left tackle for no gain (tackle by Javon Kinlaw),1.280,0.560
3,10:12,3,1,BUF 34,17,10,Devin Singletary left end for 2 yards (tackle by Dre Greenlaw),0.560,1.330
3,9:42,1,10,BUF 36,17,10,Josh Allen pass complete short left to Dawson Knox for 12 yards (tackle by Jason Verrett),1.330,2.130
3,9:00,1,10,BUF 48,17,10,Josh Allen pass complete short right to Devin Singletary for 4 yards (tackle by Dontae Johnson),2.130,2.120
3,8:22,2,6,SFO 48,17,10,Josh Allen pass complete short left to Cole Beasley for 6 yards (tackle by Jordan Willis). Penalty on Jordan Willis: Defensive Offside (Declined),2.120,2.790
3,7:59,1,10,SFO 42,17,10,Josh Allen pass complete short right to Stefon Diggs for 11 yards (tackle by Dontae Johnson),2.790,3.510
3,7:18,1,10,SFO 31,17,10,"Devin Singletary left tackle for 2 yards (tackle by Tarvarius Moore). Penalty on Cole Beasley: Offensive Holding, 10 yards",3.510,2.980
3,6:42,1,18,SFO 39,17,10,Josh Allen pass incomplete short right intended for Cole Beasley,2.980,1.890
3,6:38,2,18,SFO 39,17,10,"Josh Allen pass incomplete short right. Penalty on Kentavius Street: Roughing the Passer, 15 yards (no play)",1.890,3.970
3,6:30,1,10,SFO 24,17,10,Devin Singletary right tackle for 1 yard (tackle by Arik Armstead),3.970,3.570
3,5:53,2,9,SFO 23,23,10,"Josh Allen pass complete deep left to Isaiah McKenzie for 23 yards, touchdown",3.570,7.000
3,5:48,,,SFO 15,24,10,Tyler Bass kicks extra point good,0.000,0.000
3,5:48,,,BUF 35,24,10,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,5:48,1,10,SFO 25,24,10,Nick Mullens pass incomplete short left intended for Brandon Aiyuk,0.610,0.060
3,5:44,2,10,SFO 25,24,10,Nick Mullens pass short middle intended for Brandon Aiyuk is intercepted by Micah Hyde at SF-38 and returned for 33 yards,0.060,-6.060
3,5:28,1,5,SFO 5,24,10,Josh Allen pass incomplete short left intended for Gabriel Davis (defended by Jason Verrett),6.060,5.150
3,5:25,2,5,SFO 5,24,10,Josh Allen pass complete short middle to Dawson Knox for 3 yards (tackle by Jimmie Ward),5.150,4.950
3,4:46,3,2,SFO 2,24,10,"Josh Allen pass complete short left to Cole Beasley for 1 yard (tackle by Tarvarius Moore). Penalty on Devin Singletary: Offensive Holding, 10 yards (no play)",4.950,3.100
3,4:20,3,12,SFO 12,24,10,"Penalty on BUF: False Start, 5 yards (no play)",3.100,2.740
3,3:57,3,17,SFO 17,24,10,Devin Singletary up the middle for 8 yards (tackle by Dontae Johnson),2.740,2.830
3,3:12,4,9,SFO 9,27,10,Tyler Bass 28 yard field goal good,2.830,3.000
3,3:09,,,BUF 35,27,10,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,3:09,1,10,SFO 25,27,10,Raheem Mostert right tackle for 4 yards (tackle by Vernon Butler and Levi Wallace),0.610,0.600
3,2:30,2,6,SFO 29,27,10,Nick Mullens pass complete short middle to Deebo Samuel for 4 yards (tackle by Tremaine Edmunds),0.600,0.430
3,1:54,3,2,SFO 33,27,10,Nick Mullens pass complete short right to Deebo Samuel for 12 yards (tackle by Jordan Poyer and Levi Wallace),0.430,1.930
3,1:07,,,,,,Timeout #1 by San Francisco 49ers,,
3,1:07,1,10,SFO 45,27,10,Nick Mullens pass complete deep left to Brandon Aiyuk for 49 yards (tackle by Levi Wallace),1.930,5.830
3,0:32,1,6,BUF 6,27,16,"Nick Mullens pass complete short right to Kyle Juszczyk for 6 yards, touchdown",5.830,7.000
3,0:26,,,BUF 15,27,17,Robbie Gould kicks extra point good,0.000,0.000
3,0:26,,,SFO 35,27,17,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,0:26,1,10,BUF 25,27,17,Devin Singletary left tackle for 15 yards (tackle by Tarvarius Moore),0.610,1.600
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BUF 40,27,17,"Josh Allen sacked by Dion Jordan for -7 yards. Josh Allen fumbles (forced by Dion Jordan), recovered by Dion Dawkins at BUF-35",1.600,0.380
4,14:09,2,15,BUF 35,27,17,Josh Allen pass complete short left to Stefon Diggs for 10 yards (tackle by Jason Verrett),0.380,1.030
4,13:28,3,5,BUF 45,27,17,Josh Allen pass complete short left to Stefon Diggs for 12 yards (tackle by Fred Warner),1.030,2.720
4,12:44,1,10,SFO 43,27,17,Devin Singletary up the middle for 6 yards (tackle by Dre Greenlaw and Jimmie Ward),2.720,2.990
4,11:59,2,4,SFO 37,27,17,Josh Allen pass complete short left to Stefon Diggs for 3 yards (tackle by Jason Verrett),2.990,2.680
4,11:31,3,1,SFO 34,27,17,Zack Moss left tackle for -1 yards (tackle by Dion Jordan and Tarvarius Moore),2.680,0.990
4,10:44,,,,,,Timeout #1 by Buffalo Bills,,
4,10:44,4,2,SFO 35,27,17,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Jason Verrett),0.990,3.710
4,10:01,1,10,SFO 28,27,17,Josh Allen pass incomplete short right intended for Devin Singletary,3.710,3.170
4,9:56,2,10,SFO 28,33,17,"Josh Allen pass complete deep right to Gabriel Davis for 28 yards, touchdown",3.170,7.000
4,9:50,,,SFO 15,34,17,Tyler Bass kicks extra point good,0.000,0.000
4,9:50,,,BUF 35,34,17,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,9:50,1,10,SFO 25,34,17,Nick Mullens pass complete deep middle to Deebo Samuel for 22 yards (tackle by Levi Wallace and Micah Hyde),0.610,2.060
4,9:27,1,10,SFO 47,34,17,Nick Mullens pass complete short right to Charlie Woerner for 15 yards (tackle by Levi Wallace),2.060,3.050
4,9:01,1,10,BUF 38,34,17,Nick Mullens pass complete short right to Deebo Samuel for 9 yards (tackle by Levi Wallace),3.050,3.720
4,8:36,2,1,BUF 29,34,17,Raheem Mostert left end for 10 yards (tackle by Micah Hyde),3.720,4.310
4,8:09,1,10,BUF 19,34,17,Nick Mullens pass complete short left to Charlie Woerner for 18 yards (tackle by Tremaine Edmunds),4.310,6.970
4,7:48,1,1,BUF 1,34,17,Tevin Coleman up the middle for -2 yards (tackle by Vernon Butler),6.970,5.530
4,7:10,2,3,BUF 3,34,17,Nick Mullens pass complete short right to Kendrick Bourne for 2 yards (tackle by Micah Hyde),5.530,5.170
4,7:05,3,1,BUF 1,34,17,"Penalty on Nick Mullens: False Start, 4 yards (no play)",5.170,4.260
4,7:05,3,5,BUF 5,34,17,Nick Mullens pass short middle intended for Jeff Wilson is intercepted by Tre'Davious White at BUF-2 and returned for no gain,4.260,0.380
4,6:55,1,10,BUF 2,34,17,Devin Singletary up the middle for 2 yards (tackle by Kerry Hyder),-0.380,-0.630
4,6:15,2,8,BUF 4,34,17,Devin Singletary up the middle for 2 yards (tackle by Kevin Givens),-0.630,-0.950
4,6:08,,,,,,Timeout #2 by San Francisco 49ers,,
4,6:08,3,6,BUF 6,34,17,Josh Allen pass complete short left to Cole Beasley for 11 yards (tackle by Jason Verrett),-0.950,-0.060
4,5:22,1,10,BUF 17,34,17,Josh Allen up the middle for 6 yards (tackle by Dre Greenlaw),-0.060,0.350
4,4:37,2,4,BUF 23,34,17,Devin Singletary left tackle for -2 yards (tackle by Kerry Hyder),0.350,-0.750
4,3:53,3,6,BUF 21,34,17,Josh Allen pass incomplete short right intended for Cole Beasley (defended by Kevin Givens) (defended by Dontae Johnson),-0.750,-1.960
4,3:44,4,6,BUF 21,34,17,"Corey Bojorquez punts 68 yards, returned by Brandon Aiyuk for 16 yards (tackle by Reid Ferguson and A.J. Klein)",-1.960,-0.740
4,3:30,1,10,SFO 27,34,17,Nick Mullens pass complete short right to Deebo Samuel for 3 yards (tackle by Matt Milano),0.740,0.600
4,3:24,2,7,SFO 30,34,17,Nick Mullens pass complete short left to Jordan Reed for 10 yards (tackle by Levi Wallace and Taron Johnson),0.600,1.600
4,3:01,1,10,SFO 40,34,17,Nick Mullens pass incomplete short right intended for Deebo Samuel,1.600,1.050
4,2:57,2,10,SFO 40,34,17,Nick Mullens pass complete short right to Ross Dwelley for 12 yards (tackle by Tremaine Edmunds),1.050,2.390
4,2:37,1,10,BUF 48,34,17,Nick Mullens pass incomplete short left intended for Jeff Wilson,2.390,1.850
4,2:33,2,10,BUF 48,34,17,Nick Mullens pass incomplete short middle intended for Jeff Wilson,1.850,1.160
4,2:29,3,10,BUF 48,34,17,Nick Mullens pass complete short left to Deebo Samuel for 23 yards (tackle by Tremaine Edmunds),1.160,3.910
4,2:03,1,10,BUF 25,34,17,"Penalty on Tom Compton: False Start, 5 yards (no play)",3.910,3.580
4,2:03,1,15,BUF 30,34,17,Nick Mullens pass incomplete short right intended for Kendrick Bourne,3.580,2.690
4,1:57,2,15,BUF 30,34,17,Nick Mullens pass complete short left to Jeff Wilson for 5 yards (tackle by Matt Milano),2.690,2.680
4,1:36,3,10,BUF 25,34,17,Nick Mullens pass complete short right to Kendrick Bourne for 11 yards (tackle by Jordan Poyer),2.680,4.650
4,1:14,1,10,BUF 14,34,17,Nick Mullens pass complete short middle to Kendrick Bourne for 9 yards (tackle by Taron Johnson),4.650,5.670
4,0:54,2,1,BUF 5,34,17,Nick Mullens pass incomplete short left intended for Brandon Aiyuk,5.670,4.960
4,0:50,3,1,BUF 5,34,23,"Nick Mullens pass complete short right to Jordan Reed for 5 yards, touchdown",4.960,7.000
4,0:43,,,BUF 15,34,24,Robbie Gould kicks extra point good,0.000,0.000
4,0:43,,,,,,Timeout #2 by Buffalo Bills,,
4,0:43,,,SFO 35,34,24,"Robbie Gould kicks onside 10 yards, returned by Stefon Diggs for no gain",0.000,2.590
4,0:42,1,10,SFO 45,34,24,Josh Allen kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
