Quarter,Time,Down,ToGo,Location,OAK,MIN,Detail,EPB,EPA
1,5:39,3,8,OAK 33,0,0,"Christian Ponder pass complete short right to Percy Harvin for 9 yards (tackle by Tyvon Branch). Penalty on Tyvon Branch: Face Mask (15 Yards), 12 yards",2.280,4.780
1,5:23,1,10,OAK 12,0,6,"Adrian Peterson up the middle for 12 yards, touchdown",4.780,7.000
1,,,,OAK 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 35,0,7,"Ryan Longwell kicks off 66 yards, returned by Taiwan Jones for 46 yards (tackle by Eric Frampton)",0.000,1.930
1,5:07,1,10,OAK 45,0,7,Michael Bush right tackle for 2 yards (tackle by Tyrell Johnson),1.930,1.650
1,4:36,2,8,OAK 47,0,7,Carson Palmer pass incomplete short right intended for Darrius Heyward-Bey,1.650,0.960
1,4:31,3,8,OAK 47,0,7,Carson Palmer pass complete short left to Michael Bush for 10 yards (tackle by Cedric Griffin),0.960,2.720
1,4:01,1,10,MIN 43,0,7,Michael Bush up the middle for 9 yards (tackle by E.J. Henderson),2.720,3.390
1,3:38,2,1,MIN 34,0,7,Marcel Reece right tackle for 20 yards (tackle by Jamarca Sanford),3.390,4.650
1,3:07,1,10,MIN 14,0,7,Michael Bush up the middle for -4 yards (tackle by Kevin Williams),4.650,3.480
1,2:27,2,14,MIN 18,0,7,Carson Palmer up the middle for 4 yards (tackle by Jared Allen and Chad Greenway),3.480,3.110
1,1:41,3,10,MIN 14,0,7,Carson Palmer pass complete short right to Kevin Boss for 3 yards (tackle by E.J. Henderson and Benny Sapp),3.110,2.700
1,1:01,4,7,MIN 11,3,7,Sebastian Janikowski 29 yard field goal good,2.700,3.000
1,,,,OAK 35,3,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
1,0:57,1,10,MIN 20,3,7,"Christian Ponder sacked by Desmond Bryant for -6 yards. Christian Ponder fumbles (forced by Desmond Bryant), ball out of bounds at MIN-10",0.280,-1.510
1,0:57,2,20,MIN 10,3,7,Adrian Peterson up the middle for 12 yards (tackle by Michael Huff),-1.510,-0.690
1,0:14,3,8,MIN 22,3,7,Christian Ponder for 28 yards,-0.690,2.260
Quarter,Time,Down,ToGo,Location,OAK,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,,3,7,Christian Ponder pass complete deep middle to Percy Harvin for 24 yards (tackle by Aaron Curry),2.260,3.840
2,14:20,1,10,OAK 26,3,7,Percy Harvin left guard for 3 yards (tackle by Desmond Bryant),3.840,3.700
2,13:47,2,7,OAK 23,3,7,Toby Gerhart up the middle for 2 yards (tackle by Michael Huff),3.700,3.270
2,13:12,3,5,OAK 21,3,7,Christian Ponder pass incomplete deep right intended for Percy Harvin is intercepted by Matt Giordano at OAK-5 and returned for 42 yards (tackle by Jim Kleinsasser),3.270,-2.060
2,13:00,1,10,OAK 47,3,7,"Carson Palmer pass complete deep middle to Darrius Heyward-Bey for 31 yards (tackle by Mistral Raymond). Penalty on Jared Veldheer: Offensive Holding, 10 yards (no play)",2.060,1.400
2,12:37,1,20,OAK 37,3,7,Michael Bush left guard for -1 yards (tackle by E.J. Henderson),1.400,0.030
2,12:11,2,21,OAK 36,3,7,Carson Palmer pass complete deep middle to Brandon Myers for 21 yards (tackle by Jamarca Sanford),0.030,2.720
2,11:37,1,10,MIN 43,3,7,"Penalty on Letroy Guion: Defensive Offside, 5 yards (no play)",2.720,3.450
2,11:13,1,5,MIN 38,3,7,Michael Bush left guard for 6 yards (tackle by Chad Greenway),3.450,3.450
2,10:34,1,10,MIN 32,3,7,"Carson Palmer pass incomplete deep right intended for Denarius Moore. Penalty on Cedric Griffin: Defensive Offside, 5 yards (no play)",3.450,4.180
2,10:29,1,5,MIN 27,3,7,Carson Palmer pass complete short right to Denarius Moore for 14 yards (tackle by Asher Allen),4.180,4.710
2,9:57,1,10,MIN 13,3,7,Carson Palmer pass complete short left to Brandon Myers for 2 yards (tackle by Asher Allen),4.710,4.390
2,9:20,2,8,MIN 11,3,7,Carson Palmer pass incomplete short left intended for Marcel Reece,4.390,3.450
2,9:16,,,,3,7,Timeout #1 by Oakland Raiders,0.000,3.450
2,9:16,3,8,MIN 11,9,7,"Carson Palmer pass complete short right to Chaz Schilens for 11 yards, touchdown",3.450,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,MIN 2,10,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,10,7,"Sebastian Janikowski kicks off 55 yards, returned by Marcus Sherels for 35 yards (tackle by Jerome Boyd)",0.000,1.930
2,8:59,1,10,MIN 45,10,7,Christian Ponder pass complete short right to Visanthe Shiancoe for 5 yards (tackle by Tommy Kelly),1.930,2.060
2,8:25,2,5,,10,7,Toby Gerhart up the middle for 2 yards (tackle by Kamerion Wimbley and John Henderson),2.060,1.620
2,7:49,3,3,OAK 48,10,7,"Penalty on Joe Berger: False Start, 5 yards (no play)",1.620,0.960
2,7:34,3,8,MIN 47,10,7,Christian Ponder right end for 17 yards (tackle by Matt Giordano),0.960,3.180
2,6:48,1,10,OAK 36,10,7,Christian Ponder pass complete short right to Percy Harvin for 3 yards (tackle by Lito Sheppard),3.180,3.040
2,5:59,2,7,OAK 33,10,7,Christian Ponder pass complete short right to Greg Camarillo for 4 yards (tackle by Stanford Routt),3.040,2.870
2,5:24,3,3,OAK 29,10,7,Percy Harvin left guard for -2 yards (tackle by Michael Huff),2.870,1.350
2,4:51,4,5,OAK 31,10,7,Chris Kluwe up the middle for -12 yards (tackle by Tyvon Branch),1.350,-1.800
2,4:42,1,10,OAK 43,10,7,Michael Bush up the middle for 3 yards (tackle by Chad Greenway),1.800,1.660
2,4:10,2,7,OAK 46,10,7,Michael Bush left end for 28 yards (tackle by Jamarca Sanford),1.660,3.840
2,3:54,1,10,MIN 26,10,7,Carson Palmer pass incomplete deep right intended for Denarius Moore,3.840,3.300
2,3:50,2,10,MIN 26,10,7,Taiwan Jones right guard for 2 yards (tackle by Chad Greenway),3.300,2.870
2,3:12,3,8,MIN 24,10,7,Carson Palmer pass complete short right to Darrius Heyward-Bey for 9 yards (tackle by Chad Greenway and Tyrell Johnson),2.870,4.580
2,2:33,1,10,MIN 15,10,7,Taiwan Jones left end for 1 yard (tackle by Cedric Griffin),4.580,4.110
2,2:00,2,9,MIN 14,10,7,Carson Palmer pass complete short middle to Marcel Reece for 12 yards (tackle by Tyrell Johnson),4.110,6.740
2,1:23,1,2,MIN 2,16,7,"Michael Bush up the middle for 2 yards, touchdown",6.740,7.000
2,,,,MIN 2,17,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,17,7,"Sebastian Janikowski kicks off 61 yards, returned by Lorenzo Booker for 15 yards. Lorenzo Booker fumbles",0.000,-4.510
2,1:14,1,10,MIN 16,17,7,Michael Bush right tackle for 4 yards (tackle by Chad Greenway and Jamarca Sanford),4.510,4.570
2,0:41,2,6,MIN 12,17,7,Carson Palmer pass complete short middle to Kevin Boss for 11 yards (tackle by E.J. Henderson),4.570,6.970
2,0:22,,,,17,7,Timeout #2 by Oakland Raiders,0.000,6.970
2,0:22,1,1,MIN 1,17,7,Carson Palmer up the middle for no gain,6.970,5.910
2,0:12,,,,17,7,Timeout #3 by Oakland Raiders,0.000,5.910
2,0:12,2,1,MIN 1,23,7,"Carson Palmer up the middle for 1 yard, touchdown",5.910,7.000
2,,,,MIN 2,24,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,24,7,"Sebastian Janikowski kicks off 57 yards, returned by Lorenzo Booker for 20 yards (tackle by Richard Gordon)",0.000,0.810
2,0:02,1,10,MIN 28,24,7,Christian Ponder kneels for -1 yards,0.810,0.130
Quarter,Time,Down,ToGo,Location,OAK,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,24,7,"Ryan Longwell kicks off 69 yards, returned by Bryan McCann for 22 yards (tackle by Ryan D'Imperio)",0.000,0.040
3,14:55,1,10,OAK 18,24,7,Marcel Reece left tackle for 11 yards (tackle by Tyrell Johnson),0.040,0.870
3,14:18,1,10,OAK 29,24,7,Michael Bush right tackle for -1 yards (tackle by Kevin Williams),0.870,0.190
3,13:37,2,11,OAK 28,24,7,Carson Palmer sacked by Brian Robison for -6 yards,0.190,-1.290
3,13:02,3,17,OAK 22,24,7,Michael Bush right tackle for 10 yards (tackle by Chad Greenway),-1.290,-1.240
3,12:25,4,7,OAK 32,24,7,"Shane Lechler punts 51 yards, returned by Marcus Sherels for 6 yards (tackle by Darryl Blackstock). Penalty on Demarcus Van Dyke: Unsportsmanlike Conduct, 15 yards",-1.240,-1.470
3,12:13,1,10,MIN 38,24,7,Christian Ponder pass incomplete short left intended for Visanthe Shiancoe,1.470,0.920
3,12:09,2,10,MIN 38,24,7,Toby Gerhart up the middle for 8 yards (tackle by Lamarr Houston and Aaron Curry),0.920,1.290
3,11:37,3,2,MIN 46,24,7,Christian Ponder pass complete short left to Toby Gerhart for 7 yards (tackle by Matt Giordano),1.290,2.460
3,11:10,1,10,OAK 47,24,7,Christian Ponder sacked by Lito Sheppard for -3 yards. Penalty on Joe Berger: Offensive Holding (Declined),2.460,1.510
3,10:50,2,13,,24,7,Toby Gerhart left end for no gain (tackle by Tyvon Branch),1.510,0.830
3,10:24,3,13,,24,7,"Christian Ponder pass complete short right to Kyle Rudolph for 15 yards (tackle by Tyvon Branch). Penalty on Kyle Rudolph: Illegal Shift, 5 yards (no play)",0.830,0.170
3,10:03,3,18,MIN 45,24,7,Christian Ponder pass incomplete short left intended for Michael Jenkins,0.170,-0.390
3,10:00,4,18,MIN 45,24,7,"Chris Kluwe punts 50 yards, returned by Denarius Moore for no gain",-0.390,0.380
3,9:47,1,10,OAK 5,24,7,Michael Bush right guard for 3 yards (tackle by E.J. Henderson and Chad Greenway),-0.380,-0.560
3,9:10,2,7,OAK 8,24,7,Michael Bush right tackle for 4 yards (tackle by E.J. Henderson),-0.560,-0.600
3,8:31,3,3,OAK 12,24,7,Michael Bush right guard for 1 yard (tackle by Fred Evans and Jamarca Sanford),-0.600,-2.490
3,7:49,4,2,OAK 13,24,7,"Shane Lechler punts 64 yards, returned by Marcus Sherels for 15 yards",-2.490,-1.470
3,7:34,1,10,MIN 38,24,7,Christian Ponder pass incomplete short left intended for Michael Jenkins (defended by Lito Sheppard),1.470,0.920
3,7:30,2,10,MIN 38,24,7,Christian Ponder sacked by Desmond Bryant for -3 yards,0.920,-0.160
3,7:01,3,13,MIN 35,24,7,Christian Ponder pass complete short left to Michael Jenkins for 7 yards (tackle by Lito Sheppard),-0.160,-0.590
3,6:20,4,6,MIN 42,24,7,"Chris Kluwe punts 38 yards, returned by Denarius Moore for 34 yards (tackle by Greg Camarillo)",-0.590,-2.520
3,6:02,1,10,MIN 46,24,7,Carson Palmer pass incomplete short left intended for Brandon Myers,2.520,1.980
3,5:59,2,10,MIN 46,24,7,Marcel Reece left end for -6 yards (tackle by Fred Evans),1.980,0.500
3,5:21,3,16,OAK 48,24,7,Carson Palmer pass complete short middle to Michael Bush for 10 yards (tackle by Benny Sapp),0.500,0.460
3,4:34,4,6,MIN 42,24,7,"Shane Lechler punts 42 yards, touchback",0.460,-0.280
3,4:26,1,10,MIN 20,24,7,Christian Ponder pass incomplete short left intended for Michael Jenkins is intercepted by Tommy Kelly at MIN-25 and returned for 1 yard (tackle by Michael Jenkins),0.280,-3.970
3,4:18,1,10,MIN 24,24,7,Carson Palmer pass complete short left to Kevin Boss for 7 yards (tackle by Cedric Griffin),3.970,4.460
3,3:54,2,3,MIN 17,24,7,Michael Bush right tackle for 2 yards (tackle by Kevin Williams and Jared Allen),4.460,4.170
3,3:21,3,1,MIN 15,24,7,Michael Bush right tackle for 3 yards (tackle by Brian Robison),4.170,4.780
3,2:42,1,10,MIN 12,24,7,Michael Bush right end for 8 yards (tackle by Chad Greenway),4.780,5.600
3,2:42,2,2,MIN 4,24,7,"Penalty on Khalif Barnes: False Start, 5 yards (no play)",5.600,4.640
3,1:40,2,7,MIN 9,24,7,Michael Bush up the middle for 1 yard (tackle by Chad Greenway and Kevin Williams),4.640,3.930
3,1:00,3,6,MIN 8,24,7,Carson Palmer pass incomplete short middle intended for Kevin Boss,3.930,2.960
3,0:55,4,6,MIN 8,27,7,Sebastian Janikowski 26 yard field goal good,2.960,3.000
3,,,,OAK 35,27,7,"Sebastian Janikowski kicks off 65 yards, returned by Lorenzo Booker for 28 yards (tackle by Michael Mitchell)",0.000,0.810
3,0:44,1,10,MIN 28,27,7,Toby Gerhart up the middle for 4 yards (tackle by John Henderson),0.810,0.800
3,0:15,2,6,MIN 32,27,7,Christian Ponder pass incomplete deep left intended for Kyle Rudolph,0.800,0.100
3,0:08,3,6,MIN 32,27,7,Christian Ponder pass complete deep left to Devin Aromashodu for 42 yards (tackle by Matt Giordano). Penalty on Michael Huff: Illegal Use of Hands (Declined),0.100,3.840
Quarter,Time,Down,ToGo,Location,OAK,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,OAK 26,27,13,"Christian Ponder pass complete short left to Percy Harvin for 26 yards, touchdown",3.840,7.000
4,,,,OAK 2,27,14,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 35,27,14,"Ryan Longwell kicks off 65 yards, returned by Bryan McCann for 36 yards (tackle by Ryan Longwell)",0.000,1.330
4,14:44,1,10,OAK 36,27,14,Carson Palmer pass incomplete deep right intended for Chaz Schilens,1.330,0.790
4,14:39,2,10,OAK 36,27,14,Carson Palmer pass complete short left to Darrius Heyward-Bey for 10 yards (tackle by Mistral Raymond and Cedric Griffin),0.790,1.990
4,14:03,1,10,OAK 46,27,14,Michael Bush right end for 1 yard (tackle by Everson Griffen),1.990,1.590
4,13:31,2,9,OAK 47,27,14,Carson Palmer pass complete deep middle to Darrius Heyward-Bey for 20 yards (tackle by Asher Allen). Penalty on Asher Allen: Defensive Holding (Declined),1.590,3.380
4,13:06,1,10,MIN 33,27,14,Michael Bush up the middle for 3 yards (tackle by Everson Griffen and Kevin Williams),3.380,3.240
4,12:41,2,7,MIN 30,27,14,Carson Palmer sacked by Kevin Williams for -5 yards,3.240,1.880
4,12:03,3,12,MIN 35,27,14,Carson Palmer pass complete short middle to Darrius Heyward-Bey for 4 yards (tackle by Cedric Griffin),1.880,1.320
4,11:20,4,8,MIN 31,27,14,"Sebastian Janikowski 49 yard field goal no good, blocked by Letroy Guion",1.320,-1.600
4,11:13,1,10,MIN 40,27,14,Christian Ponder pass incomplete,1.600,1.050
4,11:07,2,10,MIN 40,27,14,Percy Harvin right end for 8 yards (tackle by Tyvon Branch),1.050,1.420
4,10:36,3,2,MIN 48,27,14,Christian Ponder pass incomplete short middle intended for Kyle Rudolph (defended by Tommy Kelly),1.420,-0.190
4,10:32,4,2,MIN 48,27,14,"Christian Ponder pass incomplete short left intended for Michael Jenkins. Penalty on Lito Sheppard: Defensive Pass Interference, 7 yards (no play)",-0.190,2.590
4,10:28,1,10,OAK 45,27,14,"Penalty on Visanthe Shiancoe: False Start, 5 yards (no play)",2.590,2.260
4,10:28,1,15,,27,14,"Christian Ponder for 17 yards. Penalty on Rolando McClain: Illegal Contact, 5 yards",2.260,3.710
4,10:07,1,10,OAK 28,27,14,Christian Ponder pass incomplete short left intended for Devin Aromashodu,3.710,3.170
4,10:03,2,10,OAK 28,27,14,"Toby Gerhart left end for -2 yards (tackle by Lito Sheppard). Penalty on Desmond Bryant: Unnecessary Roughness, 15 yards",3.170,4.580
4,9:38,1,10,OAK 15,27,14,"Christian Ponder sacked for 0 yards. Penalty on Michael Mitchell: Defensive Holding, 5 yards (no play)",4.580,4.910
4,9:17,1,10,OAK 10,27,14,Toby Gerhart up the middle for 4 yards (tackle by John Henderson and Rolando McClain),4.910,4.950
4,8:38,2,6,OAK 6,27,14,Christian Ponder pass complete short right to Percy Harvin for 1 yard (tackle by Stanford Routt),4.950,4.260
4,8:18,3,5,OAK 5,27,14,Christian Ponder pass incomplete short right intended for Devin Aromashodu is intercepted by Stanford Routt,4.260,-0.280
4,8:10,1,10,OAK 20,27,14,Michael Bush right end for 3 yards (tackle by Remi Ayodele and Kevin Williams),0.280,0.140
4,7:31,2,7,OAK 23,27,14,Michael Bush right end for 8 yards (tackle by Chad Greenway and Brian Robison),0.140,1.000
4,6:47,1,10,OAK 31,27,14,Michael Bush up the middle for 13 yards (tackle by Tyrell Johnson),1.000,1.860
4,6:05,1,10,OAK 44,27,14,"Michael Bush up the middle for -6 yards. Michael Bush fumbles, recovered by Brian Robison at OAK-38 (tackle by Jared Veldheer)",1.860,-3.050
4,5:58,1,10,OAK 38,27,14,Christian Ponder pass complete deep middle to Visanthe Shiancoe for 37 yards (tackle by Kamerion Wimbley and Tyvon Branch),3.050,6.970
4,5:12,1,1,OAK 1,27,20,"Christian Ponder pass complete short right to Kyle Rudolph for 1 yard, touchdown",6.970,7.000
4,,,,OAK 2,27,21,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 35,27,21,"Ryan Longwell kicks off 68 yards, returned by Denarius Moore for 20 yards (tackle by Marcus Sherels). Penalty on Darryl Blackstock: Offensive Holding, 8 yards",0.000,-0.380
4,5:01,1,10,OAK 9,27,21,Marcel Reece up the middle for 13 yards (tackle by Tyrell Johnson and Chad Greenway),-0.380,0.410
4,4:20,1,10,OAK 22,27,21,"Michael Bush left guard for 1 yard (tackle by Fred Evans and Jamarca Sanford). Penalty on Kevin Williams: Defensive Holding, 5 yards",0.410,0.810
4,4:15,1,10,OAK 28,27,21,"Carson Palmer pass incomplete short left intended for Louis Murphy. Penalty on Cedric Griffin: Illegal Contact, 5 yards (no play)",0.810,1.140
4,4:10,1,10,OAK 33,27,21,Marcel Reece right tackle for 2 yards (tackle by Chad Greenway),1.140,0.860
4,3:59,,,,27,21,Timeout #1 by Minnesota Vikings,0.000,0.860
4,3:59,2,8,OAK 35,27,21,Carson Palmer pass complete short right to Marcel Reece for 4 yards (tackle by Kenny Onatolu),0.860,0.700
4,3:44,,,,27,21,Timeout #2 by Minnesota Vikings,0.000,0.700
4,3:44,3,4,OAK 39,27,21,Carson Palmer sacked by E.J. Henderson for -9 yards,0.700,-1.370
4,3:11,4,13,OAK 30,27,21,"Shane Lechler punts 47 yards, returned by Marcus Sherels for 6 yards (tackle by Tyvon Branch)",-1.370,-0.870
4,3:01,1,10,MIN 29,27,21,Christian Ponder pass incomplete short left intended for Jim Kleinsasser (defended by Rolando McClain),0.870,0.330
4,2:56,2,10,MIN 29,27,21,Christian Ponder pass complete short left to Michael Jenkins for 15 yards (tackle by Lito Sheppard),0.330,1.860
4,2:35,1,10,MIN 44,27,21,Christian Ponder pass incomplete short right intended for Devin Aromashodu,1.860,1.320
4,2:29,2,10,MIN 44,27,21,Christian Ponder pass complete short right to Michael Jenkins for 2 yards (tackle by Rolando McClain),1.320,0.890
4,2:06,3,8,MIN 46,27,21,Christian Ponder sacked by Tommy Kelly for 0 yards,0.890,-0.320
4,1:58,4,8,MIN 46,27,21,Christian Ponder pass incomplete short middle intended for Percy Harvin,-0.320,-2.520
4,1:52,1,10,MIN 46,27,21,Michael Bush right guard for 4 yards (tackle by Kevin Williams),2.520,2.520
4,1:45,,,,27,21,Timeout #3 by Minnesota Vikings,0.000,2.520
4,1:45,2,6,MIN 42,27,21,Michael Bush right guard for -1 yards (tackle by Fred Evans),2.520,1.680
4,1:00,,,,27,21,Timeout #1 by Oakland Raiders,0.000,1.680
4,1:00,3,7,MIN 43,27,21,Michael Bush left tackle for 3 yards (tackle by E.J. Henderson),1.680,0.590
4,1:00,4,4,MIN 40,27,21,"Penalty on Shane Lechler: Delay of Game, 5 yards (no play)",0.590,0.270
4,0:13,4,9,MIN 45,27,21,Shane Lechler punts 34 yards,0.270,-0.480
4,0:02,1,10,MIN 23,27,21,"Christian Ponder pass complete short right to Michael Jenkins for 6 yards. Michael Jenkins fumbles, recovered by Aaron Curry at MIN-29 (tackle by Christian Ponder)",0.480,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
