Quarter,Time,Down,ToGo,Location,PHI,LAC,Detail,EPB,EPA
2,5:53,2,3,PHI 32,13,7,Carson Wentz pass incomplete deep right intended for Alshon Jeffery (defended by Casey Hayward),1.010,0.300
2,5:46,3,3,PHI 32,13,7,Carson Wentz pass complete short left to Wendell Smallwood for 12 yards (tackle by Trevor Williams),0.300,1.860
2,5:18,1,10,PHI 44,13,7,Carson Wentz pass complete short left to Zach Ertz for 19 yards (tackle by Jahleel Addae),1.860,3.120
2,4:55,1,10,LAC 37,13,7,Wendell Smallwood middle for 2 yards (tackle by Chris McCain),3.120,2.840
2,4:26,2,8,LAC 35,13,7,Carson Wentz pass incomplete short middle intended for Zach Ertz (defended by Casey Hayward),2.840,2.150
2,4:20,3,8,LAC 35,13,7,Carson Wentz pass incomplete short right intended for Zach Ertz,2.150,0.970
2,4:13,4,8,LAC 35,16,7,Jake Elliott 53 yard field goal good,0.970,3.000
2,4:08,,,PHI 35,16,7,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
2,4:08,1,10,LAC 25,16,7,Philip Rivers pass incomplete short left intended for Tyrell Williams,0.610,0.060
2,4:03,2,10,LAC 25,16,7,Philip Rivers sacked by Beau Allen for -5 yards,0.060,-1.290
2,3:31,3,15,LAC 20,16,7,Philip Rivers pass complete short left to Austin Ekeler for 12 yards (tackle by Rasul Douglas),-1.290,-1.240
2,3:05,4,3,LAC 32,16,7,"Drew Kaser punts 53 yards, returned by Kenjon Barner for 13 yards (tackle by Austin Ekeler)",-1.240,-0.810
2,2:52,1,10,PHI 28,16,7,LeGarrette Blount middle for 12 yards (tackle by Desmond King and Jatavis Brown),0.810,1.600
2,2:17,1,10,PHI 40,16,7,LeGarrette Blount middle for 1 yard (tackle by Hayes Pullard),1.600,1.190
2,2:00,2,9,PHI 41,16,7,Carson Wentz pass incomplete short right intended for Wendell Smallwood,1.190,0.500
2,1:56,3,9,PHI 41,16,7,"Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Casey Hayward). Penalty on Joey Bosa: Defensive Offside, 5 yards (no play)",0.500,1.160
2,1:50,3,4,PHI 46,16,7,Carson Wentz left end for 3 yards (tackle by Jatavis Brown),1.160,0.000
2,1:05,,,,,,Timeout #1 by Philadelphia Eagles,0.000,0.130
2,1:04,4,1,PHI 49,16,7,"Donnie Jones punts 41 yards, returned by Travis Benjamin for 3 yards (tackle by Dexter McDougle)",-0.130,0.320
2,0:56,1,10,LAC 13,16,7,Philip Rivers pass complete short right to Tyrell Williams for 6 yards (tackle by Jordan Hicks),-0.320,0.030
2,0:39,2,4,LAC 19,16,7,Philip Rivers pass incomplete short middle intended for Melvin Gordon,0.030,-0.710
2,0:36,3,4,LAC 19,16,7,Philip Rivers pass complete short left to Keenan Allen for 49 yards (tackle by Nigel Bradham),-0.710,0.000
2,0:27,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-3.450
2,0:27,1,10,PHI 32,16,7,"Penalty on Brandon Graham: Neutral Zone Infraction, 5 yards (no play)",3.450,4.180
2,0:27,1,5,PHI 27,16,7,Philip Rivers pass complete short left to Keenan Allen for 10 yards (tackle by Malcolm Jenkins),4.180,0.000
2,0:22,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-4.440
2,0:21,1,10,PHI 17,16,7,Philip Rivers pass incomplete deep left intended for Keenan Allen,4.440,3.850
2,0:14,2,10,PHI 17,16,7,Philip Rivers pass complete short right to Tyrell Williams for 7 yards (tackle by Jordan Hicks and Patrick Robinson),3.850,4.340
2,0:04,3,3,PHI 10,16,7,Philip Rivers pass incomplete short right intended for Keenan Allen,4.340,0.000
2,0:04,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-2.860
2,0:04,4,3,PHI 10,16,10,Younghoe Koo 28 yard field goal good,2.860,3.000
Quarter,Time,Down,ToGo,Location,PHI,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,16,10,"Younghoe Koo kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,PHI 25,16,10,Wendell Smallwood left end for 2 yards (tackle by Trevor Williams),0.610,0.330
3,14:21,2,8,PHI 27,16,10,Carson Wentz pass incomplete short right intended for Alshon Jeffery (defended by Casey Hayward),0.330,-0.360
3,14:17,3,8,PHI 27,16,10,Wendell Smallwood right end for 7 yards (tackle by Nigel Harris),-0.360,-1.110
3,13:49,4,1,PHI 34,16,10,"Donnie Jones punts 53 yards, muffed catch by Travis Benjamin, recovered by Travis Benjamin and returned for no gain",-1.110,0.350
3,13:39,1,10,LAC 12,16,10,Melvin Gordon middle for 1 yard (tackle by Jordan Hicks and Mychal Kendricks),-0.350,-0.700
3,13:09,2,9,LAC 13,16,10,Philip Rivers pass complete short right to Hunter Henry for 12 yards (tackle by Malcolm Jenkins and Jalen Mills),-0.700,0.610
3,12:36,1,10,LAC 25,16,10,Melvin Gordon right tackle for -4 yards (tackle by Patrick Robinson),0.610,-0.480
3,11:55,2,14,LAC 21,16,10,Philip Rivers pass incomplete deep right intended for Keenan Allen (defended by Jalen Mills),-0.480,-1.150
3,11:49,3,14,LAC 21,16,10,Philip Rivers pass complete short middle to Tyrell Williams for 20 yards (tackle by Jordan Hicks),-1.150,1.660
3,11:01,1,10,LAC 41,16,10,Melvin Gordon left tackle for 4 yards (tackle by Nigel Bradham),1.660,1.660
3,10:23,2,6,LAC 45,16,10,Philip Rivers pass complete short left to Dontrelle Inman for 7 yards (tackle by Patrick Robinson),1.660,2.390
3,9:48,1,10,PHI 48,16,10,Philip Rivers pass incomplete,2.390,1.850
3,9:39,2,10,PHI 48,16,10,Melvin Gordon middle for 1 yard (tackle by Rasul Douglas),1.850,1.290
3,9:01,3,9,PHI 47,16,10,"Philip Rivers pass incomplete deep right intended for Travis Benjamin (defended by Rodney McLeod). Penalty on Chris Long: Defensive Offside, 5 yards (no play)",1.290,1.950
3,8:53,3,4,PHI 42,16,10,"Penalty on Spencer Pulley: False Start, 5 yards (no play)",1.950,1.290
3,8:53,3,9,PHI 47,16,10,Philip Rivers pass complete short left to Branden Oliver for 2 yards (tackle by Malcolm Jenkins),1.290,0.270
3,8:53,4,7,PHI 45,16,10,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",0.270,-0.060
3,7:56,4,12,,16,10,"Drew Kaser punts 40 yards, returned by Kenjon Barner for 1 yard (tackle by Austin Ekeler)",-0.060,0.370
3,7:46,1,10,PHI 11,16,10,Carson Wentz pass incomplete short middle intended for Zach Ertz (defended by Jahleel Addae),-0.370,-0.780
3,7:43,2,10,PHI 11,16,10,Carson Wentz pass complete deep right to Zach Ertz for 38 yards (tackle by Jatavis Brown),-0.780,2.190
3,6:56,1,10,PHI 49,16,10,Carson Wentz pass complete short left to Nelson Agholor for 8 yards (tackle by Hayes Pullard and Jahleel Addae),2.190,2.730
3,6:14,2,2,LAC 43,16,10,Carson Wentz pass incomplete deep right intended for Marcus Johnson (defended by Casey Hayward),2.730,2.010
3,6:05,3,2,LAC 43,16,10,Corey Clement left guard for 1 yard (tackle by Tenny Palepoi),2.010,0.460
3,5:38,4,1,LAC 42,16,10,Carson Wentz middle for 1 yard (tackle by Damion Square),0.460,2.850
3,5:03,1,10,LAC 41,16,10,Carson Wentz pass incomplete short left intended for Wendell Smallwood,2.850,2.310
3,4:59,2,10,LAC 41,16,10,LeGarrette Blount middle for 2 yards (tackle by Corey Liuget),2.310,1.880
3,4:18,3,8,LAC 39,16,10,Carson Wentz pass complete short middle to Alshon Jeffery for 13 yards (tackle by Tre Boston and Jahleel Addae),1.880,3.840
3,3:31,1,10,LAC 26,16,10,"Wendell Smallwood right end for 5 yards (tackle by Jahleel Addae). Penalty on Lane Johnson: Offensive Holding, 10 yards (no play)",3.840,3.180
3,3:03,1,20,LAC 36,16,10,Carson Wentz pass complete short right to Zach Ertz for 7 yards (tackle by Desmond King),3.180,2.890
3,2:27,2,13,LAC 29,16,10,Wendell Smallwood left end for -3 yards (tackle by Chris McCain and Kyle Emanuel),2.890,1.820
3,1:44,3,16,LAC 32,16,10,LeGarrette Blount middle for 3 yards (tackle by Joey Bosa),1.820,1.500
3,1:01,4,13,LAC 29,19,10,Jake Elliott 47 yard field goal good,1.500,3.000
3,0:55,,,PHI 35,19,10,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
3,0:55,1,10,LAC 25,19,10,Philip Rivers pass incomplete short right intended for Antonio Gates,0.610,0.060
3,0:50,2,10,LAC 25,19,10,"Philip Rivers pass incomplete short right intended for Branden Oliver. Penalty on Brandon Graham: Defensive Holding, 5 yards (no play)",0.060,0.940
3,0:44,1,10,LAC 30,19,10,Philip Rivers pass complete short left to Tyrell Williams for 7 yards (tackle by Mychal Kendricks),0.940,1.340
3,0:07,2,3,LAC 37,19,10,"Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Rasul Douglas). Penalty on Rasul Douglas: Defensive Pass Interference, 10 yards (no play)",1.340,2.060
3,0:03,1,10,LAC 47,19,10,Branden Oliver middle for 6 yards (tackle by Rodney McLeod and Mychal Kendricks),2.060,2.330
Quarter,Time,Down,ToGo,Location,PHI,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,PHI 47,19,10,Philip Rivers pass incomplete short right intended for Keenan Allen,2.330,1.620
4,14:53,3,4,PHI 47,19,10,Philip Rivers pass complete short right to Keenan Allen for 8 yards (tackle by Patrick Robinson),1.620,2.980
4,14:20,1,10,PHI 39,19,10,Philip Rivers pass complete short middle to Antonio Gates for 4 yards (tackle by Jalen Mills),2.980,2.980
4,13:50,2,6,PHI 35,19,16,"Austin Ekeler middle for 35 yards, touchdown",2.980,7.000
4,13:42,,,PHI 15,19,17,Younghoe Koo kicks extra point good,0.000,0.000
4,13:42,,,LAC 35,19,17,"Younghoe Koo kicks off 65 yards, touchback",0.000,-0.610
4,13:42,1,10,PHI 25,19,17,Corey Clement right end for 4 yards (tackle by Joey Bosa),0.610,0.600
4,13:05,2,6,PHI 29,19,17,LeGarrette Blount middle for 68 yards (tackle by Hayes Pullard),0.600,6.510
4,12:32,1,3,LAC 3,19,17,LeGarrette Blount middle for 1 yard (tackle by Joey Bosa),6.510,5.720
4,11:50,2,2,LAC 2,19,17,"LeGarrette Blount middle for no gain (tackle by Jahleel Addae and Darius Philon). Penalty on Darius Philon: Defensive Offside, 1 yards (no play)",5.720,5.910
4,11:22,2,1,LAC 1,19,17,LeGarrette Blount left end for -4 yards (tackle by Tenny Palepoi),5.910,4.260
4,10:39,3,5,LAC 5,19,17,"Carson Wentz sacked by Desmond King for -10 yards. Penalty on Darius Philon: Illegal Use of Hands, 3 yards (no play)",4.260,6.740
4,10:13,1,2,LAC 2,19,17,LeGarrette Blount left end for -1 yards (tackle by Melvin Ingram and Brandon Mebane),6.740,5.530
4,9:26,2,3,LAC 3,19,17,Carson Wentz pass incomplete short right intended for Nelson Agholor (defended by Desmond King),5.530,4.720
4,9:18,3,3,LAC 3,25,17,"Wendell Smallwood middle for 3 yards, touchdown",4.720,7.000
4,9:14,,,LAC 15,26,17,Jake Elliott kicks extra point good,0.000,0.000
4,9:14,,,PHI 35,26,17,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
4,9:14,1,10,LAC 25,26,17,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Jordan Hicks and Jalen Mills),0.610,1.280
4,8:47,2,1,LAC 34,26,17,Philip Rivers pass complete short middle to Antonio Gates for 5 yards (tackle by Jordan Hicks),1.280,1.530
4,8:16,1,10,LAC 39,26,17,Philip Rivers pass incomplete short right intended for Hunter Henry,1.530,0.990
4,8:10,2,10,LAC 39,26,17,Philip Rivers pass incomplete short middle intended for Travis Benjamin,0.990,0.300
4,8:06,3,10,LAC 39,26,17,Philip Rivers pass complete short middle to Keenan Allen for 50 yards (tackle by Malcolm Jenkins),0.300,4.840
4,7:26,1,10,PHI 11,26,17,"Philip Rivers pass complete short right to Travis Benjamin for 2 yards (tackle by Jordan Hicks). Penalty on Vinny Curry: Unnecessary Roughness, 5 yards, Penalty on Jalen Mills: Defensive Holding (Declined)",4.840,6.280
4,6:53,1,4,PHI 4,26,17,Philip Rivers pass incomplete short right intended for Antonio Gates,6.280,5.340
4,6:48,2,4,PHI 4,26,23,"Philip Rivers pass complete short middle to Hunter Henry for 4 yards, touchdown",5.340,7.000
,,,,,,,"LAC challenged the pass completion ruling, and the original play was overturned.",,
4,6:44,,,PHI 15,26,24,Younghoe Koo kicks extra point good,0.000,0.000
4,6:44,,,LAC 35,26,24,"Younghoe Koo kicks off 65 yards, touchback",0.000,-0.610
4,6:44,1,10,PHI 25,26,24,Carson Wentz pass complete short right to Alshon Jeffery for 8 yards (tackle by Jatavis Brown),0.610,1.140
4,6:07,2,2,PHI 33,26,24,Corey Clement right end for 6 yards (tackle by Brandon Mebane),1.140,1.530
4,5:23,1,10,PHI 39,26,24,Wendell Smallwood right tackle for 3 yards (tackle by Joey Bosa and Melvin Ingram),1.530,1.390
4,4:38,2,7,PHI 42,26,24,Carson Wentz pass complete short middle to Zach Ertz for 5 yards (tackle by Jahleel Addae),1.390,1.360
4,3:55,3,2,PHI 47,26,24,Corey Clement middle for 2 yards (tackle by Corey Liuget and Jahleel Addae),1.360,2.190
4,3:10,1,10,PHI 49,26,24,Carson Wentz pass complete short left to Torrey Smith for 9 yards (tackle by Trevor Williams),2.190,2.860
4,2:26,2,1,LAC 42,26,24,Wendell Smallwood middle for no gain (tackle by Jahleel Addae),2.860,0.000
4,2:22,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-2.150
4,2:22,3,1,LAC 42,26,24,Corey Clement middle for 4 yards (tackle by Trevor Williams and Kyle Emanuel),2.150,0.000
4,2:18,,,,,,Timeout #2 by Los Angeles Chargers,0.000,-3.050
4,2:18,1,10,LAC 38,26,24,LeGarrette Blount right tackle for 3 yards (tackle by Damion Square and Jahleel Addae),3.050,2.910
4,2:00,2,7,LAC 35,26,24,LeGarrette Blount left end for 6 yards (tackle by Tre Boston),2.910,0.000
4,1:54,,,,,,Timeout #3 by Los Angeles Chargers,0.000,-3.010
4,1:54,3,1,LAC 29,26,24,LeGarrette Blount middle for 15 yards (tackle by Melvin Ingram),3.010,4.650
4,1:08,1,10,LAC 14,26,24,Carson Wentz kneels for -1 yards,4.650,3.850
4,0:36,2,11,LAC 15,26,24,Carson Wentz kneels for -1 yards,3.850,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
