Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
2,,,,PIT 30,10,7,"Jeff Reed kicks off 65 yards, returned by ReShard Lee for 18 yards (tackle by James Harrison)",0.000,0.480
2,4:33,1,10,DAL 23,10,7,"Penalty on Antonio Bryant: False Start, 5 yards (no play)",0.480,0.000
2,4:33,1,15,DAL 18,10,7,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,0.000,-0.840
2,4:29,2,15,DAL 18,10,7,Richie Anderson right end for 2 yards (tackle by Clark Haggans),-0.840,-1.150
2,3:50,3,13,DAL 20,10,7,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,-1.150,-2.030
2,3:45,4,13,DAL 20,10,7,"Mat McBriar punts 51 yards, fair catch by Antwaan Randle El",-2.030,-0.870
2,3:38,1,10,PIT 29,10,7,Ben Roethlisberger pass complete to Jerame Tuman for 9 yards (tackle by Tyrone Williams),0.870,1.540
2,3:05,2,1,PIT 38,10,7,Duce Staley left tackle for 4 yards (tackle by Alshermond Singleton),1.540,1.730
2,2:26,1,10,PIT 42,10,7,Ben Roethlisberger sacked by Tyrone Williams for -3 yards,1.730,0.780
2,2:00,2,13,PIT 39,10,7,Ben Roethlisberger pass incomplete intended for Jerame Tuman,0.780,0.100
2,1:56,3,13,PIT 39,10,7,Ben Roethlisberger pass complete to Jerame Tuman for -1 yards (tackle by La'Roi Glover). Penalty on Alan Faneca: Offensive Holding (Declined),0.100,-0.850
2,1:48,4,14,PIT 38,10,7,"Chris Gardocki punts 46 yards, fair catch by Dedric Ward",-0.850,0.140
2,1:39,1,10,DAL 16,10,7,Vinny Testaverde pass complete to Richie Anderson for 8 yards (tackle by Clark Haggans),-0.140,0.550
2,1:17,2,2,DAL 24,10,7,"Vinny Testaverde pass incomplete. Penalty on Vinny Testaverde: Intentional Grounding, 10 yards",0.550,-1.610
2,1:17,3,12,DAL 14,10,7,"Penalty on Flozell Adams: False Start, 5 yards (no play)",-1.610,-2.240
2,1:17,3,17,DAL 9,10,7,Richie Anderson up the middle for 18 yards (tackle by Ricardo Colclough),-2.240,0.740
2,1:11,1,10,DAL 27,10,7,"Penalty on Joey Porter: Neutral Zone Infraction, 5 yards (no play)",0.740,1.470
2,1:10,1,5,DAL 32,10,7,ReShard Lee up the middle for -1 yards (tackle by James Farrior),1.470,0.740
2,1:04,,,,10,7,Timeout #1 by Dallas Cowboys,0.000,0.740
2,1:04,2,6,DAL 31,10,7,Vinny Testaverde pass complete to Jason Witten for 15 yards (tackle by Chris Hope),0.740,1.990
2,0:42,1,10,DAL 46,10,7,Vinny Testaverde pass complete to Antonio Bryant for 22 yards (tackle by Chris Hope),1.990,3.450
2,0:39,,,,10,7,Timeout #2 by Dallas Cowboys,0.000,3.450
2,0:39,1,10,PIT 32,10,7,Richie Anderson up the middle for 4 yards (tackle by Aaron Smith),3.450,3.440
2,0:25,2,6,PIT 28,10,7,Vinny Testaverde spiked the ball,3.440,2.740
2,0:25,3,6,PIT 28,10,7,Vinny Testaverde pass incomplete intended for Jason Witten (defended by Troy Polamalu),2.740,1.610
2,0:20,4,6,PIT 28,10,10,Billy Cundiff 47 yard field goal good,1.610,3.000
2,,,,DAL 30,10,10,"Billy Cundiff kicks off 59 yards, returned by Antwaan Randle El for 10 yards (tackle by Lynn Scott)",0.000,0.340
2,0:08,1,10,PIT 21,10,10,Ben Roethlisberger for -1 yards,0.340,-0.340
Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,10,10,"Billy Cundiff kicks off 65 yards, returned by Ike Taylor for 14 yards (tackle by Keith Davis). Ike Taylor fumbles (forced by Keith Davis), recovered by Antwaan Randle El at PIT-15",0.000,-0.220
3,14:50,1,10,PIT 15,10,10,Duce Staley up the middle for 4 yards (tackle by Tony Dixon),-0.220,-0.110
3,14:14,2,6,PIT 19,10,10,Duce Staley right tackle for 1 yard (tackle by Alshermond Singleton and La'Roi Glover),-0.110,-0.760
3,13:32,3,5,PIT 20,10,10,"Ben Roethlisberger pass incomplete intended for Plaxico Burress. Penalty on Terence Newman: Illegal Contact, 5 yards (no play)",-0.760,0.610
3,13:27,1,10,PIT 25,10,10,Duce Staley right tackle for 3 yards (tackle by Terence Newman),0.610,0.470
3,12:46,2,7,PIT 28,10,10,Duce Staley up the middle for 5 yards (tackle by Alshermond Singleton),0.470,0.430
3,12:07,3,2,PIT 33,10,10,Antwaan Randle El right end for no gain (tackle by Bradie James),0.430,-1.180
3,11:46,4,2,PIT 33,10,10,"Chris Gardocki punts 42 yards, fair catch by Dedric Ward",-1.180,-0.610
3,11:40,1,10,DAL 25,10,10,Vinny Testaverde pass complete to Terry Glenn for 7 yards (tackle by Willie J. Williams),0.610,1.010
3,11:02,2,3,DAL 32,10,10,Eddie George up the middle for 7 yards (tackle by Troy Polamalu),1.010,1.530
3,10:24,1,10,DAL 39,10,10,Eddie George left tackle for 4 yards (tackle by Deshea Townsend),1.530,1.530
3,9:43,2,6,DAL 43,10,10,Vinny Testaverde pass complete to Keyshawn Johnson for 12 yards (tackle by Willie J. Williams),1.530,2.590
3,9:13,,,,10,10,Timeout #1 by Dallas Cowboys,0.000,2.590
3,9:13,1,10,PIT 45,10,10,Eddie George up the middle for 1 yard (tackle by Joey Porter),2.590,2.180
3,8:36,2,9,PIT 44,10,10,Vinny Testaverde sacked by Deshea Townsend for -8 yards,2.180,0.430
3,7:56,3,17,DAL 48,10,10,Vinny Testaverde pass complete to Terry Glenn for 20 yards (tackle by Chris Hope),0.430,3.450
3,7:16,1,10,PIT 32,10,10,Dedric Ward left end for 11 yards (tackle by Willie J. Williams),3.450,4.170
3,6:32,1,10,PIT 21,10,10,Vinny Testaverde pass incomplete intended for Richie Anderson,4.170,3.630
3,6:28,2,10,PIT 21,10,10,Richie Anderson left tackle for 1 yard (tackle by Troy Polamalu),3.630,3.070
3,5:48,3,9,PIT 20,10,10,Vinny Testaverde pass incomplete intended for Richie Anderson (defended by Russell Stuvaints),3.070,2.120
3,5:39,4,9,PIT 20,10,13,Billy Cundiff 39 yard field goal good,2.120,3.000
3,,,,DAL 30,10,13,"Billy Cundiff kicks off 59 yards, returned by Ike Taylor for 18 yards (tackle by Keith O'Neil)",0.000,0.870
3,5:33,1,10,PIT 29,10,13,Ben Roethlisberger pass incomplete intended for Hines Ward,0.870,0.330
3,5:28,2,10,PIT 29,10,13,"Duce Staley up the middle for 8 yards (tackle by Dat Nguyen). Penalty on Jeff Hartings: Offensive Holding, 10 yards (no play)",0.330,-1.080
3,5:00,2,20,PIT 19,10,13,Duce Staley left tackle for 11 yards (tackle by Tony Dixon and Terence Newman),-1.080,-0.230
3,4:25,,,,10,13,Timeout #1 by Pittsburgh Steelers,0.000,-0.230
3,4:25,3,9,PIT 30,10,13,Ben Roethlisberger pass incomplete intended for Plaxico Burress,-0.230,-1.370
3,4:20,4,9,PIT 30,10,13,"Chris Gardocki punts 47 yards, returned by Dedric Ward for 9 yards (tackle by Verron Haynes)",-1.370,-1.070
3,4:11,1,10,DAL 32,10,13,Vinny Testaverde pass complete to Terry Glenn for 48 yards,1.070,4.240
3,3:42,1,10,PIT 20,10,13,ReShard Lee right end for -2 yards (tackle by Casey Hampton),4.240,3.420
3,3:03,2,12,PIT 22,10,19,"Vinny Testaverde pass complete to Keyshawn Johnson for 22 yards, touchdown. Penalty on Willie J. Williams: Illegal Contact (Declined)",3.420,7.000
3,,,,PIT 2,10,20,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,DAL 30,10,20,"Billy Cundiff kicks off 61 yards, returned by Ricardo Colclough for 17 yards (tackle by Bradie James)",0.000,0.670
3,2:53,1,10,PIT 26,10,20,Duce Staley left end for 4 yards (tackle by Dat Nguyen),0.670,0.670
3,2:14,2,6,PIT 30,10,20,Ben Roethlisberger up the middle for 9 yards (tackle by Terence Newman),0.670,1.530
3,1:26,1,10,PIT 39,10,20,Ben Roethlisberger pass complete to Hines Ward for 7 yards,1.530,1.930
3,0:58,2,3,PIT 46,10,20,Ben Roethlisberger pass complete to Hines Ward for 5 yards (tackle by Terence Newman),1.930,2.320
3,0:15,1,10,DAL 49,10,20,Ben Roethlisberger pass complete to Jay Riemersma for 14 yards (tackle by Alshermond Singleton),2.320,3.250
Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 35,10,20,Ben Roethlisberger pass complete to Hines Ward for 11 yards (tackle by Terence Newman),3.250,3.970
4,14:42,1,10,DAL 24,10,20,Ben Roethlisberger pass complete to Hines Ward for 4 yards (tackle by Nate Jones),3.970,3.970
4,14:02,2,6,DAL 20,10,20,Ben Roethlisberger pass complete to Duce Staley for 7 yards (tackle by Randal Williams),3.970,4.710
4,13:15,1,10,DAL 13,10,20,Jerome Bettis right end for 2 yards (tackle by Dat Nguyen),4.710,4.390
4,12:30,2,8,DAL 11,10,20,Duce Staley right end for 4 yards (tackle by Tony Dixon),4.390,4.330
4,11:54,3,4,DAL 7,16,20,"Ben Roethlisberger pass complete to Jerame Tuman for 7 yards, touchdown",4.330,7.000
4,,,,DAL 2,17,20,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,17,20,"Jeff Reed kicks off 78 yards, touchback",0.000,0.280
4,11:48,1,10,DAL 20,17,20,Vinny Testaverde pass incomplete intended for Terry Glenn,0.280,-0.270
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
4,11:40,2,10,DAL 20,17,20,Vinny Testaverde sacked by Larry Foote for -6 yards,-0.270,-2.030
4,11:03,3,16,DAL 14,17,20,Vinny Testaverde pass complete to Jason Witten for no gain,-2.030,-2.470
4,10:25,4,16,DAL 14,17,20,"Mat McBriar punts 52 yards, returned by Antwaan Randle El for 6 yards (tackle by Alshermond Singleton). Penalty on Sean Morey: Illegal Block Above the Waist, 10 yards",-2.470,-0.940
4,10:10,1,10,PIT 30,17,20,Antwaan Randle El left tackle for 5 yards (tackle by Alshermond Singleton and Leonardo Carson),0.940,1.070
4,9:33,2,5,PIT 35,17,20,Duce Staley right tackle for 9 yards (tackle by Terence Newman),1.070,1.860
4,9:02,1,10,PIT 44,17,20,Duce Staley up the middle for 6 yards (tackle by Tony Dixon),1.860,2.130
4,8:26,2,4,DAL 50,17,20,"Duce Staley right end for 26 yards (tackle by Tony Dixon). Penalty on Hines Ward: Offensive Holding, 10 yards (no play)",2.130,0.780
4,7:58,2,14,PIT 40,17,20,"Penalty on Marvel Smith: False Start, 5 yards (no play)",0.780,0.100
4,7:35,2,19,PIT 35,17,20,Ben Roethlisberger pass complete to Hines Ward for 5 yards (tackle by Tyrone Williams),0.100,0.100
4,6:42,3,14,PIT 40,17,20,Ben Roethlisberger pass complete to Antwaan Randle El for 11 yards (tackle by Kalen Thornton),0.100,0.000
4,5:54,4,3,DAL 49,17,20,"Chris Gardocki punts 29 yards, fair catch by Dedric Ward",0.000,-0.280
4,5:47,1,10,DAL 20,17,20,Vinny Testaverde pass complete to Terry Glenn for 16 yards (tackle by Chris Hope),0.280,1.330
4,5:05,1,10,DAL 36,17,20,Vinny Testaverde pass complete to Terry Glenn for 6 yards (tackle by Deshea Townsend),1.330,1.600
4,4:20,2,4,DAL 42,17,20,Eddie George right tackle for 1 yard (tackle by Chris Hope),1.600,1.030
4,3:35,3,3,DAL 43,17,20,Vinny Testaverde pass complete to Jason Witten for 13 yards (tackle by Larry Foote),1.030,2.650
4,2:50,1,10,PIT 44,17,20,Eddie George left tackle for no gain (tackle by Deshea Townsend),2.650,2.110
4,2:46,,,,17,20,Timeout #2 by Pittsburgh Steelers,0.000,2.110
4,2:46,2,10,PIT 44,17,20,Terry Glenn right end for -3 yards (tackle by Joey Porter and Clark Haggans),2.110,1.030
4,2:36,,,,17,20,Timeout #3 by Pittsburgh Steelers,0.000,1.030
4,2:36,3,13,PIT 47,17,20,"Vinny Testaverde sacked by James Farrior for -8 yards. Vinny Testaverde fumbles (forced by James Farrior). Penalty on Keyshawn Johnson: Unnecessary Roughness (Offsetting), Penalty on Chris Hope: Taunting (Offsetting)",1.030,-3.970
4,2:20,1,10,DAL 24,17,20,Ben Roethlisberger pass complete to Plaxico Burress for 11 yards (tackle by Terence Newman),3.970,4.710
4,2:20,1,10,DAL 13,17,20,Ben Roethlisberger pass complete to Jerame Tuman for 6 yards (tackle by Dat Nguyen),4.710,5.150
4,2:00,2,4,DAL 7,17,20,Duce Staley right tackle for 5 yards (tackle by Dexter Coakley),5.150,6.740
4,1:14,1,2,DAL 2,17,20,Duce Staley right tackle for no gain (tackle by Dat Nguyen and Bradie James),6.740,5.720
4,0:34,2,2,DAL 2,23,20,"Jerome Bettis left end for 2 yards, touchdown",5.720,7.000
4,,,,DAL 2,24,20,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,24,20,"Jeff Reed kicks off 54 yards, returned by Jacques Reeves for 19 yards (tackle by Chidi Iwuoma)",0.000,1.270
4,0:25,1,10,DAL 35,24,20,Vinny Testaverde pass incomplete intended for Antonio Bryant (defended by Troy Polamalu),1.270,0.720
4,0:20,2,10,DAL 35,24,20,"Penalty on Russell Stuvaints: Illegal Contact, 5 yards (no play)",0.720,1.600
4,0:14,1,10,DAL 40,24,20,Vinny Testaverde pass incomplete intended for Terry Glenn,1.600,1.050
4,0:09,2,10,DAL 40,24,20,"Vinny Testaverde pass complete to Richie Anderson for 10 yards, lateral to Terry Glenn for 20 yards (tackle by Willie J. Williams)",1.050,3.580
4,0:01,,,,24,20,Timeout #3 by Dallas Cowboys,0.000,3.580
4,0:01,1,10,PIT 30,24,20,Vinny Testaverde pass incomplete intended for Keyshawn Johnson (defended by Russell Stuvaints),3.580,3.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
