Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
3,14:03,3,4,HOU 31,6,10,"Deshaun Watson pass complete short right to DeAndre Hopkins for -1 yards (tackle by Anthony Brown). DeAndre Hopkins fumbles (forced by Anthony Brown), recovered by Jourdan Lewis at HOU-30 and returned for 14 yards (tackle by Nick Martin)",0.170,-4.510
3,13:51,1,10,HOU 16,6,10,Dak Prescott pass complete short right to Ezekiel Elliott for 9 yards (tackle by Benardrick McKinney),4.510,5.540
3,13:38,2,1,HOU 7,6,10,Ezekiel Elliott up the middle for -1 yards (tackle by Brandon Dunn),5.540,4.620
3,12:57,3,2,HOU 8,6,10,Dak Prescott pass complete short middle to Ezekiel Elliott for 5 yards (tackle by Tyrann Mathieu),4.620,6.510
3,12:35,1,3,HOU 3,6,10,Ezekiel Elliott up the middle for no gain (tackle by Jadeveon Clowney),6.510,5.530
3,11:57,2,3,HOU 3,12,10,"Dak Prescott pass complete short middle to Allen Hurns for 3 yards, touchdown",5.530,7.000
3,11:52,,,HOU 15,13,10,Brett Maher kicks extra point good,0.000,0.000
3,11:52,,,DAL 35,13,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,11:52,1,10,HOU 25,13,10,Deshaun Watson pass complete short middle to Keke Coutee for 10 yards (tackle by Jeff Heath),0.610,1.270
3,11:29,1,10,HOU 35,13,10,Alfred Blue left tackle for 3 yards (tackle by Leighton Vander Esch),1.270,1.130
3,10:56,2,7,HOU 38,13,10,Deshaun Watson fumbles out of bounds,1.130,-1.150
3,10:21,3,19,HOU 26,13,10,Deshaun Watson pass complete short left to Alfred Blue for 13 yards (tackle by Byron Jones and Joe Thomas),-1.150,-0.780
3,9:37,4,6,HOU 39,13,10,"Trevor Daniel punts 61 yards, touchback.. Penalty on Johnson Bademosi: Illegal Touch Kick",-0.780,-0.280
3,9:26,1,10,DAL 20,13,10,Ezekiel Elliott up the middle for 1 yard (tackle by Zach Cunningham),0.280,-0.130
3,8:50,2,9,DAL 21,13,10,Dak Prescott pass complete short middle to Ezekiel Elliott for 1 yard (tackle by D.J. Reader and Zach Cunningham),-0.130,-0.690
3,8:06,3,8,DAL 22,13,10,Dak Prescott pass short left (defended by Johnathan Joseph) intended for Deonte Thompson is intercepted by Justin Reid at DAL-35 and returned for 6 yards,-0.690,-3.640
3,7:55,1,10,DAL 29,13,10,Deshaun Watson pass complete short left to Alfred Blue for 5 yards (tackle by Jeff Heath),3.640,3.780
3,7:21,2,5,DAL 24,13,10,Alfred Blue left end for -4 yards (tackle by Jaylon Smith),3.780,2.540
3,6:45,,,,,,Timeout #1 by Houston Texans,,
3,6:45,3,9,DAL 28,13,10,Deshaun Watson pass complete short left to Ryan Griffin for 11 yards (tackle by Leighton Vander Esch),2.540,4.440
3,6:24,,,,,,Timeout #1 by Dallas Cowboys,,
3,6:24,1,10,DAL 17,13,10,Deshaun Watson pass complete short left to Ryan Griffin for 13 yards (tackle by Byron Jones and Jeff Heath),4.440,6.280
3,5:47,1,4,DAL 4,13,10,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins (defended by Byron Jones),6.280,5.340
3,5:42,2,4,DAL 4,13,10,Deshaun Watson left end for 1 yard (tackle by Leighton Vander Esch and Randy Gregory),5.340,4.720
3,5:10,3,3,DAL 3,13,10,Deshaun Watson pass incomplete short left intended for Ryan Griffin (defended by Byron Jones),4.720,3.040
3,5:05,4,3,DAL 3,13,13,Ka'imi Fairbairn 21 yard field goal good,3.040,3.000
3,5:02,,,HOU 35,13,13,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,5:02,1,10,DAL 25,13,13,Dak Prescott pass complete short left to Deonte Thompson for 8 yards (tackle by Justin Reid),0.610,1.140
3,4:26,2,2,DAL 33,13,13,Ezekiel Elliott left end for 7 yards (tackle by Benardrick McKinney),1.140,1.600
3,4:02,1,10,DAL 40,13,13,Dak Prescott pass incomplete short left intended for Tavon Austin (defended by Johnathan Joseph),1.600,1.050
3,3:55,2,10,DAL 40,13,13,Ezekiel Elliott left guard for 5 yards (tackle by Kareem Jackson),1.050,1.030
3,3:21,3,5,DAL 45,13,13,Dak Prescott sacked by Jadeveon Clowney and Benardrick McKinney for -5 yards,1.030,-0.720
3,2:42,4,10,DAL 40,13,13,"Chris Jones punts 49 yards, returned by Tyler Ervin for 13 yards (tackle by Joe Thomas and Jeff Heath)",-0.720,-0.540
3,2:31,1,10,HOU 24,13,13,Alfred Blue up the middle for 1 yard (tackle by Antwaun Woods and Tyrone Crawford),0.540,0.130
3,1:55,2,9,HOU 25,13,13,Deshaun Watson pass complete short middle to Keke Coutee for 8 yards (tackle by Xavier Woods),0.130,0.500
3,1:17,3,1,HOU 33,13,13,Deshaun Watson pass incomplete short right intended for Will Fuller (defended by Jaylon Smith),0.500,-1.180
3,1:09,4,1,HOU 33,13,13,"Trevor Daniel punts 52 yards, returned by Tavon Austin for no gain (tackle by Joe Webb)",-1.180,0.220
3,0:57,1,10,DAL 15,13,13,Ezekiel Elliott left tackle for 11 yards (tackle by Benardrick McKinney),-0.220,0.670
3,0:28,1,10,DAL 26,13,13,"Ezekiel Elliott left guard for no gain (tackle by Justin Reid and Shareece Wright). Penalty on Connor Williams: Offensive Holding, 10 yards (no play)",0.670,-0.300
Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,DAL 16,13,13,Dak Prescott pass complete short right to Ezekiel Elliott for 1 yard (tackle by Shareece Wright and Tyrann Mathieu),-0.300,-1.220
4,14:22,2,19,DAL 17,13,13,Dak Prescott up the middle for 11 yards (tackle by Benardrick McKinney),-1.220,-0.300
4,13:49,3,8,DAL 28,13,13,Dak Prescott pass incomplete short right intended for Deonte Thompson,-0.300,-1.500
4,13:41,4,8,DAL 28,13,13,"Chris Jones punts 48 yards, returned by Tyler Ervin for 16 yards (tackle by Geoff Swaim and Leighton Vander Esch)",-1.500,-1.600
4,13:29,1,10,HOU 40,13,13,Deshaun Watson pass complete short left to Keke Coutee for 2 yards (tackle by Byron Jones and Leighton Vander Esch),1.600,1.320
4,12:59,2,8,HOU 42,13,13,Alfred Blue up the middle for 1 yard (tackle by Jaylon Smith and Jeff Heath),1.320,0.760
4,12:22,3,7,HOU 43,13,13,"Deshaun Watson pass complete short left to Alfred Blue for 6 yards (tackle by Anthony Brown and Leighton Vander Esch). Penalty on Randy Gregory: Illegal Use of Hands, 5 yards (no play)",0.760,2.130
4,12:00,1,10,HOU 48,13,13,Deshaun Watson pass complete short right to Will Fuller for 10 yards (tackle by Anthony Brown),2.130,2.790
4,11:20,1,10,DAL 42,13,13,Deshaun Watson pass complete short middle to DeAndre Hopkins for 9 yards (tackle by Xavier Woods),2.790,3.460
4,10:48,2,1,DAL 33,13,13,Alfred Blue up the middle for 5 yards (tackle by Randy Gregory),3.460,3.710
4,10:08,1,10,DAL 28,13,13,"Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins (defended by Byron Jones). Penalty on Byron Jones: Defensive Pass Interference, 27 yards (no play)",3.710,6.970
4,10:01,1,1,DAL 1,13,13,Alfred Blue up the middle for no gain (tackle by Tyrone Crawford),6.970,5.910
4,9:20,2,1,DAL 1,13,13,Deshaun Watson up the middle for no gain (tackle by Tyrone Crawford),5.910,5.170
4,8:39,3,1,DAL 1,13,13,Deshaun Watson pass incomplete short left intended for Ryan Griffin (defended by Jeff Heath),5.170,3.550
4,8:34,4,1,DAL 1,13,16,Ka'imi Fairbairn 19 yard field goal good,3.550,3.000
4,8:31,,,HOU 35,13,16,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
4,8:31,1,10,DAL 25,13,16,Dak Prescott pass complete deep left to Tavon Austin for 44 yards (tackle by Justin Reid),0.610,3.510
4,7:37,1,10,HOU 31,13,16,Ezekiel Elliott right end for -4 yards (tackle by Tyrann Mathieu),3.510,2.430
4,6:49,2,14,HOU 35,13,16,Dak Prescott pass incomplete deep right intended for Michael Gallup,2.430,1.750
4,6:41,3,14,HOU 35,13,16,Dak Prescott pass complete short left to Ezekiel Elliott for 5 yards (tackle by Benardrick McKinney),1.750,1.410
4,5:43,4,9,HOU 30,16,16,Brett Maher 48 yard field goal good,1.410,3.000
4,5:39,,,DAL 35,16,16,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,5:39,1,10,HOU 25,16,16,Alfred Blue right tackle for -7 yards (tackle by Tyrone Crawford),0.610,-0.980
4,5:02,2,17,HOU 18,16,16,Deshaun Watson up the middle for 3 yards (tackle by Jourdan Lewis),-0.980,-1.150
4,4:13,,,,,,Timeout #2 by Houston Texans,,
4,4:13,3,14,HOU 21,16,16,Deshaun Watson pass complete short middle to Jordan Akins for 9 yards (tackle by Jaylon Smith),-1.150,-1.370
4,3:40,4,5,HOU 30,16,16,"Trevor Daniel punts 47 yards, returned by Tavon Austin for 22 yards (tackle by Johnson Bademosi)",-1.370,-1.930
4,3:25,1,10,DAL 45,16,16,Ezekiel Elliott up the middle for 2 yards (tackle by D.J. Reader),1.930,1.650
4,2:46,2,8,DAL 47,16,16,Dak Prescott sacked by J.J. Watt for -9 yards,1.650,-0.230
4,2:00,3,17,DAL 38,16,16,Dak Prescott left end for 7 yards (tackle by Zach Cunningham),-0.230,-0.390
4,1:49,4,10,DAL 45,16,16,"Chris Jones punts 55 yards, touchback.. Penalty on Joe Webb: Offensive Holding, 10 yards",-0.390,0.380
4,1:41,1,10,HOU 10,16,16,Deshaun Watson pass incomplete short right intended for Jordan Akins,-0.380,-0.780
4,1:36,2,10,HOU 10,16,16,Deshaun Watson pass complete short left to Alfred Blue for 6 yards (tackle by Leighton Vander Esch),-0.780,-0.720
4,1:05,3,4,HOU 16,16,16,Deshaun Watson pass complete short left to DeAndre Hopkins for 13 yards (tackle by Byron Jones),-0.720,0.870
4,0:39,1,10,HOU 29,16,16,Deshaun Watson pass complete short left to Alfred Blue for 4 yards (tackle by Byron Jones),0.870,0.870
4,0:34,2,6,HOU 33,16,16,Deshaun Watson pass incomplete deep middle intended for Keke Coutee,0.870,0.170
4,0:27,3,6,HOU 33,16,16,Deshaun Watson pass complete short right to Keke Coutee for 18 yards (tackle by Xavier Woods),0.170,2.320
4,0:20,1,10,DAL 49,16,16,Deshaun Watson pass deep right intended for DeAndre Hopkins is intercepted by Xavier Woods at DAL-32 and returned for 15 yards,2.320,-2.060
4,0:10,1,10,DAL 47,16,16,Dak Prescott pass incomplete short middle intended for Cole Beasley (defended by Kareem Jackson),2.060,1.520
4,0:04,,,,,,Timeout #3 by Houston Texans,,
4,0:04,2,10,DAL 47,16,16,Dak Prescott pass incomplete deep right (defended by DeAndre Hopkins),1.520,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the overtime kickoff.",,
OT,10:00,,,HOU 35,16,16,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,DAL 25,16,16,Ezekiel Elliott left guard for -1 yards (tackle by Kareem Jackson),0.610,-0.070
OT,9:29,2,11,DAL 24,16,16,Dak Prescott pass complete short left to Ezekiel Elliott for 10 yards (tackle by Johnathan Joseph and Brandon Dunn),-0.070,0.560
OT,8:50,3,1,DAL 34,16,16,Ezekiel Elliott up the middle for 4 yards (tackle by Kareem Jackson),0.560,1.470
OT,8:08,1,10,DAL 38,16,16,Dak Prescott pass complete short right to Blake Jarwin for 11 yards (tackle by Tyrann Mathieu),1.470,2.190
OT,7:36,1,10,DAL 49,16,16,Rod Smith right guard for 1 yard (tackle by Benardrick McKinney),2.190,1.780
OT,6:55,2,9,DAL 50,16,16,Dak Prescott pass complete short left to Cole Beasley for 8 yards (tackle by Justin Reid),1.780,2.150
OT,6:23,3,1,HOU 42,16,16,Ezekiel Elliott up the middle for no gain (tackle by Zach Cunningham),2.150,0.460
OT,5:40,4,1,HOU 42,16,16,"Chris Jones punts 32 yards, fair catch by Tyler Ervin at HOU-10",0.460,0.380
OT,5:33,1,10,HOU 10,16,16,Alfred Blue up the middle for 1 yard (tackle by Randy Gregory and Antwaun Woods),-0.380,-0.710
OT,4:57,2,9,HOU 11,16,16,Deshaun Watson pass complete short middle to Alfred Blue for 12 yards (tackle by Leighton Vander Esch),-0.710,0.480
OT,4:28,1,10,HOU 23,16,16,Alfred Blue right tackle for 1 yard (tackle by Antwaun Woods and Jaylon Smith),0.480,0.070
OT,3:47,2,9,HOU 24,16,16,Deshaun Watson pass complete short left to DeAndre Hopkins for 49 yards (tackle by Leighton Vander Esch),0.070,3.780
OT,2:48,,,,,,Timeout #1 by Houston Texans,,
OT,2:48,1,10,DAL 27,16,16,Alfred Blue up the middle for 1 yard (tackle by Leighton Vander Esch),3.780,3.370
OT,2:42,,,,,,Timeout #1 by Dallas Cowboys,,
OT,2:42,2,9,DAL 26,16,16,Alfred Blue left tackle for 8 yards (tackle by Byron Jones),3.370,3.840
OT,2:00,3,1,DAL 18,16,16,Alfred Blue up the middle for no gain (tackle by Leighton Vander Esch),3.840,2.400
OT,1:55,,,,,,Timeout #2 by Dallas Cowboys,,
OT,1:55,4,1,DAL 18,16,19,Ka'imi Fairbairn 36 yard field goal good,2.400,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
