Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
1,6:10,3,17,MIN 31,0,0,Devonta Freeman right guard for 11 yards (tackle by Eric Kendricks),1.820,2.150
1,5:29,4,6,MIN 20,0,3,Matt Bryant 38 yard field goal good,2.150,3.000
1,5:24,,,ATL 35,0,3,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
1,5:24,1,10,MIN 25,0,3,Latavius Murray right tackle for 4 yards (tackle by Keanu Neal),0.610,0.600
1,4:59,2,6,MIN 29,0,3,"Case Keenum pass incomplete deep right intended for Adam Thielen. Penalty on Deion Jones: Defensive Holding, 5 yards (no play)",0.600,1.200
1,4:52,1,10,MIN 34,0,3,Case Keenum pass complete short left to Latavius Murray for no gain,1.200,0.660
1,4:08,2,10,MIN 34,0,3,Case Keenum pass complete short left to C.J. Ham for 12 yards (tackle by Dontari Poe),0.660,1.990
1,3:39,1,10,MIN 46,0,3,Case Keenum pass complete short right to Michael Floyd for 5 yards (tackle by De'Vondre Campbell and Blidi Wreh-Wilson),1.990,2.130
1,3:01,2,5,ATL 49,0,3,Case Keenum pass complete short left to Jerick McKinnon for 10 yards (tackle by Vic Beasley),2.130,2.980
1,2:42,1,10,ATL 39,0,3,Case Keenum pass incomplete deep right intended for Kyle Rudolph (defended by Blidi Wreh-Wilson),2.980,2.440
1,2:36,2,10,ATL 39,0,3,Case Keenum pass incomplete deep right intended for Stefon Diggs,2.440,1.750
1,2:30,3,10,ATL 39,0,3,Case Keenum sacked by Grady Jarrett for -9 yards,1.750,0.070
1,1:42,4,19,ATL 48,0,3,"Ryan Quigley punts 46 yards, out of bounds",0.070,0.380
1,1:33,1,10,ATL 2,0,3,Tevin Coleman right guard for 2 yards (tackle by Harrison Smith). Penalty on Justin Hardy: Illegal Block Above the Waist (Declined),-0.380,-0.630
1,1:04,2,8,ATL 4,0,3,Tevin Coleman right end for 4 yards (tackle by Eric Kendricks),-0.630,-0.720
1,0:17,3,4,ATL 8,0,3,Matt Ryan pass incomplete short middle intended for Mohamed Sanu,-0.720,-2.490
1,0:13,4,4,ATL 8,0,3,"Matthew Bosher punts 45 yards, fair catch by Marcus Sherels",-2.490,-2.060
1,0:05,1,10,MIN 47,0,3,Latavius Murray right tackle for 8 yards (tackle by Deion Jones),2.060,2.600
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,ATL 45,0,3,Jerick McKinnon left tackle for 1 yard (tackle by Keanu Neal and Deion Jones),2.600,2.020
2,14:25,3,1,ATL 44,0,3,C.J. Ham left guard for 1 yard (tackle by Vic Beasley),2.020,2.720
2,13:47,1,10,ATL 43,0,3,Case Keenum pass complete short left to Latavius Murray for 9 yards (tackle by Vic Beasley),2.720,3.390
2,12:58,2,1,ATL 34,0,3,Latavius Murray right guard for no gain (tackle by Deion Jones),3.390,2.680
2,12:12,3,1,ATL 34,0,3,Latavius Murray right guard for 2 yards (tackle by Grady Jarrett),2.680,3.450
2,11:38,1,10,ATL 32,0,3,Latavius Murray left tackle for 30 yards (tackle by Keanu Neal and De'Vondre Campbell),3.450,6.740
2,10:48,1,2,ATL 2,0,3,Jerick McKinnon left end for no gain (tackle by Deion Jones),6.740,5.720
2,10:06,2,2,ATL 2,6,3,"Case Keenum pass complete short right to Jerick McKinnon for 2 yards, touchdown",5.720,7.000
2,10:01,,,ATL 15,7,3,"Penalty on Joe Berger: False Start, 5 yards (no play)",0.000,0.000
2,10:01,,,ATL 20,7,3,Kai Forbath kicks extra point good,0.000,0.000
2,10:01,,,MIN 35,7,3,"Kai Forbath kicks off 72 yards, returned by Andre Roberts for 24 yards (tackle by Andrew Sendejo)",0.000,0.060
2,9:56,1,10,ATL 17,7,3,Matt Ryan pass complete short right to Julio Jones for 13 yards (tackle by Xavier Rhodes),-0.060,0.940
2,9:19,1,10,ATL 30,7,3,Matt Ryan pass complete deep middle to Marvin Hall for 20 yards (tackle by Eric Kendricks),0.940,2.260
2,8:45,1,10,,7,3,Devonta Freeman right end for 10 yards (tackle by Eric Kendricks),2.260,2.920
2,8:05,1,10,MIN 40,7,3,Matt Ryan pass complete short middle to Mohamed Sanu for 17 yards (tackle by Trae Waynes),2.920,4.040
2,7:25,1,10,MIN 23,7,3,Matt Ryan pass incomplete short left intended for Devonta Freeman,4.040,3.500
2,7:18,2,10,MIN 23,7,3,"Penalty on Austin Hooper: False Start, 5 yards (no play)",3.500,2.820
2,7:18,2,15,MIN 28,7,3,Matt Ryan pass complete short left to Tevin Coleman for 2 yards (tackle by Eric Kendricks),2.820,2.410
2,6:32,3,13,MIN 26,7,3,Matt Ryan pass complete short left to Austin Hooper for 8 yards (tackle by Anthony Barr),2.410,2.300
2,5:51,4,5,MIN 18,7,6,Matt Bryant 36 yard field goal good,2.300,3.000
2,5:47,,,ATL 35,7,6,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,5:47,1,10,MIN 25,7,6,Case Keenum pass incomplete deep right intended for Adam Thielen,0.610,0.060
2,5:41,2,10,MIN 25,7,6,Jerick McKinnon for 2 yards (tackle by Robert Alford),0.060,-0.360
2,5:36,3,8,MIN 27,7,6,"Penalty on Takkarist McKinley: Neutral Zone Infraction, 5 yards (no play)",-0.360,0.300
2,4:49,3,3,MIN 32,7,6,Case Keenum sacked by Takkarist McKinley for -11 yards,0.300,-1.960
2,4:00,4,14,MIN 21,7,6,"Ryan Quigley punts 50 yards, returned by Andre Roberts for 3 yards (tackle by C.J. Ham)",-1.960,-1.070
2,3:49,1,10,ATL 32,7,6,Tevin Coleman left end for 6 yards (tackle by Harrison Smith and Eric Kendricks),1.070,1.340
2,3:14,2,4,ATL 38,7,6,Taylor Gabriel left end for 5 yards (tackle by Harrison Smith),1.340,1.800
2,2:34,1,10,ATL 43,7,6,Tevin Coleman right end for 6 yards (tackle by Shamar Stephen),1.800,2.060
2,2:00,2,4,ATL 49,7,6,Matt Ryan pass incomplete deep left intended for Julio Jones,2.060,1.350
2,1:55,3,4,ATL 49,7,6,Matt Ryan pass incomplete short left intended for Marvin Hall (defended by Mackensie Alexander),1.350,-0.130
2,1:52,4,4,ATL 49,7,6,"Matthew Bosher punts 42 yards, fair catch by Marcus Sherels",-0.130,0.380
2,1:44,1,10,MIN 9,7,6,Jerick McKinnon left guard for 1 yard (tackle by Deion Jones),-0.380,-0.710
2,1:09,2,9,MIN 10,7,6,Case Keenum pass complete short middle to Jarius Wright for 13 yards (tackle by Keanu Neal),-0.710,0.000
2,1:03,,,,,,Timeout #2 by Minnesota Vikings,0.000,-0.480
2,1:03,1,10,MIN 23,7,6,Case Keenum pass complete short middle to Jerick McKinnon for 6 yards (tackle by De'Vondre Campbell),0.480,0.740
2,0:42,2,4,MIN 29,7,6,Case Keenum pass complete short right to Kyle Rudolph for 6 yards (tackle by Keanu Neal),0.740,1.270
2,0:25,1,10,MIN 35,7,6,Case Keenum pass incomplete short right intended for Stefon Diggs,1.270,0.720
2,0:20,2,10,MIN 35,7,6,Case Keenum pass complete short middle to Michael Floyd for 15 yards (tackle by Ricardo Allen),0.720,0.000
2,0:12,,,,,,Timeout #3 by Minnesota Vikings,0.000,-2.260
2,0:12,1,10,,7,6,Case Keenum pass complete short middle to Adam Thielen for 19 yards (tackle by Damontae Kazee),2.260,1.000
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,7,6,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,ATL 25,7,6,Matt Ryan pass complete short middle to Levine Toilolo for 9 yards (tackle by Eric Kendricks),0.610,1.280
3,14:27,2,1,ATL 34,7,6,"Devonta Freeman right tackle for 13 yards (tackle by Andrew Sendejo). Penalty on Linval Joseph: Defensive Holding, 5 yards",1.280,2.390
3,13:59,1,10,MIN 48,7,6,Matt Ryan pass complete short left to Mohamed Sanu for 12 yards (tackle by Xavier Rhodes),2.390,3.180
3,13:20,1,10,MIN 36,7,6,Devonta Freeman left end for 4 yards (tackle by Andrew Sendejo and Tom Johnson),3.180,3.180
3,12:39,2,6,MIN 32,7,6,Tevin Coleman for 3 yards (tackle by Everson Griffen),3.180,2.870
3,12:05,3,3,MIN 29,7,6,Matt Ryan pass incomplete short middle intended for Mohamed Sanu,2.870,1.580
,,,,,,,"MIN challenged the pass completion ruling, and the original play was overturned.",,
3,12:01,4,3,MIN 29,7,9,Matt Bryant 47 yard field goal good,1.580,3.000
3,11:57,,,ATL 35,7,9,"Matthew Bosher kicks off 67 yards, returned by Marcus Sherels for 32 yards (tackle by Duke Riley)",0.000,-0.940
3,11:50,1,10,MIN 30,7,9,"Latavius Murray left guard for 6 yards (tackle by Grady Jarrett). Penalty on Rashod Hill: Offensive Holding, 10 yards (no play)",0.940,0.280
3,11:24,1,20,MIN 20,7,9,Latavius Murray right tackle for -2 yards (tackle by Vic Beasley),0.280,-1.330
3,10:41,2,22,MIN 18,7,9,"Case Keenum left end for 2 yards. Penalty on Case Keenum: Illegal Forward Pass, 5 yards",-1.330,-2.840
3,10:33,3,25,MIN 15,7,9,Case Keenum pass complete short right to Jerick McKinnon for 12 yards (tackle by Deion Jones and Ricardo Allen),-2.840,-1.570
3,9:48,4,13,MIN 27,7,9,"Ryan Quigley punts 44 yards, fair catch by Andre Roberts",-1.570,-0.870
3,9:40,1,10,ATL 29,7,9,Matt Ryan pass complete short left to Mohamed Sanu for 14 yards (tackle by Trae Waynes),0.870,1.800
3,9:03,1,10,ATL 43,7,9,Matt Ryan pass incomplete deep left intended for Julio Jones (defended by Andrew Sendejo),1.800,1.250
3,9:00,2,10,ATL 43,7,9,Devonta Freeman right tackle for 2 yards (tackle by Brian Robison). Penalty on Justin Hardy: Illegal Block Above the Waist (Declined),1.250,0.830
3,8:34,3,8,ATL 45,7,9,Matt Ryan pass incomplete deep left intended for Taylor Gabriel,0.830,-0.390
3,8:28,4,8,ATL 45,7,9,"Matthew Bosher punts 45 yards, fair catch by Marcus Sherels. Penalty on Kemal Ishmael: Offensive Holding, 10 yards (no play)",-0.390,-1.040
3,8:20,4,18,ATL 35,7,9,"Matthew Bosher punts 54 yards, fair catch by Marcus Sherels",-1.040,0.370
3,8:11,1,10,MIN 11,7,9,Case Keenum pass complete short left to Adam Thielen for 6 yards (tackle by Ricardo Allen),-0.370,-0.160
3,7:43,2,4,MIN 17,7,9,Case Keenum pass complete short left to Latavius Murray for 12 yards (tackle by Deion Jones),-0.160,0.870
3,7:01,1,10,MIN 29,7,9,Latavius Murray right guard for 1 yard (tackle by Dontari Poe),0.870,0.460
3,6:32,2,9,MIN 30,7,9,Case Keenum pass complete short left to Stefon Diggs for 19 yards (tackle by Ricardo Allen),0.460,2.190
3,5:46,1,10,MIN 49,7,9,Jerick McKinnon left end for 7 yards (tackle by Ricardo Allen),2.190,2.590
3,5:12,2,3,ATL 44,7,9,Latavius Murray left guard for no gain (tackle by Derrick Shelby and De'Vondre Campbell),2.590,1.880
3,4:26,3,3,ATL 44,7,9,Case Keenum pass complete short left to Laquon Treadwell for 9 yards (tackle by Grady Jarrett),1.880,3.250
3,3:59,1,10,ATL 35,7,9,Jerick McKinnon left end for 2 yards (tackle by Takkarist McKinley and De'Vondre Campbell),3.250,2.970
3,3:20,2,8,ATL 33,7,9,Stefon Diggs left end for 5 yards (tackle by De'Vondre Campbell),2.970,0.000
3,2:55,,,,,,Timeout #1 by Atlanta Falcons,0.000,-2.940
3,2:55,3,3,ATL 28,7,9,Case Keenum pass complete short middle to Jarius Wright for 4 yards (tackle by Ricardo Allen),2.940,3.970
3,2:17,1,10,ATL 24,7,9,Latavius Murray right tackle for 6 yards (tackle by Adrian Clayborn),3.970,4.290
3,1:35,2,4,ATL 18,7,9,Latavius Murray right end for 3 yards (tackle by Dontari Poe),4.290,4.170
3,0:53,3,1,ATL 15,7,9,Latavius Murray right guard for 7 yards (tackle by Blidi Wreh-Wilson),4.170,5.370
3,0:26,1,8,ATL 8,7,9,Latavius Murray right guard for 2 yards (tackle by Ahtyba Rubin and Keanu Neal),5.370,4.950
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,ATL 6,13,9,"Case Keenum pass complete short middle to Kyle Rudolph for 6 yards, touchdown",4.950,7.000
4,14:56,,,ATL 15,14,9,Kai Forbath kicks extra point good,0.000,0.000
4,14:56,,,MIN 35,14,9,"Kai Forbath kicks off 63 yards, returned by Andre Roberts for 21 yards (tackle by C.J. Ham)",0.000,-0.480
4,14:47,1,10,ATL 23,14,9,Tevin Coleman left guard for 3 yards (tackle by Harrison Smith),0.480,0.340
4,14:12,2,7,ATL 26,14,9,Matt Ryan pass incomplete deep middle intended for Tevin Coleman,0.340,-0.360
4,14:08,3,7,ATL 26,14,9,Matt Ryan left end for 1 yard (tackle by Anthony Barr),-0.360,-1.570
4,13:27,4,6,ATL 27,14,9,"Matthew Bosher punts 56 yards, returned by Marcus Sherels for 10 yards (tackle by Brooks Reed)",-1.570,-0.740
4,13:15,1,10,MIN 27,14,9,Case Keenum pass complete short middle to Kyle Rudolph for 8 yards (tackle by Ricardo Allen),0.740,1.280
4,12:38,2,2,MIN 35,14,9,Jerick McKinnon left guard for 2 yards (tackle by Grady Jarrett and Keanu Neal),1.280,1.400
4,11:54,1,10,MIN 37,14,9,"Jerick McKinnon right tackle for 2 yards (tackle by Courtney Upshaw). Penalty on Riley Reiff: Chop Block, 15 yards (no play)",1.400,0.410
4,11:31,1,25,MIN 22,14,9,Case Keenum pass complete short left to Jarius Wright for 1 yard (tackle by LaRoy Reynolds),0.410,-1.030
4,11:05,2,24,MIN 23,14,9,Case Keenum pass complete short left to Jerick McKinnon for -2 yards (tackle by Ricardo Allen),-1.030,-1.950
4,10:26,3,26,MIN 21,14,9,Case Keenum pass complete short right to Adam Thielen for 4 yards (tackle by Ricardo Allen and LaRoy Reynolds),-1.950,-1.700
4,9:42,4,22,MIN 25,14,9,"Ryan Quigley punts 51 yards, returned by Andre Roberts for 5 yards (tackle by Anthony Harris)",-1.700,-0.870
4,9:32,1,10,ATL 29,14,9,Devonta Freeman right end for 3 yards (tackle by Danielle Hunter and Trae Waynes),0.870,0.730
4,8:52,2,7,ATL 32,14,9,Devonta Freeman right end for 7 yards (tackle by Harrison Smith),0.730,1.530
4,8:13,1,10,ATL 39,14,9,Matt Ryan pass complete short right to Devonta Freeman for 7 yards (tackle by Anthony Barr),1.530,1.930
4,7:31,2,3,ATL 46,14,9,Devonta Freeman for 10 yards (tackle by Xavier Rhodes),1.930,2.650
4,6:58,1,10,MIN 44,14,9,Matt Ryan pass incomplete short middle intended for Tevin Coleman (defended by Eric Kendricks),2.650,2.110
4,6:49,2,10,MIN 44,14,9,Matt Ryan pass complete short right to Julio Jones for 11 yards (tackle by Xavier Rhodes),2.110,3.380
4,6:08,1,10,MIN 33,14,9,Tevin Coleman left end for no gain (tackle by Xavier Rhodes),3.380,2.840
4,5:28,2,10,MIN 33,14,9,Matt Ryan pass incomplete short middle intended for Julio Jones,2.840,2.150
4,5:23,3,10,MIN 33,14,9,Matt Ryan pass complete short right to Taylor Gabriel for 6 yards,2.150,1.750
4,5:04,4,4,MIN 27,14,9,Matt Bryant 45 yard field goal no good,1.750,-1.270
4,4:58,1,10,MIN 35,14,9,Case Keenum pass complete short right to Kyle Rudolph for 16 yards (tackle by Keanu Neal),1.270,2.320
4,4:10,1,10,ATL 49,14,9,Latavius Murray right guard for 3 yards (tackle by De'Vondre Campbell and Ahtyba Rubin),2.320,0.000
4,4:05,,,,,,Timeout #2 by Atlanta Falcons,0.000,-2.190
4,4:05,2,7,ATL 46,14,9,Jerick McKinnon left end for 3 yards (tackle by Robert Alford),2.190,0.000
4,3:59,,,,,,Timeout #3 by Atlanta Falcons,0.000,-1.880
4,3:59,3,4,ATL 43,14,9,Case Keenum pass complete short right to Adam Thielen for 22 yards (tackle by Ricardo Allen),1.880,4.170
4,3:10,1,10,ATL 21,14,9,Latavius Murray left tackle for 8 yards (tackle by Keanu Neal),4.170,4.950
4,2:30,2,2,ATL 13,14,9,Latavius Murray right end for 3 yards (tackle by Dontari Poe and Damontae Kazee),4.950,4.910
4,2:00,1,10,ATL 10,14,9,Case Keenum kneels for -1 yards,4.910,4.020
4,1:18,2,11,ATL 11,14,9,Case Keenum kneels for -1 yards,4.020,3.100
4,0:34,3,12,ATL 12,14,9,Case Keenum kneels for -1 yards,3.100,2.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
