Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA
2,13:02,2,12,ARI 34,3,7,Kurt Warner pass complete to J.J. Arrington for 5 yards (tackle by Troy Evans and Dunta Robinson),0.520,0.500
2,12:17,3,7,ARI 39,3,7,Kurt Warner pass complete to Anquan Boldin for 13 yards (tackle by Jason Simmons),0.500,2.390
2,11:34,1,10,HOU 48,3,7,Marcel Shipp right guard for 6 yards (tackle by Jerry DeLoach and Glenn Earl),2.390,2.660
2,10:58,2,4,HOU 42,3,7,Kurt Warner pass complete to Anquan Boldin for 22 yards (tackle by Morlon Greenwood),2.660,4.240
2,10:23,1,10,HOU 20,9,7,"Kurt Warner pass complete to Anquan Boldin for 20 yards, touchdown",4.240,7.000
2,,,,HOU 2,10,7,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,10,7,"Nick Novak kicks off 44 yards, returned by Jonathan Wells for 11 yards (tackle by Lamont Reid)",0.000,1.400
2,10:11,1,10,HOU 37,10,7,David Carr pass complete to Donovan Morgan for 9 yards (tackle by David Macklin),1.400,2.070
2,9:55,2,1,HOU 46,10,7,Jonathan Wells left guard for no gain (tackle by Karlos Dansby and Chike Okeafor),2.070,1.360
2,9:26,3,1,HOU 46,10,7,Jonathan Wells left guard for 5 yards (tackle by James Darling and Chike Okeafor),1.360,2.320
2,8:55,1,10,ARI 49,10,7,David Carr pass complete to Jabar Gaffney for 6 yards (tackle by Antrel Rolle),2.320,2.590
2,8:18,2,4,ARI 43,10,7,David Carr pass complete to Andre Johnson for 5 yards (tackle by Lamont Reid),2.590,3.050
2,7:53,1,10,ARI 38,10,7,Jonathan Wells right end for 2 yards (tackle by Chike Okeafor),3.050,2.780
2,7:10,2,8,ARI 36,10,7,Jonathan Wells left end for 2 yards (tackle by James Darling),2.780,2.340
2,6:29,3,6,ARI 34,10,7,David Carr pass complete to Vernand Morency for 9 yards (tackle by James Darling and Robert Griffith),2.340,3.910
2,5:45,1,10,ARI 25,10,7,Vernand Morency left end for no gain (tackle by Orlando Huff),3.910,3.360
2,5:06,2,10,ARI 25,10,13,"Vernand Morency left end for 25 yards, touchdown. Penalty on Vernand Morency: Taunting, 15 yards",3.360,7.000
2,,,,ARI 2,10,14,"Kris Brown kicks extra point good. Penalty on Darnell Dockett: Unnecessary Roughness (Offsetting), Penalty on Chester Pitts: Unsportsmanlike Conduct (Offsetting)",0.000,0.000
2,,,,HOU 15,10,14,"Kris Brown kicks off 65 yards, returned by Reggie Swinton for 25 yards (tackle by Moran Norris). Reggie Swinton fumbles (forced by Moran Norris), recovered by Charlie Anderson at ARI-45 (tackle by Aaron Francisco)",0.000,-2.590
2,4:47,1,10,ARI 45,10,14,Jonathan Wells left guard for 9 yards (tackle by Orlando Huff),2.590,3.260
2,4:18,2,1,ARI 36,10,14,David Carr pass incomplete intended for Corey Bradford,3.260,2.540
2,4:13,3,1,ARI 36,10,14,David Carr pass complete to Andre Johnson for 7 yards (tackle by David Macklin),2.540,3.640
2,3:45,1,10,ARI 29,10,14,David Carr pass incomplete intended for Corey Bradford,3.640,3.100
2,3:39,2,10,ARI 29,10,14,"David Carr pass complete to Corey Bradford for 1 yard (tackle by Quentin Harris). Penalty on Orlando Huff: Unnecessary Roughness, 14 yards",3.100,4.650
2,3:17,1,10,ARI 14,10,14,David Carr pass complete to Jabar Gaffney for 6 yards (tackle by David Macklin),4.650,5.090
2,2:37,2,4,ARI 8,10,14,Jonathan Wells left guard for no gain (tackle by Orlando Huff),5.090,4.280
2,2:00,,,,10,14,Timeout #1 by Houston Texans,0.000,4.280
2,2:00,3,4,ARI 8,10,14,David Carr pass complete to Jabar Gaffney for 5 yards (tackle by Antrel Rolle),4.280,6.510
2,1:55,1,3,ARI 3,10,20,"Jonathan Wells right guard for 3 yards, touchdown",6.510,7.000
2,,,,ARI 2,10,21,Kris Brown kicks extra point good,0.000,0.000
2,,,,HOU 30,10,21,"Kris Brown kicks off 63 yards, returned by Reggie Swinton for 36 yards (tackle by Kris Brown). Penalty on Aaron Francisco: Offensive Holding, 10 yards",,
2,1:42,1,10,ARI 19,10,21,Josh McCown pass complete to Bryant Johnson for 12 yards (tackle by Demarcus Faggins),0.150,1.000
2,1:36,1,10,ARI 31,10,21,Josh McCown pass incomplete intended for LeRon McCoy (defended by Demarcus Faggins),1.000,0.460
2,1:30,2,10,ARI 31,10,21,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Robaire Smith),0.460,-0.230
2,1:25,3,10,ARI 31,10,21,Josh McCown pass incomplete intended for Anquan Boldin is intercepted by Glenn Earl at ARI-40 and returned for 2 yards,-0.230,-3.050
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:18,1,10,ARI 38,10,21,David Carr pass complete to Marcellus Rivers for 5 yards (tackle by Karlos Dansby),3.050,3.180
2,1:13,2,5,ARI 33,10,21,David Carr pass complete to Jonathan Wells for 11 yards (tackle by Karlos Dansby),3.180,4.110
2,0:51,1,10,ARI 22,10,21,Jonathan Wells left guard for 3 yards (tackle by Darnell Dockett),4.110,3.970
2,0:45,,,,10,21,Timeout #2 by Houston Texans,0.000,3.970
2,0:45,2,7,ARI 19,10,21,David Carr pass complete to Corey Bradford for 11 yards (tackle by David Macklin),3.970,5.370
2,0:28,1,8,ARI 8,10,21,David Carr pass incomplete,5.370,4.570
2,0:28,2,8,ARI 8,10,21,David Carr pass complete to Corey Bradford for -1 yards (tackle by Antrel Rolle and Lamont Reid),4.570,3.360
2,0:17,,,,10,21,Timeout #3 by Houston Texans,0.000,3.360
2,0:17,3,9,ARI 9,10,21,David Carr pass incomplete intended for Andre Johnson,3.360,2.830
2,0:12,4,9,ARI 9,10,24,Kris Brown 27 yard field goal good,2.830,3.000
2,,,,HOU 30,10,24,"Kris Brown kicks off 59 yards, returned by Reggie Swinton for 18 yards (tackle by Moran Norris)",0.000,0.940
Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,10,24,"Nick Novak kicks off 41 yards, returned by Jerome Mathis for 11 yards (tackle by Harold Morrow)",,
3,14:52,1,10,HOU 40,10,24,Andre Johnson left end for -2 yards (tackle by Adrian Wilson and David Macklin),1.600,0.780
3,14:12,2,12,HOU 38,10,24,David Carr pass complete to Jabar Gaffney for 19 yards (tackle by Adrian Wilson),0.780,2.720
3,14:03,1,10,ARI 43,10,24,David Carr pass incomplete intended for Andre Johnson (defended by David Macklin),2.720,2.180
3,13:57,2,10,ARI 43,10,24,David Carr pass complete to Andre Johnson for 11 yards (tackle by James Darling),2.180,3.450
3,13:22,1,10,ARI 32,10,24,David Carr pass incomplete intended for Andre Johnson (defended by David Macklin),3.450,2.900
3,13:18,2,10,ARI 32,10,24,David Carr pass complete to Andre Johnson for 9 yards (tackle by Antrel Rolle),2.900,3.400
3,12:34,3,1,ARI 23,10,24,David Carr pass incomplete intended for Jonathan Wells (defended by Antrel Rolle),3.400,2.080
3,12:26,4,1,ARI 23,10,27,Kris Brown 41 yard field goal good,2.080,3.000
3,,,,HOU 30,10,27,"Kris Brown kicks off 71 yards, returned by Reggie Swinton for 21 yards (tackle by Lewis Sanders)",0.000,0.280
3,12:06,1,10,ARI 20,10,27,John Navarre pass complete to Larry Fitzgerald for 3 yards (tackle by Shantee Orr),0.280,0.140
3,11:30,2,7,ARI 23,10,27,John Navarre pass complete to Anquan Boldin for 8 yards (tackle by Dunta Robinson and C.C. Brown),0.140,1.000
3,10:55,1,10,ARI 31,10,27,J.J. Arrington left guard for 2 yards (tackle by Glenn Earl and Gary Walker),1.000,0.730
3,10:15,2,8,ARI 33,10,27,John Navarre pass incomplete intended for Larry Fitzgerald (defended by Dunta Robinson),0.730,0.040
3,10:10,3,8,ARI 33,10,27,"John Navarre pass complete to Larry Fitzgerald for 3 yards (tackle by Troy Evans). John Navarre fumbles (forced by Gary Walker), recovered by John Navarre at ARI-28",0.040,-0.980
3,9:35,4,5,ARI 36,10,27,"Scott Player punts 56 yards, returned by Jerome Mathis for 8 yards (tackle by Harold Morrow)",-0.980,0.140
3,9:21,1,10,HOU 16,10,27,David Carr sacked by Antonio Smith for -7 yards,-0.140,-1.290
3,8:49,2,17,HOU 9,10,27,David Carr pass incomplete intended for Donovan Morgan (defended by David Macklin),-1.290,-2.240
3,8:44,3,17,HOU 9,10,27,David Carr pass incomplete intended for Marcellus Rivers,-2.240,-2.490
3,8:38,4,17,HOU 9,10,27,"Penalty on Troy Evans: False Start, 4 yards (no play)",-2.490,-2.490
3,8:38,4,21,HOU 5,10,27,"Chad Stanley punts 37 yards, returned by Reggie Swinton for 3 yards (tackle by Charlie Anderson). Penalty on David Macklin: Offensive Holding, 10 yards",-2.490,-2.130
3,8:27,1,10,ARI 48,10,27,John Navarre pass incomplete intended for Anquan Boldin (defended by Morlon Greenwood),2.130,1.580
3,8:21,2,10,ARI 48,10,27,John Navarre sacked by Robaire Smith for -4 yards,1.580,0.370
3,7:39,3,14,ARI 44,10,27,John Navarre pass complete to Marcel Shipp for 7 yards (tackle by Dunta Robinson),0.370,0.000
3,7:27,4,7,HOU 49,10,27,Scott Player punts 44 yards,0.000,0.380
3,7:13,1,10,HOU 5,10,27,Jonathan Wells up the middle for 4 yards (tackle by Adrian Wilson),-0.380,-0.490
3,6:34,2,6,HOU 9,10,27,Jonathan Wells up the middle for 5 yards (tackle by Quentin Harris),-0.490,-0.370
3,5:54,3,1,HOU 14,10,27,Jonathan Wells up the middle for -3 yards (tackle by Antonio Smith and Adrian Wilson),-0.370,-2.490
3,5:16,4,4,HOU 11,10,27,"Chad Stanley punts 31 yards, returned by Reggie Swinton for no gain. Penalty on Lance Mitchell: Offensive Holding, 10 yards",-2.490,-2.130
3,5:05,1,10,ARI 48,10,27,J.J. Arrington up the middle for 1 yard (tackle by DaShon Polk and Seth Payne),2.130,1.720
3,4:32,2,9,ARI 49,10,27,John Navarre pass incomplete intended for Larry Fitzgerald (defended by Dunta Robinson),1.720,1.020
3,4:24,3,9,ARI 49,10,27,John Navarre pass incomplete intended for Larry Fitzgerald,1.020,-0.130
3,4:19,4,9,ARI 49,10,27,"Scott Player punts 51 yards, touchback",-0.130,-0.280
3,4:09,1,10,HOU 20,10,27,Jonathan Wells for 5 yards (tackle by Ross Kolodziej),0.280,0.410
3,3:44,2,5,HOU 25,10,27,David Carr pass complete to Marcellus Rivers for 10 yards (tackle by Antrel Rolle),0.410,1.270
3,3:04,1,10,HOU 35,10,27,Jonathan Wells left guard for 5 yards (tackle by Adrian Wilson),1.270,1.400
3,2:20,2,5,HOU 40,10,27,Vernand Morency left tackle for -1 yards (tackle by David Macklin),1.400,0.560
3,1:48,3,6,HOU 39,10,27,"Penalty on Zach Wiegert: False Start, 5 yards (no play)",0.560,-0.100
3,1:40,3,11,HOU 34,10,27,David Carr pass incomplete intended for Andre Johnson is intercepted by Orlando Huff at ARI-47 and returned for 3 yards,-0.100,-2.260
3,1:38,1,10,HOU 50,10,27,John Navarre pass incomplete intended for Eric Edwards,2.260,1.710
3,1:10,2,10,HOU 50,10,27,John Navarre sacked by Jerry DeLoach for -7 yards,1.710,0.100
3,0:45,3,17,ARI 43,10,27,John Navarre pass complete to Larry Fitzgerald for 40 yards (tackle by C.C. Brown),0.100,4.440
3,0:12,1,10,HOU 17,10,27,John Navarre sacked by Seth Payne for -7 yards,4.440,2.950
Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,17,HOU 24,10,27,John Navarre pass incomplete intended for Larry Fitzgerald,2.950,2.280
4,14:55,3,17,HOU 24,10,27,John Navarre pass incomplete intended for Marcel Shipp. Penalty on Adam Haayer: Offensive Holding (Declined),2.280,1.870
4,14:51,,,,10,27,Timeout #1 by Houston Texans,0.000,1.870
4,14:51,4,17,HOU 24,13,27,Neil Rackers 42 yard field goal good,1.870,3.000
4,,,,ARI 30,13,27,"Nick Novak kicks off 55 yards, returned by Jerome Mathis for 21 yards (tackle by Quentin Harris)",0.000,1.330
4,14:40,1,10,HOU 36,13,27,David Carr sacked by Antonio Smith for -4 yards,1.330,0.250
4,14:06,2,14,HOU 32,13,27,Jonathan Wells right guard for 1 yard (tackle by James Darling),0.250,-0.300
4,13:26,3,13,HOU 33,13,27,David Carr pass incomplete intended for Corey Bradford (defended by Quentin Harris),-0.300,-1.180
4,13:21,4,13,HOU 33,13,27,"Chad Stanley punts 53 yards, returned by Reggie Swinton for 6 yards (tackle by Shantee Orr). Penalty on Reggie Swinton: Taunting, 10 yards",-1.180,0.380
4,13:08,1,10,ARI 10,13,27,J.J. Arrington left guard for 3 yards (tackle by Seth Payne),-0.380,-0.560
4,12:31,2,7,ARI 13,13,27,John Navarre pass complete to Adam Bergen for 7 yards (tackle by Dunta Robinson),-0.560,0.280
4,11:48,1,10,ARI 20,13,27,J.J. Arrington right end for 4 yards (tackle by DaShon Polk and Shantee Orr),0.280,0.270
4,11:06,2,6,ARI 24,13,27,John Navarre sacked by Jason Babin for -9 yards,0.270,-1.860
4,10:31,,,,13,27,Timeout #1 by Arizona Cardinals,0.000,-1.860
4,10:31,3,15,ARI 15,13,27,"Penalty on Jason Babin: Neutral Zone Infraction, 5 yards (no play)",-1.860,-0.960
4,10:29,3,10,ARI 20,13,27,John Navarre pass incomplete intended for Anquan Boldin is intercepted by C.C. Brown at ARI-45 and returned for 5 yards,-0.960,-2.920
,,,,,,,"ARI challenged the ruling, and the play was upheld.",,
4,10:20,1,10,ARI 40,13,27,Jonathan Wells left tackle for 5 yards (tackle by Ross Kolodziej),2.920,3.050
4,9:41,2,5,ARI 35,13,27,Jonathan Wells right end for -2 yards (tackle by Tim Bulman),3.050,2.080
4,8:59,3,7,ARI 37,13,27,"David Carr sacked by Ross Kolodziej for -5 yards. David Carr fumbles (forced by Ross Kolodziej), recovered by Karlos Dansby at ARI-42 (tackle by Fred Weary)",2.080,-1.730
4,8:46,1,10,ARI 42,13,27,John Navarre pass complete to Adam Bergen for 2 yards (tackle by Morlon Greenwood),1.730,1.460
4,8:08,2,8,ARI 44,13,27,John Navarre pass complete to Anquan Boldin for 7 yards (tackle by Troy Evans),1.460,1.690
4,7:31,3,1,HOU 49,13,27,Marcel Shipp up the middle for 8 yards (tackle by Demarcus Faggins and C.C. Brown),1.690,2.850
4,6:50,1,10,HOU 41,13,27,John Navarre pass complete to Adam Bergen for 9 yards (tackle by Troy Evans),2.850,3.520
4,6:11,2,1,HOU 32,13,27,"John Navarre pass incomplete intended for Anquan Boldin. Penalty on Travis Johnson: Personal Foul, 14 yards (no play)",3.520,4.370
4,6:07,1,10,HOU 18,13,27,John Navarre pass complete to Larry Fitzgerald for 6 yards (tackle by Troy Evans),4.370,4.810
4,5:36,2,4,HOU 12,19,27,"John Navarre pass complete to Larry Fitzgerald for 12 yards, touchdown",4.810,7.000
4,,,,HOU 2,19,27,Neil Rackers kicks extra point no good,0.000,-1.000
4,,,,ARI 30,19,27,"Nick Novak kicks off 46 yards, returned by Jerome Mathis for 17 yards (tackle by Harold Morrow)",,
4,4:50,1,10,HOU 41,19,27,Jonathan Wells up the middle for -1 yards (tackle by Tim Bulman),1.660,0.990
4,4:25,2,11,HOU 40,19,27,David Carr pass complete to Jabar Gaffney for 3 yards (tackle by Adrian Wilson),0.990,0.700
4,3:40,3,8,HOU 43,19,27,David Carr pass complete to Marcellus Rivers for 5 yards (tackle by Antrel Rolle),0.700,-0.190
4,3:12,4,3,HOU 48,19,27,"Chad Stanley punts 39 yards, fair catch by Reggie Swinton",-0.190,0.320
4,3:05,1,10,ARI 13,19,27,"Penalty on Anquan Boldin: False Start, 5 yards (no play)",-0.320,-0.570
4,3:00,1,15,ARI 8,19,27,John Navarre pass incomplete intended for Larry Fitzgerald,-0.570,-1.150
4,2:52,2,15,ARI 8,19,27,John Navarre pass incomplete intended for Anquan Boldin,-1.150,-2.010
4,2:48,3,15,ARI 8,19,27,"John Navarre pass complete to Obafemi Ayanbadejo for 6 yards (tackle by Jason Babin). Obafemi Ayanbadejo fumbles (forced by Jason Babin), recovered by Jason Simmons at ARI-14 (tackle by Anquan Boldin)",-2.010,-4.650
,,,,,,,"ARI challenged the ruling, and the play was upheld.",,
4,2:33,1,10,ARI 14,19,27,Jonathan Wells right end for 4 yards (tackle by Antrel Rolle),4.650,4.710
4,2:00,2,6,ARI 10,19,27,Jonathan Wells left end for 2 yards (tackle by James Darling),4.710,4.280
4,1:16,3,4,ARI 8,19,27,Jonathan Wells left guard for no gain (tackle by Chike Okeafor and Robert Griffith),4.280,2.980
4,0:29,,,,19,27,Timeout #2 by Houston Texans,0.000,2.980
4,0:29,4,4,ARI 8,19,30,Kris Brown 26 yard field goal good,2.980,3.000
4,,,,HOU 30,19,30,"Kris Brown kicks off 72 yards, returned by Reggie Swinton for 21 yards (tackle by Marcellus Rivers)",0.000,0.150
4,0:21,1,10,ARI 19,19,30,John Navarre pass complete to Larry Fitzgerald for 21 yards (tackle by Dunta Robinson),0.150,1.600
4,0:15,1,10,ARI 40,19,30,John Navarre pass complete to Anquan Boldin for 43 yards (tackle by Dunta Robinson),1.600,4.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
