Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
2,2:00,1,10,ARI 31,17,0,Kurt Warner pass complete short right to Tim Hightower for 5 yards (tackle by Will Peterson and Kevin Hobbs),1.000,1.140
2,1:37,2,5,ARI 36,17,0,Kurt Warner pass complete short middle to Anquan Boldin for 10 yards (tackle by DeAngelo Smith and Ernie Sims),1.140,1.990
2,1:14,1,10,ARI 46,17,0,Kurt Warner pass incomplete deep right intended for Steve Breaston,1.990,1.450
2,1:11,2,10,ARI 46,17,0,Kurt Warner pass complete deep left to Anquan Boldin for 19 yards (tackle by Ernie Sims),1.450,3.250
2,1:01,,,,17,0,Timeout #2 by Arizona Cardinals,0.000,3.250
2,1:01,1,10,DET 35,17,0,Kurt Warner pass incomplete short left intended for Anquan Boldin,3.250,2.700
2,0:58,2,10,DET 35,17,0,Kurt Warner pass complete short middle to Tim Hightower for 6 yards (tackle by DeAngelo Smith and Jordon Dizon),2.700,2.810
2,0:31,3,4,DET 29,17,0,"Kurt Warner pass incomplete deep left intended for Larry Fitzgerald. Penalty on Landon Cohen: Illegal Use of Hands, 5 yards (no play)",2.810,3.970
2,0:24,,,,17,0,Timeout #3 by Arizona Cardinals,0.000,3.970
2,0:24,1,10,DET 24,17,0,Kurt Warner pass incomplete deep middle intended for Larry Fitzgerald,3.970,3.430
2,0:20,2,10,DET 24,17,0,"Kurt Warner sacked by Cliff Avril for -8 yards. Kurt Warner fumbles (forced by Cliff Avril), recovered by Julian Peterson at DET-26 and returned for 1 yards (tackle by Tim Hightower)",3.430,-0.740
2,0:11,1,10,DET 27,17,0,Daunte Culpepper pass complete short left to Dennis Northcutt for 20 yards (tackle by Karlos Dansby),0.740,2.060
2,0:03,,,,17,0,Timeout #2 by Detroit Lions,0.000,2.060
2,0:03,1,10,DET 47,17,0,Daunte Culpepper pass incomplete deep middle intended for Calvin Johnson. Penalty on Gosder Cherilus: Offensive Holding (Declined),2.060,1.520
Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,17,0,"Jason Hanson kicks off 71 yards, muffed catch by LaRod Stephens-Howling, recovered by LaRod Stephens-Howling at ARZ-0, and returned for 10 yards",0.000,-0.380
3,14:54,1,10,ARI 10,17,0,Tim Hightower middle for no gain (tackle by Sammie Lee Hill),-0.380,-0.780
3,14:17,2,10,ARI 10,17,0,Tim Hightower middle for 2 yards (tackle by Grady Jackson),-0.780,-1.190
3,13:37,3,8,ARI 12,17,0,Kurt Warner pass complete deep right to Larry Fitzgerald for 17 yards (tackle by Marvin White),-1.190,0.870
3,13:04,1,10,ARI 29,17,0,"Beanie Wells left end for -1 yards (tackle by Cliff Avril and Louis Delmas). Penalty on Cliff Avril: Face Mask (15 Yards), 15 yards",0.870,1.800
3,12:42,1,10,ARI 43,17,0,Beanie Wells right end for 2 yards (tackle by Jason Hunter),1.800,1.520
3,11:59,2,8,ARI 45,17,0,Kurt Warner pass incomplete short left intended for Anquan Boldin,1.520,0.830
3,11:55,3,8,ARI 45,17,0,Kurt Warner pass incomplete short left intended for Ben Patrick,0.830,-0.390
3,11:49,4,8,ARI 45,17,0,"Ben Graham punts 44 yards. Penalty on ARI: Offensive 12 On-field, 5 yards",-0.390,0.140
,,,,,,,"DET challenged the too many players on field ruling, and the original play was overturned.",,
3,11:39,1,10,DET 16,17,0,Maurice Morris right tackle for 6 yards (tackle by Chike Okeafor and Adrian Wilson),-0.140,0.280
3,11:00,2,4,DET 22,17,0,Drew Stanton pass complete short left to Bryant Johnson for 5 yards (tackle by Antrel Rolle and Bryant McFadden),0.280,0.740
3,10:25,1,10,DET 27,17,0,Drew Stanton pass complete short left to Maurice Morris for 2 yards (tackle by Chike Okeafor),0.740,0.470
3,9:47,2,8,DET 29,17,0,Maurice Morris right tackle for 4 yards (tackle by Clark Haggans),0.470,0.300
3,9:05,3,4,DET 33,17,0,Drew Stanton pass incomplete deep right intended for Bryant Johnson,0.300,-1.180
3,8:59,4,4,DET 33,17,0,"Nick Harris punts 37 yards, returned by Steve Breaston for -1 yards (tackle by Kalvin Pearson)",-1.180,-0.870
3,8:48,1,10,ARI 29,17,0,Kurt Warner pass complete short left to Ben Patrick for 4 yards (tackle by Phillip Buchanon),0.870,0.870
3,8:11,2,6,ARI 33,17,0,Kurt Warner pass incomplete short right intended for LaRod Stephens-Howling (defended by Ernie Sims),0.870,0.170
3,8:06,3,6,ARI 33,17,0,Kurt Warner pass incomplete short right intended for Anquan Boldin (defended by Marvin White),0.170,-1.180
3,8:02,4,6,ARI 33,17,0,Ben Graham punts 48 yards,-1.180,-0.150
3,7:54,1,10,DET 19,17,0,Drew Stanton pass incomplete deep right intended for Bryant Johnson is intercepted by Dominique Rodgers-Cromartie at DET-35 and returned for 15 yards,0.150,-4.240
3,7:45,1,10,DET 20,17,6,"Kurt Warner pass incomplete deep middle intended for Steve Breaston is intercepted by Louis Delmas and returned for 101 yards, touchdown",4.240,-7.000
3,,,,ARI 2,17,7,Jason Hanson kicks extra point good,0.000,0.000
3,,,,DET 30,17,7,"Jason Hanson kicks off 69 yards, returned by LaRod Stephens-Howling for 19 yards (tackle by Kevin Hobbs). Penalty on Ben Patrick: Offensive Holding, 10 yards",0.000,-0.380
3,7:21,1,10,ARI 10,17,7,Beanie Wells middle for 4 yards (tackle by Marvin White),-0.380,-0.460
3,6:46,2,6,ARI 14,17,7,Jason Wright middle for 5 yards (tackle by DeAngelo Smith),-0.460,-0.370
3,6:08,3,1,ARI 19,17,7,Beanie Wells middle for no gain (tackle by Ernie Sims and Grady Jackson),-0.370,-2.140
3,5:33,4,1,ARI 19,17,7,Ben Graham punts 52 yards (tackle by Rashad Johnson),-2.140,-1.330
3,5:21,1,10,DET 36,17,13,"Maurice Morris left end for 64 yards, touchdown. Penalty on Gabe Watson: Defensive Holding (Declined)",1.330,7.000
3,,,,ARI 2,17,14,"Jason Hanson kicks extra point good. Penalty on Antrel Rolle: Defensive Offside, 5 yards",0.000,0.000
3,,,,DET 35,17,14,"Jason Hanson kicks off 72 yards, touchback",0.000,0.280
3,5:10,1,10,ARI 20,17,14,Kurt Warner pass complete short left to Tim Hightower for 7 yards (tackle by Louis Delmas),0.280,0.680
3,4:35,2,3,ARI 27,17,14,Tim Hightower right tackle for -3 yards (tackle by Ernie Sims),0.680,-0.430
3,3:52,3,6,ARI 24,17,14,Kurt Warner pass incomplete short left intended for Early Doucet,-0.430,-1.770
3,3:48,4,6,ARI 24,17,14,"Ben Graham punts 57 yards, returned by Phillip Buchanon for 18 yards (tackle by Sean Morey)",-1.770,-1.400
3,3:36,1,10,DET 37,17,14,"Penalty on Bryan Robinson: Unsportsmanlike Conduct, 15 yards (no play)",1.400,2.390
3,3:36,1,10,ARI 48,17,14,"Penalty on Bryan Robinson: Unsportsmanlike Conduct, 15 yards (no play)",2.390,3.380
3,3:36,1,10,ARI 33,17,14,Aaron Brown left end for 12 yards (tackle by Chike Okeafor),3.380,4.170
3,2:58,1,10,ARI 21,17,14,Maurice Morris left tackle for 2 yards (tackle by Clark Haggans),4.170,3.900
3,2:21,2,8,ARI 19,17,14,Drew Stanton pass incomplete short right intended for Jake Nordin. Penalty on Jake Nordin: Illegal Motion (Declined),3.900,3.180
3,2:13,3,8,ARI 19,17,14,Drew Stanton pass incomplete deep left intended for Bryant Johnson,3.180,2.180
3,2:08,4,8,ARI 19,17,17,Jason Hanson 37 yard field goal good,2.180,3.000
3,,,,DET 30,17,17,"Jason Hanson kicks off 70 yards, returned by LaRod Stephens-Howling for 25 yards (tackle by Kevin Hobbs)",0.000,0.610
3,1:57,1,10,ARI 25,17,17,Kurt Warner pass complete short right to Dan Kreider for 8 yards (tackle by Ernie Sims),0.610,1.140
3,1:36,2,2,ARI 33,17,17,Beanie Wells right guard for 8 yards (tackle by Marvin White),1.140,1.660
3,1:04,1,10,ARI 41,17,17,Beanie Wells left end for -2 yards (tackle by Louis Delmas and Julian Peterson),1.660,0.850
3,0:23,2,12,ARI 39,17,17,Kurt Warner pass complete short right to Anquan Boldin for 11 yards (tackle by DeAngelo Smith),0.850,1.620
Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,,17,17,Kurt Warner pass complete short right to Tim Hightower for 9 yards (tackle by Larry Foote),1.620,2.850
4,14:34,1,10,DET 41,17,17,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald,2.850,2.310
4,14:26,2,10,DET 41,17,17,Kurt Warner pass complete short middle to Steve Breaston for 23 yards (tackle by DeAngelo Smith),2.310,4.370
4,13:48,1,10,DET 18,23,17,"Beanie Wells right tackle for 18 yards, touchdown",4.370,7.000
4,,,,DET 2,24,17,Mike Nugent kicks extra point good,0.000,0.000
4,,,,ARI 30,24,17,"Mike Nugent kicks off 64 yards, returned by Derrick Williams for 32 yards (tackle by Michael Adams)",0.000,1.470
4,13:33,1,10,DET 38,24,17,Maurice Morris left end for 17 yards (tackle by Antrel Rolle),1.470,2.590
