Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA
2,12:45,1,5,NYJ 5,0,3,Christine Michael left end for 2 yards (tackle by David Harris),6.060,5.530
2,12:04,2,3,NYJ 3,0,3,"Penalty on Luke Willson: False Start, 5 yards (no play)",5.530,4.570
2,11:34,2,8,NYJ 8,6,3,"Russell Wilson pass complete short middle to C.J. Spiller for 8 yards, touchdown",4.570,7.000
2,11:34,,,NYJ 8,7,3,Steven Hauschka kicks extra point good,0.000,0.000
2,11:34,,,SEA 35,7,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
2,11:34,1,10,NYJ 25,7,3,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 14 yards,0.610,1.530
2,11:12,1,10,NYJ 39,7,3,"Matt Forte right end for no gain (tackle by Jeremy Lane and Kam Chancellor). Penalty on Kellen Davis: Offensive Holding, 10 yards (no play)",1.530,0.870
2,10:45,1,20,NYJ 29,7,3,Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall,0.870,-0.360
2,10:40,2,20,NYJ 29,7,3,Ryan Fitzpatrick pass complete short left to Bilal Powell for 7 yards (tackle by Kam Chancellor),-0.360,-0.100
2,10:08,3,13,NYJ 36,7,3,"Ryan Fitzpatrick pass complete short left to Robby Anderson for 5 yards (tackle by K.J. Wright). Penalty on Cassius Marsh: Roughing the Passer, 15 yards",-0.100,2.650
2,9:35,1,10,SEA 44,7,3,"Matt Forte right end for no gain (tackle by DeShawn Shead). Penalty on Brian Winters: Unnecessary Roughness, 15 yards",2.650,0.080
2,9:03,2,25,NYJ 41,7,3,Matt Forte right end for -3 yards (tackle by Bobby Wagner),0.080,-0.960
2,8:25,3,28,NYJ 38,7,3,Bilal Powell left guard for 10 yards (tackle by Jeremy Lane),-0.960,-0.190
2,7:49,4,18,NYJ 48,7,3,"Lac Edwards punts 37 yards, out of bounds",-0.190,0.220
2,7:42,1,10,SEA 15,7,3,Russell Wilson pass complete short left to Jimmy Graham for 20 yards (tackle by Marcus Williams),-0.220,1.270
2,7:10,1,10,SEA 35,7,3,Christine Michael right end for 1 yard (tackle by Marcus Gilchrist),1.270,0.860
2,6:30,2,9,SEA 36,7,3,Russell Wilson pass complete short left to Jermaine Kearse for 10 yards,0.860,1.990
2,5:59,1,10,SEA 46,7,3,Russell Wilson pass complete short left to Christine Michael for 4 yards (tackle by Rontez Miles),1.990,1.990
2,5:30,2,6,,7,3,"Penalty on Germain Ifedi: False Start, 5 yards (no play)",1.990,1.320
2,5:08,2,11,SEA 45,7,3,Christine Michael middle for 9 yards (tackle by Sheldon Richardson),1.320,1.820
2,4:31,3,2,NYJ 46,7,3,Christine Michael left guard for 4 yards (tackle by Muhammad Wilkerson and David Harris),1.820,2.790
2,3:54,1,10,NYJ 42,13,3,"Russell Wilson pass complete deep left to Tanner McEvoy for 42 yards, touchdown",2.790,7.000
2,3:54,,,NYJ 42,14,3,Steven Hauschka kicks extra point good,0.000,0.000
2,3:54,,,SEA 35,14,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
2,3:43,1,10,NYJ 25,14,3,Ryan Fitzpatrick left end for 2 yards (tackle by Michael Bennett),0.610,0.330
2,3:05,2,8,NYJ 27,14,3,"Matt Forte right tackle for 3 yards. Penalty on James Carpenter: Offensive Holding, 10 yards (no play)",0.330,-1.150
2,2:34,2,18,NYJ 17,14,3,Ryan Fitzpatrick pass complete deep left to Charone Peake for 16 yards (tackle by Earl Thomas),-1.150,0.430
2,2:00,3,2,NYJ 33,14,3,Matt Forte left guard for 2 yards (tackle by Frank Clark),0.430,1.270
2,1:24,1,10,NYJ 35,14,3,Ryan Fitzpatrick middle for 3 yards (tackle by Cassius Marsh),1.270,1.130
2,1:04,2,7,NYJ 38,14,3,Ryan Fitzpatrick pass complete short left to Bilal Powell for 18 yards (tackle by Earl Thomas and K.J. Wright),1.130,1.130
2,0:56,2,7,NYJ 38,14,3,Timeout #1 by New York Jets,1.130,2.650
2,0:56,1,10,SEA 44,14,3,Ryan Fitzpatrick pass complete short middle to Quincy Enunwa for 11 yards (tackle by Bobby Wagner),2.650,3.380
2,0:37,1,10,SEA 33,14,3,Ryan Fitzpatrick pass incomplete short left intended for Quincy Enunwa,3.380,2.840
2,0:34,2,10,SEA 33,14,3,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall,2.840,2.150
2,0:30,3,10,SEA 33,14,3,Ryan Fitzpatrick pass complete short left to Bilal Powell for 11 yards (tackle by Richard Sherman),2.150,4.110
2,0:22,1,10,SEA 22,14,3,"Ryan Fitzpatrick pass incomplete short right intended for Robby Anderson. Penalty on Cliff Avril: Defensive Holding, 5 yards (no play)",4.110,4.440
2,0:17,1,10,SEA 17,14,9,"Ryan Fitzpatrick pass complete deep left to Brandon Marshall for 17 yards, touchdown",4.440,7.000
2,0:17,,,SEA 17,14,10,Nick Folk kicks extra point good,0.000,0.000
2,0:17,,,NYJ 35,14,10,"Nick Folk kicks off 42 yards, returned by Cassius Marsh for 7 yards (tackle by Juston Burris)",0.000,-0.940
2,0:08,1,10,SEA 30,14,10,Russell Wilson kneels for -1 yards,0.940,0.260
Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,14,10,"Nick Folk kicks off 65 yards, returned by C.J. Spiller for 22 yards (tackle by Bruce Carter)",0.000,0.410
3,14:55,1,10,SEA 22,14,10,Christine Michael middle for 3 yards (tackle by Darron Lee and Steve McLendon),0.410,0.270
3,14:18,2,7,SEA 25,14,10,Russell Wilson pass complete short left to Christine Michael for 6 yards (tackle by Calvin Pryor),0.270,0.370
3,13:38,3,1,SEA 31,14,10,Christine Michael right end for 8 yards (tackle by Marcus Gilchrist),0.370,1.530
3,12:52,1,10,SEA 39,14,10,Russell Wilson pass complete short left to Jermaine Kearse for 4 yards (tackle by Darrelle Revis),1.530,1.530
3,12:17,2,6,SEA 43,14,10,Russell Wilson left end for -4 yards (tackle by Sheldon Richardson),1.530,0.300
3,11:34,3,10,SEA 39,14,10,Russell Wilson pass complete short right to C.J. Spiller for -3 yards (tackle by Calvin Pryor),0.300,-0.980
3,10:59,4,13,SEA 36,14,10,"Jon Ryan punts 56 yards, fair catch by Jeremy Ross",-0.980,0.380
3,10:52,1,10,NYJ 8,14,10,Matt Forte middle for 1 yard (tackle by Tony McDaniel and Kam Chancellor),-0.380,-0.710
3,10:14,2,9,NYJ 9,14,10,Matt Forte left tackle for 2 yards (tackle by Tony McDaniel and Ahtyba Rubin),-0.710,-1.070
3,9:30,3,7,NYJ 11,14,10,Ryan Fitzpatrick pass complete short left to Bilal Powell for 8 yards (tackle by DeShawn Shead),-1.070,0.150
3,8:44,1,10,NYJ 19,14,10,Ryan Fitzpatrick sacked by Michael Bennett for -4 yards,0.150,-1.000
3,8:01,2,14,NYJ 15,14,10,Ryan Fitzpatrick pass incomplete deep right intended for Braedon Bowman,-1.000,-1.760
3,7:56,3,14,NYJ 15,14,10,Ryan Fitzpatrick pass incomplete short middle intended for Bilal Powell,-1.760,-2.440
3,7:52,4,14,NYJ 15,14,10,"Lac Edwards punts 41 yards, returned by Tyler Lockett for 1 yard (tackle by Marcus Williams)",-2.440,-1.930
3,7:43,1,10,SEA 45,14,10,Russell Wilson pass incomplete deep left intended for Luke Willson,1.930,1.380
3,7:39,2,10,SEA 45,14,10,Russell Wilson pass complete short right to Tyler Lockett for 13 yards (tackle by Marcus Gilchrist),1.380,2.790
3,6:58,1,10,NYJ 42,14,10,Russell Wilson pass complete short right to Jimmy Graham for 12 yards (tackle by Marcus Gilchrist),2.790,3.580
3,6:28,1,10,NYJ 30,14,10,Russell Wilson pass complete short middle to Christine Michael for 7 yards (tackle by Darron Lee),3.580,3.980
3,5:49,2,3,NYJ 23,14,10,Russell Wilson pass complete short middle to Christine Michael for 9 yards (tackle by Rontez Miles and Erin Henderson),3.980,4.650
3,5:11,1,10,NYJ 14,14,10,Christine Michael left end for no gain (tackle by David Harris),4.650,4.000
3,4:28,2,10,NYJ 14,14,10,Russell Wilson pass incomplete short left intended for Jimmy Graham,4.000,3.110
3,4:23,3,10,NYJ 14,14,10,Russell Wilson pass incomplete short left intended for C.J. Spiller,3.110,2.510
3,4:16,4,10,NYJ 14,17,10,Steven Hauschka 33 yard field goal good. Penalty on Muhammad Wilkerson: Defensive Offside (Declined),2.510,3.000
3,4:16,,,SEA 35,17,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
3,4:13,1,10,NYJ 25,17,10,Ryan Fitzpatrick sacked by Bobby Wagner for -6 yards,0.610,-0.810
3,3:33,2,16,NYJ 19,17,10,"Ryan Fitzpatrick pass incomplete deep left intended for Quincy Enunwa. Penalty on Jeremy Lane: Defensive Pass Interference, 22 yards (no play)",-0.810,1.660
3,3:27,1,10,NYJ 41,17,10,Matt Forte middle for 2 yards (tackle by Cliff Avril and Bobby Wagner),1.660,1.390
3,2:49,2,8,NYJ 43,17,10,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall (defended by Earl Thomas),1.390,0.700
3,2:46,3,8,NYJ 43,17,10,Ryan Fitzpatrick pass incomplete deep right intended for Robby Anderson (defended by DeShawn Shead),0.700,-0.520
3,2:37,4,8,NYJ 43,17,10,"Lac Edwards punts 39 yards. Penalty on Steven Terrell: Offensive Holding, 9 yards",-0.520,0.380
3,2:29,1,10,SEA 9,17,10,Christine Michael right tackle for 9 yards (tackle by Calvin Pryor),-0.380,0.140
3,1:47,2,1,SEA 18,17,10,Christine Michael right end for -2 yards (tackle by Jordan Jenkins),0.140,0.140
3,1:10,2,1,SEA 18,17,10,Timeout #1 by Seattle Seahawks,0.140,-0.600
3,1:10,3,3,SEA 16,17,10,Russell Wilson pass incomplete short left intended for Tyler Lockett,-0.600,-2.390
3,1:04,4,3,SEA 16,17,10,"Jon Ryan punts 48 yards, fair catch by Jeremy Ross",-2.390,-1.330
3,0:57,1,10,NYJ 36,17,10,Ryan Fitzpatrick pass complete short middle to Matt Forte for 4 yards (tackle by Bobby Wagner),1.330,1.330
3,0:21,2,6,NYJ 40,17,10,"Matt Forte middle for no gain (tackle by Frank Clark and Tony McDaniel). Penalty on Ryan Clady: Offensive Holding, 10 yards (no play)",1.330,-0.020
Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,NYJ 30,17,10,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 17 yards. Penalty on Richard Sherman: Defensive Pass Interference (Declined),-0.020,2.060
4,14:30,1,10,NYJ 47,17,10,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall is intercepted by Richard Sherman at SEA-39,2.060,-1.530
4,14:27,1,10,SEA 39,17,10,Russell Wilson pass complete short left to Doug Baldwin for 4 yards (tackle by Buster Skrine),1.530,1.530
4,13:41,2,6,SEA 43,17,10,Russell Wilson pass complete deep left to Jimmy Graham for 24 yards (tackle by Darron Lee),1.530,3.380
,,,,,,,"NYJ challenged the pass completion ruling, and the play was upheld.",,
4,13:06,1,10,NYJ 33,17,10,Russell Wilson pass complete deep left to Paul Richardson for 27 yards (tackle by Calvin Pryor),3.380,3.380
4,12:26,1,10,NYJ 33,17,10,Timeout #2 by New York Jets,3.380,5.830
4,12:26,1,6,NYJ 6,23,10,"Russell Wilson pass complete short right to Christine Michael for 6 yards, touchdown",5.830,7.000
4,12:26,,,NYJ 6,24,10,Steven Hauschka kicks extra point good,0.000,0.000
4,12:26,,,SEA 35,24,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
4,12:20,1,10,NYJ 25,24,10,Matt Forte middle for no gain (tackle by Michael Bennett),0.610,0.060
4,11:52,2,10,NYJ 25,24,10,Ryan Fitzpatrick pass complete short left to Charone Peake for 5 yards (tackle by Cliff Avril),0.060,0.040
4,11:26,3,5,NYJ 30,24,10,Ryan Fitzpatrick pass incomplete short left intended for Matt Forte,0.040,-1.370
4,11:22,4,5,NYJ 30,24,10,"Lac Edwards punts 52 yards, returned by Tyler Lockett for 7 yards (tackle by Josh Martin)",-1.370,-0.610
4,11:12,1,10,SEA 25,24,10,Christine Michael middle for -1 yards (tackle by Steve McLendon and Calvin Pryor),0.610,-0.070
4,10:34,2,11,SEA 24,24,10,Russell Wilson pass incomplete short left intended for Jimmy Graham,-0.070,-0.760
4,10:31,3,11,SEA 24,24,10,Russell Wilson pass complete short right to Jimmy Graham for 13 yards (tackle by Juston Burris),-0.760,1.400
4,9:52,1,10,SEA 37,24,10,Russell Wilson pass complete short right to Doug Baldwin for -4 yards (tackle by Muhammad Wilkerson),1.400,0.320
4,9:13,2,14,SEA 33,24,10,"Russell Wilson for 2 yards. Penalty on Darron Lee: Defensive Holding, 5 yards",0.320,1.600
4,8:47,1,10,SEA 40,24,10,Christine Michael right tackle for 2 yards (tackle by Darron Lee),1.600,1.320
4,8:06,2,8,SEA 42,24,10,Christine Michael left guard for 10 yards (tackle by Buster Skrine),1.320,2.390
4,7:25,1,10,NYJ 48,24,10,Christine Michael right tackle for 4 yards (tackle by Muhammad Wilkerson and Darron Lee),2.390,2.390
4,6:44,2,6,NYJ 44,24,10,Alex Collins right end for 1 yard (tackle by Leonard Williams),2.390,2.390
4,5:59,2,6,NYJ 44,24,10,Timeout #2 by Seattle Seahawks,2.390,1.820
4,5:59,3,5,NYJ 43,24,10,Russell Wilson pass incomplete short right intended for Tyler Lockett (defended by Muhammad Wilkerson),1.820,0.400
4,5:56,4,5,NYJ 43,24,10,"Jon Ryan punts 34 yards, fair catch by Jeremy Ross",0.400,0.380
4,5:49,1,10,NYJ 9,24,10,Ryan Fitzpatrick pass incomplete short left intended for Robby Anderson is intercepted by Earl Thomas at NYJ-20,-0.380,-4.240
4,5:42,1,10,NYJ 20,24,10,Russell Wilson pass incomplete deep left intended for Christine Michael,4.240,3.690
4,5:36,2,10,NYJ 20,24,10,C.J. Spiller left guard for -1 yards (tackle by Steve McLendon),3.690,2.870
4,4:55,3,11,NYJ 21,24,10,Russell Wilson sacked by Buster Skrine for -14 yards,2.870,2.870
4,4:08,3,11,NYJ 21,24,10,Timeout #3 by Seattle Seahawks,2.870,0.970
4,4:08,4,25,NYJ 35,27,10,Steven Hauschka 53 yard field goal good,0.970,3.000
4,4:08,,,SEA 35,27,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
4,4:04,1,10,NYJ 25,27,10,Ryan Fitzpatrick pass complete short right to Quincy Enunwa for 6 yards (tackle by Earl Thomas),0.610,0.870
4,3:42,2,4,NYJ 31,27,10,Ryan Fitzpatrick pass complete short left to Quincy Enunwa for 8 yards (tackle by Jeremy Lane),0.870,1.530
4,3:20,1,10,NYJ 39,27,10,Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall,1.530,0.990
4,3:15,2,10,NYJ 39,27,10,Ryan Fitzpatrick pass complete short right to Charone Peake for 9 yards (tackle by Richard Sherman),0.990,1.490
4,2:51,3,1,NYJ 48,27,10,Ryan Fitzpatrick pass incomplete deep right intended for Robby Anderson,1.490,-0.190
4,2:45,4,1,NYJ 48,27,10,Ryan Fitzpatrick pass complete short right to Robby Anderson for 7 yards (tackle by DeShawn Shead),-0.190,2.590
4,2:25,1,10,SEA 45,27,16,"Ryan Fitzpatrick sacked by Cliff Avril for -7 yards. Ryan Fitzpatrick fumbles (forced by Cliff Avril), recovered by Charone Peake at SEA-42 and returned for 42 yards, touchdown",2.590,7.000
4,2:25,,,SEA 45,27,17,Nick Folk kicks extra point good,0.000,0.000
4,2:25,,,NYJ 35,27,17,"Nick Folk kicks onside 18 yards, recovered by Jimmy Graham",0.000,-2.060
4,2:14,1,10,SEA 47,27,17,Christine Michael middle for 6 yards (tackle by Erin Henderson),2.060,2.330
4,2:00,2,4,NYJ 47,27,17,Christine Michael left tackle for no gain (tackle by Darron Lee),2.330,2.330
4,1:55,2,4,NYJ 47,27,17,Timeout #3 by New York Jets,2.330,1.620
4,1:55,3,4,NYJ 47,27,17,Russell Wilson pass incomplete short right intended for Luke Willson,1.620,0.130
4,1:51,4,4,NYJ 47,27,17,Jon Ryan punts 34 yards,0.130,0.320
4,1:41,1,10,NYJ 13,27,17,Ryan Fitzpatrick pass complete short middle to Quincy Enunwa for 9 yards (tackle by Bobby Wagner and Earl Thomas),-0.320,0.490
4,1:21,2,1,NYJ 22,27,17,Ryan Fitzpatrick pass incomplete deep middle intended for Brandon Marshall,0.490,-0.350
4,1:19,3,1,NYJ 22,27,17,Bilal Powell middle for 8 yards (tackle by Bobby Wagner and K.J. Wright),-0.350,0.940
4,0:59,1,10,NYJ 30,27,17,Ryan Fitzpatrick pass incomplete short middle intended for Bilal Powell,0.940,0.390
4,0:55,2,10,NYJ 30,27,17,"Ryan Fitzpatrick pass incomplete deep right intended for Brandon Marshall is intercepted by Richard Sherman at NYJ-48 and returned for 6 yards. Penalty on Michael Bennett: Illegal Block Above the Waist, 10 yards",0.390,-2.130
4,0:48,1,10,SEA 48,27,17,Russell Wilson kneels for -1 yards,2.130,1.450
4,0:17,2,11,SEA 47,27,17,Russell Wilson kneels for -1 yards,1.450,0.630
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
