Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
1,0:13,1,10,NYJ 25,0,7,Ryan Fitzpatrick pass complete short left to Quincy Enunwa for 6 yards (tackle by Frank Zombo),0.610,0.870
Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,NYJ 31,0,7,Matt Forte middle for 10 yards (tackle by Phillip Gaines),0.870,1.660
2,14:26,1,10,NYJ 41,0,7,Ryan Fitzpatrick pass incomplete short middle intended for Quincy Enunwa,1.660,1.120
2,14:21,2,10,NYJ 41,0,7,Matt Forte middle for 3 yards (tackle by Derrick Johnson),1.120,0.830
2,13:36,3,7,NYJ 44,0,7,"Penalty on Ryan Fitzpatrick: Delay of Game, 5 yards (no play)",0.830,0.170
2,13:19,3,12,NYJ 39,0,7,"Ryan Fitzpatrick pass complete short middle to Bilal Powell for 9 yards (tackle by Phillip Gaines). Bilal Powell fumbles (forced by Phillip Gaines), recovered by Eric Murray at KAN-46 (tackle by James Carpenter)",0.170,-2.060
2,13:10,1,10,KAN 47,0,7,Alex Smith pass complete short left to Demetrius Harris for 6 yards (tackle by David Harris and Jordan Jenkins),2.060,2.330
2,12:36,2,4,NYJ 47,0,7,Spencer Ware middle for 3 yards (tackle by David Harris),2.330,2.020
2,11:57,3,1,NYJ 44,0,7,Spencer Ware middle for 2 yards (tackle by Calvin Pryor),2.020,2.790
2,11:17,1,10,NYJ 42,0,7,Alex Smith pass complete short left to Tyreek Hill for 11 yards (tackle by Marcus Williams),2.790,3.510
2,10:40,1,10,NYJ 31,0,7,Alex Smith pass incomplete short right intended for Travis Kelce,3.510,2.970
2,10:35,2,10,NYJ 31,0,7,Charcandrick West right end for no gain (tackle by Rontez Miles),2.970,2.280
2,9:59,3,10,NYJ 31,0,7,Alex Smith pass complete short middle to Chris Conley for 11 yards (tackle by Darrelle Revis),2.280,4.240
2,9:18,1,10,NYJ 20,0,7,Alex Smith pass complete short left to Tyreek Hill for 2 yards (tackle by Buster Skrine),4.240,3.960
2,8:34,2,8,NYJ 18,0,7,Alex Smith pass incomplete short right intended for Demetrius Harris,3.960,3.220
2,8:32,3,8,NYJ 18,0,7,Alex Smith pass complete short left to Travis Kelce for 15 yards (tackle by Marcus Gilchrist),3.220,6.510
2,7:47,1,3,NYJ 3,0,7,Alex Smith pass complete short right to Travis Kelce for -1 yards (tackle by Muhammad Wilkerson and Jordan Jenkins),6.510,5.340
2,7:04,2,4,NYJ 4,0,7,Spencer Ware right end for -5 yards (tackle by Darron Lee),5.340,3.360
2,6:21,3,9,NYJ 9,0,7,Alex Smith pass incomplete short right intended for Chris Conley,3.360,2.830
2,6:15,4,9,NYJ 9,0,10,Cairo Santos 27 yard field goal good,2.830,3.000
2,6:15,,,KAN 35,0,16,"Cairo Santos kicks off 61 yards, returned by Jalin Marshall for 19 yards (tackle by Anthony Sherman). Jalin Marshall fumbles, recovered by Demetrius Harris at NYJ-27 and returned for 27 yards, touchdown",0.000,7.000
2,6:02,,,NYJ 9,0,17,Cairo Santos kicks extra point good,0.000,0.000
2,6:02,,,KAN 35,0,17,"Cairo Santos kicks off 65 yards, returned by Jalin Marshall for 29 yards (tackle by D.J. Alexander). Penalty on Dezman Moses: Face Mask (15 Yards), 15 yards",0.000,-1.860
2,5:54,1,10,NYJ 44,0,17,Ryan Fitzpatrick pass incomplete deep middle intended for Quincy Enunwa (defended by Ron Parker),1.860,1.320
2,5:49,2,10,NYJ 44,0,17,Matt Forte right guard for 5 yards (tackle by Jaye Howard),1.320,1.290
2,5:03,3,5,NYJ 49,0,17,Ryan Fitzpatrick pass complete short middle to Bilal Powell for 6 yards (tackle by Derrick Johnson),1.290,2.590
2,4:23,1,10,KAN 45,0,17,Matt Forte left end for 7 yards (tackle by Steven Nelson),2.590,2.990
2,3:48,2,3,KAN 38,0,17,Ryan Fitzpatrick pass complete deep left to Robby Anderson for 26 yards (tackle by Phillip Gaines),2.990,4.780
2,3:02,1,10,KAN 12,0,17,Ryan Fitzpatrick pass incomplete short right intended for Brandon Marshall (defended by Justin March-Lillard),4.780,4.100
2,2:57,2,10,KAN 12,0,17,Matt Forte middle for 2 yards (tackle by Tamba Hali),4.100,3.480
2,2:13,3,8,KAN 10,0,17,Ryan Fitzpatrick pass incomplete short middle intended for Brandon Marshall,3.480,2.760
2,2:09,4,8,KAN 10,3,17,Nick Folk 28 yard field goal good,2.760,3.000
2,2:09,,,NYJ 35,3,17,"Nick Folk kicks off 65 yards, returned by Tyreek Hill for 16 yards (tackle by Braedon Bowman)",0.000,0.140
2,2:00,1,10,KAN 16,3,17,Alex Smith pass complete short right to Travis Kelce for 11 yards (tackle by Calvin Pryor),-0.140,0.740
2,1:34,1,10,KAN 27,3,17,Alex Smith pass complete short right to Charcandrick West for no gain,0.740,0.200
2,1:28,2,10,KAN 27,3,17,Charcandrick West middle for 2 yards (tackle by Lorenzo Mauldin),0.200,0.200
2,0:45,2,10,KAN 27,3,17,Timeout #1 by Kansas City Chiefs,0.200,-0.230
2,0:45,3,8,KAN 29,3,17,"Penalty on Muhammad Wilkerson: Encroachment, 5 yards (no play)",-0.230,0.430
2,0:45,3,3,KAN 34,3,17,Alex Smith pass complete short left to Charcandrick West for 6 yards (tackle by Marcus Williams),0.430,1.600
2,0:40,1,10,KAN 40,3,17,Alex Smith pass incomplete deep right intended for Jeremy Maclin (defended by Juston Burris),1.600,1.050
2,0:34,2,10,KAN 40,3,17,Alex Smith pass incomplete deep middle intended for Jeremy Maclin,1.050,0.370
2,0:29,3,10,KAN 40,3,17,Alex Smith sacked by Sheldon Richardson and Leonard Williams for -8 yards,0.370,-1.240
Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,3,17,"Nick Folk kicks off 61 yards, returned by Tyreek Hill for 5 yards (tackle by Bruce Carter)",0.000,-0.380
3,14:55,1,10,KAN 9,3,17,Spencer Ware right end for 1 yard (tackle by Muhammad Wilkerson),-0.380,-0.710
3,14:17,2,9,KAN 10,3,17,Alex Smith pass complete short left to Chris Conley for 20 yards (tackle by Marcus Gilchrist),-0.710,0.940
3,13:38,1,10,KAN 30,3,17,Alex Smith pass complete short right to Jeremy Maclin for 17 yards (tackle by Darron Lee),0.940,2.060
3,12:58,1,10,KAN 47,3,17,Charcandrick West middle for 1 yard (tackle by Sheldon Richardson),2.060,1.650
3,12:23,2,9,KAN 48,3,17,Alex Smith pass incomplete deep left intended for Tyreek Hill,1.650,1.650
3,12:17,2,9,KAN 48,3,17,Timeout #1 by Kansas City Chiefs,1.650,0.960
3,12:17,3,9,KAN 48,3,17,"Penalty on Travis Kelce: False Start, 5 yards (no play)",0.960,0.300
3,12:17,3,14,KAN 43,3,17,Alex Smith pass complete short left to Spencer Ware for 8 yards (tackle by Antonio Allen and Buster Skrine),0.300,0.000
3,11:42,4,6,NYJ 49,3,17,"Dustin Colquitt punts 41 yards, fair catch by Jalin Marshall",0.000,0.380
3,11:35,1,10,NYJ 8,3,17,Matt Forte middle for 15 yards (tackle by Steven Nelson),-0.380,0.480
3,10:47,1,10,NYJ 23,3,17,Ryan Fitzpatrick pass complete short left to Bilal Powell for 6 yards (tackle by Eric Berry),0.480,0.740
3,10:16,2,4,NYJ 29,3,17,Bilal Powell middle for 2 yards (tackle by Derrick Johnson),0.740,0.300
3,9:33,3,2,NYJ 31,3,17,Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall,0.300,-1.310
3,9:27,4,2,NYJ 31,3,17,"Lac Edwards punts 51 yards, returned by Tyreek Hill for 19 yards",-1.310,-1.400
3,9:14,1,10,KAN 37,3,17,Spencer Ware middle for 2 yards (tackle by Sheldon Richardson),1.400,1.130
3,8:36,2,8,KAN 39,3,17,Alex Smith pass complete short right to Travis Kelce for 42 yards (tackle by Marcus Gilchrist),1.130,4.310
3,7:48,1,10,NYJ 19,3,17,Alex Smith pass complete short right to Chris Conley for 13 yards (tackle by Darrelle Revis and Marcus Gilchrist),4.310,5.830
3,7:07,1,6,NYJ 6,3,17,Spencer Ware right end for 5 yards (tackle by Marcus Gilchrist). Spencer Ware fumbles (forced by Marcus Gilchrist),5.830,-0.280
3,7:01,1,10,NYJ 20,3,17,"Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall. Penalty on Phillip Gaines: Defensive Pass Interference, 19 yards (no play)",0.280,1.530
3,6:57,1,10,NYJ 39,3,17,Ryan Fitzpatrick pass complete short left to Matt Forte for 4 yards (tackle by Jaye Howard),1.530,1.530
3,6:21,2,6,NYJ 43,3,17,Matt Forte middle for 5 yards (tackle by Jaye Howard),1.530,1.490
3,5:43,3,1,NYJ 48,3,17,Ryan Fitzpatrick pass complete short left to Quincy Enunwa for 9 yards (tackle by Steven Nelson),1.490,2.720
3,5:08,1,10,KAN 43,3,17,Matt Forte left guard for 7 yards (tackle by Eric Berry),2.720,3.120
3,4:24,2,3,KAN 36,3,17,Ryan Fitzpatrick pass complete deep middle to Quincy Enunwa for 18 yards (tackle by Ron Parker),3.120,4.370
3,3:43,1,10,KAN 18,3,17,Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall,4.370,3.800
3,3:36,2,10,KAN 18,3,17,Matt Forte left end for 2 yards (tackle by Tamba Hali),3.800,3.300
3,2:51,3,8,KAN 16,3,17,Ryan Fitzpatrick pass complete short left to Bilal Powell for 7 yards (tackle by Derrick Johnson),3.300,2.980
3,2:21,4,1,KAN 9,3,17,Ryan Fitzpatrick pass complete short right to Quincy Enunwa for 4 yards (tackle by Tamba Hali),2.980,6.060
3,1:41,1,5,KAN 5,3,17,Ryan Fitzpatrick pass incomplete short left intended for Eric Decker (defended by Eric Berry),6.060,5.150
3,1:37,2,5,KAN 5,3,17,Ryan Fitzpatrick pass incomplete short middle intended for Jalin Marshall is intercepted by Eric Berry at KAN--8,5.150,-0.280
3,1:30,1,10,KAN 20,3,17,Spencer Ware middle for 4 yards (tackle by David Harris),0.280,0.270
3,0:53,2,6,KAN 24,3,17,Spencer Ware middle for 4 yards (tackle by Steve McLendon),0.270,0.100
3,0:10,3,2,KAN 28,3,17,Alex Smith pass complete short right to Demetrius Harris for 8 yards (tackle by Marcus Gilchrist and Jordan Jenkins),0.100,1.330
Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 36,3,17,Spencer Ware middle for 16 yards (tackle by Darrelle Revis),1.330,2.390
4,14:27,1,10,NYJ 48,3,17,Alex Smith pass complete short left to Anthony Sherman for 3 yards (tackle by Darron Lee),2.390,2.250
4,13:43,2,7,NYJ 45,3,17,Spencer Ware left guard for 1 yard (tackle by Deon Simon),2.250,1.690
4,12:59,3,6,NYJ 44,3,17,Alex Smith pass complete short right to Jeremy Maclin for 5 yards (tackle by Buster Skrine),1.690,0.660
4,12:27,4,1,NYJ 39,3,17,Spencer Ware middle for no gain (tackle by Calvin Pryor),0.660,-1.530
4,12:21,1,10,NYJ 39,3,17,Ryan Fitzpatrick pass incomplete short right intended for Jalin Marshall,1.530,0.990
4,12:17,2,10,NYJ 39,3,17,Ryan Fitzpatrick pass incomplete short middle intended for Eric Decker,0.990,0.300
4,12:11,3,10,NYJ 39,3,17,Ryan Fitzpatrick pass complete deep middle to Eric Decker for 31 yards (tackle by Ron Parker),0.300,3.580
4,11:34,1,10,KAN 30,3,17,Matt Forte middle for 1 yard (tackle by Chris Jones and Dezman Moses),3.580,3.170
4,10:54,2,9,KAN 29,3,17,Ryan Fitzpatrick middle for 8 yards (tackle by Phillip Gaines),3.170,3.530
4,10:27,3,1,KAN 21,3,17,Ryan Fitzpatrick middle for 2 yards (tackle by Tamba Hali),3.530,4.310
4,9:59,1,10,KAN 19,3,17,Ryan Fitzpatrick pass complete short right to Matt Forte for -5 yards (tackle by Derrick Johnson),4.310,3.090
4,9:14,2,15,KAN 24,3,17,Ryan Fitzpatrick pass complete short left to Jalin Marshall for 8 yards (tackle by Phillip Gaines),3.090,3.410
4,8:34,3,7,KAN 16,3,17,"Ryan Fitzpatrick pass incomplete short left intended for Jalin Marshall. Penalty on Phillip Gaines: Defensive Pass Interference, 10 yards (no play)",3.410,5.830
4,8:29,1,6,KAN 6,3,17,Ryan Fitzpatrick pass incomplete short middle intended for Quincy Enunwa (defended by Steven Nelson),5.830,4.950
4,8:25,2,6,KAN 6,3,17,Ryan Fitzpatrick pass incomplete short middle intended for Quincy Enunwa is intercepted by Marcus Peters at KAN--4,4.950,-0.280
4,8:16,1,10,KAN 20,3,17,Spencer Ware middle for -1 yards (tackle by Sheldon Richardson),0.280,-0.460
4,7:39,2,11,KAN 19,3,17,Alex Smith pass complete short right to Jeremy Maclin for 4 yards (tackle by David Harris),-0.460,-0.460
4,6:51,2,11,KAN 19,3,17,Timeout #2 by Kansas City Chiefs,-0.460,-0.560
4,6:51,3,7,KAN 23,3,17,Alex Smith pass incomplete deep middle intended for Chris Conley,-0.560,-1.830
4,6:45,4,7,KAN 23,3,17,"Dustin Colquitt punts 48 yards, fair catch by Jalin Marshall",-1.830,-0.870
4,6:39,1,10,NYJ 29,3,17,Ryan Fitzpatrick pass complete short middle to Brandon Marshall for 7 yards (tackle by Ron Parker),0.870,1.270
4,6:26,2,3,NYJ 36,3,17,Ryan Fitzpatrick pass incomplete short middle intended for Quincy Enunwa (defended by Ron Parker),1.270,0.560
4,6:07,3,3,NYJ 36,3,17,Bilal Powell middle for 13 yards (tackle by Daniel Sorensen),0.560,2.190
4,5:43,1,10,NYJ 49,3,17,Ryan Fitzpatrick pass incomplete deep right intended for Quincy Enunwa,2.190,1.650
4,5:36,2,10,NYJ 49,3,17,Ryan Fitzpatrick pass incomplete short left intended for Matt Forte,1.650,0.960
4,5:31,3,10,NYJ 49,3,17,Ryan Fitzpatrick pass complete short right to Jalin Marshall for 11 yards (tackle by Allen Bailey),0.960,2.920
4,4:59,1,10,KAN 40,3,17,Ryan Fitzpatrick pass incomplete deep right intended for Eric Decker (defended by Daniel Sorensen),2.920,2.370
4,4:53,2,10,KAN 40,3,17,Ryan Fitzpatrick pass incomplete short middle intended for Quincy Enunwa,2.370,1.680
4,4:48,3,10,KAN 40,3,17,Ryan Fitzpatrick pass incomplete short left intended for Eric Decker (defended by Eric Berry),1.680,0.590
4,4:43,4,10,KAN 40,3,17,Ryan Fitzpatrick pass incomplete deep right intended for Brandon Marshall is intercepted by Daniel Sorensen at KAN-22,0.590,-0.410
4,4:38,1,10,KAN 22,3,17,Spencer Ware middle for -6 yards (tackle by Muhammad Wilkerson),0.410,0.410
4,4:33,1,10,KAN 22,3,17,Timeout #1 by New York Jets,0.410,-1.080
4,4:33,2,16,KAN 16,3,17,Spencer Ware right end for -2 yards (tackle by Leonard Williams),-1.080,-1.080
4,4:28,2,16,KAN 16,3,17,Timeout #2 by New York Jets,-1.080,-2.240
4,4:28,3,18,KAN 14,3,17,Spencer Ware right end for 11 yards (tackle by Steve McLendon),-2.240,-2.240
4,4:21,3,18,KAN 14,3,17,Timeout #3 by New York Jets,-2.240,-1.700
4,4:21,4,7,KAN 25,3,17,"Dustin Colquitt punts 46 yards, returned by Jalin Marshall for 12 yards (tackle by Tyreek Hill)",-1.700,-1.660
4,4:10,1,10,NYJ 41,3,17,Ryan Fitzpatrick pass complete short left to Robby Anderson for 8 yards (tackle by Phillip Gaines),1.660,2.200
4,3:44,2,2,NYJ 49,3,23,"Ryan Fitzpatrick pass incomplete short right intended for Matt Forte is intercepted by Derrick Johnson at KAN-45 and returned for 55 yards, touchdown",2.200,-7.000
4,3:28,,,NYJ 49,3,24,Cairo Santos kicks extra point good,0.000,0.000
4,3:28,,,KAN 35,3,24,--,0.000,-2.590
4,3:18,1,10,KAN 45,3,24,Ryan Fitzpatrick pass complete short middle to Bilal Powell for 5 yards (tackle by Frank Zombo),2.590,2.720
4,2:51,2,5,KAN 40,3,24,Ryan Fitzpatrick pass complete short middle to Bilal Powell for 8 yards (tackle by Derrick Johnson),2.720,3.450
4,2:27,1,10,KAN 32,3,24,Bilal Powell middle for 12 yards (tackle by Daniel Sorensen),3.450,4.240
4,2:07,1,10,KAN 20,3,24,Bilal Powell middle for 3 yards (tackle by Derrick Johnson),4.240,4.120
4,2:00,2,7,KAN 17,3,24,Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall is intercepted by D.J. White at KAN--2,4.120,-0.280
4,1:54,1,10,KAN 20,3,24,Alex Smith kneels for -1 yards,0.280,-0.460
4,1:13,2,11,KAN 19,3,24,Alex Smith kneels for -1 yards,-0.460,-1.330
4,0:39,3,12,KAN 18,3,24,Alex Smith kneels for -1 yards,-1.330,-2.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
