Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
2,12:22,1,10,DET 37,3,7,Aaron Brown middle for 3 yards (tackle by Jerod Mayo),1.400,1.260
2,11:47,2,7,DET 40,3,7,Shaun Hill pass complete short right to Calvin Johnson for 7 yards (tackle by Devin McCourty and James Sanders),1.260,2.060
2,11:10,1,10,DET 47,3,7,Shaun Hill pass complete short right to Brandon Pettigrew for 9 yards (tackle by Brandon Spikes),2.060,2.730
2,10:38,2,1,NWE 44,3,7,Shaun Hill pass complete short left to Aaron Brown for 5 yards (tackle by Kyle Arrington),2.730,2.980
2,10:10,1,10,NWE 39,3,7,Aaron Brown right tackle for 2 yards (tackle by Vince Wilfork and James Sanders),2.980,2.710
2,9:31,2,8,NWE 37,3,7,Shaun Hill pass complete short right to Jerome Felton for 6 yards (tackle by Brandon Spikes),2.710,2.810
2,8:49,3,2,NWE 31,3,7,Shaun Hill pass complete short left to Nate Burleson for 6 yards (tackle by Patrick Chung),2.810,3.910
2,8:10,1,10,NWE 25,3,7,Maurice Morris right tackle for 14 yards (tackle by James Sanders),3.910,4.840
2,7:39,1,10,NWE 11,3,7,Maurice Morris left tackle for 2 yards (tackle by Kyle Love and Gerard Warren),4.840,4.510
2,7:07,2,8,NWE 9,3,7,Shaun Hill pass incomplete short left intended for Derrick Williams,4.510,3.530
2,7:01,3,8,NWE 9,3,7,Shaun Hill pass complete short left to Derrick Williams for 7 yards (tackle by Kyle Arrington),3.530,3.250
2,6:32,4,1,NWE 2,3,7,Shaun Hill middle for 1 yard (tackle by Gerard Warren),3.250,6.970
2,6:02,1,1,NWE 1,3,13,"Maurice Morris left tackle for 1 yard, touchdown",6.970,7.000
2,6:02,,,NWE 2,3,14,Dave Rayner kicks extra point good,0.000,0.000
2,5:58,,,DET 30,3,14,"Dave Rayner kicks off 68 yards, returned by Brandon Tate for 15 yards (tackle by Vinny Ciurciu)",0.000,-0.060
2,5:51,1,10,NWE 17,3,14,Tom Brady pass complete short middle to Rob Gronkowski for 4 yards (tackle by Landon Johnson and Louis Delmas),-0.060,0.080
2,5:15,2,6,NWE 21,3,14,BenJarvus Green-Ellis right tackle for 8 yards (tackle by Landon Johnson),0.080,0.870
2,4:39,1,10,NWE 29,3,14,BenJarvus Green-Ellis right tackle for 4 yards (tackle by Landon Johnson),0.870,0.870
2,4:01,2,6,NWE 33,3,14,Tom Brady pass incomplete deep middle intended for Brandon Tate,0.870,0.170
2,3:53,,,,3,14,Timeout #1 by New England Patriots,0.000,0.170
2,3:53,3,6,NWE 33,3,14,"Tom Brady pass incomplete short right intended for Danny Woodhead. Penalty on DeAndre Levy: Defensive Pass Interfere, 6 yards (no play)",0.170,1.530
2,3:49,1,10,NWE 39,3,14,BenJarvus Green-Ellis left tackle for 5 yards (tackle by Landon Johnson),1.530,1.660
2,3:16,2,5,NWE 44,3,14,Danny Woodhead middle for 4 yards (tackle by Amari Spievey),1.660,1.490
2,2:35,3,1,NWE 48,3,14,Tom Brady pass complete short right to Aaron Hernandez for 18 yards (tackle by DeAndre Levy and Ashlee Palmer),1.490,3.310
2,2:00,1,10,DET 34,3,14,Tom Brady pass complete short left to Wes Welker for 13 yards (tackle by Amari Spievey),3.310,4.170
2,1:28,1,10,DET 21,3,14,BenJarvus Green-Ellis middle for 6 yards (tackle by Sammie Lee Hill),4.170,4.550
2,0:53,2,4,DET 15,9,14,"BenJarvus Green-Ellis middle for 15 yards, touchdown",4.550,7.000
2,0:53,,,DET 2,10,14,Shayne Graham kicks extra point good,0.000,0.000
2,0:45,,,NWE 30,10,14,"Shayne Graham kicks off 67 yards, returned by Stefan Logan for 30 yards (tackle by Devin McCourty)",0.000,1.140
2,0:39,1,10,DET 33,10,14,Shaun Hill pass complete short middle to Aaron Brown for 9 yards (tackle by Jerod Mayo),1.140,1.810
2,0:32,,,,10,14,Timeout #2 by New England Patriots,0.000,1.810
2,0:32,2,1,DET 42,10,14,Shaun Hill pass incomplete short left intended for Aaron Brown,1.810,1.090
2,0:28,3,1,DET 42,10,14,Aaron Brown right tackle for 1 yard (tackle by Jermaine Cunningham),1.090,1.800
2,0:18,,,,10,14,Timeout #1 by Detroit Lions,0.000,1.800
2,0:18,1,10,DET 43,10,14,Shaun Hill pass complete short middle to Brandon Pettigrew for 11 yards (tackle by James Sanders),1.800,2.520
2,0:14,,,,10,14,Timeout #2 by Detroit Lions,0.000,2.520
2,0:14,1,10,NWE 46,10,14,Shaun Hill pass incomplete short middle intended for Calvin Johnson (defended by Kyle Love),2.520,1.980
2,0:09,2,10,NWE 46,10,14,Shaun Hill pass complete deep middle to Nate Burleson for 20 yards (tackle by Brandon Meriweather),1.980,3.840
2,0:02,,,,10,14,Timeout #3 by Detroit Lions,0.000,3.840
2,0:02,1,10,NWE 26,10,17,Dave Rayner 44 yard field goal good,3.840,3.000
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,10,17,"Dave Rayner kicks off 72 yards, returned by Brandon Tate for 26 yards (tackle by Vinny Ciurciu)",0.000,0.540
3,14:53,1,10,NWE 24,10,17,Tom Brady pass complete short right to Sammy Morris for 15 yards (tackle by Landon Johnson),0.540,1.530
3,14:24,1,10,NWE 39,10,17,Tom Brady pass incomplete short right intended for Wes Welker,1.530,0.990
3,14:17,2,10,NWE 39,10,17,Tom Brady pass incomplete short left intended for Brandon Tate,0.990,0.300
3,14:13,3,10,NWE 39,10,17,Tom Brady pass incomplete deep right intended for Deion Branch,0.300,-0.780
3,14:08,4,10,NWE 39,10,17,Zoltan Mesko punts 50 yards,-0.780,0.370
3,13:55,1,10,DET 11,10,17,Maurice Morris left tackle for 17 yards (tackle by James Sanders),-0.370,0.810
3,13:17,1,10,DET 28,10,17,Shaun Hill pass incomplete deep right intended for Calvin Johnson is intercepted by Devin McCourty at DET-49 and returned for 23 yards,0.810,-3.840
3,13:06,1,10,DET 26,10,17,BenJarvus Green-Ellis right tackle for 3 yards (tackle by DeAndre Levy and Chris Houston),3.840,3.700
3,12:26,2,7,DET 23,10,17,Tom Brady pass complete short right to Deion Branch for 12 yards (tackle by Chris Houston),3.700,4.840
3,11:46,1,10,DET 11,10,17,BenJarvus Green-Ellis right tackle for 6 yards (tackle by Louis Delmas),4.840,5.280
3,11:06,2,4,DET 5,16,17,"Tom Brady pass complete short left to Wes Welker for 5 yards, touchdown",5.280,7.000
3,11:06,,,DET 2,17,17,Shayne Graham kicks extra point good,0.000,0.000
3,10:58,,,NWE 30,17,17,"Shayne Graham kicks off 70 yards, returned by Stefan Logan for 42 yards (tackle by Kyle Arrington)",0.000,1.730
3,10:46,1,10,DET 42,17,17,Aaron Brown right end for 1 yard (tackle by Jerod Mayo and Jermaine Cunningham),1.730,1.320
3,10:15,2,9,DET 43,17,17,Shaun Hill pass complete short right to Jerome Felton for 1 yard (tackle by Jermaine Cunningham),1.320,0.760
3,9:37,3,8,DET 44,17,17,Shaun Hill pass complete short right to Brandon Pettigrew for 24 yards (tackle by Jerod Mayo and Devin McCourty),0.760,3.450
3,8:51,1,10,NWE 32,17,17,Aaron Brown left tackle for 2 yards (tackle by Vince Wilfork),3.450,3.170
3,8:16,2,8,NWE 30,17,17,Shaun Hill pass complete deep left to Calvin Johnson for 21 yards,3.170,5.140
3,7:56,1,9,NWE 9,17,17,Aaron Brown left end for 2 yards (tackle by Tully Banta-Cain and Brandon Meriweather),5.140,4.760
3,7:22,2,7,NWE 7,17,17,Shaun Hill pass complete short left to Maurice Morris for 6 yards (tackle by Vince Wilfork),4.760,5.170
3,6:59,3,1,NWE 1,17,17,Shaun Hill pass incomplete short left intended for Derrick Williams,5.170,3.550
3,6:55,4,1,NWE 1,17,23,"Maurice Morris left end for 1 yard, touchdown",3.550,7.000
3,6:55,,,NWE 2,17,24,Dave Rayner kicks extra point good,0.000,0.000
3,6:50,,,DET 30,17,24,"Dave Rayner kicks off 69 yards, returned by Brandon Tate for 12 yards (tackle by Stefan Logan)",0.000,-0.320
3,6:45,1,10,NWE 13,17,24,Danny Woodhead left tackle for no gain (tackle by Sammie Lee Hill),-0.320,-0.770
3,6:10,2,10,NWE 13,17,24,Tom Brady pass complete short left to Rob Gronkowski for 8 yards (tackle by Amari Spievey),-0.770,-0.470
3,5:27,3,2,NWE 21,23,24,"Tom Brady pass complete deep left to Deion Branch for 79 yards, touchdown",-0.470,7.000
3,5:27,,,DET 2,24,24,Shayne Graham kicks extra point good,0.000,0.000
3,5:12,,,NWE 30,24,24,"Shayne Graham kicks off 70 yards, returned by Stefan Logan for 30 yards (tackle by Devin McCourty)",0.000,0.940
3,4:59,1,10,DET 30,24,24,Aaron Brown right tackle for no gain (tackle by Brandon Spikes),0.940,0.390
3,4:23,2,10,DET 30,24,24,Shaun Hill pass complete short right to Brandon Pettigrew for 15 yards (tackle by Vince Wilfork),0.390,1.930
3,3:45,1,10,DET 45,24,24,Aaron Brown left tackle for 7 yards (tackle by Patrick Chung and Gary Guyton),1.930,2.330
3,3:10,2,3,NWE 48,24,24,Calvin Johnson left end for 15 yards (tackle by Jerod Mayo and Kyle Arrington),2.330,3.380
3,2:27,1,10,NWE 33,24,24,Aaron Brown right tackle for 4 yards (tackle by Kyle Love and Jerod Mayo),3.380,3.380
3,1:53,2,6,NWE 29,24,24,Shaun Hill pass incomplete short middle intended for Will Heller (defended by Brandon Spikes),3.380,2.680
3,1:46,3,6,NWE 29,24,24,Shaun Hill left end for 1 yard (tackle by Dane Fletcher and Tully Banta-Cain),2.680,1.630
3,1:06,4,5,NWE 28,24,24,Dave Rayner 46 yard field goal no good,1.630,-1.330
3,1:00,1,10,NWE 36,24,24,Danny Woodhead right tackle for 3 yards (tackle by Amari Spievey),1.330,1.200
3,0:33,2,7,NWE 39,24,24,"Penalty on Kyle Vanden Bosch: Neutral Zone Infraction, 5 yards (no play)",1.200,1.870
3,0:01,2,2,NWE 44,24,24,Tom Brady pass complete deep right to Rob Gronkowski for 26 yards (tackle by Landon Johnson),1.870,3.580
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 30,24,24,"BenJarvus Green-Ellis left end for 7 yards (tackle by Julian Peterson). Penalty on Alge Crumpler: Illegal Block Above the , 10 yards",3.580,3.380
4,14:32,1,13,DET 33,24,24,Tom Brady pass complete short right to Wes Welker for 11 yards (tackle by DeAndre Levy),3.380,4.110
4,13:51,2,2,DET 22,30,24,"Tom Brady pass complete short left to Deion Branch for 22 yards, touchdown",4.110,7.000
4,13:51,,,DET 2,31,24,Shayne Graham kicks extra point good,0.000,0.000
4,13:45,,,NWE 30,31,24,"Shayne Graham kicks off 65 yards, returned by Stefan Logan for 21 yards (tackle by Dane Fletcher)",0.000,0.670
4,13:39,1,10,DET 26,31,24,Shaun Hill pass complete short right to Maurice Morris for 4 yards (tackle by Gary Guyton),0.670,0.670
4,13:10,2,6,DET 30,31,24,Maurice Morris right tackle for 10 yards (tackle by Jerod Mayo and James Sanders),0.670,1.600
4,12:37,1,10,DET 40,31,24,Shaun Hill pass incomplete deep right intended for Nate Burleson,1.600,1.050
4,12:31,2,10,DET 40,31,24,Shaun Hill pass complete short right to Aaron Brown for 5 yards (tackle by James Sanders),1.050,1.030
4,11:52,3,5,DET 45,31,24,"Shaun Hill pass complete short middle to Brandon Pettigrew for 21 yards (tackle by Patrick Chung). Penalty on Brandon Pettigrew: Offensive Pass Interfere, 10 yards (no play)",1.030,-0.300
4,11:26,3,15,DET 35,31,24,Shaun Hill pass incomplete short left intended for Brandon Pettigrew. Penalty on Jeff Backus: Face Mask (15 Yards) (Declined),-0.300,-1.040
4,11:17,4,15,DET 35,31,24,"Nick Harris punts 47 yards, returned by Julian Edelman for 8 yards (tackle by Landon Johnson). Penalty on Sergio Brown: Illegal Block Above the , 10 yards",-1.040,0.140
4,11:07,1,10,NWE 16,31,24,Danny Woodhead middle for 7 yards (tackle by Cliff Avril),-0.140,0.420
4,10:32,2,3,NWE 23,31,24,"Tom Brady pass complete short middle to Wes Welker for 9 yards (tackle by Chris Houston). Penalty on Dan Connolly: Offensive Holding, 10 yards (no play)",0.420,-0.990
4,10:14,2,13,NWE 13,31,24,Tom Brady pass complete short middle to Wes Welker for 11 yards (tackle by Louis Delmas and Nathan Vasher),-0.990,-0.320
4,9:32,3,2,NWE 24,31,24,Danny Woodhead right end for 9 yards (tackle by Landon Johnson),-0.320,1.140
4,8:58,1,10,NWE 33,31,24,"BenJarvus Green-Ellis left tackle for 2 yards (tackle by Landon Johnson and DeAndre Levy). Penalty on Corey Williams: Defensive Offside, 5 yards (no play)",1.140,1.870
4,8:36,1,5,NWE 38,31,24,Brandon Tate left end for 17 yards (tackle by Amari Spievey),1.870,2.590
4,8:05,1,10,DET 45,31,24,Danny Woodhead middle for 3 yards (tackle by Corey Williams),2.590,2.450
4,7:28,2,7,DET 42,31,24,Tom Brady pass complete deep middle to Rob Gronkowski for 26 yards (tackle by Amari Spievey),2.450,4.510
4,6:47,1,10,DET 16,37,24,"Tom Brady pass complete short right to Wes Welker for 16 yards, touchdown",4.510,7.000
4,6:47,,,DET 2,38,24,Shayne Graham kicks extra point good,0.000,0.000
4,6:42,,,NWE 30,38,24,"Shayne Graham kicks off 65 yards, returned by Stefan Logan for 26 yards (tackle by Kyle Arrington)",0.000,1.000
4,6:34,1,10,DET 31,38,24,"Shaun Hill pass complete short right to Brandon Pettigrew for 5 yards (tackle by Gary Guyton). Penalty on Brandon Pettigrew: Illegal Touch Pass, 5 yards (no play)",1.000,0.670
4,6:13,1,15,DET 26,38,24,Shaun Hill pass complete short left to Bryant Johnson for 14 yards (tackle by Darius Butler),0.670,1.680
4,5:58,2,1,DET 40,38,24,Shaun Hill pass incomplete deep right intended for Nate Burleson is intercepted by Devin McCourty at NWE-38 and returned for 50 yards,1.680,-4.780
4,5:43,1,10,DET 12,38,24,"Penalty on Corey Williams: Defensive Offside, 5 yards (no play)",4.780,5.930
4,5:23,1,5,DET 7,38,24,BenJarvus Green-Ellis right tackle for 3 yards (tackle by Cliff Avril),5.930,5.600
4,4:59,2,2,DET 4,38,24,Tom Brady middle for 3 yards (tackle by Julian Peterson),5.600,6.970
4,4:01,1,1,DET 1,38,24,Tom Brady middle for no gain (tackle by Ndamukong Suh),6.970,5.910
4,3:16,2,1,DET 1,44,24,"BenJarvus Green-Ellis left end for 1 yard, touchdown. Penalty on Louis Delmas: Unnecessary Roughness, 15 yards",5.910,7.000
4,3:16,,,DET 2,45,24,"Shayne Graham kicks extra point good. Penalty on Ndamukong Suh: Unnecessary Roughness, 15 yards, Penalty on DeAndre Levy: Personal Foul (Declined)",0.000,0.000
4,3:14,,,DET 40,45,24,"Shayne Graham kicks off 40 yards, touchback",0.000,0.280
4,3:14,1,10,DET 20,45,24,Shaun Hill pass incomplete short middle intended for Aaron Brown,0.280,-0.270
4,3:05,2,10,DET 20,45,24,Shaun Hill pass incomplete deep middle intended for Bryant Johnson (defended by Brandon Meriweather),-0.270,-0.960
4,2:59,3,10,DET 20,45,24,Shaun Hill pass complete short left to Bryant Johnson for 12 yards,-0.960,1.070
4,2:53,1,10,DET 32,45,24,Shaun Hill pass incomplete short right intended for Aaron Brown (defended by Dane Fletcher),1.070,0.530
4,2:49,2,10,DET 32,45,24,Shaun Hill pass incomplete short left intended for Aaron Brown,0.530,-0.160
4,2:43,3,10,DET 32,45,24,Shaun Hill pass complete deep middle to Calvin Johnson for 34 yards (tackle by Brandon Meriweather),-0.160,3.310
4,2:32,,,,45,24,Timeout #1 by Detroit Lions,0.000,3.310
4,2:32,1,10,NWE 34,45,24,Shaun Hill sacked by Gary Guyton for -5 yards,3.310,2.090
4,2:09,2,15,NWE 39,45,24,"Shaun Hill pass complete short right to Will Heller for 13 yards (tackle by Dane Fletcher). Penalty on Patrick Chung: Roughing the Passer, 13 yards",2.090,4.710
4,2:00,1,10,NWE 13,45,24,Shaun Hill sacked by Pierre Woods for -3 yards,4.710,3.620
4,1:38,2,13,NWE 16,45,24,Shaun Hill pass incomplete deep middle intended for Nate Burleson (defended by Patrick Chung),3.620,2.970
4,1:33,3,13,NWE 16,45,24,Shaun Hill pass complete short right to Aaron Brown for 10 yards (tackle by Patrick Chung),2.970,3.010
4,1:28,,,,45,24,Timeout #2 by Detroit Lions,0.000,3.010
4,1:28,4,3,NWE 6,45,24,Shaun Hill pass incomplete short right intended for Bryant Johnson,3.010,0.380
4,1:22,1,10,NWE 6,45,24,Tom Brady kneels for -1 yards,-0.380,-0.850
4,0:39,2,11,NWE 5,45,24,Tom Brady kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
