Quarter,Time,Down,ToGo,Location,SDG,HOU,Detail,EPB,EPA
2,5:19,1,10,SDG 45,14,17,Arian Foster right tackle for 8 yards (tackle by Quentin Jammer),2.590,3.120
2,4:42,2,2,SDG 37,14,17,Arian Foster middle for 7 yards (tackle by Paul Oliver),3.120,3.580
2,4:00,1,10,SDG 30,14,17,Arian Foster right end for 12 yards (tackle by Eric Weddle),3.580,4.370
2,3:17,1,10,SDG 18,14,17,Derrick Ward right tackle for 3 yards (tackle by Tyrone Carter),4.370,4.250
2,2:40,2,7,SDG 15,14,17,Matt Schaub pass complete short right to James Casey for 4 yards (tackle by Shaun Phillips),4.250,4.260
2,2:00,3,3,SDG 11,14,17,Arian Foster right end for 7 yards (tackle by Eric Weddle),4.260,6.280
2,1:16,1,4,SDG 4,14,17,Arian Foster middle for 1 yard (tackle by Luis Castillo and Paul Oliver),6.280,5.530
2,0:31,,,,14,17,Timeout #2 by Houston Texans,0.000,5.530
2,0:31,2,3,SDG 3,14,17,Matt Schaub pass incomplete short left intended for James Casey (defended by Stephen Cooper),5.530,4.720
2,0:28,3,3,SDG 3,14,17,Matt Schaub pass incomplete short middle intended for Arian Foster,4.720,3.040
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:25,4,3,SDG 3,14,20,Neil Rackers 21 yard field goal good,3.040,3.000
2,,,,HOU 30,14,20,"Neil Rackers kicks off 74 yards, returned by Darren Sproles for 31 yards (tackle by Darryl Sharpton)",0.000,0.740
2,0:15,1,10,SDG 27,14,20,Philip Rivers kneels for -2 yards,0.740,-0.070
Quarter,Time,Down,ToGo,Location,SDG,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,14,20,"Kris Brown kicks off 67 yards, returned by Jacoby Jones for 24 yards (tackle by Kion Wilson)",0.000,0.740
3,14:53,1,10,HOU 27,14,20,Matt Schaub pass incomplete deep middle intended for James Casey (defended by Shaun Phillips),0.740,0.200
3,14:47,2,10,HOU 27,14,20,Arian Foster left guard for 1 yard (tackle by Jacques Cesaire and Stephen Cooper),0.200,-0.360
3,14:06,3,9,HOU 28,14,20,Matt Schaub pass complete short left to Arian Foster for 23 yards (tackle by Jacques Cesaire),-0.360,2.320
3,13:28,1,10,SDG 49,14,20,Derrick Ward right end for -1 yards (tackle by Antwan Applewhite and Quentin Jammer),2.320,1.650
3,12:51,2,11,,14,20,Matt Schaub pass complete short middle to Andre Johnson for 17 yards (tackle by Kevin Burnett). Penalty on Antwan Applewhite: Defensive Holding (Declined),1.650,3.380
3,12:20,1,10,SDG 33,14,20,Arian Foster left tackle for 5 yards (tackle by Paul Oliver and Ogemdi Nwagbuo),3.380,3.510
3,11:42,2,5,SDG 28,14,20,Arian Foster middle for 15 yards (tackle by Kevin Burnett),3.510,4.710
3,11:02,1,10,SDG 13,14,20,Arian Foster left tackle for 2 yards (tackle by Jacques Cesaire and Kevin Burnett),4.710,4.390
3,10:25,2,8,SDG 11,14,20,Derrick Ward middle for 6 yards (tackle by Eric Weddle),4.390,4.780
3,9:41,3,2,SDG 5,14,20,Derrick Ward left end for -2 yards (tackle by Antoine Cason and Larry English),4.780,2.990
3,9:00,4,4,SDG 7,14,23,Neil Rackers 25 yard field goal good,2.990,3.000
3,,,,HOU 30,14,23,"Neil Rackers kicks off 71 yards, returned by Darren Sproles for 27 yards (tackle by Antwaun Molden)",0.000,0.670
3,8:49,1,10,SDG 26,14,23,Philip Rivers pass incomplete short middle intended for Darren Sproles,0.670,0.130
3,8:44,2,10,SDG 26,14,23,Mike Tolbert middle for 4 yards (tackle by Kareem Jackson and Eugene Wilson),0.130,-0.030
3,8:06,3,6,SDG 30,14,23,Philip Rivers pass complete short middle to Patrick Crayton for 47 yards (tackle by Kareem Jackson),-0.030,4.040
3,7:15,1,10,HOU 23,14,23,Mike Tolbert left end for 9 yards (tackle by Kareem Jackson),4.040,4.950
3,6:40,2,1,HOU 14,14,23,Jacob Hester middle for 2 yards (tackle by Mark Anderson and Tim Jamison),4.950,4.780
3,6:00,1,10,HOU 12,14,23,Philip Rivers pass incomplete short right intended for Jacob Hester,4.780,4.100
3,5:55,,,,14,23,Timeout #1 by San Diego Chargers,0.000,4.100
3,5:55,2,10,HOU 12,20,23,"Philip Rivers pass complete short middle to Randy McMichael for 12 yards, touchdown",4.100,7.000
3,,,,HOU 2,21,23,Kris Brown kicks extra point good,0.000,0.000
3,,,,SDG 30,21,23,"Kris Brown kicks off 67 yards, returned by Jacoby Jones for 23 yards (tackle by Donald Strickland)",0.000,0.670
3,5:41,1,10,HOU 26,21,23,Matt Schaub pass complete short middle to James Casey for 4 yards (tackle by Antwan Applewhite),0.670,0.670
3,5:04,2,6,HOU 30,21,23,Matt Schaub pass complete short left to James Casey for 7 yards (tackle by Antoine Cason),0.670,1.400
3,4:19,1,10,HOU 37,21,23,Matt Schaub pass complete deep middle to Jacoby Jones for 17 yards (tackle by Eric Weddle),1.400,2.520
3,3:40,1,10,SDG 46,21,23,Arian Foster right tackle for 3 yards (tackle by Antonio Garay),2.520,2.380
3,2:59,2,7,SDG 43,21,23,Matt Schaub sacked by Antonio Garay for -3 yards,2.380,1.290
3,2:25,3,10,SDG 46,21,23,Matt Schaub pass complete short middle to Joel Dreessen for 20 yards (tackle by Paul Oliver),1.290,3.840
3,1:41,1,10,SDG 26,21,23,Arian Foster right tackle for 4 yards (tackle by Travis Johnson),3.840,3.840
3,1:03,2,6,SDG 22,21,23,Arian Foster left guard for no gain (tackle by Kevin Burnett and Paul Oliver),3.840,3.140
3,0:21,3,6,SDG 22,21,23,Matt Schaub pass complete short left to Jacoby Jones for 5 yards (tackle by Donald Strickland),3.140,2.460
Quarter,Time,Down,ToGo,Location,SDG,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,SDG 17,21,23,Arian Foster right tackle for no gain (tackle by Shaun Phillips),2.460,0.060
4,14:54,1,10,SDG 17,21,23,Mike Tolbert middle for 6 yards (tackle by Zach Diles),-0.060,0.350
4,14:14,2,4,SDG 23,21,23,Darren Sproles middle for 3 yards (tackle by Bernard Pollard),0.350,-0.120
4,13:26,3,1,SDG 26,21,23,Jacob Hester middle for 3 yards (tackle by Brian Cushing and Zach Diles),-0.120,0.870
4,12:47,1,10,SDG 29,21,23,Mike Tolbert middle for 4 yards (tackle by Bernard Pollard),0.870,0.870
4,12:12,2,6,SDG 33,21,23,Philip Rivers pass incomplete deep middle intended for Patrick Crayton,0.870,0.170
4,12:05,3,6,SDG 33,21,23,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",0.170,-0.490
4,12:03,3,11,SDG 28,21,23,Philip Rivers pass incomplete deep left intended for Seyi Ajirotutu is intercepted by Kareem Jackson at HOU-48,-0.490,-2.130
4,11:50,1,10,HOU 48,21,23,"Matt Schaub pass incomplete deep right intended for Kevin Walter. Penalty on Quentin Jammer: Illegal Contact, 5 yards (no play)",2.130,2.460
4,11:44,1,10,SDG 47,21,23,Arian Foster middle for -2 yards (tackle by Antonio Garay),2.460,1.640
4,11:07,2,12,SDG 49,21,23,Matt Schaub pass complete short middle to Joel Dreessen for 5 yards (tackle by Paul Oliver),1.640,1.620
4,10:25,3,7,SDG 44,21,23,"Matt Schaub sacked by Donald Strickland for -12 yards. Matt Schaub fumbles (forced by Donald Strickland), recovered by Eric Winston at HOU-44",1.620,-0.460
4,9:43,4,19,HOU 44,21,23,"Matt Turk punts 36 yards, returned by Darren Sproles for no gain. Penalty on Dominique Barber: Chop Block, 15 yards",-0.460,-1.270
4,9:31,1,10,SDG 35,21,23,Mike Tolbert middle for 3 yards (tackle by Antonio Smith),1.270,1.130
4,9:09,2,7,SDG 38,21,23,Philip Rivers pass complete short middle to Jacob Hester for 15 yards (tackle by Zach Diles and Bernard Pollard),1.130,2.460
4,8:35,1,10,HOU 47,21,23,"Philip Rivers pass complete short right to Darren Sproles for 5 yards (tackle by Kevin Bentley and Glover Quin). Penalty on Antonio Smith: Defensive Offside, 5 yards (no play)",2.460,3.190
4,8:16,1,5,HOU 42,21,23,Mike Tolbert right guard for 4 yards (tackle by Amobi Okoye and Kevin Bentley),3.190,3.130
4,7:42,2,1,HOU 38,21,23,Jacob Hester right guard for no gain (tackle by Antonio Smith and Brian Cushing),3.130,2.410
4,7:15,3,1,HOU 38,21,23,"Philip Rivers middle for no gain (tackle by Brian Cushing). Penalty on Seyi Ajirotutu: Illegal Formation, 5 yards (no play)",2.410,1.750
4,6:53,3,6,HOU 43,21,23,Philip Rivers pass complete short middle to Seyi Ajirotutu for 13 yards (tackle by Eugene Wilson),1.750,3.580
4,6:10,1,10,HOU 30,21,23,Philip Rivers pass complete short left to Mike Tolbert for 2 yards (tackle by Shaun Cody and Damione Lewis),3.580,3.300
4,5:23,2,8,HOU 28,27,23,"Philip Rivers pass complete deep left to Seyi Ajirotutu for 28 yards, touchdown",3.300,7.000
4,,,,,27,23,"Two Point Attempt: Philip Rivers pass incomplete, conversion fails. Penalty on Bernard Pollard: Defensive Holding, 1 yards (no play)",1.000,1.000
4,,,,,29,23,"Two Point Attempt: Mike Tolbert middle, conversion succeeds",1.000,1.000
4,,,,SDG 30,29,23,"Kris Brown kicks off 64 yards, returned by Jacoby Jones for 22 yards (tackle by Antwan Barnes)",0.000,0.810
4,5:09,1,10,HOU 28,29,23,Matt Schaub pass complete short right to Andre Johnson for 5 yards (tackle by Donald Strickland),0.810,0.940
4,4:46,2,5,HOU 33,29,23,Matt Schaub pass complete deep middle to Joel Dreessen for 24 yards (tackle by Paul Oliver),0.940,2.720
4,4:09,1,10,SDG 43,29,23,Matt Schaub pass complete short left to Jacoby Jones for 5 yards (tackle by Antoine Cason),2.720,2.850
4,4:03,2,5,SDG 38,29,23,"Matt Schaub pass incomplete short left intended for Joel Dreessen. Penalty on Matt Schaub: Intentional Grounding, 10 yards",2.850,0.830
4,3:58,3,15,SDG 48,29,23,Matt Schaub pass complete short middle to Joel Dreessen for 14 yards (tackle by Quentin Jammer),0.830,1.100
4,3:34,4,1,SDG 34,29,23,Matt Schaub middle for no gain (tackle by Antonio Garay),1.100,-1.200
4,3:31,1,10,SDG 34,29,23,Mike Tolbert middle for 2 yards (tackle by Antonio Smith),1.200,0.930
4,3:24,,,,29,23,Timeout #1 by Houston Texans,0.000,0.930
4,3:24,2,8,SDG 36,29,23,Philip Rivers pass complete short right to Jacob Hester for 3 yards (tackle by Bernard Pollard),0.930,0.630
4,3:24,,,,29,23,Timeout #2 by Houston Texans,0.000,0.630
4,3:18,3,5,SDG 39,29,23,Philip Rivers pass incomplete short left intended for Gary Banks,0.630,-0.780
4,3:14,4,5,SDG 39,29,23,Mike Scifres punts 47 yards,-0.780,0.280
4,3:06,1,10,HOU 14,29,23,Matt Schaub pass complete short middle to Jacoby Jones for 14 yards (tackle by Antoine Cason),-0.280,0.810
4,2:44,1,10,HOU 28,29,23,Matt Schaub pass incomplete short right intended for Andre Johnson (defended by Quentin Jammer),0.810,0.260
4,2:39,2,10,HOU 28,29,23,Matt Schaub pass complete short middle to Arian Foster for 33 yards (tackle by Quentin Jammer and Antoine Cason),0.260,2.980
4,2:10,1,10,SDG 39,29,23,Matt Schaub pass complete short middle to Arian Foster for 4 yards (tackle by Stephen Cooper),2.980,2.980
4,2:00,2,6,SDG 35,29,23,Matt Schaub pass complete short middle to Andre Johnson for 7 yards (tackle by Kevin Burnett and Stephen Cooper),2.980,3.710
4,1:40,1,10,SDG 28,29,23,Matt Schaub pass incomplete short left intended for Joel Dreessen,3.710,3.170
4,1:34,2,10,SDG 28,29,23,Matt Schaub pass incomplete deep middle intended for Andre Johnson is intercepted by Paul Oliver at SDG-9 and returned for 15 yards,3.170,-0.540
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,1:19,1,10,SDG 24,29,23,Philip Rivers kneels for -2 yards,0.540,-0.270
4,1:19,,,,29,23,Timeout #3 by Houston Texans,0.000,-0.270
4,1:19,2,12,SDG 22,29,23,Philip Rivers kneels for -1 yards,-0.270,-1.090
4,0:38,3,13,SDG 21,29,23,Philip Rivers kneels for -2 yards,-1.090,-2.140
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
