Quarter,Time,Down,ToGo,Location,PIT,HOU,Detail,EPB,EPA
3,1:48,1,10,HOU 25,27,0,Lamar Miller left guard for 16 yards (tackle by Sean Spence and Mike Mitchell),0.610,1.660
3,1:10,1,10,HOU 41,27,0,Lamar Miller middle for 1 yard (tackle by Tyson Alualu),1.660,1.260
3,0:32,2,9,HOU 42,27,0,T.J. Yates pass complete short left to DeAndre Hopkins for 38 yards (tackle by Sean Davis),1.260,4.240
Quarter,Time,Down,ToGo,Location,PIT,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PIT 20,27,0,Lamar Miller left guard for 1 yard (tackle by Mike Hilton),4.240,3.820
4,14:14,2,9,PIT 19,27,0,T.J. Yates pass complete short left to Lamar Miller for 10 yards (tackle by Mike Mitchell and Tyson Alualu),3.820,5.140
4,13:29,1,9,PIT 9,27,0,Lamar Miller left tackle for 3 yards (tackle by Vince Williams),5.140,4.950
4,12:42,2,6,PIT 6,27,0,"T.J. Yates pass incomplete short right intended for DeAndre Hopkins. Penalty on Joe Haden: Defensive Holding, 3 yards (no play)",4.950,6.510
4,12:36,1,3,PIT 3,27,6,"T.J. Yates pass complete short left to DeAndre Hopkins for 3 yards, touchdown. Penalty on Cameron Heyward: Illegal Use of Hands (Declined)",6.510,7.000
4,12:30,,,PIT 2,27,6,"Ka'imi Fairbairn kicks extra point no good, blocked by Joe Haden. Penalty on Joe Haden: Defensive Offside, 1 yards (no play)",0.000,-1.000
4,12:30,,,PIT 1,27,6,"Two Point Attempt: T.J. Yates pass incomplete intended for DeAndre Hopkins, conversion fails. Penalty on Vince Williams: Taunting, 15 yards",0.000,-1.000
4,12:30,,,,27,6,Ka'imi Fairbairn kicks off 29 yards,0.000,-0.340
4,12:28,1,10,PIT 21,27,6,Le'Veon Bell right tackle for 5 yards (tackle by Benardrick McKinney),0.340,0.480
4,11:44,2,5,PIT 26,27,6,"Penalty on Brandon Dunn: Encroachment, 4 yards (no play)",0.480,1.020
4,11:33,2,1,PIT 30,27,6,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 49 yards (tackle by Kareem Jackson),1.020,4.170
4,10:55,1,10,HOU 21,27,6,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 3 yards (tackle by Andre Hal and Treston Decoud),4.170,4.040
4,10:16,2,7,HOU 18,27,6,Stevan Ridley right end for no gain (tackle by Treston Decoud),4.040,3.310
4,9:31,3,7,HOU 18,33,6,"Ben Roethlisberger pass complete deep middle to JuJu Smith-Schuster for 18 yards, touchdown",3.310,7.000
4,9:26,,,HOU 15,34,6,Chris Boswell kicks extra point good,0.000,0.000
4,9:26,,,PIT 35,34,6,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
4,9:26,1,10,HOU 25,34,6,Alfred Blue left end for no gain (tackle by Bud Dupree),0.610,0.060
4,8:43,2,10,HOU 25,34,6,T.J. Yates pass complete short right to DeAndre Hopkins for 13 yards,0.060,1.470
4,8:14,1,10,HOU 38,34,6,T.J. Yates sacked by Sean Spence for -4 yards,1.470,0.380
4,7:39,2,14,HOU 34,34,6,T.J. Yates pass complete short right to DeAndre Hopkins for 11 yards (tackle by Mike Mitchell),0.380,1.160
4,7:07,3,3,HOU 45,34,6,T.J. Yates pass incomplete,1.160,-0.390
4,6:58,4,3,HOU 45,34,6,"Shane Lechler punts 45 yards, returned by Eli Rogers for 3 yards (tackle by Chris Thompson)",-0.390,0.320
4,6:48,1,10,PIT 13,34,6,Stevan Ridley middle for 1 yard (tackle by Treston Decoud),-0.320,-0.680
4,6:08,2,9,PIT 14,34,6,Stevan Ridley middle for 4 yards (tackle by Zach Cunningham),-0.680,-0.830
4,5:27,3,5,PIT 18,34,6,Landry Jones pass incomplete short left intended for Eli Rogers,-0.830,-2.240
4,5:23,4,5,PIT 18,34,6,"Jordan Berry punts 57 yards, returned by Braxton Miller for 7 yards (tackle by Robert Golden)",-2.240,-1.070
4,5:10,1,10,HOU 32,34,6,Alfred Blue right tackle for 8 yards (tackle by Vince Williams),1.070,1.610
4,4:32,2,2,HOU 40,34,6,Alfred Blue right tackle for 3 yards (tackle by Vince Williams),1.610,1.800
4,3:52,1,10,HOU 43,34,6,"T.J. Yates sacked by Stephon Tuitt for -7 yards. T.J. Yates fumbles (forced by Stephon Tuitt), recovered by T.J. Yates at HOU-36",1.800,0.310
4,3:10,2,17,HOU 36,34,6,T.J. Yates pass incomplete short left intended for Will Fuller (defended by T.J. Watt),0.310,-0.360
4,3:06,3,17,HOU 36,34,6,T.J. Yates pass incomplete short middle intended for Stephen Anderson (defended by L.J. Fort),-0.360,-0.980
4,3:01,4,17,HOU 36,34,6,"Shane Lechler punts 60 yards, returned by Eli Rogers for 21 yards (tackle by Chris Thompson). Penalty on Treston Decoud: Illegal Shift, 5 yards",-0.980,-0.940
4,2:46,1,10,PIT 30,34,6,Stevan Ridley right end for 4 yards (tackle by Andre Hal and Dylan Cole),0.940,0.930
4,2:00,2,6,PIT 34,34,6,Stevan Ridley left tackle for 7 yards (tackle by Kurtis Drummond and Dylan Cole),0.930,1.660
4,1:19,1,10,PIT 41,34,6,Landry Jones kneels for no gain,1.660,1.120
4,0:37,2,10,PIT 41,34,6,Landry Jones kneels for -1 yards,1.120,0.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
