Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA
2,4:29,,,CHI 15,10,3,Matt Bryant kicks extra point good,0.000,0.000
2,4:29,,,ATL 35,10,3,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,4:29,1,10,CHI 25,10,3,Jordan Howard right end for 3 yards (tackle by Brooks Reed),0.610,0.470
2,3:55,2,7,CHI 28,10,3,Tarik Cohen left end for 46 yards (tackle by Desmond Trufant),0.470,3.840
2,3:02,1,10,ATL 26,10,3,Jordan Howard left guard for 4 yards (tackle by Brooks Reed),3.840,3.840
2,2:25,2,6,ATL 22,10,3,Jordan Howard right tackle for 2 yards (tackle by Adrian Clayborn),3.840,3.400
2,2:00,3,4,ATL 20,10,3,"Mike Glennon pass complete short middle to Tarik Cohen for 3 yards (tackle by Brian Poole). Penalty on Vic Beasley: Defensive Holding, 5 yards (no play)",3.400,4.580
2,1:53,1,10,ATL 15,10,3,Tarik Cohen left end for 5 yards (tackle by Desmond Trufant),4.580,4.840
2,1:05,2,5,ATL 10,10,3,Jordan Howard right guard for 6 yards (tackle by De'Vondre Campbell),4.840,6.280
2,0:20,1,4,ATL 4,10,9,"Jordan Howard right end for 4 yards, touchdown",6.280,7.000
2,0:14,,,ATL 15,10,10,Connor Barth kicks extra point good,0.000,0.000
2,0:14,,,CHI 35,10,10,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
2,0:14,1,10,ATL 25,10,10,Matt Ryan kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,10,10,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CHI 25,10,10,Mike Glennon pass incomplete short left intended for Kevin White,0.610,0.060
3,14:56,2,10,CHI 25,10,10,Jordan Howard left end for 9 yards (tackle by Deion Jones),0.060,0.560
3,14:20,3,1,CHI 34,10,10,Michael Burton right guard for 7 yards (tackle by Damontae Kazee),0.560,1.660
3,13:44,1,10,CHI 41,10,10,Jordan Howard right end for 2 yards (tackle by Duke Riley and De'Vondre Campbell),1.660,1.390
3,13:13,2,8,CHI 43,10,10,Mike Glennon pass incomplete short left intended for Jordan Howard,1.390,0.700
3,13:07,3,8,CHI 43,10,10,Mike Glennon sacked by Brian Poole for -12 yards,0.700,-1.310
3,12:19,4,20,CHI 31,10,10,"Pat O'Donnell punts 69 yards, touchback",-1.310,-0.280
3,12:09,1,10,ATL 20,10,10,Devonta Freeman left end for no gain (tackle by Sam Acho and Kyle Fuller),0.280,-0.270
3,11:33,2,10,ATL 20,10,10,Matt Ryan pass complete short left to Devonta Freeman for no gain,-0.270,-0.960
3,11:00,3,10,ATL 20,10,10,Matt Ryan sacked by Akiem Hicks for -7 yards,-0.960,-2.490
3,10:22,4,17,ATL 13,10,10,"Matthew Bosher punts 59 yards, returned by Tarik Cohen for 17 yards (tackle by Derrick Coleman)",-2.490,-1.930
3,10:10,1,10,CHI 45,10,10,Jordan Howard left end for 5 yards (tackle by Deion Jones),1.930,2.060
3,9:33,2,5,,10,10,Jordan Howard right end for 1 yard (tackle by Ricardo Allen),2.060,1.490
3,8:51,3,4,ATL 49,10,10,Mike Glennon pass incomplete short left intended for Tarik Cohen,1.490,0.000
3,8:47,4,4,ATL 49,10,10,"Pat O'Donnell punts 35 yards, fair catch by Andre Roberts",0.000,0.280
3,8:39,1,10,ATL 14,10,10,Matt Ryan pass incomplete short right intended for Tevin Coleman (defended by Leonard Floyd),-0.280,-0.750
3,8:32,2,10,ATL 14,10,10,Matt Ryan pass complete short right to Tevin Coleman for 11 yards (tackle by Jerrell Freeman),-0.750,0.610
3,8:06,1,10,ATL 25,10,10,Tevin Coleman left tackle for 1 yard (tackle by Akiem Hicks),0.610,0.200
3,7:26,2,9,ATL 26,10,10,Devonta Freeman right guard for 6 yards (tackle by Danny Trevathan),0.200,0.300
3,6:54,3,3,ATL 32,10,10,Matt Ryan pass complete short left to Mohamed Sanu for 6 yards (tackle by Bryce Callahan and Nick Kwiatkoski),0.300,1.470
3,6:22,1,10,ATL 38,10,10,Matt Ryan pass complete short left to Devonta Freeman for 2 yards (tackle by Jerrell Freeman),1.470,1.190
3,5:59,2,8,ATL 40,10,10,Devonta Freeman right guard for no gain (tackle by Kyle Fuller),1.190,0.500
3,5:17,3,8,ATL 40,10,10,"Matt Ryan pass incomplete deep left intended for Justin Hardy. Penalty on Akiem Hicks: Roughing the Passer, 15 yards (no play)",0.500,2.590
3,5:10,1,10,CHI 45,10,10,Matt Ryan pass complete short middle to Tevin Coleman for 20 yards (tackle by Eddie Jackson),2.590,3.910
3,4:27,1,10,CHI 25,10,10,Matt Ryan pass complete short middle to Mohamed Sanu for 15 yards (tackle by Eddie Jackson),3.910,4.910
3,4:05,1,10,CHI 10,10,10,"Devonta Freeman right guard for 4 yards (tackle by Eddie Goldman). Penalty on Andy Levitre: Offensive Holding, 10 yards (no play)",4.910,0.000
3,3:36,,,,,,Timeout #1 by Atlanta Falcons,0.000,-4.240
3,3:36,1,20,CHI 20,10,10,Devonta Freeman left guard for 6 yards (tackle by Leonard Floyd),4.240,0.000
3,3:05,,,,,,Timeout #1 by Chicago Bears,0.000,-3.580
3,3:05,2,14,CHI 14,10,10,Matt Ryan pass complete short right to Taylor Gabriel for 4 yards (tackle by Marcus Cooper),3.580,3.130
3,2:19,3,10,CHI 10,10,10,Matt Ryan pass incomplete short left intended for Taylor Gabriel,3.130,2.760
3,2:15,4,10,CHI 10,13,10,Matt Bryant 28 yard field goal good,2.760,3.000
3,2:10,,,ATL 35,13,10,"Matthew Bosher kicks off 63 yards, returned by Deonte Thompson for 27 yards (tackle by C.J. Goodwin)",0.000,-0.870
3,2:05,1,10,CHI 29,13,10,Tarik Cohen left end for -3 yards (tackle by Brooks Reed),0.870,-0.080
3,1:21,2,13,CHI 26,13,10,"Tarik Cohen left end for 3 yards (tackle by Takkarist McKinley and Deion Jones). Penalty on Deion Jones: Unnecessary Roughness, 15 yards",-0.080,1.860
3,0:56,1,10,CHI 44,13,10,Jordan Howard left tackle for 2 yards (tackle by Duke Riley),1.860,1.590
3,0:19,2,8,CHI 46,13,10,Mike Glennon pass complete short left to Dion Sims for 9 yards (tackle by Keanu Neal),1.590,2.590
Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 45,13,10,"Jordan Howard left end for 2 yards (tackle by Deion Jones). Penalty on Cody Whitehair: Offensive Holding, 10 yards (no play)",2.590,1.930
4,14:30,1,20,CHI 45,13,10,Mike Glennon pass complete short left to Tarik Cohen for 7 yards (tackle by Robert Alford),1.930,1.640
4,13:55,2,13,ATL 48,13,10,"Mike Glennon pass incomplete short left intended for Dion Sims. Mike Glennon fumbles, recovered by Mike Glennon at CHI-46",1.640,0.960
4,13:48,3,13,ATL 48,13,10,Mike Glennon pass complete short middle to Jordan Howard for 9 yards (tackle by Deion Jones),0.960,0.660
4,13:04,4,4,ATL 39,13,10,"Pat O'Donnell punts 29 yards. Penalty on Robert Alford: Offensive Holding, 5 yards",0.660,0.380
4,12:54,1,10,ATL 5,13,10,Matt Ryan pass complete short left to Mohamed Sanu for 7 yards (tackle by Kyle Fuller),-0.380,-0.270
4,12:13,2,3,ATL 12,13,10,Matt Ryan pass incomplete short right intended for Mohamed Sanu,-0.270,-0.600
4,12:10,3,3,ATL 12,19,10,"Matt Ryan pass complete deep middle to Austin Hooper for 88 yards, touchdown",-0.600,7.000
4,11:55,,,CHI 15,20,10,Matt Bryant kicks extra point good,0.000,0.000
4,11:55,,,ATL 35,20,10,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
4,11:55,1,10,CHI 25,20,10,Mike Glennon pass complete short right to Kendall Wright for 10 yards (tackle by Desmond Trufant),0.610,1.270
4,11:17,1,10,CHI 35,20,10,Mike Glennon pass complete short middle to Zach Miller for 8 yards (tackle by Deion Jones),1.270,1.800
4,10:41,2,2,CHI 43,20,10,Mike Glennon pass incomplete short left intended for Tarik Cohen,1.800,1.090
4,10:36,3,2,CHI 43,20,10,Mike Glennon pass complete short middle to Dion Sims for 22 yards (tackle by Deion Jones),1.090,3.250
4,9:56,1,10,ATL 35,20,10,Mike Glennon pass incomplete deep left intended for Tarik Cohen (defended by De'Vondre Campbell),3.250,2.700
4,9:46,2,10,ATL 35,20,10,"Mike Glennon pass incomplete short left intended for Dion Sims. Penalty on Robert Alford: Defensive Holding, 5 yards (no play)",2.700,3.580
4,9:43,1,10,ATL 30,20,10,Mike Glennon pass complete short right to Kevin White for no gain,3.580,3.030
4,8:57,2,10,ATL 30,20,10,Mike Glennon pass complete short left to Tarik Cohen for 5 yards (tackle by Robert Alford),3.030,3.010
4,8:10,3,5,ATL 25,20,10,Mike Glennon pass complete short right to Josh Bellamy for 6 yards (tackle by Keanu Neal),3.010,4.310
4,7:33,1,10,ATL 19,20,16,"Mike Glennon pass complete short right to Tarik Cohen for 19 yards, touchdown",4.310,7.000
4,7:26,,,ATL 15,20,17,Connor Barth kicks extra point good,0.000,0.000
4,7:26,,,CHI 35,20,17,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
4,7:26,1,10,ATL 25,20,17,Matt Ryan pass incomplete short right intended for Julio Jones (defended by Marcus Cooper),0.610,0.060
4,7:21,2,10,ATL 25,20,17,Matt Ryan pass incomplete short left intended for Derrick Coleman (defended by Kyle Fuller),0.060,-0.620
4,7:16,3,10,ATL 25,20,17,Matt Ryan pass complete short left to Austin Hooper for 40 yards (tackle by Jerrell Freeman),-0.620,3.250
4,6:38,1,10,CHI 35,20,17,Devonta Freeman left end for -1 yards (tackle by Leonard Floyd),3.250,2.570
4,5:57,2,11,CHI 36,20,17,Matt Ryan pass complete short right to Mohamed Sanu for 8 yards (tackle by Jerrell Freeman),2.570,2.940
4,5:20,3,3,CHI 28,20,17,"Matt Ryan pass complete short right to Austin Hooper for 3 yards (tackle by Quintin Demps). Penalty on Marcus Cooper: Defensive Holding, 5 yards (no play)",2.940,4.040
4,4:53,1,10,CHI 23,20,17,Tevin Coleman right guard for no gain (tackle by Jerrell Freeman),4.040,3.500
4,4:17,2,10,CHI 23,20,17,Matt Ryan pass incomplete deep left intended for Levine Toilolo,3.500,2.810
4,4:10,3,10,CHI 23,20,17,Matt Ryan pass complete short right to Julio Jones for 4 yards (tackle by Bryce Callahan),2.810,2.210
4,3:29,4,6,CHI 19,23,17,Matt Bryant 37 yard field goal good,2.210,3.000
4,3:24,,,ATL 35,23,17,"Matthew Bosher kicks off 67 yards, returned by Deonte Thompson for 20 yards (tackle by Damontae Kazee). Deonte Thompson fumbles, recovered by Roy Robertson-Harris at CHI-18 (tackle by Derrick Coleman)",0.000,-0.040
4,3:18,1,10,CHI 18,23,17,Mike Glennon pass complete short right to Jordan Howard for no gain,0.040,-0.490
4,3:11,2,10,CHI 18,23,17,Mike Glennon pass complete short left to Jordan Howard for 5 yards (tackle by Brian Poole),-0.490,-0.530
4,2:27,3,5,CHI 23,23,17,Mike Glennon pass complete short middle to Kendall Wright for 16 yards (tackle by Duke Riley),-0.530,1.530
4,2:00,1,10,CHI 39,23,17,Mike Glennon pass complete short right to Tarik Cohen for 4 yards (tackle by Brian Poole),1.530,1.530
4,1:35,2,6,CHI 43,23,17,Mike Glennon pass complete short left to Kendall Wright for 8 yards (tackle by Brian Poole),1.530,2.320
4,1:15,1,10,ATL 49,23,17,Mike Glennon pass complete short right to Josh Bellamy for 7 yards (tackle by Brian Poole),2.320,2.730
4,0:56,2,3,ATL 42,23,17,Mike Glennon pass incomplete short left intended for Deonte Thompson,2.730,2.020
4,0:51,3,3,ATL 42,23,17,Mike Glennon pass incomplete short left intended for Kendall Wright (defended by Robert Alford),2.020,0.460
4,0:46,4,3,ATL 42,23,17,Mike Glennon pass complete short middle to Josh Bellamy for 14 yards (tackle by Desmond Trufant),0.460,0.000
4,0:39,,,,,,Timeout #2 by Chicago Bears,0.000,-3.710
4,0:39,1,10,ATL 28,23,17,Mike Glennon pass incomplete short right intended for Tarik Cohen,3.710,3.170
4,0:32,2,10,ATL 28,23,17,Mike Glennon pass complete short left to Zach Miller for 12 yards (tackle by Keanu Neal),3.170,0.000
4,0:26,,,,,,Timeout #3 by Chicago Bears,0.000,-4.510
4,0:26,1,10,ATL 16,23,17,Mike Glennon pass complete short left to Zach Miller for 11 yards (tackle by Duke Riley),4.510,6.060
4,0:21,1,5,ATL 5,23,17,Mike Glennon pass incomplete short left intended for Josh Bellamy,6.060,5.150
4,0:16,2,5,ATL 5,23,17,Mike Glennon pass incomplete short left intended for Jordan Howard (defended by Robert Alford),5.150,4.260
4,0:12,3,5,ATL 5,23,17,Mike Glennon pass incomplete short left intended for Zach Miller,4.260,0.000
4,0:08,,,,,,Timeout #2 by Atlanta Falcons,0.000,-3.010
4,0:08,4,5,ATL 5,23,17,Mike Glennon sacked by Brooks Reed for -9 yards,3.010,0.280
4,0:03,1,10,ATL 14,23,17,Matt Ryan kneels for -1 yards,-0.280,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
