Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
2,5:44,1,10,IND 4,17,10,Frank Gore right guard for 1 yard (tackle by Morgan Burnett and Datone Jones),-0.380,-0.710
2,5:07,2,9,IND 5,17,10,Andrew Luck pass incomplete short middle intended for Donte Moncrief,-0.710,-1.300
2,4:58,3,9,IND 5,17,10,Andrew Luck pass complete short middle to Phillip Dorsett for 13 yards (tackle by Joe Thomas),-1.300,0.040
2,4:17,1,10,IND 18,17,10,Frank Gore right tackle for 2 yards (tackle by Letroy Guion and Blake Martinez),0.040,-0.130
2,3:35,2,8,IND 20,17,10,Andrew Luck pass complete short middle to T.Y. Hilton for 17 yards (tackle by Micah Hyde),-0.130,1.400
2,2:58,1,10,IND 37,17,10,"Frank Gore left tackle for 2 yards (tackle by Blake Martinez). Penalty on Julius Peppers: Defensive Offside, 5 yards (no play)",1.400,2.130
2,2:39,1,5,IND 42,17,10,Frank Gore right guard for 3 yards (tackle by Jake Ryan),2.130,1.940
2,2:00,2,2,IND 45,17,10,Andrew Luck pass incomplete short right intended for T.Y. Hilton,1.940,1.220
2,1:56,3,2,IND 45,17,10,Robert Turbin middle for 7 yards (tackle by Blake Martinez),1.220,2.390
2,1:33,1,10,GNB 48,17,10,Andrew Luck pass incomplete short middle intended for Jack Doyle,2.390,1.850
2,1:25,2,10,GNB 48,17,10,Andrew Luck pass complete short left to Jack Doyle for 12 yards (tackle by Morgan Burnett),1.850,3.180
2,0:59,1,10,GNB 36,17,10,Andrew Luck pass complete short left to Robert Turbin for 9 yards (tackle by Ladarius Gunter),3.180,0.000
2,0:46,,,,17,10,Timeout #1 by Indianapolis Colts,0.000,-3.850
2,0:46,2,1,GNB 27,17,10,Andrew Luck pass incomplete short left intended for Donte Moncrief,3.850,3.140
2,0:43,3,1,GNB 27,17,10,Andrew Luck left end for 7 yards (tackle by Jake Ryan),3.140,0.000
2,0:37,,,,17,10,Timeout #2 by Indianapolis Colts,0.000,-4.240
2,0:37,1,10,GNB 20,17,10,Andrew Luck pass complete short middle to Jack Doyle for 12 yards (tackle by Ladarius Gunter),4.240,5.370
2,0:15,1,8,GNB 8,23,10,"Andrew Luck pass complete short left to Donte Moncrief for 8 yards, touchdown",5.370,7.000
2,0:11,,,GNB 15,24,10,Adam Vinatieri kicks extra point good,0.000,0.000
2,0:11,,,IND 35,24,10,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
2,0:11,1,10,GNB 25,24,10,Aaron Rodgers kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,24,10,"Pat McAfee kicks off 61 yards, returned by Trevor Davis for 21 yards (tackle by Akeem Ayers)",0.000,-0.610
3,14:55,1,10,GNB 25,24,10,Aaron Rodgers pass incomplete short middle intended for Davante Adams,0.610,0.060
3,14:51,2,10,GNB 25,24,10,Ty Montgomery right guard for 1 yard (tackle by David Parry),0.060,-0.490
3,14:16,3,9,GNB 26,24,10,Aaron Rodgers pass complete short right to Richard Rodgers for 11 yards (tackle by Clayton Geathers),-0.490,1.400
3,13:43,1,10,GNB 37,24,10,Aaron Rodgers pass complete short middle to Jordy Nelson for 9 yards (tackle by Rashaan Melvin),1.400,2.070
3,13:07,2,1,GNB 46,24,10,Ty Montgomery left tackle for 4 yards (tackle by Arthur Jones and D'Qwell Jackson),2.070,2.260
3,12:21,1,10,,24,10,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards (tackle by Rashaan Melvin),2.260,2.920
3,11:37,1,10,IND 40,24,10,Aaron Rodgers for 3 yards (tackle by D'Qwell Jackson),2.920,2.780
3,10:55,2,7,IND 37,24,10,"Aaron Rodgers pass incomplete short right intended for Davante Adams. Penalty on Patrick Robinson: Defensive Holding, 5 yards (no play)",2.780,3.450
3,10:50,1,10,IND 32,24,10,"Randall Cobb left end for 2 yards (tackle by Darius Butler). Randall Cobb fumbles (forced by Darius Butler), ball out of bounds at IND-30. Penalty on David Bakhtiari: Offensive Holding, 10 yards (no play)",3.450,2.790
3,10:20,1,20,IND 42,24,10,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards (tackle by Rashaan Melvin),2.790,2.900
3,9:50,2,10,IND 32,24,10,Aaron Rodgers sacked by David Parry for -1 yards,2.900,0.000
3,9:03,,,,24,10,Timeout #1 by Green Bay Packers,0.000,-2.080
3,9:03,3,11,IND 33,24,10,"Aaron Rodgers pass incomplete deep right intended for Jordy Nelson is intercepted by T.J. Green at IND--4. Penalty on Corey Linsley: Offensive Holding (Offsetting), Penalty on Zach Kerr: Roughing the Passer (Offsetting) (no play)",2.080,2.080
3,8:48,3,11,IND 33,24,10,Aaron Rodgers pass incomplete short middle intended for Davante Adams is intercepted by Darius Butler at IND-21,2.080,-0.340
3,8:43,1,10,IND 21,24,10,Andrew Luck pass complete short right to T.Y. Hilton for 7 yards (tackle by Quinten Rollins),0.340,0.750
3,8:20,2,3,IND 28,24,10,Frank Gore right end for no gain (tackle by Jake Ryan and Nick Perry),0.750,0.040
3,7:38,3,3,IND 28,24,10,Andrew Luck pass incomplete short middle intended for Jack Doyle (defended by Kyler Fackrell),0.040,-1.500
3,7:34,4,3,IND 28,24,10,"Pat McAfee punts 54 yards, returned by Trevor Davis for 8 yards (tackle by Curt Maggitt)",-1.500,-0.670
3,7:24,1,10,GNB 26,24,10,Aaron Rodgers pass complete short right to Jordy Nelson for 13 yards (tackle by Edwin Jackson),0.670,1.530
3,6:48,1,10,GNB 39,24,10,Aaron Rodgers pass complete short right to Richard Rodgers for 1 yard (tackle by Edwin Jackson),1.530,1.120
3,6:08,2,9,GNB 40,24,10,Don Jackson right end for 6 yards (tackle by David Parry and Arthur Jones),1.120,1.220
3,5:25,3,3,GNB 46,24,10,Aaron Rodgers pass complete short left to Ty Montgomery for 13 yards (tackle by T.J. Green),1.220,2.850
3,4:35,1,10,IND 41,24,10,Don Jackson left end for 2 yards (tackle by David Parry and Arthur Jones),2.850,2.580
3,3:53,2,8,IND 39,24,10,Aaron Rodgers pass complete short middle to Jeff Janis for 25 yards (tackle by T.J. Green and Darius Butler),2.580,4.650
3,3:16,1,10,IND 14,24,10,Ty Montgomery right end for 1 yard (tackle by Clayton Geathers),4.650,4.160
3,2:27,2,9,IND 13,24,10,Aaron Rodgers pass incomplete short left intended for Geronimo Allison,4.160,3.260
3,2:22,3,9,IND 13,24,10,Aaron Rodgers for 4 yards (tackle by Clayton Geathers),3.260,2.880
3,1:49,4,5,IND 9,24,13,Mason Crosby 27 yard field goal good,2.880,3.000
3,1:46,,,GNB 35,24,13,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
3,1:46,1,10,IND 25,24,13,"Penalty on Mike Daniels: Neutral Zone Infraction, 5 yards (no play)",0.610,1.340
3,1:46,1,5,IND 30,24,13,Frank Gore middle for 7 yards (tackle by Letroy Guion),1.340,1.400
3,1:21,1,10,IND 37,24,13,Frank Gore right end for -3 yards (tackle by Micah Hyde),1.400,0.450
3,0:38,2,13,IND 34,24,13,Andrew Luck pass complete short left to Robert Turbin for 4 yards (tackle by Joe Thomas),0.450,0.300
Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,IND 38,24,13,Andrew Luck sacked by Morgan Burnett for -5 yards,0.300,-1.180
4,14:39,4,14,IND 33,24,13,"Pat McAfee punts 53 yards, out of bounds. Penalty on Ty Montgomery: Roughing the Kicker (Offsetting), Penalty on Matt Overton: Offensive Holding (Offsetting) (no play)",-1.180,-1.180
4,14:28,4,14,IND 33,24,13,"Pat McAfee punts 67 yards, touchback. Penalty on IND: Illegal Formation, 5 yards",-1.180,-0.610
4,14:21,1,10,GNB 25,24,13,Aaron Rodgers pass complete short right to Justin Perillo for 9 yards (tackle by Patrick Robinson),0.610,1.280
4,13:52,2,1,GNB 34,24,13,Aaron Ripkowski right guard for 2 yards (tackle by Arthur Jones),1.280,1.330
4,13:22,1,10,GNB 36,24,13,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,1.330,0.790
4,13:18,2,10,GNB 36,24,13,Aaron Rodgers for 4 yards (tackle by Clayton Geathers),0.790,0.630
4,12:40,3,6,GNB 40,24,13,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,0.630,-0.720
4,12:34,4,6,GNB 40,24,13,"Jake Schum punts 31 yards, out of bounds",-0.720,-0.870
4,12:28,1,10,IND 29,24,13,Andrew Luck pass complete deep left to Donte Moncrief for 39 yards (tackle by Ladarius Gunter),0.870,3.450
4,11:48,1,10,GNB 32,24,13,Frank Gore left end for 6 yards (tackle by Jake Ryan),3.450,3.710
4,11:07,2,4,GNB 26,24,13,Andrew Luck pass complete short right to Jack Doyle for 12 yards (tackle by Morgan Burnett),3.710,4.650
4,10:25,1,10,GNB 14,24,13,Andrew Luck pass incomplete short right intended for Robert Turbin,4.650,4.000
4,10:19,2,10,GNB 14,24,13,"Andrew Luck pass incomplete short right intended for Frank Gore. Penalty on Kentrell Brice: Defensive Holding, 5 yards (no play)",4.000,5.140
4,10:15,1,9,GNB 9,24,13,Frank Gore left guard for 5 yards (tackle by Morgan Burnett and Blake Martinez),5.140,5.340
4,9:39,2,4,GNB 4,30,13,"Frank Gore right tackle for 4 yards, touchdown",5.340,7.000
4,9:35,,,GNB 15,31,13,Adam Vinatieri kicks extra point good,0.000,0.000
4,9:35,,,IND 35,31,13,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
4,9:35,1,10,GNB 25,31,13,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,0.610,0.060
4,9:28,2,10,GNB 25,31,13,"Aaron Rodgers pass complete short left to Ty Montgomery for 7 yards (tackle by Vontae Davis). Penalty on Vontae Davis: Unnecessary Roughness, 15 yards",0.060,2.060
4,9:02,1,10,GNB 47,31,13,Aaron Rodgers pass complete deep right to Davante Adams for 40 yards (tackle by D'Qwell Jackson),2.060,4.710
4,8:17,1,10,IND 13,31,13,Aaron Rodgers pass complete short left to Randall Cobb for 11 yards (tackle by Frankie Williams),4.710,6.740
4,7:49,1,2,IND 2,31,13,Aaron Rodgers pass incomplete short right intended for Richard Rodgers,6.740,5.720
4,7:43,2,2,IND 2,31,19,"Aaron Rodgers pass complete short left to Davante Adams for 2 yards, touchdown",5.720,7.000
4,7:40,,,IND 2,31,19,"Two Point Attempt: Aaron Rodgers pass incomplete intended for Davante Adams, conversion fails",0.000,-1.000
4,7:40,,,GNB 35,31,19,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
4,7:40,1,10,IND 25,31,19,Andrew Luck pass complete short right to Erik Swoope for 7 yards (tackle by Ladarius Gunter and Quinten Rollins),0.610,1.010
4,6:58,2,3,IND 32,31,19,Frank Gore right end for -3 yards (tackle by Jake Ryan),1.010,-0.100
4,6:17,3,6,IND 29,31,19,Andrew Luck pass complete short left to Jack Doyle for 5 yards (tackle by Kyler Fackrell),-0.100,-1.110
4,5:35,4,1,IND 34,31,19,"Pat McAfee punts 46 yards, fair catch by Trevor Davis",-1.110,-0.280
4,5:28,1,10,GNB 20,31,19,Aaron Rodgers pass complete short middle to Ty Montgomery for 18 yards (tackle by Clayton Geathers and Hassan Ridgeway),0.280,1.470
4,4:57,1,10,GNB 38,31,19,Aaron Rodgers pass complete short left to Jordy Nelson for 13 yards (tackle by Vontae Davis),1.470,2.320
4,4:52,1,10,IND 49,31,19,Aaron Rodgers pass complete short left to Richard Rodgers for 9 yards (tackle by D'Qwell Jackson),2.320,3.000
4,4:18,2,1,IND 40,31,19,Aaron Rodgers pass complete short left to Aaron Ripkowski for 3 yards (tackle by Clayton Geathers),3.000,3.120
4,3:50,1,10,IND 37,31,19,Aaron Rodgers for 21 yards (tackle by T.J. Green),3.120,4.510
4,3:41,1,10,IND 16,31,19,Aaron Rodgers pass complete short left to Jordy Nelson for 13 yards (tackle by Darius Butler),4.510,6.510
4,3:34,1,3,IND 3,31,25,"Aaron Rodgers pass complete short middle to Randall Cobb for 3 yards, touchdown",6.510,7.000
4,3:29,,,IND 15,31,26,Mason Crosby kicks extra point good,0.000,0.000
4,3:29,,,GNB 35,31,26,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
4,3:29,1,10,IND 25,31,26,Frank Gore left tackle for no gain (tackle by Letroy Guion),0.610,0.000
4,3:24,,,,31,26,Timeout #2 by Green Bay Packers,0.000,-0.060
4,3:24,2,10,IND 25,31,26,Andrew Luck pass incomplete short right intended for T.Y. Hilton,0.060,-0.620
4,3:19,3,10,IND 25,31,26,Andrew Luck pass complete deep middle to Jack Doyle for 20 yards (tackle by Kyler Fackrell),-0.620,0.000
4,3:07,,,,31,26,Timeout #3 by Green Bay Packers,0.000,-1.930
4,3:07,1,10,IND 45,31,26,Frank Gore middle for 2 yards (tackle by Kentrell Brice),1.930,1.650
4,2:25,2,8,IND 47,31,26,Andrew Luck pass complete short left to T.Y. Hilton for 6 yards,1.650,0.000
4,2:21,,,,31,26,Timeout #1 by Indianapolis Colts,0.000,-1.750
4,2:21,3,2,GNB 47,31,26,Andrew Luck pass complete deep middle to T.Y. Hilton for 27 yards (tackle by Ladarius Gunter),1.750,4.240
4,2:00,1,10,GNB 20,31,26,Andrew Luck kneels for -1 yards,4.240,3.560
4,1:19,2,11,GNB 21,31,26,Andrew Luck kneels for -1 yards,3.560,2.740
4,0:40,3,12,GNB 22,31,26,Andrew Luck kneels for -1 yards,2.740,1.930
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
