Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA
2,7:47,2,10,KAN 17,7,14,"Aaron Rodgers pass complete short left to Randall Cobb for 17 yards. Penalty on Ty Montgomery: Offensive Pass Interference, 10 yards (no play)",3.850,2.540
2,7:42,2,20,KAN 27,7,14,Aaron Rodgers pass complete short middle to James Jones for 9 yards (tackle by Tyvon Branch),2.540,3.000
2,6:59,3,11,KAN 18,7,14,Aaron Rodgers sacked by Tamba Hali for -8 yards,3.000,1.740
2,6:20,4,19,KAN 26,7,17,Mason Crosby 44 yard field goal good,1.740,3.000
2,6:20,,,GNB 35,7,17,"Mason Crosby kicks off 68 yards, returned by Knile Davis for 25 yards (tackle by Joe Thomas)",0.000,-0.410
2,6:11,1,10,KAN 22,7,17,Jamaal Charles right end for 2 yards (tackle by Nate Palmer),0.410,0.140
2,5:33,2,8,KAN 24,7,17,Alex Smith right end for 4 yards (tackle by Casey Hayward),0.140,-0.030
2,4:46,3,4,KAN 28,7,17,De'Anthony Thomas for -7 yards (tackle by Sam Shields),-0.030,-1.960
2,4:09,4,11,KAN 21,7,17,"Dustin Colquitt punts 57 yards, returned by Micah Hyde for 10 yards (tackle by Josh Mauga)",-1.960,-1.070
2,3:58,1,10,GNB 32,7,17,James Starks right end for 1 yard (tackle by Dee Ford and Jaye Howard),1.070,0.660
2,3:23,2,9,GNB 33,7,17,Aaron Rodgers for 11 yards (tackle by Josh Mauga),0.660,1.860
2,2:44,1,10,GNB 44,7,17,Aaron Rodgers pass incomplete short middle intended for Randall Cobb (defended by Derrick Johnson),1.860,1.860
2,2:41,1,10,GNB 44,7,17,Timeout #1 by Green Bay Packers,1.860,1.320
2,2:40,2,10,GNB 44,7,17,"Aaron Rodgers pass complete short middle to Eddie Lacy for 6 yards (tackle by Dontari Poe). Penalty on Ty Montgomery: Illegal Use of Hands, 10 yards",1.320,0.780
2,2:13,2,14,GNB 40,7,17,James Starks left guard for 4 yards (tackle by Dontari Poe),0.780,0.630
2,2:00,3,10,GNB 44,7,17,Aaron Rodgers pass complete short middle to Randall Cobb for 15 yards (tackle by Tyvon Branch),0.630,2.850
2,1:28,1,10,KAN 41,7,17,Aaron Rodgers pass complete short right to Randall Cobb for 9 yards (tackle by Tyvon Branch),2.850,3.520
2,1:20,2,1,KAN 32,7,17,James Starks right guard for no gain (tackle by Derrick Johnson),3.520,2.810
2,1:06,3,1,KAN 32,7,17,"Aaron Rodgers pass incomplete deep left intended for James Jones. Penalty on Jaye Howard: Defensive 12 On-field, 5 yards, Penalty on Ron Parker: Defensive Holding (Declined) (no play)",2.810,3.780
2,0:56,1,10,KAN 27,7,23,"Aaron Rodgers pass complete deep left to James Jones for 27 yards, touchdown. Penalty on Tamba Hali: Defensive Offside (Declined)",3.780,7.000
2,0:56,,,KAN 27,7,24,Mason Crosby kicks extra point good,0.000,0.000
2,0:56,,,GNB 35,7,24,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
2,0:56,1,10,KAN 20,7,24,Jamaal Charles left guard for 3 yards (tackle by Joe Thomas),0.280,0.140
2,0:26,2,7,KAN 23,7,24,Jamaal Charles middle for 10 yards (tackle by Julius Peppers),0.140,0.140
2,0:18,2,7,KAN 23,7,24,Timeout #2 by Kansas City Chiefs,0.140,1.140
2,0:18,1,10,KAN 33,7,24,Alex Smith pass incomplete short middle intended for Albert Wilson,1.140,0.590
2,0:14,2,10,KAN 33,7,24,Jamaal Charles left tackle for 13 yards (tackle by Casey Hayward),0.590,0.590
2,0:08,2,10,KAN 33,7,24,Timeout #3 by Kansas City Chiefs,0.590,1.990
2,0:08,1,10,KAN 46,7,24,Alex Smith right end for 19 yards (tackle by Datone Jones),1.990,3.250
Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,7,24,"Mason Crosby kicks off 61 yards, returned by Knile Davis for 16 yards (tackle by Andy Mulumba)",0.000,0.280
3,14:53,1,10,KAN 20,7,24,Alex Smith pass complete short right to Travis Kelce for -3 yards (tackle by Casey Hayward),0.280,-0.790
3,14:15,2,13,KAN 17,7,24,Alex Smith pass incomplete deep right intended for Travis Kelce,-0.790,-1.510
3,14:10,3,13,KAN 17,7,24,Alex Smith pass complete short left to Travis Kelce for 5 yards (tackle by Clay Matthews),-1.510,-1.900
3,13:38,4,8,KAN 22,7,24,"Dustin Colquitt punts 48 yards, returned by Micah Hyde for no gain",-1.900,-0.940
3,13:30,1,10,GNB 30,7,24,Eddie Lacy right tackle for no gain (tackle by Tamba Hali),0.940,0.390
3,12:58,2,10,GNB 30,7,24,Aaron Rodgers pass incomplete short middle intended for Randall Cobb (defended by Josh Mauga),0.390,-0.300
3,12:54,3,10,GNB 30,7,24,Aaron Rodgers pass incomplete short right intended for Randall Cobb,-0.300,-1.370
3,12:45,4,10,GNB 30,7,24,"Tim Masthay punts 40 yards, returned by De'Anthony Thomas for no gain. Penalty on Quinten Rollins: Face Mask (15 Yards), 15 yards",-1.370,-1.930
3,12:32,1,10,KAN 45,7,24,Alex Smith sacked by Jayrone Elliott for -10 yards,1.930,0.030
3,11:51,2,20,KAN 35,7,24,Alex Smith sacked by Mike Daniels and Mike Neal for -7 yards,0.030,-1.550
3,11:08,3,27,KAN 28,7,24,Alex Smith pass complete short right to Jamaal Charles for 9 yards (tackle by Micah Hyde),-1.550,-0.910
3,10:23,4,18,KAN 37,7,24,"Dustin Colquitt punts 61 yards, out of bounds",-0.910,0.380
3,10:23,1,10,GNB 2,7,24,James Starks right guard for 3 yards (tackle by Derrick Johnson),-0.380,-0.560
3,9:51,2,7,GNB 5,7,24,Aaron Rodgers pass complete short left to Randall Cobb for 29 yards (tackle by Jamell Fleming),-0.560,-0.560
3,8:58,2,7,GNB 5,7,24,Timeout #1 by Green Bay Packers,-0.560,1.200
3,8:58,1,10,GNB 34,7,24,James Starks right end for -2 yards (tackle by Jaye Howard),1.200,0.390
3,8:30,2,12,GNB 32,7,24,Aaron Rodgers pass incomplete short left intended for James Jones,0.390,-0.300
3,8:25,3,12,GNB 32,7,24,Aaron Rodgers pass complete short left to James Jones for 9 yards (tackle by Marcus Cooper). Penalty on Don Barclay: Face Mask (15 Yards) (Declined),-0.300,-0.300
3,8:10,3,12,GNB 32,7,24,Timeout #2 by Green Bay Packers,-0.300,-0.650
3,8:10,4,3,GNB 41,7,24,"Tim Masthay punts 46 yards, returned by De'Anthony Thomas for 2 yards (tackle by Chris Banjo). Penalty on Tyvon Branch: Offensive Holding, 7 yards",-0.650,0.380
3,7:58,1,10,KAN 8,7,24,"Penalty on B.J. Raji: Encroachment, 5 yards (no play)",-0.380,-0.070
3,7:58,1,5,KAN 13,7,24,Alex Smith pass incomplete short middle intended for Jeremy Maclin,-0.070,-0.410
3,7:51,2,5,KAN 13,7,24,"Alex Smith pass complete short left to Anthony Sherman for 1 yard (tackle by Ha Ha Clinton-Dix and Clay Matthews). Penalty on Donald Stephenson: Unnecessary Roughness, 6 yards (no play)",-0.410,-0.850
3,7:33,2,11,KAN 7,7,24,Alex Smith pass incomplete short left intended for Albert Wilson is intercepted by Sam Shields at KAN-19 and returned for 15 yards. Penalty on Ben Grubbs: Offensive Holding (Declined),-0.850,-6.280
3,7:22,1,4,KAN 4,7,30,"Aaron Rodgers pass complete short left to Randall Cobb for 4 yards, touchdown",6.280,7.000
3,7:22,,,KAN 4,7,31,Mason Crosby kicks extra point good,0.000,0.000
3,7:22,,,GNB 35,7,31,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
3,7:18,1,10,KAN 20,7,31,Alex Smith pass complete short left to Jamaal Charles for 4 yards (tackle by Casey Hayward),0.280,0.270
3,6:38,2,6,KAN 24,7,31,Alex Smith pass complete short right to Travis Kelce for 6 yards (tackle by Damarious Randall and Julius Peppers),0.270,0.940
3,5:54,1,10,KAN 30,7,31,Alex Smith pass incomplete deep right intended for Albert Wilson,0.940,0.390
3,5:49,2,10,KAN 30,7,31,Alex Smith pass complete short middle to Jamaal Charles for 13 yards (tackle by Ha Ha Clinton-Dix),0.390,1.800
3,5:13,1,10,KAN 43,7,31,Alex Smith pass complete short right to Jamaal Charles for 6 yards (tackle by Jayrone Elliott),1.800,2.060
3,4:35,2,4,KAN 49,7,31,Alex Smith pass complete short left to Travis Kelce for 20 yards (tackle by Sam Shields),2.060,3.510
3,3:58,1,10,GNB 31,7,31,"Alex Smith sacked by Mike Daniels for -7 yards. Alex Smith fumbles (forced by Mike Daniels), recovered by Eric Fisher at GNB-37",3.510,2.160
3,2:59,2,16,GNB 37,7,31,Alex Smith sacked by Clay Matthews for -1 yards. Penalty on Laurent Duvernay-Tardif: Offensive Holding (Declined),2.160,1.360
3,2:31,3,17,GNB 38,7,31,Alex Smith pass complete deep middle to Jeremy Maclin for 31 yards (tackle by Chris Banjo),1.360,5.600
3,1:44,1,7,GNB 7,7,31,Jamaal Charles middle for 2 yards (tackle by Mike Pennel),5.600,5.150
3,1:00,2,5,GNB 5,13,31,"Alex Smith pass complete short middle to Jeremy Maclin for 5 yards, touchdown",5.150,7.000
3,1:00,,,GNB 5,14,31,Cairo Santos kicks extra point good,0.000,0.000
3,1:00,,,KAN 35,14,31,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
3,0:56,1,10,GNB 20,14,31,Eddie Lacy left tackle for 9 yards (tackle by Ron Parker),0.280,0.950
3,0:13,2,1,GNB 29,14,31,Aaron Rodgers pass complete short middle to Eddie Lacy for 9 yards (tackle by Tyvon Branch),0.950,1.470
Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 38,14,31,Eddie Lacy left end for -1 yards (tackle by Jaye Howard),1.470,0.790
4,14:15,2,11,GNB 37,14,31,James Starks left end for 3 yards (tackle by Josh Mauga),0.790,0.500
4,13:31,3,8,GNB 40,14,31,Aaron Rodgers pass complete deep right to James Jones for 52 yards (tackle by Eric Berry). Penalty on Dee Ford: Defensive Offside (Declined),0.500,5.370
4,13:01,1,8,KAN 8,14,31,Aaron Rodgers pass incomplete short left intended for Randall Cobb,5.370,4.570
4,12:57,2,8,KAN 8,14,31,Eddie Lacy right end for 4 yards (tackle by Derrick Johnson),4.570,4.490
4,12:13,3,4,KAN 4,14,37,"Aaron Rodgers pass complete short right to Randall Cobb for 4 yards, touchdown",4.490,7.000
4,12:13,,,KAN 4,14,38,Mason Crosby kicks extra point good,0.000,0.000
4,12:13,,,GNB 35,14,38,"Mason Crosby kicks off 73 yards, returned by De'Anthony Thomas for 19 yards (tackle by Jayrone Elliott)",0.000,0.370
4,12:06,1,10,KAN 11,14,38,Alex Smith pass complete short right to Jason Avant for 5 yards (tackle by Damarious Randall),-0.370,-0.300
4,11:49,2,5,KAN 16,14,38,Alex Smith middle for 1 yard (tackle by Julius Peppers and Mike Daniels),-0.300,-0.720
4,11:22,3,4,KAN 17,14,38,"Alex Smith pass incomplete short middle intended for Chris Conley. Penalty on Damarious Randall: Defensive Holding, 5 yards (no play)",-0.720,0.410
4,11:18,1,10,KAN 22,14,38,Alex Smith middle for 3 yards (tackle by Joe Thomas),0.410,0.270
4,10:57,2,7,KAN 25,14,38,Alex Smith pass complete deep middle to Jeremy Maclin for 61 yards (tackle by Sam Shields),0.270,4.650
4,10:19,1,10,GNB 14,14,38,Alex Smith pass incomplete short middle intended for Travis Kelce,4.650,4.000
4,10:16,2,10,GNB 14,14,38,"Alex Smith pass complete short middle to Jeremy Maclin for 5 yards (tackle by Ha Ha Clinton-Dix). Penalty on Ha Ha Clinton-Dix: Unnecessary Roughness, 5 yards",4.000,6.280
4,10:01,1,4,GNB 4,20,38,"Jamaal Charles middle for 4 yards, touchdown",6.280,7.000
4,10:01,1,,GNB 4,22,38,"Two Point Attempt: Alex Smith pass complete to Travis Kelce, conversion succeeds",6.280,1.000
4,10:01,,,KAN 35,22,38,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
4,9:54,1,10,GNB 20,22,38,James Starks left end for -2 yards (tackle by Jaye Howard),0.280,-0.630
4,9:28,2,12,GNB 18,22,38,"Aaron Rodgers pass complete short right to Jeff Janis for 9 yards (tackle by Marcus Peters). Penalty on Jeff Janis: Illegal Shift, 5 yards (no play)",-0.630,-1.280
4,9:04,2,17,GNB 13,22,38,Aaron Rodgers pass complete short middle to Richard Rodgers for 8 yards (tackle by Ron Parker),-1.280,-0.820
4,8:20,3,9,GNB 21,22,38,Aaron Rodgers pass complete short middle to James Jones for 10 yards (tackle by Ron Parker),-0.820,-0.820
4,7:34,3,9,GNB 21,22,38,Timeout #3 by Green Bay Packers,-0.820,1.000
4,7:34,1,10,GNB 31,22,38,James Starks right end for 2 yards (tackle by Justin Houston),1.000,0.730
4,6:49,2,8,GNB 33,22,38,Alonzo Harris right tackle for 1 yard (tackle by Derrick Johnson),0.730,0.170
4,6:05,3,7,GNB 34,22,38,Aaron Rodgers pass incomplete short right intended for Richard Rodgers,0.170,-1.110
4,5:57,4,7,GNB 34,22,38,"Tim Masthay punts 49 yards, returned by De'Anthony Thomas for no gain",-1.110,0.060
4,5:48,1,10,KAN 17,22,38,Alex Smith pass complete short middle to Travis Kelce for 14 yards (tackle by Ha Ha Clinton-Dix),-0.060,1.000
4,5:14,1,10,KAN 31,22,38,Alex Smith pass incomplete short right intended for Travis Kelce,1.000,0.460
4,5:10,2,10,KAN 31,22,38,Alex Smith pass complete deep middle to Chris Conley for 16 yards (tackle by Ha Ha Clinton-Dix),0.460,2.060
4,4:42,1,10,KAN 47,22,38,Alex Smith pass complete short right to Jeremy Maclin for 11 yards (tackle by Damarious Randall),2.060,2.790
4,4:37,1,10,GNB 42,22,38,Alex Smith pass incomplete short right intended for Jamaal Charles,2.790,2.240
4,4:33,2,10,GNB 42,22,38,Alex Smith sacked by Clay Matthews for -7 yards,2.240,0.630
4,4:01,3,17,GNB 49,22,38,Alex Smith pass incomplete short left intended for Jamaal Charles,0.630,0.000
4,3:57,4,17,GNB 49,22,38,Alex Smith pass complete deep middle to Jeremy Maclin for 17 yards (tackle by Sam Shields),0.000,3.450
4,3:27,1,10,GNB 32,22,38,Alex Smith pass incomplete short left intended for Charcandrick West (defended by Damarious Randall),3.450,2.900
4,3:24,2,10,GNB 32,22,38,"Alex Smith pass incomplete deep right intended for Jeremy Maclin is intercepted by Casey Hayward at GNB-10. Penalty on Julius Peppers: Defensive Offside, 5 yards (no play)",2.900,3.580
4,3:16,2,5,GNB 27,22,38,Alex Smith pass complete short right to Jeremy Maclin for 3 yards (tackle by Quinten Rollins),3.580,3.270
4,3:09,3,2,GNB 24,22,38,Alex Smith pass incomplete short middle intended for Jason Avant,3.270,1.990
4,3:06,4,2,GNB 24,22,38,Alex Smith pass complete short middle to Jason Avant for 3 yards (tackle by Quinten Rollins),1.990,4.170
4,2:44,1,10,GNB 21,22,38,Alex Smith pass complete short left to Jeremy Maclin for 8 yards (tackle by Sam Shields),4.170,4.170
4,2:39,1,10,GNB 21,22,38,Timeout #1 by Kansas City Chiefs,4.170,4.950
4,2:39,2,2,GNB 13,22,38,"Alex Smith sacked by Nick Perry for -6 yards. Alex Smith fumbles (forced by Nick Perry), recovered by Donald Stephenson at GNB-19",4.950,3.180
4,2:05,3,8,GNB 19,22,38,Alex Smith pass complete short right to De'Anthony Thomas for 9 yards (tackle by Micah Hyde),3.180,4.910
4,1:59,1,10,GNB 10,22,38,Alex Smith pass complete short right to De'Anthony Thomas for 3 yards (tackle by Casey Hayward),4.910,4.760
4,1:30,2,7,GNB 7,28,38,"Jamaal Charles middle for 7 yards, touchdown",4.760,7.000
4,1:30,2,,GNB 7,28,38,"Two Point Attempt: Alex Smith pass incomplete intended for Jason Avant, conversion fails",4.760,-1.000
4,1:30,,,KAN 35,28,38,"Cairo Santos kicks onside 13 yards, recovered by Micah Hyde",0.000,-2.390
4,1:24,1,10,KAN 48,28,38,James Starks left end for 3 yards (tackle by Jaye Howard),2.390,2.390
4,1:19,1,10,KAN 48,28,38,Timeout #2 by Kansas City Chiefs,2.390,2.250
4,1:19,2,7,KAN 45,28,38,James Starks left end for -1 yards (tackle by Mike DeVito),2.250,2.250
4,1:15,2,7,KAN 45,28,38,Timeout #3 by Kansas City Chiefs,2.250,1.420
4,1:15,3,8,KAN 46,28,38,James Starks left tackle for no gain (tackle by Derrick Johnson),1.420,0.200
4,1:15,4,8,KAN 46,28,38,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",0.200,-0.130
4,0:29,4,13,GNB 49,28,38,"Tim Masthay punts 40 yards, returned by De'Anthony Thomas for 16 yards (tackle by Chris Banjo)",-0.130,-0.740
4,0:19,1,10,KAN 27,28,38,Alex Smith pass incomplete deep middle intended for Jason Avant,0.740,0.200
4,0:12,2,10,KAN 27,28,38,Alex Smith middle for 1 yard (tackle by Bruce Gaston),0.200,-0.360
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
