Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
3,4:40,1,10,PIT 36,10,27,Najee Harris right tackle for 3 yards (tackle by Chauncey Rivers),,
3,4:03,2,7,PIT 39,10,27,Najee Harris left end for 11 yards (tackle by Jonathan Garvin),,
3,3:33,1,10,PIT 50,10,27,Ben Roethlisberger pass complete short left to Diontae Johnson for 12 yards (tackle by Adrian Amos),,
3,3:14,1,10,GNB 38,10,27,Najee Harris left guard for 6 yards (tackle by Oren Burks),,
3,2:50,2,4,GNB 32,10,27,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson,,
3,2:45,3,4,GNB 32,10,27,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,,
3,2:40,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,2:40,4,4,GNB 32,10,27,Ben Roethlisberger pass complete short right to Najee Harris for -1 yards (tackle by Oren Burks and Chandon Sullivan),,
3,2:33,1,10,GNB 33,10,27,Aaron Rodgers pass complete short middle to Allen Lazard for 28 yards (tackle by Minkah Fitzpatrick),,
3,1:46,1,10,PIT 39,10,27,"Aaron Jones up the middle for 1 yard. Aaron Jones fumbles (forced by Chris Wormley), recovered by T.J. Watt at PIT-35 (tackle by Chris Wormley)",,
3,1:41,1,10,PIT 35,10,27,Ben Roethlisberger pass incomplete short middle intended for Najee Harris,,
3,1:37,2,10,PIT 35,10,27,Ben Roethlisberger pass complete short middle to Pat Freiermuth for 11 yards (tackle by De'Vondre Campbell),,
3,1:13,1,10,PIT 46,10,27,Ben Roethlisberger pass complete short right to James Washington for 11 yards (tackle by Isaac Yiadom),,
3,0:51,1,10,GNB 43,10,27,Najee Harris up the middle for 1 yard (tackle by Kenny Clark and Rashan Gary),,
3,0:10,2,9,GNB 42,10,27,Ben Roethlisberger pass complete short middle to Diontae Johnson for 5 yards (tackle by Oren Burks),,
Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,GNB 37,10,27,Ben Roethlisberger pass complete short middle to Diontae Johnson for no gain (tackle by De'Vondre Campbell),,
4,14:24,4,4,GNB 37,10,27,"Penalty on Diontae Johnson: False Start, 5 yards (accepted) (no play)",,
4,14:24,4,9,GNB 42,10,27,Pressley Harvin punts 37 yards downed by Derrek Tuszka,,
4,14:14,1,10,GNB 5,10,27,AJ Dillon up the middle for -1 yards (tackle by Cameron Heyward),,
4,13:34,2,11,GNB 4,10,27,Aaron Rodgers pass complete short right to Robert Tonyan for 2 yards (tackle by Joe Haden),,
4,12:48,3,9,GNB 6,10,27,Aaron Rodgers pass incomplete deep left intended for Davante Adams,,
4,12:43,4,9,GNB 6,10,27,"Corey Bojorquez punts 57 yards, fair catch by Ray-Ray McCloud at PIT-37",,
4,12:35,1,10,PIT 37,10,27,Ben Roethlisberger pass complete short middle to Eric Ebron for 4 yards (tackle by Chandon Sullivan and Oren Burks),,
4,12:10,2,6,PIT 41,10,27,Najee Harris left guard for 3 yards (tackle by Rashan Gary),,
4,11:47,3,3,PIT 44,10,27,Najee Harris left tackle for 4 yards (tackle by Rashan Gary),,
4,11:11,1,10,PIT 48,10,27,Ben Roethlisberger sacked by Rashan Gary for -6 yards,,
4,10:37,2,15,PIT 42,10,27,Ben Roethlisberger pass complete short right to James Washington for 11 yards (tackle by De'Vondre Campbell and Isaac Yiadom),,
4,10:15,3,4,GNB 47,10,27,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster (defended by De'Vondre Campbell),,
4,10:12,4,5,GNB 47,10,27,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 2 yards (tackle by De'Vondre Campbell),,
4,10:05,1,10,GNB 45,10,27,AJ Dillon right guard for 5 yards (tackle by Cameron Heyward),,
4,9:20,2,5,GNB 50,10,27,AJ Dillon up the middle for 4 yards (tackle by Joe Schobert),,
4,8:37,3,1,PIT 46,10,27,AJ Dillon up the middle for 5 yards (tackle by Alex Highsmith),,
4,7:54,1,10,PIT 41,10,27,AJ Dillon up the middle for 6 yards (tackle by Joe Schobert),,
4,7:11,2,4,PIT 35,10,27,Aaron Rodgers pass incomplete deep right intended for Robert Tonyan (defended by Joe Haden),,
4,7:06,3,4,PIT 35,10,27,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan (defended by Isaiahh Loudermilk),,
4,7:01,,,,,,Timeout #1 by Green Bay Packers,,
4,7:01,4,4,PIT 35,10,27,Aaron Rodgers pass incomplete short left intended for Davante Adams,,
4,6:57,1,10,PIT 35,10,27,Ben Roethlisberger pass complete to Diontae Johnson for 10 yards (tackle by Eric Stokes),,
4,6:20,1,10,PIT 45,10,27,Ben Roethlisberger pass complete short middle to Najee Harris for 7 yards (tackle by Adrian Amos),,
4,5:54,2,3,GNB 48,10,27,Ben Roethlisberger pass complete short middle to Najee Harris for 9 yards (tackle by De'Vondre Campbell),,
4,5:26,1,10,GNB 39,10,27,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster (defended by Kingsley Keke),,
4,5:20,2,10,GNB 39,10,27,Ben Roethlisberger pass complete deep middle to James Washington for 30 yards (tackle by Isaac Yiadom),,
4,4:50,1,9,GNB 9,10,27,Ben Roethlisberger pass complete short left to Diontae Johnson for 3 yards (tackle by Eric Stokes),,
4,4:22,2,6,GNB 6,10,27,Ben Roethlisberger pass incomplete short middle,,
4,4:15,3,6,GNB 6,10,27,"Ben Roethlisberger pass incomplete short left intended for Diontae Johnson. Penalty on Eric Stokes: Defensive Pass Interference, 5 yards (accepted) (no play)",,
4,4:10,1,1,GNB 1,16,27,"Najee Harris up the middle for 1 yard, touchdown",,
4,4:04,,,GNB 15,17,27,Chris Boswell kicks extra point good,,
4,4:04,,,PIT 35,17,27,"Chris Boswell kicks off 50 yards, returned by Aaron Jones for 10 yards (tackle by Derek Watt)",,
4,4:01,1,10,GNB 25,17,27,AJ Dillon left end for 2 yards (tackle by Terrell Edmunds and Joe Schobert),,
4,3:55,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,3:55,2,8,GNB 27,17,27,Aaron Jones left end for -1 yards (tackle by Isaiah Buggs),,
4,3:49,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,3:49,3,9,GNB 26,17,27,Aaron Rodgers pass complete short left to Davante Adams for 11 yards (tackle by James Pierre),,
4,3:45,1,10,GNB 37,17,27,AJ Dillon right guard for 3 yards (tackle by T.J. Watt and Joe Haden),,
4,3:00,2,7,GNB 40,17,27,AJ Dillon right end for 3 yards (tackle by Cameron Heyward),,
4,2:16,3,4,GNB 43,17,27,Aaron Rodgers sacked by T.J. Watt for -3 yards,,
4,2:00,4,7,GNB 40,17,27,"Corey Bojorquez punts 45 yards, returned by Ray-Ray McCloud for 14 yards (tackle by Ty Summers)",,
4,1:51,1,10,PIT 29,17,27,Ben Roethlisberger pass complete short right to Najee Harris for 4 yards (tackle by Shemar Jean-Charles),,
4,1:17,2,6,PIT 33,17,27,Ben Roethlisberger pass deep left intended for Diontae Johnson is intercepted by Eric Stokes at GB-42 and returned for no gain (tackle by Diontae Johnson),,
4,1:11,1,10,GNB 42,17,27,Aaron Rodgers kneels for -1 yards,,
4,0:29,2,11,GNB 41,17,27,Aaron Rodgers kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
