Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
1,4:41,2,11,LAR 38,0,0,Aaron Rodgers pass incomplete short right intended for Marcedes Lewis,,
1,4:36,3,11,LAR 38,0,0,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,,
1,4:30,,,,,,Timeout #1 by Green Bay Packers,,
1,4:30,4,11,LAR 38,0,0,"Corey Bojorquez punts 23 yards, fair catch by Cooper Kupp at LA-15",,
1,4:23,1,10,LAR 15,0,0,Darrell Henderson right tackle for 6 yards (tackle by Rashan Gary),,
1,3:49,2,4,LAR 21,0,0,"Matthew Stafford sacked by Rashan Gary for -9 yards. Matthew Stafford fumbles (forced by Rashan Gary), recovered by Preston Smith at LA-12 and returned for 4 yards. Preston Smith fumbles (forced by Rob Havenstein), recovered by Preston Smith at LA-6 and returned for 4 yards (tackle by Rashan Gary) (tackle by Rob Havenstein). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (declined)",,
1,3:42,1,6,LAR 6,0,0,Aaron Rodgers pass complete short right to Davante Adams for 5 yards (tackle by Darious Williams),,
1,2:56,2,1,LAR 1,0,0,AJ Dillon up the middle for no gain (tackle by A'Shawn Robinson and Troy Reeder),,
1,2:25,3,1,LAR 1,0,6,"Aaron Rodgers right end for 1 yard, touchdown",,
1,2:11,,,LAR 15,0,7,Mason Crosby kicks extra point good,,
1,2:11,,,GNB 35,0,7,"Mason Crosby kicks off 65 yards, returned by Sony Michel for 19 yards (tackle by Equanimeous St. Brown and Isaiah McDuffie)",,
1,2:05,1,10,LAR 20,0,7,Darrell Henderson left end for 3 yards (tackle by Ladarius Hamilton),,
1,1:44,2,7,LAR 23,0,7,Matthew Stafford pass complete short middle to Van Jefferson for 5 yards (tackle by Eric Stokes),,
1,1:08,3,2,LAR 28,0,7,Darrell Henderson left tackle for 1 yard (tackle by Adrian Amos),,
1,0:27,4,1,LAR 29,0,7,Darrell Henderson left tackle for no gain (tackle by Adrian Amos),,
1,0:22,1,10,LAR 29,0,7,Aaron Jones up the middle for 2 yards (tackle by Von Miller and Troy Reeder),,
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,LAR 27,0,7,Aaron Rodgers pass complete to Josiah Deguara for 1 yard (tackle by Jalen Ramsey),,
2,14:16,3,7,LAR 26,0,7,Aaron Rodgers sacked by Greg Gaines for no gain,,
2,13:34,4,7,LAR 26,0,10,Mason Crosby 45 yard field goal good,,
2,13:29,,,GNB 35,0,10,"Mason Crosby kicks off 66 yards, returned by Sony Michel for 20 yards (tackle by Henry Black)",,
2,13:25,1,10,LAR 19,0,10,Sony Michel up the middle for 2 yards (tackle by Rasul Douglas and Rashan Gary),,
2,12:58,2,8,LAR 21,0,10,Matthew Stafford pass incomplete deep right intended for Tyler Higbee,,
2,12:53,3,8,LAR 21,6,10,"Matthew Stafford pass complete deep middle to Van Jefferson for 79 yards, touchdown",,
2,12:42,,,GNB 15,7,10,Matt Gay kicks extra point good,,
2,12:42,,,LAR 35,7,10,"Matt Gay kicks off 65 yards, touchback.",,
2,12:42,1,10,GNB 25,7,10,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,,
2,12:38,2,10,GNB 25,7,10,AJ Dillon up the middle for 7 yards (tackle by A'Shawn Robinson and Jordan Fuller),,
2,12:00,3,3,GNB 32,7,10,Aaron Rodgers pass complete deep middle to Randall Cobb for 54 yards (tackle by Darious Williams),,
2,11:09,1,10,LAR 14,7,10,AJ Dillon up the middle for 5 yards (tackle by Aaron Donald),,
2,10:30,2,5,LAR 9,7,10,AJ Dillon up the middle for no gain (tackle by Troy Reeder and Aaron Donald),,
2,9:48,3,5,LAR 9,7,10,Aaron Rodgers pass incomplete short left intended for Randall Cobb,,
2,9:44,4,5,LAR 9,7,13,Mason Crosby 28 yard field goal good,,
2,9:40,,,GNB 35,7,13,"Mason Crosby kicks off 60 yards, returned by Sony Michel for 28 yards (tackle by Equanimeous St. Brown and Rasul Douglas)",,
2,9:30,1,10,LAR 33,7,13,Darrell Henderson left tackle for 3 yards (tackle by Krys Barnes and Kenny Clark),,
2,9:03,2,7,LAR 36,7,13,Matthew Stafford pass complete short middle to Odell Beckham for 5 yards (tackle by Krys Barnes),,
2,8:26,3,2,LAR 41,7,13,Matthew Stafford pass incomplete deep middle intended for Odell Beckham,,
2,8:13,4,2,LAR 41,7,13,"Johnny Hekker punts 37 yards, recovered by Robert Rochell at GB-25",,
2,8:13,,,,,,Timeout #2 by Green Bay Packers,,
2,8:13,1,10,GNB 25,7,13,"Cooper Kupp pass complete deep right to Van Jefferson for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Cooper Kupp pass incomplete deep right intended for Van Jefferson (defended by Eric Stokes)",,
2,8:07,2,10,GNB 25,7,13,Darrell Henderson left tackle for 7 yards (tackle by Rasul Douglas),,
2,7:27,3,3,GNB 19,7,13,Matthew Stafford pass incomplete short left intended for Odell Beckham (defended by Rasul Douglas),,
2,7:24,4,3,GNB 18,10,13,Matt Gay 36 yard field goal good,,
2,7:20,,,LAR 35,10,13,"Matt Gay kicks off 58 yards, returned by Amari Rodgers for 14 yards (tackle by Antoine Brooks). Penalty on Isaiah McDuffie: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
2,7:15,1,10,GNB 11,10,13,Aaron Rodgers pass complete short left to Randall Cobb for 27 yards (tackle by Troy Reeder),,
2,6:32,1,10,GNB 38,10,13,Aaron Jones right end for 8 yards (tackle by Darious Williams),,
2,5:49,2,2,GNB 46,10,13,Aaron Rodgers pass incomplete short right,,
2,5:44,3,2,GNB 46,10,13,Aaron Rodgers pass complete deep left to Davante Adams for 43 yards (tackle by Nick Scott),,
2,5:05,1,10,LAR 11,10,13,Aaron Jones up the middle for 4 yards (tackle by Ogbonnia Okoronkwo and Jordan Fuller),,
2,4:27,2,6,LAR 7,10,19,"Aaron Rodgers pass complete short middle to Randall Cobb for 7 yards, touchdown",,
2,4:21,,,LAR 15,10,20,Mason Crosby kicks extra point good,,
2,4:21,,,GNB 35,10,20,"Mason Crosby kicks off 65 yards, touchback.",,
2,4:21,1,10,LAR 25,10,20,Matthew Stafford pass complete short left to Sony Michel for 11 yards (tackle by De'Vondre Campbell),,
2,3:46,1,10,LAR 36,10,20,Sony Michel left tackle for 5 yards (tackle by Kenny Clark and Krys Barnes),,
2,3:18,2,5,LAR 41,10,20,Sony Michel right guard for 7 yards (tackle by Adrian Amos),,
2,2:56,1,10,LAR 48,10,20,Matthew Stafford pass complete deep left to Cooper Kupp for 22 yards (tackle by Rasul Douglas),,
2,2:09,1,10,GNB 30,10,20,Matthew Stafford pass complete short left to Tyler Higbee for 3 yards (tackle by Rasul Douglas),,
2,2:00,2,7,GNB 27,10,20,Matthew Stafford pass complete short middle to Cooper Kupp for 19 yards (tackle by Krys Barnes and Darnell Savage),,
2,1:37,1,8,GNB 8,10,20,Darrell Henderson up the middle for 2 yards (tackle by Preston Smith and Kenny Clark),,
2,1:32,,,,,,Timeout #3 by Green Bay Packers,,
2,1:32,2,6,GNB 6,16,20,"Matthew Stafford pass complete short middle to Darrell Henderson for 6 yards, touchdown",,
2,1:28,,,GNB 15,17,20,Matt Gay kicks extra point good,,
2,1:28,,,LAR 35,17,20,"Matt Gay kicks off 54 yards, returned by Amari Rodgers for 10 yards (tackle by Michael Hoecht)",,
2,1:23,1,10,GNB 21,17,20,"Aaron Rodgers pass complete short middle to Davante Adams for 10 yards (tackle by Jalen Ramsey) Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:58,1,10,GNB 31,17,20,Aaron Rodgers pass incomplete deep middle intended for Marquez Valdes-Scantling (defended by Jordan Fuller),,
2,0:51,2,10,GNB 31,17,20,Aaron Rodgers pass incomplete short right intended for Allen Lazard,,
2,0:46,3,10,GNB 31,17,20,Aaron Rodgers pass complete short right to Allen Lazard for 6 yards (tackle by Taylor Rapp),,
2,0:40,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:40,4,4,GNB 37,17,20,"Corey Bojorquez punts, returned by J.J. Koski for no gain (tackle by Equanimeous St. Brown). Penalty on Buddy Howell: Defensive Offside, 5 yards (accepted) (no play)",,
2,0:29,1,10,GNB 42,17,20,Aaron Rodgers pass incomplete short middle intended for Aaron Jones,,
2,0:26,2,10,GNB 42,17,20,Aaron Rodgers pass complete short right to Allen Lazard for 7 yards (tackle by Darious Williams),,
2,0:22,3,3,GNB 49,17,20,Aaron Rodgers pass incomplete short middle intended for Josiah Deguara,,
2,0:17,4,3,GNB 49,17,20,"Corey Bojorquez punts 41 yards, fair catch by Cooper Kupp at LA-10",,
2,0:11,1,10,LAR 10,17,20,Matthew Stafford kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,17,20,"Matt Gay kicks off 65 yards, touchback.",,
3,15:00,1,10,GNB 25,17,20,"Aaron Rodgers pass incomplete short right. Penalty on Lucas Patrick: Illegal Blindside Block, 12 yards (accepted) (no play)",,
3,14:51,1,22,GNB 13,17,20,Aaron Rodgers pass complete short left to AJ Dillon for 8 yards (tackle by Nick Scott),,
3,14:12,2,14,GNB 21,17,20,Aaron Rodgers pass complete deep right to Marquez Valdes-Scantling for 28 yards (tackle by Nick Scott),,
3,13:41,1,10,GNB 49,17,20,AJ Dillon left end for 1 yard (tackle by Donte Deayon and A'Shawn Robinson),,
3,13:03,2,9,GNB 50,17,20,AJ Dillon up the middle for 8 yards (tackle by Jordan Fuller and A'Shawn Robinson),,
3,12:17,3,1,LAR 42,17,20,AJ Dillon right tackle for 2 yards (tackle by Greg Gaines),,
3,11:40,1,10,LAR 40,17,20,AJ Dillon up the middle for 5 yards (tackle by Jordan Fuller),,
3,10:56,2,5,LAR 35,17,20,Aaron Rodgers pass complete short right to AJ Dillon for 6 yards (tackle by Jordan Fuller and Ernest Jones),,
3,10:11,1,10,LAR 29,17,20,Aaron Jones right guard for 2 yards (tackle by Von Miller and Troy Reeder),,
3,9:30,2,8,LAR 27,17,20,Aaron Rodgers pass complete short left to Davante Adams for 6 yards (tackle by Jalen Ramsey),,
3,8:46,3,2,LAR 21,17,20,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,,
3,8:41,,,,,,Timeout #1 by Los Angeles Rams,,
3,8:41,4,2,LAR 21,17,20,Aaron Rodgers pass complete short middle to Josiah Deguara for 12 yards (tackle by Troy Reeder),,
3,8:05,1,9,LAR 9,17,20,AJ Dillon up the middle for 4 yards (tackle by Troy Reeder and A'Shawn Robinson),,
3,7:23,2,5,LAR 5,17,26,"Aaron Rodgers pass complete short middle to AJ Dillon for 5 yards, touchdown",,
3,7:18,,,LAR 15,17,27,Mason Crosby kicks extra point good,,
3,7:18,,,GNB 35,17,27,"Mason Crosby kicks off 65 yards, touchback.",,
3,7:18,1,10,LAR 25,17,27,Darrell Henderson left tackle for no gain (tackle by Kenny Clark),,
3,6:55,2,10,LAR 25,17,27,Matthew Stafford pass incomplete short middle intended for Cooper Kupp (defended by Krys Barnes),,
3,6:51,3,10,LAR 25,17,27,"Matthew Stafford pass incomplete deep left intended for Cooper Kupp. Penalty on Andrew Whitworth: Offensive Holding, 10 yards (declined)",,
3,6:42,4,10,LAR 25,17,27,Johnny Hekker punts 41 yards downed by Robert Rochell,,
3,6:35,1,10,GNB 34,17,27,Aaron Jones left end for -4 yards (tackle by Von Miller),,
3,5:51,2,14,GNB 30,17,27,Aaron Rodgers pass complete short right to Marcedes Lewis for 2 yards (tackle by Darious Williams),,
3,5:10,3,12,GNB 32,17,27,Aaron Rodgers pass incomplete deep left intended for Equanimeous St. Brown (defended by Nick Scott),,
3,5:02,4,12,GNB 32,17,27,"Corey Bojorquez punts 53 yards, returned by J.J. Koski for 13 yards. J.J. Koski fumbles (forced by Dominique Dafney), recovered by Krys Barnes at LA-28 and returned for 1 yard (tackle by Buddy Howell)",,
3,4:47,1,10,LAR 27,17,27,Aaron Rodgers pass complete short right to Davante Adams for 9 yards (tackle by Jalen Ramsey and Ernest Jones),,
3,4:07,2,1,LAR 18,17,27,AJ Dillon up the middle for 3 yards (tackle by Aaron Donald),,
3,3:27,1,10,LAR 15,17,27,"Aaron Rodgers pass complete short left to Marcedes Lewis for 2 yards. Marcedes Lewis fumbles (forced by Ogbonnia Okoronkwo), recovered by Yosuah Nijman at LA-11",,
3,2:42,2,6,LAR 11,17,27,Aaron Rodgers pass incomplete short left intended for Allen Lazard (defended by Darious Williams),,
3,2:38,3,6,LAR 11,17,27,Aaron Rodgers pass incomplete short left intended for Allen Lazard,,
3,2:32,4,6,LAR 11,17,30,Mason Crosby 29 yard field goal good,,
3,2:28,,,GNB 35,17,30,"Mason Crosby kicks off 65 yards, touchback.",,
3,2:28,1,10,LAR 25,17,30,Darrell Henderson right guard for 3 yards (tackle by Krys Barnes),,
3,2:07,2,7,LAR 28,17,30,Matthew Stafford pass incomplete deep left intended for Van Jefferson,,
3,1:52,3,7,LAR 28,17,36,"Matthew Stafford pass short left intended for Cooper Kupp is intercepted by Rasul Douglas at LA-33 and returned for 33 yards, touchdown",,
3,1:52,,,,,,Timeout #1 by Green Bay Packers,,
3,1:52,,,LAR 2,17,36,Two Point Attempt: Aaron Rodgers pass incomplete intended for intended for Marquez Valdes-Scantling,,
3,1:52,,,GNB 35,17,36,"Mason Crosby kicks off 63 yards, recovered by J.J. Koski at LA-7 returned by J.J. Koski for 13 yards (tackle by Dominique Dafney)",,
3,1:45,1,10,LAR 20,17,36,Matthew Stafford pass complete short middle to Darrell Henderson for 1 yard (tackle by Krys Barnes),,
3,1:19,2,9,LAR 21,17,36,Matthew Stafford pass complete short right to Odell Beckham for 8 yards (tackle by Eric Stokes),,
3,0:52,3,1,LAR 29,17,36,Darrell Henderson left tackle for 5 yards (tackle by Ladarius Hamilton),,
3,0:30,1,10,LAR 34,17,36,Matthew Stafford pass incomplete deep left intended for Odell Beckham,,
3,0:25,2,10,LAR 34,17,36,Matthew Stafford pass complete short middle to Van Jefferson for 9 yards (tackle by Oren Burks),,
3,0:02,3,1,LAR 43,17,36,Darrell Henderson left guard for 3 yards (tackle by Preston Smith and Ladarius Hamilton),,
Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LAR 46,23,36,"Matthew Stafford pass complete deep left to Odell Beckham for 54 yards, touchdown",,
4,14:52,,,GNB 15,23,36,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",,
4,14:52,,,GNB 2,25,36,Two Point Attempt: Matthew Stafford pass complete to to Cooper Kupp for no gain,,
4,14:52,,,LAR 35,25,36,"Matt Gay kicks off 60 yards, returned by Amari Rodgers for 14 yards (tackle by Nick Scott and Antoine Brooks)",,
4,14:46,1,10,GNB 19,25,36,"Aaron Rodgers pass incomplete short right. Penalty on Von Miller: Roughing the Passer, 15 yards (accepted) (no play)",,
4,14:39,1,10,GNB 34,25,36,"Aaron Jones left guard for no gain (tackle by Troy Reeder and Aaron Donald). Penalty on Lucas Patrick: Offensive Holding, 10 yards (accepted) (no play)",,
4,14:14,1,20,GNB 24,25,36,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 8 yards (tackle by Taylor Rapp),,
4,13:32,2,12,GNB 32,25,36,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 6 yards (tackle by Jalen Ramsey),,
4,12:58,3,6,GNB 38,25,36,"Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling. Penalty on Royce Newman: Offensive Holding, 10 yards (declined)",,
4,12:52,4,6,GNB 38,25,36,Corey Bojorquez punts 61 yards downed by Equanimeous St. Brown,,
4,12:41,1,10,LAR 1,25,36,Darrell Henderson up the middle for 5 yards (tackle by De'Vondre Campbell),,
4,12:16,2,5,LAR 6,25,36,Matthew Stafford pass complete short right to Cooper Kupp for 13 yards (tackle by Adrian Amos),,
4,11:51,1,10,LAR 19,25,36,Matthew Stafford pass incomplete deep middle intended for Van Jefferson (defended by Rasul Douglas),,
4,11:45,2,10,LAR 19,25,36,Matthew Stafford pass complete short right to Darrell Henderson for 7 yards (tackle by Krys Barnes),,
4,11:02,3,3,LAR 26,25,36,Matthew Stafford pass incomplete deep right intended for Odell Beckham,,
4,10:56,4,3,LAR 26,25,36,Johnny Hekker punts 41 yards out of bounds,,
4,10:49,1,10,GNB 33,25,36,AJ Dillon right guard for 2 yards (tackle by Aaron Donald and Ernest Jones),,
4,10:02,2,8,GNB 35,25,36,AJ Dillon up the middle for 5 yards (tackle by Greg Gaines and Donte Deayon),,
4,9:20,3,3,GNB 40,25,36,Aaron Rodgers pass complete short right to Equanimeous St. Brown for 7 yards (tackle by Donte Deayon),,
4,8:41,1,10,GNB 47,25,36,AJ Dillon left end for -1 yards (tackle by Troy Reeder),,
4,7:56,,,,,,Timeout #2 by Green Bay Packers,,
4,7:56,2,11,GNB 46,25,36,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,,
4,7:49,3,11,GNB 46,25,36,"Aaron Rodgers pass incomplete short right intended for Josiah Deguara. Penalty on Aaron Jones: Offensive Holding, 10 yards (declined)",,
4,7:43,4,11,GNB 46,25,36,Corey Bojorquez punts 34 yards out of bounds,,
4,7:36,1,10,LAR 20,25,36,Matthew Stafford pass complete short left to Cooper Kupp for 10 yards (tackle by Krys Barnes),,
4,7:12,1,10,LAR 30,25,36,Matthew Stafford pass incomplete deep right intended for Tyler Higbee,,
4,7:07,2,10,LAR 30,25,36,Matthew Stafford pass incomplete short right intended for Van Jefferson,,
4,7:01,3,10,LAR 30,25,36,Matthew Stafford sacked by Kenny Clark for -8 yards,,
4,6:34,4,18,LAR 22,25,36,Johnny Hekker punts 33 yards out of bounds,,
4,6:24,1,10,GNB 45,25,36,AJ Dillon up the middle for 2 yards (tackle by Greg Gaines and Terrell Lewis),,
4,5:37,2,8,GNB 47,25,36,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Darious Williams and Ogbonnia Okoronkwo),,
4,4:55,1,10,LAR 44,25,36,AJ Dillon up the middle for 7 yards (tackle by Jordan Fuller and Troy Reeder),,
4,4:13,2,3,LAR 37,25,36,AJ Dillon left tackle for 7 yards (tackle by Darious Williams),,
4,3:28,1,10,LAR 30,25,36,AJ Dillon up the middle for 3 yards (tackle by Aaron Donald and Greg Gaines),,
4,3:23,,,,,,Timeout #2 by Los Angeles Rams,,
4,3:23,2,7,LAR 27,25,36,AJ Dillon left tackle for 3 yards (tackle by Von Miller),,
4,3:18,,,,,,Timeout #3 by Los Angeles Rams,,
4,3:18,3,4,LAR 24,25,36,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Jordan Fuller),,
4,3:09,4,4,LAR 24,25,36,Mason Crosby 42 yard field goal no good,,
4,3:05,1,10,LAR 32,25,36,Matthew Stafford pass complete short right to Odell Beckham for 7 yards (tackle by Eric Stokes),,
4,2:44,2,3,LAR 39,25,36,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Henry Black),,
4,2:39,1,10,LAR 46,25,36,Matthew Stafford pass complete short right to Odell Beckham for 7 yards (tackle by Henry Black),,
4,2:18,2,4,GNB 48,25,36,Matthew Stafford pass incomplete deep left intended for Van Jefferson (defended by Rasul Douglas),,
4,2:12,3,3,GNB 47,25,36,Darrell Henderson up the middle for 6 yards (tackle by Tipa Galeai),,
4,2:00,1,10,GNB 41,25,36,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Eric Stokes),,
4,1:55,2,10,GNB 41,25,36,Matthew Stafford pass complete short left to Cooper Kupp for 11 yards (tackle by Rasul Douglas and Henry Black),,
4,1:32,1,10,GNB 30,25,36,Matthew Stafford pass incomplete short right intended for Van Jefferson,,
4,1:25,2,10,GNB 30,25,36,"Penalty on David Edwards: False Start, 5 yards (accepted) (no play)",,
4,1:25,2,15,GNB 35,25,36,Matthew Stafford pass complete short middle to Cooper Kupp for 14 yards (tackle by Darnell Savage and Henry Black),,
4,0:53,3,1,GNB 21,25,36,Darrell Henderson left tackle for no gain (tackle by Kenny Clark),,
4,0:22,4,1,GNB 21,28,36,Matt Gay 39 yard field goal good,,
4,0:18,,,,,,Timeout #3 by Green Bay Packers,,
4,0:18,,,LAR 35,28,36,"Matt Gay kicks onside 8 yards, recovered by Adrian Amos",,
4,0:18,1,10,LAR 43,28,36,Aaron Rodgers kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
