Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
3,3:49,2,11,SFO 8,23,7,Elijah Mitchell left tackle for 16 yards (tackle by Trevon Diggs and Damontae Kazee),,
3,3:14,1,10,SFO 24,23,7,Elijah Mitchell up the middle for 1 yard (tackle by DeMarcus Lawrence),,
3,2:31,2,9,SFO 25,23,7,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for -1 yards (tackle by DeMarcus Lawrence and Jourdan Lewis),,
3,1:47,3,10,SFO 24,23,7,Jimmy Garoppolo pass incomplete deep left intended for Brandon Aiyuk,,
3,1:41,4,10,SFO 24,23,7,"Mitch Wishnowsky punts 46 yards, fair catch by CeeDee Lamb at DAL-30",,
3,1:34,1,10,DAL 30,23,7,"Dak Prescott sacked by Charles Omenihu for -10 yards. Dak Prescott fumbles (forced by Charles Omenihu), recovered by Dak Prescott at DAL-20 (tackle by Charles Omenihu)",,
3,0:55,2,20,DAL 20,23,7,"Dak Prescott pass complete short left to CeeDee Lamb for no gain (tackle by Dre Greenlaw). Penalty on CeeDee Lamb: Illegal Shift, 5 yards (accepted) (no play)",,
3,0:49,2,25,DAL 15,23,7,Dak Prescott pass complete deep middle to Cedrick Wilson for 24 yards (tackle by Jaquiski Tartt),,
3,0:22,3,1,DAL 39,23,7,Ezekiel Elliott up the middle for 4 yards (tackle by Kevin Givens),,
Quarter,Time,Down,ToGo,Location,SFO,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 43,23,7,Dak Prescott pass complete short middle to Cedrick Wilson for 5 yards (tackle by Fred Warner),,
4,14:32,2,5,DAL 48,23,7,Ezekiel Elliott up the middle for no gain (tackle by Jimmie Ward),,
4,14:05,3,5,DAL 48,23,7,Dak Prescott pass incomplete short right intended for Amari Cooper,,
4,14:01,4,5,DAL 48,23,7,Bryan Anger pass complete short right to C.J. Goodwin for 16 yards (tackle by Josh Norman),,
4,13:38,1,10,SFO 36,23,7,"Penalty on Dak Prescott: Delay of Game, 5 yards (accepted) (no play)",,
4,13:26,1,15,SFO 41,23,7,Dak Prescott pass incomplete short left intended for Amari Cooper,,
4,13:20,2,15,SFO 41,23,7,Dak Prescott pass complete short left to Malik Turner for 6 yards (tackle by Emmanuel Moseley and Fred Warner),,
4,12:43,3,9,SFO 35,23,7,Dak Prescott pass complete short left to Tony Pollard for 2 yards (tackle by Emmanuel Moseley),,
4,11:58,4,7,SFO 33,23,10,Greg Zuerlein 51 yard field goal good,,
4,11:53,,,DAL 35,23,10,"Greg Zuerlein kicks off 55 yards, returned by Jamycal Hasty for 16 yards (tackle by Luke Gifford and Francis Bernard)",,
4,11:49,1,10,SFO 26,23,10,Jimmy Garoppolo pass complete short middle to George Kittle for 18 yards (tackle by Trevon Diggs),,
4,11:03,1,10,SFO 44,23,10,"Deebo Samuel left end for 5 yards (tackle by Trevon Diggs). Penalty on Brandon Aiyuk: Offensive Holding, 10 yards (accepted)",,
4,10:34,1,15,SFO 39,23,10,Deebo Samuel left tackle for 5 yards (tackle by Randy Gregory and Micah Parsons),,
4,9:48,2,10,SFO 44,23,10,"Jimmy Garoppolo pass short right intended for Trent Sherfield is intercepted by Anthony Brown at DAL-49 and returned for 23 yards (tackle by Daniel Brunskill). Penalty on Tom Compton: Offensive Holding, 10 yards (declined)",,
4,9:37,1,10,SFO 28,23,10,Dak Prescott pass complete short left to Amari Cooper for 11 yards (tackle by Emmanuel Moseley),,
4,9:07,1,10,SFO 17,23,10,Dak Prescott pass complete short right to CeeDee Lamb for 10 yards (tackle by Fred Warner),,
4,8:42,1,7,SFO 7,23,10,Dak Prescott pass incomplete short left intended for Amari Cooper,,
4,8:38,2,7,SFO 7,23,10,Ezekiel Elliott up the middle for 2 yards (tackle by Arik Armstead and Charles Omenihu),,
4,8:13,3,5,SFO 5,23,16,"Dak Prescott scrambles left end for 5 yards, touchdown",,
4,8:02,,,SFO 15,23,17,Greg Zuerlein kicks extra point good,,
4,8:02,,,DAL 35,23,17,"Greg Zuerlein kicks off 60 yards, returned by Jamycal Hasty for 13 yards (tackle by C.J. Goodwin)",,
4,7:57,1,10,SFO 18,23,17,Jimmy Garoppolo scrambles up the middle for 1 yard (tackle by Neville Gallimore and Micah Parsons),,
4,7:12,2,9,SFO 19,23,17,Elijah Mitchell up the middle for 5 yards (tackle by Leighton Vander Esch),,
4,6:29,3,4,SFO 24,23,17,Jimmy Garoppolo pass complete short right to Jauan Jennings for 5 yards (tackle by Dorance Armstrong),,
4,5:51,1,10,SFO 29,23,17,"Elijah Mitchell right tackle for 5 yards (tackle by Dorance Armstrong and Leighton Vander Esch). Penalty on Osa Odighizuwa: Defensive Holding, 5 yards (accepted)",,
4,5:24,1,10,SFO 39,23,17,Elijah Mitchell up the middle for 3 yards (tackle by Leighton Vander Esch and Randy Gregory),,
4,4:39,2,7,SFO 42,23,17,Jimmy Garoppolo pass incomplete short left intended for George Kittle,,
4,4:36,3,7,SFO 42,23,17,"Penalty on Laken Tomlinson: False Start, 5 yards (accepted) (no play)",,
4,4:36,3,12,SFO 37,23,17,"Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel (defended by Trevon Diggs). Penalty on Neville Gallimore: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
4,4:31,1,10,SFO 42,23,17,Elijah Mitchell left tackle for no gain (tackle by Osa Odighizuwa),,
4,3:46,2,10,SFO 42,23,17,Deebo Samuel right end for 5 yards (tackle by Micah Parsons),,
4,3:40,3,5,SFO 47,23,17,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 4 yards (tackle by Leighton Vander Esch),,
4,2:51,4,1,DAL 49,23,17,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",,
4,2:51,4,6,SFO 46,23,17,"Penalty on Demetrius Flannigan-Fowles: False Start, 5 yards (accepted) (no play)",,
4,2:49,4,11,SFO 41,23,17,"Mitch Wishnowsky punts 48 yards, returned by CeeDee Lamb for 5 yards (tackle by Trent Sherfield)",,
4,2:42,1,10,DAL 16,23,17,Dak Prescott pass incomplete short left intended for Dalton Schultz (defended by Kevin Givens),,
4,2:38,2,10,DAL 16,23,17,Dak Prescott pass complete deep right to Dalton Schultz for 38 yards (tackle by Jimmie Ward),,
4,2:29,1,10,SFO 46,23,17,Dak Prescott sacked by and Kevin Givens for -1 yards and Charles Omenihu for -1 yards,,
4,2:01,2,11,SFO 47,23,17,Dak Prescott pass incomplete short right intended for CeeDee Lamb,,
4,1:56,3,11,SFO 47,23,17,"Dak Prescott pass incomplete short right intended for Ezekiel Elliott. Penalty on Tyron Smith: Offensive Holding, 10 yards (declined)",,
4,1:49,4,11,SFO 47,23,17,Dak Prescott pass incomplete deep right intended for Cedrick Wilson,,
4,1:42,1,10,SFO 47,23,17,Elijah Mitchell left guard for 1 yard (tackle by Osa Odighizuwa),,
4,1:38,,,,,,Timeout #1 by Dallas Cowboys,,
4,1:38,2,9,SFO 48,23,17,"Deebo Samuel left end for no gain (tackle by Jayron Kearse). Penalty on Randy Gregory: Defensive Holding, 5 yards (accepted) (no play)",,
4,1:30,1,10,DAL 47,23,17,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",,
4,1:31,1,15,SFO 48,23,17,Elijah Mitchell left tackle for 2 yards (tackle by Osa Odighizuwa),,
4,1:27,,,,,,Timeout #3 by Dallas Cowboys,,
4,1:27,2,13,SFO 50,23,17,Elijah Mitchell up the middle for 3 yards (tackle by Leighton Vander Esch and Donovan Wilson),,
4,1:21,,,,,,Timeout #3 by Dallas Cowboys,,
4,1:21,,,,,,Timeout #1 by San Francisco 49ers,,
4,1:21,3,10,DAL 47,23,17,"Deebo Samuel right end for 10 yards (tackle by Trevon Diggs and Randy Gregory) Replay Assistant challenged the first down ruling, and the original play was overturned. Deebo Samuel right end for 9 yards (tackle by Trevon Diggs and Randy Gregory)",,
4,0:40,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:40,4,1,DAL 38,23,17,"Penalty on Trent Williams: False Start, 4 yards (accepted) (no play)",,
4,0:38,4,5,DAL 42,23,17,"Mitch Wishnowsky punts 42 yards, touchback.",,
4,0:32,1,10,DAL 20,23,17,"Dak Prescott pass complete short left to Cedrick Wilson for 9 yards, lateral to CeeDee Lamb for no gain (tackle by Emmanuel Moseley)",,
4,0:24,1,10,DAL 40,23,17,Dak Prescott pass complete short left to Tony Pollard for 10 yards (tackle by Emmanuel Moseley),,
4,0:18,1,10,DAL 50,23,17,Dak Prescott pass complete short left to Dalton Schultz for 9 yards (tackle by Azeez Al-Shaair),,
4,0:14,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:14,2,1,SFO 41,23,17,Dak Prescott scrambles up the middle for 17 yards (tackle by Azeez Al-Shaair),,
4,0:01,1,10,SFO 24,23,17,Dak Prescott spiked the ball,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
