Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
3,2:58,3,9,GNB 38,17,17,Jake Luton pass incomplete short right intended for Terry Godwin (defended by Darnell Savage),1.880,0.720
3,2:51,4,9,GNB 38,17,17,"Logan Cooke punts 38 yards, touchback.",0.720,-0.280
3,2:43,1,10,GNB 20,17,17,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 31 yards (tackle by Sidney Jones),0.280,2.320
3,2:06,1,10,JAX 49,17,17,Aaron Rodgers pass incomplete short left intended for Aaron Jones,2.320,1.780
3,2:03,2,10,JAX 49,17,17,Aaron Jones up the middle for 2 yards (tackle by Adam Gotsis and Taven Bryan),1.780,1.360
3,1:21,3,8,JAX 47,17,17,Aaron Rodgers pass short right intended for Marquez Valdes-Scantling is intercepted by Sidney Jones at JAC-43 and returned for 1 yard,1.360,-1.860
3,1:16,1,10,JAX 44,17,17,Jake Luton pass complete short right to DJ Chark for 21 yards (tackle by Darnell Savage),1.860,3.250
3,0:33,1,10,GNB 35,17,17,James Robinson up the middle for no gain (tackle by Za'Darius Smith and Christian Kirksey),3.250,2.700
Quarter,Time,Down,ToGo,Location,JAX,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,GNB 35,17,17,Jake Luton pass complete short right to DJ Chark for 17 yards (tackle by Adrian Amos),2.700,4.370
4,14:21,1,10,GNB 18,17,17,"James Robinson left guard for 18 yards. Penalty on A.J. Cann: Offensive Holding, 10 yards (no play)",4.370,3.710
4,14:14,1,20,GNB 28,17,17,James Robinson right tackle for 8 yards (tackle by Raven Greene),3.710,3.560
4,13:34,2,12,GNB 20,17,17,Jake Luton pass incomplete short right intended for Dare Ogunbowale,3.560,2.870
4,13:28,3,12,GNB 20,17,17,Jake Luton pass complete short right to Tyler Eifert for 7 yards (tackle by Raven Greene),2.870,2.620
4,12:44,4,5,GNB 13,20,17,Chase McLaughlin 31 yard field goal good,2.620,3.000
4,12:40,,,JAX 35,20,17,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
4,12:40,1,10,GNB 25,20,17,Jamaal Williams right tackle for 1 yard (tackle by DaVon Hamilton),0.610,0.200
4,12:04,2,9,GNB 26,20,17,Aaron Rodgers pass incomplete short middle intended for Jamaal Williams,0.200,-0.490
4,12:01,3,9,GNB 26,20,17,Aaron Rodgers pass complete deep right to Robert Tonyan for 23 yards (tackle by Daniel Thomas),-0.490,2.190
4,11:17,1,10,GNB 49,20,17,"Aaron Rodgers pass complete short left to Aaron Jones for 7 yards (tackle by Myles Jack and Sidney Jones). Aaron Jones fumbles, ball out of bounds at JAC-44 (forced by Sidney Jones)",2.190,2.590
4,10:34,2,3,JAX 44,20,17,Aaron Jones right end for 20 yards (tackle by Myles Jack),2.590,3.970
4,9:49,1,10,JAX 24,20,17,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 18 yards (tackle by Joe Schobert),3.970,5.830
4,9:11,1,6,JAX 6,20,23,"Aaron Rodgers pass complete short left to Davante Adams for 6 yards, touchdown",5.830,7.000
4,9:03,,,JAX 15,20,24,Mason Crosby kicks extra point good,0.000,0.000
4,9:03,,,GNB 35,20,24,"JK Scott kicks off 60 yards, returned by Chris Claybrooks for 4 yards, lateral to Terry Godwin for 5 yards, lateral to Malik Taylor for 5 yards. Penalty on Joe Giles-Harris: Illegal Block Above the Waist, 7 yards",0.000,-0.380
4,8:57,1,10,JAX 7,20,24,Jake Luton pass complete short right to Chris Conley for 10 yards (tackle by Darnell Savage),-0.380,-0.060
4,8:20,1,10,JAX 17,20,24,James Robinson left guard for 3 yards (tackle by Kenny Clark),-0.060,-0.060
4,7:45,2,7,JAX 20,20,24,Jake Luton pass complete short middle to Keelan Cole for 9 yards (tackle by Christian Kirksey),-0.060,0.870
4,7:11,1,10,JAX 29,20,24,James Robinson right guard for 4 yards (tackle by Za'Darius Smith),0.870,0.870
4,6:30,2,6,JAX 33,20,24,"Jake Luton pass incomplete short left intended for Keelan Cole. Penalty on Chandon Sullivan: Defensive Pass Interference, 5 yards (no play)",0.870,1.470
4,6:27,1,10,JAX 38,20,24,Jake Luton pass complete short right to Chris Conley for 7 yards (tackle by Josh Jackson),1.470,1.870
4,5:49,2,3,JAX 45,20,24,James Robinson up the middle for 1 yard (tackle by Christian Kirksey),1.870,1.290
4,5:11,3,2,JAX 46,20,24,James Robinson up the middle for 4 yards (tackle by Chandon Sullivan),1.290,2.260
4,4:31,1,10,JAX 50,20,24,Jake Luton pass incomplete short left intended for James O'Shaughnessy,2.260,1.710
4,4:27,2,10,JAX 50,20,24,Jake Luton pass incomplete short left intended for Chris Conley (defended by Ka'dar Hollman),1.710,1.030
4,4:20,3,10,JAX 50,20,24,Jake Luton pass incomplete short left intended for Tyler Eifert (defended by Raven Greene),1.030,-0.060
4,4:15,4,10,JAX 50,20,24,"Logan Cooke punts 43 yards, returned by Josh Jackson for 7 yards (tackle by Dare Ogunbowale)",-0.060,0.280
4,4:06,1,10,GNB 14,20,24,Aaron Jones right end for 5 yards (tackle by Sidney Jones),-0.280,-0.040
4,3:23,2,5,GNB 19,20,24,Aaron Jones right end for 4 yards (tackle by Sidney Jones and Myles Jack),-0.040,-0.320
4,2:37,,,,,,Timeout #1 by Green Bay Packers,,
4,2:37,3,1,GNB 23,20,24,Aaron Jones up the middle for no gain (tackle by Adam Gotsis and Daniel Thomas),-0.320,-1.830
4,2:32,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,2:32,4,1,GNB 23,20,24,JK Scott punts 30 yards out of bounds,-1.830,-2.060
4,2:25,1,10,JAX 47,20,24,Jake Luton pass incomplete short right intended for Keelan Cole (defended by Dean Lowry),2.060,1.520
4,2:21,2,10,JAX 47,20,24,Jake Luton pass complete short middle to Tyler Eifert for 8 yards (tackle by Ka'dar Hollman),1.520,1.880
4,2:00,3,2,GNB 45,20,24,James Robinson left guard for 9 yards (tackle by Preston Smith),1.880,3.180
4,1:37,1,10,GNB 36,20,24,Jake Luton pass incomplete short left intended for James Robinson,3.180,2.640
4,1:33,2,10,GNB 36,20,24,Jake Luton sacked by Rashan Gary for -6 yards,2.640,1.160
4,1:24,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:24,3,16,GNB 42,20,24,Jake Luton sacked by Preston Smith for -10 yards,1.160,-0.190
4,1:11,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:11,,,,,,Timeout #2 by Green Bay Packers,,
4,1:10,4,26,JAX 48,20,24,Jake Luton pass incomplete short right intended for James Robinson,-0.190,-2.390
4,1:01,1,10,JAX 48,20,24,Aaron Rodgers kneels for no gain,2.390,1.850
4,0:32,2,10,JAX 48,20,24,Aaron Rodgers kneels for -1 yards,1.850,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
