Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
1,8:22,3,15,CHI 15,0,0,"Jimmy Garoppolo pass incomplete short left intended for Carlos Hyde. Penalty on Brandon Fusco: Ineligible Downfield Pass (Declined), Penalty on Marquise Goodwin: Offensive Pass Interference (Declined)",2.930,2.440
1,8:16,4,15,CHI 15,3,0,Robbie Gould 33 yard field goal good,2.440,3.000
1,8:12,,,SFO 35,3,0,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,8:12,1,10,CHI 25,3,0,Jordan Howard left guard for 3 yards (tackle by Eric Reid),0.610,0.470
1,7:36,2,7,CHI 28,3,0,Jordan Howard right end for -1 yards (tackle by K'Waun Williams),0.470,-0.360
1,7:04,3,8,CHI 27,3,0,Mitch Trubisky sacked by Elvis Dumervil for -3 yards,-0.360,-1.770
1,6:33,4,11,CHI 24,3,0,"Pat O'Donnell punts 49 yards, returned by Trent Taylor for 19 yards (tackle by Jonathan Anderson)",-1.770,-1.990
1,6:21,1,10,SFO 46,3,0,Carlos Hyde left end for 2 yards (tackle by Akiem Hicks),1.990,1.720
1,5:35,2,8,SFO 48,3,0,Carlos Hyde right end for -1 yards (tackle by Kyle Fuller and Akiem Hicks),1.720,0.890
1,4:50,3,9,SFO 47,3,0,Jimmy Garoppolo pass incomplete short middle intended for Louis Murphy is intercepted by Kyle Fuller at CHI-41,0.890,-1.660
1,4:41,1,10,CHI 41,3,0,Mitch Trubisky pass complete short left to Dontrelle Inman for 13 yards (tackle by Reuben Foster),1.660,2.520
1,4:11,1,10,SFO 46,3,0,Jordan Howard left end for 2 yards (tackle by Reuben Foster),2.520,2.250
1,3:35,2,8,SFO 44,3,0,Tarik Cohen left tackle for 1 yard (tackle by Brock Coyle),2.250,1.680
1,2:55,3,7,SFO 43,3,0,"Mitch Trubisky pass incomplete short right intended for Daniel Brown. Penalty on Solomon Thomas: Defensive Offside, 5 yards (no play)",1.680,2.350
1,2:50,3,2,SFO 38,3,0,Mitch Trubisky pass complete short middle to Kendall Wright for 11 yards (tackle by K'Waun Williams),2.350,3.780
1,2:18,1,10,SFO 27,3,0,Jordan Howard left end for 14 yards (tackle by Eli Harold),3.780,4.710
1,1:28,1,10,SFO 13,3,0,Jordan Howard left end for no gain (tackle by Adrian Colbert),4.710,4.050
1,0:47,2,10,SFO 13,3,0,Mitch Trubisky pass complete short left to Dion Sims for 5 yards (tackle by Reuben Foster),4.050,4.100
1,0:16,3,5,SFO 8,3,6,"Mitch Trubisky pass complete short middle to Dontrelle Inman for 8 yards, touchdown",4.100,7.000
1,0:10,,,SFO 15,3,7,Cairo Santos kicks extra point good,0.000,0.000
1,0:10,,,CHI 35,3,7,"Pat O'Donnell kicks off 70 yards, returned by Victor Bolden for 30 yards (tackle by Benny Cunningham)",0.000,-0.610
1,0:02,1,10,SFO 25,3,7,Jimmy Garoppolo pass complete short middle to Marquise Goodwin for 20 yards (tackle by Chris Prosinski and Kyle Fuller),0.610,1.930
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 45,3,7,Jimmy Garoppolo pass complete short middle to Trent Taylor for 17 yards (tackle by Eddie Jackson),1.930,3.050
2,14:17,1,10,CHI 38,3,7,Jimmy Garoppolo pass complete deep middle to Garrett Celek for 22 yards (tackle by Christian Jones),3.050,4.510
2,13:31,1,10,CHI 16,3,7,Carlos Hyde left guard for 3 yards (tackle by Jonathan Bullard),4.510,4.390
2,12:50,2,7,CHI 13,3,7,Jimmy Garoppolo pass incomplete short left intended for Louis Murphy,4.390,3.540
2,12:42,3,7,CHI 13,3,7,Jimmy Garoppolo pass complete short right to Carlos Hyde for 4 yards (tackle by Kyle Fuller),3.540,2.930
2,12:01,4,3,CHI 9,6,7,Robbie Gould 28 yard field goal good,2.930,3.000
2,11:57,,,SFO 35,6,7,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
2,11:57,1,10,CHI 25,6,7,Mitch Trubisky pass incomplete short left intended for Jordan Howard,0.610,0.060
2,11:52,2,10,CHI 25,6,7,"Mitch Trubisky pass complete short left to Tarik Cohen for 6 yards (tackle by Eric Reid). Penalty on Charles Leno: Offensive Holding, 10 yards",0.060,-0.480
2,11:24,2,14,CHI 21,6,7,Tarik Cohen right guard for 4 yards (tackle by Sheldon Day),-0.480,-0.620
2,10:37,3,10,CHI 25,6,7,Mitch Trubisky left end for 9 yards (tackle by Reuben Foster),-0.620,-1.110
,,,,,,,"CHI challenged the short of the line to gain ruling, and the play was upheld.",,
2,9:46,4,1,CHI 34,6,7,"Pat O'Donnell punts 49 yards, returned by Trent Taylor for 7 yards (tackle by Sherrick McManis). Penalty on Greg Mabin: Illegal Block Above the Waist, 9 yards",-1.110,0.380
2,9:37,1,10,SFO 8,6,7,"Jimmy Garoppolo pass complete short right to George Kittle for 11 yards (tackle by Eddie Jackson). Penalty on Kendrick Bourne: Illegal Block Above the Waist, 9 yards",-0.380,-0.300
2,9:05,1,8,SFO 10,6,7,Matt Breida left tackle for 6 yards (tackle by Jonathan Bullard and Christian Jones),-0.300,-0.090
2,8:42,2,2,SFO 16,6,7,Matt Breida left end for 1 yard (tackle by Mitch Unrein),-0.090,-0.370
2,8:02,3,1,SFO 17,6,7,Jimmy Garoppolo pass complete short left to Trent Taylor for 7 yards (tackle by Danny Trevathan),-0.370,0.540
2,7:35,1,10,SFO 24,6,7,Jimmy Garoppolo sacked by Lamarr Houston for -11 yards,0.540,-1.570
2,6:51,2,21,SFO 13,6,7,Jimmy Garoppolo pass incomplete deep left intended for Garrett Celek,-1.570,-2.640
2,6:46,3,21,SFO 13,6,7,Jimmy Garoppolo pass complete short left to Matt Breida for 4 yards (tackle by Danny Trevathan),-2.640,-2.320
2,6:12,4,17,SFO 17,6,13,"Bradley Pinion punts 44 yards, returned by Tarik Cohen for 61 yards, touchdown",-2.320,-7.000
2,,,,SFO 15,6,14,Cairo Santos kicks extra point good,,
2,5:49,,,CHI 35,6,14,"Pat O'Donnell kicks off 65 yards, touchback",0.000,-0.610
2,5:49,1,10,SFO 25,6,14,Matt Breida left end for 5 yards (tackle by Prince Amukamara),0.610,0.740
2,5:08,2,5,SFO 30,6,14,Jimmy Garoppolo pass complete short left to Marquise Goodwin for 7 yards,0.740,1.400
2,4:40,1,10,SFO 37,6,14,Carlos Hyde right end for 14 yards (tackle by Chris Prosinski),1.400,2.320
2,4:11,1,10,CHI 49,6,14,Jimmy Garoppolo pass complete deep middle to Marquise Goodwin for 18 yards (tackle by Prince Amukamara),2.320,3.510
2,3:37,1,10,CHI 31,6,14,Matt Breida left end for 3 yards (tackle by Christian Jones),3.510,3.370
2,3:01,2,7,CHI 28,6,14,Matt Breida right guard for 2 yards (tackle by Nick Kwiatkoski),3.370,2.940
2,2:20,3,5,CHI 26,6,14,Jimmy Garoppolo pass complete short right to Trent Taylor for 10 yards (tackle by Kyle Fuller),2.940,4.510
2,2:00,1,10,CHI 16,6,14,Jimmy Garoppolo pass complete short middle to George Kittle for 9 yards (tackle by Danny Trevathan),4.510,5.540
2,1:20,2,1,CHI 7,6,14,Carlos Hyde right end for no gain (tackle by Kyle Fuller),5.540,4.850
2,0:39,3,1,CHI 7,6,14,"Penalty on George Kittle: False Start, 5 yards (no play)",4.850,0.000
2,0:39,,,,,,Timeout #1 by San Francisco 49ers,0.000,-3.730
2,0:39,3,6,CHI 12,6,14,"Penalty on Marquise Goodwin: False Start, 5 yards (no play)",3.730,3.020
2,0:39,3,11,CHI 17,6,14,Jimmy Garoppolo pass incomplete deep right intended for George Kittle,3.020,2.310
2,0:29,4,11,CHI 17,9,14,Robbie Gould 35 yard field goal good,2.310,3.000
2,0:24,,,SFO 35,9,14,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
2,0:24,1,10,CHI 25,9,14,Mitch Trubisky pass complete short left to Tarik Cohen for 2 yards (tackle by K'Waun Williams),0.610,0.330
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,9,14,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CHI 25,9,14,Jordan Howard right end for no gain (tackle by Ahkello Witherspoon),0.610,0.060
3,14:41,2,10,CHI 25,9,14,Jordan Howard left end for 9 yards (tackle by Earl Mitchell),0.060,0.560
3,13:53,3,1,CHI 34,9,14,Jordan Howard left guard for 2 yards (tackle by Dontae Johnson),0.560,1.330
3,13:13,1,10,CHI 36,9,14,Mitch Trubisky left end for 4 yards (tackle by Reuben Foster),1.330,1.330
3,12:31,2,6,CHI 40,9,14,Mitch Trubisky pass incomplete short middle intended for Dion Sims,1.330,0.630
3,12:26,3,6,CHI 40,9,14,Mitch Trubisky pass complete short middle to Kendall Wright for 14 yards (tackle by Adrian Colbert),0.630,2.520
3,11:48,1,10,SFO 46,9,14,Jordan Howard left guard for 2 yards (tackle by Sheldon Day),2.520,2.250
3,11:09,2,8,SFO 44,9,14,Jordan Howard right tackle for 2 yards (tackle by Sheldon Day),2.250,1.820
3,10:31,3,6,SFO 42,9,14,Mitch Trubisky pass incomplete short right intended for Josh Bellamy,1.820,0.460
3,10:26,4,6,SFO 42,9,14,Pat O'Donnell punts 28 yards,0.460,0.280
3,10:16,1,10,SFO 14,9,14,Jimmy Garoppolo pass complete short left to Marquise Goodwin for 8 yards (tackle by Prince Amukamara),-0.280,0.420
3,9:44,2,2,SFO 22,9,14,Carlos Hyde right end for 3 yards (tackle by Akiem Hicks),0.420,0.610
3,9:17,1,10,SFO 25,9,14,Jimmy Garoppolo pass complete short middle to Louis Murphy for 16 yards (tackle by Christian Jones and Eddie Jackson),0.610,1.660
3,8:51,1,10,SFO 41,9,14,Carlos Hyde left guard for 2 yards (tackle by Danny Trevathan),1.660,1.390
3,8:19,2,8,SFO 43,9,14,Matt Breida right end for 7 yards (tackle by Christian Jones),1.390,1.620
3,7:37,3,1,,9,14,Jimmy Garoppolo middle for 1 yard (tackle by Akiem Hicks),1.620,2.320
3,6:39,1,10,CHI 49,9,14,"Jimmy Garoppolo for no gain. Jimmy Garoppolo fumbles, recovered by Jimmy Garoppolo at 50",2.320,1.650
3,5:57,2,11,,9,14,Matt Breida right guard for 3 yards (tackle by John Jenkins),1.650,1.360
3,5:15,3,8,CHI 47,9,14,Jimmy Garoppolo pass complete short middle to Marquise Goodwin for 10 yards (tackle by Marcus Cooper),1.360,3.120
3,4:56,1,10,CHI 37,9,14,Carlos Hyde left tackle for 2 yards (tackle by Roy Robertson-Harris),3.120,2.840
3,4:22,2,8,CHI 35,9,14,Carlos Hyde right guard for no gain (tackle by Eddie Goldman),2.840,2.150
3,3:36,3,8,CHI 35,9,14,Jimmy Garoppolo pass complete short middle to Trent Taylor for 15 yards (tackle by Chris Prosinski),2.150,4.240
3,2:57,1,10,CHI 20,9,14,Carlos Hyde right tackle for 4 yards (tackle by Lamarr Houston),4.240,4.280
3,2:18,2,6,CHI 16,9,14,Jimmy Garoppolo pass incomplete short right intended for Louis Murphy,4.280,3.520
,,,,,,,"SFO challenged the incomplete pass ruling, and the play was upheld.",,
3,2:12,3,6,CHI 16,9,14,Jimmy Garoppolo pass incomplete short left intended for Kendrick Bourne. Penalty on Kendrick Bourne: Illegal Touch Pass,3.520,2.400
3,2:00,4,6,CHI 16,12,14,Robbie Gould 34 yard field goal good,2.400,3.000
3,1:57,,,SFO 35,12,14,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,1:57,1,10,CHI 25,12,14,"Mitch Trubisky for no gain. Mitch Trubisky fumbles, recovered by Mitch Trubisky at CHI-19",0.610,-0.810
3,1:17,2,16,CHI 19,12,14,Mitch Trubisky pass complete short right to Tarik Cohen for 10 yards (tackle by Reuben Foster),-0.810,-0.100
3,0:40,3,6,CHI 29,12,14,"Mitch Trubisky sacked by Cassius Marsh for -9 yards. Mitch Trubisky fumbles (forced by Cassius Marsh), recovered by Mitch Trubisky at CHI-15",-0.100,-2.440
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,20,CHI 15,12,14,"Pat O'Donnell punts 39 yards, returned by Trent Taylor for 2 yards (tackle by Sherrick McManis)",-2.440,-2.130
4,14:50,1,10,SFO 48,12,14,Carlos Hyde left end for 5 yards (tackle by Prince Amukamara),2.130,2.260
4,14:27,2,5,CHI 47,12,14,Jimmy Garoppolo sacked by Christian Jones for -4 yards,2.260,1.020
4,13:45,3,9,SFO 49,12,14,Jimmy Garoppolo pass complete short right to Trent Taylor for 10 yards (tackle by Christian Jones),1.020,2.850
4,12:59,1,10,CHI 41,12,14,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 8 yards (tackle by Kyle Fuller),2.850,3.390
4,12:20,2,2,CHI 33,12,14,"Matt Breida right guard for 3 yards (tackle by John Jenkins). Penalty on Garrett Celek: Illegal Block Above the Waist, 10 yards (no play)",3.390,2.040
4,11:48,2,12,CHI 43,12,14,Matt Breida right guard for -2 yards (tackle by Christian Jones),2.040,1.090
4,11:01,3,14,CHI 45,12,14,Jimmy Garoppolo pass incomplete deep right intended for Louis Murphy,1.090,0.270
4,10:56,4,14,CHI 45,12,14,"Bradley Pinion punts 28 yards, returned by Tarik Cohen for 67 yards (tackle by Elijah Lee). Penalty on Ben Braunecker: Illegal Block Above the Waist, 10 yards",0.270,0.280
4,10:39,1,10,CHI 14,12,14,Jordan Howard left end for 1 yard (tackle by Eli Harold),-0.280,-0.640
4,10:03,2,9,CHI 15,12,14,Mitch Trubisky pass complete short right to Tarik Cohen for 21 yards (tackle by Brock Coyle),-0.640,1.330
4,9:17,1,10,CHI 36,12,14,Jordan Howard left end for 1 yard (tackle by Solomon Thomas),1.330,0.930
4,8:35,2,9,CHI 37,12,14,Mitch Trubisky pass complete short right to Josh Bellamy for 4 yards (tackle by K'Waun Williams),0.930,0.760
4,8:03,3,5,CHI 41,12,14,Mitch Trubisky pass complete short middle to Daniel Brown for 13 yards (tackle by Reuben Foster),0.760,2.520
4,7:25,1,10,SFO 46,12,14,Jordan Howard right end for 3 yards (tackle by Eric Reid),2.520,2.380
4,6:50,2,7,SFO 43,12,14,Mitch Trubisky pass complete short left to Jordan Howard for -5 yards (tackle by Eric Reid),2.380,1.030
4,6:06,3,12,SFO 48,12,14,Mitch Trubisky left end for 6 yards (tackle by Adrian Colbert),1.030,0.460
4,5:35,4,6,SFO 42,12,14,"Pat O'Donnell punts 34 yards, fair catch by Trent Taylor",0.460,0.380
4,5:27,1,10,SFO 8,12,14,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 13 yards (tackle by Lamarr Houston),-0.380,0.340
4,4:42,1,10,SFO 21,12,14,Matt Breida left end for 6 yards (tackle by John Jenkins and Christian Jones),0.340,0.610
4,4:17,2,4,SFO 27,12,14,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 3 yards (tackle by Danny Trevathan),0.610,0.300
4,3:55,3,1,SFO 30,12,14,Carlos Hyde right end for 18 yards (tackle by Christian Jones),0.300,2.130
4,3:11,1,10,SFO 48,12,14,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 1 yard (tackle by Christian Jones),2.130,1.720
4,2:21,2,9,SFO 49,12,14,Jimmy Garoppolo pass incomplete short middle intended for Carlos Hyde,1.720,1.020
4,2:17,3,9,SFO 49,12,14,Jimmy Garoppolo pass complete deep middle to Trent Taylor for 33 yards (tackle by Eddie Jackson),1.020,4.370
4,2:00,1,10,CHI 18,12,14,Matt Breida right end for 4 yards (tackle by Jonathan Bullard),4.370,0.000
4,1:52,,,,,,Timeout #1 by Chicago Bears,0.000,0.000
4,1:52,,,,,,Timeout #2 by San Francisco 49ers,0.000,-4.430
4,1:52,2,6,CHI 14,12,14,Jimmy Garoppolo pass complete short right to Carlos Hyde for 4 yards,4.430,0.000
4,1:46,,,,,,Timeout #3 by San Francisco 49ers,0.000,-4.510
4,1:46,3,2,CHI 10,12,14,Kyle Juszczyk right guard for 3 yards (tackle by Danny Trevathan and Eddie Goldman),4.510,0.000
4,1:40,,,,,,Timeout #2 by Chicago Bears,0.000,-5.600
4,1:40,1,7,CHI 7,12,14,Carlos Hyde right tackle for 4 yards (tackle by Kyle Fuller),5.600,0.000
4,1:34,,,,,,Timeout #3 by Chicago Bears,0.000,-5.530
4,1:34,2,3,CHI 3,12,14,Carlos Hyde right guard for -2 yards (tackle by Jonathan Bullard),5.530,4.260
4,0:50,3,5,CHI 5,12,14,Jimmy Garoppolo kneels for -1 yards,4.260,2.990
4,0:08,4,6,CHI 6,15,14,Robbie Gould 24 yard field goal good,2.990,3.000
4,0:04,,,SFO 35,15,14,--,0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
