Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
1,0:07,2,2,TEN 2,7,7,Derek Carr pass incomplete short right intended for Amari Cooper (defended by Adoree' Jackson),5.720,4.950
1,0:02,3,2,TEN 2,7,7,Derek Carr pass incomplete short middle intended for Amari Cooper (defended by Brian Orakpo),4.950,3.250
Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,TEN 2,10,7,Giorgio Tavecchio 20 yard field goal good,3.250,3.000
2,14:55,,,OAK 35,10,7,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
2,14:55,1,10,TEN 25,10,7,DeMarco Murray left guard for no gain (tackle by Cory James),0.610,0.060
2,14:21,2,10,TEN 25,10,7,Derrick Henry left end for 5 yards (tackle by Tyrell Adams),0.060,0.040
2,13:49,3,5,TEN 30,10,7,Marcus Mariota pass complete short middle to Corey Davis for 3 yards (tackle by Reggie Nelson and Karl Joseph),0.040,-1.180
2,13:09,4,2,TEN 33,10,7,"Brett Kern punts 52 yards, muffed catch by Jalen Richard, ball out of bounds at OAK-14",-1.180,0.280
2,13:00,1,10,OAK 14,10,7,DeAndre Washington left guard for no gain (tackle by DaQuan Jones),-0.280,-0.750
2,12:26,2,10,OAK 14,10,7,Derek Carr pass complete short right to Amari Cooper for 14 yards (tackle by Kevin Byard),-0.750,0.810
2,11:50,1,10,OAK 28,10,7,DeAndre Washington middle for 4 yards (tackle by Johnathan Cyprien and Avery Williamson),0.810,0.800
2,11:13,2,6,OAK 32,10,7,Derek Carr pass complete short right to Jared Cook for 6 yards (tackle by Kevin Byard),0.800,1.470
2,10:35,1,10,OAK 38,10,7,Jalen Richard right tackle for 2 yards (tackle by Erik Walden),1.470,1.190
2,10:00,2,8,OAK 40,10,7,Derek Carr pass complete deep left to Michael Crabtree for 17 yards (tackle by Brice McCain),1.190,2.720
2,9:15,1,10,TEN 43,10,7,Jalen Richard left tackle for 2 yards (tackle by Johnathan Cyprien),2.720,2.450
2,8:37,2,8,TEN 41,10,7,Derek Carr sacked by Wesley Woodyard for -5 yards,2.450,1.090
2,7:54,3,13,TEN 46,10,7,Derek Carr sacked by Derrick Morgan for -7 yards,1.090,-0.260
2,7:14,4,20,OAK 47,10,7,Marquette King punts 51 yards,-0.260,0.380
2,7:03,1,10,TEN 2,10,7,Derrick Henry left guard for 3 yards (tackle by Reggie Nelson and Cory James),-0.380,-0.560
2,6:30,2,7,TEN 5,10,7,Derrick Henry left guard for 2 yards (tackle by Eddie Vanderdoes),-0.560,-0.840
2,5:49,3,5,TEN 7,10,7,Marcus Mariota pass complete short middle to Rishard Matthews for 24 yards (tackle by Reggie Nelson),-0.840,1.000
2,5:08,1,10,TEN 31,10,7,Derrick Henry left tackle for 2 yards (tackle by T.J. Carrie),1.000,0.730
2,4:32,2,8,TEN 33,10,7,Marcus Mariota right tackle for 15 yards (tackle by Reggie Nelson),0.730,2.130
2,3:42,1,10,TEN 48,10,7,Marcus Mariota pass incomplete short right intended for Delanie Walker,2.130,1.580
2,3:39,2,10,TEN 48,10,7,Marcus Mariota pass complete short left to Taywan Taylor for 4 yards (tackle by Sean Smith),1.580,1.420
2,2:56,3,6,OAK 48,10,7,Marcus Mariota pass complete short right to Delanie Walker for 10 yards (tackle by Karl Joseph and Tyrell Adams),1.420,3.050
2,2:13,1,10,OAK 38,10,7,Marcus Mariota pass complete short right to Corey Davis for 11 yards (tackle by David Amerson),3.050,3.780
2,2:00,1,10,OAK 27,10,7,Derrick Henry left end for 8 yards (tackle by T.J. Carrie),3.780,4.350
2,1:52,2,2,OAK 19,10,7,Marcus Mariota pass complete short right to Corey Davis for 11 yards (tackle by T.J. Carrie),4.350,5.370
2,1:45,1,8,OAK 8,10,7,Marcus Mariota pass complete short right to Eric Decker for 2 yards (tackle by Karl Joseph),5.370,4.950
2,1:04,2,6,OAK 6,10,7,Marcus Mariota pass incomplete short right intended for Eric Decker (defended by Karl Joseph),4.950,4.040
2,0:58,3,6,OAK 6,10,7,Marcus Mariota left end for 1 yard (tackle by T.J. Carrie),4.040,3.010
2,0:48,4,5,OAK 5,10,10,Ryan Succop 23 yard field goal good,3.010,3.000
2,0:43,,,TEN 35,10,10,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,0:43,1,10,OAK 25,10,10,Derek Carr pass complete short right to Michael Crabtree for 15 yards (tackle by Jayon Brown),0.610,1.600
2,0:36,1,10,OAK 40,10,10,Derek Carr pass complete short right to Michael Crabtree for 8 yards,1.600,2.130
2,0:29,2,2,OAK 48,10,10,Derek Carr pass complete short left to DeAndre Washington for 13 yards (tackle by Da'Norris Searcy),2.130,0.000
2,0:20,,,,,,Timeout #2 by Oakland Raiders,0.000,-2.980
2,0:20,1,10,TEN 39,10,10,Derek Carr pass complete short right to Jared Cook for 5 yards (tackle by Adoree' Jackson),2.980,0.000
2,0:02,,,,,,Timeout #3 by Oakland Raiders,0.000,-3.120
2,0:02,2,5,TEN 34,13,10,Giorgio Tavecchio 52 yard field goal good,3.120,3.000
Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,13,10,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,TEN 25,13,10,Derrick Henry left end for 5 yards (tackle by Marquel Lee),0.610,0.740
3,14:24,2,5,TEN 30,13,10,Marcus Mariota pass complete short right to Delanie Walker for 3 yards (tackle by Tyrell Adams),0.740,0.430
3,13:40,3,2,TEN 33,13,10,Marcus Mariota pass complete short middle to Taywan Taylor for 10 yards (tackle by Karl Joseph),0.430,1.800
3,12:57,1,10,TEN 43,13,10,Marcus Mariota pass complete short middle to DeMarco Murray for 4 yards (tackle by Marquel Lee),1.800,1.790
3,12:16,2,6,TEN 47,13,10,DeMarco Murray left tackle for -2 yards (tackle by Khalil Mack),1.790,0.830
3,11:37,3,8,TEN 45,13,10,Marcus Mariota pass incomplete short right intended for Rishard Matthews,0.830,-0.390
3,11:31,4,8,TEN 45,13,10,"Brett Kern punts 42 yards, returned by Jalen Richard for 5 yards (tackle by Eric Weems). Penalty on Xavier Woodson-Luster: Illegal Block Above the Waist, 9 yards",-0.390,0.380
3,11:21,1,10,OAK 9,13,10,Derek Carr pass incomplete short left intended for Amari Cooper,-0.380,-0.780
3,11:17,2,10,OAK 9,13,10,Marshawn Lynch middle for 7 yards (tackle by Johnathan Cyprien),-0.780,-0.600
3,10:41,3,3,OAK 16,13,10,Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Adoree' Jackson),-0.600,-2.390
3,10:36,4,3,OAK 16,13,10,"Marquette King punts 59 yards, returned by Adoree' Jackson for 7 yards (tackle by Cordarrelle Patterson). Penalty on Eric Weems: Illegal Block Above the Waist, 10 yards",-2.390,-0.280
3,10:24,1,10,TEN 20,13,10,DeMarco Murray left tackle for -1 yards (tackle by Khalil Mack),0.280,-0.460
3,9:38,2,11,TEN 19,13,10,Marcus Mariota sacked by Mario Edwards and Justin Ellis for -1 yards,-0.460,-1.330
3,8:55,3,12,TEN 18,13,10,Marcus Mariota pass incomplete deep right intended for Eric Decker,-1.330,-2.240
3,8:50,4,12,TEN 18,13,10,"Brett Kern punts 45 yards, fair catch by Jalen Richard",-2.240,-1.400
3,8:42,1,10,OAK 37,13,10,Marshawn Lynch left tackle for 2 yards (tackle by Sylvester Williams and Wesley Woodyard),1.400,1.130
3,8:03,2,8,OAK 39,13,10,Derek Carr pass complete short left to Michael Crabtree for no gain,1.130,0.430
3,7:24,3,8,OAK 39,13,10,"Derek Carr pass complete short right to Amari Cooper for 11 yards (tackle by Logan Ryan). Amari Cooper fumbles (forced by Logan Ryan), ball out of bounds at 50",0.430,2.260
3,6:49,1,10,,13,10,Derek Carr pass complete short right to Marshawn Lynch for 16 yards (tackle by Kevin Byard),2.260,3.310
3,6:12,1,10,TEN 34,13,10,Derek Carr pass incomplete short left intended for Marshawn Lynch,3.310,2.770
3,6:10,2,10,TEN 34,13,10,Jalen Richard right guard for 2 yards (tackle by Erik Walden),2.770,2.350
3,5:32,3,8,TEN 32,13,10,"Derek Carr pass complete short left to Amari Cooper for 14 yards (tackle by Logan Ryan). Penalty on Rodney Hudson: Illegal Use of Hands, 10 yards (no play)",2.350,1.030
3,5:10,3,18,TEN 42,13,10,"Derek Carr left end for 3 yards (tackle by Brian Orakpo). Derek Carr fumbles (forced by Brian Orakpo), ball out of bounds at TEN-39",1.030,0.660
3,4:44,4,15,TEN 39,13,10,"Marquette King punts 39 yards, touchback. Penalty on Brynden Trawick: Running Into the Kicker, 5 yards (no play)",0.660,1.060
3,4:36,4,10,TEN 34,16,10,Giorgio Tavecchio 52 yard field goal good,1.060,3.000
3,4:31,,,OAK 35,16,10,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
3,4:31,1,10,TEN 25,16,10,Marcus Mariota pass complete short left to Rishard Matthews for 6 yards (tackle by T.J. Carrie),0.610,0.870
3,3:50,2,4,TEN 31,16,10,DeMarco Murray left guard for 6 yards (tackle by Tyrell Adams),0.870,1.400
3,3:22,1,10,TEN 37,16,10,Marcus Mariota pass complete deep left to Delanie Walker for 23 yards (tackle by Karl Joseph),1.400,2.920
3,2:42,1,10,OAK 40,16,10,Marcus Mariota pass complete short middle to Delanie Walker for 4 yards (tackle by Reggie Nelson and Cory James),2.920,2.910
3,2:15,2,6,OAK 36,16,10,DeMarco Murray middle for 21 yards (tackle by Karl Joseph),2.910,4.580
3,1:31,1,10,OAK 15,16,10,Marcus Mariota pass incomplete short right intended for Rishard Matthews (defended by Khalil Mack),4.580,3.950
3,1:27,2,10,OAK 15,16,10,Marcus Mariota pass complete short right to Eric Decker for 8 yards (tackle by Karl Joseph),3.950,4.680
3,0:42,3,2,OAK 7,16,10,DeMarco Murray right end for -1 yards (tackle by Nicholas Morrow),4.680,2.980
3,0:01,4,3,OAK 8,16,13,Ryan Succop 26 yard field goal good,2.980,3.000
Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,TEN 35,16,13,"Ryan Succop kicks off 65 yards, touchback. Penalty on Daren Bates: Offside on Free Kick, 5 yards",0.000,-0.940
4,15:00,1,10,OAK 30,16,13,Derek Carr pass complete short middle to Jared Cook for 11 yards (tackle by Wesley Woodyard),0.940,1.660
4,14:27,1,10,OAK 41,16,13,Marshawn Lynch right guard for 12 yards (tackle by Johnathan Cyprien),1.660,2.460
4,13:58,1,10,TEN 47,16,13,Marshawn Lynch right guard for 4 yards (tackle by Johnathan Cyprien),2.460,2.450
4,13:10,2,6,TEN 43,16,13,Derek Carr pass incomplete short left intended for Amari Cooper,2.450,1.750
4,13:10,3,6,TEN 43,16,13,Derek Carr pass complete short middle to Jalen Richard for 6 yards (tackle by Kevin Byard),1.750,3.120
4,12:29,1,10,TEN 37,16,13,Derek Carr pass complete deep right to Michael Crabtree for 18 yards (tackle by Adoree' Jackson),3.120,4.310
4,12:04,1,10,TEN 19,22,13,"Derek Carr pass complete deep left to Seth Roberts for 19 yards, touchdown",4.310,7.000
4,11:58,,,TEN 15,23,13,Giorgio Tavecchio kicks extra point good,0.000,0.000
4,11:58,,,OAK 35,23,13,"Giorgio Tavecchio kicks off 65 yards, returned by Adoree' Jackson for 35 yards (tackle by James Cowser)",0.000,-1.270
4,11:50,1,10,TEN 35,23,13,Marcus Mariota pass complete deep right to Delanie Walker for 17 yards (tackle by Reggie Nelson),1.270,2.390
4,11:20,1,10,OAK 48,23,13,Marcus Mariota pass complete short left to Eric Decker for no gain,2.390,1.850
4,10:48,2,10,OAK 48,23,13,Marcus Mariota pass incomplete short right intended for Corey Davis,1.850,1.160
4,10:43,3,10,OAK 48,23,13,Marcus Mariota pass incomplete short middle intended for Eric Decker (defended by Reggie Nelson),1.160,0.070
4,10:38,4,10,OAK 48,23,13,"Brett Kern punts 48 yards, touchback",0.070,-0.280
4,10:32,1,10,OAK 20,23,13,DeAndre Washington right tackle for no gain (tackle by Avery Williamson),0.280,-0.270
4,9:53,2,10,OAK 20,23,13,Derek Carr pass complete short right to DeAndre Washington for 5 yards (tackle by Adoree' Jackson),-0.270,-0.300
4,9:15,3,5,OAK 25,23,13,Derek Carr pass complete short left to Amari Cooper for 23 yards (tackle by Kevin Byard),-0.300,2.130
4,8:31,1,10,OAK 48,23,13,Marshawn Lynch right guard for 1 yard (tackle by Avery Williamson),2.130,1.720
4,7:45,2,9,OAK 49,23,13,Marshawn Lynch right tackle for 3 yards (tackle by Jayon Brown),1.720,1.420
4,7:03,3,6,TEN 48,23,13,Derek Carr pass incomplete short right intended for Amari Cooper,1.420,0.070
4,6:59,4,6,TEN 48,23,13,"Marquette King punts 48 yards, touchback",0.070,-0.280
4,6:44,1,10,TEN 20,23,13,DeMarco Murray left guard for 7 yards (tackle by Reggie Nelson),0.280,0.680
4,6:30,2,3,TEN 27,23,13,Marcus Mariota pass complete short middle to Delanie Walker for 13 yards (tackle by Tyrell Adams),0.680,1.600
4,6:09,1,10,TEN 40,23,13,Marcus Mariota pass incomplete deep left intended for Corey Davis,1.600,1.050
4,6:03,2,10,TEN 40,23,13,"Marcus Mariota sacked by Khalil Mack for -10 yards. Marcus Mariota fumbles (forced by Khalil Mack), recovered by Josh Kline at TEN-23. Penalty on Bruce Irvin: Defensive Offside, 5 yards (no play)",1.050,1.730
4,5:41,2,5,TEN 45,23,13,"Marcus Mariota pass complete short left to Delanie Walker for 6 yards (tackle by Bruce Irvin). Penalty on Bruce Irvin: Unnecessary Roughness, 15 yards",1.730,3.310
4,5:11,1,10,OAK 34,23,13,Marcus Mariota pass incomplete deep right intended for Delanie Walker,3.310,2.770
4,5:03,2,10,OAK 34,23,13,Marcus Mariota pass incomplete short right intended for Jonnu Smith (defended by T.J. Carrie),2.770,2.080
4,4:59,3,10,OAK 34,23,13,Marcus Mariota pass incomplete deep left intended for Rishard Matthews,2.080,1.060
4,4:54,4,10,OAK 34,23,16,Ryan Succop 52 yard field goal good,1.060,3.000
4,4:49,,,TEN 35,23,16,"Ryan Succop kicks off 65 yards, returned by Cordarrelle Patterson for 41 yards (tackle by Ryan Succop)",0.000,-1.660
4,4:41,1,10,OAK 41,23,16,Marshawn Lynch middle for 4 yards (tackle by Wesley Woodyard and DaQuan Jones),1.660,1.660
4,3:55,2,6,OAK 45,23,16,Marshawn Lynch left tackle for 3 yards (tackle by Avery Williamson and DaQuan Jones),1.660,1.360
4,3:17,3,3,OAK 48,23,16,Jalen Richard right end for 7 yards (tackle by Avery Williamson),1.360,0.000
4,3:05,,,,,,Timeout #1 by Tennessee Titans,0.000,-2.590
4,3:05,1,10,TEN 45,23,16,Jalen Richard left tackle for 9 yards (tackle by Austin Johnson and Da'Norris Searcy),2.590,0.000
4,2:58,,,,,,Timeout #2 by Tennessee Titans,0.000,-3.260
4,2:58,2,1,TEN 36,23,16,Marshawn Lynch right tackle for 5 yards (tackle by Avery Williamson),3.260,0.000
4,2:52,,,,,,Timeout #3 by Tennessee Titans,0.000,-3.510
4,2:52,1,10,TEN 31,23,16,Marshawn Lynch left guard for 2 yards (tackle by Kevin Byard),3.510,3.240
4,2:06,2,8,TEN 29,23,16,Marshawn Lynch right tackle for 6 yards (tackle by Da'Norris Searcy),3.240,3.340
4,2:00,3,2,TEN 23,23,16,Marshawn Lynch right tackle for -2 yards (tackle by Derrick Morgan),3.340,0.000
4,1:14,,,,,,Timeout #1 by Oakland Raiders,0.000,-1.880
4,1:14,4,4,TEN 25,26,16,Giorgio Tavecchio 43 yard field goal good,1.880,3.000
4,1:09,,,OAK 35,26,16,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
4,1:09,1,10,TEN 25,26,16,Marcus Mariota pass complete short middle to DeMarco Murray for 12 yards (tackle by Tyrell Adams and Denico Autry),0.610,1.400
4,0:47,1,10,TEN 37,26,16,Marcus Mariota pass incomplete short middle intended for Corey Davis,1.400,0.860
4,0:45,2,10,TEN 37,26,16,"Penalty on Jack Conklin: False Start, 5 yards (no play)",0.860,0.180
4,0:43,2,15,TEN 32,26,16,Marcus Mariota pass complete short left to Corey Davis for 13 yards (tackle by Reggie Nelson),0.180,1.220
4,0:38,3,2,TEN 45,26,16,Marcus Mariota pass complete short middle to Corey Davis for 8 yards (tackle by Cory James and Tyrell Adams),1.220,2.460
4,0:21,1,10,OAK 47,26,16,Marcus Mariota pass incomplete short left intended for Corey Davis,2.460,1.910
4,0:18,2,10,OAK 47,26,16,Marcus Mariota pass complete short right to Rishard Matthews for 13 yards,1.910,3.310
4,0:12,1,10,OAK 34,26,16,Ryan Succop 52 yard field goal no good,3.310,-1.730
4,0:07,1,10,OAK 42,26,16,Derek Carr kneels for -1 yards,1.730,1.050
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
