Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
3,1:37,1,10,WAS 4,0,10,Mark Brunell pass complete to Taylor Jacobs for 9 yards (tackle by DeMarcus Ware and Anthony Henry),-0.380,-0.120
3,1:00,2,1,WAS 13,0,10,Clinton Portis left tackle for 8 yards (tackle by Roy Williams and Chris Canty),-0.120,0.340
3,0:21,1,10,WAS 21,0,10,Clinton Portis left end for -3 yards (tackle by DeMarcus Ware),0.340,-0.700
Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,WAS 18,0,10,Mark Brunell pass complete to Chris Cooley for 6 yards (tackle by Dat Nguyen),-0.700,-0.490
4,14:17,3,7,WAS 24,0,10,Mark Brunell pass complete to Santana Moss for 9 yards,-0.490,1.140
4,13:49,1,10,WAS 33,0,10,"Penalty on Santana Moss: False Start, 5 yards (no play)",1.140,0.810
4,13:24,1,15,WAS 28,0,10,Mark Brunell left end for 4 yards (tackle by Anthony Henry),0.810,0.460
4,12:50,2,11,WAS 32,0,10,Mark Brunell pass incomplete intended for Robert Royal (defended by Alshermond Singleton),0.460,-0.230
4,12:44,3,11,WAS 32,0,10,Mark Brunell pass incomplete intended for Clinton Portis,-0.230,-1.240
4,12:37,4,11,WAS 32,0,10,"Andy Groom punts 57 yards, returned by Patrick Crayton for 13 yards (tackle by Marcus Washington)",-1.240,-0.540
4,12:25,1,10,DAL 24,0,10,Julius Jones left tackle for 8 yards (tackle by Matt Bowen and Marcus Washington),0.540,1.080
4,11:40,2,2,DAL 32,0,10,"Julius Jones for 1 yard (tackle by Ryan Boschetti and Cedric Killings). Drew Bledsoe fumbles, recovered by Drew Bledsoe at DAL-31",1.080,0.500
4,10:55,3,1,DAL 33,0,10,"Drew Bledsoe pass complete to Jason Witten for no gain. Penalty on Keyshawn Johnson: Illegal Motion, 5 yards (no play)",0.500,-0.160
4,10:30,3,6,DAL 28,0,10,Drew Bledsoe pass complete to Terry Glenn for 43 yards (tackle by Sean Taylor),-0.160,3.640
4,10:04,1,10,WAS 29,0,10,Julius Jones left end for 5 yards (tackle by Walt Harris),3.640,3.780
4,9:21,2,5,WAS 24,0,10,Julius Jones up the middle for 7 yards (tackle by Joe Salave'a),3.780,4.440
4,8:35,1,10,WAS 17,0,10,"Julius Jones left tackle for no gain (tackle by Marcus Washington). Penalty on Larry Allen: Offensive Holding, 10 yards (no play)",4.440,3.780
4,8:08,1,20,WAS 27,0,10,Tyson Thompson up the middle for 2 yards (tackle by Cedric Killings),3.780,2.810
4,7:25,2,18,WAS 25,0,10,Tyson Thompson up the middle for 3 yards (tackle by Lemar Marshall),2.810,2.540
4,6:39,,,,0,10,Timeout #1 by Dallas Cowboys,0.000,2.540
4,6:39,3,15,WAS 22,0,10,Tyson Thompson up the middle for -1 yards (tackle by Renaldo Wynn),2.540,1.930
4,6:01,4,16,WAS 23,0,13,Jose Cortez 41 yard field goal good,1.930,3.000
4,5:58,,,DAL 30,0,13,"Jose Cortez kicks off 67 yards, returned by Ladell Betts for 21 yards (tackle by Brett Pierce)",0.000,0.540
4,5:51,1,10,WAS 24,0,13,Mark Brunell pass incomplete intended for David Patten,0.540,0.000
4,5:48,2,10,WAS 24,0,13,Mark Brunell pass complete to Chris Cooley for 14 yards (tackle by Aaron Glenn). Penalty on Aaron Glenn: Illegal Contact (Declined),0.000,1.470
4,5:16,1,10,WAS 38,0,13,Mark Brunell pass incomplete intended for Taylor Jacobs,1.470,0.920
4,5:15,2,10,WAS 38,0,13,Mark Brunell sacked by Roy Williams for -17 yards,0.920,-2.010
4,4:48,3,27,WAS 21,0,13,Mark Brunell for 25 yards (tackle by Keith Davis),-2.010,0.000
4,4:48,,,,0,13,--,0.000,-0.320
4,4:18,4,2,WAS 46,0,13,Mark Brunell pass complete to James Thrash for 20 yards (tackle by Keith Davis),-0.320,3.310
4,4:14,1,10,DAL 34,0,13,"Penalty on Randy Thomas: False Start, 5 yards (no play)",3.310,2.980
4,4:14,1,15,DAL 39,0,13,Mark Brunell pass incomplete intended for Taylor Jacobs (defended by Roy Williams),2.980,2.090
4,4:03,2,15,DAL 39,0,13,Mark Brunell pass incomplete,2.090,1.420
4,4:01,3,15,DAL 39,0,13,Mark Brunell pass incomplete intended for Ladell Betts,1.420,0.660
4,3:55,4,15,DAL 39,6,13,"Mark Brunell pass complete to Santana Moss for 39 yards, touchdown",0.660,7.000
4,3:55,,,DAL 2,7,13,Nick Novak kicks extra point good,0.000,0.000
4,3:46,,,WAS 30,7,13,"Nick Novak kicks off 60 yards, returned by Tyson Thompson for 21 yards (tackle by Mike Sellers)",0.000,1.000
4,3:42,1,10,DAL 31,7,13,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,1.000,0.460
4,3:36,2,10,DAL 31,7,13,"Julius Jones left end for 8 yards (tackle by Walt Harris). Penalty on Walt Harris: Face Mask (5 Yards), 5 yards",0.460,1.860
4,3:29,1,10,DAL 44,7,13,Julius Jones left tackle for 2 yards (tackle by Marcus Washington and Phillip Daniels),1.860,1.590
4,3:23,,,,7,13,Timeout #2 by Washington Redskins,0.000,1.590
4,3:23,2,8,DAL 46,7,13,Drew Bledsoe pass incomplete intended for Brett Pierce,1.590,0.890
4,3:17,3,8,DAL 46,7,13,"Drew Bledsoe pass complete to Keyshawn Johnson for 17 yards (tackle by Matt Bowen). Penalty on Flozell Adams: Offensive Holding, 10 yards (no play)",0.890,-0.430
4,3:07,3,18,DAL 36,7,13,Drew Bledsoe pass complete to Jason Witten for 13 yards (tackle by Walt Harris),-0.430,-0.130
4,2:59,,,,7,13,Timeout #3 by Washington Redskins,0.000,-0.130
4,2:57,4,5,DAL 49,7,13,"Mat McBriar punts 51 yards, touchback",-0.130,-0.280
4,2:52,1,10,WAS 20,7,13,Mark Brunell pass complete to Clinton Portis for 10 yards (tackle by Anthony Henry and Scott Shanle),0.280,0.940
4,2:44,1,10,WAS 30,13,13,"Mark Brunell pass complete to Santana Moss for 70 yards, touchdown",0.940,7.000
4,2:44,,,,14,13,"Penalty on Flozell Adams: Encroachment, 5 yards",0.000,0.000
4,2:44,,,DAL 2,14,13,Nick Novak kicks extra point good,0.000,0.000
4,2:35,,,WAS 35,14,13,"Nick Novak kicks off 62 yards, returned by Tyson Thompson for 49 yards (tackle by Nick Novak)",0.000,2.390
4,2:28,1,10,WAS 48,14,13,Julius Jones right tackle for 6 yards (tackle by Marcus Washington),2.390,2.660
4,2:03,2,4,WAS 42,14,13,Drew Bledsoe pass incomplete intended for Jason Witten,2.660,1.950
4,1:57,3,4,WAS 42,14,13,Drew Bledsoe pass incomplete intended for Patrick Crayton (defended by Sean Taylor),1.950,0.460
4,1:53,4,4,WAS 42,14,13,Drew Bledsoe pass complete to Terry Glenn for 3 yards (tackle by Walt Harris),0.460,-1.530
4,1:47,1,10,WAS 39,14,13,Clinton Portis left tackle for 4 yards (tackle by Keith Davis),1.530,1.530
4,1:43,,,,14,13,Timeout #2 by Dallas Cowboys,0.000,1.530
4,1:43,2,6,WAS 43,14,13,Clinton Portis up the middle for 3 yards (tackle by La'Roi Glover),1.530,1.220
4,1:38,,,,14,13,Timeout #3 by Dallas Cowboys,0.000,1.220
4,1:38,3,3,WAS 46,14,13,Clinton Portis up the middle for -1 yards (tackle by Bradie James and Kenyon Coleman),1.220,-0.390
4,1:05,4,4,WAS 45,14,13,"Penalty on Andy Groom: Delay of Game, 5 yards (no play)",-0.390,-0.720
4,0:50,4,9,WAS 40,14,13,Andy Groom punts 39 yards,-0.720,-0.340
4,0:36,1,10,DAL 21,14,13,Drew Bledsoe pass incomplete intended for Terry Glenn,0.340,-0.200
4,0:32,2,10,DAL 21,14,13,Drew Bledsoe pass incomplete intended for Keyshawn Johnson (defended by Matt Bowen),-0.200,-0.890
4,0:26,3,10,DAL 21,14,13,"Drew Bledsoe pass complete to Terry Glenn for 20 yards (tackle by Shawn Springs). Drew Bledsoe fumbles, recovered by Drew Bledsoe at DAL-DAL",-0.890,1.660
4,0:15,1,10,DAL 41,14,13,Drew Bledsoe spiked the ball,1.660,1.120
4,0:09,2,10,DAL 41,14,13,Drew Bledsoe pass incomplete intended for Patrick Crayton,1.120,0.430
4,0:04,3,10,DAL 41,14,13,"Drew Bledsoe pass complete to Julius Jones for 9 yards, lateral to Terry Glenn for 7 yards (tackle by Omar Stoutmire)",0.430,-0.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
