Quarter,Time,Down,ToGo,Location,ARI,NYJ,Detail,EPB,EPA
1,10:07,1,10,NYJ 18,0,0,Bilal Powell left tackle for 3 yards (tackle by Dan Williams and Paris Lenon),0.040,0.010
1,9:29,2,7,NYJ 21,0,0,Mark Sanchez pass complete short right to Stephen Hill for 5 yards (tackle by William Gay),0.010,-0.140
1,8:52,3,2,NYJ 26,0,0,Mark Sanchez right guard for 2 yards (tackle by Dan Williams),-0.140,0.810
1,8:03,1,10,NYJ 28,0,0,Mark Sanchez pass complete deep left to Jeff Cumberland for 24 yards (tackle by Adrian Wilson),0.810,2.390
1,7:29,1,10,ARI 48,0,0,Bilal Powell up the middle for 7 yards (tackle by Quentin Groves),2.390,2.790
1,6:54,2,3,ARI 41,0,0,Bilal Powell left tackle for 6 yards (tackle by David Carter and Paris Lenon). Penalty on Dan Williams: Defensive Offside (Declined),2.790,3.250
1,6:28,1,10,ARI 35,0,0,Mark Sanchez pass incomplete deep left intended for Chaz Schilens (defended by Gregory Toler),3.250,2.700
1,6:24,2,10,ARI 35,0,0,Bilal Powell up the middle for 1 yard (tackle by Dan Williams),2.700,2.150
1,5:42,3,9,ARI 34,0,0,Mark Sanchez pass complete short right to Stephen Hill for 6 yards (tackle by Quentin Groves),2.150,1.680
1,5:20,4,3,ARI 28,0,0,Nick Folk 46 yard field goal no good,1.680,-1.330
1,5:15,1,10,ARI 36,0,0,Ryan Lindley pass incomplete deep left intended for LaRod Stephens-Howling,1.330,0.790
1,5:12,2,10,ARI 36,0,0,Chris Wells left tackle for 3 yards (tackle by Sione Pouha and David Harris),0.790,0.500
1,4:31,3,7,ARI 39,0,0,Ryan Lindley pass complete short middle to Rob Housler for 4 yards (tackle by David Harris),0.500,-0.520
1,3:55,4,3,ARI 43,0,0,Dave Zastudil punts 38 yards,-0.520,-0.150
1,3:44,1,10,NYJ 19,0,0,Shonn Greene up the middle for no gain (tackle by Adrian Wilson),0.150,-0.390
1,3:05,2,10,NYJ 19,0,0,Mark Sanchez pass complete short middle to Dustin Keller for 12 yards (tackle by Daryl Washington),-0.390,1.000
1,2:27,1,10,NYJ 31,0,0,Mark Sanchez pass complete deep right to Jeremy Kerley for 19 yards (tackle by Patrick Peterson),1.000,2.260
1,1:57,1,10,,0,0,Shonn Greene right tackle for 5 yards (tackle by Nick Eason),2.260,2.390
1,1:19,2,5,ARI 45,0,0,Shonn Greene up the middle for 5 yards (tackle by Kerry Rhodes),2.390,2.920
1,0:38,1,10,ARI 40,0,0,Mark Sanchez pass incomplete deep right intended for Jeff Cumberland is intercepted by Kerry Rhodes at ARI-22 and returned for 30 yards (tackle by Mark Sanchez),2.920,-2.390
1,0:28,1,10,NYJ 48,0,0,Ryan Lindley pass incomplete short right intended for Michael Floyd,2.390,1.850
1,0:20,2,10,NYJ 48,0,0,William Powell left guard for 3 yards (tackle by Muhammad Wilkerson and Yeremiah Bell),1.850,1.550
Quarter,Time,Down,ToGo,Location,ARI,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,NYJ 45,0,0,Ryan Lindley pass incomplete short left intended for Michael Floyd (defended by Antonio Cromartie),1.550,0.270
2,15:00,4,7,NYJ 45,0,0,"Dave Zastudil punts 25 yards, fair catch by Jeremy Kerley",0.270,-0.280
2,14:48,1,10,NYJ 20,0,0,Joe McKnight right end for 7 yards (tackle by Adrian Wilson and Daryl Washington),0.280,0.680
2,14:12,2,3,NYJ 27,0,0,Joe McKnight left tackle for 1 yard (tackle by Ronald Talley),0.680,0.100
2,13:34,3,2,NYJ 28,0,0,Mark Sanchez sacked by Darnell Dockett and Sam Acho for -2 yards,0.100,-1.630
2,13:05,4,4,NYJ 26,0,0,"Robert Malone punts 42 yards, out of bounds",-1.630,-1.070
2,12:58,1,10,ARI 32,0,0,Chris Wells left end for -6 yards (tackle by Bryan Thomas),1.070,-0.280
2,12:30,2,16,ARI 26,0,0,Ryan Lindley pass complete short middle to Early Doucet for 8 yards (tackle by Kyle Wilson),-0.280,0.100
2,11:53,3,8,ARI 34,0,0,Ryan Lindley pass incomplete short left intended for Larry Fitzgerald,0.100,-1.110
2,11:50,4,8,ARI 34,0,0,"Dave Zastudil punts 56 yards, fair catch by Jeremy Kerley",-1.110,0.380
2,11:42,1,10,NYJ 10,0,0,Shonn Greene left tackle for 4 yards (tackle by Sam Acho),-0.380,-0.460
2,11:04,2,6,NYJ 14,0,0,Mark Sanchez pass incomplete deep middle intended for Chaz Schilens is intercepted by Patrick Peterson at ARI-31,-0.460,-1.000
2,10:53,1,10,ARI 31,0,0,Ryan Lindley pass incomplete short right intended for Michael Floyd,1.000,0.460
2,10:47,2,10,ARI 31,0,0,Chris Wells left end for 1 yard (tackle by David Harris),0.460,-0.100
2,10:01,3,9,ARI 32,0,0,Ryan Lindley pass incomplete deep middle intended for Michael Floyd is intercepted by LaRon Landry at NYJ-39 and returned for 24 yards (tackle by Rob Housler),-0.100,-3.120
2,9:47,1,10,ARI 37,0,0,Shonn Greene left tackle for no gain (tackle by Paris Lenon and Nick Eason),3.120,2.570
2,9:10,2,10,ARI 37,0,0,Mark Sanchez pass incomplete short right intended for Jeremy Kerley,2.570,1.880
2,9:07,3,10,ARI 37,0,0,Mark Sanchez pass complete short left to Chaz Schilens for 3 yards (tackle by Kerry Rhodes),1.880,1.060
2,8:25,4,7,ARI 34,0,0,Nick Folk 52 yard field goal no good,1.060,-1.730
2,8:20,1,10,ARI 42,0,0,Ryan Lindley pass incomplete short middle intended for Larry Fitzgerald,1.730,1.190
2,8:17,2,10,ARI 42,0,0,Ryan Lindley pass complete short left to Early Doucet for 5 yards (tackle by Kyle Wilson),1.190,1.160
2,7:35,3,5,ARI 47,0,0,Ryan Lindley pass incomplete short right intended for Larry Fitzgerald (defended by Quinton Coples),1.160,-0.260
2,7:31,4,5,ARI 47,0,0,"Dave Zastudil punts 53 yards, touchback",-0.260,-0.280
2,7:23,1,10,NYJ 20,0,0,Mark Sanchez pass incomplete short right intended for Stephen Hill,0.280,-0.270
2,7:21,2,10,NYJ 20,0,0,Mark Sanchez pass complete short right to Stephen Hill for 15 yards (tackle by Patrick Peterson),-0.270,1.270
,,,,,,,"ARI challenged the incomplete pass ruling, and the play was upheld.",,
2,6:54,1,10,NYJ 35,0,0,Shonn Greene up the middle for 5 yards (tackle by Ronald Talley),1.270,1.400
2,6:08,2,5,NYJ 40,0,0,Mark Sanchez pass complete short left to Stephen Hill for 6 yards (tackle by William Gay),1.400,1.990
2,5:33,1,10,NYJ 46,0,0,Shonn Greene left end for 5 yards (tackle by Darnell Dockett),1.990,2.130
2,4:59,2,5,ARI 49,0,0,Shonn Greene left end for no gain (tackle by Daryl Washington),2.130,1.420
2,4:21,3,5,ARI 49,0,0,Mark Sanchez pass complete short right to Dustin Keller for 5 yards (tackle by Daryl Washington),1.420,2.650
,,,,,,,"NYJ challenged the first down ruling, and the original play was overturned.",,
2,4:02,1,10,ARI 44,0,0,Shonn Greene right guard for 5 yards (tackle by Paris Lenon),2.650,2.780
2,3:22,2,5,ARI 39,0,0,Mark Sanchez sacked by Adrian Wilson and David Carter for -3 yards,2.780,1.690
2,2:44,3,8,ARI 42,0,0,Mark Sanchez pass incomplete short left intended for Jeff Cumberland (defended by Kerry Rhodes),1.690,0.460
2,2:38,4,8,ARI 42,0,0,"Robert Malone punts 33 yards, fair catch by Patrick Peterson",0.460,0.380
2,2:31,1,10,ARI 9,0,0,Chris Wells up the middle for 9 yards (tackle by LaRon Landry),-0.380,0.140
2,2:00,2,1,ARI 18,0,0,Chris Wells left tackle for 4 yards (tackle by Kyle Wilson),0.140,0.410
2,1:26,1,10,ARI 22,0,0,Ryan Lindley pass complete short left to Rob Housler for 3 yards (tackle by LaRon Landry),0.410,0.270
2,1:23,2,7,ARI 25,0,0,Ryan Lindley pass incomplete deep right intended for Michael Floyd,0.270,-0.430
2,1:17,3,7,ARI 25,0,0,Ryan Lindley pass incomplete short right intended for Michael Floyd,-0.430,-1.700
2,1:11,4,7,ARI 25,0,0,Rashad Johnson right end for 40 yards (tackle by Kyle Wilson),-1.700,3.250
2,0:36,1,10,NYJ 35,0,0,Ryan Lindley pass incomplete short left intended for Early Doucet,3.250,2.700
2,0:33,2,10,NYJ 35,0,0,Ryan Lindley pass incomplete short right intended for Larry Fitzgerald,2.700,2.010
2,0:29,3,10,NYJ 35,0,0,Ryan Lindley pass complete short right to Rob Housler for 5 yards (tackle by Ellis Lankster),2.010,0.000
2,0:03,,,,0,0,Timeout #2 by Arizona Cardinals,0.000,1.450
2,0:03,4,5,NYJ 30,3,0,Jay Feely 48 yard field goal good,1.450,3.000
Quarter,Time,Down,ToGo,Location,ARI,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,3,0,"Jay Feely kicks off 69 yards, returned by Joe McKnight for 27 yards (tackle by James Sanders)",0.000,0.480
3,14:56,1,10,NYJ 23,3,0,Mark Sanchez pass incomplete,0.480,-0.070
3,14:48,2,10,NYJ 23,3,0,Shonn Greene left end for 5 yards (tackle by Daryl Washington),-0.070,-0.100
3,14:04,3,5,NYJ 28,3,0,Mark Sanchez pass incomplete short right intended for Jeremy Kerley (defended by William Gay),-0.100,-1.500
3,13:57,4,5,NYJ 28,3,0,"Robert Malone punts 49 yards, out of bounds",-1.500,-0.480
3,13:53,1,10,ARI 23,3,0,Chris Wells left end for 2 yards (tackle by Bart Scott),0.480,0.200
3,13:19,2,8,ARI 25,3,0,Chris Wells right tackle for 1 yard (tackle by Bart Scott and LaRon Landry),0.200,-0.360
3,12:38,3,7,ARI 26,3,0,Ryan Lindley pass incomplete deep right intended for Michael Floyd,-0.360,-1.630
3,12:32,4,7,ARI 26,3,0,Dave Zastudil punts 57 yards,-1.630,-1.000
3,12:20,1,10,NYJ 31,3,0,Shonn Greene up the middle for 5 yards (tackle by Dan Williams and Paris Lenon),1.000,1.140
3,11:47,2,5,NYJ 36,3,0,Shonn Greene right tackle for 8 yards (tackle by Ronald Talley),1.140,1.860
3,11:08,1,10,NYJ 44,3,0,Shonn Greene up the middle for 4 yards (tackle by Quentin Groves),1.860,1.860
3,10:32,2,6,NYJ 48,3,0,Mark Sanchez pass incomplete short middle intended for Bilal Powell,1.860,1.160
3,10:27,3,6,NYJ 48,3,0,Mark Sanchez sacked by William Gay for -9 yards,1.160,-0.780
3,10:01,4,15,NYJ 39,3,0,"Robert Malone punts 60 yards, returned by Patrick Peterson for 9 yards (tackle by D'Brickashaw Ferguson)",-0.780,0.380
3,9:48,1,10,ARI 10,3,0,William Powell left end for 5 yards (tackle by Ellis Lankster),-0.380,-0.350
,,,,,,,"NYJ challenged the fumble ruling, and the play was upheld.",,
3,9:13,2,5,ARI 15,3,0,William Powell right guard for 2 yards (tackle by David Harris),-0.350,-0.600
3,8:34,3,3,ARI 17,3,0,Ryan Lindley pass incomplete short middle intended for Rob Housler,-0.600,-2.320
3,8:31,4,3,ARI 17,3,0,"Dave Zastudil punts 53 yards, returned by Jeremy Kerley for 3 yards (tackle by Mike Leach). Penalty on Kyle Wilson: Illegal Block Above the Waist, 10 yards",-2.320,-0.480
3,8:20,1,10,NYJ 23,3,0,Shonn Greene up the middle for 3 yards (tackle by Daryl Washington),0.480,0.340
3,7:42,2,7,NYJ 26,3,0,Mark Sanchez pass complete short right to Chaz Schilens for 2 yards (tackle by Gregory Toler),0.340,-0.100
3,6:59,3,5,NYJ 28,3,0,Mark Sanchez pass incomplete short left intended for Stephen Hill (defended by Ronald Talley),-0.100,-1.500
3,6:59,4,5,NYJ 28,3,0,"Robert Malone punts 39 yards, out of bounds",-1.500,-1.140
3,6:49,1,10,ARI 33,3,0,Ryan Lindley sacked by David Harris and Bart Scott for -9 yards,1.140,-0.620
3,6:16,2,19,ARI 24,3,0,Ryan Lindley pass complete short right to LaRod Stephens-Howling for -1 yards (tackle by Bart Scott),-0.620,0.000
3,5:37,,,,3,0,Timeout #1 by Arizona Cardinals,0.000,-1.420
3,5:37,3,20,ARI 23,3,0,Ryan Lindley pass complete short left to Michael Floyd for 6 yards (tackle by Kyle Wilson and Ellis Lankster),-1.420,-1.440
3,4:55,4,14,ARI 29,3,0,"Dave Zastudil punts 40 yards, fair catch by Jeremy Kerley",-1.440,-1.000
3,4:48,1,10,NYJ 31,3,0,"Bilal Powell right tackle for no gain. Penalty on Adrian Wilson: Defensive Offside, 5 yards (no play)",1.000,1.730
3,4:31,1,5,NYJ 36,3,0,Bilal Powell right tackle for 17 yards (tackle by Daryl Washington),1.730,2.460
3,3:53,1,10,ARI 47,3,0,Bilal Powell right tackle for 4 yards (tackle by Sam Acho),2.460,2.450
3,3:15,2,6,ARI 43,3,0,Greg McElroy pass incomplete deep left intended for Stephen Hill,2.450,1.750
3,3:09,3,6,ARI 43,3,0,Greg McElroy pass complete short left to Stephen Hill for 8 yards (tackle by Gregory Toler),1.750,3.250
3,2:28,1,10,ARI 35,3,0,Bilal Powell up the middle for 3 yards (tackle by Dan Williams),3.250,3.110
3,1:53,2,7,ARI 32,3,0,"Greg McElroy right end for 3 yards (tackle by Dan Williams). Penalty on Dan Williams: Unnecessary Roughness, 15 yards",3.110,4.650
3,1:31,1,10,ARI 14,3,0,Bilal Powell right tackle for 10 yards (tackle by Kerry Rhodes),4.650,6.280
3,0:53,1,4,ARI 4,3,0,Bilal Powell left guard for 2 yards (tackle by Dan Williams),6.280,5.720
3,0:13,2,2,ARI 2,3,0,Shonn Greene up the middle for 1 yard (tackle by Quentin Groves and Darnell Dockett),5.720,5.170
Quarter,Time,Down,ToGo,Location,ARI,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,ARI 1,3,6,"Greg McElroy pass complete short right to Jeff Cumberland for 1 yard, touchdown",5.170,7.000
4,15:00,,,ARI 2,3,7,Nick Folk kicks extra point good,0.000,0.000
4,14:55,,,NYJ 35,3,7,"Nick Folk kicks off 68 yards, returned by William Powell for 25 yards (tackle by Nick Bellore)",0.000,0.410
4,14:49,1,10,ARI 22,3,7,Ryan Lindley pass incomplete short middle intended for Early Doucet (defended by Bryan Thomas),0.410,-0.130
4,14:46,2,10,ARI 22,3,7,Ryan Lindley pass incomplete deep right intended for Early Doucet,-0.130,-0.820
4,14:41,3,10,ARI 22,3,7,Ryan Lindley pass complete short middle to Rob Housler for 3 yards (tackle by Calvin Pace),-0.820,-1.700
4,14:07,4,7,ARI 25,3,7,"Dave Zastudil punts 44 yards, fair catch by Jeremy Kerley",-1.700,-1.000
4,14:01,1,10,NYJ 31,3,7,Shonn Greene left guard for 3 yards (tackle by Daryl Washington),1.000,0.870
4,13:25,2,7,NYJ 34,3,7,Shonn Greene right tackle for 1 yard (tackle by Quentin Groves),0.870,0.300
4,12:32,3,6,NYJ 35,3,7,"Greg McElroy pass complete short right to Kahlil Bell for 2 yards (tackle by Kerry Rhodes). Kahlil Bell fumbles (forced by Kerry Rhodes), recovered by Daryl Washington at NYJ-38 and returned for 3 yards (tackle by Vlad Ducasse)",0.300,-3.250
4,12:32,1,10,NYJ 35,3,7,Chris Wells right guard for no gain (tackle by Bryan Thomas),3.250,2.700
4,12:32,2,10,NYJ 35,3,7,Ryan Lindley pass complete deep right to Michael Floyd for 16 yards,2.700,4.310
4,11:34,1,10,NYJ 19,3,7,Chris Wells right tackle for 2 yards,4.310,4.030
4,10:51,2,8,NYJ 17,3,7,Ryan Lindley pass incomplete deep right intended for Larry Fitzgerald,4.030,3.260
4,10:47,3,8,NYJ 17,3,7,Ryan Lindley pass incomplete short right intended for Larry Fitzgerald,3.260,2.310
4,10:39,4,8,NYJ 17,6,7,Jay Feely 35 yard field goal good,2.310,3.000
4,10:39,,,ARI 35,6,7,"Jay Feely kicks off 61 yards, returned by Antonio Cromartie for 22 yards (tackle by Rashad Johnson)",0.000,0.670
4,10:31,1,10,NYJ 26,6,7,Bilal Powell right tackle for -1 yards (tackle by Dan Williams and Ronald Talley),0.670,-0.010
4,9:56,2,11,NYJ 25,6,7,Greg McElroy pass complete short right to Jeremy Kerley for 5 yards (tackle by Patrick Peterson),-0.010,-0.030
4,9:25,3,6,NYJ 30,6,7,Greg McElroy pass incomplete,-0.030,-1.370
4,9:20,4,6,NYJ 30,6,7,"Robert Malone punts 40 yards, out of bounds",-1.370,-0.940
4,9:12,1,10,ARI 30,6,7,Chris Wells left tackle for 2 yards (tackle by Sione Pouha and Mike DeVito),0.940,0.660
4,8:39,2,8,ARI 32,6,7,Ryan Lindley pass incomplete short right intended for Michael Floyd,0.660,-0.030
4,8:31,3,8,ARI 32,6,7,Ryan Lindley sacked by Muhammad Wilkerson and Bart Scott for -7 yards,-0.030,-1.700
4,8:02,4,15,ARI 25,6,7,"Dave Zastudil punts 49 yards, fair catch by Jeremy Kerley",-1.700,-0.670
4,7:55,1,10,NYJ 26,6,7,Shonn Greene right tackle for 5 yards (tackle by William Gay and Paris Lenon),0.670,0.810
4,7:17,2,5,NYJ 31,6,7,Shonn Greene left end for 19 yards (tackle by Kerry Rhodes),0.810,2.260
4,6:32,1,10,,6,7,Bilal Powell left guard for 3 yards (tackle by Dan Williams and Darnell Dockett),2.260,2.120
4,5:49,2,7,ARI 47,6,7,Greg McElroy right end for 4 yards (tackle by Paris Lenon),2.120,0.000
4,5:02,,,,6,7,Timeout #2 by New York Jets,0.000,1.950
4,5:02,3,3,ARI 43,6,7,"Greg McElroy pass incomplete deep right intended for Stephen Hill is intercepted by James Sanders at ARI-14. Penalty on Gregory Toler: Illegal Contact, 5 yards (no play)",1.950,3.050
4,4:56,1,10,ARI 38,6,7,Shonn Greene up the middle for 5 yards (tackle by Adrian Wilson),3.050,3.180
4,4:14,2,5,ARI 33,6,7,"Penalty on Chaz Schilens: False Start, 5 yards (no play)",3.180,2.510
4,4:14,2,10,ARI 38,6,7,Shonn Greene right tackle for 1 yard (tackle by Quentin Groves),2.510,1.950
4,3:31,3,9,ARI 37,6,7,Greg McElroy pass complete short right to Jeremy Kerley for 13 yards (tackle by Patrick Peterson),1.950,3.970
4,2:49,1,10,ARI 24,6,7,Bilal Powell right tackle for 3 yards (tackle by Kerry Rhodes),3.970,0.000
4,2:44,,,,6,7,Timeout #2 by Arizona Cardinals,0.000,3.840
4,2:44,2,7,ARI 21,6,7,Shonn Greene up the middle for 3 yards (tackle by Dan Williams),3.840,0.000
4,2:39,,,,6,7,Timeout #3 by Arizona Cardinals,0.000,3.570
4,2:39,3,4,ARI 18,6,7,"Shonn Greene left tackle for no gain. Penalty on Adrian Wilson: Defensive Offside, 5 yards (no play)",3.570,4.710
4,2:35,1,10,ARI 13,6,7,Shonn Greene right guard for 7 yards (tackle by William Gay),4.710,5.340
4,2:00,2,3,ARI 6,6,7,Shonn Greene up the middle for 5 yards (tackle by Daryl Washington),5.340,6.970
4,1:16,1,1,ARI 1,6,7,Greg McElroy up the middle for -1 yards,6.970,5.720
4,0:38,2,2,ARI 2,6,7,Greg McElroy up the middle for -1 yards,5.720,4.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
