Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
2,3:40,,,,10,10,Timeout #1 by Detroit Lions,0.000,3.580
2,3:40,1,10,DET 30,10,10,Chad Henne pass incomplete deep right intended for Brandon Marshall,3.580,3.030
2,3:34,2,10,DET 30,10,10,Chad Henne pass incomplete short left intended for Roberto Wallace,3.030,2.340
2,3:29,3,10,DET 30,10,10,"Chad Henne pass complete short left to Davone Bess for 6 yards (tackle by DeAndre Levy). Penalty on Pat McQuistan: Offensive Holding, 9 yards, Penalty on Brandon Marshall: Offensive Holding (Declined) (no play)",2.340,1.160
2,3:07,3,19,DET 39,10,10,Chad Henne pass complete short left to Lousaka Polite for 7 yards (tackle by Nathan Vasher),1.160,1.240
2,2:58,,,,10,10,Timeout #2 by Detroit Lions,0.000,0.000
2,2:58,,,,10,10,Timeout #1 by Miami Dolphins,0.000,1.240
2,2:58,4,12,DET 32,10,10,Brandon Fields punts 30 yards,1.240,0.380
2,2:48,1,10,DET 2,10,10,Maurice Morris right tackle for 2 yards (tackle by Tim Dobbins and Channing Crowder),-0.380,-0.630
2,2:13,2,8,DET 4,10,10,Maurice Morris right tackle for no gain (tackle by Paul Soliai),-0.630,-1.190
2,2:00,3,8,DET 4,10,10,Shaun Hill pass incomplete short middle intended for Tony Scheffler (defended by Tim Dobbins),-1.190,-2.490
2,1:55,4,8,DET 4,10,10,"Nick Harris punts 61 yards, returned by Davone Bess for 25 yards (tackle by Jerome Felton)",-2.490,-2.920
2,1:42,1,10,DET 40,10,10,Chad Henne pass complete short left to Brandon Marshall for 12 yards (tackle by Nathan Vasher),2.920,3.710
2,1:17,1,10,DET 28,10,10,Chad Henne pass complete short right to Marlon Moore for 5 yards (tackle by Chris Houston),3.710,3.840
2,1:03,,,,10,10,Timeout #3 by Detroit Lions,0.000,3.840
2,1:03,2,5,DET 23,10,10,Chad Henne left tackle for 10 yards,3.840,4.710
2,0:37,1,10,DET 13,10,16,"Chad Henne pass complete short right to Davone Bess for 13 yards, touchdown",4.710,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,,,,DET 2,10,17,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 30,10,17,"Dan Carpenter kicks off 48 yards, muffed catch by Stefan Logan, recovered by Vinny Ciurciu and returned for no gain",0.000,0.610
2,0:26,1,10,DET 25,10,17,Jahvid Best right tackle for 7 yards (tackle by Channing Crowder),0.610,1.010
Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,10,17,"Dave Rayner kicks off 59 yards, returned by Nolan Carroll for 18 yards (tackle by Ashlee Palmer)",0.000,0.870
3,14:53,1,10,MIA 29,10,17,Ricky Williams right guard for 7 yards (tackle by Lawrence Jackson),0.870,1.270
3,14:25,2,3,MIA 36,10,17,Ricky Williams middle for 4 yards (tackle by Corey Williams),1.270,1.600
3,13:47,1,10,MIA 40,10,17,Ricky Williams middle for 4 yards (tackle by Bobby Carpenter),1.600,1.590
3,13:14,2,6,MIA 44,10,17,Chad Henne pass complete short right to Davone Bess for 1 yard (tackle by Bobby Carpenter),1.590,1.030
3,12:31,3,5,MIA 45,10,17,Chad Henne pass incomplete short left intended for Brandon Marshall,1.030,-0.390
3,12:25,4,5,MIA 45,10,17,"Brandon Fields punts 41 yards, fair catch by Stefan Logan",-0.390,0.280
3,12:17,1,10,DET 14,10,17,Maurice Morris middle for 6 yards (tackle by Koa Misi),-0.280,0.150
3,11:46,2,4,DET 20,10,17,Shaun Hill pass complete short right to Maurice Morris for 7 yards (tackle by Cameron Wake),0.150,0.740
3,11:09,1,10,DET 27,10,17,Maurice Morris left end for 4 yards (tackle by Vontae Davis),0.740,0.740
3,10:30,2,6,DET 31,10,17,Shaun Hill pass incomplete short left intended for Nate Burleson,0.740,0.040
3,10:21,3,6,DET 31,10,17,Shaun Hill pass complete short left to Calvin Johnson for 16 yards (tackle by Tyrone Culver),0.040,2.060
,,,,,,,"MIA challenged the pass completion ruling, and the play was upheld.",,
3,9:57,1,10,DET 47,10,17,Stefan Logan left end for -1 yards (tackle by Tim Dobbins),2.060,1.380
3,9:19,2,11,DET 46,10,17,Shaun Hill pass complete short right to Calvin Johnson for 12 yards (tackle by Tyrone Culver),1.380,2.790
3,8:52,1,10,MIA 42,10,17,Jahvid Best left guard for 3 yards (tackle by Tony McDaniel),2.790,2.650
3,8:15,2,7,MIA 39,10,17,Jahvid Best right end for 4 yards (tackle by Cameron Wake),2.650,2.480
3,7:34,3,3,MIA 35,10,17,Shaun Hill pass complete short middle to Calvin Johnson for 18 yards (tackle by Yeremiah Bell),2.480,4.440
3,7:02,1,10,MIA 17,10,17,Maurice Morris right guard for 4 yards (tackle by Koa Misi),4.440,4.500
3,6:27,2,6,MIA 13,10,17,Shaun Hill pass incomplete short right intended for Brandon Pettigrew,4.500,3.680
3,6:23,3,6,MIA 13,10,17,Shaun Hill pass complete short left to Bryant Johnson for 8 yards (tackle by Sean Smith),3.680,6.060
3,5:56,1,5,MIA 5,16,17,"Maurice Morris left end for 5 yards, touchdown",6.060,7.000
3,,,,MIA 2,17,17,"Dave Rayner kicks extra point good. Penalty on Benny Sapp: Defensive Offside, 5 yards",0.000,0.000
3,,,,DET 35,17,17,"Dave Rayner kicks off 49 yards, returned by Patrick Cobbs for 15 yards (tackle by Randy Phillips). Patrick Cobbs fumbles (forced by Randy Phillips), recovered by Jonathon Amaya at MIA-31",0.000,1.000
3,5:44,1,10,MIA 31,17,17,Chad Henne sacked by Ndamukong Suh for -3 yards,1.000,0.060
3,5:04,2,13,MIA 28,17,17,Chad Henne pass complete short right to Davone Bess for 7 yards,0.060,0.300
3,4:33,3,6,MIA 35,17,17,Chad Henne pass complete short right to Ronnie Brown for 9 yards (tackle by Tye Hill and Landon Johnson),0.300,1.860
3,4:00,1,10,MIA 44,17,17,"Penalty on Pat McQuistan: False Start, 5 yards (no play)",1.860,1.530
3,3:33,1,15,MIA 39,17,17,Chad Henne pass complete short right to Brandon Marshall for 9 yards (tackle by DeAndre Levy),1.530,1.860
3,2:58,2,6,MIA 48,17,17,"Penalty on Corey Williams: Encroachment, 5 yards (no play)",1.860,2.530
3,2:42,2,1,DET 47,17,17,Ronnie Brown left guard for no gain (tackle by DeAndre Levy),2.530,1.820
3,2:05,3,1,DET 47,17,17,Lousaka Polite middle for 2 yards (tackle by Andre Fluellen),1.820,2.590
3,1:32,1,10,DET 45,17,17,Marlon Moore left end for 16 yards (tackle by Turk McBride),2.590,3.640
3,1:01,1,10,DET 29,17,17,Chad Henne pass complete deep left to Mickey Shuler for 28 yards (tackle by C.C. Brown and Amari Spievey),3.640,6.970
3,0:19,1,1,DET 1,17,23,"Ronnie Brown left guard for 1 yard, touchdown",6.970,7.000
3,,,,DET 2,17,24,Dan Carpenter kicks extra point good,0.000,0.000
3,,,,MIA 30,17,24,"Dan Carpenter kicks off 75 yards, touchback",0.000,0.280
3,0:05,1,10,DET 20,17,24,Maurice Morris middle for no gain (tackle by Paul Soliai),0.280,-0.270
Quarter,Time,Down,ToGo,Location,DET,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,DET 20,17,24,Shaun Hill pass incomplete deep left intended for Calvin Johnson,-0.270,-0.960
4,14:55,3,10,DET 20,17,24,Shaun Hill pass incomplete short right intended for Brandon Pettigrew,-0.960,-2.030
4,14:48,4,10,DET 20,17,24,"Nick Harris punts 46 yards, muffed catch by Davone Bess, recovered by Davone Bess and returned for 2 yards (tackle by Brian Clark)",-2.030,-1.470
4,14:37,1,10,MIA 38,17,24,Ricky Williams right guard for 5 yards (tackle by Turk McBride),1.470,1.600
4,13:55,2,5,MIA 43,17,24,Ricky Williams right end for 3 yards (tackle by Ndamukong Suh),1.600,1.290
4,13:19,3,2,MIA 46,17,24,Chad Henne pass complete short left to Brandon Marshall for 10 yards (tackle by Nathan Vasher),1.290,2.650
4,12:48,1,10,DET 44,17,24,Ricky Williams left tackle for 1 yard (tackle by Corey Williams),2.650,2.250
4,12:12,2,9,DET 43,17,24,"Ricky Williams right tackle for 28 yards (tackle by Lawrence Jackson). Penalty on Lawrence Jackson: Horse Collar Tackle, 8 yards",2.250,5.600
4,11:39,1,7,DET 7,17,24,"Ronnie Brown left tackle for 6 yards (tackle by Bobby Carpenter). Penalty on Jake Long: Offensive Holding, 10 yards (no play)",5.600,4.260
4,11:11,1,17,DET 17,17,24,Ronnie Brown middle for 3 yards (tackle by Corey Williams),4.260,3.580
4,10:37,2,14,DET 14,17,24,Chad Henne pass incomplete short left intended for Lex Hilliard,3.580,3.000
4,10:30,3,14,DET 14,17,24,Ronnie Brown middle for 4 yards (tackle by Lawrence Jackson),3.000,2.760
4,9:48,4,10,DET 10,17,27,Dan Carpenter 28 yard field goal good,2.760,3.000
4,,,,MIA 30,17,27,"Dan Carpenter kicks off 46 yards, returned by Stefan Logan for 5 yards (tackle by Roberto Wallace)",0.000,0.870
4,9:39,1,10,DET 29,17,27,Shaun Hill pass complete short right to Tony Scheffler for 15 yards,0.870,1.860
4,8:57,1,10,DET 44,17,27,"Jahvid Best right end for 3 yards (tackle by Sean Smith). Penalty on Brandon Pettigrew: Offensive Holding, 10 yards (no play)",1.860,1.200
4,8:31,1,20,DET 34,17,27,Shaun Hill pass complete deep middle to Brandon Pettigrew for 23 yards (tackle by Yeremiah Bell),1.200,2.720
4,8:00,1,10,MIA 43,17,27,Shaun Hill pass incomplete deep right intended for Nate Burleson,2.720,2.180
4,7:53,2,10,MIA 43,17,27,Shaun Hill pass incomplete short middle intended for Brandon Pettigrew (defended by Channing Crowder),2.180,1.490
4,7:48,3,10,MIA 43,17,27,Shaun Hill pass incomplete short right intended for Brandon Pettigrew,1.490,0.400
4,7:39,4,10,MIA 43,17,27,"Nick Harris punts 33 yards, fair catch by Davone Bess",0.400,0.380
4,7:30,1,10,MIA 10,17,27,Ronnie Brown left guard for 1 yard (tackle by Sammie Lee Hill),-0.380,-0.710
4,6:50,2,9,MIA 11,17,27,Chad Henne pass incomplete short left intended for Brandon Marshall (defended by Nathan Vasher),-0.710,-1.300
4,6:45,3,9,MIA 11,17,27,Chad Henne pass complete short right to Brandon Marshall for 11 yards (tackle by Andre Fluellen),-1.300,0.410
4,6:01,1,10,MIA 22,17,27,Ronnie Brown left end for -6 yards (tackle by Nathan Vasher),0.410,-1.080
4,5:11,2,16,MIA 16,17,27,Chad Henne pass incomplete short right intended for Mickey Shuler,-1.080,-1.870
4,5:08,3,16,MIA 16,17,27,Ronnie Brown right guard for 10 yards (tackle by DeAndre Levy),-1.870,-1.630
4,5:01,,,,17,27,Timeout #1 by Detroit Lions,0.000,-1.630
4,5:01,4,6,MIA 26,17,27,Brandon Fields punts 50 yards,-1.630,-2.060
4,4:49,1,10,DET 47,23,27,"Shaun Hill pass complete short right to Jahvid Best for 53 yards, touchdown",2.060,7.000
4,,,,MIA 2,24,27,Dave Rayner kicks extra point good,0.000,0.000
4,,,,DET 30,24,27,"Dave Rayner kicks off 70 yards, returned by Patrick Cobbs for 29 yards (tackle by Eric King)",0.000,0.870
4,4:31,1,10,MIA 29,24,27,Ricky Williams left tackle for -1 yards (tackle by Bobby Carpenter),0.870,0.190
4,3:55,2,11,MIA 28,24,27,Chad Henne pass incomplete short right intended for Davone Bess (defended by Corey Williams),0.190,-0.490
4,3:48,,,,24,27,Timeout #2 by Miami Dolphins,0.000,-0.490
4,3:48,3,11,MIA 28,24,27,Chad Henne pass incomplete short left intended for Mickey Shuler is intercepted by Nathan Vasher at MIA-36,-0.490,-3.180
4,3:41,1,10,MIA 36,24,27,Shaun Hill pass incomplete short right intended for Brandon Pettigrew,3.180,2.640
4,3:35,2,10,MIA 36,24,27,Shaun Hill pass complete short right to Nate Burleson for 7 yards (tackle by Tim Dobbins and Yeremiah Bell),2.640,2.870
4,2:54,3,3,MIA 29,24,27,Shaun Hill pass incomplete short right intended for Brian Clark,2.870,1.580
4,2:49,4,3,MIA 29,27,27,Dave Rayner 47 yard field goal good,1.580,3.000
4,,,,DET 30,27,27,"Dave Rayner kicks off 74 yards, touchback",0.000,0.280
4,2:44,1,10,MIA 20,27,27,Chad Henne pass incomplete short right intended for Davone Bess (defended by Cliff Avril),0.280,-0.270
4,2:38,2,10,MIA 20,27,27,Chad Henne left guard for 2 yards (tackle by Ndamukong Suh),-0.270,-0.690
4,2:25,,,,27,27,Timeout #2 by Detroit Lions,0.000,-0.690
4,2:25,3,8,MIA 22,33,27,"Chad Henne pass incomplete short middle intended for Davone Bess is intercepted by DeAndre Levy at MIA-30 and returned for 30 yards, touchdown",-0.690,-7.000
4,,,,MIA 2,34,27,Dave Rayner kicks extra point good,0.000,0.000
4,,,,DET 30,34,27,"Dave Rayner kicks off 62 yards, returned by Patrick Cobbs for 8 yards (tackle by Prince Miller). Penalty on Austin Spitler: Illegal Block Above the , 8 yards",0.000,-0.380
4,2:03,1,10,MIA 8,34,27,Chad Henne right end for 4 yards (tackle by Bobby Carpenter),-0.380,-0.490
4,1:55,2,6,MIA 12,34,27,"Chad Henne middle for -2 yards (tackle by Ndamukong Suh). Chad Henne fumbles (forced by Ndamukong Suh), recovered by Pat McQuistan at MIA-10. Penalty on Ndamukong Suh: Face Mask (15 Yards), 15 yards",-0.490,0.610
4,1:43,1,10,MIA 25,34,27,Chad Henne pass complete short right to Ronnie Brown for 7 yards (tackle by Bobby Carpenter),0.610,1.010
4,1:40,2,3,MIA 32,34,27,Chad Henne pass complete short left to Brandon Marshall for 7 yards,1.010,1.530
4,1:33,1,10,MIA 39,34,27,Chad Henne pass complete short left to Brandon Marshall for 8 yards (tackle by Nathan Vasher),1.530,2.070
4,1:26,2,2,MIA 47,34,27,Chad Henne pass complete short middle to Ronnie Brown for 7 yards (tackle by Turk McBride),2.070,2.520
4,1:03,1,10,DET 46,34,27,"Chad Henne pass complete short middle to Mickey Shuler for 16 yards (tackle by Bobby Carpenter). Penalty on John Jerry: Chop Block, 16 yards (no play)",2.520,1.470
4,0:55,1,26,MIA 38,34,27,Chad Henne pass complete short middle to Ricky Williams for 13 yards (tackle by Eric King and Bobby Carpenter),1.470,1.570
4,0:34,2,13,DET 49,34,27,"Penalty on Turk McBride: Delay of Game, 5 yards (no play)",1.570,2.250
4,0:34,2,8,DET 44,34,27,Chad Henne pass incomplete short right intended for Brandon Marshall (defended by Ndamukong Suh),2.250,1.550
4,0:27,3,8,DET 44,34,27,Chad Henne pass complete short middle to Mickey Shuler for 16 yards (tackle by Bobby Carpenter),1.550,3.710
4,0:19,,,,34,27,Timeout #3 by Miami Dolphins,0.000,3.710
4,0:19,1,10,DET 28,34,27,Chad Henne pass complete short left to Ronnie Brown for no gain,3.710,3.170
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
