Quarter,Time,Down,ToGo,Location,OAK,JAX,Detail,EPB,EPA
2,12:38,1,10,OAK 25,6,3,Johnny Holton left end for 29 yards (tackle by Jonathan Cyprien),0.610,2.520
2,12:00,1,10,JAX 46,6,3,DeAndre Washington middle for 5 yards (tackle by Jonathan Cyprien),2.520,2.650
2,11:21,2,5,JAX 41,6,3,Latavius Murray middle for 10 yards (tackle by Prince Amukamara),2.650,3.510
2,10:38,1,10,JAX 31,6,3,Derek Carr pass complete short right to DeAndre Washington for 6 yards (tackle by Abry Jones),3.510,3.780
2,9:57,2,4,JAX 25,6,3,DeAndre Washington middle for 1 yard (tackle by Jonathan Cyprien),3.780,3.200
2,9:15,3,3,JAX 24,6,3,Jamize Olawale middle for 6 yards (tackle by Jonathan Cyprien),3.200,4.370
2,8:31,1,10,JAX 18,6,3,Latavius Murray middle for 6 yards (tackle by Aaron Colvin),4.370,4.810
2,7:47,2,4,JAX 12,6,3,Latavius Murray middle for 1 yard (tackle by Paul Posluszny),4.810,4.260
2,6:58,3,3,JAX 11,6,3,Derek Carr pass complete short right to Michael Crabtree for 6 yards (tackle by Prince Amukamara),4.260,6.060
2,6:15,1,5,JAX 5,6,3,Jamize Olawale middle for 3 yards (tackle by Paul Posluszny),6.060,5.720
2,5:37,2,2,JAX 2,12,3,"Latavius Murray left guard for 2 yards, touchdown",5.720,7.000
2,5:37,,,JAX 2,13,3,Sebastian Janikowski kicks extra point good,0.000,0.000
2,5:37,,,OAK 35,13,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,5:32,1,10,JAX 25,13,3,Blake Bortles pass incomplete short left intended for Julius Thomas,0.610,0.060
2,5:25,2,10,JAX 25,13,3,T.J. Yeldon right end for 15 yards (tackle by David Amerson),0.060,1.600
2,4:55,1,10,JAX 40,13,3,Blake Bortles pass incomplete deep left intended for Marcedes Lewis (defended by Malcolm Smith),1.600,1.050
2,4:50,2,10,JAX 40,13,3,Blake Bortles pass complete short left to Julius Thomas for 7 yards (tackle by Shilique Calhoun),1.050,1.050
2,4:16,2,10,JAX 40,13,3,Timeout #2 by Oakland Raiders,1.050,1.290
2,4:16,3,3,JAX 47,13,3,Blake Bortles pass complete short middle to Marqise Lee for 38 yards (tackle by D.J. Hayden),1.290,4.580
2,3:41,1,10,OAK 15,13,3,T.J. Yeldon middle for 2 yards (tackle by Malcolm Smith),4.580,4.280
2,3:11,2,8,OAK 13,13,3,Blake Bortles pass complete short right to Julius Thomas for 4 yards,4.280,4.220
2,2:34,3,4,OAK 9,13,3,"Blake Bortles left end for 6 yards (tackle by Denico Autry). Penalty on Patrick Omameh: Offensive Holding, 10 yards (no play)",4.220,2.790
2,2:00,3,14,OAK 19,13,3,Blake Bortles pass incomplete deep left intended for Allen Robinson,2.790,2.180
2,1:52,4,14,OAK 19,13,6,Jason Myers 37 yard field goal good,2.180,3.000
2,1:52,,,JAX 35,13,6,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
2,1:49,1,10,OAK 25,13,6,Derek Carr pass complete short right to Michael Crabtree for 6 yards (tackle by Aaron Colvin),0.610,0.870
2,1:41,2,4,OAK 31,13,6,Derek Carr pass complete short middle to Latavius Murray for 6 yards (tackle by Paul Posluszny),0.870,1.400
2,1:12,1,10,OAK 37,13,6,Derek Carr pass incomplete short middle intended for Latavius Murray,1.400,0.860
2,1:08,2,10,OAK 37,13,6,Derek Carr pass complete short left to Clive Walford for 5 yards (tackle by Paul Posluszny),0.860,0.830
2,0:39,3,5,OAK 42,13,6,Derek Carr pass complete deep right to Michael Crabtree for 56 yards (tackle by Prince Amukamara),0.830,0.830
2,0:25,3,5,OAK 42,13,6,Timeout #3 by Oakland Raiders,0.830,6.740
2,0:25,1,2,JAX 2,13,6,Derek Carr pass incomplete short left intended for Seth Roberts,6.740,5.720
2,0:20,2,2,JAX 2,13,6,Derek Carr pass incomplete short left intended for Amari Cooper,5.720,4.950
2,0:14,3,2,JAX 2,19,6,"Derek Carr pass complete short right to Michael Crabtree for 2 yards, touchdown. Penalty on Michael Crabtree: Unsportsmanlike Conduct, 15 yards",4.950,7.000
2,0:14,,,JAX 2,20,6,Sebastian Janikowski kicks extra point good,0.000,0.000
2,0:14,,,OAK 20,20,6,"Sebastian Janikowski kicks off 71 yards, returned by Marqise Lee for 18 yards (tackle by Daren Bates)",0.000,-0.740
2,0:04,1,10,JAX 27,20,6,Blake Bortles kneels for -1 yards,0.740,0.060
Quarter,Time,Down,ToGo,Location,OAK,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,20,6,"Sebastian Janikowski kicks off 64 yards, returned by Marqise Lee for 34 yards (tackle by Johnny Holton)",0.000,1.270
3,14:52,1,10,JAX 35,20,6,Blake Bortles pass complete deep right to Allen Hurns for 22 yards,1.270,2.720
3,14:20,1,10,OAK 43,20,6,Blake Bortles pass complete short right to Marqise Lee for 8 yards (tackle by David Amerson),2.720,3.260
3,13:50,2,2,OAK 35,20,6,Blake Bortles pass complete short left to Allen Hurns for 3 yards (tackle by Sean Smith),3.260,3.450
3,13:25,1,10,OAK 32,20,6,Chris Ivory middle for 1 yard (tackle by Darius Latham),3.450,3.040
3,12:56,2,9,OAK 31,20,6,Blake Bortles middle for 5 yards (tackle by Malcolm Smith),3.040,3.010
3,12:20,3,4,OAK 26,20,6,Blake Bortles pass incomplete short left intended for Chris Ivory,3.010,1.810
3,12:15,4,4,OAK 26,20,9,Jason Myers 44 yard field goal good,1.810,3.000
3,12:15,,,JAX 35,20,9,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
3,12:11,1,10,OAK 25,20,9,Derek Carr pass complete short right to Amari Cooper for 6 yards (tackle by Jonathan Cyprien),0.610,0.870
3,11:44,2,4,OAK 31,20,9,Latavius Murray middle for 5 yards (tackle by Jonathan Cyprien),0.870,1.330
3,11:02,1,10,OAK 36,20,9,Derek Carr for 5 yards (tackle by Paul Posluszny),1.330,1.470
3,10:23,2,5,OAK 41,20,9,Latavius Murray left end for -2 yards (tackle by Abry Jones),1.470,0.500
3,9:44,3,7,OAK 39,20,9,Derek Carr pass incomplete short right intended for Seth Roberts,0.500,-0.780
3,9:38,4,7,OAK 39,20,9,"Marquette King punts 60 yards, returned by Rashad Greene for 6 yards (tackle by Johnny Holton)",-0.780,0.380
3,9:25,1,10,JAX 7,20,9,Blake Bortles pass incomplete short right intended for Allen Robinson (defended by David Amerson),-0.380,-0.780
3,9:19,2,10,JAX 7,20,9,Blake Bortles pass complete short left to Marqise Lee for 1 yard (tackle by Karl Joseph),-0.780,-1.300
3,8:35,3,9,JAX 8,20,9,Blake Bortles middle for 1 yard (tackle by D.J. Hayden). Penalty on Marcedes Lewis: Offensive Holding (Declined),-1.300,-2.490
3,8:19,4,8,JAX 9,20,9,"Brad Nortman punts 55 yards, returned by Jalen Richard for 5 yards (tackle by Arthur Brown)",-2.490,-1.660
3,8:07,1,10,OAK 41,20,9,Derek Carr pass incomplete short right intended for Seth Roberts (defended by Telvin Smith),1.660,1.120
3,8:01,2,10,OAK 41,20,9,Derek Carr for 1 yard,1.120,0.560
3,7:27,3,9,OAK 42,20,9,"Derek Carr pass complete short middle to Amari Cooper for 11 yards (tackle by Telvin Smith and Dante Fowler). Penalty on Kelechi Osemele: Offensive Holding, 10 yards (no play)",0.560,-0.760
3,6:58,3,19,OAK 32,20,9,Derek Carr pass incomplete short left intended for Seth Roberts,-0.760,-1.240
3,6:54,4,19,OAK 32,20,9,"Penalty on Shilique Calhoun: False Start, 5 yards (no play)",-1.240,-1.570
3,6:54,4,24,OAK 27,20,9,"Marquette King punts 60 yards, returned by Rashad Greene for 9 yards (tackle by Johnny Holton). Penalty on Jalen Ramsey: Offensive Holding, 7 yards",-1.570,0.380
3,6:37,1,10,JAX 6,20,9,T.J. Yeldon middle for 2 yards (tackle by Dan Williams),-0.380,-0.630
3,5:56,2,8,JAX 8,20,9,Blake Bortles pass complete short right to T.J. Yeldon for 4 yards,-0.630,-0.720
3,5:27,3,4,JAX 12,20,9,Blake Bortles sacked by Khalil Mack for -7 yards,-0.720,-2.490
3,4:55,4,11,JAX 5,20,9,"Brad Nortman punts 42 yards, returned by Jalen Richard for 10 yards (tackle by Jarrod Wilson)",-2.490,-3.120
3,4:45,1,10,JAX 37,20,9,"Penalty on Jared Odrick: Neutral Zone Infraction, 5 yards (no play)",3.120,3.850
3,4:45,1,5,JAX 32,20,9,DeAndre Washington middle for 6 yards (tackle by Tyson Alualu),3.850,3.840
3,4:02,1,10,JAX 26,20,9,Johnny Holton left end for -4 yards (tackle by Telvin Smith),3.840,2.760
3,3:14,2,14,JAX 30,20,9,Derek Carr pass incomplete short left intended for DeAndre Washington,2.760,2.080
3,3:10,3,14,JAX 30,20,9,Derek Carr pass complete short left to Andre Holmes for 5 yards (tackle by Prince Amukamara),2.080,1.800
3,2:31,4,9,JAX 25,23,9,Sebastian Janikowski 44 yard field goal good,1.800,3.000
3,2:31,,,OAK 35,23,9,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
3,2:28,1,10,JAX 25,23,9,Blake Bortles pass complete short middle to Chris Ivory for 3 yards (tackle by Darius Latham),0.610,0.470
3,1:48,2,7,JAX 28,23,9,"T.J. Yeldon middle for 2 yards (tackle by Khalil Mack). Penalty on Marqise Lee: Unsportsmanlike Conduct, 15 yards",0.470,-2.350
3,1:10,3,20,JAX 15,23,9,Blake Bortles pass complete short left to Rashad Greene for 5 yards (tackle by Malcolm Smith),-2.350,-2.030
3,0:33,4,15,JAX 20,23,9,"Brad Nortman punts 42 yards, returned by Jalen Richard for 42 yards (tackle by Jarrod Wilson). Penalty on Antonio Hamilton: Offensive Holding (Declined), Penalty on Shilique Calhoun: Offensive Holding, 10 yards",-2.030,-0.810
3,0:17,1,10,OAK 28,23,9,Latavius Murray middle for no gain (tackle by Myles Jack),0.810,0.260
Quarter,Time,Down,ToGo,Location,OAK,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,OAK 28,23,9,Derek Carr pass complete short left to Jalen Richard for no gain,0.260,-0.430
4,14:16,3,10,OAK 28,23,9,"Derek Carr pass complete short left to Seth Roberts for 10 yards (tackle by Yannick Ngakoue). Penalty on Malik Jackson: Roughing the Passer, 15 yards, Penalty on Malik Jackson: Unsportsmanlike Conduct, 5 yards",-0.430,2.790
4,13:50,1,10,JAX 42,23,9,Derek Carr pass complete short right to Amari Cooper for 1 yard (tackle by Dante Fowler),2.790,2.380
4,13:06,2,9,JAX 41,23,9,Jalen Richard right end for 1 yard (tackle by Tyson Alualu),2.380,1.820
4,12:19,3,8,JAX 40,23,9,Derek Carr pass complete short left to Michael Crabtree for 6 yards (tackle by Tashaun Gipson),1.820,1.100
4,11:37,4,2,JAX 34,26,9,"Sebastian Janikowski 52 yard field goal good. Penalty on Malik Jackson: Disqualification, 15 yards",1.100,3.000
4,11:37,,,JAX 34,26,9,"Sebastian Janikowski kicks off 47 yards, returned by Marqise Lee for 10 yards (tackle by Andre Holmes)",0.000,0.320
4,11:27,1,10,JAX 13,26,9,Blake Bortles pass complete short left to Marqise Lee for 12 yards (tackle by Sean Smith),-0.320,0.610
4,11:00,1,10,JAX 25,26,9,Blake Bortles pass complete short middle to Marcedes Lewis for 11 yards (tackle by Malcolm Smith),0.610,1.330
4,10:29,1,10,JAX 36,26,9,Blake Bortles pass incomplete deep middle intended for Marcedes Lewis (defended by Malcolm Smith),1.330,0.790
4,10:21,2,10,JAX 36,26,9,"Blake Bortles middle for 6 yards (tackle by Malcolm Smith). Penalty on A.J. Cann: Offensive Holding (Offsetting), Penalty on Malcolm Smith: Unnecessary Roughness (Offsetting) (no play)",0.790,0.790
4,10:09,2,10,JAX 36,26,9,Blake Bortles pass complete short left to Allen Robinson for 4 yards (tackle by D.J. Hayden),0.790,0.630
4,9:38,3,6,JAX 40,26,9,Blake Bortles pass incomplete short middle intended for Allen Hurns,0.630,-0.720
4,9:33,4,6,JAX 40,26,9,"Brad Nortman punts 44 yards, returned by Jalen Richard for 16 yards (tackle by Jarrod Wilson)",-0.720,-1.070
4,9:21,1,10,OAK 32,26,9,Latavius Murray middle for 7 yards (tackle by Jalen Ramsey),1.070,1.470
4,8:39,2,3,OAK 39,26,9,Latavius Murray middle for -4 yards (tackle by Paul Posluszny),1.470,0.230
4,8:01,3,7,OAK 35,26,9,Derek Carr pass complete short right to Latavius Murray for -2 yards (tackle by Telvin Smith),0.230,-1.180
4,7:26,4,9,OAK 33,26,9,"Marquette King punts 56 yards, returned by Rashad Greene for 6 yards (tackle by Johnny Holton)",-1.180,0.060
4,7:15,1,10,JAX 17,26,9,Blake Bortles pass complete short middle to Allen Hurns for 13 yards (tackle by D.J. Hayden),-0.060,0.940
4,6:47,1,10,JAX 30,26,9,Blake Bortles pass incomplete short middle intended for Allen Robinson,0.940,0.390
4,6:41,2,10,JAX 30,26,9,Blake Bortles pass complete short right to Allen Hurns for 7 yards (tackle by David Amerson),0.390,0.630
4,6:08,3,3,JAX 37,26,9,Blake Bortles pass complete short left to Marqise Lee for 9 yards (tackle by Malcolm Smith),0.630,1.990
4,5:44,1,10,JAX 46,26,9,"Blake Bortles pass incomplete. Penalty on Bruce Irvin: Defensive Offside (Offsetting), Penalty on Blake Bortles: Intentional Grounding (Offsetting) (no play)",1.990,1.990
4,5:42,1,10,JAX 46,26,9,Blake Bortles pass incomplete short left intended for Arrelious Benn (defended by Sean Smith),1.990,1.450
4,5:39,2,10,JAX 46,26,9,Blake Bortles pass incomplete short middle intended for T.J. Yeldon,1.450,0.760
4,5:35,3,10,JAX 46,26,9,Blake Bortles pass complete short middle to Marqise Lee for 21 yards,0.760,3.380
4,5:05,1,10,OAK 33,26,9,Blake Bortles pass incomplete short right intended for Allen Hurns,3.380,2.840
4,5:03,2,10,OAK 33,26,9,"Blake Bortles middle for 1 yard (tackle by Denico Autry). Penalty on Kelvin Beachum: Offensive Holding, 10 yards (no play)",2.840,1.490
4,5:03,2,20,OAK 43,26,9,"Penalty on Kelvin Beachum: False Start, 5 yards (no play)",1.490,0.810
4,4:57,2,25,OAK 48,26,9,Blake Bortles pass complete deep middle to Arrelious Benn for 39 yards (tackle by Karl Joseph),0.810,5.140
4,4:21,1,9,OAK 9,26,9,Blake Bortles pass incomplete short middle intended for Allen Robinson (defended by Denico Autry),5.140,4.380
4,4:17,2,9,OAK 9,26,15,"Blake Bortles pass complete short middle to Julius Thomas for 9 yards, touchdown. Penalty on Shilique Calhoun: Defensive Offside (Declined)",4.380,7.000
4,4:17,,,OAK 9,26,16,Jason Myers kicks extra point good,0.000,0.000
4,4:12,2,9,OAK 9,26,16,Timeout #1 by Oakland Raiders,4.380,0.000
4,4:12,,,JAX 35,26,16,Jason Myers kicks onside 13 yards,0.000,-2.390
4,4:12,1,10,JAX 48,26,16,Latavius Murray middle for 2 yards (tackle by Dan Skuta),2.390,2.390
4,3:54,1,10,JAX 48,26,16,Timeout #1 by Jacksonville Jaguars,2.390,2.120
4,3:54,2,8,JAX 46,26,16,Latavius Murray middle for 1 yard (tackle by Abry Jones),2.120,2.120
4,3:49,2,8,JAX 46,26,16,Timeout #2 by Jacksonville Jaguars,2.120,2.120
4,3:49,2,8,JAX 46,26,16,Timeout #2 by Oakland Raiders,2.120,1.550
4,3:49,3,7,JAX 45,26,16,"Penalty on Rodney Hudson: False Start, 5 yards (no play)",1.550,0.890
4,3:49,3,12,,26,16,"Derek Carr pass complete short left to Seth Roberts for 3 yards (tackle by Davon House). Penalty on Donald Penn: Unnecessary Roughness, 15 yards",0.890,-0.850
4,3:42,4,24,OAK 38,26,16,--,-0.850,3.250
4,3:35,1,10,JAX 35,26,16,Latavius Murray middle for 4 yards (tackle by Jonathan Cyprien),3.250,3.250
4,3:30,1,10,JAX 35,26,16,Timeout #3 by Jacksonville Jaguars,3.250,3.240
4,3:30,2,6,JAX 31,26,16,Latavius Murray middle for 4 yards (tackle by Tashaun Gipson),3.240,3.070
4,2:45,3,2,JAX 27,26,16,Derek Carr pass complete deep right to Amari Cooper for 18 yards (tackle by Davon House),3.070,5.140
4,2:39,1,9,JAX 9,32,16,"Latavius Murray middle for 9 yards, touchdown",5.140,7.000
4,2:39,,,JAX 9,33,16,"Sebastian Janikowski kicks extra point good. Penalty on Peyton Thompson: Defensive Offside, 5 yards",0.000,0.000
4,2:39,,,OAK 40,33,16,"Sebastian Janikowski kicks off 60 yards, touchback",0.000,-0.610
4,2:35,1,10,JAX 25,33,16,Blake Bortles pass complete short middle to Marqise Lee for 18 yards (tackle by Karl Joseph),0.610,1.800
4,2:08,1,10,JAX 43,33,16,"Blake Bortles pass complete deep right to Marqise Lee for 22 yards. Penalty on Kelvin Beachum: Offensive Holding, 10 yards (no play)",1.800,1.140
4,1:59,1,20,JAX 33,33,16,Blake Bortles pass complete short left to Chris Ivory for no gain,1.140,-0.100
4,1:29,2,20,JAX 33,33,16,"Blake Bortles pass incomplete deep middle intended for Julius Thomas. Penalty on Malcolm Smith: Defensive Pass Interference, 17 yards (no play)",-0.100,2.260
4,1:25,1,10,,33,16,Blake Bortles pass incomplete short middle intended for Chris Ivory,2.260,1.710
4,1:20,2,10,,33,16,Blake Bortles pass incomplete deep left intended for Allen Robinson is intercepted by Reggie Nelson at OAK-33 and returned for 40 yards,1.710,-3.780
4,1:06,1,10,JAX 27,33,16,Derek Carr kneels for -1 yards,3.780,3.100
4,0:32,2,11,JAX 28,33,16,Derek Carr kneels for -1 yards,3.100,2.280
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
