Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
1,0:55,2,8,CHI 32,7,3,Kyle Orton pass complete short middle to Devin Hester for 7 yards (tackle by Gary Brackett),0.660,0.890
1,0:18,3,1,CHI 39,7,3,Matt Forte up the middle for 7 yards (tackle by Bob Sanders),0.890,1.990
Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 46,7,3,Kyle Orton pass complete short right to Rashied Davis for 5 yards (tackle by Kelvin Hayden),1.990,2.130
2,14:35,2,5,IND 49,7,3,Kyle Orton pass incomplete deep left intended for Brandon Lloyd,2.130,1.420
2,14:29,3,5,IND 49,7,3,Matt Forte up the middle for no gain (tackle by Gary Brackett and Antoine Bethea),1.420,0.000
2,13:50,4,5,IND 49,7,3,"Brad Maynard punts 31 yards, fair catch by Keiwan Ratliff",0.000,-0.040
2,13:42,1,10,IND 18,7,3,Peyton Manning pass complete short middle to Reggie Wayne for 18 yards (tackle by Lance Briggs),0.040,1.330
2,13:04,1,10,IND 36,7,3,Dominic Rhodes up the middle for 4 yards (tackle by Lance Briggs),1.330,1.330
2,12:30,2,6,IND 40,7,3,Peyton Manning pass complete short right to Marvin Harrison for 11 yards (tackle by Lance Briggs),1.330,2.320
2,11:51,1,10,CHI 49,7,3,Peyton Manning pass complete short right to Marvin Harrison for 7 yards (tackle by Charles Tillman),2.320,2.730
2,11:09,2,3,CHI 42,7,3,Peyton Manning pass complete short left to Anthony Gonzalez for 20 yards,2.730,4.110
2,10:30,1,10,CHI 22,7,3,Peyton Manning pass incomplete deep right intended for Reggie Wayne,4.110,3.560
2,10:26,2,10,CHI 22,7,3,Peyton Manning pass incomplete short middle intended for Reggie Wayne (defended by Brandon McGowan),3.560,2.870
2,10:22,3,10,CHI 22,7,3,Peyton Manning pass complete short middle to Dominic Rhodes for 6 yards (tackle by Brian Urlacher),2.870,2.450
2,9:42,4,4,CHI 16,7,6,Adam Vinatieri 34 yard field goal good,2.450,3.000
2,,,,IND 30,7,6,"Adam Vinatieri kicks off 54 yards, returned by Danieal Manning for 18 yards (tackle by Philip Wheeler)",0.000,1.200
2,9:32,1,10,CHI 34,7,6,Matt Forte up the middle for 4 yards (tackle by Kelvin Hayden),1.200,1.200
2,9:01,2,6,CHI 38,7,6,Kyle Orton pass complete short middle to Matt Forte for 5 yards (tackle by Clint Session),1.200,1.160
2,8:18,,,,7,6,Timeout #2 by Chicago Bears,0.000,1.160
2,8:18,3,1,CHI 43,7,6,Kevin Jones right tackle for 2 yards (tackle by Gary Brackett),1.160,1.930
2,7:43,1,10,CHI 45,7,6,Kyle Orton pass incomplete deep right intended for Desmond Clark,1.930,1.380
2,7:38,2,10,CHI 45,7,6,Kevin Jones right tackle for 4 yards (tackle by Antoine Bethea and Edward Johnson),1.380,1.220
2,7:15,3,6,CHI 49,7,6,Kyle Orton pass complete short right to Desmond Clark for 20 yards (tackle by Gary Brackett),1.220,3.510
2,6:36,1,10,IND 31,7,6,Matt Forte right end for 3 yards (tackle by Freddie Keiaho and Robert Mathis),3.510,3.370
2,6:04,2,7,IND 28,7,6,"Penalty on Josh Beekman: False Start, 5 yards (no play)",3.370,2.700
2,5:43,2,12,IND 33,7,6,Kyle Orton pass incomplete short right intended for Desmond Clark (defended by Kelvin Hayden),2.700,2.020
2,5:36,3,12,IND 33,7,6,Kyle Orton right end for 10 yards (tackle by Antoine Bethea),2.020,2.050
2,4:48,4,2,IND 23,10,6,Robbie Gould 41 yard field goal good,2.050,3.000
2,,,,CHI 30,10,6,"Robbie Gould kicks off 67 yards, returned by Courtney Roby for 19 yards (tackle by Trumaine McBride). Penalty on Jordan Senn: Illegal Block Above the Waist, 10 yards",0.000,-0.350
2,4:38,1,10,IND 12,10,6,Peyton Manning sacked by Marcus Harrison for -10 yards,-0.350,-1.510
2,4:05,2,20,IND 2,12,6,"Joseph Addai for -2 yards, safety",-1.510,-2.000
,,,,,,,"IND challenged the safety ruling, and the play was upheld.",,
2,,,,IND 20,12,6,"Hunter Smith kicks off 59 yards, returned by Devin Hester for 17 yards (tackle by Keiwan Ratliff)",0.000,1.470
2,3:54,1,10,CHI 38,12,6,"Matt Forte left tackle for no gain (tackle by Edward Johnson). Penalty on Olin Kreutz: Offensive Holding, 10 yards (no play)",1.470,0.810
2,3:38,1,20,CHI 28,12,6,Matt Forte up the middle for 2 yards (tackle by Eric Foster and Gary Brackett),0.810,-0.160
2,3:00,2,18,CHI 30,12,6,Kyle Orton pass complete deep left to Brandon Lloyd for 18 yards (tackle by Tim Jennings),-0.160,2.130
2,2:23,1,10,CHI 48,12,6,Matt Forte right tackle for 4 yards (tackle by Freddie Keiaho and Darrell Reid),2.130,2.120
2,2:00,2,6,IND 48,12,6,Kyle Orton pass complete short left to Marty Booker for 7 yards (tackle by Marlin Jackson),2.120,2.850
2,1:27,1,10,IND 41,12,6,Matt Forte up the middle for 5 yards (tackle by Robert Mathis and Freddie Keiaho),2.850,2.980
2,1:06,2,5,IND 36,12,6,"Kyle Orton pass incomplete short left intended for Brandon Lloyd (defended by Tim Jennings). Penalty on Dwight Freeney: Defensive Offside, 5 yards (no play)",2.980,3.510
2,1:02,1,10,IND 31,12,6,Kyle Orton sacked by Dwight Freeney for -8 yards,3.510,1.890
2,0:33,2,18,IND 39,12,6,Matt Forte up the middle for 3 yards (tackle by Dwight Freeney),1.890,1.620
2,0:24,,,,12,6,Timeout #3 by Chicago Bears,0.000,1.620
2,0:24,3,15,IND 36,12,6,Kyle Orton pass complete deep right to Greg Olsen for 29 yards (tackle by Freddie Keiaho),1.620,5.600
2,0:04,1,7,IND 7,12,6,Kyle Orton spiked the ball,5.600,4.760
2,0:04,2,7,IND 7,15,6,Robbie Gould 25 yard field goal good,4.760,3.000
Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,15,6,"Adam Vinatieri kicks off 77 yards, returned by Devin Hester for 10 yards (tackle by Melvin Bullitt)",0.000,-0.380
3,14:50,1,10,CHI 3,15,6,Matt Forte left tackle for 2 yards (tackle by Edward Johnson and Marlin Jackson),-0.380,-0.630
3,14:19,2,8,CHI 5,15,6,Kyle Orton pass incomplete short left intended for Jason McKie,-0.630,-1.190
3,14:13,3,8,CHI 5,15,6,Matt Forte up the middle for 5 yards (tackle by Bob Sanders and Robert Mathis),-1.190,-2.490
3,13:35,4,3,CHI 10,15,6,"Penalty on Danieal Manning: False Start, 5 yards (no play)",-2.490,-2.490
3,13:16,4,8,CHI 5,15,6,"Brad Maynard punts 55 yards, returned by Keiwan Ratliff for 8 yards (tackle by Nick Roach)",-2.490,-2.130
3,13:05,1,10,IND 48,15,6,Peyton Manning pass incomplete deep right intended for Marvin Harrison,2.130,1.580
3,12:59,2,10,IND 48,15,6,Peyton Manning pass complete short left to Reggie Wayne for 14 yards (tackle by Brian Urlacher),1.580,3.050
3,12:10,1,10,CHI 38,15,6,"Peyton Manning pass incomplete deep right intended for Marvin Harrison. Penalty on Charles Tillman: Illegal Contact, 5 yards (no play)",3.050,3.380
3,12:05,1,10,CHI 33,15,6,Peyton Manning pass complete short middle to Reggie Wayne for 14 yards (tackle by Brian Urlacher),3.380,4.310
3,11:21,1,10,CHI 19,15,6,Peyton Manning pass complete short right to Marvin Harrison for 4 yards (tackle by Charles Tillman),4.310,4.350
3,10:37,2,6,CHI 15,15,6,Joseph Addai right end for 7 yards (tackle by Charles Tillman),4.350,5.370
3,10:01,1,8,CHI 8,15,6,Peyton Manning pass complete short left to Reggie Wayne for 2 yards (tackle by Brandon McGowan),5.370,4.950
3,9:22,2,6,CHI 6,15,12,"Peyton Manning pass complete short middle to Reggie Wayne for 6 yards, touchdown",4.950,7.000
3,,,,CHI 2,15,13,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,IND 30,15,13,"Adam Vinatieri kicks off 72 yards, returned by Devin Hester for 28 yards (tackle by Courtney Roby)",0.000,0.670
3,9:11,1,10,CHI 26,15,13,Kevin Jones right tackle for 6 yards (tackle by Freddie Keiaho),0.670,0.940
3,8:36,2,4,CHI 32,15,13,Kevin Jones right tackle for 2 yards (tackle by Gary Brackett),0.940,0.500
3,7:58,3,2,CHI 34,15,13,Kyle Orton pass complete short right to Greg Olsen for 7 yards (tackle by Antoine Bethea),0.500,1.660
3,7:13,1,10,CHI 41,15,13,Matt Forte left guard for no gain (tackle by Robert Mathis),1.660,1.120
3,6:38,2,10,CHI 41,15,13,Kyle Orton pass complete short left to Matt Forte for 9 yards (tackle by Clint Session),1.120,1.620
3,6:01,3,1,,15,13,Matt Forte right tackle for 2 yards (tackle by Freddie Keiaho),1.620,2.390
3,5:23,1,10,IND 48,15,13,Kyle Orton pass incomplete short right intended for Desmond Clark,2.390,1.850
3,5:17,2,10,IND 48,15,13,Kyle Orton pass complete short left to Brandon Lloyd for 8 yards (tackle by Marlin Jackson),1.850,2.210
3,4:39,3,2,IND 40,15,13,Matt Forte left guard for 2 yards (tackle by Raheem Brock),2.210,3.050
3,3:56,1,10,IND 38,15,13,Kevin Jones up the middle for 5 yards (tackle by Keyunta Dawson and Edward Johnson),3.050,3.180
3,3:19,2,5,IND 33,15,13,Kevin Jones for -1 yards,3.180,2.340
3,2:48,3,6,IND 34,15,13,"Kyle Orton sacked by Robert Mathis for -7 yards. Kyle Orton fumbles (forced by Robert Mathis), recovered by Kyle Orton at IND-40",2.340,0.590
3,2:14,4,12,IND 40,15,13,"Brad Maynard punts 24 yards, fair catch by Keiwan Ratliff",0.590,0.140
3,2:06,1,10,IND 16,15,13,Peyton Manning pass incomplete short middle intended for Dominic Rhodes,-0.140,-0.660
3,2:01,2,10,IND 16,21,13,"Peyton Manning pass complete short right to Marvin Harrison for 5 yards (tackle by Charles Tillman). Marvin Harrison fumbles (forced by Charles Tillman), recovered by Lance Briggs at IND-21 and returned for 21 yards, touchdown",-0.660,-7.000
,,,,,,,"IND challenged the pass completion ruling, and the play was upheld.",,
3,,,,IND 2,22,13,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,22,13,"Robbie Gould kicks off 68 yards, returned by Courtney Roby for 45 yards (tackle by Robbie Gould). Penalty on Jacob Tamme: Illegal Block Above the Waist, 10 yards",0.000,-0.380
3,1:44,1,10,IND 10,22,13,Peyton Manning pass complete short middle to Marvin Harrison for 14 yards (tackle by Mike Brown),-0.380,0.540
3,1:03,1,10,IND 24,22,13,Joseph Addai left end for 9 yards (tackle by Kevin Payne),0.540,1.210
3,0:21,2,1,IND 33,22,13,Peyton Manning pass incomplete deep right intended for Marvin Harrison,1.210,0.500
3,0:15,,,,22,13,Timeout #2 by Indianapolis Colts,0.000,0.500
3,0:15,3,1,IND 33,22,13,Joseph Addai up the middle for 8 yards (tackle by Mike Brown and Adewale Ogunleye),0.500,1.660
Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 41,22,13,Peyton Manning pass incomplete deep left intended for Reggie Wayne,1.660,1.120
4,14:52,2,10,IND 41,22,13,Peyton Manning pass complete short left to Reggie Wayne for 6 yards (tackle by Mike Brown),1.120,1.220
4,14:22,3,4,IND 47,22,13,Peyton Manning pass complete short left to Joseph Addai for 3 yards (tackle by Nathan Vasher),1.220,-0.060
4,13:47,4,1,,22,13,Dominic Rhodes up the middle for -2 yards (tackle by Adewale Ogunleye and Lance Briggs),-0.060,-2.390
4,13:42,1,10,IND 48,22,13,Matt Forte up the middle for 3 yards (tackle by Bob Sanders and Freddie Keiaho),2.390,2.250
4,13:01,2,7,IND 45,22,13,Kyle Orton pass complete short left to Rashied Davis for 5 yards (tackle by Clint Session),2.250,2.210
4,12:23,3,2,IND 40,22,13,Kyle Orton pass complete short middle to Matt Forte for 4 yards (tackle by Freddie Keiaho),2.210,3.180
4,11:42,1,10,IND 36,22,13,Matt Forte right end for 8 yards (tackle by Antoine Bethea and Bob Sanders),3.180,3.720
4,10:55,,,,22,13,Timeout #1 by Chicago Bears,0.000,3.720
4,10:55,2,2,IND 28,22,13,Matt Forte right tackle for 1 yard (tackle by Edward Johnson),3.720,3.140
4,10:20,3,1,IND 27,22,13,Kyle Orton pass complete deep right to Desmond Clark for 26 yards (tackle by Antoine Bethea),3.140,6.970
4,9:35,1,1,IND 1,22,13,Matt Forte up the middle for no gain (tackle by Robert Mathis and Bob Sanders),6.970,5.910
4,9:01,2,1,IND 1,28,13,"Jason McKie up the middle for 1 yard, touchdown",5.910,7.000
4,,,,IND 2,29,13,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,29,13,"Robbie Gould kicks off 71 yards, returned by Courtney Roby for 15 yards (tackle by Corey Graham)",0.000,-0.280
4,8:51,1,10,IND 14,29,13,Peyton Manning pass complete short middle to Dominic Rhodes for 10 yards (tackle by Brian Urlacher),-0.280,0.540
4,8:25,1,10,IND 24,29,13,Peyton Manning pass incomplete short middle intended for Dominic Rhodes,0.540,0.000
4,8:22,2,10,IND 24,29,13,Peyton Manning pass complete short right to Marvin Harrison for 8 yards (tackle by Charles Tillman),0.000,0.370
4,7:56,3,2,IND 32,29,13,Peyton Manning pass complete short left to Anthony Gonzalez for 4 yards (tackle by Nathan Vasher),0.370,1.330
4,7:17,1,10,IND 36,29,13,Peyton Manning pass complete short left to Reggie Wayne for 5 yards,1.330,1.470
4,6:47,2,5,IND 41,29,13,Peyton Manning pass complete short left to Jacob Tamme for 6 yards (tackle by Brian Urlacher),1.470,2.060
4,6:22,1,10,IND 47,29,13,"Peyton Manning pass complete short right to Marvin Harrison for 3 yards (tackle by Alex Brown). Penalty on Charlie Johnson: Ineligible Downfield Pass, 5 yards (no play)",2.060,1.730
4,5:55,1,15,IND 42,29,13,"Peyton Manning pass complete short left to Reggie Wayne for 7 yards (tackle by Nathan Vasher). Penalty on Adewale Ogunleye: Unnecessary Roughness, 15 yards",1.730,3.180
4,5:30,1,10,CHI 36,29,13,Peyton Manning sacked by Alex Brown for -7 yards,3.180,1.690
4,5:00,2,17,CHI 43,29,13,Peyton Manning pass complete short left to Anthony Gonzalez for 2 yards,1.690,1.290
4,4:53,3,15,CHI 41,29,13,Peyton Manning pass complete short middle to Dominic Rhodes for 8 yards (tackle by Lance Briggs),1.290,1.150
4,4:25,4,7,CHI 33,29,13,Peyton Manning pass incomplete short right intended for Gijon Robinson,1.150,-1.140
4,4:19,1,10,CHI 33,29,13,Kevin Jones right tackle for 2 yards (tackle by Clint Session),1.140,0.860
4,3:39,2,8,CHI 35,29,13,Kevin Jones left end for 12 yards (tackle by Bob Sanders). Penalty on Eric Foster: Defensive Offside (Declined),0.860,2.060
4,3:32,1,10,CHI 47,29,13,Kevin Jones right end for 1 yard (tackle by Edward Johnson),2.060,1.650
4,2:49,2,9,CHI 48,29,13,Kevin Jones left tackle for 9 yards (tackle by Clint Session and Bob Sanders),1.650,2.720
4,2:04,1,10,IND 43,29,13,Kevin Jones right tackle for -4 yards (tackle by Darrell Reid),2.720,1.640
4,1:59,2,14,IND 47,29,13,Kevin Jones up the middle for 3 yards (tackle by Bob Sanders),1.640,1.360
4,1:53,,,,29,13,Timeout #3 by Indianapolis Colts,0.000,1.360
4,1:53,3,11,IND 44,29,13,Kevin Jones left tackle for 4 yards (tackle by Clint Session and Marlin Jackson). Penalty on Olin Kreutz: Offensive Holding (Declined),1.360,0.590
4,1:47,4,7,IND 40,29,13,"Brad Maynard punts 23 yards, fair catch by Keiwan Ratliff",0.590,0.060
4,1:41,1,10,IND 17,29,13,Peyton Manning pass incomplete deep middle intended for Reggie Wayne (defended by Mike Brown),-0.060,-0.580
4,1:35,2,10,IND 17,29,13,Peyton Manning pass complete short middle to Dominic Rhodes for 6 yards (tackle by Lance Briggs),-0.580,-0.490
4,1:11,3,4,IND 23,29,13,Peyton Manning pass complete short left to Reggie Wayne for 8 yards (tackle by Brian Urlacher),-0.490,1.000
4,0:47,1,10,IND 31,29,13,Peyton Manning pass complete short left to Reggie Wayne for 6 yards (tackle by Brandon McGowan),1.000,1.270
4,0:30,2,4,IND 37,29,13,Peyton Manning pass incomplete short middle intended for Jacob Tamme,1.270,0.560
4,0:26,3,4,IND 37,29,13,Mike Hart right tackle for 7 yards (tackle by Israel Idonije),0.560,1.860
4,0:05,1,10,IND 44,29,13,Peyton Manning pass incomplete short right intended for Jacob Tamme,1.860,1.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
