Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
1,2:28,,,MIN 35,0,3,"Kai Forbath kicks off 59 yards, returned by Lance Dunbar for 16 yards (tackle by Emmanuel Lamur)",0.000,-0.410
1,2:24,1,10,DAL 22,0,3,Ezekiel Elliott right guard for 4 yards (tackle by Shamar Stephen and Danielle Hunter),0.410,0.410
1,1:45,2,6,DAL 26,0,3,Ezekiel Elliott right tackle for 8 yards (tackle by Shamar Stephen and Anthony Barr),0.410,1.200
1,1:05,1,10,DAL 34,0,3,Dak Prescott pass complete short left to Cole Beasley for 10 yards (tackle by Captain Munnerlyn),1.200,1.860
1,0:42,1,10,DAL 44,0,3,"Ezekiel Elliott left end for 5 yards (tackle by Anthony Barr and Harrison Smith). Penalty on Doug Free: Offensive Holding, 10 yards",1.860,1.530
1,0:16,1,15,DAL 39,0,3,Alfred Morris left tackle for 11 yards (tackle by Everson Griffen),1.530,2.130
Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,,0,3,Ezekiel Elliott right tackle for 3 yards (tackle by Everson Griffen),2.130,1.820
2,14:20,3,1,MIN 47,0,3,"Lucky Whitehead left end for 6 yards (tackle by Everson Griffen). Lucky Whitehead fumbles (forced by Everson Griffen), recovered by Eric Kendricks at MIN-34 (tackle by Tyron Smith)",1.820,-1.200
2,14:13,1,10,MIN 34,0,3,Jerick McKinnon left end for 5 yards (tackle by Sean Lee),1.200,1.330
2,13:33,2,5,MIN 39,0,3,--,1.330,0.660
2,13:10,2,10,MIN 34,0,3,Sam Bradford pass complete short right to Charles Johnson for 6 yards (tackle by Anthony Brown),0.660,0.760
2,12:27,3,4,MIN 40,0,3,Sam Bradford pass complete short right to Stefon Diggs for 7 yards (tackle by Byron Jones),0.760,2.060
2,11:37,1,10,MIN 47,0,3,Jerick McKinnon pass incomplete deep right intended for Kyle Rudolph (defended by Byron Jones),2.060,1.520
2,11:32,2,10,MIN 47,0,3,Cordarrelle Patterson right end for no gain (tackle by Barry Church),1.520,0.830
2,10:52,3,10,MIN 47,0,3,Sam Bradford pass incomplete short left intended for Adam Thielen,0.830,-0.260
2,10:48,4,10,MIN 47,0,3,"Jeff Locke punts 37 yards, fair catch by Cole Beasley",-0.260,0.140
2,10:41,1,10,DAL 16,0,3,Dak Prescott pass complete short right to Ezekiel Elliott for -2 yards (tackle by Terence Newman),-0.140,-0.890
2,10:02,2,12,DAL 14,0,3,Ezekiel Elliott middle for -1 yards (tackle by Harrison Smith),-0.890,-1.750
2,9:18,3,13,DAL 13,0,3,Dak Prescott left end for 14 yards (tackle by Tom Johnson),-1.750,0.740
2,8:31,1,10,DAL 27,0,3,Ezekiel Elliott right end for 2 yards (tackle by Eric Kendricks),0.740,0.470
2,7:46,2,8,DAL 29,0,3,Dak Prescott pass complete short right to Cole Beasley for 13 yards (tackle by Captain Munnerlyn),0.470,1.730
2,7:10,1,10,DAL 42,0,3,Ezekiel Elliott left guard for 1 yard (tackle by Linval Joseph and Danielle Hunter),1.730,1.320
2,6:26,2,9,DAL 43,0,3,Dak Prescott pass complete deep left to Dez Bryant for 56 yards (tackle by Harrison Smith),1.320,0.000
2,5:33,,,,0,3,Timeout #1 by Dallas Cowboys,0.000,-6.970
2,5:33,1,1,MIN 1,6,3,"Ezekiel Elliott right guard for 1 yard, touchdown",6.970,7.000
2,5:29,,,MIN 15,7,3,Dan Bailey kicks extra point good,0.000,0.000
2,5:29,,,DAL 35,7,3,"Dan Bailey kicks off 70 yards, returned by Cordarrelle Patterson for 35 yards (tackle by Byron Jones)",0.000,-0.940
2,5:23,1,10,MIN 30,7,3,Jerick McKinnon right guard for 6 yards (tackle by Brandon Carr and Benson Mayowa),0.940,1.200
2,4:59,2,4,MIN 36,7,3,"Sam Bradford pass incomplete short right intended for Stefon Diggs is intercepted by Anthony Hitchens at MIN-39 and returned for 6 yards. Penalty on Orlando Scandrick: Illegal Use of Hands, 5 yards (no play)",1.200,1.660
2,4:53,1,10,MIN 41,7,3,"Penalty on Maliek Collins: Neutral Zone Infraction, 5 yards (no play)",1.660,2.390
2,4:53,1,5,MIN 46,7,3,"Penalty on Cedric Thornton: Encroachment, 5 yards (no play)",2.390,2.320
2,4:53,1,10,DAL 49,7,3,Sam Bradford pass incomplete deep right intended for Adam Thielen,2.320,1.780
2,4:47,2,10,DAL 49,7,3,Jerick McKinnon right tackle for 4 yards (tackle by Anthony Hitchens and Anthony Brown),1.780,1.620
2,4:05,3,6,DAL 45,7,3,Sam Bradford pass complete short right to Matt Asiata for -3 yards (tackle by Sean Lee),1.620,0.070
2,3:24,4,9,DAL 48,7,3,"Jeff Locke punts 16 yards, out of bounds",0.070,-1.070
2,3:15,1,10,DAL 32,7,3,Ezekiel Elliott right guard for 4 yards (tackle by Eric Kendricks and Brian Robison),1.070,1.070
2,2:38,2,6,DAL 36,7,3,Dak Prescott pass incomplete short left intended for Ezekiel Elliott,1.070,0.370
2,2:29,3,6,DAL 36,7,3,Dak Prescott pass complete short right to Ezekiel Elliott for 5 yards (tackle by Eric Kendricks and Captain Munnerlyn),0.370,-0.650
2,2:00,4,1,DAL 41,7,3,"Chris Jones punts 45 yards, fair catch by Cordarrelle Patterson",-0.650,0.280
2,1:52,1,10,MIN 14,7,3,Sam Bradford pass complete short right to Stefon Diggs for 7 yards (tackle by Orlando Scandrick),-0.280,0.280
2,1:33,2,3,MIN 21,7,3,Sam Bradford pass complete short right to Kyle Rudolph for 2 yards (tackle by Barry Church),0.280,-0.320
2,1:04,3,1,MIN 23,7,3,Sam Bradford pass complete short left to Stefon Diggs for 4 yards (tackle by Byron Jones),-0.320,0.000
2,0:58,,,,7,3,Timeout #1 by Minnesota Vikings,0.000,-0.740
2,0:58,1,10,MIN 27,7,3,Sam Bradford pass incomplete short left intended for Cordarrelle Patterson,0.740,0.000
2,0:52,,,,7,3,Timeout #2 by Minnesota Vikings,0.000,-0.200
2,0:52,2,10,MIN 27,7,3,Shaun Hill pass complete short right to Adam Thielen for 6 yards (tackle by Barry Church),0.200,0.300
2,0:31,3,4,MIN 33,7,3,Shaun Hill sacked by Maliek Collins for -7 yards,0.300,0.000
2,0:25,,,,7,3,Timeout #2 by Dallas Cowboys,0.000,1.630
2,0:25,4,11,MIN 26,7,3,Jeff Locke punts 25 yards,-1.630,-2.190
2,0:15,1,10,DAL 49,7,3,Dak Prescott sacked by Danielle Hunter for -3 yards,2.190,1.240
Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,7,3,"Dan Bailey kicks off 61 yards, returned by Matt Asiata for 18 yards (tackle by Byron Jones). Penalty on Edmond Robinson: Illegal Block Above the Waist, 7 yards",0.000,0.380
3,14:54,1,10,MIN 8,7,3,Sam Bradford pass complete deep right to Charles Johnson for 25 yards (tackle by Anthony Hitchens). Penalty on Anthony Hitchens: Defensive Pass Interference (Declined),-0.380,1.140
3,14:35,1,10,MIN 33,7,3,Sam Bradford pass complete short right to Jerick McKinnon for -4 yards (tackle by Sean Lee),1.140,0.050
3,13:57,2,14,MIN 29,7,3,Jerick McKinnon middle for 9 yards (tackle by Anthony Brown),0.050,0.560
3,13:13,3,5,MIN 38,7,3,Sam Bradford middle for 10 yards (tackle by Orlando Scandrick),0.560,2.130
3,12:32,1,10,MIN 48,7,3,Cordarrelle Patterson right end for 6 yards (tackle by Byron Jones),2.130,2.390
3,12:01,2,4,DAL 46,7,3,Sam Bradford pass complete short left to Charles Johnson for 5 yards (tackle by Brandon Carr),2.390,2.850
3,11:20,1,10,DAL 41,7,3,Sam Bradford pass incomplete short middle intended for Jerick McKinnon (defended by Cedric Thornton),2.850,2.310
3,11:15,2,10,DAL 41,7,3,"Sam Bradford for -6 yards. Sam Bradford fumbles, recovered by Sam Bradford at DAL-44",2.310,0.830
3,10:29,3,16,DAL 47,7,3,Sam Bradford pass incomplete deep left intended for Laquon Treadwell,0.830,0.130
3,10:25,4,16,DAL 47,7,3,"Jeff Locke punts 38 yards, fair catch by Cole Beasley",0.130,0.380
3,10:18,1,10,DAL 9,7,3,Ezekiel Elliott right guard for 6 yards (tackle by Everson Griffen),-0.380,-0.280
3,9:39,2,4,DAL 15,7,3,Dak Prescott pass complete short left to Dez Bryant for 13 yards (tackle by Andrew Sendejo),-0.280,0.810
3,9:11,1,10,DAL 28,7,3,"Ezekiel Elliott left tackle for 7 yards (tackle by Andrew Sendejo). Penalty on Gavin Escobar: Clipping, 14 yards (no play)",0.810,-0.590
3,8:37,1,24,DAL 14,7,3,Dak Prescott pass incomplete short left intended for Cole Beasley,-0.590,-1.760
3,8:35,2,24,DAL 14,7,3,Dak Prescott pass complete short right to Terrance Williams for -5 yards (tackle by Xavier Rhodes),-1.760,-3.640
3,7:51,3,29,DAL 9,7,3,Dak Prescott pass complete short right to Ezekiel Elliott for 16 yards (tackle by Everson Griffen),-3.640,-1.700
3,7:09,4,13,DAL 25,7,3,Chris Jones punts 42 yards,-1.700,-1.140
3,7:02,1,10,MIN 33,7,3,Jerick McKinnon middle for 2 yards (tackle by Maliek Collins and Sean Lee),1.140,0.860
3,6:26,2,8,MIN 35,7,3,Sam Bradford pass complete short left to Stefon Diggs for 10 yards (tackle by Brandon Carr),0.860,1.930
3,5:55,1,10,MIN 45,7,3,Matt Asiata middle for 3 yards (tackle by Anthony Hitchens),1.930,1.790
3,5:11,2,7,MIN 48,7,3,Sam Bradford pass complete short right to Kyle Rudolph for 6 yards (tackle by Anthony Hitchens and Orlando Scandrick),1.790,1.880
3,4:30,3,1,DAL 46,7,3,Sam Bradford pass complete short right to Kyle Rudolph for 8 yards (tackle by Sean Lee),1.880,3.050
3,3:47,1,10,DAL 38,7,3,Matt Asiata middle for 14 yards (tackle by Jack Crawford),3.050,3.970
3,3:06,1,10,DAL 24,7,3,Sam Bradford pass incomplete deep right intended for Charles Johnson (defended by Anthony Brown),3.970,3.430
3,3:01,2,10,DAL 24,7,3,Sam Bradford pass complete short right to Adam Thielen for 6 yards (tackle by Anthony Brown),3.430,3.570
3,2:20,3,4,DAL 18,7,3,Sam Bradford pass incomplete deep right intended for Kyle Rudolph,3.570,2.320
3,2:14,4,4,DAL 18,7,6,Kai Forbath 36 yard field goal good,2.320,3.000
3,2:10,,,MIN 35,7,6,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
3,2:10,1,10,DAL 25,7,6,Dak Prescott left end for 7 yards (tackle by Chad Greenway),0.610,1.010
3,1:31,2,3,DAL 32,7,6,Ezekiel Elliott right end for 3 yards (tackle by Chad Greenway),1.010,1.270
3,0:46,1,10,DAL 35,7,6,"Ezekiel Elliott right end for no gain (tackle by Harrison Smith). Penalty on Gavin Escobar: Offensive Holding, 10 yards (no play)",1.270,0.610
3,0:17,1,20,DAL 25,7,6,"Dak Prescott sacked by Brian Robison for -8 yards. Dak Prescott fumbles (forced by Brian Robison), recovered by Everson Griffen at DAL-19 (tackle by Tyron Smith)",0.610,-4.310
3,0:07,1,10,DAL 19,7,6,"Penalty on T.J. Clemmings: False Start, 5 yards (no play)",4.310,3.970
3,0:07,1,15,DAL 24,7,6,Matt Asiata right guard for 5 yards (tackle by Anthony Hitchens),3.970,3.750
Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,DAL 19,7,6,Sam Bradford pass complete short left to Adam Thielen for 4 yards (tackle by Orlando Scandrick),3.750,3.580
4,14:19,3,6,DAL 15,7,6,Sam Bradford pass incomplete short left intended for Laquon Treadwell,3.580,2.470
4,14:15,4,6,DAL 15,7,9,Kai Forbath 33 yard field goal good,2.470,3.000
4,14:11,,,MIN 35,7,9,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
4,14:11,1,10,DAL 25,7,9,Ezekiel Elliott left tackle for 2 yards (tackle by Danielle Hunter),0.610,0.330
4,13:34,2,8,DAL 27,7,9,Dak Prescott left end for 9 yards (tackle by Eric Kendricks),0.330,1.330
4,13:03,1,10,DAL 36,7,9,Dak Prescott pass complete deep left to Terrance Williams for 18 yards (tackle by Harrison Smith),1.330,2.520
4,12:24,1,10,MIN 46,7,9,Ezekiel Elliott right end for 2 yards (tackle by Captain Munnerlyn and Danielle Hunter),2.520,2.250
4,11:50,2,8,MIN 44,7,9,Dak Prescott pass incomplete short left intended for Dez Bryant,2.250,1.550
4,11:45,3,8,MIN 44,7,9,"Dak Prescott pass complete short middle to Jason Witten for 11 yards (tackle by Harrison Smith). Penalty on Ezekiel Elliott: Offensive Holding, 10 yards (no play)",1.550,0.230
4,11:13,3,18,DAL 46,7,9,Dak Prescott sacked by Danielle Hunter for -6 yards,0.230,-0.720
4,10:39,4,24,DAL 40,7,9,"Chris Jones punts 46 yards, returned by Adam Thielen for -3 yards (tackle by Kyle Wilber). Adam Thielen fumbles (forced by Kyle Wilber), recovered by Kyle Wilber at MIN-8",-0.720,5.370
,,,,,,,"DAL challenged the runner was down by contact ruling, and the original play was overturned.",,
4,10:28,1,8,MIN 8,13,9,"Dak Prescott pass complete short left to Dez Bryant for 8 yards, touchdown",5.370,7.000
4,10:22,,,MIN 15,14,9,Dan Bailey kicks extra point good,0.000,0.000
4,10:22,,,DAL 35,14,9,"Dan Bailey kicks off 60 yards, returned by Cordarrelle Patterson for 20 yards (tackle by Leon McFadden). Penalty on Anthony Harris: Face Mask (15 Yards), 10 yards",0.000,0.380
4,10:15,1,10,MIN 10,14,9,Sam Bradford pass complete short left to Stefon Diggs for 6 yards (tackle by Orlando Scandrick),-0.380,-0.230
4,9:39,2,4,MIN 16,14,9,Jerick McKinnon left guard for 3 yards (tackle by Anthony Hitchens and Barry Church),-0.230,-0.370
4,8:56,3,1,MIN 19,14,9,Matt Asiata middle for 4 yards (tackle by Damien Wilson),-0.370,0.480
4,8:16,1,10,MIN 23,14,9,Sam Bradford sacked by Anthony Hitchens for -8 yards,0.480,-1.280
4,7:29,2,18,MIN 15,14,9,Sam Bradford pass incomplete deep right intended for Charles Johnson,-1.280,-2.150
4,7:23,3,18,MIN 15,14,9,Sam Bradford pass complete short right to Rhett Ellison for 6 yards (tackle by Orlando Scandrick),-2.150,-1.960
4,6:45,4,12,MIN 21,14,9,"Jeff Locke punts 33 yards, out of bounds",-1.960,-1.990
4,6:37,1,10,DAL 46,14,9,Ezekiel Elliott right guard for 30 yards (tackle by Eric Kendricks),1.990,3.970
4,5:52,1,10,MIN 24,14,9,Ezekiel Elliott left tackle for 1 yard (tackle by Everson Griffen),3.970,3.570
4,5:09,2,9,MIN 23,14,9,Ezekiel Elliott right tackle for 2 yards (tackle by Everson Griffen),3.570,3.140
4,4:27,3,7,MIN 21,14,9,Dak Prescott pass incomplete deep left intended for Terrance Williams,3.140,2.060
4,4:20,4,7,MIN 21,17,9,Dan Bailey 39 yard field goal good,2.060,3.000
4,4:15,,,DAL 35,17,9,"Dan Bailey kicks off 70 yards, returned by Cordarrelle Patterson for 30 yards (tackle by Kavon Frazier)",0.000,-0.610
4,4:10,1,10,MIN 25,17,9,Sam Bradford pass incomplete short middle intended for Kyle Rudolph (defended by Anthony Hitchens),0.610,0.060
4,4:03,2,10,MIN 25,17,9,Sam Bradford pass complete short left to Adam Thielen for 13 yards (tackle by Brandon Carr),0.060,1.470
4,3:42,1,10,MIN 38,17,9,Sam Bradford pass complete short middle to Jerick McKinnon for 5 yards (tackle by Orlando Scandrick),1.470,1.600
4,3:20,2,5,MIN 43,17,9,Sam Bradford sacked by Benson Mayowa for -7 yards. Penalty on T.J. Clemmings: Offensive Holding (Declined),1.600,-0.030
4,3:14,3,12,MIN 36,17,9,Sam Bradford pass incomplete short right intended for Kyle Rudolph,-0.030,-0.980
4,3:08,4,12,MIN 36,17,9,"Jeff Locke punts 32 yards, returned by Lucky Whitehead for 2 yards (tackle by Justin Trattou). Penalty on Kavon Frazier: Offensive Holding, 10 yards",-0.980,-0.410
4,2:58,1,10,DAL 22,17,9,Ezekiel Elliott right guard for 1 yard (tackle by Everson Griffen),0.410,0.000
4,2:53,,,,17,9,Timeout #1 by Minnesota Vikings,0.000,0.000
4,2:53,2,9,DAL 23,17,9,Dak Prescott right end for 8 yards (tackle by Harrison Smith),0.000,0.000
,,,,,,,"MIN challenged the first down ruling, and the original play was overturned.",,
4,2:24,,,,17,9,Timeout #2 by Minnesota Vikings,0.000,-0.370
4,2:24,3,1,DAL 31,17,9,"Dak Prescott for no gain. Dak Prescott fumbles, recovered by Ezekiel Elliott at DAL-27 and returned for 1 yards",0.370,-1.500
4,2:20,4,4,DAL 28,17,9,"Chris Jones punts 41 yards, muffed catch by Cordarrelle Patterson, recovered by Audie Cole and returned for no gain",-1.500,0.000
4,2:20,,,,17,9,Timeout #3 by Minnesota Vikings,0.000,-1.270
4,2:09,1,10,MIN 35,17,9,Sam Bradford pass complete deep left to Adam Thielen for 18 yards,1.270,2.460
4,2:01,1,10,DAL 47,17,9,Jerick McKinnon left end for 6 yards (tackle by Barry Church and Brandon Carr),2.460,2.720
4,1:57,2,4,DAL 41,17,9,Sam Bradford pass complete short left to Jerick McKinnon for 5 yards (tackle by Barry Church),2.720,3.180
4,1:46,1,10,DAL 36,17,9,Sam Bradford pass complete short right to Stefon Diggs for 15 yards (tackle by Brandon Carr),3.180,4.170
4,1:23,1,10,DAL 21,17,9,Sam Bradford pass complete short right to Jerick McKinnon for 5 yards (tackle by Barry Church),4.170,4.370
4,1:18,2,5,DAL 16,17,9,Sam Bradford pass complete short right to Cordarrelle Patterson for 5 yards (tackle by Byron Jones),4.370,4.840
4,0:57,1,10,DAL 11,17,9,Sam Bradford pass complete short right to Stefon Diggs for 4 yards (tackle by Barry Church),4.840,4.890
4,0:33,2,6,DAL 7,17,9,"Sam Bradford pass incomplete short left intended for Adam Thielen (defended by Orlando Scandrick). Penalty on Jack Crawford: Defensive Offside, 4 yards (no play)",4.890,0.000
4,0:30,,,,17,9,Timeout #1 by Dallas Cowboys,0.000,-5.660
4,0:30,2,2,DAL 3,17,15,"Sam Bradford pass complete short right to Jerick McKinnon for 3 yards, touchdown",5.660,7.000
4,0:25,,,DAL 2,17,15,"Penalty on Jeremiah Sirles: False Start, 5 yards (no play)",0.000,0.000
4,0:25,,,DAL 7,17,15,"Two Point Attempt: Sam Bradford pass incomplete intended for Kyle Rudolph, conversion fails",0.000,-1.000
4,0:25,,,MIN 35,17,15,"Kai Forbath kicks onside 14 yards, recovered by Jason Witten",0.000,-2.320
4,0:24,1,10,MIN 49,17,15,Dak Prescott kneels for -1 yards,2.320,1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
