Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
3,5:51,1,10,TEN 18,7,7,Ryan Tannehill pass complete short right to Jonnu Smith for 8 yards (tackle by Josey Jewell),0.040,0.680
3,5:17,2,2,TEN 26,7,7,Ryan Tannehill pass incomplete short left intended for Jonnu Smith,0.680,-0.140
3,5:11,3,2,TEN 26,7,7,Ryan Tannehill pass complete short right to Corey Davis for 7 yards (tackle by Bryce Callahan),-0.140,1.140
3,4:36,1,10,TEN 33,7,7,Derrick Henry up the middle for 5 yards (tackle by Essang Bassey),1.140,1.270
3,4:02,2,5,TEN 38,7,7,Derrick Henry left end for 2 yards (tackle by Alexander Johnson),1.270,0.830
3,3:35,3,3,TEN 40,7,7,"Ryan Tannehill pass complete short left to Jeremy McNichols for 4 yards (tackle by Michael Ojemudia). Penalty on Josey Jewell: Face Mask (15 Yards), 15 yards (no play)",0.830,2.590
3,3:07,1,10,DEN 45,7,7,Derrick Henry up the middle for 8 yards (tackle by Josey Jewell),2.590,3.120
3,2:38,2,2,DEN 37,7,7,Derrick Henry up the middle for 4 yards (tackle by Alexander Johnson and Dre'Mont Jones),3.120,3.380
3,2:12,1,10,DEN 33,7,7,Ryan Tannehill pass complete short middle to Corey Davis for 13 yards (tackle by Bryce Callahan and Justin Simmons),3.380,4.240
3,1:41,1,10,DEN 20,7,7,Derrick Henry left guard for 5 yards (tackle by Essang Bassey),4.240,4.450
3,1:03,2,5,DEN 15,7,7,Ryan Tannehill pass incomplete short right,4.450,3.700
3,0:56,3,5,DEN 15,7,7,Ryan Tannehill pass complete short right to Adam Humphries for 7 yards (tackle by Justin Simmons),3.700,5.370
3,0:15,1,8,DEN 8,7,7,Derrick Henry left guard for 2 yards (tackle by Jurrell Casey and Mike Purcell),5.370,4.950
Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,DEN 6,7,7,Ryan Tannehill pass complete short right to Derrick Henry for 5 yards (tackle by Alexander Johnson),4.950,5.170
4,14:38,3,1,DEN 1,7,7,Derrick Henry left guard for no gain (tackle by Alexander Johnson and Josey Jewell),5.170,3.550
4,13:53,4,1,DEN 1,13,7,"Ryan Tannehill pass complete short right to Jonnu Smith for 1 yard, touchdown",3.550,7.000
4,13:49,,,DEN 15,13,7,Stephen Gostkowski kicks extra point no good wide left,0.000,-1.000
4,13:49,,,TEN 35,13,7,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
4,13:49,1,10,DEN 25,13,7,Melvin Gordon left end for no gain (tackle by Kevin Byard),0.610,0.060
4,13:17,2,10,DEN 25,13,7,Melvin Gordon right tackle for 25 yards (tackle by Kenny Vaccaro and Jayon Brown),0.060,2.260
4,12:38,1,10,DEN 50,13,7,Drew Lock pass complete short middle to Jerry Jeudy for 21 yards (tackle by David Long and Kenny Vaccaro),2.260,3.640
4,11:59,1,10,TEN 29,13,7,Drew Lock pass complete short left to Jerry Jeudy for -2 yards (tackle by Harold Landry),3.640,2.830
4,11:16,2,12,TEN 31,13,7,Drew Lock pass complete short middle to Tim Patrick for 15 yards (tackle by Kevin Byard),2.830,4.510
4,10:51,1,10,TEN 16,13,7,Melvin Gordon left end for 3 yards (tackle by Malcolm Butler),4.510,4.390
4,10:09,2,7,TEN 13,13,7,Drew Lock pass complete short left to Royce Freeman for 12 yards (tackle by David Long),4.390,6.970
4,9:48,1,1,TEN 1,13,7,Royce Freeman up the middle for no gain (tackle by Kenny Vaccaro),6.970,5.910
4,9:12,2,1,TEN 1,13,13,"Melvin Gordon left end for 1 yard, touchdown",5.910,7.000
4,9:08,,,TEN 15,13,14,Brandon McManus kicks extra point good,0.000,0.000
4,9:08,,,DEN 35,13,14,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,9:08,1,10,TEN 25,13,14,Derrick Henry up the middle for 4 yards (tackle by Jurrell Casey),0.610,0.600
4,8:38,2,6,TEN 29,13,14,Ryan Tannehill pass complete short right to Khari Blasingame for 5 yards (tackle by Josey Jewell),0.600,0.560
4,8:17,3,1,TEN 34,13,14,Ryan Tannehill up the middle for no gain (tackle by Alexander Johnson),0.560,-1.110
4,7:32,4,1,TEN 34,13,14,"Penalty on TEN: Delay of Game, 4 yards (no play)",-1.110,-1.370
4,7:32,4,5,TEN 30,13,14,Brett Kern punts 50 yards out of bounds,-1.370,-0.280
4,7:24,1,10,DEN 20,13,14,Drew Lock pass complete short right to Tim Patrick for 5 yards (tackle by Johnathan Joseph),0.280,0.410
4,6:50,2,5,DEN 25,13,14,Melvin Gordon right end for 12 yards (tackle by Kevin Byard),0.410,1.400
4,6:19,1,10,DEN 37,13,14,Melvin Gordon left guard for 7 yards (tackle by DaQuan Jones and Kamalei Correa),1.400,1.800
4,5:45,2,3,DEN 44,13,14,Melvin Gordon left tackle for no gain (tackle by Kenny Vaccaro),1.800,1.090
4,5:11,3,3,DEN 44,13,14,Drew Lock pass incomplete deep right intended for DaeSean Hamilton,1.090,-0.460
4,5:04,4,3,DEN 44,13,14,Sam Martin punts 52 yards out of bounds,-0.460,0.380
4,4:57,1,10,TEN 4,13,14,Derrick Henry up the middle for no gain (tackle by Mike Purcell),-0.380,-0.780
4,4:24,2,10,TEN 4,13,14,Ryan Tannehill pass incomplete short right intended for Jonnu Smith,-0.780,-1.420
4,4:21,3,10,TEN 4,13,14,Ryan Tannehill pass incomplete deep right intended for Corey Davis (defended by Kareem Jackson),-1.420,-2.490
4,4:16,4,10,TEN 4,13,14,"Brett Kern punts 47 yards, returned by Diontae Spencer for 7 yards (tackle by Senorise Perry)",-2.490,-2.650
4,4:06,1,10,TEN 44,13,14,Drew Lock pass incomplete short right intended for Jerry Jeudy,2.650,2.110
4,4:02,2,10,TEN 44,13,14,Melvin Gordon up the middle for 2 yards (tackle by William Compton),2.110,1.690
4,3:20,3,8,TEN 42,13,14,Drew Lock pass incomplete deep left intended for DaeSean Hamilton,1.690,0.460
4,3:13,4,8,TEN 42,13,14,"Sam Martin punts 32 yards, fair catch by Kalif Raymond at TEN-10",0.460,0.380
4,3:05,1,10,TEN 10,13,14,Ryan Tannehill pass complete short left to Adam Humphries for 8 yards (tackle by Essang Bassey),-0.380,0.070
4,3:00,2,2,TEN 18,13,14,Ryan Tannehill pass complete short right to Corey Davis for 9 yards (tackle by Bryce Callahan),0.070,0.740
4,2:41,1,10,TEN 27,13,14,Derrick Henry right guard for 5 yards (tackle by Jurrell Casey),0.740,0.870
4,2:21,2,5,TEN 32,13,14,Ryan Tannehill pass complete short middle to Derrick Henry for 6 yards (tackle by Alexander Johnson),0.870,1.470
4,2:01,1,10,TEN 38,13,14,Ryan Tannehill pass complete short left to A.J. Brown for 11 yards (tackle by Michael Ojemudia),1.470,2.190
4,1:58,1,10,TEN 49,13,14,Ryan Tannehill pass incomplete short middle intended for A.J. Brown,2.190,1.650
4,1:55,2,10,TEN 49,13,14,"Ryan Tannehill pass incomplete deep left intended for A.J. Brown. Penalty on Michael Ojemudia: Defensive Pass Interference, 16 yards (no play)",1.650,3.250
4,1:50,1,10,DEN 35,13,14,Ryan Tannehill pass complete short left to Adam Humphries for 6 yards (tackle by Essang Bassey),3.250,3.510
4,1:33,2,4,DEN 29,13,14,Derrick Henry left tackle for 13 yards (tackle by Kareem Jackson),3.510,4.510
4,0:49,1,10,DEN 16,13,14,Derrick Henry up the middle for 4 yards (tackle by Jurrell Casey),4.510,4.570
4,0:31,,,,,,Timeout #1 by Tennessee Titans,,
4,0:31,2,6,DEN 12,13,14,Derrick Henry left end for 5 yards (tackle by Josey Jewell),4.570,4.850
4,0:24,3,1,DEN 7,13,14,Ryan Tannehill pass incomplete short left intended for A.J. Brown,4.850,3.010
4,0:20,4,1,DEN 7,16,14,Stephen Gostkowski 25 yard field goal good,3.010,3.000
4,0:17,,,TEN 35,16,14,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
4,0:17,1,10,DEN 25,16,14,Drew Lock pass incomplete deep right intended for Noah Fant (defended by Kevin Byard),0.610,0.060
4,0:09,2,10,DEN 25,16,14,Drew Lock pass complete deep right to DaeSean Hamilton for 18 yards (tackle by Kristian Fulton),0.060,1.800
4,0:02,,,,,,Timeout #1 by Denver Broncos,,
4,0:02,,,,,,Timeout #2 by Tennessee Titans,,
4,0:02,1,10,DEN 43,16,14,Drew Lock pass incomplete short right,1.800,1.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
