Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
2,9:18,3,3,GNB 28,6,10,Brett Favre pass complete to Javon Walker for 8 yards (tackle by Terence Newman),0.040,1.330
2,8:43,1,10,GNB 36,6,10,Ahman Green right guard for 2 yards (tackle by Kenyon Coleman),1.330,1.060
2,8:07,2,8,GNB 38,6,10,Brett Favre pass complete to William Henderson for 6 yards (tackle by Bradie James),1.060,1.160
2,7:29,,,,6,10,Timeout #1 by Dallas Cowboys,0.000,1.160
2,7:29,3,2,GNB 44,6,10,"Brett Favre pass complete to William Henderson for 8 yards (tackle by Bradie James). Penalty on Robert Ferguson: Illegal Shift, 5 yards (no play)",1.160,0.500
2,7:02,3,7,GNB 39,6,10,Brett Favre pass complete to Antonio Chatman for 12 yards (tackle by Nate Jones),0.500,2.320
2,6:24,1,10,DAL 49,6,10,Brett Favre pass complete to Donald Driver for 4 yards (tackle by Bradie James),2.320,2.320
2,5:48,2,6,DAL 45,6,10,Ahman Green right end for 6 yards (tackle by Alshermond Singleton),2.320,2.980
2,4:58,,,,6,10,Timeout #2 by Green Bay Packers,0.000,2.980
2,4:58,1,10,DAL 39,6,10,Najeh Davenport left tackle for no gain (tackle by Chad Eaton and Dat Nguyen),2.980,2.440
2,4:23,2,10,DAL 39,6,10,Brett Favre for 4 yards (tackle by Eric Ogbogu),2.440,2.280
2,3:52,3,6,DAL 35,6,10,Brett Favre pass complete to Javon Walker for 9 yards (tackle by Tyrone Williams),2.280,3.840
2,3:11,1,10,DAL 26,6,10,Antonio Chatman right end for 18 yards (tackle by Randal Williams),3.840,5.370
2,2:38,1,8,DAL 8,6,10,"Brett Favre sacked by Eric Ogbogu for -6 yards. Penalty on Eric Ogbogu: Face Mask (15 Yards), 7 yards",5.370,5.600
2,2:15,1,7,DAL 7,6,10,Ahman Green right tackle for 2 yards (tackle by Dexter Coakley and Leonardo Carson),5.600,5.150
2,1:55,2,5,DAL 5,6,16,"Brett Favre pass complete to Javon Walker for 5 yards, touchdown",5.150,7.000
2,,,,DAL 2,6,17,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,GNB 30,6,17,"Ryan Longwell kicks off 53 yards, returned by Jacques Reeves for 6 yards (tackle by Najeh Davenport)",0.000,0.480
2,1:51,1,10,DAL 23,6,17,Vinny Testaverde pass incomplete intended for Quincy Morgan,0.480,-0.070
2,1:44,2,10,DAL 23,6,17,Vinny Testaverde pass incomplete intended for ReShard Lee (defended by Nick Barnett),-0.070,-0.760
2,1:41,3,10,DAL 23,6,17,"Penalty on Vinny Testaverde: Delay of Game, 5 yards (no play)",-0.760,-1.560
2,1:41,3,15,DAL 18,6,17,"Vinny Testaverde for no gain. Vinny Testaverde fumbles, recovered by Vinny Testaverde at DAL-DAL",-1.560,-2.490
2,1:36,,,,6,17,Timeout #3 by Green Bay Packers,0.000,-2.490
2,1:36,4,23,DAL 10,6,17,Mat McBriar punts 25 yards,-2.490,-3.250
2,1:30,1,10,DAL 35,6,17,Ahman Green right end for 2 yards (tackle by Leonardo Carson),3.250,2.970
2,1:10,2,8,DAL 33,6,17,Brett Favre pass incomplete intended for Robert Ferguson,2.970,2.280
2,1:07,3,8,DAL 33,6,17,Brett Favre pass complete to Donald Driver for 15 yards (tackle by Nate Jones),2.280,4.370
2,0:45,1,10,DAL 18,6,17,Brett Favre pass incomplete intended for Javon Walker (defended by Terence Newman),4.370,3.800
2,0:41,2,10,DAL 18,6,17,Brett Favre pass complete to Ahman Green for -4 yards (tackle by Dexter Coakley),3.800,2.610
2,0:08,3,14,DAL 22,6,17,Brett Favre pass incomplete intended for David Martin,2.610,1.990
2,0:03,4,14,DAL 22,6,20,Ryan Longwell 40 yard field goal good,1.990,3.000
Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,6,20,"Billy Cundiff kicks off 65 yards, returned by Robert Ferguson for 23 yards (tackle by Keith O'Neil)",0.000,0.810
3,14:55,1,10,GNB 28,6,20,"Ahman Green up the middle for 12 yards (tackle by Randal Williams). Penalty on La'Roi Glover: Defensive Holding, 5 yards",0.810,1.930
3,14:27,1,10,GNB 45,6,20,Najeh Davenport right tackle for 5 yards (tackle by Dat Nguyen),1.930,2.060
3,13:51,2,5,DAL 50,6,20,Brett Favre pass complete to Javon Walker for 31 yards (tackle by Tony Dixon),2.060,4.310
3,13:10,1,10,DAL 19,6,20,Ahman Green right end for 4 yards (tackle by Dexter Coakley and Dat Nguyen),4.310,4.350
3,12:29,2,6,DAL 15,6,20,Brett Favre pass complete to Tony Fisher for 4 yards (tackle by Dat Nguyen),4.350,4.430
3,11:53,3,2,DAL 11,6,20,Najeh Davenport up the middle for 3 yards (tackle by Dat Nguyen and Randal Williams),4.430,5.370
3,11:08,1,8,DAL 8,6,26,"Tony Fisher pass complete to Bubba Franks for 8 yards, touchdown",5.370,7.000
3,,,,DAL 2,6,27,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,GNB 30,6,27,"Ryan Longwell kicks off 63 yards, returned by ReShard Lee for 18 yards (tackle by Bhawoh Jue)",0.000,0.610
3,10:56,1,10,DAL 25,6,27,"Eddie George left tackle for no gain (tackle by Aaron Kampman). Eddie George fumbles (forced by Aaron Kampman), recovered by Keyshawn Johnson at DAL-25",0.610,0.060
3,10:20,2,10,DAL 25,6,27,Eddie George up the middle for 3 yards (tackle by Bhawoh Jue),0.060,-0.230
3,9:42,3,7,DAL 28,6,27,"Vinny Testaverde pass complete to Richie Anderson for 9 yards (tackle by Aaron Kampman). Penalty on Larry Allen: Illegal Block Above the Waist, 10 yards",-0.230,-0.360
3,9:09,3,8,DAL 27,6,27,Vinny Testaverde pass complete to Jason Witten for 19 yards (tackle by Mark Roman),-0.360,1.990
3,8:30,1,10,DAL 46,6,27,Vinny Testaverde pass complete to Keyshawn Johnson for 12 yards (tackle by Al Harris),1.990,2.790
3,8:01,1,10,GNB 42,12,27,"Vinny Testaverde pass complete to Jason Witten for 42 yards, touchdown",2.790,7.000
3,,,,GNB 2,13,27,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,DAL 30,13,27,"Billy Cundiff kicks off 67 yards, returned by Robert Ferguson for 34 yards (tackle by Bradie James)",0.000,1.400
3,7:47,1,10,GNB 37,13,27,Brett Favre pass complete to Ahman Green for 6 yards (tackle by Dexter Coakley),1.400,1.670
3,7:25,2,4,GNB 43,13,27,Ahman Green left tackle for 1 yard (tackle by Bradie James and Leonardo Carson),1.670,1.090
3,6:42,3,3,GNB 44,13,27,Brett Favre pass complete to Robert Ferguson for 8 yards (tackle by Nate Jones),1.090,2.390
3,6:02,1,10,DAL 48,13,27,Najeh Davenport right tackle for 2 yards (tackle by Leonardo Carson),2.390,2.120
3,5:21,2,8,DAL 46,13,27,Brett Favre pass complete to Ahman Green for 2 yards (tackle by Dexter Coakley),2.120,1.690
3,4:38,3,6,DAL 44,13,27,Brett Favre pass complete to Javon Walker for 7 yards (tackle by Tyrone Williams),1.690,3.120
3,4:02,1,10,DAL 37,13,27,Najeh Davenport left end for 4 yards (tackle by Bradie James and Alshermond Singleton),3.120,3.110
3,3:23,2,6,DAL 33,13,33,"Brett Favre pass complete to Donald Driver for 33 yards, touchdown",3.110,7.000
3,,,,DAL 2,13,34,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,GNB 30,13,34,"Ryan Longwell kicks off 56 yards, returned by ReShard Lee for 14 yards (tackle by Joey Thomas)",0.000,0.810
3,3:11,1,10,DAL 28,13,34,Richie Anderson right end for 27 yards (tackle by Bhawoh Jue),0.810,2.590
3,2:36,1,10,GNB 45,13,34,Vinny Testaverde pass incomplete intended for Richie Anderson (defended by Nick Barnett),2.590,2.040
3,2:30,2,10,GNB 45,13,34,Richie Anderson left end for no gain (tackle by Hannibal Navies),2.040,1.360
3,1:50,3,10,GNB 45,13,34,Vinny Testaverde pass incomplete intended for Jason Witten,1.360,0.270
3,1:46,4,10,GNB 45,13,34,"Mat McBriar punts 35 yards, fair catch by Antonio Chatman",0.270,0.380
3,1:38,1,10,GNB 10,13,40,"Ahman Green left end for 90 yards, touchdown",-0.380,7.000
3,,,,DAL 2,13,41,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,GNB 30,13,41,"Ryan Longwell kicks off 53 yards, returned by Jacques Reeves for 5 yards (tackle by Michael Hawthorne)",0.000,0.410
3,1:21,1,10,DAL 22,13,41,Eddie George up the middle for -1 yards (tackle by Larry Smith and Al Harris),0.410,-0.270
3,0:42,2,11,DAL 21,13,41,Vinny Testaverde pass complete to Keyshawn Johnson for 15 yards (tackle by Mark Roman),-0.270,1.330
3,0:04,1,10,DAL 36,13,41,Vinny Testaverde pass complete to Quincy Morgan for 6 yards (tackle by Al Harris),1.330,1.600
Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,DAL 42,13,41,Eddie George right guard for 8 yards (tackle by Bhawoh Jue),1.600,2.260
4,14:19,1,10,GNB 50,13,41,"Penalty on Eddie George: False Start, 5 yards (no play)",2.260,1.930
4,13:53,,,,13,41,Timeout #1 by Dallas Cowboys,0.000,1.930
4,13:53,1,15,DAL 45,13,41,Vinny Testaverde pass complete to Jason Witten for 5 yards (tackle by Al Harris),1.930,1.710
4,13:12,2,10,GNB 50,13,41,Vinny Testaverde pass complete to Jason Witten for 8 yards (tackle by Na'il Diggs),1.710,2.080
4,12:34,3,2,GNB 42,13,41,Richie Anderson right end for -2 yards (tackle by Nick Barnett),2.080,0.330
4,11:55,4,4,GNB 44,13,41,"Mat McBriar punts 32 yards, fair catch by Antonio Chatman",0.330,0.350
4,11:48,1,10,GNB 12,13,41,Najeh Davenport left tackle for 2 yards (tackle by Eric Ogbogu),-0.350,-0.610
4,11:11,2,8,GNB 14,13,41,Brett Favre pass complete to William Henderson for 2 yards (tackle by Bradie James),-0.610,-0.950
4,10:29,3,6,GNB 16,13,41,Najeh Davenport right end for 4 yards (tackle by Alshermond Singleton and Bradie James),-0.950,-2.030
4,9:47,4,2,GNB 20,13,41,"Bryan Barker punts 60 yards, returned by Dedric Ward for 6 yards (tackle by Jason Horton). Penalty on Robert Ferguson: Illegal Use of Hands, 10 yards (no play)",-2.030,-2.490
4,9:36,4,12,GNB 10,13,41,"Bryan Barker punts 40 yards, returned by Lance Frazier for 9 yards (tackle by Joey Thomas)",-2.490,-2.850
4,9:26,1,10,GNB 41,13,41,Vinny Testaverde pass complete to Jason Witten for 24 yards (tackle by Torrance Marshall). Penalty on Torrance Marshall: Defensive Pass Interference (Declined),2.850,4.440
4,9:05,1,10,GNB 17,13,41,Eddie George right guard for 12 yards (tackle by Al Harris),4.440,6.060
4,8:24,1,5,GNB 5,19,41,"Eddie George left end for 5 yards, touchdown",6.060,7.000
4,,,,GNB 2,20,41,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,DAL 30,20,41,"Billy Cundiff kicks off 59 yards, returned by Antonio Chatman for 11 yards (tackle by Bradie James)",0.000,0.410
4,8:13,1,10,GNB 22,20,41,Najeh Davenport left tackle for 6 yards (tackle by Tony Dixon and Eric Ogbogu),0.410,0.680
4,7:35,2,4,GNB 28,20,41,Brett Favre pass complete to William Henderson for 15 yards (tackle by Dexter Coakley),0.680,1.800
4,6:51,1,10,GNB 43,20,41,Najeh Davenport right guard for 4 yards (tackle by Chad Eaton),1.800,1.790
4,6:10,2,6,GNB 47,20,41,Brett Favre pass complete to Javon Walker for 15 yards (tackle by Terence Newman). Penalty on Terence Newman: Illegal Contact (Declined),1.790,3.050
4,5:26,1,10,DAL 38,20,41,"Najeh Davenport right tackle for 3 yards (tackle by Randal Williams). Penalty on Mike Wahle: Offensive Holding, 10 yards",3.050,2.590
4,5:05,1,17,DAL 45,20,41,Brett Favre pass complete to Javon Walker for 10 yards (tackle by Dat Nguyen),2.590,2.910
4,4:19,2,7,DAL 35,20,41,Najeh Davenport left end for 1 yard (tackle by Leonardo Carson),2.910,2.340
4,3:33,3,6,DAL 34,20,41,Brett Favre pass incomplete intended for Javon Walker,2.340,1.070
4,3:27,4,6,DAL 34,20,41,"Penalty on Jason Horton: False Start, 5 yards (no play)",1.070,0.660
4,3:28,4,11,DAL 39,20,41,Bryan Barker punts 38 yards,0.660,0.380
4,3:18,1,10,DAL 1,20,41,Vinny Testaverde pass complete to Quincy Morgan for 8 yards (tackle by Bhawoh Jue),-0.380,-0.200
4,2:46,2,2,DAL 9,20,41,Vinny Testaverde pass complete to Jason Witten for 5 yards (tackle by Ahmad Carroll),-0.200,-0.280
4,2:08,1,10,DAL 14,20,41,"Vinny Testaverde pass incomplete intended for Quincy Morgan. Penalty on Ahmad Carroll: Defensive Holding, 5 yards (no play)",-0.280,0.150
4,2:02,1,10,DAL 19,20,41,Vinny Testaverde pass complete to Jason Witten for 7 yards (tackle by Joey Thomas),0.150,0.610
4,1:55,2,3,DAL 26,20,41,Vinny Testaverde sacked by Cullen Jenkins and Aaron Kampman for -7 yards,0.610,-1.070
4,1:21,3,10,DAL 19,20,41,Vinny Testaverde pass incomplete intended for Dedric Ward,-1.070,-2.140
4,1:16,4,10,DAL 19,20,41,"Mat McBriar punts 54 yards, fair catch by Antonio Chatman",-2.140,-0.740
4,1:09,1,10,GNB 27,20,41,Craig Nall kneels for -1 yards,0.740,0.060
4,0:34,2,11,GNB 26,20,41,Craig Nall kneels for -1 yards,0.060,-0.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
