Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,16,10,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DAL 25,16,10,Cooper Rush pass complete short right to Michael Gallup for 5 yards (tackle by Leonard Floyd),0.610,0.740
3,14:25,2,5,DAL 30,16,10,Tony Pollard right end for 4 yards (tackle by Robert Rochell),0.740,0.560
3,13:50,3,1,DAL 34,16,10,Tony Pollard right tackle for 3 yards (tackle by Bobby Wagner),0.560,1.400
3,13:10,1,10,DAL 37,16,10,"Cooper Rush sacked by Jalen Ramsey for -8 yards. Cooper Rush fumbles (forced by Jalen Ramsey), recovered by Cooper Rush at DAL-29 (tackle by Jalen Ramsey)",1.400,-0.220
3,12:27,2,18,DAL 29,16,10,Cooper Rush left end for 2 yards (tackle by Terrell Burgess),-0.220,-0.620
3,11:48,3,16,DAL 31,16,10,Cooper Rush pass complete deep right to Michael Gallup for 27 yards,-0.620,2.790
3,11:20,1,10,LAR 42,16,10,Ezekiel Elliott up the middle for 8 yards (tackle by Terrell Burgess),2.790,3.320
3,10:41,2,2,LAR 34,16,10,Ezekiel Elliott up the middle for -2 yards (tackle by Greg Gaines),3.320,2.340
3,10:01,3,4,LAR 36,16,10,"Cooper Rush pass complete short right to CeeDee Lamb for 9 yards (tackle by Jalen Ramsey). Penalty on Grant Haley: Defensive Holding, 5 yards (declined)",2.340,3.780
3,9:45,1,10,LAR 27,16,10,Ezekiel Elliott up the middle for 3 yards (tackle by Marquise Copeland and Nick Scott),3.780,3.640
3,9:03,2,7,LAR 24,16,10,Ezekiel Elliott right tackle for 2 yards (tackle by Grant Haley and Aaron Donald),3.640,3.200
3,8:18,3,5,LAR 22,16,10,Cooper Rush pass incomplete short left intended for Noah Brown (defended by Bobby Wagner),3.200,2.040
3,8:15,4,5,LAR 22,19,10,Brett Maher 40 yard field goal good,2.040,3.000
3,8:11,,,DAL 35,19,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,8:11,1,10,LAR 25,19,10,Matthew Stafford sacked by Jourdan Lewis for no gain,0.610,0.060
3,7:31,2,10,LAR 25,19,10,Matthew Stafford pass complete short left to Darrell Henderson for 5 yards (tackle by Trevon Diggs),0.060,0.040
3,6:47,3,5,LAR 30,19,10,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Jourdan Lewis),0.040,1.600
3,6:06,1,10,LAR 40,19,10,Matthew Stafford pass complete short left to Darrell Henderson for 6 yards (tackle by Trevon Diggs),1.600,1.860
3,5:24,2,4,LAR 46,19,10,Cam Akers left tackle for 2 yards (tackle by Jayron Kearse and Dante Fowler),1.860,1.420
3,4:39,3,2,LAR 48,19,10,Matthew Stafford pass complete short middle to Tyler Higbee for 6 yards (tackle by Anthony Brown),1.420,2.520
3,4:03,1,10,DAL 46,19,10,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,2.520,1.980
3,3:58,,,,,,Timeout #1 by Los Angeles Rams,,
3,3:58,2,10,DAL 46,19,10,Matthew Stafford pass complete short right to Cooper Kupp for -1 yards (tackle by Anthony Brown),1.980,1.160
3,3:29,3,11,DAL 47,19,10,Matthew Stafford sacked by Micah Parsons for -11 yards,1.160,-0.590
3,2:53,4,22,LAR 42,19,10,Riley Dixon punts 53 yards out of bounds,-0.590,0.380
3,2:46,1,10,DAL 5,19,10,Tony Pollard left tackle for 6 yards (tackle by Takkarist McKinley and Ernest Jones),-0.380,-0.340
3,2:11,2,4,DAL 11,19,10,Tony Pollard right tackle for 3 yards (tackle by Greg Gaines and Marquise Copeland),-0.340,-0.370
3,1:35,3,1,DAL 14,19,10,"Tony Pollard right tackle for no gain (tackle by Bobby Wagner). Penalty on Peyton Hendershot: Offensive Holding, 7 yards (accepted) (no play)",-0.370,-1.190
3,1:19,3,8,DAL 7,19,10,Cooper Rush pass complete short left to Michael Gallup for 1 yard (tackle by Grant Haley),-1.190,-2.490
3,0:39,4,7,DAL 8,19,10,"Bryan Anger punts 35 yards, returned by Brandon Powell for 14 yards (tackle by Kelvin Joseph)",-2.490,-3.640
3,0:30,1,10,DAL 29,19,10,Cooper Kupp pass incomplete deep right intended for Cam Akers,3.640,3.100
3,0:23,2,10,DAL 29,19,10,"Darrell Henderson right tackle for no gain (tackle by Anthony Brown). Penalty on Ben Skowronek: Offensive Holding, 10 yards (accepted) (no play)",3.100,1.750
Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,20,DAL 39,19,10,Matthew Stafford pass complete short left to Allen Robinson for 1 yard (tackle by Anthony Barr),1.750,1.220
4,14:20,3,19,DAL 38,19,10,Matthew Stafford pass complete short right to Allen Robinson for 5 yards (tackle by Jourdan Lewis and Micah Parsons),1.220,1.150
4,13:38,4,14,DAL 33,19,10,Matt Gay 51 yard field goal no good,1.150,-1.660
4,13:34,1,10,DAL 41,19,10,Cooper Rush pass incomplete deep right intended for CeeDee Lamb (defended by Grant Haley),1.660,1.120
4,13:27,2,10,DAL 41,19,10,Ezekiel Elliott left tackle for 5 yards (tackle by Justin Hollins),1.120,1.090
4,12:46,3,5,DAL 46,19,10,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Grant Haley),1.090,-0.320
4,12:40,4,5,DAL 46,19,10,"Bryan Anger punts 44 yards, fair catch by Brandon Powell at LA-10",-0.320,0.380
4,12:33,1,10,LAR 10,19,10,Cam Akers up the middle for no gain (tackle by Sam Williams and Leighton Vander Esch),-0.380,-0.780
4,11:57,2,10,LAR 10,19,10,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by Trevon Diggs),-0.780,-0.600
4,11:24,3,3,LAR 17,19,10,Matthew Stafford pass incomplete short left intended for Ben Skowronek,-0.600,-2.320
4,11:20,4,3,LAR 17,19,10,"Riley Dixon punts 47 yards, returned by KaVontae Turpin for 12 yards (tackle by Matthew Orzech)",-2.320,-2.130
4,11:09,1,10,DAL 48,19,10,Ezekiel Elliott up the middle for 5 yards (tackle by Leonard Floyd and Ernest Jones),2.130,2.260
4,10:29,2,5,LAR 47,19,10,Ezekiel Elliott up the middle for 3 yards (tackle by Ernest Jones),2.260,1.950
4,9:46,3,2,LAR 44,19,10,Ezekiel Elliott up the middle for 7 yards (tackle by Terrell Burgess),1.950,3.120
4,9:06,1,10,LAR 37,19,10,Tony Pollard up the middle for 8 yards (tackle by A'Shawn Robinson),3.120,3.650
4,8:25,2,2,LAR 29,19,10,Tony Pollard right tackle for 3 yards (tackle by A'Shawn Robinson),3.650,3.840
4,7:45,1,10,LAR 26,19,10,Ezekiel Elliott up the middle for -2 yards (tackle by Marquise Copeland),3.840,3.030
4,7:06,2,12,LAR 28,19,10,Ezekiel Elliott up the middle for no gain (tackle by Terrell Burgess and Bobby Wagner),3.030,2.350
4,6:22,,,,,,Timeout #1 by Dallas Cowboys,,
4,6:22,3,12,LAR 28,19,10,Cooper Rush pass complete short left to CeeDee Lamb for 11 yards (tackle by Derion Kendrick),2.350,2.460
4,5:36,,,,,,Timeout #2 by Dallas Cowboys,,
4,5:36,4,1,LAR 17,22,10,Brett Maher 36 yard field goal good,2.460,3.000
4,5:32,,,DAL 35,22,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,5:32,1,10,LAR 25,22,10,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Jayron Kearse),0.610,0.600
4,5:10,2,6,LAR 29,22,10,Matthew Stafford pass complete short left to Darrell Henderson for 15 yards (tackle by Trevon Diggs),0.600,1.860
4,4:41,1,10,LAR 44,22,10,"Matthew Stafford pass complete short left to Cooper Kupp for 19 yards (tackle by Donovan Wilson). Penalty on Dante Fowler: Roughing the Passer, 15 yards (accepted)",1.860,4.110
4,4:33,1,10,DAL 22,22,10,Matthew Stafford pass complete short middle to Ben Skowronek for 6 yards (tackle by Anthony Barr and Anthony Brown),4.110,4.460
4,4:10,2,4,DAL 16,22,10,"Matthew Stafford pass incomplete short left intended for Cooper Kupp. Penalty on Rob Havenstein: Offensive Holding, 10 yards (accepted) (no play)",4.460,3.020
4,4:06,2,14,DAL 26,22,10,"Penalty on Trysten Hill: Encroachment, 5 yards (accepted) (no play)",3.020,3.700
4,4:06,2,9,DAL 21,22,10,Matthew Stafford sacked by Osa Odighizuwa for -4 yards,3.700,2.480
4,3:38,3,13,DAL 25,22,10,Matthew Stafford pass deep right intended for Allen Robinson is intercepted by Malik Hooker at DAL-1 and returned for 3 yards,2.480,0.380
4,3:29,1,10,DAL 4,22,10,Ezekiel Elliott up the middle for 1 yard (tackle by Justin Hollins and Marquise Copeland),-0.380,-0.710
4,3:23,,,,,,Timeout #2 by Los Angeles Rams,,
4,3:23,2,9,DAL 5,22,10,Ezekiel Elliott up the middle for 2 yards (tackle by Terrell Burgess and A'Shawn Robinson),-0.710,-1.070
4,3:17,,,,,,Timeout #3 by Los Angeles Rams,,
4,3:17,3,7,DAL 7,22,10,Ezekiel Elliott up the middle for -1 yards (tackle by Leonard Floyd and Greg Gaines),-1.070,-2.490
4,2:34,4,8,DAL 6,22,10,"Bryan Anger punts 53 yards, returned by Brandon Powell for 5 yards (tackle by Kelvin Joseph)",-2.490,-1.990
4,2:21,1,10,LAR 46,22,10,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Jayron Kearse),1.990,2.400
4,2:01,2,3,DAL 47,22,10,Matthew Stafford pass complete short left to Cooper Kupp for 16 yards (tackle by Donovan Wilson),2.400,3.510
4,1:56,1,10,DAL 31,22,10,Matthew Stafford pass complete short left to Ben Skowronek for 3 yards (tackle by Malik Hooker),3.510,3.370
4,1:40,2,7,DAL 28,22,10,"Matthew Stafford sacked by Micah Parsons for -9 yards. Matthew Stafford fumbles (forced by Micah Parsons), recovered by Sam Williams at DAL-39 (tackle by Micah Parsons)",3.370,-1.530
4,1:31,1,10,DAL 39,22,10,Cooper Rush kneels for -1 yards,1.530,0.850
4,0:52,2,11,DAL 38,22,10,Cooper Rush kneels for -1 yards,0.850,0.040
4,0:28,3,12,DAL 37,22,10,Cooper Rush kneels for -1 yards,0.040,-0.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
