Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
2,0:09,2,26,DEN 28,3,13,Joe Nedney 46 yard field goal good,2.060,3.000
2,0:04,,,SFO 30,3,13,"Joe Nedney kicks off 70 yards, touchback",0.000,0.280
2,0:04,1,10,DEN 20,3,13,Jake Plummer kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,3,13,"Paul Ernster kicks off 70 yards, returned by Maurice Hicks for 24 yards (tackle by Quentin Harris)",0.000,0.540
3,14:54,1,10,SFO 24,3,13,Frank Gore middle for 4 yards (tackle by Ebenezer Ekuban and John Lynch),0.540,0.540
3,14:11,2,6,SFO 28,3,13,Frank Gore left guard for 3 yards (tackle by John Lynch and Nate Webster),0.540,0.230
3,13:29,3,3,SFO 31,3,13,Alex Smith pass complete short right to Arnaz Battle for 5 yards (tackle by Champ Bailey),0.230,1.330
3,12:47,1,10,SFO 36,3,13,Frank Gore left tackle for 5 yards (tackle by Nate Webster),1.330,1.470
3,12:06,2,5,SFO 41,3,13,Alex Smith pass incomplete short right intended for Michael Robinson,1.470,0.760
3,11:59,,,,3,13,Timeout #1 by San Francisco 49ers,0.000,0.760
3,11:59,3,5,SFO 41,3,13,Alex Smith pass complete short right to Michael Robinson for 7 yards (tackle by Ian Gold),0.760,2.130
3,11:21,1,10,SFO 48,3,13,Frank Gore middle for 3 yards (tackle by D.J. Williams),2.130,1.990
3,10:40,2,7,DEN 49,3,13,Alex Smith pass complete short right to Vernon Davis for 6 yards (tackle by Champ Bailey and Nate Webster),1.990,2.080
3,10:04,3,1,DEN 43,3,13,Moran Norris middle for 4 yards (tackle by John Lynch),2.080,2.980
3,9:23,1,10,DEN 39,3,13,Alex Smith middle for 5 yards (tackle by John Engelberger),2.980,3.120
3,8:42,2,5,DEN 34,3,13,Frank Gore middle for 2 yards (tackle by Nate Webster),3.120,2.680
3,8:01,3,3,DEN 32,9,13,"Alex Smith pass complete short right to Moran Norris for 32 yards, touchdown",2.680,7.000
3,8:01,,,DEN 2,10,13,Joe Nedney kicks extra point good,0.000,0.000
3,7:52,,,SFO 30,10,13,"Joe Nedney kicks off 65 yards, returned by Quincy Morgan for 24 yards (tackle by B.J. Tucker)",0.000,0.870
3,7:46,1,10,DEN 29,10,13,Tatum Bell left guard for 3 yards (tackle by Jeff Ulbrich and Brandon Moore),0.870,0.730
3,7:13,2,7,DEN 32,10,13,Jay Cutler pass incomplete deep right intended for Javon Walker,0.730,0.040
3,7:05,3,7,DEN 32,10,13,"Jay Cutler pass complete short left to Brandon Marshall for 20 yards (tackle by Keith Lewis). Penalty on Stephen Alexander: Offensive Holding, 10 yards (no play)",0.040,-1.290
3,6:35,3,17,DEN 22,16,13,"Jay Cutler pass incomplete short left intended for Stephen Alexander is intercepted by Walt Harris at DEN-28 and returned for 28 yards, touchdown",-1.290,-7.000
3,,,,DEN 2,17,13,Joe Nedney kicks extra point good,0.000,0.000
3,,,,SFO 30,,,"Joe Nedney kicks off 66 yards, returned by Quincy Morgan for 46 yards",,
3,6:16,1,10,DEN 50,17,13,Jay Cutler pass complete short left to Rod Smith for 15 yards (tackle by Shawntae Spencer),2.260,3.250
3,5:44,1,10,SFO 35,17,13,Jay Cutler pass complete short left to Tony Scheffler for 16 yards (tackle by Keith Lewis),3.250,4.310
3,5:17,1,10,SFO 19,17,13,"Penalty on Tatum Bell: False Start, 5 yards (no play)",4.310,3.970
3,4:57,1,15,SFO 24,17,13,Jay Cutler pass incomplete deep left intended for Tony Scheffler,3.970,3.090
3,4:51,,,,17,13,Timeout #1 by Denver Broncos,0.000,3.090
3,4:51,2,15,SFO 24,17,13,Jay Cutler pass complete short left to Rod Smith for 10 yards (tackle by Walt Harris),3.090,3.760
3,4:18,3,5,SFO 14,17,13,Jay Cutler pass complete short right to Rod Smith for 10 yards (tackle by Shawntae Spencer),3.760,6.280
3,3:37,,,,17,13,Timeout #2 by Denver Broncos,0.000,6.280
3,3:37,1,4,SFO 4,17,13,Mike Bell right guard for -1 yards (tackle by Marques Douglas and Brandon Moore),6.280,5.150
3,2:51,2,5,SFO 5,17,13,Jay Cutler sacked by Mark Roman for -9 yards,5.150,3.000
3,2:16,,,,17,13,Timeout #3 by Denver Broncos,0.000,3.000
3,2:16,3,14,SFO 14,17,13,Jay Cutler pass complete short left to Javon Walker for 10 yards (tackle by Mark Roman),3.000,3.030
3,1:48,4,4,SFO 4,17,16,Jason Elam 22 yard field goal good,3.030,3.000
3,1:45,,,DEN 30,17,16,"Paul Ernster kicks off 59 yards, returned by Maurice Hicks for 20 yards (tackle by Nate Jackson)",0.000,1.000
3,1:39,1,10,SFO 31,17,16,Frank Gore middle for 2 yards (tackle by John Engelberger and Ian Gold),1.000,0.730
3,0:56,2,8,SFO 33,17,16,Arnaz Battle left end for 4 yards (tackle by Demetrin Veal),0.730,0.560
3,0:10,3,4,SFO 37,17,16,Alex Smith pass complete short left to Taylor Jacobs for 5 yards (tackle by Karl Paymah),0.560,1.730
Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 42,17,16,Frank Gore middle for 7 yards (tackle by D.J. Williams and John Lynch),1.730,2.130
4,14:21,2,3,SFO 49,17,16,Alex Smith pass complete deep right to Arnaz Battle for 35 yards (tackle by Champ Bailey),2.130,4.510
4,13:36,1,10,DEN 16,17,16,Frank Gore middle for 2 yards (tackle by Ian Gold and Michael Myers),4.510,4.210
4,12:52,2,8,DEN 14,17,16,Frank Gore right tackle for 3 yards (tackle by Nate Webster),4.210,3.940
4,12:08,3,5,DEN 11,17,16,Alex Smith pass incomplete short left intended for Taylor Jacobs,3.940,2.750
4,12:00,4,5,DEN 11,20,16,Joe Nedney 29 yard field goal good,2.750,3.000
4,11:57,,,SFO 30,20,16,"Joe Nedney kicks off 74 yards, returned by Quincy Morgan for 32 yards (tackle by Renaud Williams)",0.000,0.810
4,11:51,1,10,DEN 28,20,16,Jay Cutler pass incomplete short right intended for Rod Smith,0.810,0.260
4,11:47,2,10,DEN 28,20,16,"Jay Cutler pass complete short right to Tatum Bell for 15 yards (tackle by Shawntae Spencer). Tatum Bell fumbles (forced by Shawntae Spencer), recovered by Walt Harris at DEN-43 (tackle by Tatum Bell)",0.260,-2.720
,,,,,,,"SFO challenged the ruling, and the original play was overturned.",,
4,11:36,1,10,DEN 43,20,16,Frank Gore middle for 5 yards (tackle by Kenard Lang),2.720,2.850
4,10:57,2,5,DEN 38,20,16,"Frank Gore middle for 4 yards (tackle by Ian Gold). Penalty on Vernon Davis: Offensive Holding, 9 yards (no play)",2.850,1.640
4,10:31,2,14,DEN 47,20,16,Alex Smith pass complete short left to Arnaz Battle for 7 yards (tackle by Karl Paymah),1.640,1.880
4,9:45,3,7,DEN 40,20,16,Alex Smith pass incomplete intended for Taylor Jacobs,1.880,0.590
,,,,,,,"SFO challenged the ruling, and the original play was overturned.",,
4,9:40,4,7,DEN 40,20,16,"Andy Lee punts 34 yards, fair catch by David Kircus",0.590,0.380
4,9:34,1,10,DEN 6,20,16,Jay Cutler pass incomplete short right intended for Rod Smith,-0.380,-0.780
4,9:30,2,10,DEN 6,20,16,Jay Cutler pass complete short middle to Mike Bell for 3 yards (tackle by Manny Lawson),-0.780,-1.070
4,8:49,3,7,DEN 9,20,16,Jay Cutler pass incomplete short right intended for Rod Smith (defended by Walt Harris),-1.070,-2.490
4,8:44,4,7,DEN 9,20,16,"Paul Ernster punts 36 yards, returned by Brandon Williams for 1 yard (tackle by Brandon Marshall). Brandon Williams fumbles (forced by Brandon Marshall), recovered by Vernon Davis at DEN-41 (tackle by Patrick Chukwurah)",-2.490,-2.850
4,8:30,1,10,DEN 41,20,16,Frank Gore middle for 12 yards (tackle by Domonique Foxworth),2.850,3.640
4,7:45,1,10,DEN 29,20,16,Alex Smith sacked by Gerard Warren for -3 yards,3.640,2.700
4,7:10,2,13,DEN 32,20,16,Frank Gore left tackle for 5 yards (tackle by John Engelberger),2.700,2.680
4,6:23,,,,20,16,Timeout #2 by San Francisco 49ers,0.000,2.680
4,6:23,3,8,DEN 27,20,16,"Penalty on Adam Snyder: False Start, 6 yards (no play)",2.680,1.880
4,6:23,3,14,DEN 33,20,16,Alex Smith pass incomplete deep left intended for Taylor Jacobs,1.880,1.150
4,6:18,4,14,DEN 33,20,16,"Penalty on Ebenezer Ekuban: Defensive Delay of Game, 5 yards (no play)",1.150,1.590
4,6:18,4,9,DEN 28,23,16,Joe Nedney 46 yard field goal good,1.590,3.000
4,6:14,,,SFO 30,23,16,"Joe Nedney kicks off 70 yards, touchback",0.000,0.280
4,6:14,1,10,DEN 20,23,16,Mike Bell right tackle for 3 yards (tackle by Marques Douglas and Isaac Sopoaga),0.280,0.140
4,5:32,2,7,DEN 23,23,16,Jay Cutler pass incomplete short right intended for Javon Walker,0.140,-0.560
4,5:29,3,7,DEN 23,23,16,"Penalty on Erik Pears: False Start, 5 yards (no play)",-0.560,-1.330
4,5:29,3,12,DEN 18,23,16,Jay Cutler pass complete short left to Mike Bell for 24 yards (tackle by Walt Harris),-1.330,1.730
4,4:44,1,10,DEN 42,23,16,Mike Bell left guard for 8 yards (tackle by Melvin Oliver),1.730,2.270
4,4:03,2,2,DEN 50,23,16,Jay Cutler pass complete short right to Javon Walker for 3 yards (tackle by Walt Harris and Brandon Moore),2.270,2.460
4,3:22,1,10,SFO 47,23,16,Jay Cutler pass complete short right to David Kircus for 11 yards (tackle by Walt Harris and Brandon Moore),2.460,3.180
4,2:45,1,10,SFO 36,23,16,Mike Bell middle for 1 yard (tackle by Bryant Young),3.180,2.770
4,2:12,2,9,SFO 35,23,16,Jay Cutler pass complete short left to Brandon Marshall for 19 yards (tackle by Chad Williams),2.770,4.510
4,2:00,1,10,SFO 16,23,16,Jay Cutler pass complete short left to Mike Bell for 7 yards (tackle by Shawntae Spencer),4.510,5.160
4,1:35,2,3,SFO 9,23,22,"Jay Cutler pass complete short middle to Tony Scheffler for 9 yards, touchdown",5.160,7.000
4,1:35,,,SFO 2,23,23,Jason Elam kicks extra point good,0.000,0.000
4,1:30,,,DEN 30,23,23,"Paul Ernster kicks off 59 yards, returned by Maurice Hicks for 23 yards (tackle by Patrick Chukwurah)",0.000,1.200
4,1:25,1,10,SFO 34,23,23,Alex Smith pass complete short left to Vernon Davis for 5 yards (tackle by Hamza Abdullah),1.200,1.330
4,0:56,2,5,SFO 39,23,23,Alex Smith pass incomplete short middle intended for Frank Gore,1.330,0.630
4,0:52,3,5,SFO 39,23,23,Frank Gore left tackle for 3 yards (tackle by Elvis Dumervil and Hamza Abdullah),0.630,-0.590
4,0:09,4,2,SFO 42,23,23,"Andy Lee punts 58 yards, touchback",-0.590,-0.280
4,0:01,1,10,DEN 20,23,23,Jay Cutler kneels for -1 yards,0.280,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
,,,,,,,"Broncos won the coin toss, Broncos to receive the overtime kickoff.",,
OT,15:00,,,SFO 30,23,23,"Joe Nedney kicks off 71 yards, returned by Quincy Morgan for 28 yards (tackle by Deke Cooper)",0.000,0.740
OT,14:54,1,10,DEN 27,23,23,Jay Cutler pass complete short right to Brandon Marshall for 1 yard (tackle by Manny Lawson),0.740,0.330
OT,14:18,2,9,DEN 28,23,23,Jay Cutler pass complete short right to Rod Smith for 9 yards (tackle by Manny Lawson),0.330,1.400
OT,13:55,1,10,DEN 37,23,23,Mike Bell middle for 8 yards (tackle by Jeff Ulbrich and Brandon Moore),1.400,1.940
OT,13:15,2,2,DEN 45,23,23,Mike Bell middle for 1 yard (tackle by Bryant Young),1.940,1.360
OT,12:39,3,1,DEN 46,23,23,Mike Bell middle for -3 yards (tackle by Keith Lewis),1.360,-0.520
OT,11:57,4,4,DEN 43,23,23,"Paul Ernster punts 46 yards, fair catch by Brandon Williams",-0.520,0.350
OT,11:49,1,10,SFO 12,23,23,Frank Gore middle for 6 yards (tackle by D.J. Williams and Ian Gold),-0.350,-0.070
OT,11:11,2,4,SFO 18,23,23,Alex Smith pass complete short left to Frank Gore for 6 yards (tackle by Ian Gold),-0.070,0.540
OT,10:44,1,10,SFO 24,23,23,Moran Norris middle for 4 yards (tackle by Ian Gold and Michael Myers),0.540,0.540
OT,9:59,2,6,SFO 28,23,23,Alex Smith pass complete short middle to Michael Robinson for 12 yards (tackle by Ian Gold and D.J. Williams),0.540,1.600
OT,9:18,1,10,SFO 40,23,23,Frank Gore left guard for 10 yards (tackle by Ebenezer Ekuban),1.600,2.260
OT,8:35,1,10,DEN 50,23,23,Frank Gore middle for 6 yards (tackle by Ian Gold),2.260,2.520
OT,7:54,2,4,DEN 44,23,23,Frank Gore right guard for no gain (tackle by Michael Myers),2.520,1.820
OT,7:13,3,4,DEN 44,23,23,Alex Smith pass incomplete deep left intended for Bryan Gilmore,1.820,0.330
OT,7:07,4,4,DEN 44,23,23,"Andy Lee punts 33 yards, fair catch by David Kircus",0.330,0.370
OT,7:01,1,10,DEN 11,23,23,Jay Cutler pass incomplete short middle intended for Mike Bell (defended by Marques Douglas),-0.370,-0.780
OT,6:57,2,10,DEN 11,23,23,Mike Bell left guard for 6 yards (tackle by Jeff Ulbrich and Anthony Adams),-0.780,-0.720
OT,6:15,3,4,DEN 17,23,23,Jay Cutler pass complete short left to Javon Walker for 5 yards (tackle by Chad Williams),-0.720,0.410
OT,5:38,1,10,DEN 22,23,23,Jay Cutler pass complete short right to Tatum Bell for 2 yards (tackle by Isaac Sopoaga),0.410,0.140
OT,4:54,2,8,DEN 24,23,23,"Penalty on Ben Hamilton: False Start, 5 yards (no play)",0.140,-0.600
OT,4:52,,,,23,23,Timeout #1 by San Francisco 49ers,0.000,-0.600
OT,4:52,2,13,DEN 19,23,23,Jay Cutler pass incomplete deep middle intended for Brandon Marshall,-0.600,-1.290
OT,4:45,3,13,DEN 19,23,23,Jay Cutler pass incomplete deep left intended for Brandon Marshall,-1.290,-2.140
OT,4:40,4,13,DEN 19,23,23,"Paul Ernster punts 54 yards, returned by Brandon Williams for 12 yards (tackle by Patrick Chukwurah)",-2.140,-1.530
OT,4:28,1,10,SFO 39,23,23,Bryan Gilmore left end for 20 yards (tackle by Kenard Lang),1.530,2.850
OT,4:19,1,10,DEN 41,23,23,Alex Smith pass incomplete short left intended for Bryan Gilmore,2.850,2.310
OT,4:15,2,10,DEN 41,23,23,Frank Gore middle for 2 yards (tackle by Champ Bailey),2.310,1.880
OT,3:34,3,8,DEN 39,23,23,Alex Smith pass complete short left to Bryan Gilmore for 14 yards (tackle by Hamza Abdullah),1.880,3.910
OT,2:53,1,10,DEN 25,23,23,Frank Gore middle for 4 yards (tackle by Michael Myers),3.910,3.900
OT,2:11,2,6,DEN 21,23,23,Frank Gore middle for 3 yards (tackle by Nate Webster),3.900,3.660
OT,2:00,3,3,DEN 18,26,23,Joe Nedney 36 yard field goal good,3.660,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
