Quarter,Time,Down,ToGo,Location,DET,WAS,Detail,EPB,EPA
2,10:35,4,7,WAS 14,3,10,"Tress Way punts 55 yards, returned by Marvin Hall for 14 yards (tackle by Wendell Smallwood)",-2.470,-1.930
2,10:21,1,10,DET 45,3,10,"Bo Scarbrough right guard for 6 yards (tackle by Jonathan Allen and Cole Holcomb). Bo Scarbrough fumbles (forced by Cole Holcomb), recovered by Montae Nicholson at WAS-49",1.930,-2.190
2,10:08,1,10,WAS 49,3,10,Derrius Guice up the middle for 11 yards (tackle by Christian Jones and Tavon Wilson),2.190,2.920
2,9:27,1,10,DET 40,3,10,Derrius Guice up the middle for 2 yards (tackle by Tavon Wilson),2.920,2.640
2,8:42,2,8,DET 38,3,10,Dwayne Haskins pass complete deep left to Terry McLaurin for 26 yards (tackle by Will Harris),2.640,4.780
2,8:00,1,10,DET 12,3,10,"Penalty on Brandon Scherff: False Start, 5 yards (no play)",4.780,4.320
2,7:41,1,15,DET 17,3,10,"Penalty on Jeremy Sprinkle: False Start, 5 yards (no play)",4.320,4.110
2,7:23,1,20,DET 22,3,10,Dwayne Haskins pass complete short left to Paul Richardson for 6 yards (tackle by Amani Oruwariye),4.110,3.530
2,6:41,2,14,DET 16,3,10,Dwayne Haskins sacked by A'Shawn Robinson for -3 yards,3.530,2.610
2,5:54,3,17,DET 19,3,10,Dwayne Haskins pass incomplete deep right intended for Paul Richardson (defended by Amani Oruwariye),2.610,2.180
2,5:48,4,17,DET 19,3,13,Dustin Hopkins 37 yard field goal good,2.180,3.000
2,5:44,,,WAS 35,3,13,"Dustin Hopkins kicks off 53 yards, returned by Ty Johnson for 18 yards (tackle by Wendell Smallwood and Deshazor Everett)",0.000,0.940
2,5:39,1,10,DET 30,3,13,Jeff Driskel pass complete short middle to Kenny Golladay for 17 yards (tackle by Quinton Dunbar),0.940,2.060
2,5:03,1,10,DET 47,3,13,Bo Scarbrough left guard for 3 yards (tackle by Ryan Bee and Jonathan Bostic),2.060,1.920
2,4:20,2,7,DET 50,3,13,"Jeff Driskel left tackle for 8 yards (tackle by Ryan Kerrigan). Penalty on Fabian Moreau: Defensive Holding, 5 yards",1.920,3.120
2,3:55,1,10,WAS 37,3,13,Jeff Driskel left end for 5 yards (tackle by Cole Holcomb and Quinton Dunbar),3.120,3.250
2,3:15,2,5,WAS 32,3,13,Ty Johnson up the middle for -1 yards (tackle by Landon Collins),3.250,2.410
2,2:31,3,6,WAS 33,3,13,Jeff Driskel sacked by Cole Holcomb for -6 yards,2.410,0.660
2,2:25,,,,,,Timeout #1 by Washington Redskins,,
2,2:25,4,12,WAS 39,3,13,Sam Martin punts 34 yards downed by Dee Virgin,0.660,0.380
2,2:17,1,10,WAS 5,3,13,Adrian Peterson left tackle for 3 yards (tackle by Damon Harrison),-0.380,-0.560
2,2:00,2,7,WAS 8,3,13,Adrian Peterson left guard for 5 yards (tackle by Romeo Okwara and Tavon Wilson),-0.560,-0.480
2,1:21,3,2,WAS 13,3,13,Dwayne Haskins pass incomplete short right intended for Trey Quinn,-0.480,-2.490
2,1:16,4,2,WAS 13,3,13,Tress Way punts 45 yards downed by Simeon Thomas,-2.490,-1.730
2,1:05,1,10,DET 42,3,13,"Jeff Driskel pass incomplete short middle (defended by Jimmy Moreland). Penalty on Jimmy Moreland: Defensive Pass Interference, 8 yards (no play)",1.730,2.260
2,1:01,1,10,DET 50,3,13,Jeff Driskel pass complete short middle to Ty Johnson for 5 yards (tackle by Cole Holcomb and Fabian Moreau),2.260,2.390
2,0:41,2,5,WAS 45,3,13,Jeff Driskel pass complete short right,2.390,3.510
2,0:36,1,10,WAS 31,3,13,Jeff Driskel sacked by and Ryan Kerrigan for -8 yards and Jonathan Allen for -8 yards,3.510,1.890
2,0:27,,,,,,Timeout #1 by Detroit Lions,,
2,0:27,2,18,WAS 39,3,13,Jeff Driskel pass incomplete short left intended for T.J. Hockenson,1.890,1.220
2,0:24,,,,,,Timeout #2 by Washington Redskins,,
2,0:24,3,18,WAS 39,3,13,Jeff Driskel pass complete short right to Marvin Jones for 8 yards (tackle by Fabian Moreau),1.220,1.320
2,0:19,4,10,WAS 31,6,13,Matt Prater 49 yard field goal good,1.320,3.000
2,0:14,,,DET 35,6,13,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,0:14,1,10,WAS 25,6,13,Dwayne Haskins kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,DET,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,6,13,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DET 25,6,13,Bo Scarbrough right end for 11 yards (tackle by Jonathan Bostic and Landon Collins),0.610,1.330
3,14:22,1,10,DET 36,6,13,Bo Scarbrough right guard for 2 yards (tackle by Shaun Dion Hamilton),1.330,1.060
3,13:45,2,8,DET 38,6,13,Bo Scarbrough right end for 30 yards (tackle by Fabian Moreau),1.060,3.450
3,13:09,1,10,WAS 32,6,13,Jeff Driskel right end for no gain (tackle by Landon Collins),3.450,2.900
3,12:39,2,10,WAS 32,6,13,Ty Johnson left end for 5 yards (tackle by Jonathan Allen),2.900,2.870
3,11:56,3,5,WAS 27,6,13,Jeff Driskel pass complete short left to Jesse James for 7 yards (tackle by Shaun Dion Hamilton),2.870,4.240
3,11:17,1,10,WAS 20,6,13,"Penalty on Jeff Driskel: Delay of Game, 5 yards (no play)",4.240,3.910
3,11:04,1,15,WAS 25,6,13,Jeff Driskel pass complete short middle to Marvin Jones for 11 yards (tackle by Fabian Moreau),3.910,4.640
3,10:44,2,4,WAS 14,6,13,Jeff Driskel left end for 2 yards (tackle by Jimmy Moreland),4.640,4.340
3,10:08,3,2,WAS 12,12,13,"Jeff Driskel pass complete short right to Logan Thomas for 12 yards, touchdown. Penalty on Montae Nicholson: Unnecessary Roughness, 15 yards",4.340,7.000
3,10:03,,,WAS 15,13,13,Matt Prater kicks extra point good,0.000,0.000
3,10:03,,,DET 50,13,13,"Matt Prater kicks off 50 yards, touchback.",0.000,0.610
3,10:03,1,10,WAS 25,13,13,"Derrius Guice left end for 1 yard (tackle by Will Harris). Penalty on Will Harris: Lowering the Head to Initiate Contact, 15 yards",0.610,1.660
3,9:47,1,10,WAS 41,13,13,Dwayne Haskins pass incomplete short middle intended for Terry McLaurin,1.660,1.120
3,9:42,2,10,WAS 41,13,13,Derrius Guice right end for 3 yards (tackle by Devon Kennard),1.120,0.830
3,9:01,3,7,WAS 44,13,13,Dwayne Haskins pass incomplete short middle intended for Derrius Guice,0.830,-0.460
3,8:56,4,7,WAS 44,13,13,"Tress Way punts 56 yards, returned by Marvin Hall for 2 yards (tackle by Troy Apke)",-0.460,0.380
3,8:45,1,10,DET 2,13,13,Bo Scarbrough left guard for 8 yards (tackle by Landon Collins and Montae Nicholson),-0.380,-0.200
3,8:10,2,2,DET 10,13,13,Bo Scarbrough right guard for 4 yards (tackle by Landon Collins and Shaun Dion Hamilton),-0.200,-0.280
3,7:30,1,10,DET 14,13,13,Jeff Driskel pass incomplete short middle intended for Marvin Jones (defended by Jimmy Moreland),-0.280,-0.750
3,7:27,2,10,DET 14,13,13,Bo Scarbrough left end for -3 yards (tackle by Landon Collins),-0.750,-1.770
3,6:45,3,13,DET 11,13,13,Jeff Driskel pass complete short right to J.D. McKissic for 17 yards (tackle by Landon Collins),-1.770,0.810
3,6:00,1,10,DET 28,13,13,Jeff Driskel right end for 11 yards (tackle by Fabian Moreau),0.810,1.530
3,5:30,1,10,DET 39,13,13,"J.D. McKissic left end for 3 yards (tackle by Quinton Dunbar). Penalty on J.D. McKissic: Face Mask (15 Yards), 15 yards",1.530,0.740
3,5:08,1,22,DET 27,13,13,Jeff Driskel pass complete short middle to Marvin Jones for 5 yards (tackle by Ryan Anderson),0.740,0.040
3,4:27,2,17,DET 32,13,13,Jeff Driskel up the middle for 6 yards (tackle by Ryan Anderson),0.040,0.170
3,3:40,3,11,DET 38,13,13,Jeff Driskel sacked by Shaun Dion Hamilton for no gain,0.170,-0.850
3,3:00,4,11,DET 38,13,13,"Sam Martin punts 41 yards, fair catch by Trey Quinn at WAS-21",-0.850,-0.340
3,2:55,1,10,WAS 21,13,13,Adrian Peterson left guard for 2 yards (tackle by Jahlani Tavai),0.340,0.070
3,2:14,2,8,WAS 23,13,13,Dwayne Haskins pass incomplete deep right intended for Terry McLaurin (defended by Darius Slay),0.070,-0.630
3,2:10,3,8,WAS 23,13,13,Dwayne Haskins sacked by Jarrad Davis for -9 yards,-0.630,-2.470
3,1:32,4,17,WAS 14,13,13,"Penalty on Nick Sundberg: False Start, 5 yards (no play)",-2.470,-2.490
3,1:24,4,22,WAS 9,13,13,"Tress Way punts 56 yards, returned by Danny Amendola for 15 yards (tackle by Michael Burton)",-2.490,-2.260
3,1:11,1,10,DET 50,13,13,Bo Scarbrough left end for 7 yards (tackle by Shaun Dion Hamilton and Landon Collins),2.260,2.660
3,0:38,2,3,WAS 43,13,13,Jeff Driskel pass incomplete deep middle intended for Marvin Jones,2.660,1.950
3,0:31,3,3,WAS 43,13,13,Jeff Driskel pass complete short middle to Marvin Jones for 8 yards (tackle by Cole Holcomb),1.950,3.250
3,0:10,1,10,WAS 35,13,13,Jeff Driskel right end for 11 yards (tackle by Cole Holcomb),3.250,3.970
Quarter,Time,Down,ToGo,Location,DET,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,WAS 24,13,13,Bo Scarbrough right guard for 5 yards (tackle by Ryan Anderson and Cole Holcomb),3.970,4.120
4,14:18,2,5,WAS 19,13,13,"Jeff Driskel pass incomplete short right. Penalty on Kenny Wiggins: Offensive Holding, 10 yards (no play)",4.120,2.760
4,14:11,2,15,WAS 29,13,13,Jeff Driskel pass complete short right to Kenny Golladay for 9 yards (tackle by Jimmy Moreland),2.760,3.270
4,13:44,3,6,WAS 20,13,13,Jeff Driskel pass complete short middle to Logan Thomas for 12 yards (tackle by Jimmy Moreland),3.270,5.370
4,13:04,1,8,WAS 8,13,13,Jeff Driskel pass incomplete short left,5.370,4.570
4,12:54,2,8,WAS 8,13,13,Bo Scarbrough right guard for 5 yards (tackle by Jonathan Allen),4.570,4.720
4,12:09,3,3,WAS 3,13,13,Jeff Driskel pass incomplete short right intended for Marvin Jones,4.720,3.040
4,12:03,4,3,WAS 3,16,13,Matt Prater 21 yard field goal good,3.040,3.000
4,12:01,,,DET 35,16,13,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
4,12:01,1,10,WAS 25,16,13,Dwayne Haskins pass complete deep middle to Kelvin Harmon for 26 yards (tackle by Romeo Okwara),0.610,2.320
4,11:34,1,10,DET 49,16,13,Derrius Guice left end for -1 yards (tackle by Jarrad Davis),2.320,1.650
4,11:01,2,11,WAS 50,16,13,Derrius Guice right guard for 5 yards (tackle by A'Shawn Robinson and Will Harris),1.650,1.620
4,10:22,3,6,DET 45,16,13,Dwayne Haskins pass short left intended for Kelvin Harmon is intercepted by Amani Oruwariye at DET-35 and returned for no gain,1.620,-1.270
4,10:15,1,10,DET 35,16,13,"Bo Scarbrough right end for 25 yards (tackle by Montae Nicholson). Penalty on Ricky Wagner: Offensive Holding, 10 yards (no play)",1.270,0.610
4,9:56,1,20,DET 25,16,13,Ty Johnson left end for 3 yards (tackle by Quinton Dunbar and Jonathan Bostic),0.610,-0.220
4,9:20,2,17,DET 28,16,13,Jeff Driskel pass incomplete short middle intended for T.J. Hockenson,-0.220,-0.890
4,9:17,3,17,DET 28,16,13,Jeff Driskel pass complete short right to J.D. McKissic for no gain (tackle by Jimmy Moreland). Penalty on Kenny Golladay: Illegal Shift (Declined),-0.890,-1.500
4,9:03,4,17,DET 28,16,13,"Sam Martin punts 50 yards, returned by Trey Quinn for no gain (tackle by Dee Virgin)",-1.500,-0.410
4,8:55,1,10,WAS 22,16,13,"Derrius Guice left end for 14 yards (tackle by Jarrad Davis). Penalty on Donald Penn: Offensive Holding, 10 yards (no play)",0.410,-0.660
4,8:38,1,20,WAS 12,16,13,Derrius Guice right tackle for 3 yards (tackle by Jarrad Davis and Justin Coleman),-0.660,-1.210
4,7:54,2,17,WAS 15,16,13,Dwayne Haskins pass incomplete deep left intended for Kelvin Harmon (defended by Will Harris),-1.210,-2.050
4,7:48,3,17,WAS 15,16,13,Dwayne Haskins pass incomplete deep middle intended for Kelvin Harmon,-2.050,-2.440
4,7:41,4,17,WAS 15,16,13,"Tress Way punts 48 yards, returned by Danny Amendola for no gain (tackle by Deshazor Everett and Michael Burton). Penalty on Dee Virgin: Illegal Block Above the Waist, 10 yards",-2.440,-0.740
4,7:30,1,10,DET 27,16,13,Bo Scarbrough left guard for 4 yards (tackle by Landon Collins),0.740,0.740
4,6:46,2,6,DET 31,16,13,Bo Scarbrough left tackle for 1 yard (tackle by Deshazor Everett and Matthew Ioannidis),0.740,0.170
4,6:20,3,5,DET 32,16,13,"Jeff Driskel sacked by Montez Sweat for -2 yards. Jeff Driskel fumbles (forced by Montez Sweat), recovered by Graham Glasgow at DET-27 (tackle by Ryan Anderson and Shaun Dion Hamilton)",0.170,-1.370
4,5:43,4,7,DET 30,16,13,"Sam Martin punts 37 yards, returned by Trey Quinn for no gain (tackle by Jalen Reeves-Maybin). Penalty on Carroll Phillips: Illegal Block Above the Waist, 10 yards",-1.370,-0.410
4,5:31,1,10,WAS 22,16,13,Dwayne Haskins pass complete short left to Adrian Peterson for 22 yards (tackle by Will Harris),0.410,1.860
4,4:48,1,10,WAS 44,16,13,Dwayne Haskins pass complete short left to Terry McLaurin for 15 yards (tackle by Darius Slay),1.860,2.850
4,4:11,1,10,DET 41,16,13,Adrian Peterson right tackle for 6 yards (tackle by John Atkins),2.850,3.120
4,3:30,2,4,DET 35,16,13,Dwayne Haskins pass complete short right to Wendell Smallwood for 3 yards (tackle by Jarrad Davis and Tavon Wilson),3.120,2.810
4,2:45,3,1,DET 32,16,13,Adrian Peterson left guard for 2 yards (tackle by Romeo Okwara),2.810,3.580
4,2:11,1,10,DET 30,16,13,Steven Sims pass incomplete short left,3.580,3.030
4,2:03,2,10,DET 30,16,13,Dwayne Haskins pass complete short left to Derrius Guice for 6 yards (tackle by Tavon Wilson),3.030,3.140
4,1:58,3,4,DET 24,16,13,Dwayne Haskins pass incomplete deep right intended for Terry McLaurin,3.140,1.940
4,1:54,4,4,DET 24,16,16,Dustin Hopkins 42 yard field goal good,1.940,3.000
4,1:49,,,WAS 35,16,16,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,1:49,1,10,DET 25,16,16,Jeff Driskel pass complete short middle to Danny Amendola for 11 yards (tackle by Jimmy Moreland),0.610,1.330
4,1:26,1,10,DET 36,16,16,Jeff Driskel pass complete short right to Kenny Golladay for 1 yard (tackle by Montae Nicholson),1.330,0.930
4,1:02,2,9,DET 37,16,16,Jeff Driskel pass incomplete short right,0.930,0.230
4,0:54,3,9,DET 37,16,16,Jeff Driskel pass deep middle intended for Marvin Jones is intercepted by Quinton Dunbar at WAS-46 and returned for no gain,0.230,-1.990
4,0:48,1,10,WAS 46,16,16,Dwayne Haskins pass incomplete short left intended for Terry McLaurin (defended by Darius Slay),1.990,1.450
4,0:43,2,10,WAS 46,16,16,Dwayne Haskins up the middle for 11 yards (tackle by Amani Oruwariye and Tavon Wilson),1.450,2.720
4,0:36,,,,,,Timeout #1 by Washington Redskins,,
4,0:36,1,10,DET 43,16,16,Dwayne Haskins pass incomplete short middle intended for Steven Sims (defended by A'Shawn Robinson),2.720,2.180
4,0:32,2,10,DET 43,16,16,Dwayne Haskins pass complete short middle to Kelvin Harmon for 5 yards (tackle by Amani Oruwariye),2.180,2.150
4,0:26,,,,,,Timeout #2 by Washington Redskins,,
4,0:26,,,,,,Timeout #1 by Detroit Lions,,
4,0:26,3,5,DET 38,16,16,Dwayne Haskins pass complete short left to Terry McLaurin for 17 yards (tackle by Darius Slay),2.150,4.170
4,0:20,,,,,,Timeout #3 by Washington Redskins,,
4,0:20,1,10,DET 21,16,19,Dustin Hopkins 39 yard field goal good,4.170,3.000
4,0:16,,,WAS 35,16,19,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,0:16,1,10,DET 25,16,19,Jeff Driskel sacked by Ryan Anderson for -1 yards,0.610,-0.070
4,0:08,,,,,,Timeout #2 by Detroit Lions,,
4,0:08,2,11,DET 24,16,19,Jeff Driskel pass short middle intended for Marvin Jones is intercepted by Fabian Moreau at DET-31 and returned for 6 yards,-0.070,-3.910
4,0:02,1,10,DET 25,16,19,Case Keenum kneels for -1 yards,3.910,3.230
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
