Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
4,7:06,1,10,PHI 38,13,10,Taysom Hill sacked by Milton Williams for -7 yards,3.050,1.560
4,6:27,2,17,PHI 45,13,10,Andy Dalton pass incomplete short middle intended for Juwan Johnson,1.560,0.890
4,6:19,3,17,PHI 45,13,10,Andy Dalton pass incomplete short right,0.890,0.270
4,6:14,4,17,PHI 45,13,10,"Blake Gillikin punts 36 yards, fair catch by Britain Covey at PHI-9",0.270,0.380
4,6:07,1,10,PHI 9,13,10,Miles Sanders left end for 2 yards (tackle by Marshon Lattimore),-0.380,-0.630
4,5:31,2,8,PHI 11,19,10,"Gardner Minshew pass short left intended for A.J. Brown is intercepted by Marshon Lattimore at PHI-12 and returned for 12 yards, touchdown",-0.630,-7.000
4,5:27,,,PHI 15,20,10,Wil Lutz kicks extra point good,0.000,0.000
4,5:27,,,NOR 35,20,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,5:27,1,10,PHI 25,20,10,Gardner Minshew pass incomplete deep right intended for A.J. Brown,0.610,0.060
4,5:22,2,10,PHI 25,20,10,Gardner Minshew pass incomplete short right intended for Boston Scott,0.060,-0.620
4,5:17,3,10,PHI 25,20,10,Gardner Minshew pass complete deep left to DeVonta Smith for 28 yards (tackle by Daniel Sorensen),-0.620,2.460
4,4:47,1,10,NOR 47,20,10,"Gardner Minshew sacked by Cameron Jordan for -11 yards. Gardner Minshew fumbles (forced by Cameron Jordan), recovered by Gardner Minshew at PHI-42 and returned for 22 yards. Gardner Minshew fumbles (forced by Kaden Elliss), recovered by Gardner Minshew at PHI-42 and returned for 22 yards",2.460,0.430
4,4:17,2,21,PHI 42,20,10,Gardner Minshew pass complete short right to A.J. Brown for 4 yards (tackle by Paulson Adebo),0.430,0.300
4,3:50,3,17,PHI 46,20,10,Gardner Minshew pass incomplete short right intended for Dallas Goedert (defended by Paulson Adebo),0.300,-0.320
4,3:43,4,17,PHI 46,20,10,"Penalty on Jack Driscoll: False Start, 5 yards (accepted) (no play)",-0.320,-0.650
4,3:43,4,22,PHI 41,20,10,Gardner Minshew pass complete short left to DeVonta Smith for 11 yards (tackle by Marshon Lattimore),-0.650,-2.130
4,3:35,1,10,NOR 48,20,10,Taysom Hill right end for 9 yards (tackle by Marcus Epps),2.130,2.800
4,3:29,,,,,,Timeout #1 by Philadelphia Eagles,,
4,3:29,2,1,PHI 43,20,10,"Penalty on PHI: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",2.800,3.050
4,3:29,1,10,PHI 38,20,10,Taysom Hill up the middle for 7 yards (tackle by Fletcher Cox and Linval Joseph),3.050,3.450
4,3:20,,,,,,Timeout #2 by Philadelphia Eagles,,
4,3:20,2,3,PHI 31,20,10,Taysom Hill right tackle for 6 yards (tackle by T.J. Edwards),3.450,3.910
4,3:15,,,,,,Timeout #3 by Philadelphia Eagles,,
4,3:15,1,10,PHI 25,20,10,Taysom Hill right end for 5 yards (tackle by T.J. Edwards),3.910,4.040
4,2:32,2,5,PHI 20,20,10,Taysom Hill right tackle for 2 yards (tackle by T.J. Edwards),4.040,3.660
4,2:00,3,3,PHI 18,20,10,Alvin Kamara left guard for 4 yards (tackle by Milton Williams and T.J. Edwards),3.660,4.650
4,1:16,1,10,PHI 14,20,10,Andy Dalton kneels for -1 yards,4.650,3.850
4,0:37,2,11,PHI 15,20,10,Andy Dalton kneels for -1 yards,3.850,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
