Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
2,3:54,4,10,JAX 35,14,7,John Kasay 53 yard field goal no good,0.970,-1.800
2,3:50,1,10,JAX 43,14,7,Blaine Gabbert pass complete short right to Mike Thomas for 5 yards (tackle by Jabari Greer and Scott Shanle),1.800,1.930
2,3:08,2,5,JAX 48,14,7,Blaine Gabbert sacked by Will Smith for -8 yards. Penalty on Brad Meester: Offensive Holding (Declined),1.930,0.170
2,3:03,,,,14,7,Timeout #2 by New Orleans Saints,0.000,0.170
2,3:03,3,13,JAX 40,14,7,Blaine Gabbert pass complete short right to Jason Hill for 16 yards (tackle by Jonathan Vilma),0.170,2.650
2,2:23,1,10,NOR 44,14,7,Blaine Gabbert pass incomplete deep right intended for Zach Miller (defended by Jabari Greer),2.650,2.110
2,2:16,2,10,NOR 44,14,7,Blaine Gabbert pass complete short right to Maurice Jones-Drew for 3 yards (tackle by Roman Harper),2.110,1.820
2,2:00,3,7,NOR 41,14,7,Blaine Gabbert pass incomplete short right intended for Deji Karim,1.820,0.530
2,1:55,4,7,NOR 41,14,7,Matt Turk punts 28 yards,0.530,0.320
2,1:46,1,10,NOR 13,14,7,Drew Brees pass complete deep middle to Lance Moore for 21 yards (tackle by Chris Prosinski),-0.320,1.200
2,1:25,1,10,NOR 34,14,7,Drew Brees pass complete short left to Lance Moore for 2 yards (tackle by William Middleton),1.200,0.930
2,1:00,2,8,NOR 36,14,7,Drew Brees pass incomplete short left intended for Darren Sproles is intercepted by Daryl Smith at NOR-38 and returned for 25 yards (tackle by Drew Brees),0.930,-4.710
2,0:52,1,10,NOR 13,14,7,Blaine Gabbert pass incomplete short right intended for Marcedes Lewis,4.710,4.050
2,0:48,2,10,NOR 13,14,7,Blaine Gabbert pass incomplete short left intended for Mike Thomas,4.050,3.120
2,0:44,3,10,NOR 13,14,7,Blaine Gabbert pass incomplete short middle intended for Marcedes Lewis (defended by Sedrick Ellis),3.120,2.570
2,0:38,4,10,NOR 13,14,10,Josh Scobee 31 yard field goal good,2.570,3.000
2,,,,JAX 35,14,10,"Josh Scobee kicks off 71 yards, returned by Darren Sproles for 21 yards (tackle by Russell Allen)",0.000,-0.220
2,0:30,1,10,NOR 15,14,10,Drew Brees pass complete short right to Jimmy Graham for 6 yards (tackle by Rashean Mathis),-0.220,0.210
2,0:24,2,4,NOR 21,14,10,Drew Brees pass incomplete deep middle intended for Marques Colston,0.210,-0.630
2,0:18,3,4,NOR 21,14,10,Drew Brees pass complete deep left to Robert Meachem for 17 yards (tackle by William Middleton),-0.630,1.470
2,0:11,1,10,NOR 38,14,10,Drew Brees for 6 yards (tackle by Dawan Landry),1.470,1.730
2,0:05,,,,14,10,Timeout #2 by Jacksonville Jaguars,0.000,1.730
2,0:05,2,4,NOR 44,14,10,"Drew Brees pass incomplete deep right intended for Jimmy Graham. Penalty on D'Anthony Smith: Defensive 12 On-field, 5 yards (no play)",1.730,2.190
2,0:00,,,,14,10,Timeout #3 by New Orleans Saints,0.000,2.190
2,0:00,1,10,NOR 49,14,10,Drew Brees pass complete short left to Pierre Thomas for 17 yards (tackle by Tyson Alualu),2.190,3.310
Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,14,10,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,NOR 20,14,10,Pierre Thomas up the middle for 3 yards (tackle by D'Anthony Smith),0.280,0.140
3,14:24,2,7,NOR 23,14,10,Drew Brees pass complete short left to Lance Moore for 16 yards (tackle by William Middleton),0.140,1.530
3,14:04,1,10,NOR 39,14,10,Mark Ingram up the middle for 6 yards (tackle by Dawan Landry),1.530,1.800
3,13:30,2,4,NOR 45,14,10,Mark Ingram left end for no gain (tackle by William Middleton),1.800,1.090
3,13:00,3,4,NOR 45,14,10,Darren Sproles right end for 34 yards (tackle by Drew Coleman),1.090,4.170
3,12:24,1,10,JAX 21,14,10,Mark Ingram left end for 5 yards (tackle by William Middleton),4.170,4.370
3,11:48,2,5,JAX 16,14,10,Mark Ingram up the middle for 2 yards (tackle by Paul Posluszny and Clint Session),4.370,4.020
3,11:07,3,3,JAX 14,14,10,Drew Brees sacked by Austen Lane for -6 yards,4.020,2.120
3,10:50,4,9,JAX 20,17,10,John Kasay 38 yard field goal good,2.120,3.000
3,,,,NOR 35,17,10,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
3,10:45,1,10,JAX 20,17,10,Maurice Jones-Drew up the middle for 41 yards (tackle by Malcolm Jenkins),0.280,2.980
3,10:03,1,10,NOR 39,17,10,Deji Karim left end for -2 yards (tackle by Patrick Robinson),2.980,2.170
3,9:24,2,12,NOR 41,17,10,Blaine Gabbert pass incomplete short right intended for Mike Thomas,2.170,1.490
3,9:20,3,12,NOR 41,17,10,Blaine Gabbert pass incomplete short left intended for Jason Hill is intercepted by Patrick Robinson at NOR-26 and returned for 6 yards (tackle by Cecil Shorts),1.490,-1.070
