Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
2,1:33,,,GNB 35,14,21,"Mason Crosby kicks off 60 yards, returned by Andre Roberts for no gain (tackle by James Crawford and Natrell Jamerson)",0.000,1.000
2,1:27,1,10,NYJ 31,14,21,Sam Darnold pass incomplete deep right intended for Robby Anderson,1.000,0.460
2,1:21,2,10,NYJ 31,14,21,Sam Darnold pass incomplete deep right intended for Elijah McGuire,0.460,-0.230
2,1:12,3,10,NYJ 31,14,21,Sam Darnold pass incomplete short right intended for Deontay Burnett (defended by Tony Brown),-0.230,-1.310
2,1:07,4,10,NYJ 31,14,21,"Lac Edwards punts 41 yards, muffed catch by Tramon Williams, recovered by Tramon Williams at GB-24. Penalty on Trenton Cannon: Unnecessary Roughness, 15 yards",-1.310,-1.530
2,0:54,1,10,GNB 39,14,21,Jamaal Williams left end for 15 yards (tackle by Avery Williamson and Darryl Roberts),1.530,2.520
2,0:45,,,,,,Timeout #1 by Green Bay Packers,,
2,0:45,1,10,NYJ 46,14,21,Aaron Rodgers sacked by Frankie Luvu for no gain,2.520,1.980
2,0:40,,,,,,Timeout #2 by Green Bay Packers,,
2,0:40,2,10,NYJ 46,14,21,Aaron Rodgers pass complete short left to Jamaal Williams for 6 yards (tackle by Jamal Adams),1.980,2.080
2,0:36,3,4,NYJ 40,14,21,"Aaron Rodgers pass incomplete short left intended for Davante Adams. Penalty on Morris Claiborne: Illegal Use of Hands, 5 yards (no play)",2.080,3.250
2,0:33,1,10,NYJ 35,14,21,Aaron Rodgers pass complete short right to Jimmy Graham for 3 yards,3.250,3.110
2,0:28,2,7,NYJ 32,14,21,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 6 yards,3.110,3.200
2,0:24,3,1,NYJ 26,14,21,Aaron Rodgers pass complete short middle to Danny Vitale for 2 yards (tackle by Avery Williamson),3.200,3.970
2,0:17,,,,,,Timeout #3 by Green Bay Packers,,
2,0:17,1,10,NYJ 24,14,21,Aaron Rodgers pass incomplete short right intended for Jamaal Williams,3.970,3.430
2,0:12,2,10,NYJ 24,14,21,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,3.430,2.740
2,0:06,3,10,NYJ 24,17,21,Mason Crosby 42 yard field goal good,2.740,3.000
2,0:02,,,GNB 35,17,21,"Mason Crosby kicks off 64 yards, returned by Trenton Cannon for no gain",0.000,1.270
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,17,21,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,17,21,Aaron Rodgers pass complete short right to Lance Kendricks for 20 yards (tackle by Trumaine Johnson),0.610,1.930
3,14:25,1,10,GNB 45,17,21,Aaron Rodgers pass complete short right to Davante Adams for 6 yards (tackle by Trumaine Johnson),1.930,2.190
3,13:42,2,4,NYJ 49,17,21,Jamaal Williams left end for 1 yard (tackle by Neville Hewitt),2.190,1.620
3,12:58,3,3,NYJ 48,17,21,"Penalty on David Bakhtiari: False Start, 5 yards (no play)",1.620,0.960
3,12:42,3,8,GNB 47,17,21,Aaron Rodgers pass complete short left to Davante Adams for 8 yards (tackle by Jamal Adams),0.960,2.590
3,12:03,1,10,NYJ 45,17,21,Aaron Rodgers pass complete short right to Davante Adams for 11 yards,2.590,3.310
3,11:27,1,10,NYJ 34,17,21,Aaron Rodgers pass complete short left to Davante Adams for -3 yards (tackle by Buster Skrine),3.310,2.370
3,10:41,2,13,NYJ 37,17,21,Aaron Rodgers pass complete short right (tackle by Jamal Adams),2.370,4.310
3,10:00,1,10,NYJ 19,17,21,Aaron Rodgers pass complete short right to Lance Kendricks for 6 yards (tackle by Avery Williamson),4.310,4.720
3,9:14,2,4,NYJ 13,17,21,Jamaal Williams left tackle for 2 yards (tackle by Brandon Copeland and Henry Anderson),4.720,4.430
3,8:29,3,2,NYJ 11,17,21,Aaron Rodgers pass incomplete short right,4.430,2.820
3,8:20,4,2,NYJ 11,20,21,Mason Crosby 29 yard field goal good,2.820,3.000
3,8:17,,,GNB 35,20,21,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,8:17,1,10,NYJ 25,20,21,Sam Darnold pass complete short middle to Elijah McGuire for 14 yards (tackle by Blake Martinez),0.610,1.530
3,7:33,1,10,NYJ 39,20,21,Sam Darnold pass complete short left to Robby Anderson for 14 yards (tackle by Tony Brown),1.530,2.460
3,6:53,1,10,GNB 47,20,21,Sam Darnold pass complete short middle to Jermaine Kearse for 29 yards (tackle by Josh Jones and Tramon Williams),2.460,4.370
3,6:05,1,10,GNB 18,20,21,Sam Darnold left end for 1 yard (tackle by Antonio Morrison),4.370,3.940
3,5:32,2,9,GNB 17,20,21,Trenton Cannon right end for 2 yards (tackle by Josh Jones and Tyler Lancaster),3.940,3.460
3,4:49,3,7,GNB 15,20,21,Sam Darnold pass complete short right to Robby Anderson for 10 yards (tackle by Josh Jones),3.460,6.060
3,4:25,1,5,GNB 5,20,27,"Sam Darnold pass complete short right to Chris Herndon for 5 yards, touchdown",6.060,7.000
3,4:21,,,GNB 15,20,28,Jason Myers kicks extra point good,0.000,0.000
3,4:21,,,NYJ 35,20,28,"Jason Myers kicks off 67 yards, returned by J'Mon Moore for no gain (tackle by Anthony Wint). J'Mon Moore fumbles (forced by Anthony Wint), recovered by Rashard Robinson at GB-18 (tackle by Danny Vitale)",0.000,-4.370
3,4:14,1,10,GNB 18,20,28,"Sam Darnold pass complete short left to Eric Tomlinson for 5 yards (tackle by Josh Jones and Tyler Lancaster). Penalty on Jonotthan Harrison: Offensive Holding, 10 yards (no play)",4.370,3.710
3,3:45,1,20,GNB 28,20,28,Elijah McGuire right end for 8 yards (tackle by Blake Martinez and Josh Jones),3.710,3.560
3,2:58,2,12,GNB 20,20,34,"Sam Darnold pass complete short left to Elijah McGuire for 20 yards, touchdown",3.560,7.000
3,2:50,,,GNB 15,20,35,Jason Myers kicks extra point good,0.000,0.000
3,2:50,,,NYJ 35,20,35,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,2:50,1,10,GNB 25,20,35,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 15 yards (tackle by Buster Skrine),0.610,1.600
3,2:14,1,10,GNB 40,20,35,Aaron Rodgers pass complete short left to Jimmy Graham for 15 yards (tackle by Neville Hewitt),1.600,2.590
3,1:39,1,10,NYJ 45,20,35,"Jamaal Williams left tackle for no gain (tackle by Henry Anderson and Steve McLendon). Penalty on Bryan Bulaga: Offensive Holding, 10 yards (no play)",2.590,1.930
3,1:17,1,20,GNB 45,20,35,Aaron Rodgers pass complete short middle to Jamaal Williams for 10 yards (tackle by Trumaine Johnson and Buster Skrine),1.930,2.040
3,0:38,2,10,NYJ 45,20,35,"Aaron Rodgers pass incomplete short right. Penalty on Aaron Rodgers: Intentional Grounding, 11 yards",2.040,-0.100
3,0:33,3,21,GNB 44,20,35,Aaron Rodgers pass incomplete short middle intended for Jimmy Graham (defended by Avery Williamson),-0.100,-0.460
3,0:28,4,21,GNB 44,20,35,"JK Scott punts 35 yards, muffed catch by Chris Herndon",-0.460,-0.340
3,0:18,1,10,NYJ 21,20,35,Sam Darnold pass complete short left to Trenton Cannon for 5 yards (tackle by Josh Jones),0.340,0.480
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,NYJ 26,20,35,Trenton Cannon left end for 2 yards (tackle by Josh Jones),0.480,0.040
4,14:55,3,3,NYJ 28,20,35,Sam Darnold sacked by Blake Martinez for -8 yards,0.040,-2.030
4,14:17,4,11,NYJ 20,20,35,"Lac Edwards punts 41 yards, fair catch by Tramon Williams at GB-39",-2.030,-1.530
4,14:11,1,10,GNB 39,20,35,Aaron Rodgers sacked by Neville Hewitt for -9 yards,1.530,-0.230
4,13:31,2,19,GNB 30,20,35,Aaron Rodgers pass complete short left to Davante Adams for 8 yards (tackle by Jamal Adams),-0.230,0.170
4,12:53,3,11,GNB 38,20,35,Aaron Rodgers pass complete deep left to Marquez Valdes-Scantling for 42 yards (tackle by Morris Claiborne and Avery Williamson),0.170,4.240
4,12:04,1,10,NYJ 20,20,35,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,4.240,3.690
4,11:59,2,10,NYJ 20,20,35,Aaron Rodgers pass incomplete short left intended for Davante Adams,3.690,3.010
4,11:55,3,10,NYJ 20,20,35,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,3.010,2.120
4,11:49,4,10,NYJ 20,23,35,Mason Crosby 38 yard field goal good,2.120,3.000
4,11:45,,,GNB 35,23,35,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
4,11:45,1,10,NYJ 25,23,35,Sam Darnold pass complete short right to Robby Anderson for 12 yards (tackle by Tony Brown),0.610,1.400
4,11:06,1,10,NYJ 37,23,35,"Elijah McGuire left end for no gain (tackle by Kyler Fackrell). Penalty on Brent Qvale: Chop Block, 15 yards (no play)",1.400,0.410
4,10:37,1,25,NYJ 22,23,35,Sam Darnold pass complete deep left to Robby Anderson for 20 yards (tackle by Bashaud Breeland),0.410,1.530
4,9:54,2,5,NYJ 42,23,35,Sam Darnold pass incomplete short right intended for Robby Anderson,1.530,0.830
4,9:49,3,5,NYJ 42,23,35,Sam Darnold pass incomplete deep left intended for Robby Anderson (defended by Josh Jackson),0.830,-0.590
4,9:44,4,5,NYJ 42,23,35,Lac Edwards punts 52 yards downed by Trenton Cannon,-0.590,0.380
4,9:34,1,10,GNB 6,23,35,"Aaron Rodgers pass complete deep right (tackle by Darryl Roberts). Penalty on Darryl Roberts: Unnecessary Roughness, 15 yards",-0.380,1.930
4,9:08,1,10,GNB 45,23,35,Jamaal Williams left tackle for 4 yards (tackle by Neville Hewitt and Jamal Adams),1.930,1.920
4,8:37,2,6,GNB 49,23,35,Aaron Rodgers pass complete short right to Jamaal Williams for 5 yards (tackle by Buster Skrine),1.920,1.880
4,7:59,3,1,NYJ 46,23,35,Aaron Rodgers pass incomplete short right intended for Jamaal Williams,1.880,0.200
4,7:47,,,,,,Timeout #1 by Green Bay Packers,,
4,7:47,4,1,NYJ 46,23,35,Aaron Rodgers pass complete short left to Robert Tonyan for 11 yards (tackle by Neville Hewitt),0.200,3.250
4,7:18,1,10,NYJ 35,23,35,Aaron Rodgers pass complete short middle to Jake Kumerow for 6 yards (tackle by Trumaine Johnson),3.250,3.510
4,6:49,2,4,NYJ 29,23,35,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Avery Williamson),3.510,2.810
4,6:45,3,4,NYJ 29,23,35,"Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Buster Skrine: Defensive Pass Interference, 26 yards (no play)",2.810,6.510
4,6:41,1,3,NYJ 3,23,35,"Aaron Rodgers pass incomplete short right intended for Jimmy Graham (defended by Jamal Adams). Penalty on Jamal Adams: Defensive Pass Interference, 2 yards (no play)",6.510,6.970
4,6:37,1,1,NYJ 1,29,35,"Aaron Rodgers right end for 1 yard, touchdown",6.970,7.000
4,6:32,,,NYJ 15,30,35,Mason Crosby kicks extra point good,0.000,0.000
4,6:32,,,GNB 35,30,35,"Mason Crosby kicks off 56 yards, returned by Robby Anderson for no gain (tackle by Natrell Jamerson)",0.000,0.410
4,6:27,1,10,NYJ 22,30,35,Elijah McGuire up the middle for no gain (tackle by Tyler Lancaster),0.410,-0.130
4,5:46,2,10,NYJ 22,30,35,Sam Darnold pass complete short right to Jordan Leggett for 9 yards (tackle by Josh Jones),-0.130,0.370
4,5:03,3,1,NYJ 31,30,35,Sam Darnold up the middle for no gain (tackle by Montravius Adams and Dean Lowry),0.370,-1.310
4,4:34,4,1,NYJ 31,30,35,Rontez Miles up the middle for no gain (tackle by Antonio Morrison),-1.310,1.270
4,3:46,1,10,NYJ 35,30,35,"Elijah McGuire left end for no gain (tackle by Josh Jones). Penalty on Josh Jones: Face Mask (15 Yards), 15 yards (no play)",1.270,2.260
4,3:40,1,10,NYJ 50,30,35,"Andre Roberts left end for no gain (tackle by Tyler Lancaster). Penalty on Brian Winters: Offensive Holding, 10 yards (no play)",2.260,1.600
4,3:34,1,20,NYJ 40,30,35,Elijah McGuire right end for -3 yards (tackle by Tony Brown),1.600,-0.040
4,3:28,,,,,,Timeout #2 by Green Bay Packers,,
4,3:28,2,23,NYJ 37,30,35,Elijah McGuire right tackle for 4 yards (tackle by Tony Brown),-0.040,-0.160
4,3:24,,,,,,Timeout #3 by Green Bay Packers,,
4,3:24,3,19,NYJ 41,30,35,Sam Darnold pass incomplete short right,-0.160,-0.650
4,3:20,4,19,NYJ 41,30,35,Lac Edwards punts 42 yards downed by Charone Peake,-0.650,0.060
4,3:12,1,10,GNB 17,30,35,Aaron Rodgers pass complete short left to Jamaal Williams for 4 yards (tackle by Morris Claiborne),-0.060,0.080
4,3:06,2,6,GNB 21,30,35,Aaron Rodgers pass complete short middle to Jimmy Graham for 16 yards (tackle by Avery Williamson),0.080,1.400
4,2:39,1,10,GNB 37,30,35,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,1.400,0.860
4,2:30,2,10,GNB 37,30,35,Aaron Rodgers pass complete short right to Jake Kumerow for 13 yards (tackle by Trumaine Johnson),0.860,2.260
4,2:25,1,10,GNB 50,30,35,Aaron Rodgers pass complete short right to Jamaal Williams for 26 yards (tackle by Brandon Copeland),2.260,3.970
4,2:00,1,10,NYJ 24,30,35,Aaron Rodgers pass incomplete deep left intended for Davante Adams (defended by Buster Skrine),3.970,3.430
4,1:55,2,10,NYJ 24,30,35,Aaron Rodgers left end for 23 yards (tackle by Jamal Adams),3.430,6.970
4,1:32,,,,,,Timeout #1 by New York Jets,,
4,1:32,1,1,NYJ 1,30,35,Aaron Rodgers pass incomplete short right intended for Danny Vitale,6.970,5.910
4,1:27,2,1,NYJ 1,30,35,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,5.910,5.170
4,1:23,3,1,NYJ 1,30,35,Jamaal Williams up the middle for no gain (tackle by Frankie Luvu),5.170,3.550
4,1:16,,,,,,Timeout #2 by New York Jets,,
4,1:16,4,1,NYJ 1,36,35,"Aaron Rodgers up the middle for 1 yard, touchdown",3.550,7.000
4,1:12,,,NYJ 2,36,35,"Two Point Attempt: Aaron Rodgers pass incomplete intended for Jimmy Graham, conversion fails. Interception by Darryl Roberts, returned for a defensive two point conversion. Penalty on Darryl Roberts: Defensive Holding, 1 yard (no play)",0.000,0.000
4,1:12,,,NYJ 1,38,35,"Two Point Attempt: Aaron Rodgers rushes, conversion succeeds.",0.000,1.000
4,1:12,,,GNB 35,38,35,"Mason Crosby kicks off 54 yards, returned by Andre Roberts for no gain (tackle by James Crawford)",0.000,3.050
4,1:05,1,10,GNB 38,38,35,Sam Darnold pass complete short left to Chris Herndon for 9 yards (tackle by Eddie Pleasant),3.050,3.720
4,0:44,2,1,GNB 29,38,35,Sam Darnold pass complete short right to Chris Herndon for 14 yards (tackle by Blake Martinez),3.720,4.580
4,0:36,,,,,,Timeout #3 by New York Jets,,
4,0:36,1,10,GNB 15,38,35,Sam Darnold pass incomplete short middle intended for Chris Herndon,4.580,3.950
4,0:32,2,10,GNB 15,38,35,Sam Darnold pass incomplete short right intended for Deontay Burnett,3.950,3.100
4,0:26,3,10,GNB 15,38,35,Sam Darnold pass incomplete short left intended for Robby Anderson,3.100,2.440
4,0:21,4,10,GNB 15,38,38,Jason Myers 33 yard field goal good,2.440,3.000
4,0:17,,,NYJ 35,38,38,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,0:17,1,10,GNB 25,38,38,Aaron Rodgers kneels for -1 yards,0.610,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
,,,,,,,"Packers won the coin toss, Packers to receive the overtime kickoff.",,
OT,10:00,,,NYJ 35,38,38,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,GNB 25,38,38,Aaron Rodgers left end for 8 yards (tackle by Brandon Copeland),0.610,1.140
OT,9:14,2,2,GNB 33,38,38,Jamaal Williams up the middle for 7 yards (tackle by Henry Anderson),1.140,1.600
OT,8:41,1,10,GNB 40,38,38,Aaron Rodgers pass incomplete short right intended for Jamaal Williams (defended by Henry Anderson),1.600,1.050
OT,8:38,2,10,GNB 40,38,38,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for no gain (tackle by Morris Claiborne),1.050,0.370
OT,7:54,3,10,GNB 40,38,38,"Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Trumaine Johnson: Defensive Pass Interference, 33 yards (no play)",0.370,3.780
OT,7:47,1,10,NYJ 27,38,38,Jamaal Williams right tackle for 9 yards (tackle by Avery Williamson),3.780,4.530
OT,7:30,2,1,NYJ 18,38,38,Aaron Rodgers pass incomplete deep left intended for Davante Adams (defended by Morris Claiborne) Penalty on GNB: Illegal Shift (Offsetting) (no play),4.530,4.530
OT,7:26,2,1,NYJ 18,38,38,Jamaal Williams right tackle for 5 yards (tackle by Jamal Adams),4.530,4.710
OT,6:43,1,10,NYJ 13,38,38,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,4.710,4.050
OT,6:36,2,10,NYJ 13,38,38,"Aaron Rodgers pass incomplete short middle intended for Marquez Valdes-Scantling. Penalty on Buster Skrine: Defensive Pass Interference, 7 yards (no play)",4.050,5.830
OT,6:33,1,6,NYJ 6,38,38,"Aaron Rodgers right end for no gain. Penalty on Bryan Bulaga: Offensive Holding, 10 yards (no play)",5.830,4.310
OT,6:28,1,16,NYJ 16,44,38,"Aaron Rodgers pass complete deep middle to Davante Adams for 16 yards, touchdown",4.310,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
