Quarter,Time,Down,ToGo,Location,DET,LAR,Detail,EPB,EPA
2,0:18,2,10,LAR 18,13,17,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",,
2,0:18,2,15,LAR 23,13,17,Jared Goff pass incomplete deep left intended for Geronimo Allison,,
2,0:14,3,15,LAR 23,13,17,Jared Goff pass incomplete short right,,
2,0:09,4,15,LAR 23,16,17,Austin Seibert 41 yard field goal good,,
2,0:04,,,DET 35,16,17,"Austin Seibert kicks off 65 yards, touchback.",,
2,0:04,1,10,LAR 25,16,17,Matthew Stafford kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,DET,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,16,17,"Austin Seibert kicks off 63 yards, returned by Ben Skowronek for 17 yards (tackle by Jalen Reeves-Maybin)",,
3,14:54,1,10,LAR 19,16,17,Darrell Henderson right tackle for 1 yard (tackle by Charles Harris),,
3,14:32,2,9,LAR 20,16,17,Matthew Stafford pass incomplete deep right intended for Van Jefferson,,
3,14:26,3,9,LAR 20,16,17,"Matthew Stafford pass incomplete short middle intended for DeSean Jackson. Penalty on Julian Okwara: Defensive Offside, 5 yards (accepted) (no play)",,
3,14:21,3,4,LAR 25,16,17,Matthew Stafford pass complete to Robert Woods for 7 yards (tackle by Jalen Reeves-Maybin),,
3,13:40,1,10,LAR 32,16,17,Matthew Stafford pass complete short left to Darrell Henderson for 13 yards (tackle by Jerry Jacobs),,
3,13:18,1,10,LAR 45,16,17,Matthew Stafford pass incomplete deep left intended for DeSean Jackson,,
3,13:13,2,10,LAR 45,16,17,Matthew Stafford pass incomplete short middle intended for Darrell Henderson (defended by Tracy Walker),,
3,13:10,3,10,LAR 45,16,17,Matthew Stafford sacked by Julian Okwara for -7 yards,,
3,12:31,4,17,LAR 38,16,17,"Johnny Hekker punts 41 yards, fair catch by Kalif Raymond at DET-21",,
3,12:27,1,10,DET 21,16,17,"Jamaal Williams up the middle for -3 yards (tackle by Terrell Lewis). Penalty on Terrell Lewis: Unnecessary Roughness / Defense, 15 yards (accepted)",,
3,12:04,1,10,DET 33,16,17,Jared Goff sacked by Sebastian Joseph-Day for -5 yards,,
3,11:17,,,,,,Timeout #1 by Detroit Lions,,
3,11:17,2,15,DET 28,16,17,Jared Goff pass complete short right to D'Andre Swift for 9 yards (tackle by Jordan Fuller),,
3,10:35,3,6,DET 37,16,17,Jared Goff sacked by Kenny Young for -2 yards,,
3,10:02,4,8,DET 35,16,17,C.J. Moore left end for 28 yards (tackle by Ben Skowronek),,
3,9:16,1,10,LAR 37,16,17,D'Andre Swift left tackle for 3 yards (tackle by A'Shawn Robinson),,
3,8:36,2,7,LAR 34,16,17,Jared Goff pass complete short middle to T.J. Hockenson for 7 yards (tackle by Troy Reeder),,
3,8:01,1,10,LAR 27,16,17,D'Andre Swift up the middle for 4 yards (tackle by Greg Gaines),,
3,7:22,2,6,LAR 23,16,17,Jared Goff pass complete short middle to T.J. Hockenson for 5 yards (tackle by David Long and Jordan Fuller),,
3,6:41,3,1,LAR 18,16,17,D'Andre Swift up the middle for no gain (tackle by Leonard Floyd),,
3,6:19,4,1,LAR 18,16,17,D'Andre Swift up the middle for no gain (tackle by Kenny Young and Terrell Burgess),,
3,6:14,1,10,LAR 18,16,17,Matthew Stafford pass complete deep middle to Van Jefferson for 22 yards (tackle by Tracy Walker),,
3,5:48,1,10,LAR 40,16,17,"Matthew Stafford pass incomplete deep right intended for Tyler Higbee. Penalty on Will Harris: Illegal Contact, 5 yards (accepted) (no play)",,
3,5:42,1,10,LAR 45,16,17,Sony Michel right tackle for 4 yards (tackle by AJ Parker and Levi Onwuzurike),,
3,5:08,2,6,LAR 49,16,17,Matthew Stafford pass complete short right to Tyler Higbee for 5 yards (tackle by Jalen Reeves-Maybin),,
3,4:46,3,1,DET 46,16,17,Sony Michel left tackle for no gain (tackle by John Penisini and Levi Onwuzurike),,
3,4:00,4,1,DET 46,16,17,Matthew Stafford pass incomplete short left intended for Tyler Higbee (defended by Julian Okwara),,
3,3:56,1,10,DET 46,16,17,D'Andre Swift right tackle for 1 yard (tackle by Greg Gaines),,
3,3:17,2,9,DET 47,16,17,Jared Goff pass complete short middle to Kalif Raymond for 37 yards (tackle by Donte Deayon),,
3,2:36,1,10,LAR 16,16,17,Jamaal Williams up the middle for 3 yards (tackle by Aaron Donald and Sebastian Joseph-Day),,
3,1:57,2,7,LAR 13,16,17,Jared Goff pass incomplete short right,,
3,1:51,3,7,LAR 13,16,17,Jared Goff pass incomplete short right intended for D'Andre Swift,,
3,1:47,4,7,LAR 13,19,17,Austin Seibert 31 yard field goal good,,
3,1:43,,,DET 35,19,17,"Austin Seibert kicks off 64 yards, returned by Ben Skowronek for 19 yards (tackle by Brock Wright). Penalty on Jacob Harris: Offensive Holding, 10 yards (accepted)",,
3,1:38,1,10,LAR 10,19,17,Matthew Stafford pass complete short right to Cooper Kupp for 14 yards (tackle by AJ Parker),,
3,1:10,1,10,LAR 24,19,17,Darrell Henderson left end for -2 yards (tackle by Jerry Jacobs and Michael Brockers),,
3,0:28,2,12,LAR 22,19,17,Matthew Stafford pass incomplete deep right intended for Cooper Kupp,,
3,0:22,3,12,LAR 22,19,17,Matthew Stafford pass complete to Cooper Kupp for 59 yards (tackle by Tracy Walker),,
Quarter,Time,Down,ToGo,Location,DET,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 19,19,17,Matthew Stafford pass incomplete short left intended for Van Jefferson (defended by Jerry Jacobs),,
4,14:56,2,10,DET 19,19,17,Matthew Stafford pass incomplete short right intended for Cooper Kupp,,
4,14:50,3,10,DET 19,19,17,Matthew Stafford pass complete short middle to Tyler Higbee for 14 yards (tackle by Will Harris),,
4,14:04,1,5,DET 5,19,23,"Matthew Stafford pass complete short right to Cooper Kupp for 5 yards, touchdown",,
4,13:59,,,DET 2,19,25,Two Point Attempt: Matthew Stafford pass complete to to Robert Woods for no gain,,
4,13:59,,,LAR 35,19,25,"Matt Gay kicks off 65 yards, touchback.",,
4,13:59,1,10,DET 25,19,25,Jared Goff pass complete short middle to Darren Fells for 6 yards (tackle by Troy Reeder and Kenny Young),,
4,13:22,2,4,DET 31,19,25,D'Andre Swift right guard for 2 yards (tackle by Ogbonnia Okoronkwo and Troy Reeder),,
4,12:42,3,2,DET 33,19,25,"Jared Goff pass complete short middle to D'Andre Swift for 6 yards (tackle by Kenny Young). Penalty on A'Shawn Robinson: Illegal Use of Hands / Defense, 5 yards (declined)",,
4,12:21,1,10,DET 39,19,25,Jared Goff pass complete short middle to T.J. Hockenson for 5 yards (tackle by Jordan Fuller and Kenny Young),,
4,11:43,2,5,DET 44,19,25,Jared Goff pass complete short left to T.J. Hockenson for 4 yards (tackle by Jalen Ramsey),,
4,11:05,3,1,DET 48,19,25,Jamaal Williams left guard for 2 yards (tackle by Leonard Floyd and Aaron Donald),,
4,10:22,1,10,DET 50,19,25,"D'Andre Swift left end for no gain (tackle by Donte Deayon). Penalty on Halapoulivaati Vaitai: Offensive Holding, 10 yards (accepted) (no play)",,
4,10:04,1,20,DET 40,19,25,Jared Goff pass complete short right to KhaDarel Hodge for 3 yards (tackle by Donte Deayon),,
4,9:31,2,17,DET 43,19,25,Jared Goff pass complete short left to T.J. Hockenson for 6 yards (tackle by Jalen Ramsey),,
4,8:49,3,11,DET 49,19,25,D'Andre Swift left tackle for 11 yards (tackle by Taylor Rapp and Troy Reeder),,
4,8:07,,,,,,Timeout #1 by Los Angeles Rams,,
4,8:07,1,10,LAR 40,19,25,Jamaal Williams left guard for 14 yards (tackle by Jordan Fuller and Leonard Floyd),,
4,7:35,1,10,LAR 26,19,25,Jamaal Williams up the middle for 4 yards (tackle by Jonah Williams and A'Shawn Robinson),,
4,6:59,2,6,LAR 22,19,25,Jared Goff pass complete short right to D'Andre Swift for 5 yards (tackle by Sebastian Joseph-Day and Terrell Lewis),,
4,6:17,3,1,LAR 17,19,25,Jamaal Williams up the middle for 5 yards (tackle by Greg Gaines),,
4,5:43,1,10,LAR 12,19,25,Jamaal Williams right tackle for no gain (tackle by Kenny Young),,
4,5:03,2,10,LAR 12,19,25,Jared Goff pass short right intended for T.J. Hockenson is intercepted by Jalen Ramsey in end zone and returned for 25 yards (tackle by Jonah Jackson),,
4,4:53,1,10,LAR 23,19,25,Darrell Henderson left tackle for 3 yards (tackle by Trey Flowers and Julian Okwara),,
4,4:19,2,7,LAR 26,19,25,Matthew Stafford pass complete short right to Tyler Higbee for 6 yards (tackle by Tracy Walker and Trey Flowers),,
4,3:36,3,1,LAR 32,19,25,Matthew Stafford pass complete short left to Robert Woods for 18 yards (tackle by Jerry Jacobs),,
4,2:54,1,10,LAR 50,19,25,Darrell Henderson right tackle for 8 yards (tackle by Derrick Barnes and Jalen Reeves-Maybin),,
4,2:10,2,2,DET 42,19,25,Darrell Henderson left tackle for 4 yards (tackle by Jalen Reeves-Maybin),,
4,2:00,1,10,DET 38,19,25,Darrell Henderson up the middle for 4 yards (tackle by Alex Anzalone and Daryl Worley),,
4,1:54,,,,,,Timeout #2 by Detroit Lions,,
4,1:54,2,6,DET 34,19,25,Matthew Stafford pass complete short left to Van Jefferson for 5 yards (tackle by Will Harris),,
4,1:49,,,,,,Timeout #3 by Detroit Lions,,
4,1:49,3,1,DET 29,19,25,Darrell Henderson up the middle for no gain (tackle by Alex Anzalone and Michael Brockers),,
4,1:03,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:03,4,1,DET 29,19,28,Matt Gay 47 yard field goal good,,
4,0:58,,,LAR 35,19,28,"Matt Gay kicks off 67 yards, returned by Godwin Igwebuike for 27 yards (tackle by Ernest Jones)",,
4,0:52,1,10,DET 25,19,28,Jared Goff pass complete deep middle to Kalif Raymond for 17 yards (tackle by David Long),,
4,0:38,1,10,DET 42,19,28,Jared Goff spiked the ball,,
4,0:37,2,10,DET 42,19,28,Jared Goff pass complete short left to D'Andre Swift for 2 yards (tackle by Troy Reeder),,
4,0:32,3,8,DET 44,19,28,"Jared Goff pass short left intended for D'Andre Swift is intercepted by Nick Scott at DET-46 and returned for no gain Replay Assistant challenged the pass interception ruling, and the play was upheld.",,
4,0:25,1,10,DET 46,19,28,Matthew Stafford kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
