Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
2,,,,BAL 30,6,7,"Matt Stover kicks off 56 yards, muffed by Miles Austin, recovered by Miles Austin at DAL-19, and returned for 12 yards",0.000,1.000
2,10:45,1,10,DAL 31,6,7,Tony Romo pass complete short left to Tashard Choice for -1 yards (tackle by Terrell Suggs),1.000,0.320
2,9:59,2,11,DAL 30,6,7,Tony Romo pass complete deep middle to Terrell Owens for 22 yards (tackle by Ray Lewis),0.320,2.390
2,9:16,1,10,BAL 48,6,7,Tashard Choice left end for 3 yards (tackle by Jim Leonhard),2.390,2.250
2,8:32,2,7,BAL 45,6,7,Tony Romo pass incomplete short left intended for Tashard Choice,2.250,1.550
2,8:26,3,7,BAL 45,6,7,Tony Romo pass incomplete short middle intended for Terrell Owens,1.550,0.270
2,8:21,4,7,BAL 45,6,7,"Sam Paulescu punts 29 yards, fair catch by Jim Leonhard",0.270,0.140
2,8:14,1,10,BAL 16,6,7,Le'Ron McClain left tackle for 14 yards (tackle by Bradie James and Stephen Bowen),-0.140,0.940
2,7:39,1,10,BAL 30,6,7,Le'Ron McClain up the middle for -2 yards (tackle by Stephen Bowen),0.940,0.120
2,6:58,2,12,BAL 28,6,7,Joe Flacco pass complete short left to Derrick Mason for 6 yards,0.120,0.230
2,6:39,3,6,BAL 34,6,7,Joe Flacco pass complete deep middle to Derrick Mason for 19 yards (tackle by Pacman Jones),0.230,2.460
2,5:51,1,10,DAL 47,6,7,Joe Flacco pass incomplete deep middle intended for Todd Heap,2.460,1.910
2,5:45,2,10,DAL 47,6,7,Le'Ron McClain left tackle for 1 yard (tackle by Chris L. Canty),1.910,1.350
2,5:08,3,9,DAL 46,6,7,Joe Flacco sacked by Greg Ellis and Jay Ratliff for -9 yards,1.350,-0.390
2,4:36,4,18,BAL 45,6,7,Sam Koch punts 52 yards,-0.390,0.380
2,4:25,1,10,DAL 3,6,7,Tony Romo pass incomplete short right intended for Jason Witten,-0.380,-0.780
2,4:19,2,10,DAL 3,6,7,Tashard Choice right guard for 2 yards (tackle by Justin Bannan),-0.780,-1.190
2,3:36,3,8,DAL 5,6,7,Tony Romo pass incomplete deep left intended for Terrell Owens,-1.190,-2.490
2,3:28,4,8,DAL 5,6,7,"Sam Paulescu punts 46 yards, muffed catch by Jim Leonhard, recovered by Jim Leonhard and returned for no gain. Penalty on Frank Walker: Illegal Block Above the Waist, 10 yards",-2.490,-1.530
2,3:05,1,10,BAL 39,6,7,Le'Ron McClain right tackle for 1 yard (tackle by Stephen Bowen),1.530,1.120
2,2:36,2,9,BAL 40,6,7,Joe Flacco sacked by Marcus R. Spears for -6 yards,1.120,-0.360
2,2:00,3,15,BAL 34,6,7,Willis McGahee up the middle for 2 yards (tackle by Jay Ratliff),-0.360,-0.980
2,1:54,,,,6,7,Timeout #2 by Dallas Cowboys,0.000,-0.980
2,1:54,4,13,BAL 36,6,7,Sam Koch punts 51 yards,-0.980,0.320
2,1:44,1,10,DAL 13,6,7,Tony Romo pass complete short left to Tashard Choice for -1 yards (tackle by Bart Scott),-0.320,-0.850
2,1:39,2,11,DAL 12,6,7,Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by Jim Leonhard),-0.850,-0.590
2,1:17,3,3,DAL 20,6,7,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Bart Scott),-0.590,0.870
2,0:56,1,10,DAL 29,6,7,Tony Romo pass complete short middle to Tashard Choice for 8 yards,0.870,1.410
2,0:49,2,2,DAL 37,6,7,Tony Romo pass incomplete deep left intended for Terrell Owens,1.410,0.700
2,0:43,,,,6,7,Timeout #1 by Baltimore Ravens,0.000,0.700
2,0:43,3,2,DAL 37,6,7,Tony Romo pass incomplete deep left intended for Terrell Owens is intercepted by Ed Reed at BAL-20 and returned for 29 yards (tackle by Tashard Choice),0.700,-2.190
2,0:27,1,10,BAL 49,6,7,Joe Flacco pass complete short middle to Willis McGahee for 21 yards,2.190,3.580
2,0:19,1,10,DAL 30,6,7,Joe Flacco pass complete short left to Willis McGahee for -2 yards (tackle by DeMarcus Ware),3.580,2.760
2,0:12,,,,6,7,Timeout #2 by Baltimore Ravens,0.000,2.760
2,0:11,2,12,DAL 32,6,7,Willis McGahee left tackle for 13 yards (tackle by Ken Hamlin),2.760,4.310
2,0:02,,,,6,7,Timeout #3 by Baltimore Ravens,0.000,4.310
2,0:02,1,10,DAL 19,9,7,Matt Stover 37 yard field goal good,4.310,3.000
Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,9,7,"Nick Folk kicks off 69 yards, returned by Yamon Figurs for 21 yards (tackle by Keith Davis)",0.000,0.410
3,14:55,1,10,BAL 22,9,7,"Le'Ron McClain left tackle for 4 yards (tackle by Bradie James). Penalty on Jay Ratliff: Defensive Holding, 5 yards",0.410,1.000
3,14:30,1,10,BAL 31,9,7,Willis McGahee left end for -1 yards (tackle by Bradie James),1.000,0.320
3,13:45,2,11,BAL 30,9,7,Joe Flacco pass incomplete short right intended for Todd Heap,0.320,-0.360
3,13:41,3,11,BAL 30,9,7,Joe Flacco pass complete short left to Todd Heap for 1 yard (tackle by Bradie James),-0.360,-1.310
3,13:02,4,10,BAL 31,9,7,Sam Koch punts 37 yards,-1.310,-1.070
3,12:55,1,10,DAL 32,9,7,Tony Romo pass incomplete short left intended for Terrell Owens,1.070,0.530
3,12:49,2,10,DAL 32,9,7,Tashard Choice right tackle for 7 yards (tackle by Fabian Washington),0.530,0.760
3,12:09,3,3,DAL 39,9,7,Tony Romo right end for 2 yards (tackle by Jameel McClain),0.760,-0.650
3,11:25,4,1,DAL 41,9,7,"Sam Paulescu punts 47 yards, fair catch by Jim Leonhard",-0.650,0.350
3,11:17,1,10,BAL 12,9,7,Le'Ron McClain left end for 2 yards (tackle by Terence Newman and Zach Thomas),-0.350,-0.610
3,10:41,2,8,BAL 14,9,7,Le'Ron McClain left tackle for 4 yards (tackle by Ken Hamlin),-0.610,-0.720
3,10:00,3,4,BAL 18,9,7,Joe Flacco for 14 yards (tackle by Terence Newman),-0.720,1.070
3,9:37,1,10,BAL 32,9,7,Le'Ron McClain left tackle for 6 yards (tackle by Bradie James),1.070,1.340
3,8:57,2,4,BAL 38,9,7,Le'Ron McClain right tackle for 1 yard (tackle by Anthony Spencer),1.340,0.760
3,8:15,3,3,BAL 39,9,7,Joe Flacco pass incomplete short left intended for Todd Heap (defended by Kevin Burnett),0.760,-0.780
3,8:10,4,3,BAL 39,9,7,"Sam Koch punts 61 yards, touchback",-0.780,-0.280
3,8:02,1,10,DAL 20,9,7,Tashard Choice left tackle for no gain (tackle by Haloti Ngata),0.280,-0.270
3,7:17,2,10,DAL 20,9,7,Tashard Choice up the middle for 1 yard (tackle by Haloti Ngata),-0.270,-0.820
3,6:32,3,9,DAL 21,9,7,Tony Romo pass incomplete deep middle intended for Miles Austin,-0.820,-1.960
3,6:23,4,9,DAL 21,9,7,"Sam Paulescu punts 39 yards, returned by Jim Leonhard for 23 yards (tackle by Tra Battle)",-1.960,-3.120
3,6:12,1,10,DAL 37,9,7,Joe Flacco pass complete short right to Derrick Mason for 11 yards,3.120,3.840
3,5:50,1,10,DAL 26,9,7,"Le'Ron McClain up the middle for 2 yards (tackle by DeMarcus Ware). Le'Ron McClain fumbles (forced by DeMarcus Ware), recovered by Derrick Mason at DAL-24",3.840,3.570
3,5:10,2,8,DAL 24,9,7,Joe Flacco pass incomplete short left intended for Todd Heap,3.570,2.870
3,5:04,3,8,DAL 24,9,7,Joe Flacco pass complete short left to Willis McGahee for 2 yards (tackle by Kevin Burnett),2.870,2.020
3,4:24,4,6,DAL 22,9,7,Sam Koch left end for 9 yards (tackle by Justin Rogers and Tra Battle),2.020,4.710
3,3:42,,,,9,7,Timeout #1 by Baltimore Ravens,0.000,4.710
3,3:42,1,10,DAL 13,9,7,Le'Ron McClain left tackle for no gain (tackle by Anthony Spencer and Bradie James),4.710,4.050
3,2:58,2,10,DAL 13,15,7,"Joe Flacco pass complete short left to Derrick Mason for 13 yards, touchdown",4.050,7.000
3,,,,DAL 2,16,7,Matt Stover kicks extra point good,0.000,0.000
3,,,,BAL 30,16,7,"Matt Stover kicks off 56 yards, returned by Miles Austin for 18 yards (tackle by Marcus Smith)",0.000,1.070
3,2:46,1,10,DAL 32,16,7,Tony Romo pass complete short right to Tashard Choice for 2 yards (tackle by Bart Scott),1.070,0.800
3,2:13,2,8,DAL 34,16,7,Tony Romo pass complete short right to Terrell Owens for 5 yards (tackle by Ray Lewis),0.800,0.760
3,1:42,3,3,DAL 39,16,7,--,0.760,1.930
3,1:01,1,10,DAL 45,16,7,Tashard Choice up the middle for 9 yards (tackle by Frank Walker),1.930,2.600
3,0:27,2,1,BAL 46,16,7,Tashard Choice right tackle for 6 yards (tackle by Marques Douglas),2.600,2.920
Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 40,16,7,Tony Romo pass complete short right to Tashard Choice for 5 yards (tackle by Fabian Washington),2.920,3.050
4,14:41,2,5,BAL 35,16,7,Tashard Choice up the middle for 2 yards (tackle by Ray Lewis),3.050,2.610
4,13:54,3,3,BAL 33,16,7,--,2.610,3.910
4,13:06,1,10,BAL 25,16,7,Tony Romo pass complete short right to Tashard Choice for 5 yards (tackle by Terrell Suggs),3.910,4.040
4,12:24,2,5,BAL 20,16,7,Tashard Choice right tackle for 4 yards (tackle by Ray Lewis),4.040,4.060
4,11:37,3,1,BAL 16,16,7,"Tony Romo for no gain. Tony Romo fumbles, ball out of bounds at BAL-17",4.060,2.440
4,11:32,4,2,BAL 17,16,10,Nick Folk 35 yard field goal good,2.440,3.000
4,,,,DAL 30,16,10,"Nick Folk kicks off 64 yards, returned by Yamon Figurs for 22 yards (tackle by Kevin Burnett)",0.000,0.810
4,11:22,1,10,BAL 28,16,10,Le'Ron McClain left guard for 4 yards (tackle by Tank Johnson),0.810,0.800
4,10:47,2,6,BAL 32,16,10,Joe Flacco pass incomplete deep left intended for Mark Clayton,0.800,0.100
4,10:39,,,,16,10,Timeout #2 by Baltimore Ravens,0.000,0.100
4,10:39,3,6,BAL 32,16,10,Joe Flacco pass complete short right to Mark Clayton for 11 yards (tackle by Pacman Jones),0.100,1.800
4,10:13,1,10,BAL 43,16,10,Willis McGahee right tackle for 8 yards (tackle by Anthony Spencer),1.800,2.330
4,9:31,2,2,DAL 49,16,10,"Penalty on Marcus R. Spears: Defensive Offside, 5 yards (no play)",2.330,2.650
4,9:12,1,10,DAL 44,16,10,"Le'Ron McClain right end for 7 yards (tackle by Keith Davis). Penalty on Bradie James: Unnecessary Roughness, 15 yards",2.650,4.110
4,8:50,1,10,DAL 22,16,10,Willis McGahee up the middle for 2 yards (tackle by Bradie James),4.110,3.830
4,8:06,2,8,DAL 20,16,10,Joe Flacco pass complete short right to Lorenzo Neal for -1 yards (tackle by DeMarcus Ware),3.830,3.010
4,7:20,3,9,DAL 21,16,10,Willis McGahee up the middle for 4 yards (tackle by DeMarcus Ware and Bradie James),3.010,2.360
4,6:34,4,5,DAL 17,19,10,Matt Stover 35 yard field goal good,2.360,3.000
4,,,,BAL 30,19,10,"Matt Stover kicks off 63 yards, returned by Miles Austin for 23 yards (tackle by Tom Zbikowski)",0.000,0.940
4,6:23,1,10,DAL 30,19,10,Tony Romo pass incomplete deep left,0.940,0.390
4,6:18,2,10,DAL 30,19,10,Tony Romo pass complete short left to Terrell Owens for 9 yards,0.390,0.890
4,5:49,3,1,DAL 39,19,10,Tashard Choice up the middle for 9 yards (tackle by Antwan Barnes),0.890,2.130
4,5:26,1,10,DAL 48,19,10,"Penalty on Marc Colombo: False Start, 5 yards (no play)",2.130,1.800
4,5:05,1,15,DAL 43,19,10,Tony Romo pass complete deep middle to Jason Witten for 35 yards (tackle by Ed Reed),1.800,4.110
4,4:37,1,10,BAL 22,19,10,Tony Romo pass incomplete (defended by Terrell Suggs),4.110,3.560
4,4:31,2,10,BAL 22,19,10,Tony Romo pass complete short right to Patrick Crayton for 15 yards (tackle by Fabian Washington),3.560,5.600
4,3:57,1,7,BAL 7,19,10,Tony Romo pass incomplete short left,5.600,4.760
4,3:54,2,7,BAL 7,19,16,"Tony Romo pass complete short right to Terrell Owens for 7 yards, touchdown",4.760,7.000
4,,,,BAL 2,19,17,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 30,19,17,"Nick Folk kicks off 66 yards, returned by Yamon Figurs for 19 yards (tackle by Steve Octavien). Yamon Figurs fumbles (forced by Steve Octavien), recovered by Daren Stone at BAL-23",0.000,0.480
4,3:42,1,10,BAL 23,25,17,"Willis McGahee up the middle for 77 yards, touchdown",0.480,7.000
4,,,,DAL 2,26,17,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,26,17,"Matt Stover kicks off 62 yards, returned by Miles Austin for 22 yards. Miles Austin fumbles, recovered by Kevin Burnett at DAL-29",0.000,0.870
4,3:25,1,10,DAL 29,26,17,Tony Romo pass incomplete short right intended for Tashard Choice,0.870,0.330
4,3:21,2,10,DAL 29,26,17,Tony Romo pass incomplete short left,0.330,-0.360
4,3:16,3,10,DAL 29,26,17,Tony Romo pass complete short middle to Jason Witten for 14 yards (tackle by Corey Ivy),-0.360,1.800
4,2:51,1,10,DAL 43,26,17,Tony Romo pass incomplete short left intended for Tashard Choice,1.800,1.250
4,2:45,2,10,DAL 43,26,17,Tony Romo pass incomplete short middle intended for Patrick Crayton,1.250,0.560
4,2:41,3,10,DAL 43,26,17,Tony Romo pass complete deep middle to Patrick Crayton for 25 yards (tackle by Jim Leonhard),0.560,3.450
4,2:13,1,10,BAL 32,26,17,Tony Romo sacked by Jameel McClain for -12 yards,3.450,1.280
4,2:00,2,22,BAL 44,26,17,Tony Romo pass complete deep right to Terrell Owens for 20 yards,1.280,3.270
4,1:55,3,2,BAL 24,26,17,Tashard Choice right end for 3 yards (tackle by Evan Oglesby),3.270,4.170
4,1:50,1,10,BAL 21,26,17,Tony Romo pass incomplete short middle intended for Patrick Crayton (defended by Fabian Washington),4.170,3.630
4,1:41,2,10,BAL 21,26,23,"Tony Romo pass complete deep middle to Jason Witten for 21 yards, touchdown",3.630,7.000
4,,,,BAL 2,26,24,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 30,26,24,"Nick Folk kicks off 64 yards, returned by Mark Clayton for 12 yards (tackle by Justin Rogers)",0.000,0.040
4,1:33,1,10,BAL 18,32,24,"Le'Ron McClain right tackle for 82 yards, touchdown",0.040,7.000
4,,,,DAL 2,33,24,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,33,24,"Matt Stover kicks off 55 yards, returned by Pacman Jones for 41 yards (tackle by Matt Stover)",0.000,2.650
4,1:10,1,10,BAL 44,33,24,"Penalty on Flozell Adams: False Start, 5 yards (no play)",2.650,2.320
4,1:10,1,15,BAL 49,33,24,Tony Romo pass incomplete short middle,2.320,1.440
4,1:06,2,15,BAL 49,33,24,"Penalty on Tony Romo: Delay of Game, 5 yards (no play)",1.440,0.760
4,1:06,2,20,DAL 46,33,24,Tony Romo pass incomplete,0.760,0.100
4,1:00,3,20,DAL 46,33,24,Tony Romo pass complete short right to Patrick Crayton for 18 yards (tackle by Corey Ivy),0.100,0.890
4,0:57,,,,33,24,Timeout #1 by Dallas Cowboys,0.000,0.890
4,0:57,4,2,BAL 36,33,24,--,0.890,-1.470
4,0:52,1,10,BAL 38,33,24,Joe Flacco kneels for -4 yards,1.470,0.380
4,0:48,,,,33,24,Timeout #2 by Dallas Cowboys,0.000,0.380
4,0:48,2,14,BAL 34,33,24,Joe Flacco kneels for -4 yards,0.380,-0.820
4,0:44,,,,33,24,Timeout #3 by Dallas Cowboys,0.000,-0.820
4,0:44,3,18,BAL 30,33,24,Joe Flacco kneels for -2 yards,-0.820,-1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
