Quarter,Time,Down,ToGo,Location,NWE,NOR,Detail,EPB,EPA
3,10:28,,,NWE 30,17,24,"Stephen Gostkowski kicks off 70 yards, returned by Courtney Roby for 26 yards (tackle by Pierre Woods)",0.000,0.670
3,10:24,1,10,NOR 26,17,24,Drew Brees pass complete deep right to Marques Colston for 68 yards (tackle by Brandon Meriweather),0.670,5.830
3,9:39,1,6,NWE 6,17,24,Mike Bell right guard for 4 yards (tackle by Jerod Mayo and Jonathan Wilhite),5.830,5.720
3,9:06,2,2,NWE 2,17,30,"Drew Brees pass complete short right to Darnell Dinkins for 2 yards, touchdown",5.720,7.000
3,9:06,,,NWE 2,17,31,John Carney kicks extra point good,0.000,0.000
3,9:06,,,NOR 30,17,31,"Thomas Morstead kicks off 73 yards, returned by Matt Slater for 21 yards (tackle by Lynell Hamilton)",0.000,0.040
3,8:58,1,10,NWE 18,17,31,"Wes Welker right end for 11 yards (tackle by Jonathan Vilma). Penalty on Jonathan Vilma: Personal Foul, 15 yards",0.040,1.860
3,8:29,1,10,NWE 44,17,31,Sammy Morris right guard for 6 yards (tackle by Sedrick Ellis),1.860,2.130
3,7:50,2,4,,17,31,Kevin Faulk left guard for 14 yards (tackle by Darren Sharper),2.130,3.180
3,7:03,1,10,NOR 36,17,31,Tom Brady pass complete short left to Ben Watson for 3 yards (tackle by Roman Harper),3.180,3.040
3,6:19,2,7,NOR 33,17,31,Tom Brady pass incomplete short left intended for Sam Aiken (defended by Mike McKenzie),3.040,2.350
3,6:15,3,7,NOR 33,17,31,Tom Brady pass complete short left to Sam Aiken for 17 yards (tackle by Darren Sharper),2.350,4.510
3,5:47,1,10,NOR 16,17,31,Sammy Morris left end for 3 yards (tackle by Jonathan Vilma and Jeff Charleston),4.510,4.390
3,5:03,2,7,NOR 13,17,31,Tom Brady pass incomplete,4.390,3.540
3,4:57,3,7,NOR 13,17,31,Tom Brady pass complete short middle to Wes Welker for 3 yards (tackle by Malcolm Jenkins and Darren Sharper),3.540,2.840
3,4:12,3,7,NOR 13,17,31,Timeout #1 by New England Patriots,3.540,2.840
3,4:12,4,4,NOR 10,17,31,Tom Brady pass incomplete short left intended for Randy Moss (defended by Mike McKenzie),2.840,0.380
3,4:08,1,10,NOR 10,17,31,Mike Bell right guard for 6 yards (tackle by Jerod Mayo and Pierre Woods),-0.380,-0.230
3,3:29,2,4,NOR 16,17,31,Pierre Thomas right guard for 3 yards (tackle by Gary Guyton and Derrick Burgess),-0.230,-0.370
3,2:45,3,1,NOR 19,17,31,Mike Bell right guard for 6 yards (tackle by Gary Guyton and Vince Wilfork),-0.370,0.610
3,2:08,1,10,NOR 25,17,31,Drew Brees pass complete short right to Robert Meachem for 12 yards (tackle by Brandon Meriweather),0.610,1.400
3,1:21,1,10,NOR 37,17,31,Drew Brees sacked by Adalius Thomas for -4 yards,1.400,0.320
3,0:49,2,14,NOR 33,17,31,Pierre Thomas right guard for 2 yards (tackle by Ty Warren and Brandon Meriweather),0.320,-0.100
Quarter,Time,Down,ToGo,Location,NWE,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,12,NOR 35,17,31,Drew Brees pass incomplete short left intended for Marques Colston,-0.100,-1.040
4,14:56,4,12,NOR 35,17,31,"Thomas Morstead punts 50 yards, fair catch by Wes Welker",-1.040,0.220
4,14:47,1,10,NWE 15,17,31,Tom Brady pass incomplete deep right intended for Sam Aiken,-0.220,-0.710
4,14:42,2,10,NWE 15,17,31,Kevin Faulk right end for 1 yard (tackle by Sedrick Ellis),-0.710,-1.250
4,14:01,3,9,NWE 16,17,31,Tom Brady pass complete short right to Wes Welker for 4 yards (tackle by Malcolm Jenkins),-1.250,-2.030
4,13:21,4,5,NWE 20,17,31,"Chris Hanson punts 50 yards, returned by Devery Henderson for -5 yards (tackle by Rob Ninkovich)",-2.030,-0.610
4,13:07,1,10,NOR 25,17,31,Drew Brees pass complete short left to Marques Colston for 27 yards (tackle by Darius Butler),0.610,2.390
4,12:17,1,10,NWE 48,17,31,Mike Bell left tackle for 5 yards (tackle by Vince Wilfork),2.390,2.520
4,11:36,2,5,NWE 43,17,31,Drew Brees pass incomplete short left intended for David Thomas,2.520,1.820
4,11:32,3,5,NWE 43,17,31,Drew Brees pass complete short left to Robert Meachem for 6 yards (tackle by Leigh Bodden),1.820,3.120
4,10:49,1,10,NWE 37,17,31,Pierre Thomas left end for 5 yards (tackle by Jerod Mayo and Tully Banta-Cain),3.120,3.250
4,10:09,2,5,NWE 32,17,31,Mike Bell left tackle for no gain (tackle by Pierre Woods),3.250,2.540
4,9:26,3,5,NWE 32,17,31,Drew Brees pass complete short right to Robert Meachem for 7 yards (tackle by Darius Butler),2.540,3.910
4,8:40,1,10,NWE 25,17,31,Mike Bell right guard for 5 yards (tackle by Gary Guyton and Brandon Meriweather),3.910,4.040
4,7:55,2,5,NWE 20,17,37,"Drew Brees pass complete deep middle to Marques Colston for 20 yards, touchdown",4.040,7.000
4,7:55,,,NWE 2,17,38,John Carney kicks extra point good,0.000,0.000
4,7:55,,,NOR 30,17,38,"Thomas Morstead kicks off 78 yards, touchback",0.000,0.280
4,7:49,1,10,NWE 20,17,38,Kevin Faulk right guard for 7 yards (tackle by Scott Fujita),0.280,0.680
4,7:23,2,3,NWE 27,17,38,Tom Brady pass incomplete is intercepted by Darren Sharper at NOR-37 and returned for 38 yards,0.680,-3.910
4,7:04,1,10,NWE 25,17,38,Mike Bell left tackle for 4 yards (tackle by Vince Wilfork),3.910,3.900
4,6:20,2,6,NWE 21,17,38,Mike Bell left guard for 2 yards (tackle by Jarvis Green),3.900,3.490
4,5:37,3,4,NWE 19,17,38,Drew Brees pass incomplete deep middle intended for Devery Henderson,3.490,2.260
4,5:31,4,4,NWE 19,17,38,John Carney 37 yard field goal no good,2.260,-0.740
4,5:26,1,10,NWE 27,17,38,BenJarvus Green-Ellis right tackle for 1 yard (tackle by Jonathan Vilma),0.740,0.330
4,4:48,2,9,NWE 28,17,38,BenJarvus Green-Ellis right guard for 1 yard (tackle by Scott Fujita),0.330,-0.230
4,4:11,3,8,NWE 29,17,38,Brian Hoyer pass incomplete short right intended for Isaiah Stanback,-0.230,-1.440
4,4:05,4,8,NWE 29,17,38,"Chris Hanson punts 49 yards, fair catch by Devery Henderson",-1.440,-0.410
4,3:58,1,10,NOR 22,17,38,Mike Bell right tackle for 4 yards (tackle by Gary Guyton and James Sanders),0.410,0.410
4,3:17,2,6,NOR 26,17,38,Mike Bell right guard for 3 yards (tackle by Myron Pryor),0.410,0.100
4,2:34,3,3,NOR 29,17,38,"Mike Bell left tackle for 5 yards (tackle by Jerod Mayo). Penalty on David Thomas: Offensive Holding, 11 yards (no play)",0.100,-1.490
4,2:28,3,14,NOR 18,17,38,Pierre Thomas left tackle for 10 yards (tackle by James Sanders and Gary Guyton),-1.490,-1.500
4,2:00,4,4,NOR 28,17,38,"Thomas Morstead punts 39 yards, fair catch by Wes Welker",-1.500,-1.140
4,1:52,1,10,NWE 33,17,38,Brian Hoyer pass complete short left to Sam Aiken for 5 yards (tackle by Scott Fujita),1.140,1.270
4,1:22,2,5,NWE 38,17,38,Brian Hoyer pass complete short middle to Sam Aiken for 14 yards (tackle by Scott Fujita),1.270,2.390
4,0:49,1,10,NOR 48,17,38,Brian Hoyer pass incomplete short left intended for Isaiah Stanback,2.390,1.850
4,0:43,2,10,NOR 48,17,38,Brian Hoyer sacked by Will Smith for -8 yards,1.850,0.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
