Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
2,10:19,3,4,MIN 15,10,7,Tom Brady pass complete short middle to Julian Edelman for 6 yards (tackle by Anthony Barr),3.810,5.140
2,9:34,1,9,MIN 9,16,7,"Tom Brady pass complete short left to Julian Edelman for 9 yards, touchdown",5.140,7.000
2,9:34,,,MIN 2,17,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,9:34,,,NWE 35,17,7,"Stephen Gostkowski kicks off 70 yards, returned by Cordarrelle Patterson for 23 yards (tackle by Don Jones)",0.000,-0.040
2,9:22,1,10,MIN 18,17,7,Jerick McKinnon left guard for 3 yards (tackle by Sealver Siliga and Chris Jones),0.040,0.010
2,8:46,2,7,MIN 21,17,7,Matt Cassel pass complete short left to Jerick McKinnon for 3 yards (tackle by Jerod Mayo),0.010,-0.400
2,8:04,3,4,MIN 24,17,7,Matt Cassel pass complete short left to Cordarrelle Patterson for 10 yards (tackle by Logan Ryan),-0.400,1.200
2,7:26,1,10,MIN 34,17,7,Matt Cassel pass incomplete short left intended for Cordarrelle Patterson (defended by Logan Ryan),1.200,0.660
2,7:22,2,10,MIN 34,17,7,Matt Asiata right end for 7 yards (tackle by Vince Wilfork and Jerod Mayo),0.660,0.890
2,6:39,3,3,MIN 41,17,7,Matt Cassel pass complete short right to Matt Asiata for 1 yard (tackle by Logan Ryan),0.890,-0.590
2,5:58,4,2,MIN 42,17,7,"Jeff Locke punts 38 yards, fair catch by Julian Edelman",-0.590,-0.280
2,5:51,1,10,NWE 20,17,7,Stevan Ridley right tackle for 7 yards (tackle by Shamar Stephen),0.280,0.680
2,5:17,2,3,NWE 27,17,7,Tom Brady pass complete short left to Julian Edelman for 12 yards (tackle by Harrison Smith and Robert Blanton),0.680,1.530
2,4:50,1,10,NWE 39,17,7,Stevan Ridley left guard for 4 yards (tackle by Jasper Brinkley),1.530,1.530
2,4:19,2,6,NWE 43,17,7,Stevan Ridley right end for 5 yards (tackle by Jasper Brinkley and Chad Greenway),1.530,1.490
2,3:45,3,1,NWE 48,17,7,Stevan Ridley left tackle for no gain (tackle by Harrison Smith),1.490,-0.190
2,3:04,4,1,NWE 48,17,7,"Ryan Allen punts 34 yards, fair catch by Marcus Sherels",-0.190,-0.040
2,2:58,1,10,MIN 18,17,7,Matt Cassel pass complete short right to Matt Asiata for 5 yards (tackle by Dont'a Hightower),0.040,0.280
2,2:28,2,5,MIN 23,17,7,Matt Asiata left guard for 2 yards (tackle by Jerod Mayo and Vince Wilfork),0.280,-0.270
2,2:00,3,3,MIN 25,17,7,Matt Cassel pass complete short right to Cordarrelle Patterson for 26 yards (tackle by Kyle Arrington),-0.270,2.320
2,1:28,1,10,NWE 49,17,7,Matt Cassel pass complete short left to Jarius Wright for 12 yards,2.320,3.120
2,1:21,1,10,NWE 37,17,7,Matt Cassel pass complete short left to Matt Asiata for 9 yards (tackle by Kyle Arrington),3.120,3.790
2,0:55,2,1,NWE 28,17,7,Matt Cassel pass incomplete deep middle intended for Kyle Rudolph,3.790,3.070
2,0:49,3,1,NWE 28,17,7,Matt Asiata right end for 4 yards (tackle by Darrelle Revis),3.070,3.070
2,0:44,3,1,NWE 28,17,7,Timeout #2 by Minnesota Vikings,3.070,3.970
2,0:43,1,10,NWE 24,17,7,Matt Cassel pass incomplete short left intended for Matt Asiata,3.970,3.430
2,0:40,2,10,NWE 24,17,7,Matt Cassel for 4 yards,3.430,3.270
2,0:33,3,6,NWE 20,17,7,"Matt Cassel pass complete short middle to Greg Jennings for 6 yards (tackle by Jerod Mayo and Darrelle Revis). Penalty on Greg Jennings: Offensive Pass Interference, 10 yards (no play)",3.270,3.270
2,0:25,3,6,NWE 20,17,7,Timeout #2 by New England Patriots,3.270,1.950
2,0:25,3,16,NWE 30,17,7,Matt Cassel pass incomplete deep left intended for Cordarrelle Patterson,1.950,1.410
2,0:19,4,16,NWE 30,23,7,"Blair Walsh 48 yard field goal no good, blocked by Chandler Jones, recovered by Chandler Jones and returned for 58 yards, touchdown",1.410,-7.000
2,0:09,,,MIN 2,24,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,0:09,,,NWE 35,24,7,"Stephen Gostkowski kicks off 41 yards, returned by Rhett Ellison for 14 yards (tackle by Logan Ryan)",0.000,-1.470
2,0:03,1,10,MIN 38,24,7,Matt Cassel kneels for -1 yards,1.470,0.790
Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,24,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,NWE 20,24,7,Tom Brady pass complete short left to Rob Gronkowski for 6 yards (tackle by Anthony Barr),0.280,0.540
3,14:26,2,4,NWE 26,24,7,Stevan Ridley left end for 6 yards (tackle by Anthony Barr),0.540,1.070
3,13:58,1,10,NWE 32,24,7,Tom Brady pass complete short left to Rob Gronkowski for 5 yards (tackle by Harrison Smith),1.070,1.200
3,13:39,2,5,NWE 37,24,7,"Tom Brady pass incomplete short left intended for Aaron Dobson. Penalty on Xavier Rhodes: Defensive Pass Interference, 12 yards (no play)",1.200,2.190
3,13:33,1,10,NWE 49,24,7,Stevan Ridley right guard for 4 yards (tackle by Everson Griffen),2.190,2.190
3,13:09,2,6,MIN 47,24,7,Stevan Ridley left guard for 4 yards (tackle by Brian Robison),2.190,2.010
3,12:32,3,2,MIN 43,24,7,Tom Brady pass incomplete deep left intended for Julian Edelman,2.010,0.400
3,12:26,4,2,MIN 43,24,7,Ryan Allen punts 39 yards,0.400,0.380
3,12:18,1,10,MIN 4,24,7,Matt Asiata right guard for 3 yards (tackle by Jerod Mayo),-0.380,-0.560
3,11:44,2,7,MIN 7,24,7,Matt Cassel pass complete short middle to Kyle Rudolph for 8 yards (tackle by Patrick Chung),-0.560,-0.220
3,11:01,1,10,MIN 15,24,7,Matt Cassel pass complete short right to Matt Asiata for 8 yards (tackle by Darrelle Revis),-0.220,0.480
3,10:24,2,2,MIN 23,24,7,Matt Asiata left tackle for 4 yards (tackle by Chandler Jones and Sealver Siliga),0.480,0.740
3,9:48,1,10,MIN 27,24,7,Matt Cassel pass incomplete short left intended for Kyle Rudolph,0.740,0.200
3,9:46,2,10,MIN 27,24,7,Matt Cassel pass incomplete deep middle intended for Cordarrelle Patterson is intercepted by Logan Ryan at MIN-45,0.200,-2.590
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
3,9:42,1,10,MIN 45,24,7,Tom Brady pass complete short left to Rob Gronkowski for 11 yards (tackle by Chad Greenway and Robert Blanton),2.590,3.310
3,9:11,1,10,MIN 34,24,7,Stevan Ridley right guard for 6 yards (tackle by Jasper Brinkley),3.310,3.580
3,8:43,2,4,MIN 28,24,7,Tom Brady pass incomplete short left intended for Aaron Dobson,3.580,2.870
3,8:39,3,4,MIN 28,24,7,Tom Brady pass incomplete short left intended for Rob Gronkowski (defended by Chad Greenway),2.870,1.650
3,8:36,4,4,MIN 28,27,7,Stephen Gostkowski 47 yard field goal good,1.650,3.000
3,8:36,,,NWE 35,27,7,"Stephen Gostkowski kicks off 70 yards, returned by Cordarrelle Patterson for 30 yards (tackle by Chris White). Penalty on Duron Harmon: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,8:36,,,NWE 30,27,7,"Stephen Gostkowski kicks off 50 yards, returned by Adam Thielen for 12 yards (tackle by Brandon LaFell)",0.000,-1.070
3,8:22,1,10,MIN 32,27,7,Matt Asiata left end for 2 yards (tackle by Chandler Jones),1.070,0.800
3,7:43,2,8,MIN 34,27,7,Matt Cassel pass incomplete short left intended for Kyle Rudolph,0.800,0.100
3,7:39,3,8,MIN 34,27,7,Matt Cassel sacked by Dont'a Hightower for -8 yards,0.100,-1.630
3,6:59,4,16,MIN 26,27,7,"Jeff Locke punts 57 yards, returned by Julian Edelman for 28 yards (tackle by Andrew Sendejo)",-1.630,-1.930
3,6:46,1,10,NWE 45,27,7,"Tom Brady pass complete short left to Shane Vereen for 24 yards (tackle by Brian Robison). Penalty on Nate Solder: Illegal Block Above the Waist, 10 yards, Penalty on Nate Solder: Offensive Holding (Declined) (no play)",1.930,1.270
3,6:20,1,20,NWE 35,27,7,"Penalty on Nate Solder: False Start, 5 yards (no play)",1.270,0.940
3,6:04,1,25,NWE 30,27,7,Shane Vereen up the middle for 9 yards (tackle by Chad Greenway),0.940,0.570
3,5:21,2,16,NWE 39,27,7,"Tom Brady pass complete short left to Julian Edelman for 8 yards (tackle by Xavier Rhodes). Penalty on Everson Griffen: Defensive Offside, 5 yards (no play)",0.570,1.250
3,4:50,2,11,NWE 44,27,7,Shane Vereen right guard for 4 yards (tackle by Captain Munnerlyn),1.250,1.090
3,4:08,3,7,NWE 48,27,7,Tom Brady pass complete short left to Rob Gronkowski for 10 yards (tackle by Gerald Hodges),1.090,2.790
3,3:33,1,10,MIN 42,27,7,Tom Brady pass incomplete short left intended for Shane Vereen,2.790,2.240
3,3:28,2,10,MIN 42,27,7,Tom Brady pass complete short left to Julian Edelman for 12 yards (tackle by Xavier Rhodes). Penalty on Xavier Rhodes: Defensive Holding (Declined),2.240,3.580
3,3:06,1,10,MIN 30,27,7,Stevan Ridley left guard for 2 yards (tackle by Everson Griffen),3.580,3.300
3,2:22,2,8,MIN 28,27,7,"Tom Brady pass incomplete deep right intended for Julian Edelman. Penalty on Xavier Rhodes: Defensive Pass Interference, 16 yards (no play)",3.300,4.780
3,2:16,1,10,MIN 12,27,7,Stevan Ridley right end for 3 yards (tackle by Shamar Stephen),4.780,4.640
3,1:43,2,7,MIN 9,27,7,"Stevan Ridley right end for 8 yards (tackle by Captain Munnerlyn). Penalty on Jordan Devey: Offensive Holding, 10 yards (no play)",4.640,3.220
3,1:22,2,17,MIN 19,27,7,Brandon Bolden up the middle for -2 yards (tackle by Chad Greenway),3.220,2.350
3,0:41,3,19,MIN 21,27,7,Shane Vereen right guard for 12 yards (tackle by Harrison Smith),2.350,2.830
Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,7,MIN 9,30,7,Stephen Gostkowski 27 yard field goal good,2.830,3.000
4,15:00,,,NWE 35,30,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
4,14:57,1,10,MIN 20,30,7,Jerick McKinnon right guard for 4 yards (tackle by Chandler Jones),0.280,0.270
4,14:35,2,6,MIN 24,30,7,Matt Cassel sacked by Chandler Jones for -4 yards,0.270,-0.960
4,14:04,3,10,MIN 20,30,7,Matt Cassel pass incomplete short right intended for Greg Jennings,-0.960,-2.030
4,14:00,4,10,MIN 20,30,7,"Jeff Locke punts 45 yards, returned by Julian Edelman for 34 yards (tackle by Andrew Sendejo)",-2.030,-3.510
4,13:43,1,10,MIN 31,30,7,Tom Brady sacked by Tom Johnson for -7 yards,3.510,2.020
4,13:05,2,17,MIN 38,30,7,Stevan Ridley left tackle for 3 yards (tackle by Linval Joseph and Corey Wootton),2.020,1.750
4,12:27,3,14,MIN 35,30,7,Tom Brady pass incomplete deep right intended for Danny Amendola,1.750,0.970
4,12:18,4,14,MIN 35,30,7,Penalty on Stephen Gostkowski: Delay of Game (Declined),0.970,0.970
4,12:12,4,14,MIN 35,30,7,"Ryan Allen punts 26 yards, fair catch by Marcus Sherels",0.970,0.380
4,12:05,1,10,MIN 9,30,7,Matt Cassel pass complete short right to Jerick McKinnon for 2 yards (tackle by Rob Ninkovich),-0.380,-0.630
4,11:34,2,8,MIN 11,30,7,Matt Cassel pass complete short left to Kyle Rudolph for 11 yards,-0.630,0.410
4,11:01,1,10,MIN 22,30,7,Matt Cassel pass complete short middle to Greg Jennings for 4 yards (tackle by Dont'a Hightower),0.410,0.410
4,10:29,2,6,MIN 26,30,7,"Penalty on Greg Jennings: False Start, 5 yards (no play)",0.410,-0.270
4,10:09,2,11,MIN 21,30,7,Matt Cassel pass complete short middle to Kyle Rudolph for 8 yards (tackle by Dont'a Hightower),-0.270,0.100
4,9:41,3,3,MIN 29,30,7,Matt Cassel pass incomplete short right intended for Jerick McKinnon (defended by Dont'a Hightower),0.100,-1.440
4,9:37,4,3,MIN 29,30,7,"Jeff Locke punts 45 yards, returned by Julian Edelman for no gain. Penalty on Logan Ryan: Illegal Block Above the Waist, 10 yards, Penalty on Tavon Wilson: Illegal Block Above the Waist (Declined)",-1.440,0.140
4,9:24,1,10,NWE 16,30,7,Stevan Ridley right tackle for 6 yards (tackle by Jasper Brinkley and Robert Blanton),-0.140,0.280
4,8:44,2,4,NWE 22,30,7,Stevan Ridley right end for 3 yards (tackle by Captain Munnerlyn),0.280,-0.200
4,8:10,3,1,NWE 25,30,7,Tom Brady up the middle for no gain (tackle by Robert Blanton and Shamar Stephen),-0.200,-1.700
4,7:35,4,1,NWE 25,30,7,"Ryan Allen punts 53 yards, returned by Marcus Sherels for 11 yards (tackle by Nate Ebner)",-1.700,-1.140
4,7:26,1,10,MIN 33,30,7,"Matt Cassel sacked by Kyle Arrington for -6 yards. Matt Cassel fumbles (forced by Kyle Arrington), recovered by Matt Asiata at MIN-34",1.140,0.730
4,6:37,2,9,MIN 34,30,7,"Matt Cassel pass incomplete short middle intended for Matt Asiata is intercepted by Dominique Easley at MIN-35. Penalty on Dont'a Hightower: Unnecessary Roughness, 15 yards",0.730,-2.260
4,5:57,1,10,,30,7,Stevan Ridley up the middle for 16 yards (tackle by Jasper Brinkley),2.260,3.310
4,5:56,1,10,MIN 34,30,7,Stevan Ridley left guard for 9 yards (tackle by Chad Greenway and Xavier Rhodes),3.310,3.990
4,5:56,2,1,MIN 25,30,7,--,3.990,3.310
4,4:56,2,6,MIN 30,30,7,Stevan Ridley right tackle for 4 yards (tackle by Robert Blanton),3.310,3.140
4,4:25,3,2,MIN 26,30,7,Stevan Ridley left tackle for 5 yards (tackle by Jasper Brinkley),3.140,4.170
4,3:46,1,10,MIN 21,30,7,Stevan Ridley up the middle for 1 yard (tackle by Chad Greenway),4.170,3.760
4,3:05,2,9,MIN 20,30,7,Brandon Bolden up the middle for no gain (tackle by Jasper Brinkley),3.760,3.760
4,2:18,2,9,MIN 20,30,7,Timeout #1 by New England Patriots,3.760,3.070
4,2:16,3,9,MIN 20,30,7,Shane Vereen right end for 1 yard (tackle by Chad Greenway),3.070,2.180
4,2:00,4,8,MIN 19,30,7,Tom Brady pass incomplete short left intended for Tim Wright,2.180,-0.150
4,1:56,1,10,MIN 19,30,7,Matt Cassel pass complete short middle to Cordarrelle Patterson for 17 yards (tackle by Malcolm Butler),0.150,1.330
4,1:28,1,10,MIN 36,30,7,"Matt Cassel pass incomplete deep right intended for MarQueis Gray. Penalty on Malcolm Butler: Defensive Pass Interference, 24 yards (no play)",1.330,2.920
4,1:23,1,10,NWE 40,30,7,Matt Cassel sacked by Rob Ninkovich for -10 yards,2.920,1.020
4,0:53,2,20,,30,7,"Matt Cassel pass incomplete deep left intended for Cordarrelle Patterson. Penalty on Logan Ryan: Defensive Pass Interference, 34 yards (no play)",1.020,4.510
4,0:47,1,10,NWE 16,30,7,Matt Cassel pass incomplete deep right intended for Jarius Wright,4.510,3.900
4,0:41,2,10,NWE 16,30,7,Matt Cassel pass incomplete deep right intended for Greg Jennings,3.900,3.080
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
4,0:37,3,10,NWE 16,30,7,Matt Cassel sacked by Dont'a Hightower for -14 yards,3.080,1.410
4,0:00,4,24,NWE 30,30,7,Matt Cassel pass incomplete deep left intended for Adam Thielen,1.410,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
