Quarter,Time,Down,ToGo,Location,GNB,MIA,Detail,EPB,EPA
2,9:44,2,6,MIA 15,7,3,Eddie Lacy up the middle for -1 yards (tackle by Jimmy Wilson and Randy Starks),4.350,3.410
2,8:58,3,7,MIA 16,7,3,Aaron Rodgers sacked by Olivier Vernon for -9 yards,3.410,1.800
2,8:29,4,16,MIA 25,10,3,Mason Crosby 43 yard field goal good,1.800,3.000
2,8:29,,,GNB 35,10,3,"Mason Crosby kicks off 70 yards, returned by Jarvis Landry for 37 yards (tackle by Micah Hyde)",0.000,-1.070
2,8:01,1,10,MIA 32,10,3,Ryan Tannehill pass incomplete short middle intended for Mike Wallace (defended by Ha Ha Clinton-Dix),1.070,0.530
2,7:57,2,10,MIA 32,10,3,Knowshon Moreno left end for 2 yards (tackle by A.J. Hawk),0.530,0.100
2,7:21,3,8,MIA 34,10,3,Ryan Tannehill up the middle for 6 yards (tackle by Nick Perry),0.100,-0.720
2,6:39,4,2,MIA 40,10,3,"Brandon Fields punts 44 yards, returned by Micah Hyde for 24 yards (tackle by Damian Williams)",-0.720,-1.600
2,6:24,1,10,GNB 40,10,3,"Aaron Rodgers right end for 3 yards (tackle by Koa Misi). Penalty on Cortland Finnegan: Defensive Holding, 5 yards",1.600,2.130
2,5:58,1,10,GNB 48,10,3,Eddie Lacy left end for 9 yards (tackle by Koa Misi),2.130,2.800
2,5:22,2,1,MIA 43,10,3,Eddie Lacy left end for 3 yards (tackle by Koa Misi),2.800,2.920
2,4:52,1,10,MIA 40,10,3,"Aaron Rodgers pass incomplete. Penalty on Aaron Rodgers: Intentional Grounding, 13 yards",2.920,0.620
2,4:28,2,23,GNB 47,10,3,Aaron Rodgers pass complete short right to Jordy Nelson for 4 yards (tackle by Jelani Jenkins),0.620,0.500
2,3:45,3,19,MIA 49,10,3,Aaron Rodgers pass incomplete deep right intended for Randall Cobb,0.500,0.000
2,3:36,4,19,MIA 49,10,3,"Tim Masthay punts 33 yards, fair catch by Jarvis Landry",0.000,0.140
2,3:29,1,10,MIA 16,10,3,Lamar Miller right tackle for 2 yards (tackle by Casey Hayward),-0.140,-0.350
2,2:58,2,8,MIA 18,10,3,Ryan Tannehill pass complete short middle to Charles Clay for 14 yards (tackle by Ha Ha Clinton-Dix),-0.350,1.070
2,2:27,1,10,MIA 32,10,3,Ryan Tannehill pass incomplete deep left intended for Brian Hartline is intercepted by Sam Shields at GNB-32,1.070,-1.070
2,2:15,1,10,GNB 32,10,3,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson (defended by Jared Odrick),1.070,0.530
2,2:12,2,10,GNB 32,10,3,Aaron Rodgers pass complete short right to Jordy Nelson for 6 yards (tackle by Brent Grimes),0.530,0.630
2,2:00,3,4,GNB 38,10,3,Aaron Rodgers pass complete short left to Davante Adams for 7 yards,0.630,1.930
2,1:56,1,10,GNB 45,10,3,Aaron Rodgers pass complete short middle to Andrew Quarless for 7 yards (tackle by Koa Misi),1.930,2.330
2,1:22,2,3,MIA 48,10,3,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,2.330,1.620
2,1:17,3,3,MIA 48,10,3,Aaron Rodgers pass incomplete short right intended for Andrew Quarless (defended by Reshad Jones),1.620,0.070
2,1:12,4,3,MIA 48,10,3,"Tim Masthay punts 48 yards, touchback",0.070,-0.280
2,1:03,1,10,MIA 20,10,3,Ryan Tannehill pass incomplete deep middle intended for Mike Wallace,0.280,-0.270
2,1:00,2,10,MIA 20,10,3,Ryan Tannehill pass complete short right to Mike Wallace for 11 yards (tackle by Micah Hyde),-0.270,1.000
2,0:54,1,10,MIA 31,10,3,Ryan Tannehill pass complete short middle to Jarvis Landry for 19 yards (tackle by Ha Ha Clinton-Dix),1.000,1.000
2,0:47,1,10,MIA 31,10,3,Timeout #1 by Miami Dolphins,1.000,2.260
2,0:47,1,10,GNB 50,10,3,Ryan Tannehill pass incomplete deep left intended for Mike Wallace,2.260,1.710
2,0:43,2,10,GNB 50,10,3,Ryan Tannehill sacked by Mike Neal for -7 yards,1.710,1.710
2,0:37,2,10,GNB 50,10,3,Timeout #2 by Miami Dolphins,1.710,0.100
2,0:37,3,17,MIA 43,10,3,Ryan Tannehill pass complete short left to Charles Clay for 14 yards (tackle by Julius Peppers),0.100,0.100
2,0:30,3,17,MIA 43,10,3,Timeout #2 by Green Bay Packers,0.100,0.400
2,0:30,4,3,GNB 43,10,3,"Brandon Fields punts 43 yards, touchback",0.400,-0.280
2,0:22,1,10,GNB 20,10,3,Aaron Rodgers kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,GNB,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,10,3,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,MIA 20,10,3,Ryan Tannehill pass complete short right to Dion Sims for 5 yards (tackle by Tramon Williams),0.280,0.410
3,14:42,2,5,MIA 25,10,3,Ryan Tannehill left end for 40 yards (tackle by Micah Hyde),0.410,3.250
3,13:46,1,10,GNB 35,10,3,"Ryan Tannehill pass incomplete deep left intended for Mike Wallace. Penalty on Davon House: Defensive Pass Interference, 21 yards (no play)",3.250,4.650
3,13:37,1,10,GNB 14,10,3,Knowshon Moreno up the middle for 5 yards (tackle by Julius Peppers),4.650,4.900
3,13:03,2,5,GNB 9,10,3,"Penalty on Branden Albert: False Start, 5 yards (no play)",4.900,4.000
3,12:46,2,10,GNB 14,10,3,Ryan Tannehill pass complete short left to Knowshon Moreno for 8 yards (tackle by Tramon Williams),4.000,4.730
3,12:12,3,2,GNB 6,10,3,"Penalty on Ja'Wuan James: False Start, 5 yards (no play)",4.730,3.620
3,11:55,3,7,GNB 11,10,9,"Ryan Tannehill pass complete short middle to Jarvis Landry for 11 yards, touchdown",3.620,7.000
3,11:55,,,GNB 2,10,10,Caleb Sturgis kicks extra point good,0.000,0.000
3,11:55,,,MIA 35,10,10,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,11:48,1,10,GNB 20,10,10,Eddie Lacy left guard for 10 yards (tackle by Reshad Jones),0.280,0.940
3,11:08,1,10,GNB 30,10,10,Eddie Lacy up the middle for 1 yard (tackle by Jelani Jenkins),0.940,0.530
3,10:33,2,9,GNB 31,10,10,Aaron Rodgers left end for 9 yards (tackle by Jared Odrick),0.530,1.600
3,10:10,1,10,GNB 40,10,10,Eddie Lacy left guard for 4 yards (tackle by Louis Delmas),1.600,1.590
3,9:17,2,6,GNB 44,10,10,Eddie Lacy left guard for 5 yards (tackle by Jelani Jenkins),1.590,1.550
3,8:36,3,1,GNB 49,10,10,Eddie Lacy right guard for no gain (tackle by Koa Misi),1.550,-0.130
3,7:53,4,1,GNB 49,10,10,"Aaron Rodgers pass complete short right to Jordy Nelson for 3 yards (tackle by Brent Grimes). Penalty on Cortland Finnegan: Defensive Holding, 5 yards (no play)",-0.130,2.520
3,6:58,1,10,MIA 46,10,10,James Starks left guard for 4 yards (tackle by Koa Misi),2.520,2.520
3,6:11,2,6,MIA 42,10,10,Aaron Rodgers pass complete short right to Davante Adams for 24 yards (tackle by Reshad Jones),2.520,4.370
3,5:31,1,10,MIA 18,10,10,Aaron Rodgers pass incomplete deep middle intended for Jordy Nelson,4.370,4.370
3,5:24,1,10,MIA 18,10,10,Timeout #1 by Green Bay Packers,4.370,3.800
3,5:24,2,10,MIA 18,10,10,Aaron Rodgers pass complete short right to Jordy Nelson for 11 yards (tackle by Brent Grimes),3.800,5.600
3,4:41,1,7,MIA 7,10,10,John Kuhn up the middle for 2 yards (tackle by Koa Misi),5.600,5.150
3,3:56,2,5,MIA 5,10,10,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Jared Odrick),5.150,4.260
3,3:52,3,5,MIA 5,16,10,"Aaron Rodgers pass complete short right to Randall Cobb for 5 yards, touchdown",4.260,7.000
3,3:52,,,MIA 2,17,10,Mason Crosby kicks extra point good,0.000,0.000
3,3:52,,,GNB 35,17,10,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
3,3:44,1,10,MIA 20,17,10,Lamar Miller up the middle for 5 yards (tackle by A.J. Hawk),0.280,0.410
3,3:21,2,5,MIA 25,17,10,"Ryan Tannehill pass complete short right to Brian Hartline for 13 yards (tackle by Brad Jones). Penalty on Branden Albert: Illegal Formation, 5 yards (no play)",0.410,-0.270
3,3:03,2,10,MIA 20,17,10,Ryan Tannehill pass complete deep right to Mike Wallace for 25 yards (tackle by Ha Ha Clinton-Dix),-0.270,1.930
3,2:29,1,10,MIA 45,17,10,Lamar Miller up the middle for 14 yards (tackle by Ha Ha Clinton-Dix),1.930,2.850
3,1:53,1,10,GNB 41,17,10,Lamar Miller left guard for 4 yards (tackle by Davon House),2.850,2.850
3,1:15,2,6,GNB 37,17,10,Ryan Tannehill pass complete short middle to Lamar Miller for -2 yards (tackle by Brad Jones),2.850,1.880
3,0:28,3,8,GNB 39,17,10,Ryan Tannehill pass complete short middle to Damian Williams for 14 yards (tackle by Jarrett Bush),1.880,3.910
Quarter,Time,Down,ToGo,Location,GNB,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 25,17,10,Ryan Tannehill pass incomplete deep right intended for Charles Clay (defended by Brad Jones),3.910,3.360
4,14:54,2,10,GNB 25,17,10,Lamar Miller left guard for 11 yards (tackle by Morgan Burnett),3.360,4.650
4,14:23,1,10,GNB 14,17,10,Lamar Miller up the middle for 9 yards (tackle by Micah Hyde),4.650,5.670
4,13:51,2,1,GNB 5,17,16,"Lamar Miller right tackle for 5 yards, touchdown",5.670,7.000
4,13:51,,,GNB 2,17,17,Caleb Sturgis kicks extra point good,0.000,0.000
4,13:51,,,MIA 35,17,17,"Caleb Sturgis kicks off 73 yards, returned by DuJuan Harris for 33 yards (tackle by Jarvis Landry)",0.000,-0.610
4,13:36,1,10,GNB 25,17,17,Eddie Lacy left end for 1 yard (tackle by Reshad Jones),0.610,0.200
4,12:59,2,9,GNB 26,17,17,Aaron Rodgers pass incomplete short right intended for Randall Cobb,0.200,-0.490
4,12:47,3,9,GNB 26,17,17,Aaron Rodgers pass incomplete short left intended for Andrew Quarless (defended by Jelani Jenkins),-0.490,-1.630
4,12:42,4,9,GNB 26,17,17,"Tim Masthay punts 53 yards, fair catch by Jarvis Landry",-1.630,-0.340
4,12:34,1,10,MIA 21,17,17,Ryan Tannehill pass complete short left to Mike Wallace for 25 yards (tackle by Jarrett Bush),0.340,1.990
4,11:55,1,10,MIA 46,17,17,Lamar Miller right guard for 5 yards (tackle by Nick Perry),1.990,2.130
4,11:55,2,5,GNB 49,17,17,Lamar Miller right tackle for 3 yards (tackle by Mike Pennel),2.130,1.820
4,10:40,3,2,GNB 46,17,17,Ryan Tannehill pass complete short left to Lamar Miller for 20 yards (tackle by Ha Ha Clinton-Dix),1.820,3.840
4,10:04,1,10,GNB 26,17,17,Ryan Tannehill pass complete short left to Jarvis Landry for 21 yards (tackle by Casey Hayward),3.840,6.060
4,9:20,1,5,GNB 5,17,23,"Ryan Tannehill pass complete short middle to Mike Wallace for 5 yards, touchdown. Penalty on Morgan Burnett: Defensive Holding (Declined)",6.060,7.000
4,9:20,,,GNB 2,17,24,Caleb Sturgis kicks extra point good,0.000,0.000
4,9:20,,,MIA 35,17,24,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
4,9:13,1,10,GNB 20,17,24,Randall Cobb right end for 1 yard (tackle by Cameron Wake),0.280,-0.130
4,8:42,2,9,GNB 21,17,24,Aaron Rodgers pass incomplete short right intended for James Starks,-0.130,-0.820
4,8:34,3,9,GNB 21,17,24,Aaron Rodgers pass complete deep right to Jordy Nelson for 22 yards (tackle by Brent Grimes),-0.820,1.800
4,8:01,1,10,GNB 43,17,24,Aaron Rodgers pass complete short middle to Jordy Nelson for 14 yards (tackle by Brent Grimes),1.800,2.720
4,7:30,1,10,MIA 43,17,24,Aaron Rodgers pass complete short left to Randall Cobb for 7 yards (tackle by Cortland Finnegan and Louis Delmas),2.720,3.120
4,7:00,2,3,MIA 36,17,24,James Starks left tackle for 9 yards (tackle by Reshad Jones),3.120,3.780
4,6:27,1,10,MIA 27,17,24,James Starks right end for 11 yards (tackle by Louis Delmas),3.780,4.510
4,5:53,1,10,MIA 16,17,24,James Starks left end for -3 yards (tackle by Olivier Vernon),4.510,3.520
4,5:03,2,13,MIA 19,17,24,Aaron Rodgers right tackle for 7 yards (tackle by Reshad Jones),3.520,3.730
4,4:29,3,6,MIA 12,17,24,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,3.730,2.660
4,4:13,4,6,MIA 12,20,24,Mason Crosby 30 yard field goal good,2.660,3.000
4,4:13,,,GNB 35,20,24,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
4,4:09,1,10,MIA 20,20,24,Ryan Tannehill pass incomplete short right intended for Mike Wallace (defended by Clay Matthews),0.280,-0.270
4,4:06,2,10,MIA 20,20,24,Ryan Tannehill pass complete short middle to Jarvis Landry for 11 yards (tackle by Morgan Burnett),-0.270,1.000
4,3:26,1,10,MIA 31,20,24,Lamar Miller up the middle for -1 yards (tackle by Julius Peppers),1.000,1.000
4,3:15,1,10,MIA 31,20,24,Timeout #2 by Green Bay Packers,1.000,0.320
4,3:15,2,11,MIA 30,20,24,"Ryan Tannehill sacked by Brad Jones for -9 yards. Penalty on Brad Jones: Illegal Use of Hands, 5 yards (no play)",0.320,1.270
4,3:10,1,10,MIA 35,20,24,Lamar Miller up the middle for 1 yard (tackle by Mike Daniels),1.270,1.270
4,3:05,1,10,MIA 35,20,24,Timeout #3 by Green Bay Packers,1.270,0.860
4,3:05,2,9,MIA 36,20,24,Ryan Tannehill pass incomplete short right intended for Charles Clay,0.860,0.170
4,3:01,3,9,MIA 36,20,24,Lamar Miller left tackle for 1 yard (tackle by Morgan Burnett),0.170,0.170
4,2:15,3,9,MIA 36,20,24,Timeout #1 by Miami Dolphins,0.170,-0.910
4,2:15,4,8,MIA 37,20,24,"Brandon Fields punts 40 yards, returned by Micah Hyde for 17 yards (tackle by Kelvin Sheppard)",-0.910,-1.600
4,2:04,1,10,GNB 40,20,24,James Starks left tackle for 12 yards (tackle by Reshad Jones),1.600,2.390
4,1:57,1,10,MIA 48,20,24,Aaron Rodgers pass complete short right to James Starks for 1 yard (tackle by Philip Wheeler),2.390,1.980
4,1:49,2,9,MIA 47,20,24,Aaron Rodgers pass incomplete short left intended for Andrew Quarless,1.980,1.290
4,1:44,3,9,MIA 47,20,24,"Aaron Rodgers sacked by Olivier Vernon and Cameron Wake for -1 yards. Aaron Rodgers fumbles (forced by Olivier Vernon), recovered by T.J. Lang at MIA-48",1.290,1.290
4,1:07,3,9,MIA 47,20,24,Timeout #2 by Miami Dolphins,1.290,0.070
4,1:07,4,10,MIA 48,20,24,Aaron Rodgers pass complete deep right to Jordy Nelson for 18 yards,0.070,3.580
4,1:00,1,10,MIA 30,20,24,Aaron Rodgers pass incomplete deep right intended for James Starks,3.580,3.030
4,0:53,2,10,MIA 30,20,24,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,3.030,2.340
4,0:48,3,10,MIA 30,20,24,Aaron Rodgers pass complete short middle to James Starks for 10 yards (tackle by Jelani Jenkins),2.340,4.240
4,0:30,1,10,MIA 20,20,24,Aaron Rodgers pass complete short left to Randall Cobb for 4 yards (tackle by Brent Grimes),4.240,4.280
4,0:07,2,6,MIA 16,20,24,Aaron Rodgers pass complete short right to Davante Adams for 12 yards (tackle by Cortland Finnegan),4.280,4.280
4,0:06,2,6,MIA 16,20,24,Timeout #3 by Miami Dolphins,4.280,6.280
4,0:06,1,4,MIA 4,26,24,"Aaron Rodgers pass complete short right to Andrew Quarless for 4 yards, touchdown",6.280,7.000
4,0:06,,,MIA 2,27,24,Mason Crosby kicks extra point good,0.000,0.000
4,0:06,,,GNB 35,27,24,"Mason Crosby kicks off 39 yards, fair catch by Damian Williams",0.000,-0.670
4,0:02,1,10,MIA 26,27,24,"Ryan Tannehill pass complete short left to Jarvis Landry for 4 yards, lateral to Brian Hartline for -8 yards, lateral to Ryan Tannehill for -3 yards, lateral to Lamar Miller for 24 yards (tackle by Clay Matthews). Lamar Miller fumbles (forced by Clay Matthews), recovered by Julius Peppers at MIA-47 and returned for 2 yards (tackle by Daryn Colledge)",0.670,0.670
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
