Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
2,1:15,4,14,DEN 16,16,10,"Britton Colquitt punts 50 yards, returned by Patrick Crayton for 12 yards (tackle by Lance Ball)",-2.390,-1.990
2,1:02,1,10,SDG 46,16,10,Philip Rivers pass complete short middle to Randy McMichael for 6 yards (tackle by Wesley Woodyard),1.990,2.260
2,0:41,2,4,DEN 48,16,10,Ryan Mathews left guard for 3 yards (tackle by D.J. Williams),2.260,1.950
2,0:34,,,,16,10,Timeout #2 by San Diego Chargers,0.000,1.950
2,0:34,3,1,DEN 45,16,10,Ryan Mathews right guard for 3 yards (tackle by Wesley Woodyard),1.950,2.790
2,0:20,1,10,DEN 42,16,10,Philip Rivers spiked the ball,2.790,2.240
2,0:20,2,10,DEN 42,22,10,"Philip Rivers pass complete deep right to Malcom Floyd for 42 yards, touchdown",2.240,7.000
2,,,,DEN 2,23,10,Nick Novak kicks extra point good,0.000,0.000
2,,,,SDG 35,23,10,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
2,0:12,1,10,DEN 20,23,10,Kyle Orton kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,23,10,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,23,10,Ryan Mathews up the middle for 2 yards (tackle by Rahim Moore),0.280,0.000
3,14:26,2,8,SDG 22,23,10,Philip Rivers up the middle for 6 yards (tackle by D.J. Williams),0.000,0.100
3,13:42,3,2,SDG 28,23,10,Philip Rivers pass complete short left to Patrick Crayton for 10 yards (tackle by Cassius Vaughn),0.100,1.470
3,13:04,1,10,SDG 38,23,10,Philip Rivers pass complete short right to Randy McMichael for 7 yards (tackle by Quinton Carter),1.470,1.870
3,12:19,2,3,SDG 45,23,10,Ryan Mathews up the middle for 2 yards (tackle by Robert Ayers),1.870,1.420
3,11:33,3,1,SDG 47,23,10,Ryan Mathews right guard for 2 yards (tackle by Marcus Thomas),1.420,2.190
3,10:55,1,10,SDG 49,23,10,Philip Rivers sacked by D.J. Williams for -8 yards,2.190,0.570
3,10:21,2,18,SDG 41,23,10,"Philip Rivers sacked for -17 yards. Philip Rivers fumbles, recovered by Philip Rivers at SDG-24",0.570,-2.340
3,9:40,3,35,SDG 24,23,10,Jacob Hester up the middle for 10 yards (tackle by Elvis Dumervil and D.J. Williams),-2.340,-1.110
3,9:07,4,25,SDG 34,23,10,"Mike Scifres punts 57 yards, returned by Quan Cosby for 22 yards (tackle by Randy McMichael)",-1.110,-1.000
3,8:54,1,10,DEN 31,23,10,Willis McGahee left guard for 5 yards (tackle by Takeo Spikes),1.000,1.140
3,8:21,2,5,DEN 36,23,10,Willis McGahee right guard for -3 yards (tackle by Shaun Phillips),1.140,0.040
3,7:45,3,8,DEN 33,23,10,Tim Tebow pass complete short right to Eric Decker for no gain,0.040,-1.180
3,7:13,4,8,DEN 33,23,10,"Britton Colquitt punts 60 yards, returned by Patrick Crayton for 13 yards (tackle by Dante Rosario)",-1.180,-0.280
3,6:59,1,10,SDG 20,23,10,Ryan Mathews right tackle for 2 yards (tackle by Quinton Carter),0.280,0.000
3,6:21,2,8,SDG 22,23,10,Ryan Mathews right tackle for 11 yards (tackle by Champ Bailey),0.000,1.140
3,5:48,1,10,SDG 33,23,10,Philip Rivers pass complete short right to Vincent Jackson for 14 yards (tackle by Champ Bailey),1.140,2.060
3,5:10,1,10,SDG 47,23,10,Ryan Mathews right tackle for 2 yards (tackle by Joe Mays),2.060,1.790
3,4:24,2,8,SDG 49,23,10,Philip Rivers pass incomplete short right intended for Vincent Jackson,1.790,1.090
3,4:17,3,8,SDG 49,23,10,Philip Rivers pass incomplete short middle intended for Malcom Floyd (defended by Cassius Vaughn),1.090,-0.130
3,4:04,4,8,SDG 49,23,10,"Mike Scifres punts 44 yards, fair catch by Quan Cosby",-0.130,0.380
3,3:56,1,10,DEN 7,23,10,Willis McGahee right guard for 3 yards (tackle by Antonio Garay),-0.380,-0.560
3,3:23,2,7,DEN 10,23,10,Tim Tebow pass incomplete deep left intended for Brandon Lloyd,-0.560,-1.070
3,3:15,3,7,DEN 10,23,10,Tim Tebow pass incomplete deep middle intended for Eric Decker,-1.070,-2.490
3,3:02,4,7,DEN 10,23,10,"Britton Colquitt punts 51 yards, returned by Patrick Crayton for -2 yards (tackle by Cassius Vaughn)",-2.490,-1.400
3,2:48,1,10,SDG 37,23,10,Ryan Mathews up the middle for 1 yard (tackle by Joe Mays),1.400,0.990
3,2:14,2,9,SDG 38,23,10,Ryan Mathews up the middle for no gain (tackle by Derrick Harvey and Robert Ayers),0.990,0.300
3,1:28,3,9,SDG 38,23,10,Philip Rivers pass complete short middle to Randy McMichael for 12 yards (tackle by Wesley Woodyard),0.300,2.260
3,0:48,1,10,DEN 50,23,10,Ryan Mathews right tackle for 6 yards (tackle by Champ Bailey),2.260,2.520
,,,,,,,"SDG challenged the fumble ruling, and the original play was overturned.",,
3,0:32,2,4,DEN 44,23,10,Philip Rivers pass complete short right to Jacob Hester for 4 yards (tackle by Quinton Carter),2.520,2.920
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DEN 40,23,10,Ryan Mathews left tackle for 3 yards (tackle by Joe Mays),2.920,2.780
4,14:25,2,7,DEN 37,23,10,Ryan Mathews left end for 4 yards (tackle by Jason Hunter),2.780,2.610
4,13:45,3,3,DEN 33,23,10,Philip Rivers pass incomplete short left intended for Vincent Jackson (defended by Champ Bailey),2.610,1.190
4,13:40,4,3,DEN 33,26,10,Nick Novak 51 yard field goal good,1.190,3.000
4,,,,SDG 35,26,10,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
4,13:35,1,10,DEN 20,26,10,Tim Tebow pass incomplete short left intended for Dante Rosario,0.280,-0.270
4,13:29,2,10,DEN 20,26,10,Willis McGahee up the middle for 12 yards (tackle by Dante Hughes),-0.270,1.070
4,13:03,1,10,DEN 32,26,10,Willis McGahee up the middle for 1 yard (tackle by Travis LaBoy),1.070,0.660
4,12:32,2,9,DEN 33,26,10,Tim Tebow up the middle for 5 yards (tackle by Takeo Spikes and Larry English),0.660,0.630
4,11:49,3,4,DEN 38,26,10,Tim Tebow pass incomplete short left intended for Matt Willis,0.630,-0.850
4,11:42,4,4,DEN 38,26,10,Britton Colquitt punts 52 yards,-0.850,0.380
4,11:33,1,10,SDG 10,26,10,Ryan Mathews right guard for 11 yards (tackle by Andre' Goodman),-0.380,0.340
4,10:54,1,10,SDG 21,26,10,Ryan Mathews right guard for 1 yard (tackle by Joe Mays),0.340,-0.070
4,10:13,2,9,SDG 22,26,10,Philip Rivers pass complete short left to Randy McMichael for 4 yards (tackle by Wesley Woodyard),-0.070,-0.230
4,9:30,3,5,SDG 26,26,10,Philip Rivers sacked by Von Miller for -6 yards,-0.230,-2.030
4,9:06,4,11,SDG 20,26,10,"Mike Scifres punts 46 yards, returned by Quan Cosby for 15 yards (tackle by Randy McMichael)",-2.030,-2.190
4,8:54,1,10,DEN 49,26,10,Willis McGahee left guard for 28 yards (tackle by Antoine Cason),2.190,4.040
4,8:05,1,10,SDG 23,26,10,Tim Tebow left end for 11 yards (tackle by Antoine Cason),4.040,4.780
4,7:22,1,10,SDG 12,26,10,Tim Tebow up the middle for no gain (tackle by Antonio Garay),4.780,4.100
4,6:41,2,10,SDG 12,26,16,"Tim Tebow left guard for 12 yards, touchdown",4.100,7.000
4,,,,,26,18,"Two Point Attempt: Willis McGahee up the middle, conversion succeeds",1.000,1.000
4,,,,DEN 35,26,18,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
4,6:35,1,10,SDG 20,26,18,Philip Rivers pass complete short right to Vincent Jackson for 9 yards (tackle by Cassius Vaughn),0.280,0.950
4,5:56,2,1,SDG 29,26,18,Jacob Hester up the middle for no gain (tackle by Marcus Thomas),0.950,0.230
4,5:27,3,1,SDG 29,26,18,Philip Rivers up the middle for 2 yards (tackle by Marcus Thomas),0.230,1.000
4,4:45,1,10,SDG 31,26,18,"Philip Rivers sacked by Robert Ayers for 0 yards. Philip Rivers fumbles (forced by Robert Ayers), recovered by Andre' Goodman at SDG-41 (tackle by Patrick Crayton)",1.000,-2.850
,,,,,,,"DEN challenged the incomplete pass ruling, and the original play was overturned.",,
4,4:38,1,10,SDG 41,26,18,Tim Tebow right tackle for 8 yards (tackle by Donald Butler),2.850,3.390
4,4:04,2,2,SDG 33,26,18,Willis McGahee up the middle for 5 yards (tackle by Takeo Spikes),3.390,3.710
4,3:30,1,10,SDG 28,26,24,"Tim Tebow pass complete short right to Knowshon Moreno for 28 yards, touchdown",3.710,7.000
4,3:19,,,,26,24,Timeout #1 by Denver Broncos,0.000,0.000
4,,,,,26,24,"Two Point Attempt: Tim Tebow pass incomplete intended for Brandon Lloyd, conversion fails",1.000,-1.000
4,,,,DEN 35,26,24,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
4,3:19,1,10,SDG 20,26,24,Philip Rivers pass incomplete deep right intended for Malcom Floyd,0.280,-0.270
4,3:14,2,10,SDG 20,26,24,Philip Rivers pass incomplete short left intended for Malcom Floyd (defended by Andre' Goodman),-0.270,-0.960
4,3:10,3,10,SDG 20,26,24,Philip Rivers pass complete deep left to Malcom Floyd for 38 yards (tackle by Quinton Carter),-0.960,2.790
4,2:51,,,,26,24,Timeout #2 by Denver Broncos,0.000,2.790
4,2:51,1,10,DEN 42,26,24,Jacob Hester left guard for 2 yards (tackle by Marcus Thomas),2.790,2.510
4,2:46,,,,26,24,Timeout #3 by Denver Broncos,0.000,2.510
