Quarter,Time,Down,ToGo,Location,BAL,MIN,Detail,EPB,EPA
2,12:51,1,10,BAL 28,3,6,Joe Flacco pass complete short right to Javorius Allen for 12 yards (tackle by Anthony Barr),0.810,1.600
2,12:12,1,10,BAL 40,3,6,Joe Flacco pass complete short middle to Michael Campanaro for 18 yards (tackle by Anthony Barr and Xavier Rhodes),1.600,2.790
2,11:28,1,10,MIN 42,3,6,Joe Flacco pass incomplete short middle intended for Chris Moore,2.790,2.240
2,11:24,2,10,MIN 42,3,6,Alex Collins left guard for 4 yards (tackle by Ben Gedeon),2.240,2.080
2,10:46,3,6,MIN 38,3,6,Joe Flacco pass complete short middle to Javorius Allen for -1 yards (tackle by Eric Kendricks),2.080,0.660
2,10:01,4,7,MIN 39,6,6,Justin Tucker 57 yard field goal good,0.660,3.000
2,9:56,,,BAL 35,6,6,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,9:56,1,10,MIN 25,6,6,Jerick McKinnon right tackle for 5 yards (tackle by Terrell Suggs and Michael Pierce),0.610,0.740
2,9:34,2,5,MIN 30,6,6,Case Keenum pass incomplete short right intended for Adam Thielen,0.740,0.040
2,9:30,3,5,MIN 30,6,6,Case Keenum pass incomplete short left intended for Adam Thielen,0.040,-1.370
2,9:25,4,5,MIN 30,6,6,"Ryan Quigley punts 45 yards, out of bounds",-1.370,-0.610
2,9:18,1,10,BAL 25,6,6,Javorius Allen left end for 2 yards (tackle by Linval Joseph),0.610,0.330
2,8:54,2,8,BAL 27,6,6,Joe Flacco pass complete short left to Javorius Allen for 4 yards (tackle by Eric Kendricks),0.330,0.170
2,8:18,3,4,BAL 31,6,6,Joe Flacco pass complete short right to Griff Whalen for 3 yards (tackle by Terence Newman),0.170,-1.110
2,7:44,4,1,BAL 34,6,6,"Sam Koch punts 50 yards, out of bounds",-1.110,0.140
2,7:36,1,10,MIN 16,6,6,Latavius Murray middle for 3 yards (tackle by Michael Pierce and Bronson Kaufusi),-0.140,-0.180
2,7:04,2,7,MIN 19,6,6,Case Keenum pass complete short left to Jerick McKinnon for -3 yards (tackle by Patrick Onwuasor),-0.180,-1.320
2,6:19,3,10,MIN 16,6,6,Case Keenum pass complete short middle to Jarius Wright for 12 yards (tackle by Anthony Levine),-1.320,0.810
2,5:41,1,10,MIN 28,6,6,Latavius Murray middle for 1 yard (tackle by Brandon Williams),0.810,0.400
2,4:57,2,9,MIN 29,6,6,Case Keenum pass complete short left to Adam Thielen for 5 yards (tackle by Patrick Onwuasor),0.400,0.370
2,4:16,3,4,MIN 34,6,6,Case Keenum pass complete short middle to Laquon Treadwell for 11 yards (tackle by Jimmy Smith),0.370,1.930
2,3:28,1,10,MIN 45,6,6,Case Keenum pass complete short left to Kyle Rudolph for 8 yards (tackle by C.J. Mosley),1.930,2.460
2,2:43,2,2,BAL 47,6,6,Jerick McKinnon middle for 4 yards (tackle by C.J. Mosley and Bronson Kaufusi),2.460,2.720
2,2:01,1,10,BAL 43,6,6,Latavius Murray middle for 7 yards (tackle by C.J. Mosley),2.720,3.120
2,1:55,2,3,BAL 36,6,6,Jerick McKinnon middle for no gain (tackle by Terrell Suggs),3.120,2.410
2,1:17,3,3,BAL 36,6,6,Case Keenum pass complete short left to Kyle Rudolph for 3 yards (tackle by Eric Weddle),2.410,3.380
2,1:12,1,10,BAL 33,6,6,Jerick McKinnon right guard for 7 yards (tackle by Terrell Suggs and Eric Weddle),3.380,3.780
2,0:52,2,3,BAL 26,6,6,Case Keenum pass complete short left to Kyle Rudolph for 2 yards (tackle by Jimmy Smith),3.780,0.000
2,0:43,,,,,,Timeout #1 by Minnesota Vikings,0.000,-3.340
2,0:43,3,1,BAL 24,6,6,Case Keenum pass incomplete short right intended for Adam Thielen,3.340,0.000
2,0:39,,,,,,Timeout #2 by Minnesota Vikings,0.000,-2.020
2,0:39,4,1,BAL 24,6,9,Kai Forbath 43 yard field goal good,2.020,3.000
2,0:35,,,MIN 35,6,9,"Kai Forbath kicks off 68 yards, returned by Bobby Rainey for 20 yards (tackle by Marcus Sherels)",0.000,0.060
2,0:31,1,10,BAL 17,6,9,Javorius Allen left guard for 7 yards (tackle by Harrison Smith),-0.060,0.000
2,0:25,,,,,,Timeout #1 by Baltimore Ravens,0.000,-0.480
2,0:25,2,3,BAL 24,6,9,Joe Flacco pass complete short right to Ben Watson for 4 yards (tackle by Andrew Sendejo),0.480,0.000
2,0:20,,,,,,Timeout #2 by Baltimore Ravens,0.000,-0.810
2,0:20,1,10,BAL 28,6,9,Joe Flacco pass complete short middle to Javorius Allen for 9 yards (tackle by Terence Newman and Anthony Barr),0.810,0.000
2,0:16,,,,,,Timeout #3 by Baltimore Ravens,0.000,-1.480
2,0:16,2,1,BAL 37,6,9,Joe Flacco pass incomplete short right intended for Javorius Allen,1.480,0.760
2,0:12,3,1,BAL 37,6,9,Javorius Allen left guard for 7 yards (tackle by Eric Kendricks),0.760,1.860
Quarter,Time,Down,ToGo,Location,BAL,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,6,9,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,MIN 25,6,9,Latavius Murray left tackle for 35 yards (tackle by Patrick Onwuasor and Lardarius Webb),0.610,2.920
3,14:20,1,10,BAL 40,6,9,Case Keenum pass complete short left to Jerick McKinnon for 4 yards (tackle by Marlon Humphrey),2.920,2.910
3,13:55,2,6,BAL 36,6,9,Case Keenum right end for 9 yards (tackle by C.J. Mosley),2.910,3.780
3,13:10,1,10,BAL 27,6,9,Latavius Murray right guard for 9 yards (tackle by Matt Judon and Tony Jefferson),3.780,4.530
3,12:33,2,1,BAL 18,6,9,Latavius Murray left tackle for -2 yards (tackle by C.J. Mosley),4.530,3.470
3,11:56,3,3,BAL 20,6,9,"Case Keenum pass complete short left to Adam Thielen for 3 yards (tackle by Marlon Humphrey). Penalty on Adam Thielen: Offensive Pass Interference, 10 yards (no play)",3.470,2.150
3,11:33,3,13,BAL 30,6,9,Jerick McKinnon left guard for 5 yards (tackle by Jaylen Hill),2.150,1.800
3,10:57,4,8,BAL 25,6,12,Kai Forbath 43 yard field goal good,1.800,3.000
3,10:53,,,MIN 35,6,12,"Kai Forbath kicks off 66 yards, returned by Bobby Rainey for 25 yards (tackle by Kentrell Brothers)",0.000,-0.540
3,10:48,1,10,BAL 24,6,12,Joe Flacco pass incomplete deep right intended for Chris Moore,0.540,0.000
3,10:42,2,10,BAL 24,6,12,Alex Collins left end for 2 yards (tackle by Linval Joseph and Tom Johnson),0.000,-0.430
3,10:05,3,8,BAL 26,6,12,Joe Flacco sacked by Anthony Barr for -11 yards,-0.430,-2.440
3,9:28,4,19,BAL 15,6,12,"Sam Koch punts 49 yards, returned by Marcus Sherels for 19 yards (tackle by Javorius Allen)",-2.440,-2.590
3,9:19,1,10,BAL 45,6,12,Case Keenum pass complete short right to Adam Thielen for 5 yards (tackle by Brandon Carr),2.590,2.720
3,8:40,2,5,BAL 40,6,12,Case Keenum pass complete short right to Kyle Rudolph for 11 yards (tackle by Brandon Carr),2.720,3.640
3,8:05,1,10,BAL 29,6,18,"Latavius Murray left guard for 29 yards, touchdown",3.640,7.000
3,7:58,,,BAL 15,6,18,Kai Forbath kicks extra point no good,0.000,-1.000
3,7:58,,,MIN 35,6,18,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
3,7:58,1,10,BAL 25,6,18,Michael Campanaro right end for 19 yards (tackle by Andrew Sendejo and Danielle Hunter),0.610,1.860
3,7:24,1,10,BAL 44,6,18,Alex Collins left guard for 8 yards (tackle by Eric Kendricks),1.860,2.400
3,6:47,2,2,MIN 48,6,18,Alex Collins left guard for 4 yards (tackle by Everson Griffen),2.400,2.650
3,6:11,1,10,MIN 44,6,18,Alex Collins right end for -1 yards (tackle by Anthony Barr),2.650,1.980
3,5:36,2,11,MIN 45,6,18,Joe Flacco pass complete short middle to Griff Whalen for 9 yards (tackle by Andrew Sendejo),1.980,2.480
3,4:54,3,2,MIN 36,6,18,Javorius Allen left tackle for 2 yards (tackle by Eric Kendricks),2.480,3.310
3,4:18,1,10,MIN 34,6,18,Joe Flacco pass complete short left to Bobby Rainey for -4 yards (tackle by Harrison Smith),3.310,2.230
3,3:41,2,14,MIN 38,6,18,Joe Flacco pass complete short right to Griff Whalen for 9 yards (tackle by Harrison Smith),2.230,2.740
3,3:05,3,5,MIN 29,6,18,Joe Flacco pass incomplete short left intended for Javorius Allen,2.740,1.540
3,3:02,4,5,MIN 29,9,18,Justin Tucker 47 yard field goal good,1.540,3.000
3,2:58,,,BAL 35,9,18,"Justin Tucker kicks off 62 yards, returned by Marcus Sherels for 20 yards (tackle by Kamalei Correa)",0.000,-0.480
3,2:53,1,10,MIN 23,9,18,Latavius Murray middle for no gain (tackle by Brandon Williams),0.480,-0.070
3,2:14,2,10,MIN 23,9,18,Case Keenum pass complete short left to Jerick McKinnon for 9 yards (tackle by C.J. Mosley),-0.070,0.430
3,1:44,3,1,MIN 32,9,18,Jerick McKinnon middle for no gain (tackle by Terrell Suggs),0.430,-1.240
3,1:07,4,1,MIN 32,9,18,"Ryan Quigley punts 47 yards, fair catch by Michael Campanaro",-1.240,-0.340
3,0:59,1,10,BAL 21,9,18,Alex Collins right end for 5 yards (tackle by Ben Gedeon),0.340,0.480
3,0:23,2,5,BAL 26,9,18,Chris Moore left end for -5 yards (tackle by Eric Kendricks),0.480,-0.890
Quarter,Time,Down,ToGo,Location,BAL,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,BAL 21,9,18,Joe Flacco sacked by Everson Griffen for -9 yards,-0.890,-2.490
4,14:21,4,19,BAL 12,9,18,"Sam Koch punts 58 yards, returned by Marcus Sherels for 18 yards (tackle by Morgan Cox)",-2.490,-2.130
4,14:09,1,10,MIN 48,9,18,Case Keenum pass incomplete deep right intended for Adam Thielen,2.130,1.580
4,14:02,2,10,MIN 48,9,18,Case Keenum pass complete deep left to Jarius Wright for 30 yards (tackle by Lardarius Webb),1.580,4.110
4,13:28,1,10,BAL 22,9,18,Jerick McKinnon right end for 4 yards (tackle by Brandon Carr),4.110,4.130
4,12:44,2,6,BAL 18,9,18,Jerick McKinnon left tackle for 1 yard (tackle by Patrick Onwuasor),4.130,3.560
4,12:02,3,5,BAL 17,9,18,Case Keenum pass incomplete short left intended for Adam Thielen (defended by Jaylen Hill),3.560,2.360
4,11:58,4,5,BAL 17,9,21,Kai Forbath 34 yard field goal good,2.360,3.000
4,11:54,,,MIN 35,9,21,"Kai Forbath kicks off 66 yards, returned by Bobby Rainey for 23 yards (tackle by C.J. Ham)",0.000,-0.410
4,11:49,1,10,BAL 22,9,21,Joe Flacco pass incomplete deep right intended for Chris Moore,0.410,-0.130
4,11:42,2,10,BAL 22,9,21,Joe Flacco pass incomplete short right intended for Chris Moore,-0.130,-0.820
4,11:39,3,10,BAL 22,9,21,Joe Flacco pass complete deep right to Chris Moore for 23 yards (tackle by Harrison Smith),-0.820,1.930
4,11:09,1,10,BAL 45,9,21,Javorius Allen middle for 1 yard (tackle by Shamar Stephen),1.930,1.520
4,10:31,2,9,BAL 46,9,21,Joe Flacco pass incomplete deep right intended for Griff Whalen,1.520,0.830
4,10:26,3,9,BAL 46,9,21,Joe Flacco pass complete short left to Javorius Allen for -2 yards (tackle by Anthony Barr),0.830,-0.460
4,9:56,4,11,BAL 44,9,21,"Sam Koch punts 34 yards, out of bounds",-0.460,-0.410
4,9:50,1,10,MIN 22,9,21,Latavius Murray left tackle for 1 yard (tackle by Matt Judon),0.410,0.000
4,9:17,2,9,MIN 23,9,21,Case Keenum pass complete short left to Laquon Treadwell for 10 yards (tackle by Jimmy Smith),0.000,1.140
4,8:46,1,10,MIN 33,9,21,Latavius Murray middle for 4 yards (tackle by Brandon Williams),1.140,1.130
4,8:06,2,6,MIN 37,9,21,Jerick McKinnon right end for 5 yards (tackle by Tony Jefferson and C.J. Mosley),1.130,1.090
4,7:21,3,1,MIN 42,9,21,Case Keenum pass complete short right to Kyle Rudolph for 19 yards (tackle by Tony Jefferson),1.090,2.980
4,6:44,1,10,BAL 39,9,21,Latavius Murray right end for -1 yards (tackle by C.J. Mosley),2.980,2.300
4,6:01,2,11,BAL 40,9,21,Jerick McKinnon left tackle for 6 yards (tackle by Eric Weddle),2.300,2.410
4,5:16,3,5,BAL 34,9,21,Case Keenum pass complete short right to Adam Thielen for 14 yards,2.410,4.240
4,4:38,1,10,BAL 20,9,21,Latavius Murray right guard for no gain (tackle by Michael Pierce),4.240,3.690
4,3:57,2,10,BAL 20,9,21,Latavius Murray middle for 6 yards (tackle by Patrick Onwuasor),3.690,3.890
4,3:13,3,4,BAL 14,9,21,"Penalty on Laquon Treadwell: False Start, 5 yards (no play)",3.890,0.000
4,3:13,,,,,,Timeout #1 by Minnesota Vikings,0.000,-3.100
4,3:13,3,9,BAL 19,9,21,Jerick McKinnon left guard for 5 yards (tackle by Chuck Clark),3.100,0.000
4,3:07,,,,,,Timeout #1 by Baltimore Ravens,0.000,-2.580
4,3:07,4,4,BAL 14,9,24,Kai Forbath 32 yard field goal good,2.580,3.000
4,3:03,,,MIN 35,9,24,"Kai Forbath kicks off 64 yards, returned by Bobby Rainey for 31 yards (tackle by Anthony Harris)",0.000,-1.070
4,2:57,1,10,BAL 32,9,24,Joe Flacco pass complete short right to Michael Campanaro for 7 yards (tackle by Eric Kendricks),1.070,1.470
4,2:35,2,3,BAL 39,9,24,"Penalty on Jermaine Eluemunor: False Start, 5 yards (no play)",1.470,0.800
4,2:31,2,8,BAL 34,9,24,Joe Flacco pass complete short middle to Javorius Allen for 3 yards (tackle by Anthony Barr),0.800,0.500
4,2:07,3,5,BAL 37,9,24,Joe Flacco pass complete short middle to Nick Boyle for 8 yards (tackle by Eric Kendricks and Anthony Barr),0.500,1.930
4,2:00,1,10,BAL 45,9,24,"Joe Flacco sacked by Everson Griffen for -5 yards. Joe Flacco fumbles (forced by Everson Griffen), recovered by Chris Moore at BAL-38",1.930,0.440
4,1:46,2,17,BAL 38,9,24,"Joe Flacco pass complete short right to Javorius Allen for 5 yards (tackle by Anthony Barr and Eric Kendricks). Joe Flacco fumbles, recovered by Joe Flacco at BAL-32",0.440,0.430
4,1:37,3,12,BAL 43,9,24,Joe Flacco pass complete short middle to Ben Watson for 20 yards (tackle by Andrew Sendejo). Penalty on Everson Griffen: Defensive Offside (Declined),0.430,0.000
4,1:37,,,,,,Timeout #2 by Baltimore Ravens,0.000,-3.120
4,1:33,1,10,MIN 37,9,24,Joe Flacco pass incomplete deep right intended for Griff Whalen,3.120,2.570
4,1:28,2,10,MIN 37,9,24,Joe Flacco pass complete short right to Bobby Rainey for 12 yards,2.570,3.910
4,1:22,1,10,MIN 25,9,24,Joe Flacco pass complete short left to Ben Watson for 7 yards (tackle by Terence Newman and Eric Kendricks),3.910,0.000
4,1:14,,,,,,Timeout #2 by Baltimore Ravens,0.000,-4.370
4,1:14,2,3,MIN 18,9,24,Joe Flacco pass complete short middle to Ben Watson for 6 yards (tackle by Eric Kendricks),4.370,4.780
4,0:56,1,10,MIN 12,9,24,"Penalty on Jermaine Eluemunor: False Start, 5 yards (no play)",4.780,4.320
4,0:40,1,15,MIN 17,9,24,Joe Flacco pass incomplete deep left intended for Chris Moore,4.320,3.420
4,0:34,2,15,MIN 17,9,24,Joe Flacco pass incomplete short right intended for Chris Moore (defended by Trae Waynes),3.420,2.840
4,0:30,3,15,MIN 17,9,24,Joe Flacco pass complete short right to Nick Boyle for 4 yards (tackle by Trae Waynes),2.840,2.570
4,0:03,4,11,MIN 13,15,24,"Joe Flacco pass complete short right to Chris Moore for 13 yards, touchdown",2.570,7.000
4,0:00,,,MIN 15,16,24,Justin Tucker kicks extra point good,0.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
