Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
2,1:29,1,10,ATL 25,16,6,Marcus Mariota pass complete short left to Drake London for 11 yards (tackle by James Pierre),0.610,1.330
2,1:08,1,10,ATL 36,16,6,Marcus Mariota pass complete short left to Olamide Zaccheaus for 10 yards (tackle by Devin Bush),1.330,1.990
2,0:52,1,10,ATL 46,16,6,Marcus Mariota pass incomplete deep left intended for Olamide Zaccheaus,1.990,1.450
2,0:49,2,10,ATL 46,16,6,Marcus Mariota pass incomplete short left intended for Drake London,1.450,0.760
2,0:44,3,10,ATL 46,16,6,Marcus Mariota pass incomplete deep middle intended for Olamide Zaccheaus,0.760,-0.320
2,0:38,4,10,ATL 46,16,6,"Bradley Pinion punts 41 yards, returned by Steven Sims for 1 yard (tackle by KhaDarel Hodge)",-0.320,0.280
2,0:29,1,10,PIT 14,16,6,Najee Harris left guard for 4 yards (tackle by Grady Jarrett and Matt Dickerson),-0.280,-0.210
Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,16,6,"Matthew Wright kicks off 59 yards, returned by Avery Williams for 20 yards (tackle by Marcus Allen)",0.000,0.670
3,14:55,1,10,ATL 26,16,6,Cordarrelle Patterson right guard for 2 yards (tackle by Terrell Edmunds),0.670,0.400
3,14:38,2,8,ATL 28,16,6,Caleb Huntley left end for 6 yards (tackle by Larry Ogunjobi),0.400,0.500
3,14:01,3,2,ATL 34,16,6,Marcus Mariota left guard for 3 yards (tackle by Devin Bush),0.500,1.400
3,13:24,1,10,ATL 37,16,6,Caleb Huntley left end for 4 yards (tackle by Chris Wormley),1.400,1.400
3,12:42,2,6,ATL 41,16,6,Marcus Mariota pass incomplete deep middle intended for Olamide Zaccheaus,1.400,0.700
3,12:33,3,6,ATL 41,16,6,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",0.700,0.040
3,12:33,3,11,ATL 36,16,6,Marcus Mariota pass incomplete deep left intended for Drake London,0.040,-0.980
3,12:28,4,11,ATL 36,16,6,"Bradley Pinion punts 54 yards, fair catch by Steven Sims at PIT-10",-0.980,0.380
3,12:22,1,10,PIT 10,16,6,Najee Harris left tackle for 6 yards (tackle by Richie Grant and Mykal Walker),-0.380,-0.230
3,11:47,2,4,PIT 16,16,6,Najee Harris left guard for 4 yards (tackle by Adetokunbo Ogundeji and Troy Andersen),-0.230,0.280
3,11:06,1,10,PIT 20,16,6,Kenny Pickett scrambles right end for 5 yards (tackle by Richie Grant),0.280,0.410
3,10:29,2,5,PIT 25,16,6,Benny Snell right tackle for 4 yards (tackle by AJ Terrell and Mykal Walker),0.410,0.230
3,9:48,3,1,PIT 29,16,6,Benny Snell right tackle for 2 yards (tackle by Rashaan Evans and Jaylinn Hawkins),0.230,1.000
3,9:13,1,10,PIT 31,16,6,Kenny Pickett pass incomplete short right intended for Diontae Johnson,1.000,0.460
3,9:05,2,10,PIT 31,16,6,Kenny Pickett pass complete short middle to Diontae Johnson for 14 yards (tackle by Rashaan Evans),0.460,1.930
3,8:23,1,10,PIT 45,16,6,Najee Harris left end for 14 yards (tackle by Rashaan Evans and Jaylinn Hawkins),1.930,2.850
3,7:46,1,10,ATL 41,16,6,Najee Harris left tackle for 2 yards (tackle by Rashaan Evans and Richie Grant),2.850,2.580
3,7:06,2,8,ATL 39,16,6,"Kenny Pickett pass complete short right to Benny Snell for 11 yards (tackle by Richie Grant). Penalty on Richie Grant: Horse Collar Tackle, 14 yards (accepted)",2.580,4.650
3,6:49,1,10,ATL 14,16,6,"Penalty on Diontae Johnson: False Start, 5 yards (accepted) (no play)",4.650,4.260
3,6:22,1,15,ATL 19,16,6,Benny Snell left guard for 2 yards (tackle by Timmy Horne and Abdullah Anderson),4.260,3.590
3,5:40,2,13,ATL 17,16,6,Kenny Pickett pass incomplete deep right intended for Diontae Johnson (defended by AJ Terrell),3.590,2.930
3,5:32,3,13,ATL 17,16,6,"Penalty on Kenny Pickett: Delay of Game, 5 yards (accepted) (no play)",2.930,2.350
3,5:32,3,18,ATL 22,16,6,Kenny Pickett pass complete short left to Jaylen Warren for 7 yards (tackle by Grady Jarrett),2.350,2.440
3,4:50,4,11,ATL 15,19,6,Matthew Wright 33 yard field goal good,2.440,3.000
3,4:46,,,PIT 35,19,6,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
3,4:46,1,10,ATL 25,19,6,Marcus Mariota right end for 9 yards (tackle by Levi Wallace and Terrell Edmunds),0.610,1.280
3,4:14,2,1,ATL 34,19,6,Cordarrelle Patterson left tackle for 7 yards (tackle by Larry Ogunjobi),1.280,1.660
3,3:35,1,10,ATL 41,19,6,Cordarrelle Patterson left guard for 11 yards (tackle by Terrell Edmunds and Levi Wallace),1.660,2.390
3,2:57,1,10,PIT 48,19,6,Cordarrelle Patterson right end for 22 yards (tackle by Myles Jack),2.390,3.840
3,2:18,1,10,PIT 26,19,6,Tyler Allgeier left tackle for 6 yards (tackle by Alex Highsmith),3.840,4.110
3,1:47,2,4,PIT 20,19,6,"Tyler Allgeier left tackle for 3 yards (tackle by Chris Wormley and Myles Jack). Penalty on Montravius Adams: Defensive Holding, 5 yards (accepted)",4.110,4.780
3,1:21,1,10,PIT 12,19,6,Cordarrelle Patterson right tackle for 5 yards (tackle by Montravius Adams and Devin Bush),4.780,5.020
3,0:51,2,5,PIT 7,19,12,"Marcus Mariota pass complete short right to MyCole Pruitt for 7 yards, touchdown",5.020,7.000
3,0:43,,,PIT 15,19,13,Younghoe Koo kicks extra point good,0.000,0.000
3,0:43,,,ATL 35,19,13,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,0:43,1,10,PIT 25,19,13,Kenny Pickett pass complete short right to George Pickens for 2 yards,0.610,0.330
3,0:11,2,8,PIT 27,19,13,Gunner Olszewski left end for no gain (tackle by Richie Grant and Lorenzo Carter),0.330,-0.360
Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,PIT 27,19,13,"Kenny Pickett pass complete to Diontae Johnson for no gain. Diontae Johnson fumbles (forced by AJ Terrell), recovered by Rashaan Evans at PIT-34. Penalty on Mason Cole: Illegal Use of Hands / Offense, 5 yards (declined) Replay Assistant challenged the fumble ruling, and the original play was overturned. Kenny Pickett pass incomplete short right intended for Diontae Johnson (defended by AJ Terrell). Penalty on Mason Cole: Illegal Use of Hands / Offense, 5 yards (declined)",-0.360,-1.570
4,14:54,4,8,PIT 27,19,13,"Pressley Harvin punts 47 yards, fair catch by Avery Williams at ATL-26",-1.570,-0.670
4,14:48,1,10,ATL 26,19,13,Tyler Allgeier left tackle for 4 yards (tackle by Cameron Heyward and Montravius Adams),0.670,0.670
4,14:21,2,6,ATL 30,19,13,Marcus Mariota pass complete short right to Drake London for 11 yards (tackle by Levi Wallace),0.670,1.660
4,13:35,1,10,ATL 41,19,13,Cordarrelle Patterson right end for 4 yards (tackle by T.J. Watt),1.660,1.660
4,12:54,2,6,ATL 45,19,13,Marcus Mariota right tackle for 5 yards (tackle by Myles Jack),1.660,1.620
4,12:14,3,1,ATL 50,19,13,Tyler Allgeier left end for 5 yards (tackle by Cameron Sutton and Minkah Fitzpatrick),1.620,2.590
4,11:37,1,10,PIT 45,19,13,Tyler Allgeier right tackle for 6 yards (tackle by Montravius Adams and Levi Wallace),2.590,2.850
4,11:00,2,4,PIT 39,19,13,Tyler Allgeier right tackle for 1 yard (tackle by T.J. Watt and Myles Jack),2.850,2.280
4,10:18,3,3,PIT 38,19,13,Tyler Allgeier right tackle for 2 yards (tackle by Robert Spillane and Cameron Heyward),2.280,0.890
4,9:35,4,1,PIT 36,19,13,Tyler Allgeier left end for 2 yards (tackle by T.J. Watt),0.890,3.310
4,8:55,1,10,PIT 34,19,13,Cordarrelle Patterson right tackle for 6 yards (tackle by Minkah Fitzpatrick),3.310,3.580
4,8:30,2,4,PIT 28,19,13,Cordarrelle Patterson right tackle for 3 yards (tackle by Malik Reed),3.580,3.270
4,7:43,3,1,PIT 25,19,13,Marcus Mariota pass complete short right to Anthony Firkser for 15 yards (tackle by Terrell Edmunds),3.270,4.910
4,7:03,1,10,PIT 10,19,13,"Cordarrelle Patterson left end for no gain, touchdown. Penalty on Parker Hesse: Offensive Holding, 10 yards (accepted) (no play)",4.910,4.240
4,6:52,1,20,PIT 20,19,13,Caleb Huntley right tackle for 2 yards (tackle by Cameron Heyward),4.240,3.150
4,6:17,2,18,PIT 18,19,13,"Penalty on Jake Matthews: False Start, 4 yards (accepted) (no play)",3.150,2.730
4,6:17,2,22,PIT 22,19,13,Marcus Mariota pass complete short left to Drake London for 12 yards (tackle by Cameron Sutton),2.730,3.130
4,5:33,3,10,PIT 10,19,13,Marcus Mariota pass incomplete short right intended for Drake London,3.130,2.760
4,5:29,4,10,PIT 10,19,16,Younghoe Koo 28 yard field goal good,2.760,3.000
4,5:27,,,ATL 35,19,16,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,5:27,1,10,PIT 25,19,16,Kenny Pickett pass complete short right to Zach Gentry for 8 yards (tackle by Rashaan Evans),0.610,1.140
4,4:50,2,2,PIT 33,19,16,Najee Harris right tackle for 3 yards (tackle by Rashaan Evans),1.140,1.330
4,4:07,1,10,PIT 36,19,16,Najee Harris right guard for 7 yards (tackle by Grady Jarrett and Lorenzo Carter),1.330,1.740
4,3:26,2,3,PIT 43,19,16,Benny Snell right guard for 6 yards (tackle by Rashaan Evans and Mykal Walker),1.740,2.190
4,2:43,1,10,PIT 49,19,16,Gunner Olszewski left end for 2 yards (tackle by Darren Hall and Adetokunbo Ogundeji),2.190,1.920
4,2:00,2,8,ATL 49,19,16,Kenny Pickett pass complete short right to Diontae Johnson for 10 yards (tackle by Lorenzo Carter and Rashaan Evans),1.920,2.980
4,1:52,,,,,,Timeout #1 by Atlanta Falcons,,
4,1:52,1,10,ATL 39,19,16,Najee Harris right tackle for 5 yards (tackle by Rashaan Evans and Grady Jarrett),2.980,3.120
4,1:47,,,,,,Timeout #2 by Atlanta Falcons,,
4,1:47,2,5,ATL 34,19,16,Najee Harris right tackle for no gain (tackle by Troy Andersen),3.120,2.410
4,1:40,,,,,,Timeout #3 by Atlanta Falcons,,
4,1:40,3,5,ATL 34,19,16,Kenny Pickett left end for -1 yards (tackle by Darren Hall and Rashaan Evans),2.410,0.970
4,0:53,4,6,ATL 35,19,16,"Penalty on PIT: Delay of Game, 5 yards (accepted) (no play)",0.970,0.590
4,0:53,4,11,ATL 40,19,16,Pressley Harvin punts 38 yards downed by Miles Boykin,0.590,0.380
4,0:42,1,10,ATL 2,19,16,Marcus Mariota pass deep left (defended by Cameron Heyward) intended for Drake London is intercepted by Minkah Fitzpatrick at ATL-20 and returned for 16 yards,-0.380,-6.280
4,0:35,1,4,ATL 4,19,16,Kenny Pickett kneels for -1 yards,6.280,5.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
